[2026-03-28 22:30:08] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-27
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202603270000+TO+202603272359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-3-27 | Doeblin Curves
[IEEE] 2026-3-27 | BreastXAI Ultrasound Tumor Segmentation and Classification
[IEEE] 2026-3-27 | FONTA: Fog Node as Trust Authority for Trust Management in Edge Devices
[IEEE] 2026-3-27 | A Low-Voltage Distribution Network Planning Method for Adapting Flexible Plug-and-Play Resources
[IEEE] 2026-3-27 | Potato Leaf Disease Classification Using Cnn and Web-Based Deployment for Early Detection
[IEEE] 2026-3-27 | Distributionally Robust Low-Carbon Economic Dispatch for Virtual Power Plants Considering Wind and Solar Uncertainty
[IEEE] 2026-3-27 | Assessment of Collective Fish Behavior Using Imaging Sonar Under Low-Visibility Conditions
[IEEE] 2026-3-27 | Path Planning and Guidance for Quadruple Legged Robots Through Obstacles Using YoloV8 and A-Star: Outdoor Field Test Validation
[IEEE] 2026-3-27 | A Game-Theoretic Reinforcement Learning Framework for Disruption-Aware Resource Allocation and Inventory Control in Cyber-Physical Systems
[IEEE] 2026-3-27 | Performance Evaluation of Popular Visual Classifiers on Plant Leaf Classification
[IEEE] 2026-3-27 | Compact Physics-Informed Modeling of β-Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Drain-Extended Junctionless FETs and Its Integration in Buck Converter Topology
[IEEE] 2026-3-27 | Economic Dispatch of Microgrid Clusters Based on Triangulation Topology Aggregation Optimizer Considering Electric Vehicles
[IEEE] 2026-3-27 | BCR-Net: A Scale-Adaptive Business Card Recognition Network with Coordinate Attention
[IEEE] 2026-3-27 | AI-driven Adaptive Grid Operation Status Anomaly Diagnosis Model for New Power Systems
[IEEE] 2026-3-27 | An Integrated Multimodal Machine-Learning Framework for Robust Cardiovascular Disease Prediction
[IEEE] 2026-3-27 | Ultra-Compact and Low-Loss 1×9 Optical Power Splitter Using Cascaded 1×3 MMI Structures for PICs
[IEEE] 2026-3-27 | Optimizing Homomorphic Encryption in Federated Learning with Zero-Skipping
[IEEE] 2026-3-27 | Frequency-Dependent Magnetization Behaviour of Solid-Steel Core Materials for Axial Electromagnetic Bearings
[IEEE] 2026-3-27 | Secure Yet Practical PHR Sharing: A Hybrid Approach of NFT and Attribute-Based Encryption
[IEEE] 2026-3-27 | Autonomous Discovery of Physical Laws via Adversarial Surrogates: Rediscovering Kepler's Laws from Observational Data
[IEEE] 2026-3-27 | Language-Based AI Tutors for Supporting Bilingual Education in Early Childhood Classrooms
[IEEE] 2026-3-27 | DISC: Dual-level Incremental Knowledge Distillation for Domain and Class Incremental Learning
[IEEE] 2026-3-27 | Solar PV Based Air Cooler with MPPT and Speed Control
[IEEE] 2026-3-27 | Investigations and Challenges of Generative AI for Agricultural Digital Twins
[IEEE] 2026-3-27 | Edge-Optimized Isolation Forest for Real-Time Environmental Anomaly Detection in Sensor Networks
[IEEE] 2026-3-27 | Study on the Effect of Ethanol Additives on the Performance of Pure Water based Coolants for Lithium Battery Modules: Corrosion Inhibition and Heat Transfer Performance
[IEEE] 2026-3-27 | A Big Data–Driven Hybrid Algorithmic Framework for Intelligent Evaluation and ARMA(2,1)-Based Forecasting in New Energy Vehicle Systems
[IEEE] 2026-3-27 | Equivalent Modeling of Multiple Distributed Generators for Overcurrent Protection Setting
[IEEE] 2026-3-27 | Unintended Discharge Behaviour of a Degraded 1200 mAH Li-Ion 18650 Battery Pack: A Case Study
[IEEE] 2026-3-27 | An Efficient Prediction Method for Boiler Water Wall Temperature Based on Thermal Inertia Modeling and State-Space Enhancement
[IEEE] 2026-3-27 | Optimal Scheduling Strategy of Wind-Thermal-Storage Multi-Energy Complementary System Based on Deep Reinforcement Learning
[IEEE] 2026-3-27 | A Hierarchical Grid-Based Method for Wing Deformation Measurement
[IEEE] 2026-3-27 | Simulation Study of Interfacial Pressure of 110 kV Integral Prefabricated Cable Intermediate Joint Based on Ultrasonic Nonlinear Effect
[IEEE] 2026-3-27 | Research on Energy Management Strategy of All-Electric Ship Power System Based on Improved Deep Reinforcement Learning
[IEEE] 2026-3-27 | LLM Powered Command Line Interface Agent: A Comparative Analysis
[IEEE] 2026-3-27 | Acupoint recommendation and knowledge graph analysis based on improved convolutional network
[IEEE] 2026-3-27 | Predicting Remaining Driving Range of Electric Vehicles Using a Lightweight Transformer Model in a Connected Vehicle Environment
[IEEE] 2026-3-27 | Wearable Technology to Mitigate Bad Elevator Design
[IEEE] 2026-3-27 | Memory Safety in Linux Device Drivers: Enhancing Security with Formal Verification
[IEEE] 2026-3-27 | Cross-Domain HVAC Fault Detection Using Attention-Based Temporal Modeling
[IEEE] 2026-3-27 | Satellite Image Manipulation Detection via Spherical Space Domain Adaptation
[IEEE] 2026-3-27 | Research on Power Probability Forecasting Method for Photovoltaic Cluster Based on MIC and MQ-WaveNet
[IEEE] 2026-3-27 | Research on Multi Beam Correction of Semiconductor Epitaxial Layer Thickness Measurement Based on Infrared Interference Method
[IEEE] 2026-3-27 | Transformer Fault Detection based on KPCA and GOA Optimization of KELM
[IEEE] 2026-3-27 | A Decentralized, Offline EV Charging and Battery Swapping Platform with Real Time Station Tracking
[IEEE] 2026-3-27 | Synergistic Low-Carbon and Flexible Operation of Medium-Voltage AC/DC Distribution Networks: A Generalized Nash Equilibrium Approach
[IEEE] 2026-3-27 | Dynamic Variable Selection for subQUBO Annealing Using Hamming Weight
[IEEE] 2026-3-27 | Parallel Genetic Algorithms for the Traveling Salesman Problem: A Comparative and Scalable Study
[IEEE] 2026-3-27 | A Position Paper: Exploring the Self-Regulated Learning in AI-Human Collaborative Classrooms: Applications, Challenges, and Future Research Directions
[IEEE] 2026-3-27 | Risk Assessment of Matter Protocol using Markov’s Decision Process
[IEEE] 2026-3-27 | From Sketch to Structure: Agentic Prompting for Business Process Diagram Understanding with Vision–Language Models
[IEEE] 2026-3-27 | Fusion of Supervised Feature Selection and Unsupervised Clustering for Multinuclei Classification of MER Signals in DBS for Parkinson’s Disease
[IEEE] 2026-3-27 | Fre-STformer: A Frequency-based Spatio-Temporal Transformer for UAV Human Action Recognition
[IEEE] 2026-3-27 | Identification of lumped parameters to model NI HTS coils using DC and AC conditions
[IEEE] 2026-3-27 | Video Quality Assessment Principles Applied to Text: Spectral Metrics for LLM Evaluation
[IEEE] 2026-3-27 | IEEE Transactions on Circuits and Systems--II: Express Briefs Publication Information
[IEEE] 2026-3-27 | Dual Conformal Feed Dielectric Resonator Antenna With Triangular Metallic Upper Patch For 5G FR1 n79 Frequency Band
[IEEE] 2026-3-27 | A Deep Learning Framework for Depression Detection from Speech Patterns
[IEEE] 2026-3-27 | Enhancing Early Stroke Detection Using Machine Learning Models:A Comparative Study with XGBoost
[IEEE] 2026-3-27 | A Deep Learning-Based Intelligent Misinterpretation Detection Algorithm for Cross-Cultural Communication
[IEEE] 2026-3-27 | Photometric Stereo and Deep Learning-Based Method for Surface Defect Detection of Automotive Sheet Metal Panels
[IEEE] 2026-3-27 | Ground Point Extraction from LiDAR Point Clouds in Diverse Terrain Environments and Corresponding DEM Construction
[IEEE] 2026-3-27 | Research on Model Optimization Using Deep Learning in Intelligent Employment Guidance Systems
[IEEE] 2026-3-27 | Deep Learning-based Air Pollutant Particle Prediction Model
[IEEE] 2026-3-27 | Comparative Analysis of Inner Slot Loading in Square Patch Reflectarray Elements
[IEEE] 2026-3-27 | Research on Operational State Prediction and Optimization Methods for New Energy Equipment Based on Digital Twins
[IEEE] 2026-3-27 | Simulation-Guided Real-Time Traffic Congestion Detection Using YOLOv8n
[IEEE] 2026-3-27 | A Novel Hybrid Deep Learning Framework for Intelligent Fire Scene Reconstruction Based on Multi-Source Data
[IEEE] 2026-3-27 | Deep Reinforcement Learning Using Hybrid Action Strategy for Service Restoration in Distribution Network
[IEEE] 2026-3-27 | Optimization of Breakdown Performance of Nano-MgO/XLPE Composite Insulation Dielectrics Based on Orthogonal Experiment
[IEEE] 2026-3-27 | Research on Chinese Named Entity Recognition Based on ResNet Algorithm
[IEEE] 2026-3-27 | Performance Comparison of PMSM Operated Using Solar PV and Battery Energy Storage
[IEEE] 2026-3-27 | A Research on Medical Big Data Security Technology Based on Fog Computing
[IEEE] 2026-3-27 | Enhancing IoT Security with Lightweight XGBoost Based Intrusion Detection System
[IEEE] 2026-3-27 | Probabilistic Forecasting of Photovoltaic Power with Missing Data Using CEEMDAN-STGNN and Quantile-KDE Modeling
[IEEE] 2026-3-27 | Scanpath Prediction Based on Areas of Interest
[IEEE] 2026-3-27 | Design and Implementation of the 1.5 GHz Frequency Synthesizer for the Superconducting Harmonic Cavity System of HALF
[IEEE] 2026-3-27 | A Quantum Frequency-Domain Multi-Qubit Encoding Framework for Robust Video Transmission
[IEEE] 2026-3-27 | Dynamic Fault ARC Feature Extraction and Recognition Technology Scheme in Multi-source Load Scenario
[IEEE] 2026-3-27 | A Novel Quantum-Classical Approach to Digital Differentiation with Kalman Filtering and Quantum Dots
[IEEE] 2026-3-27 | Multi-Frame Optimized Virtual Reference Frame for Low-Delay Predictive Video Compression
[IEEE] 2026-3-27 | Toe Grip Strength Training Application for Preventing Falls Among the Elderly
[IEEE] 2026-3-27 | Research on Helicopter Flight Safety Detection Algorithm Based on Weighted Calculation
[IEEE] 2026-3-27 | Hybrid XGBoost and ANN Model Based Ship Speed Prediction in Real Weather Conditions
[IEEE] 2026-3-27 | Edge AI-Enabled Real-Time Gesture Recognition for UAV Control
[IEEE] 2026-3-27 | Research on Stock Market Sentiment Analysis Methods and Models Based on Image Processing Algorithms in Financial Markets
[IEEE] 2026-3-27 | Design of a Model for Building Excellent Management Capabilities for Multi-Agent Ecological Collaboration in Power Grids
[IEEE] 2026-3-27 | Line-of-Sight Probability in Macrocells: Framework, Statistical Models, and Parametrization From Massive Real-World Datasets in the USA
[IEEE] 2026-3-27 | Affordable Low-Wind Rooftop Wind Turbine Energy System Design for Rural Electrification
[IEEE] 2026-3-27 | Sustainable Delta-Attention Based Transformer for Efficient Phishing URL Detection
[IEEE] 2026-3-27 | Correlating Teacher Facilitation Strategies with Student Engagement in AI Chatbot-Supported Asynchronous Learning Environments
[IEEE] 2026-3-27 | Research on AI-Based Optimization Design of Energy Heat Transfer Systems
[IEEE] 2026-3-27 | Design of Micro-wind Power Ecological Lighting Device Based on Blade Element-Momentum Theory
[IEEE] 2026-3-27 | A Computational Framework for Long-Tailed Traffic Sign Detection: YOLOv8n Enhanced by Color-Constrained Data Augmentation
[IEEE] 2026-3-27 | An Anonymous and Secure IoT Session Sharing for Industrial Automation Using Ring Signature Scheme
[IEEE] 2026-3-27 | Reinforcement Learning in Personalized Vocabulary Training for Esl Students
[IEEE] 2026-3-27 | Generative AI and the Evolving Multimedia Professional: Insights from Graduating Students on Identity, Value, and Adaptation
[IEEE] 2026-3-27 | Design of a Fire Warning Device for New Energy Vehicles
[IEEE] 2026-3-27 | Inter-Agent Beliefs for Learning to Communicate in Large-Scale Multi-Robot Visual Object Search_supp1-3677944.mp4
[IEEE] 2026-3-27 | Improved Lyapunov Stability Criteria of Delay Systems and Application to Uncertain Complex Networks: New Uncertainty Estimation Method
[IEEE] 2026-3-27 | Beyond the Voice: Inertial Sensing of Mouth Motion for High-Security Speech Verification
[ACM] 2026-3-27 | Invited: Navigating the Frontier of Optimality and Complexity: Advanced Design Automation for Wavelength-Routed ONoCs
[ACM] 2026-3-27 | Invited: Breaking through Chip Design Barriers with AI-powered Physical Design Methodologies
[IEEE] 2026-3-27 | DualBAN: Unifying Intra- and Inter-molecular Features for Compound-Protein Interaction Prediction
[IEEE] 2026-3-27 | Low-Complexity Algebraic Soft Decoding of Hermitian Codes with Re-Encoding Transform
[IEEE] 2026-3-27 | From Specialist to Large Models: A Paradigm Evolution Towards Semantic- Aware MIMO
[IEEE] 2026-3-27 | Power Budgeting of Homogeneous 3-D Processors in Dark Silicon
[IEEE] 2026-3-27 | SeeGait: Synergistic Co-evolving Representations for Multimodal Gait Recognition via Hierarchical Multi-Stage Fusion
[IEEE] 2026-3-27 | ICCE 2026 Opinion
[IEEE] 2026-3-27 | Pancreatic Tumor Detection in CT Images Using a Hybrid Deep Learning Framework
[IEEE] 2026-3-27 | Title Page
[IEEE] 2026-3-27 | Optimized Computational Framework for Multivariate System Analysis: Integrating Simulated Annealing with Gray Correlation
[IEEE] 2026-3-27 | Large-Scale and High-Accuracy OAM Mode Recovery, Recognition, and Demodulation Based on Hybrid Transfer Networks under Atmospheric Turbulence_supp1-3677873.docx
[IEEE] 2026-3-27 | EarthMapper: Visual Autoregressive Models for Controllable Bidirectional Satellite–Map Translation
[IEEE] 2026-3-27 | Table of Contents
[IEEE] 2026-3-27 | Front Matter
[IEEE] 2026-3-27 | FlexiCup: Wireless Multimodal Suction Cup with Dual-Zone Vision-Tactile Sensing_supp1-3678111.mp4
[IEEE] 2026-3-27 | Programmable clock distribution using switching matrices for field programmable gate arrays
[IEEE] 2026-3-27 | Generalized Class-Incremental Lifelong Transfer Diagnosis of Machinery Faults in Industrial Streaming Data and Time-varying Working Conditions
[IEEE] 2026-3-27 | Hyperspectral Image Denoising via Deep Block Term Decomposition_supp1-3678023.pdf
[IEEE] 2026-3-27 | Inter-Agent Beliefs for Learning to Communicate in Large-Scale Multi-Robot Visual Object Search_supp4-3677944.mp4
[IEEE] 2026-3-27 | Adaptive Prediction-Based State Estimation in Edge-Enabled Active Distribution Networks
[IEEE] 2026-3-27 | Design of a Multi-Core Hybrid CMOS-Memristor Chip for Analog Programming
[IEEE] 2026-3-27 | Enhancing Role-Playing Language Models via Similar-Scene Generation
[IEEE] 2026-3-27 | TinyGate: A Confidence-Aware Lightweight Framework for Real-Time EEG Dementia Screening
[IEEE] 2026-3-27 | Design and Energy Management of Solar PV-BESS Integrated Off-Grid Electric Vehicle Charging Station
[IEEE] 2026-3-27 | Photovoltaic Power Prediction Using XGBoost with Feature Selection and Sparrow Search Algorithm Optimization
[IEEE] 2026-3-27 | PACU: Real-Time SELinux Policy Audit and Control Utility for Embedded Android Systems
[IEEE] 2026-3-27 | A Novel Energy Storage Sources Capacity Planning Method under Extreme Weather Events with Constrained Renewable Energy Sources Outputs
[IEEE] 2026-3-27 | Enhancing EV Load Forecasting in Data-Scarce Environments Through Cluster-Informed Transfer Learning
[IEEE] 2026-3-27 | Off-line LLM-based decision tool to help advise Farmers in sub-Saharan Africa for Enhanced Decision Making in Goat Care
[IEEE] 2026-3-27 | Research on Optimization and Control Mechanism of Intelligent Microgrid for Vehicle-Grid Interaction
[IEEE] 2026-3-27 | Improved Random Forest and Multi-source Feature Fusion Method for Partial Discharge Warning of Sensors in Distribution Network
[IEEE] 2026-3-27 | Ultra-Short-Term Wind Power Forecasting via a Dish-CONET-TimesNet Hybrid Model
[IEEE] 2026-3-27 | Research on Short-Circuit Current Limiting Measures Considering Changing the Local Structure of Large-Scale Power Grids
[IEEE] 2026-3-27 | Research on Distributed PV Disturbance Monitoring Technology Based on Dual-Peak Spectral Line Interpolation Algorithm
[IEEE] 2026-3-27 | Enhanced Fault Tolerance and Self-Healing DC-DC Converter for Uninterrupted Conversion in PV System
[IEEE] 2026-3-27 | A Hybrid Model for Short-Term Photovoltaic Power Forecasting Based on CNN-BiLSTM and Scenario-Adaptive LSTM
[IEEE] 2026-3-27 | Intelligent Sensing and Data Processing Model in a Slurry Solidification Mechanical Filter Press System
[IEEE] 2026-3-27 | Supporting Capacity Evaluation of Pumped Storage Unit Based on Evolutionary Combination Weighting-Cloud Model
[IEEE] 2026-3-27 | Real –Time RNN-Based Energy Management for HEV using Battery Capacitor Hybrid with Cloud Feedback
[IEEE] 2026-3-27 | A High Performance Intelligent Spectrum Sensing under Low SNR in Cognitive Radio Networks using Hybrid Framework
[IEEE] 2026-3-27 | Research on Battery Powered Hybrid Propulsion Scheme Design and Performance Optimization for Small Aircrafts’ Mission Requirements
[IEEE] 2026-3-27 | Fingerprint Biometric Recognition Using Dabc and Tanh-Based Fuzzy Activated Neural Network
[IEEE] 2026-3-27 | A New Approach for Object Detection Using YOLO v11 and Trajectory Estimation Using an IMM Filter
[IEEE] 2026-3-27 | An Agentic AI Framework for Strengthening Preventive Healthcare
[IEEE] 2026-3-27 | Theoretical Estimation of Positive-Sequence Reactive Current Limits During Asymmetrical Grid Faults for Cascaded Delta-Connected STATCOM
[IEEE] 2026-3-27 | Research on Fault Scenario Modeling and Planning Technology for Distribution Networks Based on Monte Carlo and Clustering Methods
[IEEE] 2026-3-27 | Design and Implementation of a Game Data Management System Based on SpringBoot and Vue
[IEEE] 2026-3-27 | Electrical characterization of screen-printed electrodes for toxic heavy metal detection
[IEEE] 2026-3-27 | DSP-Based HIL Emulator for Power Converters
[IEEE] 2026-3-27 | Intelligent Agricultural Product Quality Monitoring System Leveraging Sensor Network Data
[IEEE] 2026-3-27 | Research on Modeling and Prediction Algorithm for Multivariate Time Series Data Based on Fusion of Spatial Statistics and Machine Learning
[IEEE] 2026-3-27 | Efficient Control System Design of Isolated Bidirectional DC/DC Series Resonant Converter in Traction Application
[IEEE] 2026-3-27 | When Bigger Isn’t Stronger: Reassessing Security in Hardware Obfuscation
[IEEE] 2026-3-27 | A New Fault Isolation Method Based on HBSM-MMC + DC Circuit Breaker
[IEEE] 2026-3-27 | Explainable AI for Smart Power Converters: Interpretability and Trust in ML-Based Control Systems
[IEEE] 2026-3-27 | Multi-Area Dynamic Optimal Power Flow Considering Carbon Cap-and-Tax in High Renewable Energy Penetration System
[IEEE] 2026-3-27 | Assessment of Skin Contact for Ultra-Wideband Microwave Breast Scanner
[IEEE] 2026-3-27 | Computational Efficiency Analysis of the Water Cycle Algorithm in Path Loss Modeling for Agricultural Wireless Sensor Networks
[IEEE] 2026-3-27 | Transformer-Aware Graph Convolutional Network for Anomalous Bitcoin Transaction Detection
[IEEE] 2026-3-27 | Design and Development of Gyrotropic Material to Effectively Shield High Frequency Signals
[IEEE] 2026-3-27 | Performance Analysis of Parallelized GPS Navigation System Using OpenMP and CUDA
[ACM] 2026-3-27 | HypeMed: Enhancing Medication Recommendations with Hypergraph-Based Patient Relationships
[IEEE] 2026-3-27 | Construction and Application of University Agent Space Based on Ecosystem Theory
[IEEE] 2026-3-27 | Self-Contained Edge AI for Offline Lecture Summarization: A Raspberry Pi-Based System with Integrated Secure FTP
[IEEE] 2026-3-27 | Credit Card Fraud Detection System Using Machine Learning And Deep Learning Algorithms
[IEEE] 2026-3-27 | RABEM: Risk-Adaptive Bayesian Ensemble Model for Credit Card Fraud Detection
[IEEE] 2026-3-27 | High-Quality K-12 Educational Datasets for Generative AI: Definitions, Key Technologies, and Pathway Mechanisms
[ACM] 2026-3-27 | Invited: Polymath: Self-Improving Hierarchical Workflow for Multi-Domain Problem Solving
[ACM] 2026-3-27 | Timing-Aware End-to-End Circuit Compilation Framework for Modular Quantum Systems
[ACM] 2026-3-27 | A Survey on Graph Neural Network Acceleration: Algorithms, Systems, and Customized Hardware
[IEEE] 2026-3-27 | GVICA: A Multi-Channel EEG Hierarchical Noise Reduction Framework Based on GWO Dynamically Optimized VMD-ICA Fusion_supp1-3677897.docx
[IEEE] 2026-3-27 | ICPEGE 2026 TOC
[IEEE] 2026-3-27 | 2025 2nd International Conference on Artificial Intelligence and Teacher Education (ICAITE)
[IEEE] 2026-3-27 | Author Index
[IEEE] 2026-3-27 | Cross-Dialectal Transfer Learning for Offensive Language Detection in Arabic
[IEEE] 2026-3-27 | Fuzzy Clustering Means Integrated Multi-Level Learning for Contrastive Multi-View Clustering
[IEEE] 2026-3-27 | Graph-Based Representation Learning with Beta Uncertainty for Enhanced Multimodal Emotion Recognition
[IEEE] 2026-3-27 | Conference Committee
[IEEE] 2026-3-27 | Path Planning for UAV Entry and Exit in the Electric Field of UHV Transmission Lines
[IEEE] 2026-3-27 | Research on Real-time Verification Method for Low Frequency and Low Voltage Load Shedding Control Scheme
[IEEE] 2026-3-27 | On the de Bruijn Sequences Representation of User Clickstream Data
[IEEE] 2026-3-27 | Combination of Traditional Teaching and AI-Guided Self-Directed Learning on Theoretical Learning and Academic Performance in High-Workload Immunobiology Courses
[IEEE] 2026-3-27 | Comparative Analysis of Gradient Boosting and Transformer Based Models for Multiclass Haemophilia Classification Using Genetic and Clinical Data
[IEEE] 2026-3-27 | Stability Analysis of Vehicle-Grid System Considering Improved Phase-Locked Loop
[IEEE] 2026-3-27 | MedGuardChain: Blockchain-Based Intelligent Cyber Defense Framework for Secure Electronic Health Records
[IEEE] 2026-3-27 | Research on Plug-and-Play Communication Mechanism for Distributed Energy Storage Systems
[IEEE] 2026-3-27 | Evaluating Generalization and Robustness of U-Net Based Image Steganography
[IEEE] 2026-3-27 | Research and Design of Precision Feeding Systems for Smart Pig Farms
[IEEE] 2026-3-27 | Online DC Bias Compensation in Wind Turbine Transformers Using Converter-Embedded Intelligence for Vibration Mitigation
[IEEE] 2026-3-27 | Deep Learning-Based Accent Analysis for Pronunciation Improvement in Language Classrooms
[IEEE] 2026-3-27 | Research on Quantifying Model Uncertainty in Complex System Simulation Tests
[IEEE] 2026-3-27 | Teaching the Machine, and Trusting the Machine: Unpacking the Pitfalls of LLMs in Education
[IEEE] 2026-3-27 | SCaLT-Based Deep Learning Framework for Signal Classification Using MobileNetV2
[IEEE] 2026-3-27 | Research on the Implementation of Chinese Painting Artistic Concepts in Computer-Assisted Film and Television Animation Creation
[IEEE] 2026-3-27 | MA
                    <sup>2</sup>
                    -VD: Cross-Modal Vulnerability Detection Across Source and Binary Code via Modal Adapters and Memory Alignment
[IEEE] 2026-3-27 | Water Surface Garbage Detection and Autonomous Navigation Cleaning Technology Based on an Enhanced YOLO Visual Algorithm
[IEEE] 2026-3-27 | Teaching in the Age of AI: Exploring the Role of Microsoft Copilot Vision in Redefining Teacher-Student Interaction and Promoting Educational Equity
[IEEE] 2026-3-27 | Research on Adaptive Defense Mechanisms for Cybersecurity in IPv6-Based Smart Substation Networks
[IEEE] 2026-3-27 | Cognitive Perturbation Search: A Simple and Adaptive Algorithm for Continuous Optimization and Neural Network Training
[IEEE] 2026-3-27 | A Real-Time Power Quality Evaluation Method Based on the Dual-Track Integration of Dynamic Empowerment and Data Grading
[IEEE] 2026-3-27 | Hybrid Clustering Algorithm for Language Proficiency Profiling in Online Tutoring Systems
[IEEE] 2026-3-27 | Multimodal Pipe Defect Diagnosis with Transformer-Based Cross-Modal Learning
[IEEE] 2026-3-27 | Real-Time Early Warning Model of Psychological Abnormality of Plateau Emergency Personnel Based on Multimodal Physiological Signals
[IEEE] 2026-3-27 | Design and Implementation of a 2 kbit EEPROM Circuit
[IEEE] 2026-3-27 | Compact High-Frequency Antenna Design for 25.72 GHz Short-Range Radar Systems
[IEEE] 2026-3-27 | Bayesian Network Algorithm-Based Safety Prevention Risk Assessment Method for Nuclear Power Plant Construction EPC Mode
[IEEE] 2026-3-27 | Transfer Learning for Predictive Maintenance in E-Mobility Using IoT and Digital Twins
[IEEE] 2026-3-27 | The research on the application of computer vision based on depth camera in robotic arm control
[IEEE] 2026-3-27 | Predictive Maintenance Model and System Integration for Warehouse Equipment Based on Digital Twins and Deep Learning
[IEEE] 2026-3-27 | Road Safety for Everyone: An AI-enabled Pothole Detection System
[IEEE] 2026-3-27 | Distributed Photovoltaic Electricity Generation Prediction Considering Spatiotemporal Complementarity Characteristics
[ACM] 2026-3-27 | Hyperspherical Representation Learning of Axial Data via Axial VAEs with Watson Distribution
[ACM] 2026-3-27 | Reactive model-based testing of cyclic systems
[IEEE] 2026-3-27 | Research on Software Reliability Prediction Methods for Intelligent Measurement Equipment
[IEEE] 2026-3-27 | Path Planning for Substation Cable Laying Based on A-Star Algorithm
[IEEE] 2026-3-27 | Performance Benchmarking of DC-DC Converter Controllers for Hydrogen Electrolyzer Load
[IEEE] 2026-3-27 | An Intelligent RL-Enable Energy Aware Routing for Wireless Sensor Networks
[IEEE] 2026-3-27 | A Wavelet Transform Approach for Short-Circuit Fault Diagnosis in Smart Transformer-Based Meshed Hybrid Microgrids
[IEEE] 2026-3-27 | RFID–Edge–Federated Learning Decision Support for Retired Power Equipment: Recovery, Dismantling, and Recycling in the Circular Economy
[IEEE] 2026-3-27 | Comparative Evaluation of DNNs and Template Matching for GUI Validation on Android Devices
[ACM] 2026-3-27 | Invited: Addressing Electromigration Challenges in 3D Integrated Circuit (3DIC) Wafer-On-Wafer Technology: EM analysis in 3DIC – status and challenges
[IEEE] 2026-3-27 | SD-Net: A Synergistic Dual-Branch Network for Fine-Grained Building Extraction
[IEEE] 2026-3-27 | Deep Learning for Channel Estimation in RIS-NOMA-assisted THz Communications over Generalized Fading Channels
[IEEE] 2026-3-27 | The Meta Distribution of the SINR in Joint Communication and Sensing Networks
[IEEE] 2026-3-27 | GridFusionX: Network-Aware Probabilistic Forecasting for Multi-Regional Power Systems
[IEEE] 2026-3-27 | Multi-Scale Convolutional Attention Model for GNSS Jamming Recognition
[IEEE] 2026-3-27 | Iterative Token Refinement for Remote Sensing Image Super-Resolution
[IEEE] 2026-3-27 | Inter-Agent Beliefs for Learning to Communicate in Large-Scale Multi-Robot Visual Object Search_supp2-3677944.mp4
[IEEE] 2026-3-27 | Integrating Historical Rules and Curriculum-Enhanced Embeddings for Temporal Knowledge Graph Forecasting
[IEEE] 2026-3-27 | LMDA: Lightweight Multi-authority CP-ABE Scheme based on Dynamic Attributes for System Wide Information Management
[IEEE] 2026-3-27 | Marginal Effect-Driven Participant Selection With Local Differential Privacy for Mobile Crowdsensing_supp1-3676248.pdf
[IEEE] 2026-3-27 | Scalable and Efficient Reinforcement Learning for Virtual Machine Rescheduling in Cloud Data Centers_supp1-3674891.pdf
[IEEE] 2026-3-27 | Using AI and Corpus-Based Tools for Teaching Terminological Collocation in the Field of Aerospace Engineering
[IEEE] 2026-3-27 | Recent Advances in Battery Management System Topologies for Electric Vehicles
[IEEE] 2026-3-27 | A Multi-Timescale Optimal Scheduling Strategy for Virtual Power Plants with Coordinated Diverse User-Side Resources
[IEEE] 2026-3-27 | Research on the Balance of Public Interests and Optimization of Energy Efficiency Governance in AI Collaborative Control of New Energy Microgrids in the Greater Bay Area
[IEEE] 2026-3-27 | Early Detection of Plant Diseases Using IoT Sensors and Machine Learning Algorithms
[IEEE] 2026-3-27 | Efficacy of a Conventional Kalman Filter for Side-Channel-Noise (SNI) Mitigation in an SST-Based Power System
[IEEE] 2026-3-27 | Leveraging Deep Convolutional and Transformer Networks for Robust Leukemia Classification in Blood Smear Images
[IEEE] 2026-3-27 | Prediction and Optimization of Hospital Bed Allocation Using Disease Pattern
[IEEE] 2026-3-27 | A Fault Diagnosis Method for Aircraft Engine Bearings Based on Variational Mode Decomposition and Fused Features
[IEEE] 2026-3-27 | Design and Implementation of Single Carrier Frequency Domain Equalization Based PHY Layer
[IEEE] 2026-3-27 | A Deep Learning Based Approach for the Detection of Landslide in Image Data
[IEEE] 2026-3-27 | Research on User Behavior Prediction Based on XGBoost Model Enhanced by Energy Valley Optimizer
[IEEE] 2026-3-27 | Evaluating Foundational Depth Models for Zero-shot 3D Box Lifting from 2D detections
[IEEE] 2026-3-27 | Balancing Intelligence and Efficiency: Lightweight AI for Intrusion Detection in IIoT
[IEEE] 2026-3-27 | Development of a Human–Computer Interaction System and Machine Learning-based User Satisfaction Prediction
[IEEE] 2026-3-27 | Research on Transformer Interturn Short-Circuit Fault Identification Method Based on Multiphysics Simulation and Swin Transformer Algorithm
