[2026-08-17 22:23:35] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-16
正在获取论文...
[ACM] 2026-8-17 | Introduction to the Special Section on USENIX FAST 2025
[IEEE] 2026-8-17 | Path Tracking Method for Amphibious Robots in Shallow Water Environments
[IEEE] 2026-8-17 | MF-RWKV: A Multi-Scale Feature Fusion Network Based on RWKV for Brain Tumor Image Segmentation
[IEEE] 2026-8-17 | Regime-Dependent Post Hoc Uncertainty in Lightweight Image Classification
[IEEE] 2026-8-17 | A Modified MobileViT Framework Incorporating Enhanced Ghost Bottlenecks and Parallel Asymmetric Convolutions for Brain Tumor Classification using MRI images
[IEEE] 2026-8-17 | A Wireless Bioelectronic Patch for Gastric Sensing and Stimulation
[IEEE] 2026-8-17 | Joint Trajectory and Beamforming Optimization in Multi-UAV Relay Networks
[IEEE] 2026-8-17 | Intelligent Tracking Control of Bionic Legs Under Output Constraints and Disturbances
[IEEE] 2026-8-17 | Adaptive Cyber Deception with Honeypots for Active Defense: A Stackelberg POSG Model with Deep Reinforcement Learning
[IEEE] 2026-8-17 | Quantitative Detection of Overhead Contact System Insulator Damage Defects Based on YOLOv8-OVC
[IEEE] 2026-8-17 | XGBoost-Driven Forecasting of Crude Oil Prices: A Comparative Machine Learning and Stochastic Evaluation
[IEEE] 2026-8-17 | Cardiovascular Disease Detection using Supervised Machine Learning: An Empirical Study
[IEEE] 2026-8-17 | TinyML-based Edge Intelligence With Real-Time Earth Tremor Detection In Low-Power IoT Devices
[IEEE] 2026-8-17 | Ship Trajectory Prediction Method Based on Intention Awareness and Long-Short Term Temporal Attention
[IEEE] 2026-8-17 | Surgical-AGPSAM2 for Auto-Generated Prompts in Surgical Instrument Segmentation
[IEEE] 2026-8-17 | A Semi-Supervised Medical Image Segmentation Framework Based on Masked Image Modeling and Sequential SAM Feature Fusion
[IEEE] 2026-8-17 | FPGA-Based Streaming Implementation of SZx Compression Algorithm
[IEEE] 2026-8-17 | IMUSIC-Based Adaptive Beamforming for Multipath Mitigation in UAV Communications
[ACM] 2026-8-17 | Let It Be Optimized: Building Multi-stage Evaluators with Let-Insertion and Optimizations in Small Pieces (Functional Pearl)
[ACM] 2026-8-17 | Compositional Neural-Cyber-Physical System Verification in the Interactive Theorem Prover of Your Choice
[IEEE] 2026-8-17 | Fast Hotspot Analysis Applying Physics-based Electromigration Models
[IEEE] 2026-8-17 | The Relevance and Applications of eBPF and XDP in Modern Network Security and Observability Systems
[IEEE] 2026-8-17 | A Composite Variable Impedance Control Architecture with Adaptive Feedforward Assistance for Rehabilitation Exoskeletons
[IEEE] 2026-8-17 | Hydrodynamic Characteristics and Transient Flow Field Analysis of a Manta Ray-inspired Robot in Steady Inflow
[IEEE] 2026-8-17 | Research on Underwater Vision Technologies for Autonomous Robotic Perception
[IEEE] 2026-8-17 | Directional Modulation Design for Movable Antenna Systems With Discrete Candidate Positions
[IEEE] 2026-8-17 | Design of an Automated Water Treatment System (WTP) for YAP Tank (Bak YAP) Based on Programmable Logic Controllers (PLCs)
[IEEE] 2026-8-17 | Design and Control of Single-Instrument Master-Slave System for Vascular Interventional Surgery
[IEEE] 2026-8-17 | Pneumonia Detection from Chest X-Ray Images Using Deep Learning with Grad CAM Explainability
[IEEE] 2026-8-17 | PEPD: Secure-Aggregation-Compatible Label-Flip Poisoning Detection via Selective Layer Disclosure
[IEEE] 2026-8-17 | A Variability-Aware Compact Memristor Model for HfO
                    <sub>2</sub>
                    -based 1T1R ReRAM Devices
[IEEE] 2026-8-17 | Simulation and Implementation of a 3D LiDAR SLAM and Autonomous Navigation System Based on Isaac Sim and Fast-LIO2
[IEEE] 2026-8-17 | A Hybrid Deep Learning Approach for Speech Emotion Recognition
[IEEE] 2026-8-17 | Development of Real-Time Monitoring System for Stable Photoresist Droplet Jetting
[IEEE] 2026-8-17 | AI-Based Digital Security Management System for Schoolchildren: Architecture, Detection Models, and Real-Time Intervention
[IEEE] 2026-8-17 | Towards Green for Low-Altitude Edge Intelligent Networks: A Survey from Signal Perspective to Network Perspective
[IEEE] 2026-8-17 | Active Bird Collision Avoidance with Wind Turbines Using LPV Control
[IEEE] 2026-8-17 | Pattern-Enhanced RT-DETR for Multi-Class Battery Detection
[IEEE] 2026-8-17 | A Novel Solar Panel Integrated Microstrip Antenna for Small Satellite Payloads
[IEEE] 2026-8-17 | Adaptive Super Twisting Sliding Mode Control for Robust Yaw Stabilization of Twin Rotor MIMO System
[IEEE] 2026-8-17 | S2MNET: a Contrastive Learning Framework with Geometric Semantics for 2D Map Geo-Localization
[IEEE] 2026-8-17 | A SegFormer-Based Semantic Segmentation Approach for Autonomous Driving Decision Making Using Stereo Vision
[IEEE] 2026-8-17 | An Improved SuperPoint-Based Image Stitching Method for Shipborne Navigation Images
[IEEE] 2026-8-17 | High-Precision Edge Segmentation Method for Iron Ore Pellets Based on CBAM Attention Mechanism and Improved U-Net
[IEEE] 2026-8-17 | Analysis and Optimization of Gear Meshing Noise in a New Energy Vehicle
[IEEE] 2026-8-17 | Machine Learning-Based Assessment of Hydropower Integration and Regional Net Exchange in East Kazakhstan
[IEEE] 2026-8-17 | Deepfake Technologies as a Cybersecurity Threat in Digital Environments
[IEEE] 2026-8-17 | PRAVAH: A Multi-Layered Closed-Loop Architecture for Autonomous Traffic Signal Control and Predictive Traffic Management
[IEEE] 2026-8-17 | AUV Dynamics Model Identification via Informative Maneuvering Samples and Stepwise Grey-Box PINN
[IEEE] 2026-8-17 | A Wheeled Bipedal Robot Capable of Autonomous Docking
[IEEE] 2026-8-17 | Using PRINCE2 in the Development of Financial Monitoring Systems
[IEEE] 2026-8-17 | Edge-AI based Cardiac Healthcare: Detection of Aortic Stenosis on a Resource Constrained Hardware using Seismocardiogram signal
[IEEE] 2026-8-17 | Engineering Application of Improved YOLO-v7 for Inner-Wall Defect Detection in Nuclear Power Plant Pipelines
[IEEE] 2026-8-17 | Robust Semantic SAR Image Transmission via Diffusion Model
[IEEE] 2026-8-17 | Implementation of Secure DevOps (DevSecOps) in System Administration Workflows
[IEEE] 2026-8-17 | Effect of Additives on the Surface Quality of Metal Micropatterns in Femtosecond Laser-Induced Electrochemical Deposition
[IEEE] 2026-8-17 | ML-Based Tool Condition Monitoring Under Different Operating Conditions Using Training from Scratch: A Review
[IEEE] 2026-8-17 | A Rag-Based Remote Manufacturing Supervision Quality Alarm Method
[IEEE] 2026-8-17 | A Multi-Scale U-Net for Guidewire Segmentation in Vascular Interventional Images
[IEEE] 2026-8-17 | Near-Field Beamfocusing for Large-Array Vehicular ISAC
[IEEE] 2026-8-17 | Keynote Wahab
[IEEE] 2026-8-17 | Research on Optimization of Depth-Keeping Control for Underwater Vehicles Based on Six-Parameter PSO Fuzzy PID Control Method
[IEEE] 2026-8-17 | TZRIMA: A Runtime Integrity Measurement Architecture for ARM TrustZone-Based TEE
[IEEE] 2026-8-17 | An Acoustic Prior-Guided Dynamic Attention Network and its Application in Tibetan Speech Emotion Recognition
[IEEE] 2026-8-17 | Video stream interception of IoT system
[IEEE] 2026-8-17 | Deep Learning with Cross-Scale Attention for Multi-Scale Person Re-Identification
[IEEE] 2026-8-17 | Second-Order Semantic Modeling: Learning the Space of Plausible Meanings in Language
[IEEE] 2026-8-17 | Near-Field XL-MIMO Joint Channel Estimation and Localization Based on Deep Learning
[IEEE] 2026-8-17 | A Deep-Learning-Assisted Capacitive Sensor for Non-Contact Human-Machine Interaction_supp1-3722073.docx
[IEEE] 2026-8-17 | AI-based Digital Assessment of Gross Motor Function in Metachromatic Leukodystrophy
[IEEE] 2026-8-17 | Cognitive Approaches for Dynamic Allocation of Vehicles in Real-Time Logistics
[IEEE] 2026-8-17 | Experimental Performance Analysis of a 10 Wp Polycrystalline PV Module with Flat Mirror Reflector and Thermoelectric Cooling System
[IEEE] 2026-8-17 | Development of a Smart Biomimetic Fish Robot Integrating Autonomous Navigation, Obstacle Avoidance, and Real-Time Motion Control
[IEEE] 2026-8-17 | Cover Page
[IEEE] 2026-8-17 | An Attention-Guided Dual-CNN Feature Fusion and GA-Based Optimization Framework with Meta-Ensemble Classification for Preventing Non-Consensual Sexting
[IEEE] 2026-8-17 | Decentralized Sequential Detection of a Non-Cooperative Target with Randomly-Fluctuating Emission
[IEEE] 2026-8-17 | Leveraging LLM for Semantic Interpretation of Fused Vibro-Acoustic Descriptors in Multi-Fault Diagnosis
[IEEE] 2026-8-17 | IEEE Transactions on Nuclear Science publication information
[IEEE] 2026-8-17 | Table of Contents
[IEEE] 2026-8-17 | Towards Wearable High-Density MEG: A Compact, Low-Power, and Scalable OPM-MEG System with Automated Control
[IEEE] 2026-8-17 | Unique Form and Some Construction of Uncorrelated Optimal ZCZ Sequences
[IEEE] 2026-8-17 | Stability-Margin-Aware Lateral Control for Four-Wheel Independent-Drive Electric Vehicles
[IEEE] 2026-8-17 | A 60-m distance measurement exploiting the linewidth narrowing of the SMI readout
[IEEE] 2026-8-17 | Stator-Reluctance Harmonic Shaping Approach for Targeted Torque Ripple Mitigation in Synchronous Machines
[IEEE] 2026-8-17 | Learning to estimate 3D hand pose from depth image
[IEEE] 2026-8-17 | Sliding mode based tracking control of robot manipulators using full-order Lyapunov matrices
[IEEE] 2026-8-17 | Digital Twin Orchestration in Transnational Energy Corridors
[IEEE] 2026-8-17 | Fast adaptive Low-Light Image Enhancement via Mixture of Experts_supp1-3724099.pdf
[IEEE] 2026-8-17 | Testbed and Aerodynamic Modeling of Ground-Air Reconfigurable Robot in Near-Wall Environment of Underground Pipe Gallery
[IEEE] 2026-8-17 | A Curvature-Based Force-Feedback Virtual Reality Training System for Vascular Interventional Surgery Robots
[IEEE] 2026-8-17 | Photolithographically Patterning of Iongel Electrolytes for On-Chip Electrochemical Devices with High Areal Number Density
[IEEE] 2026-8-17 | Distributed Collision Avoidance for Multiple Unicycle Robots with Bounded Speed and Acceleration via Modified Hand Positions
[IEEE] 2026-8-17 | SEM Observation of Poly(acrylic acid) Film on PTFE Treated by Nonthermal Plasma Graft Polymerization
[IEEE] 2026-8-17 | Practical Fixed-Time Tracking Control for a Class of Strict-Feedback Nonlinear Systems: A Fixed-Time Disturbance Observer Approach
[IEEE] 2026-8-17 | Fundamental-Isolated Frame-Skipping Repetitive Control for Harmonic Impedance Reshaping of Grid-Forming Energy Storage VSGs
[IEEE] 2026-8-17 | On Anatomical Prior Kernel Distortion for Tomographic Microwave Imaging Stroke Monitoring_supp1-3724057.pdf
[IEEE] 2026-8-17 | A Current-Sourced Switched-Capacitor Converter (i-SCC) for Integrated Power Conversion With Discrete Inductors and Reduced Package Current
[IEEE] 2026-8-17 | Vision-Language Guided Hyperspectral Object Tracking via Semantics Fusion and Contextual Template Updating
[IEEE] 2026-8-17 | An Explainable and Faithfulness-Aware Retrieval-Augmented Generation Framework with Adaptive Semantic Caching
[IEEE] 2026-8-17 | Predicting Bank Term Deposit Subscription Behavior: A Machine Learning-Based Study
[ACM] 2026-8-17 | Completeness of Iris-Based Program Logics
[IEEE] 2026-8-17 | Risk–Performance Coupling Framework for Intelligent Monitoring in Food Processing Lines
[IEEE] 2026-8-17 | Student Classroom Behavior Detection Based on Keypoint Information and Dual-Stream Graph Convolutional Networks
[IEEE] 2026-8-17 | Scalable Multi-Agent System for Decentralized Peer-to-Peer Energy Trading in Microgrid Based on One-to-Many Negotiation
[IEEE] 2026-8-17 | RF Post-Layout Performance Prediction with Deep Learning and Image Processing
[IEEE] 2026-8-17 | A Robust Hybrid Gesture Recognition Framework for Real-Time Human-Robot Interaction
[IEEE] 2026-8-17 | In-situ Integration and Mechatronic Monitoring of Laminated Thin-Film Strain Sensors on Harmonic Drives for Robotic Joints
[IEEE] 2026-8-17 | Sustainable Operation of Data Centers: Energy Consumption Modeling and Reduction Approaches
[IEEE] 2026-8-17 | Towards Accessible Communication: An AR Framework for Gesture-Based Silent Interaction
[IEEE] 2026-8-17 | Switching (Min, +) Control of Conflicting Timed Event Graphs Under Disturbances and Capacity Constraints
[IEEE] 2026-8-17 | EL-DPTP: An Edge-Cloud Collaborative Framework for Real-Time Anomaly Prediction in College Fees
[IEEE] 2026-8-17 | Digital Twin and IoT Based Intelligent Library Navigation and Localization System
[IEEE] 2026-8-17 | AI Supply Chain Attacks: Risks in Pretrained Models and Third-Party Integrations
[IEEE] 2026-8-17 | Charging-Aware Hybrid Deep Q-Learning for Stable Energy-Constrained UAV Navigation
[IEEE] 2026-8-17 | Continuous Loss of Effectiveness Diagnosis for Electric Power Steering Using PI-UIO
[IEEE] 2026-8-17 | Keynote Haryo
[IEEE] 2026-8-17 | Design of a Lightweight Hip Exoskeleton Based on Cycloidal Joint Actuators
[IEEE] 2026-8-17 | A UFOAttention-YOLOv11-Based Method for Surface Defect Detection of Wind Turbine Blades in Complex Inspection Scenarios
[IEEE] 2026-8-17 | Design and Adaptive Fuzzy Variable Admittance Control of A Wrist Rehabilitation Robot Based on A 3R Spherical Linkage
[IEEE] 2026-8-17 | Stability Analysis of Modular Autonomous Underwater Vehicle during Static Configuration Transformation
[IEEE] 2026-8-17 | Data-Driven Automated Admission Control for Hospital Bed Allocation: A Dynamic Threshold Policy
[IEEE] 2026-8-17 | A Collaborative Fusion Navigation Framework for AGVs in Narrow Dynamic Environments
[IEEE] 2026-8-17 | Spectral Fitting based on Deep Reinforcement Learning for Customized Photobiomodulation Therapy in Home Healthcare
[IEEE] 2026-8-17 | Front Cover
[IEEE] 2026-8-17 | UAV-Based Intelligent Environmental Monitoring of Pollutants in Highway Construction Zones
[IEEE] 2026-8-17 | Centralized and Decentralized Energy Management Controls for Microgrids: Architectures and Open Challenges
[IEEE] 2026-8-17 | Keynote Speakers
[IEEE] 2026-8-17 | A Generated Image Detection Method Based on Data Augmentation and a Global–Local Dual Branch Architecture
[IEEE] 2026-8-17 | Traceable and Revocable Bilateral Access Control with Constant-Length Ciphertexts for Cloud Sharing_supp1-3723924.pdf
[IEEE] 2026-8-17 | Multiple Modalities Image Matching With Large-Scale Pre-Training
[IEEE] 2026-8-17 | Digitalization of Learning Evaluation Using the QuizApp Application
[IEEE] 2026-8-17 | Unsupervised Anomaly Detection in Chaotic Time Series Using Brain-Inspired Cortical Coding
[IEEE] 2026-8-17 | Trajectory Planning of a Mobile Robot Swarm Under Communication Interruptions: A Hybrid NLMPC and Time-Scale Theory Approach
[IEEE] 2026-8-17 | Research on Human Blood Pressure Evaluation Based on Multimodal Deep Learning and Cholesterol Metabolomics
[IEEE] 2026-8-17 | Performance Analysis of a PV–TEG Hybrid System Under Diverse Artificial Light Sources In Indoor Environment
[IEEE] 2026-8-17 | Overcoming Channel Determinism in Maritime UAV Networks via RIS-Assisted PLKG with Deep Learning
[IEEE] 2026-8-17 | Investigation on Buckling Failure of Natural Gas Pipeline with Internal Pressure
[IEEE] 2026-8-17 | Mutual-Coupling-Aware Physical Layer Security Enhancement for RIS-Assisted UAV Networks
[IEEE] 2026-8-17 | Current-Sharing Modulation Strategy for Three-Phase Interleaved FSBB Converter With Ripple Suppression
[IEEE] 2026-8-17 | Federated Learning–Enhanced SIEM for Multi-SOC Collaboration: Toward Intelligent, Privacy-Preserving Cyber Defense
[IEEE] 2026-8-17 | A Cable-driven Continuum Robotic Arms System for Underwater Operations
[IEEE] 2026-8-17 | Decentralized Beamforming with Imperfect CSI for Full-Duplex Integrated Satellite-Terrestrial Networks
[IEEE] 2026-8-17 | Modeling and Performance Analysis of TDMA-Based Access Control in Wireless Ad-Hoc Networks
[IEEE] 2026-8-17 | AI as a tool for cyber attacks
[IEEE] 2026-8-17 | Second-Order Balanced Truncation of RLCk Models via Frequency-Aware Rational Krylov Approximation
[IEEE] 2026-8-17 | Multi-Source Image Processing Based Intelligent Perception Technology for Seagrass Restoration
[IEEE] 2026-8-17 | An Explainable Bi-LSTM-based Intrusion Detection System with Hybrid Feature Selection for NSL-KDD Dataset Analysis
[IEEE] 2026-8-17 | EA-ASnW: Environment Aware Adaptive Spray and Wait Routing for Opportunistic Delay Tolerant Networks
[IEEE] 2026-8-17 | A Conceptual AI-Based Architecture for the Identification and Classification of Ocular Pathologies Considering Ethical Aspects
[IEEE] 2026-8-17 | Web Text Acquisition and Resource Set Construction in Amdo Dialect Regions
[IEEE] 2026-8-17 | SPConv-YOLO: A Small Object Detection Method for Microscopic Blood Cell Images Enhanced by Shifted Pinwheel Convolutions
[IEEE] 2026-8-17 | YOLO-KFI: A Lightweight Model for Sunburn Detection in Densely Distributed Kiwifruit
[IEEE] 2026-8-17 | Predefined-Time Robust Sliding Mode Attitude Control for Quadrotor UAVs
[IEEE] 2026-8-17 | MEETINGS AND SYMPOSIA
[IEEE] 2026-8-17 | Object Specific Explainable Framework For Thermal Images Using Synergistic Approach Integrating YOLO, SAM and RISE Models
[IEEE] 2026-8-17 | DPSC-Net: Discrete Supervision Driven Reconstruction Enhancement for Defocused Fringe Projection 3D Measurement
[IEEE] 2026-8-17 | IEEE Member Discount
[IEEE] 2026-8-17 | Physics-Informed DeepONet with Ensemble Pretraining and Dynamic Loss Weighting for Lithium-Ion Battery State of Health Estimation
[IEEE] 2026-8-17 | Analysis of the Body Effect in a 4H-SiC NMOSFET Temperature Sensor Between100 and 673 K
[IEEE] 2026-8-17 | Label Distribution Learning Via Collaborative Multi-Scale Individual and Global Label Perspectives
[IEEE] 2026-8-17 | IEEE Transactions on Nuclear Science Information for Authors
[IEEE] 2026-8-17 | Semantic Consistency Matters: Language-Driven Trigger-Aligned Diffusion for Multimodal Remote Sensing Model Watermarking
[IEEE] 2026-8-17 | Author response for "A Current-Sourced Switched-Capacitor Converter (i-SCC) for Integrated Power Conversion with Discrete Inductors and Reduced Package Current"
[IEEE] 2026-8-17 | Hierarchical Fuzzy Reinforcement Learning for Variable Impedance Control of Robotic Manipulators
[IEEE] 2026-8-17 | Research on Industrial Heat Source Recognition Methods Integrating Multi-Scale Spatial Analysis and Deep Learning
[IEEE] 2026-8-17 | A 79% Efficient Piezoelectric Harvester with Hybrid Hysteretic Control for Self-Powered Biomedical Sensor Nodes
[IEEE] 2026-8-17 | Automatic Stress Recognition from Speech Using Mel Spectrograms and Deep CNNs
[IEEE] 2026-8-17 | AI-Driven Scalable Framework for Energy-Efficient SDN Configurations
[IEEE] 2026-8-17 | Optimizing CNN-to-FPGA Conversion with hls4ml: Resource, Latency, and Accuracy Trade-offs for Fashion-MNIST Classification
[IEEE] 2026-8-17 | PAAM: Phase-Aware Action Modulation for Force-Guided Policy Augmentation in Contact-Rich Manipulation
[IEEE] 2026-8-17 | An Adaptive QoS Routing Algorithm for Wireless Ad Hoc Networks Oriented to Marine Evaporation Ducts
[IEEE] 2026-8-17 | Integrated Sensing and Communication for AmBC-V2X: An ICI-Aware 4D Estimation Framework
[IEEE] 2026-8-17 | Wavelet Domain Sparse Transformer for Single Image Deraining
[IEEE] 2026-8-17 | Research on Improved Dual Channel Generative Anomaly Detection Based on Graph Neural Network
[IEEE] 2026-8-17 | Exogenous-Aware Causal Invariant Spatio-Temporal Model for Mobile Traffic Prediction
[IEEE] 2026-8-17 | Low-Cost Honeypot Data for High-Stakes DDoS Detection: Benchmark Inflation vs Real-World Performance
[IEEE] 2026-8-17 | A Resource Allocation Method for Semantic Communication in Unmanned Aerial Vehicle Systems
[IEEE] 2026-8-17 | Interpretable Deep Reinforcement Learning with Differentiable Decision Trees for Cost-Effective Medical Diagnosis
[IEEE] 2026-8-17 | Design of a Raspberry Pi-Based Carbonated Beverage Bottle Recognition System
[IEEE] 2026-8-17 | Real-Time Eye Gaze Recognition Based on an Improved YOLO Algorithm
[IEEE] 2026-8-17 | AI-Powered Dynamic Honeypot System
[IEEE] 2026-8-17 | CDPR: Cross-modal Diffusion with Polarization for Reliable Monocular Depth Estimation
[IEEE] 2026-8-17 | Maneuvering Targets Fusion Filtering for Vehicle-Mounted Multi-Source Heterogeneous Sensor Using MHS-GRU-Fusion Net
[IEEE] 2026-8-17 | Experimental Evaluation of Reused Battery-Based Hybrid Energy Storage System Under Transient Load Conditions
[IEEE] 2026-8-17 | ASRM-Net: Multi-Scale Feature Enhancement with Adaptive Spatial Recalibration for Medical Image Segmentation
[IEEE] 2026-8-17 | MultiMatch: A Job-Matching Framework Based on Multimodal Large Language Models
[IEEE] 2026-8-17 | Enhanced Child Malnutrition Classification Using Hybrid BGWO-RFECV Feature Selection and Ensemble Learning on Temporal Health Data
[IEEE] 2026-8-17 | Enabling High Sensitivity in FET based Hydrogen Sensor through Physical Parameter Modulation: A Theoretical Insight
[IEEE] 2026-8-17 | FedRPT: a Dual-Layer Federated Learning Framework for Copyright Protection
[IEEE] 2026-8-17 | Implementing Autonomous Rover Control Using NASA F Prime Framework and YOLO-Based Real-Time Object Detection
[IEEE] 2026-8-17 | An Improved RT-DETR-Based Conveyor Belt Crack Detection Method with Transfer Learning
[IEEE] 2026-8-17 | Multimodal AI Framework for Personalized and Context-Aware Skin Disease Diagnosis, Monitoring, and Treatment Support
[IEEE] 2026-8-17 | ML-Driven Automated Response Policy Engine for Cyberattack Prevention in SOC: From Detection to Action Decision
[IEEE] 2026-8-17 | Examining the Visual Capabilities of Multimodal Large Language Models for Automotive Applications
[IEEE] 2026-8-17 | Scientific Committee
[IEEE] 2026-8-17 | A Gravity-Matching Navigation Algorithm Based on Relative Gravity Changes
[IEEE] 2026-8-17 | Spatial Prior Guided Temporal Modelling for End-to-End Continuous Sign Language Translation
[IEEE] 2026-8-17 | Loss and Lifetime Evaluation of Electrolytic Capacitors in Offshore Photovoltaic Inverters under Salt-Spray Corrosion
[IEEE] 2026-8-17 | Optimized Power Loop Design for Suppressing Switching Overshoot and Oscillation in GaN-Based Half-Bridge Circuit for Motor Drives
[IEEE] 2026-8-17 | Two-Phase Locking Optimization Towards Dynamic High-Contented Workloads
[IEEE] 2026-8-17 | Double-Branch Progressive Contrastive Learning for Robust ISAR Target Recognition under Suboptimal Imaging Conditions
[IEEE] 2026-8-17 | DFE-RFC: Degradation-Robust Feature Network for Object Detection in Adverse Weather
[IEEE] 2026-8-17 | Table of Content
[IEEE] 2026-8-17 | Generative Analog Integrated Circuit Placement via Denoising Diffusion Models
[IEEE] 2026-8-17 | Soft Regrasping Tool Inspired by Jamming Gripper
[IEEE] 2026-8-17 | A Multi-Modal Fusion Deep Learning Method for Radar Target Recognition
[IEEE] 2026-8-17 | A Multi-Paradigm AI Framework for Real-Time Anomaly Detection and Adaptive Risk Scoring in Digital Payment Ecosystems
[IEEE] 2026-8-17 | AI-Powered Optimization of Security and Resource Management in Enterprise Multi-Cloud Platforms
[IEEE] 2026-8-17 | Adaptive AI Powered Intrusion Detection System With Optimized SQL Injection Classification
[IEEE] 2026-8-17 | Inclined Joint Variable Stiffness Linear Mechanism
[IEEE] 2026-8-17 | TSF-YOLO for Tiny Fallen-Person Detection in Cluttered Water-Surface Scenes
[IEEE] 2026-8-17 | Enhancing Pneumonia Detection from Chest X-Rays Using Probabilistic Pooling with Pretrained CNN Backbones
[IEEE] 2026-8-17 | AI-Driven Compliance Orchestration and Audit-Ready Revenue Recognition in Multinational SaaS Enterprises
[IEEE] 2026-8-17 | CQ-Rank: Consistency-Quality-Aware Re-ranking for Robust Traffic Sign Detection under Adverse Conditions
[IEEE] 2026-8-17 | Learnable Tree Based Navigation for Dual-Feature-Aware Resource Allocation in Computing Power Networks
[IEEE] 2026-8-17 | A Hybrid Dual-Backbone Deep Learning Framework for Lumbar Spinal Stenosis Classification from MRI with External Validation
[IEEE] 2026-8-17 | Semantic-Conditioned Prior Learning for Action Anticipation
[IEEE] 2026-8-17 | Analyzing calibration sensitivity in markerless tracking systems
[IEEE] 2026-8-17 | UFE-DETR: Small Object Detection Model for Complex Underwater Environment
[IEEE] 2026-8-17 | A Closed-Loop Vibrotactile Feedback System for Prosthetic Leg Based on Plantar Pressure Sensing
[IEEE] 2026-8-17 | Coaxial 4D Printing of Dual-Drug-Loaded Core–Shell Shape Memory Polymer Scaffolds
[IEEE] 2026-8-17 | Suboptimal Kalman Filters with Multichannel Timedelay Measurements for Ship Navigation Safety
[IEEE] 2026-8-17 | Radiomics and Deep Learning for IoMT-Integrated Medical Imaging: A Review Toward Context-Aware Decision Support
[IEEE] 2026-8-17 | SCIRCNet: Rotation-Invariant Point Cloud Completion via Self-Contour-Aware Representation
[IEEE] 2026-8-17 | Country Index
[IEEE] 2026-8-17 | Automatic Multi-Dimensional Food Text Tagging using Adaptive Neuro-Symbolic AI Framework
[IEEE] 2026-8-17 | GMSMO: Multi-Objective Evolutionary Adversarial Attacks for Remote Sensing Images
[IEEE] 2026-8-17 | Improved Clustered Unit Commitment: Proposing Two Tight Models to Mitigate Infeasible Solution Space
[IEEE] 2026-8-17 | Unify then Align: A Consistency-Aligned CLIP Representation Network for RGB-D Indoor Scene Analysis
[IEEE] 2026-8-17 | DBLTD: Deep Bayesian Low-rank Tensor Decomposition for Multivariate Data Analysis
[ACM] 2026-8-17 | Citrus: Algebraic Reasoning about Superconductor Electronics
[IEEE] 2026-8-17 | Quaternary Huffman Encoder For JPEG-DNA
[IEEE] 2026-8-17 | Kinematic Calibration and Error Compensation of a Decoupled Surgical Robot for Microanastomosis
[IEEE] 2026-8-17 | A Reconfigurable Output Stationary Systolic Array Accelerator for 8-bit Integer Quantized Convolutional Neural Networks
[IEEE] 2026-8-17 | Robust Control of a Floating-Based Two-DoF Manipulator Under Wave-Induced Disturbances
[IEEE] 2026-8-17 | Hybrid Bilingual Lexicon Extraction Through Distributional Vectors and Structured Text-Mining Patterns
[IEEE] 2026-8-17 | YOLO-Guided Visual Information System for Autonomous Robotic Arm Control in A 3D Simulated Environment
[IEEE] 2026-8-17 | An Adaptive System for Two-Lane Overtaking Warning Integrating Visual Perception and Field-of- View Sharing
[IEEE] 2026-8-17 | Table of Contents
[IEEE] 2026-8-17 | Fractional-Order Diffusion and Control of Turing Pattern Formation in Malware Propagation for Cyber–Physical Systems
[IEEE] 2026-8-17 | Affiliate Plan of the IEEE Nuclear and Plasma Sciences Society
[IEEE] 2026-8-17 | Location-based Foveation in MIMO Radars: Joint Angular Resolution and Range Adaptation
[IEEE] 2026-8-17 | SCG-Based Respiratory State Identification via Clinically and Physiologically Informed Machine Learning
[IEEE] 2026-8-17 | Aerodynamic Design and Performance of a Low-Reynolds-Number Rotor for Mars Helicopters
[IEEE] 2026-8-17 | VIR-ReID: Learning View-Invariant Representations for Aerial-Ground Person Re-Identification
[IEEE] 2026-8-17 | Crack Control by Re-Scan in Fe-Based Metallic Glass Fabricated by Selective Laser Melting
[IEEE] 2026-8-17 | Transforming Brain Tumor Diagnosis: ChatGPT 4-Enhanced Deep Convolutional Curvelet Autoencoder Network for MRI Analysis*
[IEEE] 2026-8-17 | A Practical Integration Architecture for Unmanned Aerial Vehicles with Jitter Resilient Disturbance Compensation on Edge Platforms
[IEEE] 2026-8-17 | Unstructured Road Segmentation Using Vision-Based Edge Detection
[IEEE] 2026-8-17 | Dual-diffusion with Physical Correction for EIT Image Reconstruction
[IEEE] 2026-8-17 | Delay-optimal Congestion-aware Routing and Computation Offloading in Arbitrary Networks
[IEEE] 2026-8-17 | PW-XSimGCL: Popularity-Aware and Warmup-Enhanced Graph Contrastive Learning for Recommendation
[IEEE] 2026-8-17 | Masthead
[IEEE] 2026-8-17 | HACSeg: Hierarchical Adaptive Clustering for Learning-Free Instance Extraction in LiDAR Panoptic Segmentation
[IEEE] 2026-8-17 | Fixed-Frequency Beam-Steering K-band Leaky-Wave Antenna Using a Sliding Technique
[IEEE] 2026-8-17 | A Wideband Scalable Handedness-Switchable Quasi-3.5-Bit Planar Phased Array Based on Multi-Level Phase Compensation
[IEEE] 2026-8-17 | Design Guidelines of High-Speed Axial Flux Permanent Magnet Machine Considering Rotor Diameter Constraints
