[2026-02-10 09:46:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-09
正在获取论文...
[arXiv] 2026-02-09 | GaussianCaR: Gaussian Splatting for Efficient Camera-Radar Fusion
[arXiv] 2026-02-09 | Improving Data and Reward Design for Scientific Reasoning in Large Language Models
[arXiv] 2026-02-09 | Hybrid Method of Efficient Simulation of Physics Applications for a Quantum Computer
[arXiv] 2026-02-09 | CIC-Trap4Phish: A Unified Multi-Format Dataset for Phishing and Quishing Attachment Detection
[arXiv] 2026-02-09 | ArcFlow: Unleashing 2-Step Text-to-Image Generation via High-Precision Non-Linear Flow Distillation
[arXiv] 2026-02-09 | Counting Barcodes with the same Betti Curve
[arXiv] 2026-02-09 | CLUE: Crossmodal disambiguation via Language-vision Understanding with attEntion
[arXiv] 2026-02-09 | Generalizing Sports Feedback Generation by Watching Competitions and Reading Books: A Rock Climbing Case Study
[arXiv] 2026-02-09 | When Actions Go Off-Task: Detecting and Correcting Misaligned Actions in Computer-Use Agents
[arXiv] 2026-02-09 | Rhythms of Recovery: Patient-Centered Virtual Reality Exergame for Physical Rehabilitation in the Intensive Care Unit
[arXiv] 2026-02-09 | Analyzing Vaccine Manufacturing Supply Chain Disruptions for Pandemic Preparedness using Discrete-Event Simulation
[arXiv] 2026-02-09 | Forward-mode automatic differentiation for the tensor renormalization group and its relation to the impurity method
[arXiv] 2026-02-09 | Granulation signatures as seen by Kepler short-cadence data. I. A decoupling between granulation and oscillation timescales for dwarfs
[arXiv] 2026-02-09 | Lightweight Call Signaling and Peer-to-Peer Control of WebRTC Video Conferencing
[arXiv] 2026-02-09 | Grow with the Flow: 4D Reconstruction of Growing Plants with Gaussian Flow Fields
[arXiv] 2026-02-09 | Coulomb corrections for the non-flip and spin-flip electromagnetic $\boldsymbol{p}^\uparrow\!\boldsymbol{A}$ amplitudes
[arXiv] 2026-02-09 | Artificial Magnetic Conductor Frame to Improve Impedance Matching and Radiation Symmetry in 2$\times$2 Array for 6G Applications
[arXiv] 2026-02-09 | How University Disability Services Professionals Write Image Descriptions for HCI Figures Using Generative AI
[arXiv] 2026-02-09 | Colloidal logic-gate circuits can process environmental signals and autonomously perform tasks
[arXiv] 2026-02-09 | Spacetime singularities and incompleteness: epistemic and ontological remarks
[arXiv] 2026-02-09 | AMS-HD: Hyperdimensional Computing for Real-Time and Energy-Efficient Acute Mountain Sickness Detection
[arXiv] 2026-02-09 | Positive Distribution Shift as a Framework for Understanding Tractable Learning
[arXiv] 2026-02-09 | Accelerated Stabilization of Switched Linear MIMO Systems using Generalized Homogeneity
[arXiv] 2026-02-09 | GSS: Gated Subspace Steering for Selective Memorization Mitigation in LLMs
[arXiv] 2026-02-09 | Winner's Curse Drives False Promises in Data-Driven Decisions: A Case Study in Refugee Matching
[arXiv] 2026-02-09 | Almost sure null bankruptcy of testing-by-betting strategies
[arXiv] 2026-02-09 | Quantum Riemannian Cubics with Obstacle Avoidance for Quantum Geometric Model Predictive Control
[arXiv] 2026-02-09 | Differentiable Logical Programming for Quantum Circuit Discovery and Optimization
[arXiv] 2026-02-09 | Large Language Models for Geolocation Extraction in Humanitarian Crisis Response
[arXiv] 2026-02-09 | A cavity-mediated reconfigurable coupling scheme for superconducting qubits
[arXiv] 2026-02-09 | Understanding Dynamic Compute Allocation in Recurrent Transformers
[arXiv] 2026-02-09 | High-brightness fiber-based Sagnac source of entangled photon pairs for multiplexed quantum networks
[arXiv] 2026-02-09 | Near-optimal Swap Regret Minimization for Convex Losses
[arXiv] 2026-02-09 | Rigidity of homogeneous Lamé systems
[arXiv] 2026-02-09 | Discovering Interpretable Algorithms by Decompiling Transformers to RASP
[arXiv] 2026-02-09 | Cooperative Sovereignty on Mars: Lessons from the International Telecommunication Union and Universal Postal Union
[arXiv] 2026-02-09 | Mitchell rank for supercompactness
[arXiv] 2026-02-09 | Ancient solutions to free boundary mean curvature flow
[arXiv] 2026-02-09 | Finite-Time Teleoperation of Euler-Lagrange Systems via Energy-Shaping
[arXiv] 2026-02-09 | Test-retest Reliability of Psychophysical Tasks Using Structured Light-Induced Entoptic Phenomena
[arXiv] 2026-02-09 | Kirin: Improving ANN efficiency with SNN Hybridization
[arXiv] 2026-02-09 | On Sidon sets with squares, cubes and quartics in short intervals
[arXiv] 2026-02-09 | A melting mode of frozen sessile droplets with unmelted ice layer deposited at the bottom
[arXiv] 2026-02-09 | Verifying DNN-based Semantic Communication Against Generative Adversarial Noise
[arXiv] 2026-02-09 | Joint Channel Sounding and Source-Channel Coding for MIMO-OFDM Systems: Deep Unified Encoding and Parallel Flow-Matching Decoding
[arXiv] 2026-02-09 | The size of $2$-Selmer groups for the $\fracπ{3}$-congruent number problem
[arXiv] 2026-02-09 | Inverting Data Transformations via Diffusion Sampling
[arXiv] 2026-02-09 | A Statistical Framework for Alignment with Biased AI Feedback
[arXiv] 2026-02-09 | ZK-Rollup for Hyperledger Fabric: Architecture and Performance Evaluation
[arXiv] 2026-02-09 | Probing Light Dark Particles in Neutrino Scattering Experiments
[arXiv] 2026-02-09 | W-SLDA Toolkit: A simulation platform for ultracold Fermi gases
[arXiv] 2026-02-09 | Finite generation of Noether-Lefschetz divisors and the slope of the moduli space of cubic fourfolds
[arXiv] 2026-02-09 | Cascaded Optomechanical Sensing for Small Signals
[arXiv] 2026-02-09 | GHz-rate polarization-based QKD system for fiber and satellite applications
[arXiv] 2026-02-09 | LakeHopper: Cross Data Lakes Column Type Annotation through Model Adaptation
[arXiv] 2026-02-09 | Multimodal Learning for Arcing Detection in Pantograph-Catenary Systems
[arXiv] 2026-02-09 | Positive mass theorems for manifolds with ALH toroidal ends
[arXiv] 2026-02-09 | Accessibility and Serviceability Assessment to Inform Offshore Wind Energy Development and Operations off the U.S. East Coast
[arXiv] 2026-02-09 | Empirically Understanding the Value of Prediction in Allocation
[arXiv] 2026-02-09 | Amortising Inference and Meta-Learning Priors in Neural Networks
[arXiv] 2026-02-09 | The Unseen Species Problem Revisited
[arXiv] 2026-02-09 | Taming Scylla: Understanding the multi-headed agentic daemon of the coding seas
[arXiv] 2026-02-09 | Total Roman bondage number of a graph
[arXiv] 2026-02-09 | Stability and stabilization of semilinear single-track vehicle models with distributed tire friction dynamics via singular perturbation analysis
[arXiv] 2026-02-09 | MVAnimate: Enhancing Character Animation with Multi-View Optimization
[arXiv] 2026-02-09 | Synergistic cross-modal learning for experimental NMR-based structure elucidation
[arXiv] 2026-02-09 | Central Dogma Transformer II: An AI Microscope for Understanding Cellular Regulatory Mechanisms
[arXiv] 2026-02-09 | PARD: Enhancing Goodput for Inference Pipeline via Proactive Request Dropping
[arXiv] 2026-02-09 | On the Expressive Power of GNNs for Boolean Satisfiability
[arXiv] 2026-02-09 | Empirical Evaluation of SMOTE in Android Malware Detection with Machine Learning: Challenges and Performance in CICMalDroid 2020
[arXiv] 2026-02-09 | The Nysa family as the main source of unequilibrated LL ordinary chondrites
[arXiv] 2026-02-09 | Conformally flat factorization homology in Ind-Hilbert spaces and Conformal field theory
[arXiv] 2026-02-09 | Artifact Reduction in Undersampled 3D Cone-Beam CTs using a Hybrid 2D-3D CNN Framework
[arXiv] 2026-02-09 | QUOKA: Query-Oriented KV Selection For Efficient LLM Prefill
[arXiv] 2026-02-09 | Approximate-EFX Allocations with Ordinal and Limited Cardinal Information
[arXiv] 2026-02-09 | TimeChat-Captioner: Scripting Multi-Scene Videos with Time-Aware and Structural Audio-Visual Captions
[arXiv] 2026-02-09 | FactSim: Fact-Checking for Opinion Summarization
[arXiv] 2026-02-09 | Laplacian Pair State Transfer on Total Graphs
[arXiv] 2026-02-09 | OneVision-Encoder: Codec-Aligned Sparsity as a Foundational Principle for Multimodal Intelligence
[arXiv] 2026-02-09 | SRSUPM: Sequential Recommender System Based on User Psychological Motivation
[arXiv] 2026-02-09 | Enhanced third harmonic response of the PtTe$_2$ transition metal dichalcogenide
[arXiv] 2026-02-09 | Numerical solution of the two-dimensional Calderon problem for domains close to a disk
[arXiv] 2026-02-09 | Ecosystems in the Anthropocene: transformative drivers
[arXiv] 2026-02-09 | IceCube's Sensitivity Prospects to MeV-Scale Axion-Like Particles from Core-Collapse Supernovae
[arXiv] 2026-02-09 | Universal Approximation Theorems for Dynamical Systems with Infinite-Time Horizon Guarantees
[arXiv] 2026-02-09 | LEFT: Learnable Fusion of Tri-view Tokens for Unsupervised Time Series Anomaly Detection
[arXiv] 2026-02-09 | Supporting Effective Goal Setting with LLM-Based Chatbots
[arXiv] 2026-02-09 | Do Multilingual LLMs have specialized language heads?
[arXiv] 2026-02-09 | From Raw Data to Shared 3D Semantics: Task-Oriented Communication for Multi-Robot Collaboration
[arXiv] 2026-02-09 | Improving Reconstruction of Representation Autoencoder
[arXiv] 2026-02-09 | Overview and Comparison of AVS Point Cloud Compression Standard
[arXiv] 2026-02-09 | OneLive: Dynamically Unified Generative Framework for Live-Streaming Recommendation
[arXiv] 2026-02-09 | Dynamical Mordell-Lang conjecture for split self-maps of affine curve times projective curve
[arXiv] 2026-02-09 | Tikhonov regularization-based reconstruction of partial scattering functions obtained from contrast variation small-angle neutron scattering
[arXiv] 2026-02-09 | Beyond Scalar Scores: Reinforcement Learning for Error-Aware Quality Estimation of Machine Translation
[arXiv] 2026-02-09 | Residential Peak Load Reduction via Direct Load Control under Limited Information
[arXiv] 2026-02-09 | An Attention Mechanism for Robust Multimodal Integration in a Global Workspace Architecture
[arXiv] 2026-02-09 | Betti Numbers of Negatively Curved Orbifolds with Coefficients in Arbitrary Fields
[arXiv] 2026-02-09 | TFMLinker: Universal Link Predictor by Graph In-Context Learning with Tabular Foundation Models
[arXiv] 2026-02-09 | FairRARI: A Plug and Play Framework for Fairness-Aware PageRank
[arXiv] 2026-02-09 | Orientation-driven route to an intrinsic insulating ferromagnetic state in manganite superlattices
[arXiv] 2026-02-09 | Precipitation induced recrystallisation (PIX) in a Ti-Fe-Mo bcc-superalloy driven by lattice misfit
[arXiv] 2026-02-09 | Head-to-Head autonomous racing at the limits of handling in the A2RL challenge
[arXiv] 2026-02-09 | Approximate Cartesian Tree Matching with Substitutions
[arXiv] 2026-02-09 | Stateless Yet Not Forgetful: Implicit Memory as a Hidden Channel in LLMs
[arXiv] 2026-02-09 | DNS: Data-driven Nonlinear Smoother for Complex Model-free Process
[arXiv] 2026-02-09 | Global Rotation Equivariant Phase Modeling for Speech Enhancement with Deep Magnitude-Phase Interaction
[arXiv] 2026-02-09 | Three Lessons from Citizen-Centric Participatory AI Design
[arXiv] 2026-02-09 | Pressure induced electronic band evolution and observation of superconductivity in the Dirac semimetal ZrTe5
[arXiv] 2026-02-09 | Incremental (k, z)-Clustering on Graphs
[arXiv] 2026-02-09 | Craig Interpolation in Program Verification
[arXiv] 2026-02-09 | PIT: A Dynamic Personalized Item Tokenizer for End-to-End Generative Recommendation
[arXiv] 2026-02-09 | A light DM model for large $B \to K + \mbox{invisible}$ and $K \to π+ \mbox{invisible}$ decays and its implications for $B_s-\bar B_s$ mixing and neutron EDM
[arXiv] 2026-02-09 | Reinforcement Inference: Leveraging Uncertainty for Self-Correcting Language Model Reasoning
[arXiv] 2026-02-09 | Do physics-informed neural networks (PINNs) need to be deep? Shallow PINNs using the Levenberg-Marquardt algorithm
[arXiv] 2026-02-09 | A Machine Learning Enabled MDO for Bio-Inspired Autonomous Underwater Gliders
[arXiv] 2026-02-09 | Mellin-Space Prony Representability of Linear Viscoelastic Models
[arXiv] 2026-02-09 | Giant Magnetocaloric Effect in a High-Spin Shastry-Sutherland Dipolar Magnet
[arXiv] 2026-02-09 | The Banach-Tarski paradox in complete discretely valued fields
[arXiv] 2026-02-09 | Enhanced Food Category Recognition under Illumination-Induced Domain Shift
[arXiv] 2026-02-09 | Construction of two-bubble solutions for the energy-critical Hartree equation
[arXiv] 2026-02-09 | Beyond Correctness: Learning Robust Reasoning via Transfer
[arXiv] 2026-02-09 | On the Existence of Steady States for Blended Gas Flow with Non-Constant Compressibility Factor on Networks
[arXiv] 2026-02-09 | Some notes on tensor triangular geometry
[arXiv] 2026-02-09 | Gesture Matters: Pedestrian Gesture Recognition for AVs Through Skeleton Pose Evaluation
[arXiv] 2026-02-09 | A Multi-physics Simulation Framework for High-power Microwave Counter-unmanned Aerial System Design and Performance Evaluation
[arXiv] 2026-02-09 | GaLactic and Extragalactic All-sky Murchison Widefield Array survey eXtended (GLEAM-X) III: Galactic Plane
[arXiv] 2026-02-09 | Low Rank Transformer for Multivariate Time Series Anomaly Detection and Localization
[arXiv] 2026-02-09 | Reliability-aware Execution Gating for Near-field and Off-axis Vision-guided Robotic Alignment
[arXiv] 2026-02-09 | Estimating Aleatoric Uncertainty in the Causal Treatment Effect
[arXiv] 2026-02-09 | Hybrid Pooling with LLMs via Relevance Context Learning
[arXiv] 2026-02-09 | Modeling Concurrent Multi-Agent Systems
[arXiv] 2026-02-09 | Vista: Scene-Aware Optimization for Streaming Video Question Answering under Post-Hoc Queries
[arXiv] 2026-02-09 | Stratification of the AGN-Driven multi-phase outflows in the dwarf Seyfert galaxy NGC 4395
[arXiv] 2026-02-09 | Azimuthally polarized terahertz radiation generation using radially polarized laser pulse in magnetized plasma
[arXiv] 2026-02-09 | CSPR-Net: Self-supervised Curved Surface Projection Rectification Network for Geometric Distortion Correction in Non-planar Projections
[arXiv] 2026-02-09 | Understanding and Optimizing Attention-Based Sparse Matching for Diverse Local Features
[arXiv] 2026-02-09 | Analysis of the Hopfield Model Incorporating the Effects of Unlearning
[arXiv] 2026-02-09 | Prism: Spectral-Aware Block-Sparse Attention
[arXiv] 2026-02-09 | SAT Encodings for Bandwidth Coloring: A Systematic Design Study
[arXiv] 2026-02-09 | Decentralized Intent-Based Multi-Robot Task Planner with LLM Oracles on Hyperledger Fabric
[arXiv] 2026-02-09 | The Finite Geometry of Breaking Quantum Secrets
[arXiv] 2026-02-09 | Thermodynamic modes of a quasiperiodic mobility-edge system in a quantum Otto cycle
[arXiv] 2026-02-09 | Remainder terms and sharp quantitative stability for a nonlocal Sobolev inequality on the Heisenberg group
[arXiv] 2026-02-09 | Dynamic Regret via Discounted-to-Dynamic Reduction with Applications to Curved Losses and Adam Optimizer
[arXiv] 2026-02-09 | ViGoEmotions: A Benchmark Dataset For Fine-grained Emotion Detection on Vietnamese Texts
[arXiv] 2026-02-09 | Wide-angle emission in cylindrical moiré lattices enabled by rolling origami
[arXiv] 2026-02-09 | Circuit Representations of Random Forests with Applications to XAI
[arXiv] 2026-02-09 | Estimating the Shannon Entropy Using the Pitman--Yor Process
[arXiv] 2026-02-09 | The simplified quantum circuits for implementing quantum teleportation
[arXiv] 2026-02-09 | Effect-Level Validation for Causal Discovery
[arXiv] 2026-02-09 | CoTZero: Annotation-Free Human-Like Vision Reasoning via Hierarchical Synthetic CoT
[arXiv] 2026-02-09 | Language-Guided Transformer Tokenizer for Human Motion Generation
[arXiv] 2026-02-09 | UReason: Benchmarking the Reasoning Paradox in Unified Multimodal Models
[arXiv] 2026-02-09 | Who Deserves the Reward? SHARP: Shapley Credit-based Optimization for Multi-Agent System
[arXiv] 2026-02-09 | Personalized Autonomous Driving via Optimal Control with Clearance Constraints from Questionnaires
[arXiv] 2026-02-09 | A numerical study for tempered time-fractional advection-dispersion equation on graded meshes
[arXiv] 2026-02-09 | Antiferromagnetic Tunnel Junctions (AFMTJs) for In-Memory Computing: Modeling and Case Study
[arXiv] 2026-02-09 | Is Flow Matching Just Trajectory Replay for Sequential Data?
[arXiv] 2026-02-09 | Fast Flow Matching based Conditional Independence Tests for Causal Discovery
[arXiv] 2026-02-09 | An Algorithm for Diagonalizing Matrices of Formal Power Series
[arXiv] 2026-02-09 | CAE-AV: Improving Audio-Visual Learning via Cross-modal Interactive Enrichment
[arXiv] 2026-02-09 | Spectral Analysis of the Schrödinger Operator for the Incommensurate System
[arXiv] 2026-02-09 | JUSTICE: Judicial Unified Synthesis Through Intermediate Conclusion Emulation for Automated Judgment Document Generation
[arXiv] 2026-02-09 | Algebraic Properties of the Ideal of Spectral Invariants for the Discrete Laplacian
[arXiv] 2026-02-09 | Experimental Realization of Koopman-Model Predictive Control for an AC-DC Converter
[arXiv] 2026-02-09 | Automatic Generation of Polynomial Symmetry Breaking Constraints
[arXiv] 2026-02-09 | MonkeyTree: Near-Minimal Congestion for Multi-tenant Training via Migration
[arXiv] 2026-02-09 | When Does Context Help? Error Dynamics of Contextual Information in Large Language Models
[arXiv] 2026-02-09 | Invariant-domain preserving IMEX schemes for the nonequilibrium Gray Radiation-Hydrodynamics equations Part I
[arXiv] 2026-02-09 | Characterizations of Conditional Mutual Independence: Equivalence and Implication
[arXiv] 2026-02-09 | Towards CXL Resilience to CPU Failures
[arXiv] 2026-02-09 | A Unified Framework for Multimodal Image Reconstruction and Synthesis using Denoising Diffusion Models
[arXiv] 2026-02-09 | Structural transparency of societal AI alignment through Institutional Logics
[arXiv] 2026-02-09 | On convexity and efficiency in semantic systems
[arXiv] 2026-02-09 | When and How Much to Imagine: Adaptive Test-Time Scaling with World Models for Visual Spatial Reasoning
[arXiv] 2026-02-09 | When Benign Inputs Lead to Severe Harms: Eliciting Unsafe Unintended Behaviors of Computer-Use Agents
[arXiv] 2026-02-09 | Distribution-Free Robust Functional Predict-Then-Optimize
[arXiv] 2026-02-09 | Generative Regression for Left Ventricular Ejection Fraction Estimation from Echocardiography Video
[arXiv] 2026-02-09 | Interpretable Dynamic Network Modeling of Tensor Time Series via Kronecker Time-Varying Graphical Lasso
[arXiv] 2026-02-09 | Anderson localization on quantum graphs coded by elements of a subshift of finite type
[arXiv] 2026-02-09 | Adoption of Large Language Models in Scrum Management: Insights from Brazilian Practitioners
[arXiv] 2026-02-09 | $\star$-translation for Varsovian models
[arXiv] 2026-02-09 | The enumeration of odd spanning trees in graphs
[arXiv] 2026-02-09 | Implicit regularization of normalized gradient descent
[arXiv] 2026-02-09 | A Causal Machine Learning Framework for Treatment Personalization in Clinical Trials: Application to Ulcerative Colitis
[arXiv] 2026-02-09 | TwinRL-VLA: Digital Twin-Driven Reinforcement Learning for Real-World Robotic Manipulation
[arXiv] 2026-02-09 | $χ_{0}$: Resource-Aware Robust Manipulation via Taming Distributional Inconsistencies
[arXiv] 2026-02-09 | Raster2Seq: Polygon Sequence Generation for Floorplan Reconstruction
[arXiv] 2026-02-09 | ANCRe: Adaptive Neural Connection Reassignment for Efficient Depth Scaling
[arXiv] 2026-02-09 | ShapeCond: Fast Shapelet-Guided Dataset Condensation for Time Series Classification
[arXiv] 2026-02-09 | GEBench: Benchmarking Image Generation Models as GUI Environments
[arXiv] 2026-02-09 | ARO: A New Lens On Matrix Optimization For Large Models
[arXiv] 2026-02-09 | Reverse Online Guessing Attacks on PAKE Protocols
[arXiv] 2026-02-09 | Improving Detection of Rare Nodes in Hierarchical Multi-Label Learning
[arXiv] 2026-02-09 | Beyond Transcripts: A Renewed Perspective on Audio Chaptering
[arXiv] 2026-02-09 | Contraction Metric Based Safe Reinforcement Learning Force Control for a Hydraulic Actuator with Real-World Training
[arXiv] 2026-02-09 | Distributionally Robust Optimization via Generative Ambiguity Modeling
[arXiv] 2026-02-09 | WorldArena: A Unified Benchmark for Evaluating Perception and Functional Utility of Embodied World Models
[arXiv] 2026-02-09 | Hyperactive Minority Alter the Stability of Community Notes
[arXiv] 2026-02-09 | Symplectic excision and distance rigidity
[arXiv] 2026-02-09 | Learning to Coordinate via Quantum Entanglement in Multi-Agent Reinforcement Learning
[arXiv] 2026-02-09 | A Behavioural and Representational Evaluation of Goal-Directedness in Language Model Agents
[arXiv] 2026-02-09 | Reduced-order Control and Geometric Structure of Learned Lagrangian Latent Dynamics
[arXiv] 2026-02-09 | Modeling 3D Pedestrian-Vehicle Interactions for Vehicle-Conditioned Pose Forecasting
[arXiv] 2026-02-09 | Dimensional regimes in Kolmogorov Flow
[arXiv] 2026-02-09 | On the pseudorandom properties of filtered Legendre symbol sequences using three polynomials
[arXiv] 2026-02-09 | CoRefine: Confidence-Guided Self-Refinement for Adaptive Test-Time Compute
[arXiv] 2026-02-09 | Derived algebras on formal stacks and prismatic gauges
[arXiv] 2026-02-09 | Provably robust learning of regression neural networks using $β$-divergences
[arXiv] 2026-02-09 | Online monotone density estimation and log-optimal calibration
[arXiv] 2026-02-09 | "I Don't Trust Any Professional Research Tool": A Re-Imagination of Knowledge Production Workflows by, with, and for Blind and Low-Vision Researchers
[arXiv] 2026-02-09 | Zero-freeness of a multivariate monomer-dimer-cycle polynomial on bounded-degree graphs
[arXiv] 2026-02-09 | GEMSS: A Variational Bayesian Method for Discovering Multiple Sparse Solutions in Classification and Regression Problems
[arXiv] 2026-02-09 | Structural coarse-graining enables noise-robust functional connectivity and reveals hidden inter-subject variability
[arXiv] 2026-02-09 | Switching Point Optimization for Abstract Parabolic Equations
[arXiv] 2026-02-09 | Denoise Stepwise Signals by Diffusion Model Based Approach
[arXiv] 2026-02-09 | Anisotropy, frustration and saddle point in the twisted Kagome antiferromagnet ErPdPb
[arXiv] 2026-02-09 | Discovery of a double white dwarf in the Galactic globular cluster NGC 6397
[arXiv] 2026-02-09 | Chaos, the Critical Phenomenon in Phase Space: Feigenbaum Constants and Critical Exponents
[arXiv] 2026-02-09 | Scalable Delphi: Large Language Models for Structured Risk Estimation
[arXiv] 2026-02-09 | Weak and reversed magnetic shear effects on internal kink and fishbone modes
[arXiv] 2026-02-09 | A mapping method of age estimation for binary stars: Application to the $α$ Centauri system A and B
[arXiv] 2026-02-09 | On medial Latin quandles and affine modules
[arXiv] 2026-02-09 | Is Reasoning Capability Enough for Safety in Long-Context Language Models?
[arXiv] 2026-02-09 | TiFRe: Text-guided Video Frame Reduction for Efficient Video Multi-modal Large Language Models
[arXiv] 2026-02-09 | Spin-active chlorine-related centers in 4H-SiC with telecom-band emissions
[arXiv] 2026-02-09 | The contribution of neutral gas to Faraday tomographic data at low frequencies. A first extensive comparison between real and synthetic data
[arXiv] 2026-02-09 | Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning
[arXiv] 2026-02-09 | Oxi-Shapes: Tropical geometric analysis of bounded redox proteomic state spaces
[arXiv] 2026-02-09 | Enhancing Generative AI Image Refinement with Scribbles and Annotations: A Comparative Study of Multimodal Prompts
[arXiv] 2026-02-09 | Affective Flow Language Model for Emotional Support Conversation
[arXiv] 2026-02-09 | New Approach to Superflare Energy Determination
[arXiv] 2026-02-09 | Which $F_3$-by-$\mathbb{Z}$s are CAT(0)?
[arXiv] 2026-02-09 | $\texttt{lrnnx}$: A library for Linear RNNs
[arXiv] 2026-02-09 | Nearly tight bound for rainbow clique subdivisions in properly edge-colored graphs and applications
[arXiv] 2026-02-09 | ModARO: A Modular Approach to Architecture Reconstruction of Distributed Microservice Codebases
[arXiv] 2026-02-09 | The Presort Hierarchy for Geometric Problems
[arXiv] 2026-02-09 | FlexMoRE: A Flexible Mixture of Rank-heterogeneous Experts for Efficient Federatedly-trained Large Language Models
[arXiv] 2026-02-09 | On the Inefficiency of Social Learning
[arXiv] 2026-02-09 | Review of thermodynamic structures and structure-preserving discretisations of Cahn--Hilliard-type models
[arXiv] 2026-02-09 | The Yang--Mills measure on compact surfaces as a universal scaling limit of lattice gauge models
[arXiv] 2026-02-09 | Influence of the Reynolds number on non-Newtonian flow in thin porous media
[arXiv] 2026-02-09 | Grover Adaptive Search with Problem-Specific State Preparation
[arXiv] 2026-02-09 | G-LNS: Generative Large Neighborhood Search for LLM-Based Automatic Heuristic Design
[arXiv] 2026-02-09 | Discrete Adjoint Schrödinger Bridge Sampler
[arXiv] 2026-02-09 | An Exploration of the Equation of State Dependence of Core-Collapse Supernova Explosion Outcomes and Signatures
[arXiv] 2026-02-09 | Testing the nuclear TMD gluon densities with heavy flavor production in proton-lead collisions at LHC
[arXiv] 2026-02-09 | Improving Topological Detection of Weather Regimes in climate dynamical systems
[arXiv] 2026-02-09 | From Obstacles to Etiquette: Robot Social Navigation with VLM-Informed Path Selection
[arXiv] 2026-02-09 | iGRPO: Self-Feedback-Driven LLM Reasoning
[arXiv] 2026-02-09 | Universal Coefficients and Mayer-Vietoris Sequence for Groupoid Homology
[arXiv] 2026-02-09 | Evaluating the $Σ$-effect Model of the Solar Hemispherical Helicity Bias via Direct Numerical Simulations
[arXiv] 2026-02-09 | Equilibrium-like statistical mechanics in space-time for a deterministic traffic model far from equilibrium
[arXiv] 2026-02-09 | Zero Trust for Multi-RAT IoT: Trust Boundary Management in Heterogeneous Wireless Network Environments
[arXiv] 2026-02-09 | An omega result for the least negative Hecke eigenvalue
[arXiv] 2026-02-09 | Indications of Rapid Dust Formation in the Inner Region of a Protoplanetary Disk
[arXiv] 2026-02-09 | Is the nitrogen-rich source PN K4-47 a true planetary nebula?
[arXiv] 2026-02-09 | Two Robust Interstellar Meteor Candidates in the Post-2018 CNEOS Fireball Database
[arXiv] 2026-02-09 | Digital Twin and Agentic AI for Wild Fire Disaster Management: Intelligent Virtual Situation Room
[arXiv] 2026-02-09 | Long distance quantum illumination and ranging using polarization entangled photon pairs in a lossy environment
[arXiv] 2026-02-09 | Sharp gradient integrability for $(s,p)$-Poisson type equations
[arXiv] 2026-02-09 | Teaching an Old Dynamics New Tricks: Regularization-free Last-iterate Convergence in Zero-sum Games via BNN Dynamics
[arXiv] 2026-02-09 | Existence of expanding harmonic map flows to hemispheres
[arXiv] 2026-02-09 | RedDots: Multiplanet system around M dwarf GJ 887 in the solar neighborhood
[arXiv] 2026-02-09 | Automating the Wildfire Detection and Scheduling Pipeline with Maneuverable Earth Observation Satellites
[arXiv] 2026-02-09 | On the Deepest Search for Galactic Center Pulsars and an Examination of an Intriguing Millisecond Pulsar Candidate
[arXiv] 2026-02-09 | Diffusion-Inspired Reconfiguration of Transformers for Uncertainty Calibration
[arXiv] 2026-02-09 | An in vivo validation dataset for dynamic volumetric MRI
[arXiv] 2026-02-09 | Comparing AI Coding Agents: A Task-Stratified Analysis of Pull Request Acceptance
[arXiv] 2026-02-09 | Gesturing Toward Abstraction: Multimodal Convention Formation in Collaborative Physical Tasks
[arXiv] 2026-02-09 | Fixed Effects as Generated Regressors
[arXiv] 2026-02-09 | Discrete Bridges for Mutual Information Estimation
[arXiv] 2026-02-09 | AI-based Verbal and Visual Scaffolding in a Serious Game: Effects on Learning and Cognitive Load
[arXiv] 2026-02-09 | Multiplexed microwave resonators by frequency comb spectroscopy
[arXiv] 2026-02-09 | Contrastive Learning for Diversity-Aware Product Recommendations in Retail
[arXiv] 2026-02-09 | Breaking the Simplification Bottleneck in Amortized Neural Symbolic Regression
[arXiv] 2026-02-09 | Error compensation without a time penalty: robust spin-lock-induced crossing in solution NMR
[arXiv] 2026-02-09 | Learning Potentials for Dynamic Matching and Application to Heart Transplantation
[arXiv] 2026-02-09 | Stress-Testing Alignment Audits With Prompt-Level Strategic Deception
[arXiv] 2026-02-09 | ArkEval: Benchmarking and Evaluating Automated CodeRepair for ArkTS
[arXiv] 2026-02-09 | Regression modeling of multivariate precipitation extremes under regular variation
[arXiv] 2026-02-09 | Magnitude Distance: A Geometric Measure of Dataset Similarity
[arXiv] 2026-02-09 | FlattenGPT: Depth Compression for Transformer with Layer Flattening
[arXiv] 2026-02-09 | karl. -- A Research Vehicle for Automated and Connected Driving
[arXiv] 2026-02-09 | Flash annealing-engineered wafer-scale relaxor antiferroelectrics for enhanced energy storage performance
[arXiv] 2026-02-09 | High-Probability Heralded Entanglement via Repeated Spin-Photon Phase Encoding with Moderate Cooperativity
[arXiv] 2026-02-09 | From the confluent Heun equation to a new factorized and resummed gravitational waveform for circularized, nonspinning, compact binaries
[arXiv] 2026-02-09 | An $L^2$-$\partial\overline\partial$-Lemma on a class of complete Kähler manifolds
[arXiv] 2026-02-09 | WildReward: Learning Reward Models from In-the-Wild Human Interactions
