[2026-09-25 00:18:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-24
正在获取论文...
[IEEE] 2026-9-24 | Spatio-Temporal Deep Learning for Three-Dimensional Underwater Acoustic Transmission Loss Modeling
[IEEE] 2026-9-24 | High-Quality Exposure Correction With Diffusion-Based Image Generation Priors
[IEEE] 2026-9-24 | Improving the Accuracy of Volume-Compensation–Based Continuous Blood Pressure Measurement via Windkessel-Guided Multi-Domain Fusion
[IEEE] 2026-9-24 | A MEMS Pd-Ni Hydrogen Sensor with Uniform Closed-Loop Temperature Control for Sub-ppm Detection
[IEEE] 2026-9-24 | FGBP-KD: A Fine-Grained Balanced Perception Knowledge Distillation Method for Power Component Defect Detection
[IEEE] 2026-9-24 | Temporal Leakage Compression in Interstage-Overlapped NTT Accelerators: A Stage-Aware Analysis and Mitigation
[IEEE] 2026-9-24 | Optimal Valley-Filling Utilizing Water-Filling Algorithm
[IEEE] 2026-9-24 | Physics Guided Reinforcement Learning for Voltage-Aware EV Charging Coordination with PV and V2G Interaction
[IEEE] 2026-9-24 | Security-Constrained Transmission Outage Scheduling and Feasibility Assessment
[IEEE] 2026-9-24 | Silicon Photonics and Rack Scale: Matchmaking Made by AI
[IEEE] 2026-9-24 | Enhancing Distribution Network Resilience: A Hierarchical Collaborative Optimization Method Considering Steel Plant Demand Response and SOP
[IEEE] 2026-9-24 | Multiwinding High-Frequency Current Transformer for Power Cable Monitoring
[IEEE] 2026-9-24 | Integrated Wildfire Impact Modeling on Urban-Suburban Distribution System Resilience
[IEEE] 2026-9-24 | Transient Stability Analysis of a Hybrid Offshore Wind Farm Connected to a Hybrid HVDC Link with a Supercapacitor-based Energy Storage System and a High Temperature Superconducting Coil
[IEEE] 2026-9-24 | Dynamic-Confidence-Level Chance-Constrained Voltage Control of Active Distribution Networks
[IEEE] 2026-9-24 | Electricity-Cost-Aware Scheduling of CPU-Intensive Tasks in Data Centers
[IEEE] 2026-9-24 | A Room-Temperature Quantum-Secured ROCOF for Enhancing Grid Reliability
[IEEE] 2026-9-24 | Maximum Correntropy Kalman Filter-Based Robust Model-Free Adaptive Control for MIMO Nonlinear Systems Under Non-Gaussian Noise
[IEEE] 2026-9-24 | Decision-Aware Joint Blockage Prediction and Proactive Beamforming for Dynamic mmWave Networks
[IEEE] 2026-9-24 | A Fully Integrated GMR Biosensor ASIC With On-Chip Coils and an Ultra-Low-Mismatch Sensor Array for Point-of-Care Diagnostics
[IEEE] 2026-9-24 | Pre-flight CoM Offset Identification and Compensation for Stable Multirotor Take-off
[IEEE] 2026-9-24 | Quantum Representation Learning for Reinforcement Learning in Robot Navigation
[IEEE] 2026-9-24 | Sparse Activation for Sustainable Cell-Free Massive MIMO Networks: Less is More
[IEEE] 2026-9-24 | YOLOv12-ECDR: A Compact YOLO-Based Detector for Flame and Smoke Detection in Forest Fire Images
[IEEE] 2026-9-24 | Robust Radar HRRP Recognition under Non-uniform Jamming via a Frequency Attention and Reconstruction Fusion Network
[IEEE] 2026-9-24 | Dual-ModeConduction in Silicon Transistors on Bulk Substrates: Feedback and Thyristor Mechanisms
[IEEE] 2026-9-24 | Experimental Study on Collusion Impersonation Attack against Channel-Robust RFF Identification System
[IEEE] 2026-9-24 | A Grounded-Slab Green-Kernel DGFM for Fast Analysis of Finite Microstrip Antenna Arrays
[IEEE] 2026-9-24 | A Unified Error Model and Parametric Analysis of Information Anisotropy for Bearing-Only Localization
[IEEE] 2026-9-24 | Lightweight Hierarchical Multimodal AI for Satellite-Edge Earth Observation: A Wildfire Detection Use Case
[IEEE] 2026-9-24 | Challenging F1 Drivers in Physical Race Cars with Human-Inspired Online Learning
[IEEE] 2026-9-24 | SASU: Sensitivity-Aware Sparse Adapter Updates for Privacy-Preserving LLM-Based Recommendation in AIoT
[IEEE] 2026-9-24 | A Trust-Aware Semantic Communication Framework for Personalized Orthopedic Injury Management in 6G Healthcare Networks
[IEEE] 2026-9-24 | Performance Analysis of RIS-Aided Cell-Free Massive MIMO for Uplink URLLC over Correlated Rician Fading Channels
[IEEE] 2026-9-24 | Performance Enhancement of a Dual-Faced Open Cubic PV System Using an Integrated Solar Concentrator
[IEEE] 2026-9-24 | A Multi-Scale Active Multi-Agent Reinforcement Learning Model for Intelligent Bearing Fault Detection with Limited Samples
[IEEE] 2026-9-24 | Dual-Mode Flexible Terahertz Metasurface Immunosensor for Sensitive Detection of Insulin_supp1-3730976.doc
[IEEE] 2026-9-24 | Advancing Forest Fires Classification using Neurochaos Learning
[IEEE] 2026-9-24 | Comparative study of low-temperature and room-temperature proton-induced dark current and annealing effects on CMOS image sensors
[IEEE] 2026-9-24 | DU3D: Multi-View Denoising for Unsupervised 3D Instance Segmentation
[IEEE] 2026-9-24 | Ergodic Capacity and Optimal Handover in Satellite Mega-Constellations under Finite Serving Times
[IEEE] 2026-9-24 | Flexible Multi-Level Optimal Transport for Universal Cross-Tokenizer Knowledge Distillation on LLMs and Beyond_supp1-3728858.pdf
[IEEE] 2026-9-24 | BiT-HLOS: A Hybrid Optimization Algorithm for Resource Deployment and Allocation in SAGIN
[ACM] 2026-9-24 | Who Owns the Wai (Water)? AI, Power, and the Public Trust
[IEEE] 2026-9-24 | SpikeTFNet: A Hybrid Spiking Temporal-Spectral Fusion Network for Cross-Subject SSVEP Decoding
[IEEE] 2026-9-24 | Energy-Delay Tradeoff for Multimodal Task Offloading in Semantic Communication-Enabled Low-Altitude MEC Networks under Jamming
[IEEE] 2026-9-24 | DADO: a LLM-based Distribution-Aligned and Diversity-Optimized Data Generator
[IEEE] 2026-9-24 | 3DCNN-InvertU-Net: A Non-Contact Continuous Estimation for Aortic Blood Pressure during Cardiopulmonary Resuscitation_supp1-3731717.pdf
[IEEE] 2026-9-24 | Non-destructive AI-Based Crack Diagnosis of Surface-Mounted Devices with De-Embedded S-Parameter Patterns
[IEEE] 2026-9-24 | Development of Capacitive-based Textile Electrodes for ECG Monitoring
[IEEE] 2026-9-24 | Electromechanical Reliability of Integrated Air-Bridge Anodes for Vacuum Microelectronic Devices
[IEEE] 2026-9-24 | An Efficient Post-Quantum Collaborative Encryption Scheme for Mobile Internet Environment
[IEEE] 2026-9-24 | IEEE Women in Engineering
[IEEE] 2026-9-24 | Sentinel: Vision-Based Signaling-Free SNR Prediction for Proactive 5G Resource Management
[IEEE] 2026-9-24 | IEEE Computational Intelligence Society Information
[IEEE] 2026-9-24 | SPIRE: Privacy-Preserving Semantic Retrieval with Secure IVF and Selective Collaboration
[IEEE] 2026-9-24 | Special Issue on Presentations from the 2026 ZNETUS Workshop
[IEEE] 2026-9-24 | Single-frame corrosion boundary detection based on the logarithmic first-order derivative of pulsed thermography signals
[ACM] 2026-9-24 | Understanding or Imitation? Auditing Conceptual Understanding and Reasoning in Large Language Models
[IEEE] 2026-9-24 | Uncertainty-Aware Radio Map Reconstruction Using Diffusion Models with Sparse Noisy Samples
[IEEE] 2026-9-24 | A Neighborhood-Based Multimodal Multiobjective Differential Evolution Algorithm With an Elite Preservation Mechanism
[IEEE] 2026-9-24 | Electro-Optical Response-Aware Learning for PAN-Sharpening of Satellite Images
[IEEE] 2026-9-24 | Last Steps Towards Deployable Collective Perception: A Perspective on Standards and Open Issues
[IEEE] 2026-9-24 | Impedance-based Root Cause Analysis and Grid-Side Damping of a Converter Driven Low-Frequency Oscillation in a High-IBR Grid
[IEEE] 2026-9-24 | Cycle-Aware Aging Cost Modeling of BESS via Dual Virtual Energy Distribution
[IEEE] 2026-9-24 | Convergence Conditions Investigation of Extended Kalman Filter in Quaternion-Based State Estimation for IoT-Based Wearable Motion Sensors
[IEEE] 2026-9-24 | Robotic Outside-out Patch Clamp Measurement Method with Gigaseal Preservation via Equilibrated Stretching of Aspirated Cell Membrane
[IEEE] 2026-9-24 | An S-Matrix-Coupled RT-TDPO Approach for ISAR Imaging of Hypersonic Targets
[IEEE] 2026-9-24 | From Analytical Beamforming to Pattern Synthesis: Programmable RIS for Next-Generation Wireless Systems
[IEEE] 2026-9-24 | Cross-Frequency-Band Coupling Mitigation Control Strategy for Suppressing Wideband Oscillations in a Grid-Forming Energy Storage System
[IEEE] 2026-9-24 | High-Order Control Barrier Function-Based Model Predictive Control for Safe Landing of Autonomous Underwater Vehicles
[IEEE] 2026-9-24 | Multi-Stage Dynamic Programming for VAR Source Placement under Coal-Fired Power Plant Retirement
[IEEE] 2026-9-24 | Hybrid PZT–MEMS Wireless Sensor Node for Rotation-Aware Strain Monitoring
[IEEE] 2026-9-24 | A Mixed-Integer Nonlinear Model to Support the Operation of Distribution Systems With Hidden DERs
[IEEE] 2026-9-24 | Broad Learning-Aided Stable Kernel Representation for Incipient Fault Detection of Traction Systems
[IEEE] 2026-9-24 | A Monolithic GaN Half-Bridge with High-Speed Auto-Zero Comparator and Bidirectional Level Shifting
[IEEE] 2026-9-24 | Data Driven Evaluation of Inertial Support Distribution in a Heterogeneous Power System
[IEEE] 2026-9-24 | From the Morris Worm to Rogue AIs: A New Era of Cyber Risk
[IEEE] 2026-9-24 | Resonance-Induced Overvoltages on Parallel Transmission Lines: Causes, Events, and Mitigation Strategies
[IEEE] 2026-9-24 | Annual Peak Load Forecasting for Distribution Feeders Using AMI Data and LSTM
[IEEE] 2026-9-24 | Fault Ride-Through and Recovery Strategy for Offshore Wind Power MMC-HVDC System Directly Feeding Urban Centers Against Urban Grid AC Faults
[IEEE] 2026-9-24 | Modern Anti-Windup Design of Over-current Limiters for Grid-forming Inverters
[IEEE] 2026-9-24 | Genetic Algorithm-Enhanced Power-Based Branch Refinement for Voltage-Based Topology Identification in Low-Voltage Grids
[IEEE] 2026-9-24 | Microwave-Based Detection and Localization of Bone Fractures Using an Antipodal Vivaldi Antenna and Hybrid Signal Processing
[IEEE] 2026-9-24 | Small-Signal Stability-Constrained Optimal Power Flow Using Eigenvalue Sensitivity Factors
[IEEE] 2026-9-24 | Networked Microgrid Dynamic Formation for Optimal Load Restoration By Data-driven Distributionally Robust Optimization
[IEEE] 2026-9-24 | When Does Embedding Arithmetic Fail? A Systematic Analysis in Remote Sensing Vision–Language Models
[IEEE] 2026-9-24 | Geographic transferability of building function models
[IEEE] 2026-9-24 | Transmit Strategies for Rank-Deficient MIMO with Multiple Power Constraints
[IEEE] 2026-9-24 | AoA: Alternating Optimization Attack for Multimodal Vision-Language Models
[IEEE] 2026-9-24 | Design of a Compact Null-Filled Meander-Slot Biconical Antenna for 3-D Direction-Finding Applications
[IEEE] 2026-9-24 | Field-ready implementation of fail-safe adaptive protection relay schemes
[IEEE] 2026-9-24 | Distribution System State Estimation via Behavioral Modeling of Distributed Energy Resources
[IEEE] 2026-9-24 | Dynamic Connectivity and Local Frequency Strength under Stochastic Variations
[IEEE] 2026-9-24 | FUSION: Forecast-Embedded Agent Scheduling With Service Incentive Optimization Over Distributed Air-Ground Edge Networks
[IEEE] 2026-9-24 | In This Issue
[IEEE] 2026-9-24 | Logarithmic Resilience Risk Metrics That Address the Huge Variations in Blackout Cost
[IEEE] 2026-9-24 | Integrated IDS and OT-SDN for Strengthening Cybersecurity Posture of Differential Protection
[IEEE] 2026-9-24 | Optimal Capacity Expansion Planning with Multi-Terminal High Voltage DC Transmission
[IEEE] 2026-9-24 | Diffusion in Corridor: Safe Trajectory Generation With Differentiable Forward Simulator for Autonomous Driving
[IEEE] 2026-9-24 | Multi-Train Trajectory Optimization for Local/Express ModeWith Safe Separation
[IEEE] 2026-9-24 | Detection and Discrimination of Inter-Turn and Demagnetization faults for PMSMs Based on An FEM and Model-Based Technique
[IEEE] 2026-9-24 | Performance and Sustainability of Edge AI Accelerator Technologies: In-Memory AIPU vs. TPU, NPU, and GPU SoC
[IEEE] 2026-9-24 | GEDSR-DETR: A UAV Object Detection Network With Gaussian-Enhanced Features and Dynamic Sparse Relation
[IEEE] 2026-9-24 | The Evolution of Frequency Control and Tuning Circuits in Shortwave Radios
[IEEE] 2026-9-24 | Twin World Model Assisted by Multifrequency-Enhanced Image Features_supp1-3731216.pdf
[IEEE] 2026-9-24 | Algorithms for automating the information security risk management process
[IEEE] 2026-9-24 | YOLO26-Mamba3: Selective State Space With Complex State Space for Dense Railway Pedestrian Detection
[IEEE] 2026-9-24 | OmniPlanner: Universal Exploration and Inspection Path Planning Across Robot Morphologies_supp1-3733788.mp4
[IEEE] 2026-9-24 | Memory-augmented Online Test-Time Adaptation for EEG Motor Imagery via Perturbation Consistency and Confidence Calibration
[IEEE] 2026-9-24 | Decoupled Interaction Transfer for Cross-Lake Multimodal Water Quality Retrieval
[IEEE] 2026-9-24 | Table of Contents
[IEEE] 2026-9-24 | Frequency-Limited Beamforming Optimization for RIS-Assisted Integrated Radar and Communication System
[IEEE] 2026-9-24 | Transactions on Plasma Science
[IEEE] 2026-9-24 | Switching Dynamics of Multidomain Ferroelectric Devices
[IEEE] 2026-9-24 | Distributed Affine Formation Security Control for Multiple AUVs With Deception Attacks
[IEEE] 2026-9-24 | Conflict-Aware xApp Admission Control with Priority-Based Preemption in O-RAN
[IEEE] 2026-9-24 | Sparse Logistic Regression on Genomic Data for Prediction of Tumour Pathological Subtype_supp1-3732668.pdf
[IEEE] 2026-9-24 | Dirichlet–Sharma–Mittal Diffusion on the Probability Simplex for Imputation-Free Multi-View Clustering
[IEEE] 2026-9-24 | A Hierarchical Collaborative Cyber-Physical System Framework for Coordinated Control of DPV-Rich Distribution Networks
[IEEE] 2026-9-24 | Multi-Carrier Faster-Than-Nyquist Over Frequency-Selective Fading Channels: A Hybrid Structure-Aware Framework With Halonet Attention
[IEEE] 2026-9-24 | Dielectric Resonator Antennas: Core concepts and mode nomenclature.
[IEEE] 2026-9-24 | LUT-DiT: A LUT-Based Diffusion Transformer Accelerator for Scalable LUT Inference
[ACM] 2026-9-24 | DCSR-GCN: A High-Performance GCN Accelerator Based on Dynamic Compression and Sparsity Reordering
[IEEE] 2026-9-24 | Modelling and Interpretation of Rayleigh Backscattering in SDM Fibers
[IEEE] 2026-9-24 | IEEE Xplore Digital Library
[IEEE] 2026-9-24 | Toward Control-Friendly Aerial Assistance: A Minimum-Movement UAV Online Trajectory Design for Mobile ILAC Service Coverage
[IEEE] 2026-9-24 | Joint Optimization of Coverage Path and ISCC Resource Allocation for Energy-Constrained Unmanned Aerial Vehicle
[IEEE] 2026-9-24 | Voxel Grid-Based Depth Recovery From Monocular Structured Light
[IEEE] 2026-9-24 | Vision-Language Grounded Task-Context-Aware Imitation Learning for Robotic Disassembly
[IEEE] 2026-9-24 | Recurrence Meets Transformers for Universal Multimodal Retrieval_supp1-3729293.pdf
[IEEE] 2026-9-24 | Practical Spectral Observer Bandwidth Allocation for Noise-Aware Voltage Regulation of Dual-Active-Bridge Converters
[IEEE] 2026-9-24 | CrossHound: Multi-Source Provenance Correlation for Advanced Persistent Threat Detection and Investigation
[IEEE] 2026-9-24 | Dora: Online Scheduling of Dual-Model Inference and Retraining for Multi-View Edge Systems_supp1-3731470.pdf
[IEEE] 2026-9-24 | Necessity of a Dual-Engine Paradigm: Resolving the Robustness-Adaptability Trade-off in Anomaly Detection_supp1-3733282.pdf
[IEEE] 2026-9-24 | IEEE Power Electronics Society Publication Information
[IEEE] 2026-9-24 | CSTANet: Cross-Frame Spatio-Temporal Aggregation Network for Moving Small-Object Detection in Satellite Videos
[IEEE] 2026-9-24 | Contrastive Embedding Multiplexing for Multi-User Semantic Communication Systems
[IEEE] 2026-9-24 | Beyond Structure: A Causal Perspective on Network Influence
[IEEE] 2026-9-24 | Performance Enhancement of a-IGZO TFTs With Elevated Source/Drain Structure via Channel Trench Etching
[IEEE] 2026-9-24 | Reliability Assessment of Multi-Performance Systems: A Multivariate Tweedie Exponential Dispersion Process
[IEEE] 2026-9-24 | Robust Controller Design for Input C-L Filter Based SIDO DC-DC Converter: A Mixed-sensitivity Approach
[IEEE] 2026-9-24 | Guest Editors’ Introduction: Special Section on Computational Photography (ICCP)
[IEEE] 2026-9-24 | Event-Triggered Laguerre-Based Nonlinear MPC With an Adaptive Prediction Horizon for Vehicle Trajectory Tracking
[IEEE] 2026-9-24 | Wind-Aware Triple-Hierarchical Co-Optimization of Altitude, Trajectory, and Hybrid Power Allocation for Fuel Cell UAVs
[IEEE] 2026-9-24 | EmAlexNet: Deep Multi-Scale Modified AlexNet Ensemble With Gated Residual Fusion and Dual Attention for Acute Lymphoblastic Leukemia Classification
[IEEE] 2026-9-24 | Fault-Tolerant Control of a Multi-Mode PMSM Under Rotor Eccentricity for Torque Ripple Reduction
[IEEE] 2026-9-24 | PELS Membership
[IEEE] 2026-9-24 | Reduced-Rank DOA-Matrix Method for DOA Estimation Using L-shaped Array
[IEEE] 2026-9-24 | IEEE Power Electronics Society Information
[IEEE] 2026-9-24 | Generalized Deduplication-Based CRDSA in Satellite-Integrated IoT: A Priority-Enabled Successive Interference Cancellation Approach
[IEEE] 2026-9-24 | Intelligent Fault Diagnosis Framework for Aerospace DC–DC Power Electronic Converter in More Electric Aircraft
[IEEE] 2026-9-24 | PIGNN: An agile reconstruction algorithm for large-scale temperature fields with local thermal anomalies
[IEEE] 2026-9-24 | Region-Partitioning BCJR Scheme Cooperating with LDPC in PAM4 IM/DD Optical Interconnection
[IEEE] 2026-9-24 | DeCoF: Tiny Object Detection in Aerial Remote Sensing Imagery via Detail-Retentive Downsampling and Conflict-Aware Fusion
[IEEE] 2026-9-24 | GhostCLIP: Ephemeral Visual Teaching for Zero-Inference-Overhead Remote Sensing Enhancement
[IEEE] 2026-9-24 | Real-Time Adversarial Defense via Buffer-Aware Reinforcement Learning
[IEEE] 2026-9-24 | Ad Hoc Flying Swarm Optimization for Urban Air Mobility Operations Management
[IEEE] 2026-9-24 | A Siamese Neural Network-Based Lane-Changing Decision Model for Autonomous Vehicles
[IEEE] 2026-9-24 | Safe Trajectory Gradient Flow Control of a Grid-Interfacing Inverter
[IEEE] 2026-9-24 | Memory-Saving Version of k-Wave Toolbox for Single-Frequency Simulations
[IEEE] 2026-9-24 | Grid Operational Benefit Analysis of Data Center Spatial Flexibility: Congestion Relief, Renewable Energy Curtailment Reduction, and Cost Saving
[IEEE] 2026-9-24 | Power Plant Controller Compliance and Validation via Hardware-in-the-Loop
[IEEE] 2026-9-24 | Adaptive Multi-Step Compensation-Based Robust Model Predictive Control for Diesel Hydrotreating Reactors with Uncertain Nonlinear Dynamics
[IEEE] 2026-9-24 | A Pilot-Assisted Delay-Doppler Sparse Bayesian Learning-Based Channel Estimation Method for Wideband High-Frequency Filter-Bank Multicarrier Spread Spectrum System
[IEEE] 2026-9-24 | Dissipating Oscillation Energy Through Damping Amplitude/Frequency Motion: An Oscillation Suppression Method Under Energy Perspective for Converter-Interfaced Power Systems
[IEEE] 2026-9-24 | Integral Sliding Mode Surface Based Super-Twisting Combined with Model Predictive Flux Control for LIM Applied to Linear Metro Systems
[IEEE] 2026-9-24 | Robust Decentralized Distribution System State Estimation via Message-Aware Graph Network
[IEEE] 2026-9-24 | Trust Region Plug-and-Play with Provable Convergence for Image Restoration_supp1-3737001.pdf
[IEEE] 2026-9-24 | A Hybrid Causal Discovery Approach for Stability-Oriented Critical Contingency Selection
[IEEE] 2026-9-24 | Coherent Frequency-Agile Interferometry for Single-Baseline Angle Estimation
[IEEE] 2026-9-24 | A Shared-Radiator Multi-Antenna System Decoupled by a Hybrid Method for Terminals
[IEEE] 2026-9-24 | High-Gain Broadband Triple-Mode Antenna with Conical Beam for Millimeter-Wave Applications
[IEEE] 2026-9-24 | Tri-Mode Resistive Switching in HfO
                    <sub>x</sub>
                    -Based RRAM for Reconfigurable In-Memory Computing
[IEEE] 2026-9-24 | Application-Oriented Evaluation of Superpoint Transformer for Bridge Component Segmentation in Terrestrial LiDAR Point Clouds
[IEEE] 2026-9-24 | AC Network Fault Characterisation in MMC based HVDC Systems
[IEEE] 2026-9-24 | Pilot-Calibrated Hankel Space–Time Waveform Recovery for Broadband LEO Satellite Interference Channels
[IEEE] 2026-9-24 | Evaluation and Intelligent Enhancement of Transient Rotor Angle Stability Index for Power-Electronics-based Power System
[IEEE] 2026-9-24 | SiC-MOSFET-Based High Voltage Pulse Generator for Testing Motor Insulation Used in EVs
[IEEE] 2026-9-24 | Sparsity-exploiting Gaussian Process for Robust Transient Learning of Power System Dynamics
[IEEE] 2026-9-24 | Extending Weather Normalization to Time-Series Feeder-Level Forecasting for Distribution Planning
[IEEE] 2026-9-24 | Platform-Agnostic Software Architecture for Edge Automation of Low-Voltage Distribution Grids
[IEEE] 2026-9-24 | Unified Relational GNN Architecture for AC Optimal Power Flow Calculations
[IEEE] 2026-9-24 | Joint Optimization of Pilot Length, Pilot Assignment, and Power Allocation for Cell-Free MIMO Systems With Graph Neural Networks
[IEEE] 2026-9-24 | Electromagnetism-Inspired Inversion of Multilayer Soil Parameters for Grounding Systems
[IEEE] 2026-9-24 | One Patch Is Not Enough: A General Framework for Full-Resolution AI Image Detection
[IEEE] 2026-9-24 | Emulation of Large Wind Turbines Aerodynamics on Lab Scale DFIG Machines
[IEEE] 2026-9-24 | An Enhanced M-Sequence Coding Technique for Steel-Grating-Type Linear Displacement Sensor Considering Calculation and Storage Ability
[IEEE] 2026-9-24 | Adaptive UAV Task Assignment via Deep Reinforcement Learning-Guided Heuristic Parameterization
[IEEE] 2026-9-24 | A Holistic Comparative Study of AI Models for Reliable Household Energy Consumption Forecasting
[IEEE] 2026-9-24 | Evidence-Driven Virtual Reality for Multiphase Earthquake Preparedness and Response Training
[IEEE] 2026-9-24 | A Risk Informed Capacity Analysis Commitment Tool for Reliable Bulk Power System Operation
[IEEE] 2026-9-24 | Validation of Online Scanning-based Linearized IBR Models using Coherence-based Metric
[IEEE] 2026-9-24 | Understanding the Impact of Autoreclosing on Voltage Ride-Through of Large Electronic Loads
[IEEE] 2026-9-24 | Performance Evaluation of High-Voltage Underground Cables: Comparative Study of Copper and Aluminum Conductors
[IEEE] 2026-9-24 | An Improved UMEC Method for Modeling Arbitrary Magnetic Circuit in Real Time EMT Simulation
[IEEE] 2026-9-24 | Analysis of Flicker Caused by Large Electronic Loads in Weak Power Grids
[IEEE] 2026-9-24 | Review for "Spaceborne Passive Microwave Signatures of Volcanic Eruptions: Hunga, Fukutoku-Oko-no-Ba, and Raikoke"
[ACM] 2026-9-24 | PrefixAgent: An LLM-Powered Design Framework for Efficient Prefix Adder Optimization
[ACM] 2026-9-24 | MFRLNet: A Layout Hotspot Detection Network Based on Multi-feature Representation Learning
[IEEE] 2026-9-24 | Energy Harvesting or Merely Electrochemistry? An Investigation into Energy Sourced from Graphene Oxide-Metal Junctions
[IEEE] 2026-9-24 | YOLO-CHKD: A Lightweight Crack Detection Model with Cross-Head Knowledge Distillation
[IEEE] 2026-9-24 | Scalability of Energy Efficiency in High-Performance Computing Systems_supp1-3715390.docx
[IEEE] 2026-9-24 | TrustPdM: Reliability Management for Consumer Blood Analyzers with Home-Based Maternal Monitoring as a Motivating Application
[IEEE] 2026-9-24 | IEEE Industry Applications Society Information
[IEEE] 2026-9-24 | Message in a Bottleneck: Interpretable Deep Learning for Dynamic Effective Brain Connectivity
[IEEE] 2026-9-24 | MaxVQA: A Large-Scale Multi-Source Dataset for Explanatory Visual Question Answering in Mammography
[IEEE] 2026-9-24 | FedNIA: Noise-Induced Activation Analysis for Mitigating Data Poisoning in Federated Learning
[IEEE] 2026-9-24 | Frequency-Shaped Natural Actor–Critic for Online Optimal Tracking Control of Unknown Stochastic Systems
[IEEE] 2026-9-24 | A Wide-Lock-in-Range and Fast-Settling-Time, 11.6-to-14-GHz SSPLL With an Event-Driven FLL and a Low-Power Harmonic-Lock Detector
[IEEE] 2026-9-24 | IEEE BITS the Information Theory Magazine
[IEEE] 2026-9-24 | Robust CCAA Based MIMO Radar Architecture with Computationally Efficient Scene Adaptive Division Multiple Access in the Presence of Target Mismatch_supp1-3733210.pdf
[IEEE] 2026-9-24 | A Physics-Informed Graph Neural Network Compact Model for RF Transistors
[IEEE] 2026-9-24 | Channel Estimation and LDPC Decoding for Bursty Phase Noise
[IEEE] 2026-9-24 | RoTEE-Loc:Near-Zero-Trust Location Privacy Protection Scheme for V2X Networks Based on Rotating Roadside TEEs
[IEEE] 2026-9-24 | An Algebraic Method for Full-Rank Characterization in Binary Linear Coding
[IEEE] 2026-9-24 | The Effect of Filling Strategies of Spray-Jet Printed Cathodes
[IEEE] 2026-9-24 | Are You Moving
[IEEE] 2026-9-24 | Hermes++: Toward a Unified Driving World Model for 3D Scene Understanding and Generation
[IEEE] 2026-9-24 | Generative vs. Discriminative? An Empirical Study on Code Understanding Classification Tasks
[IEEE] 2026-9-24 | KA-Graph: Knowledge-Aware Orchestration for Industrial Agent Services Under Knowledge Asymmetry
[IEEE] 2026-9-24 | Demonstration of a fully vertical hole-injected 4H-SiC-SACM-Avalanche-Photodiode with two serial pn-junctions
[IEEE] 2026-9-24 | A Phase-Aware Coefficient-Scheduled Grey-Box Soft Sensor for Real-Time State Estimation in Strongly Transient Fluid–Structure Systems_supp1-3731754.pdf
[IEEE] 2026-9-24 | Joint Spatial-Spectral Variations for Material Decomposition in X-Ray Propagation-Based Phase Contrast Imaging
[IEEE] 2026-9-24 | Stress-Modulated Defect Engineering in Monolayer WS2: A First-Principles Study_supp1-3732190.pdf
[IEEE] 2026-9-24 | Multi-scale Event-triggered Dynamic Quantization Control for Teleoperation Systems
[IEEE] 2026-9-24 | Community Energy Storage-Based Hosting Capacity Maximization in Low-Voltage Distribution Networks
[IEEE] 2026-9-24 | Fault Localization using LLMs with Line-by-Line Program Execution Traces
[IEEE] 2026-9-24 | Table of Contents
[IEEE] 2026-9-24 | Frequency Control Services from Scaled-up Hydrogen Electrolysis Plants Considering Power Dispatch Strategies
[IEEE] 2026-9-24 | Dynamic state-space estimation based fault characterization algorithm
[IEEE] 2026-9-24 | A Coalition Formation Game-based Passive Cooperative Detection Approach in LEO Satellites Constellations
[IEEE] 2026-9-24 | The Role of Online Decision-Making in Coupled Electricity and Carbon Markets
[IEEE] 2026-9-24 | Data-Driven Dynamic Secant Approximation for Iterative Power Amplifier Linearization
[IEEE] 2026-9-24 | Day-ahead Forecasting of PV Power Based on TCN and Temporal Query Network Variant
[IEEE] 2026-9-24 | A Data-Efficient Method for Predicting Stability in Converter-Dominated Power Systems Under Various Operating Conditions
[IEEE] 2026-9-24 | Requirements of curative system operation on the behavior of the protection system in an extensive sub transmission grid
[IEEE] 2026-9-24 | PST-DUNet: A Progressive Spectral Topology-aware Deep Unfolding Network for Hyperspectral Image Super-Resolution
[IEEE] 2026-9-24 | Multigranularity Group Feature Selection via Granular Bubble Rough Set for Time Series Classification
[IEEE] 2026-9-24 | Powering the Digital Era: State of the Art and Challenges
[IEEE] 2026-9-24 | A Feasibility Study for Bus-Tie Current Limiting Reactor Application in 230 kV Stations
[IEEE] 2026-9-24 | A Signal Quality Index for Active Positioning of CW Doppler Radar in Vital-Sign Monitoring
[IEEE] 2026-9-24 | Visible Foreign Matter Recognition in Pharmaceutical Vials Based on Multi-View Feature Fusion and Dynamic Loss Optimization
[IEEE] 2026-9-24 | Lightweight Semantic Segmentation Based on Detail-Semantic Alignment in Large Receptive Field
[IEEE] 2026-9-24 | Knowledge-Guided Deep Learning Scheme for Cross-System Adaptive Power Flow Analysis
[IEEE] 2026-9-24 | BDF2-Based Integration for Electromagnetic Transients Simulation in Modern Power Systems
[IEEE] 2026-9-24 | Visuomotor Robotic Pruning in Planar Orchards Using Hybrid Reinforcement Learning
[IEEE] 2026-9-24 | A Chromaticity Baseline Height Index and Sliding Window Iterative Thresholding for Automatic Harmful Algal Bloom Extraction_supp1-3736861.docx
[IEEE] 2026-9-24 | PMU-driven Feeder-level Load Forecasting Using Large Language Model
