[2026-09-09 23:51:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-08
正在获取论文...
[arXiv] 2026-09-08 | Neptune: An AI model for Global Ocean Subseasonal Prediction
[arXiv] 2026-09-08 | LLM-Based Penetration Testing in the Presence of Honeypots
[arXiv] 2026-09-08 | Braids on the Stranded Cellular Automata Model
[arXiv] 2026-09-08 | CTree: Branch-wise compatible merger tree builder
[arXiv] 2026-09-08 | Bottom-Up Design of Quantum Optical Experiments Using Discrete Generative Models
[arXiv] 2026-09-08 | BrachistoneLR: A Brachistochrone-Inspired Learning-Rate Schedule and a Controlled Benchmark of Scheduling Policies
[arXiv] 2026-09-08 | Edge energy fluctuation: A unified theory of friction scaling laws in twisted layered material interfaces
[arXiv] 2026-09-08 | ResidualAuth: What Authorization State Must Language Agents Preserve under Revocable Delegation?
[arXiv] 2026-09-08 | Breaking binary formation mechanism degeneracies with gravitational wave clustering
[arXiv] 2026-09-08 | Degenerations of exotic Calabi-Yau metrics through Atiyah's flop
[arXiv] 2026-09-08 | Strong Polarization Signatures from Magnetically Stabilized Luminous Thin Accretion Disks
[arXiv] 2026-09-08 | How strange: Phase diagrams with 3 critical points
[arXiv] 2026-09-08 | To Adapt or Not to Adapt? Selective Adaptation for Vision-Language Models
[arXiv] 2026-09-08 | Symplectic Dirac operators on homogeneous spaces
[arXiv] 2026-09-08 | Two-Loop Anomalous Dimension for Non-Global and Clustering Logarithms
[arXiv] 2026-09-08 | MIT bag model and infinite mass limit in non-smooth domains
[arXiv] 2026-09-08 | Constraints on the Low-frequency Radio Emission of the Galactic FRB Source SGR 1935+2154
[arXiv] 2026-09-08 | On overlap concentration in the Curie-Weiss Random Field model
[arXiv] 2026-09-08 | Baryonification IV: Constraining baryonic feedback with X-ray gas fractions
[arXiv] 2026-09-08 | A Warped Extra Dimensional Candidate for the LZ 248 keV Event
[arXiv] 2026-09-08 | Mitigating baryonic effects in weak lensing with higher-order statistics
[arXiv] 2026-09-08 | Unramified cohomology and Brauer--Manin pairing
[arXiv] 2026-09-08 | A Generalization of Amari's Bayesian Duality
[arXiv] 2026-09-08 | Differentiability of Lipschitz mappings into metric spaces: area and co-area formulas
[arXiv] 2026-09-08 | On the Power of Adaptivity in Testing Quantum States in Fidelity
[arXiv] 2026-09-08 | OTTER - Two Transistor - One RRAM Architecture for Reliable In-Memory-Computing in 28 nm CMOS Technology
[arXiv] 2026-09-08 | Bayesian palaeoclimate reconstruction from zero-inflated count-compositional pollen data: A case study of Lago Grande di Monticchio in southern Italy
[arXiv] 2026-09-08 | Neither Adversarial Training Nor Purification: Emergent Adversarial Robustness from Oscillatory Predictive Learning
[arXiv] 2026-09-08 | Quantum Matrix-Product Codes: CSS-T Characterization and Maximality
[arXiv] 2026-09-08 | Stochastically Perturbed Weights: Ensembles from Deterministic Machine-Learning Weather Models
[arXiv] 2026-09-08 | Optimal Covariance Inflation under Gaussian Tilts
[arXiv] 2026-09-08 | Stimulated Brillouin Scattering in InGaP-on-Insulator Waveguides
[arXiv] 2026-09-08 | No information transmission through quantum channels above capacity
[arXiv] 2026-09-08 | Monkey See, Can Monkey Do? A Benchmark for Evaluating Robot Skill Learning by Observation
[arXiv] 2026-09-08 | Sizing the Universe with DESI Galaxy Sizes: Plain Fundamentals of Fundamental-Plane Lensing
[arXiv] 2026-09-08 | Closed-Form Solution for Oscillatory Flow and Wall Shear Stress in Axisymmetric Corrugated Tubes
[arXiv] 2026-09-08 | Dynamics of entanglement in non-Hermitian system of nonreciprocal coupling
[arXiv] 2026-09-08 | Evaluating the predictive power of pump-probe imaging contrast of melanin for metastatic outcome: A 71-patient study
[arXiv] 2026-09-08 | From Pre-triangulation to Triangulation: Obstructions and Exact Lifting
[arXiv] 2026-09-08 | Length Generalization for Transformers via Compression
[arXiv] 2026-09-08 | Ozaki 2.5: Engineering the Deconstruction Path of fp64-Emulated Dense Matrix Multiplication on FP8 Tensor Cores
[arXiv] 2026-09-08 | NRHJSur3dq8: a spectral numerical-relativity surrogate family for non-eccentric aligned-spin binary-black-hole waveforms
[arXiv] 2026-09-08 | ActReview: Rebuttal-Guided Training Data and Rubric Rewards for Actionable Peer Review Generation
[arXiv] 2026-09-08 | The Path Integral Monte Carlo Sign Problem Is Not Always NP-Hard: Harmonic Fermions Can Be Solved in Quadratic Time
[arXiv] 2026-09-08 | On spectral properties of Generalized Kadanoff--Baym Ansatz
[arXiv] 2026-09-08 | Divergent Orbital Diamagnetism from Chiral Edge States in Chern Insulators
[arXiv] 2026-09-08 | PlayTrain: An Efficient Reinforcement Learning Framework for LLM-Generated Adaptable JavaScript Games
[arXiv] 2026-09-08 | "World Knowledge" in the Weights: Reading Concept Circuits of Vision Transformers
[arXiv] 2026-09-08 | Bottomonium suppression with a machine-learning-informed Debye mass
[arXiv] 2026-09-08 | Going Beyond the In-/Out-Group Dichotomy: Investigating Altruism towards Middle-Groups
[arXiv] 2026-09-08 | Sector-Resolved Bayesian Model Averaging for DESI-Era Cosmology
[arXiv] 2026-09-08 | The Luminosity Function of Ultra-Faint Trans-Neptunian Objects Detected by JWST
[arXiv] 2026-09-08 | Semidefinite extension complexity of the separable set, with applications to approximate disentanglers
[arXiv] 2026-09-08 | Answer-Distribution Trajectories: A Stochastic-Dynamics View of LLM Reasoning
[arXiv] 2026-09-08 | Detection of episodic Ultra-fast Outflows in the Low-luminosity quasar Mrk 205 using XMM-Newton data
[arXiv] 2026-09-08 | DYAD: A Multimodal Dataset of Co-Located Human Assistance
[arXiv] 2026-09-08 | Simultaneous sub-Doppler laser cooling and optical trapping of bosonic $^{39}$K-$^{133}$Cs and $^{41}$K-$^{133}$Cs mixtures
[arXiv] 2026-09-08 | Deposon: An Auditable, Conservation-Guaranteed, Game-Theoretically Tested Scattering Layer over LLM Reasoning Paths
[arXiv] 2026-09-08 | Second-order Teukolsky calculations for nonspinning, quasicircular binaries
[arXiv] 2026-09-08 | Strongly separating graph edges with $10n$ paths
[arXiv] 2026-09-08 | Exact Phase-Space Rotation in the Trapped Quantum Calogero Model
[arXiv] 2026-09-08 | Embedded Human-Centered Data Science in a Graduate Programming Course: A Framework and Case Study
[arXiv] 2026-09-08 | Water, vacancies, and competing exchange interactions in Prussian blue analogues: a neutron diffraction study of field and dehydration-driven magnetic transitions
[arXiv] 2026-09-08 | Restart and first detection in a lackadaisical quantum walk with flat-band localization
[arXiv] 2026-09-08 | Singular Turing bifurcations and spatial canard solutions in nonlinear reaction-diffusion systems
[arXiv] 2026-09-08 | Fitting and Learning Basis-Restricted Propositional Formulas
[arXiv] 2026-09-08 | First fault-tolerant quantum memory demonstration for a generalized superfast encoding
[arXiv] 2026-09-08 | ContinuumBench: Benchmarking Joint Autoscaling and Placement Across Evaluation Regimes in the Cloud-Edge Continuum
[arXiv] 2026-09-08 | An analysis of four stellar rings
[arXiv] 2026-09-08 | EgoSIS: From Factorized Visual Ego-Transitions to Motion-Canonical Spatial Evidence for UAV Reasoning
[arXiv] 2026-09-08 | Abelian Cayley High-Dimensional Expanders with Polylogarithmic Degree
[arXiv] 2026-09-08 | AuK Technical Report: An Open-Source Foundational Model for Speech Generation and Editing
[arXiv] 2026-09-08 | Polynomial mixing for the weakly damped stochastic nonlinear Schrödinger equation on the whole space
[arXiv] 2026-09-08 | When Models Defer to Wrong Answers: A Robustness Audit of Source-Attributed Cues in Multiple-Choice QA
[arXiv] 2026-09-08 | Edge-Dominated Twist Mechanics at van der Waals Interfaces
[arXiv] 2026-09-08 | Thermomechanics of dense granular materials: a particle-scale perspective
[arXiv] 2026-09-08 | Derived invariance of Hodge numbers for smooth projective complex fivefolds with $K_X = 0$
[arXiv] 2026-09-08 | Finiteness Properties of Fibre Products over Virtually Nilpotent Quotients
[arXiv] 2026-09-08 | Planar Gross--Pitaevskii traveling waves at every subsonic speed
[arXiv] 2026-09-08 | From Scores to Evidence: Auditable Decisions Can Improve Speech Deepfake Detection
[arXiv] 2026-09-08 | Four triangle-free intrinsically knotted graphs with 22 edges
[arXiv] 2026-09-08 | Equilibria for Time-inconsistent Regular-singular Control Problems
[arXiv] 2026-09-08 | Strong convergence rates of tamed exponential Euler schemes for superlinear hyperbolic SPDEs
[arXiv] 2026-09-08 | Solvable groups defined by redundant cyclic presentations
[arXiv] 2026-09-08 | The role of specific entropy in the onset of the luminosity bump
[arXiv] 2026-09-08 | API Benchmark Scores Do Not Reliably Transfer to Chatbot Interfaces
[arXiv] 2026-09-08 | Davydov Splitting Without a Davydov Pair and Highly Mobile Singlet Excitons in Perylene Red Microcrystals
[arXiv] 2026-09-08 | The First Magic Angle Beyond the Chiral Limit in Twisted Bilayer Graphene
[arXiv] 2026-09-08 | Pascal tiling and congruences modulo N in Pascal's triangle
[arXiv] 2026-09-08 | RoboCousin: Build Your Own Simulation Playground for Robust Bimanual Robotic Manipulation
[arXiv] 2026-09-08 | Distillation as Probability Transport: Routed On-Policy Distillation
[arXiv] 2026-09-08 | Designing Spatial Treatments
[arXiv] 2026-09-08 | Fixed-Dimensional Latent Flow for Generating Variable-Size 3D Molecules
[arXiv] 2026-09-08 | EdMCGS: Event-Driven Markov Chain Gaussian Splatting for Extreme-Low-Frame-Rate Dynamic Scene Reconstruction
[arXiv] 2026-09-08 | Radial Marchenko-Pastur laws: projection characterizations and rigidity
[arXiv] 2026-09-08 | Understanding emotional and behavioural responses through physiological signal analysis recorded during theatrical performance
[arXiv] 2026-09-08 | Compact implicit high-resolution numerical scheme for multicomponent transport problems with Langmuir sorption
[arXiv] 2026-09-08 | From Glance to Scrutiny: Progressive Distortion Reasoning for Fine-Grained Image Quality Assessment
[arXiv] 2026-09-08 | Spectral characterization of the uniform theta graph $Θ(t,2)$ and classification of 6-periodic Grover walks
[arXiv] 2026-09-08 | FPicker: Topology-Guided Evolution for Filament Tracing in Low-SNR Microscopy
[arXiv] 2026-09-08 | Kerr-referenced analytical parametrization of rotating black holes in dynamical Chern-Simons gravity
[arXiv] 2026-09-08 | Human-Centric Image Captioning with Subject-Centered Spatial Understanding
[arXiv] 2026-09-08 | EvoNav-Bench: Benchmarking Lifelong Navigation in Evolving Environments
[arXiv] 2026-09-08 | What Eviction Destroys: A Restore-Counterfactual Audit of Forgetting in Agent Memory
[arXiv] 2026-09-08 | Néel-Vector Control of the Josephson Diode Effect in $\mathcal{PT}$-symmetric Antiferromagnets
[arXiv] 2026-09-08 | Beyond Coherence: Benchmarking Professional Editing-Technique Execution in Multi-Shot Audio-Video Generation
[arXiv] 2026-09-08 | Asymptotics of Ground States for Helium-Like and Bosonic Atoms in a Two-Cluster Region
[arXiv] 2026-09-08 | Replication Descent and $J$-Finality of Replicable Functions
[arXiv] 2026-09-08 | Magnetochiral anisotropy of thermally activated phase slips in noncentrosymmetric superconductors
[arXiv] 2026-09-08 | Routing Dense Layouts with History-Aware Offline Reinforcement Learning using LSTM
[arXiv] 2026-09-08 | SE-GoS: Self-Evolving Graph-of-Skills for Skill Library at Scale
[arXiv] 2026-09-08 | PhysFlow: Physics-Aware Optical Flow for Motion Controllable Video Generation
[arXiv] 2026-09-08 | Large-Scale Regularity Meets the Weyl Law on Ricci Shrinkers
[arXiv] 2026-09-08 | Qiushi Engine on AstaBench E2E-Bench-Hard
[arXiv] 2026-09-08 | Geometric influence on the limiting behavior of diffusion processes in one-sided Brownian environments on disconnected fractal sets
[arXiv] 2026-09-08 | An Elementary Proof of the $\widetilde O(n^{1/3})$ Bound for Separating Words
[arXiv] 2026-09-08 | Do Dynamic Routers Need Memory? HeRo: History-Aware Routing for Efficient LLM Inference
[arXiv] 2026-09-08 | NeoHorse-1: Towards Recursive Self-Improvement via Agentic Post-Training with Routing Harness
[arXiv] 2026-09-08 | Less Is Personal: Learning Minimal Sufficient User Profiles for Personalized Language Models
[arXiv] 2026-09-08 | EviSI: An Evaluation Agent for Simultaneous Interpreting
[arXiv] 2026-09-08 | Quantum-state texture measure and texture transformation
[arXiv] 2026-09-08 | Multicolor Ramsey numbers of ordered matchings
[arXiv] 2026-09-08 | IGT @ FinMMEval 2026 Task 2: Question-Type Prompting with Targeted Extraction for Multilingual Financial QA
[arXiv] 2026-09-08 | Sparse Data Augmentation for Optimization with Provable Guarantees
[ACM] 2026-9-8 | Recent Advancements in Traffic Flow Prediction: Review, Challenges and Future Research Directions
[IEEE] 2026-9-8 | Deployment-Constrained Predictive Digital-Twin Instantiation for Smart IoT Edge-Cloud Infrastructures
[IEEE] 2026-9-8 | Table of Contents
[IEEE] 2026-9-8 | FlowFixer-EDA: A Tool-Feedback-Augmented Large Language Model Agent for Automated Diagnosis and Repair of Open-Source RTL-to-GDS Design Flow Failures
[IEEE] 2026-9-8 | GridScope: Cross-Domain Root-Cause Interpretation for Mission-Critical Facility Power Incidents
[IEEE] 2026-9-8 | Cowbot: An Energy-Efficient Edge AI Robotic System for Real-Time Dairy Health Monitoring
[IEEE] 2026-9-8 | A Reconfigurable Switched-Capacitor DC-DC Converter with Wide Range, High Efficiency and Fast Load Response
[IEEE] 2026-9-8 | A Novel Position Constraint Control for Time-Delayed Telerobotic Systems Based on IBLF and Smoothing Filter
[IEEE] 2026-9-8 | Spatio-Temporal Network Traffic Prediction Based on an Adaptive Topology Gating Mechanism
[IEEE] 2026-9-9 | Bound-Constrained Sparse Representation for Electrical Impedance Tomography
[IEEE] 2026-9-9 | Autonomous AI Agents in Cybersecurity: Operational Properties, Failure Conditions, and Security Implications
[IEEE] 2026-9-9 | From Quality Properties to Practice: a Guideline and Workflow for Explainability Requirements
[IEEE] 2026-9-9 | Few-Shot Open-Set Hyperspectral Pixel-Wise Classification with Spatial Aware Label Propagation
[IEEE] 2026-9-9 | Toward Portable Measurement Systems for Nanoplastics monitoring via L-Shaped Gold Nanogratings Biochips
[IEEE] 2026-9-9 | Research on Radial Leakage Magnetic Field in Stator Slot and a New Combined Cross Transposition Method for 1000-MW-class turbine generators
[IEEE] 2026-9-8 | Interaction Impact and Coordinated Mitigation Strategy of Low Frequency Oscillations with Torsional Vibrations for GFM-DFIG Wind Turbine
[IEEE] 2026-9-9 | DISCERN: Disentangled Multilingual Mental Health Risk Detection With Calibrated, High-Recall Predictions
[IEEE] 2026-9-9 | Proceedings
[IEEE] 2026-9-8 | Explainable Complex-Valued Neural Networks Via Inverse Mapping for PolSAR Land-Cover Classification
[IEEE] 2026-9-9 | Program Committee
[IEEE] 2026-9-9 | An Adaptive Incremental Conductance MPPT Algorithm with Block Power Comparison for Global Peak Detection in Photovoltaic Systems
[IEEE] 2026-9-8 | Quaternion Based Rapid Transfer Alignment with Linear State Equation Under Arbitrary Misalignments for Airdrop
[IEEE] 2026-9-9 | Spine Sound Classification: An Explainable Machine Learning Approach
[IEEE] 2026-9-9 | A Back-mounted System Integrating Multi-parameter Real-time Monitoring with Automated Life Support
[IEEE] 2026-9-9 | I/O-Efficient Graph Analytics on SSD via Activity-Aware Preprocessing
[IEEE] 2026-9-8 | Secure Interoperability for Decentralized Credit Ecosystems: Achieving Data Confidentiality and Integrity Across Chains
[IEEE] 2026-9-9 | From Chat to Interview: Agentic Requirements Elicitation with an Experience Ontology
[IEEE] 2026-9-9 | HM-Req: A Framework for Embedding Values within CPS Human Monitoring Requirements
[IEEE] 2026-9-9 | Improving SAM-based seismic facies segmentation with logits feedback_supp1-3731432.pdf
[IEEE] 2026-9-9 | 3 kV-Class
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Lateral MOSFETs With Superior High-Temperature Leakage Suppression Enabled by an Ozone-Grown Semi-Insulating Buffer Layer
[IEEE] 2026-9-9 | IEEE Foundation
[IEEE] 2026-9-9 | Bridging Scalar and Vectorial RF EMF Assessment in 5G Massive MIMO Networks Using Spatial-Temporal Power Reduction Factors
[IEEE] 2026-9-9 | Design and ASIC Implementation of a Low Quantum Cost Reversible Arithmetic Logic Unit for Energy-Efficient Computing
[IEEE] 2026-9-8 | Directional Local Entropy Weighted Adaptive Contrast Network for Infrared Small Target Detection
[IEEE] 2026-9-9 | Keynote Speakers: IRI 2026
[IEEE] 2026-9-9 | Hyperbolic Morphology-Guided Deep Learning for Underwater Pipeline Detection in Complex Sub bottom Acoustic Imagery
[IEEE] 2026-9-9 | Carrier Transport Characteristics of Vanadium-Doped 4H-SiC PCSS Under Broad-Spectrum Composite Light Excitation
[ACM] 2026-9-9 | How do Compiler Bugs Affect OS Kernels
[ACM] 2026-9-9 | Technical Optimizations on Textbook-Efficient Code with LLMs
[ACM] 2026-9-9 | Test-Oriented Programming: rethinking coding for the GenAI era
[ACM] 2026-9-9 | Evolving Artificial Ecosystems: Towards the Infusion of Multi-Agent Systems with Inclusive Inheritance
[ACM] 2026-9-9 | PAGENT: Learning to Patch Software Engineering Issue Fixing Agents
[ACM] 2026-9-9 | Towards Cognitive-Agent-Driven Prompt Optimization for Automated Program Repair
[IEEE] 2026-9-8 | Unsupervised Few-Shot Remote Sensing Image Classification with Hierarchical Graph Memory and Adaptive Temperature Control
[IEEE] 2026-9-8 | Implementation and Evaluation of a Size-Adaptive Variable-Stiffness Soft Gripper using Vision and Torque Monitoring_supp1-3730973.mp4
[IEEE] 2026-9-8 | D-Band Plastic Waveguide Design and Unified Channel Modeling for System-Level Simulation
[IEEE] 2026-9-8 | Robust and Trustworthy TinyML-Based EEG Seizure Detection with Quantized Inference
[IEEE] 2026-9-8 | A Duty-Cycled PLL Architecture for a Low-Power IR-UWB Transmitter in Neural Implants
[IEEE] 2026-9-8 | Local Manifold Coverage Deficit for Novel Attack Discovery in Adaptive Intrusion Detection Systems
[IEEE] 2026-9-8 | Enhancing SAR ATR Distribution Shift Decomposition with Operating Conditions
[IEEE] 2026-9-8 | A Computationally Efficient Real-Time Gaze-Based Human–Robot Interface (HRI) for Continuous Industrial Robot Control
[IEEE] 2026-9-8 | Agentic AI for Electronic Design Automation for License Management
[IEEE] 2026-9-8 | Reducing memory accesses and computing energy with RISC-V custom load/store instructions
[IEEE] 2026-9-8 | Digital Twins for Spacecraft Launches: Trends and Future Directions
[IEEE] 2026-9-8 | Hidden-Context Continual Learning for Survival-Oriented Environmental Adaptation
[IEEE] 2026-9-8 | Experimental Prompt Engineering Using Structured Language Refinement for Attack Path Analysis
[IEEE] 2026-9-8 | Ferroelectric FET-based Reconfigurable Voltage-to-Time Converter in 28 nm CMOS
[IEEE] 2026-9-8 | Understanding Fault Tolerance of Adversarially Robust Pruned Models
[IEEE] 2026-9-8 | Predictive Modeling of G-Induced Loss of Consciousness (GLOC) Using Physiological Data and Machine Learning
[IEEE] 2026-9-8 | A Communication-Coverage-Aware AUV Data Collection Framework for Internet of Underwater Things
[ACM] 2026-9-9 | Erratum: LVT: A Learned Video Transcoding Framework
[IEEE] 2026-9-8 | 2026 IEEE International Conference on Smart Internet of Things (SmartIoT)
[IEEE] 2026-9-9 | Multimodal Hierarchical Feature Adaptation With Bidirectional FiLM Gating for Depression Detection
[IEEE] 2026-9-9 | RefinerAgent: Extracting Industrial Mechanistic Models From Scientific Literature via Mechanism-Guided Multiagent Refinement
[IEEE] 2026-9-8 | XAI-based Feature Selection for Improved Network Intrusion Detection Systems
[IEEE] 2026-9-9 | Graph-Attentional Deep Sparse Subspace Clustering for Single-Cell Transcriptomics_supp1-3731206.docx
[IEEE] 2026-9-9 | From Failure to Alignment: A Requirements Engineering Framework for Machine Learning Systems
[IEEE] 2026-9-8 | Unsupervised Change Detection on Multi-Temporal Images Via Unrolled Tensor Completion Network
[IEEE] 2026-9-9 | CURVEDJURY: A Sybil-Resistant Weighted Jury Selection Framework for Blockchain Dispute Resolution
[IEEE] 2026-9-9 | LI-VAD: Lightweight and Interpretable Video Artifact Detection
[IEEE] 2026-9-8 | DMRS Aided Cross-Domain Frame Processing for Affine Domain Path Diversity Aggregation
[IEEE] 2026-9-9 | A Low-Complexity Programmable Normalization Processor for Transformer Inference_supp1-3731553.pdf
[IEEE] 2026-9-8 | High-Order Graph Regularized Sparse Projection for Unsupervised Hyperspectral Band Selection
[IEEE] 2026-9-9 | Table of Contents
[IEEE] 2026-9-8 | Small-Gain Theorem-Based Adaptive Fuzzy Bipartite Consensus Control for Nonlinear Multi-Agent Systems
[IEEE] 2026-9-8 | A Position-Aware Deep Learning Pipeline with Adaptive Respiratory-Cycle Segmentation for Respiratory Sound Anomaly Detection
[IEEE] 2026-9-9 | AdaTrendLike: Adaptive Hierarchical Detrending and Trend Likelihood Scoring for Time-Series Anomaly Detection
[IEEE] 2026-9-9 | Resource Placement with Maximal Vertex-Disjoint Path Connectivity
[IEEE] 2026-9-9 | 2026 IEEE 34th International Requirements Engineering Conference (RE)
[IEEE] 2026-9-9 | Two Birds, One Stone: FR3 as 6G Golden Band? Analysis from Measurement-Calibrated Ray Tracing
[IEEE] 2026-9-9 | Hidden in Plain Sight: Vector Embeddings give away Demographic Information_supp1-3731408.pdf
[IEEE] 2026-9-9 | Twisted String Actuators in Wearable Robotics: Review and Perspective across Rehabilitation, Assistance, Augmentation, and Haptics
[IEEE] 2026-9-9 | An Efficient On-the-Fly Multi-Stage GAN Model for Tunnel Propagation
[IEEE] 2026-9-9 | A 3D–printed Wide–Angle Conformal Dielectric Slab Polarizer as an Improved Alternative to the Conventional Planar Design for Directional Antennas
[IEEE] 2026-9-9 | A High-Accuracy GNSS Tropospheric Wet Delay Forecasting Algorithm via PINN-LSTM Integration Tailored to Complex Mountainous Terrain and Urban Environments: Methodology and Validation
[IEEE] 2026-9-9 | Discriminately Treating Motion Components Evolves Joint Depth and Ego-Motion Learning_supp2-3732069.pdf
[IEEE] 2026-9-9 | A Vision Transformer for Inverse Phase Synthesis of Programmable Frequency Selective Surfaces
[IEEE] 2026-9-9 | A 170-GHz Radial Power Combining Doubler Based on Circularly Polarized TE
                    <sub>11</sub>
                    and TE
                    <sub>21</sub>
                    Modes
[IEEE] 2026-9-9 | EEG-CPDD: A Covariance-Preserving Diffusion Denoiser for Reliable EEG Source Localization
[IEEE] 2026-9-9 | Area and Power efficient Floating Point Multiplier using Radix-4 Booth Encoding
[ACM] 2026-9-9 | Bridging the Final Gap: Fuzzing Template Generation from Protocol Reverse Engineering
[ACM] 2026-9-9 | AgenticTyper: Automated Typing of Legacy Software Projects Using Agentic AI
[ACM] 2026-9-9 | Cascaded Vulnerability Attacks in Software Supply Chains
[IEEE] 2026-9-8 | Integrating Smartphone Barometric Sensors and Knowledge Distillation Techniques for Soil Pressure Analysis
[IEEE] 2026-9-8 | From Human Demonstrations to Robotic Actions: Real2Sim Verification of a Diffusion Policy for Autonomous Robotic Manipulation
[IEEE] 2026-9-8 | Ferroelectric Behavior of Hafnium Oxide for Integrated Photonic Non-Volatile Memory Devices
[IEEE] 2026-9-8 | Analog Activation Functions Assessment in Implementing Resistive Neural Networks
[IEEE] 2026-9-8 | Message from the General Chairs
[IEEE] 2026-9-8 | NewCAS 2026 Cover Page
[IEEE] 2026-9-8 | N-Type SnO Based Trace Level Fe(III) Ion Sensor for Drinking Water Quality Monitoring_supp1-3729478.pdf
[ACM] 2026-9-9 | A Survey on Foundation Models for Personalized Federated Intelligence
[ACM] 2026-9-9 | Plan4code: Planning Code Changes with Chain-of-Thought and Ontologies
[ACM] 2026-9-9 | Scaling Software Architecture Data: A Vision for Leveraging Architecture Recovery on Open-Source Projects
[ACM] 2026-9-9 | A Multi-Modal Robotic Framework for Physical GUI Interaction Testing
[ACM] 2026-9-9 | LLM-Based Test Case Generation in DBMS through Monte Carlo Tree Search
[ACM] 2026-9-9 | Technical Briefing on Qualitative Data Analysis and Theory Development
[IEEE] 2026-9-8 | Neuromorphic Orchestration for Efficient LLM Infrastructure via Utility-Optimized Decision-Making
[ACM] 2026-9-9 | Opening Remarks
[IEEE] 2026-9-9 | IoTSGT: An Interactive Specifications Generation Tool for Personalized IoT Software Requirements
[IEEE] 2026-9-9 | Deep Multitask Learning for Real-Time 3D Magnetic Data Inversion With Anomaly Segmentation
[IEEE] 2026-9-9 | Enhancing Local Cognition of CLIP for Training-Free Open Vocabulary Semantic Segmentation
[IEEE] 2026-9-9 | Committees
[IEEE] 2026-9-9 | InstructGrasp: A Real-Time Language-Guided Grasp Pose Detection for Robotic Manipulation_supp2-3731854.mp4
[IEEE] 2026-9-9 | A 52-Gb/s/pin 0.337-pJ/bit Capacitively Driven PAM-4 Transceiver for Coupling-Variation-Tolerant Die-to-Die Interfaces
[IEEE] 2026-9-9 | Say, Move, and Remember: Enhancing SAM2 for Referring Video Segmentation via Motion Modeling and Key Action-Aware Memory_supp1-3728686.pdf
[IEEE] 2026-9-9 | ADVENT: LLM-Driven Automatic Predicate Invention for ILP
[IEEE] 2026-9-8 | Simplified Direct Torque Control for Dual Three-Phase PMSM Based on Vector Error Optimization
[IEEE] 2026-9-9 | FedSymTCNNet: A Federated Edge-IoMT Framework for Wearable Pediatric Gastrointestinal Risk Prediction
[IEEE] 2026-9-9 | Vulcan: Vision-Language-Model Enhanced Multi-Agent Cooperative Navigation for Indoor Fire-Disaster Response
[IEEE] 2026-9-9 | High-Dimensional Programmable Personas: A Comprehensive Framework for Synthesizing Customisable Role-Playing Agents
[IEEE] 2026-9-9 | Post-quantum Medical Data Sharing in IHS via Consortium Blockchain and Multi-signature
[IEEE] 2026-9-9 | Real-Time Victim Positioning With One Search Agent Using Wi-Fi Fine Time Measurement
[IEEE] 2026-9-8 | An Adaptive Midpoint-Voltage Controller for Active Neutral-Point-Clamped Three-Phase Dual Active Bridge Converters
[IEEE] 2026-9-9 | Silicon Sampling via Cross-Survey Transfer
[IEEE] 2026-9-9 | Dual-Target Road Sense Construction for Steer-By-Wire Systems: Design, Control, and Real-Vehicle Validation
[IEEE] 2026-9-8 | Leveraging Blockchain for an Optimised EV Charging System
[IEEE] 2026-9-8 | Automated Impedance Modeling Method for Small-Signal Stability Analysis of Offshore Wind Farm Integrated via Fractional Frequency Transmission System
[IEEE] 2026-9-9 | Implementation of Double Tail Comparator in Cadence Ocean Scripting Automation Framework
[IEEE] 2026-9-9 | Debugging Requirements Interview Scripts: A Framework for Quality Assessment
[IEEE] 2026-9-9 | Organizing Committee
[IEEE] 2026-9-9 | From IMU Sensing to In-Network Intelligence: A Distributed Edge AI Telerehabilitation Framework
[ACM] 2026-9-8 | MSA-Loc: A Lightweight Multi-Scale Attention Network for Protein Subcellular Localization Prediction
[IEEE] 2026-9-8 | An Optical Sensor in Standard CMOS Technology for Precise Measurement of Light Polarization
[IEEE] 2026-9-8 | Showcasing ultra-dense inter-tier partitioning in 3D sequential integration
[IEEE] 2026-9-8 | Configurable Inter-Tier Connectivity for Secure 3D IC Design
[IEEE] 2026-9-8 | Codebook-assisted Deep Multi-view Information Bottleneck for Semantic Transmission
[IEEE] 2026-9-8 | Risk-Regulated Contextual Resource Scheduling for Mixed-Criticality Smart IoT Edge Platforms
[IEEE] 2026-9-8 | Operating Performance Assessment Method for Industrial Process with Local CEI Density-Constrained BLS Network
[IEEE] 2026-9-8 | Model and Algorithm Design of Reciprocal Zhang Neuronet and its Link to Steepest Descent Method via Euler Discretization
[IEEE] 2026-9-8 | A Review of Computer Vision for Medicinal Plant Identification by PRISMA
[IEEE] 2026-9-8 | Fairness-Aware Few-Shot Learning for Audio-Visual Stress Detection
[IEEE] 2026-9-8 | Heterogeneous Mixture-of-Experts Network for Bearing Fault Diagnosis Under Strong Noise
[ACM] 2026-9-9 | Integrating ultrasound-based interface with human-inspired somatosensory control for advanced prosthetic systems
[IEEE] 2026-9-9 | Effector-Centric NMPC of Tiltable-Multirotors for Offset-Free Omnidirectional Aerial Manipulation_supp1-3731683.mp4
[IEEE] 2026-9-9 | Design and Optimization of High-Precision Current Control System Based on GaN HEMT
