[2026-06-25 23:18:03] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-24
正在获取论文...
[arXiv] 2026-06-24 | Euclid Quick Data Release (Q2) -- The Euclid Galactic Bulge Survey
[arXiv] 2026-06-24 | Constraint Tax in Open-Weight LLMs: An Empirical Study of Tool Calling Suppression Under Structured Output Constraints
[arXiv] 2026-06-24 | Parameterized Complexity of Power Network Design: Coordinating Cable Placement is Hard
[arXiv] 2026-06-24 | Dark Photons from Red Dwarfs
[arXiv] 2026-06-24 | Bridging Spherical Black-Box Optimizers
[arXiv] 2026-06-24 | Forward Searches for Heavy Neutrinos and $Z'$ Bosons at FCC-hh
[arXiv] 2026-06-24 | Cliff Tokens: Identifying Single-Token Failure Triggers in LLM Mathematical Reasoning
[arXiv] 2026-06-24 | A phase-space approach for performing continuous-variable quantum teleportation with a non-Gaussian resource
[arXiv] 2026-06-24 | FactorLibrary: From Polynomials to Circuits via Recursive Subgoals
[arXiv] 2026-06-24 | CrossAccent-TTS: Cross-Lingual Accent-Intensity Controllable Text-to-Speech via Disentangled Speaker and Accent Representations
[arXiv] 2026-06-24 | Higher Berry curvature, second Chern numbers and magnetoelectric coupling in crystalline insulators
[arXiv] 2026-06-24 | TryOnCrafter: Unleashing Camera Trajectories for Realistic Video Virtual Try-on via a Renderable 4D Try-on Proxy
[arXiv] 2026-06-24 | Simulating Universal Quantum Gate Sets on Photonic OAM Qubits: Single-Qubit and Multi-Qubit Operations via Spatial Light Modulator Phase Holography
[arXiv] 2026-06-24 | DomainShuttle: Freeform Open Domain Subject-driven Text-to-video Generation
[arXiv] 2026-06-24 | Laser-intensity-spike-dominated hot electron generation from two-plasmon decay instability driven by moderate-bandwidth pulses
[arXiv] 2026-06-24 | When Does Synthetic Data Augmentation Improve Score-Based Imbalanced Classification?
[arXiv] 2026-06-24 | Interfacial Spectral Memory as a State Variable for Finite-Depth Salt-Finger Exchange
[arXiv] 2026-06-24 | Jets and Outflows in Young Stellar Objects with the SKAO
[arXiv] 2026-06-24 | Paleomagnetic signatures of core-mantle interactions inferred from top-heavy thermochemical geodynamo simulations
[arXiv] 2026-06-24 | A one-parameter family of realizability-interior closures for odd-order kinetic moment systems
[arXiv] 2026-06-24 | Geometrically convex return risk measures on AM-algebras
[arXiv] 2026-06-24 | Matrix Approximation of Bachelier Option Prices and Greeks under Stochastic Volatility models
[arXiv] 2026-06-24 | Privacy Vulnerabilities of Attention Layers in Tabular Foundation Models and Protection of High-Risk Queries
[arXiv] 2026-06-24 | Is Variational Monte Carlo Robust? Sharp Moment Thresholds and Heavy-tailed Stochastic Optimization
[arXiv] 2026-06-24 | From Sparse and Imperfect 2D Anchors to Consistent 3D Gaussian Street Scenes: Support-Aware Appearance
[arXiv] 2026-06-24 | Taxonomy-aware deep learning for hierarchical marine species classification in underwater imagery
[arXiv] 2026-06-24 | Action ControlNet: A Lightweight Delay-Aware Adapter for Smooth Asynchronous Control in Vision-Language-Action Models
[arXiv] 2026-06-24 | InvestPhilBench: A Multi-Layer Dynamic Benchmark for Evaluating Large Language Model Procedural Reasoning in Expert Investment Philosophy
[arXiv] 2026-06-24 | Gaussian rigidity for infinite exchangeable sequences
[arXiv] 2026-06-24 | Fractional phase slips across the charge-density-wave domain walls in 1-T TiSe2
[arXiv] 2026-06-24 | Well-posedness of magnetic Zakharov system on 2D bounded domain
[arXiv] 2026-06-24 | Revisiting multi-phase variational problems: A Muckenhoupt weight approach
[arXiv] 2026-06-24 | Measurable Majorities Are Not Finitely Axiomatizable
[arXiv] 2026-06-24 | DSP-SLAM++: A Unified Framework for Multi-Class, High-Fidelity Object SLAM in the Wild
[arXiv] 2026-06-24 | A Methodology for Integrating Life Cycle Assessment into a Multidisciplinary Design Analysis and Optimization Framework for Sustainable Launcher Development
[arXiv] 2026-06-24 | A Simple Counting Argument for Dense Linear Hypergraphs
[arXiv] 2026-06-24 | Interference-Aware Cross-Application Placement: A Multi-Objective Optimization Approach for Microservice Clusters
[arXiv] 2026-06-24 | Macroscopic Fokker-Planck equation from microscopic Glauber dynamics for the Nagle-Kardar model
[arXiv] 2026-06-24 | Density-dependent growth emerges from Bayesian adaptation of phenotype
[arXiv] 2026-06-24 | Connection Towers and Sasaki Metrics on Higher-Order Tangent Bundles
[arXiv] 2026-06-24 | FunPiQ: A New Benchmark for Pixel-Level Quality Assessment in Fundus Images
[arXiv] 2026-06-24 | Envy-free Contracts with Subsidies
[arXiv] 2026-06-24 | The Angular Seed Power Map: A Constructive Approach to Recursive Scaling Spirals
[arXiv] 2026-06-24 | Active Learning for Optimal Experimental Design in Machine Learning-Based Building Energy System Identification
[arXiv] 2026-06-24 | Neglected Free Lunch from Post-training: Progress Advantage for LLM Agents
[arXiv] 2026-06-24 | Broadband multiwavelength properties of the archetypal blazar 3C 279 during the 2017 Event Horizon Telescope campaign
[ACM] 2026-6-24 | A Compact Wideband Corrugated Patch 4×4 MIMO Antenna with High Isolation for Sub-6 GHz 5G Applications
[ACM] 2026-6-24 | Learning to See the Unseen: A Machine Learning Approach for Deepfake Detection
[IEEE] 2026-6-24 | Ergodic Capacity Analysis of NOMA-UWOC Systems Over Composite Fading Channels
[IEEE] 2026-6-24 | Optimal Scheduling of Integrated Energy System Considering Concave-Valley Carbon Price
[IEEE] 2026-6-24 | DST-Mamba: A Dual-Stream Mamba Network with MixHop for Groundwater Forecasting
[IEEE] 2026-6-24 | A Systematic Framework for Selecting Multi-Criteria Decision-Making Methods for Ship Designs
[IEEE] 2026-6-24 | Lyapunov-Guided Actor-Critic: Energy-Variation Prioritized Replay and Stability-Shaped Rewards
[IEEE] 2026-6-24 | RISC-V Based Processor Design for Edge AI Devices
[IEEE] 2026-6-24 | Neuro-Edge IDS: A Federated Neural Mutation-Driven Intrusion Detection Framework
[IEEE] 2026-6-24 | Multi Strategy Fusion Firefly Algorithm for Hybrid Flow Shop Scheduling Problem
[IEEE] 2026-6-24 | MIXR: A Multimodal Framework for Enhanced Recommendation Systems Using LLM Text Encoding, Audio, and Video Features
[IEEE] 2026-6-24 | Research on Intelligent Bearing Fault Diagnosis Based on Meta-CGAN
[IEEE] 2026-6-24 | Semi-Supervised Few-Shot Fault Diagnosis based on Causal Mechanism Consistency Priors
[IEEE] 2026-6-24 | Enhancing Multi-Step Solar Irradiance Forecasting with a Hybrid Model Integrating VMD and Attention-Based LSTM
[IEEE] 2026-6-24 | Design and Optimization of Solid-State Electrolyte Materials for Lithium-Air Batteries Based on Data-Driven Artificial Intelligence Algorithms
[IEEE] 2026-6-24 | Research on Hidden Danger and Fault Location Technology of Distribution Network Based on Correlation Analysis
[IEEE] 2026-6-24 | Game-Theoretic Decision-Making for Aircraft Routing at Junctions Under Communication Jamming
[IEEE] 2026-6-24 | Coordinated Thrust Allocation for Air Cushion Hovercraft Based on Improved Particle Swarm Optimization Algorithm
[IEEE] 2026-6-24 | A Weak Texture Image Registration Algorithm Based on Improved Disk
[IEEE] 2026-6-24 | Extended CTC as an differential flatness based control technique
[IEEE] 2026-6-24 | Optimization of a Focused Proton Microbeam Lens System Based on a Multi-Objective Algorithm
[IEEE] 2026-6-24 | Research on Wearable Health Monitoring Devices for the Elderly: A Review
[IEEE] 2026-6-24 | Application of Dual-Interface RFID in Smart Tags for LPG Cylinders
[IEEE] 2026-6-24 | A Framework for Automated Cyber Threat Intelligence Extraction Based on Knowledge Graph
[IEEE] 2026-6-24 | Optimization Algorithm for PCB Assembly Based on Improved Genetic Algorithm
[IEEE] 2026-6-24 | CNN-LSTM Hybrid for Complete Charging Curve Prediction and SOC Estimation of Lithium-Ion Batteries with Partial Samples
[IEEE] 2026-6-24 | Current-Based Roll-Off Detection in RF Liver Ablation Using a Constant Output Voltage RF Generator
[IEEE] 2026-6-24 | KG-DDRL: A Joint Routing and Power Control Algorithm for UAV Ad Hoc Networks
[IEEE] 2026-6-24 | Congestion Control Based on Multi-Agent Deep Deterministic Policy Gradient
[IEEE] 2026-6-24 | Resilient Impulsive Scaled Consensus of Nonlinear Multi-agent Systems With Parameter Uncertainties and DoS Attacks
[IEEE] 2026-6-24 | Direct Heuristic Dynamic Programming Tracking Control for Aerial Work Platforms
[IEEE] 2026-6-24 | Integrated Design of Bus Networks and Timetable Synchronization for Multi-Modal Transit Systems
[IEEE] 2026-6-24 | Symbolic Regression Approach for Model Predictive Control
[IEEE] 2026-6-24 | Hierarchical Multi-Array Tactile Representation Learning and Diffusion Policy for Real-World Dexterous Placement Tasks
[IEEE] 2026-6-24 | Automated Detection of Human Trafficking Networks Using Multimodal Data Analytics
[IEEE] 2026-6-24 | A Modeling Method for Rapid Path-Loss Evaluation in Wireless Communications of Extravehicular Payloads on the China Space Station
[IEEE] 2026-6-24 | Quantum Resistant Security Using Multivariant Polynomial Cryptography
[IEEE] 2026-6-24 | A Low-Profile Wideband Pattern Reconfigurable Antenna Based on Dipoles for UAV Communications
[IEEE] 2026-6-24 | Research on Attitude Control Algorithm of AGV for Heavy Equipment in Complex and Rough Road Conditions
[IEEE] 2026-6-24 | Adaptive and Resource-Efficient Intrusion Detection Systems: A Focused Analytical Review for Dynamic Network Environments
[IEEE] 2026-6-24 | Fault Detection of Delayed T-S Fuzzy Systems Under Dynamic Event-Triggering WTOD Protocol
[IEEE] 2026-6-24 | Electromagnetic Signal Modulation Recognition Algorithm Based on Spatial Attention Mechanism
[IEEE] 2026-6-24 | From Offline Experience to Online Presence: How Life-Course and Demographic Factors Shape Digital Engagement
[IEEE] 2026-6-24 | A Dynamic Trust-Elimination Security-Driven Intelligence Model for Scalable AI Validation and Sustainable IoT Infrastructures
[IEEE] 2026-6-24 | Unsupervised Diagnosis of Battery Micro-Internal Short Circuits via Probability Density Functions
[IEEE] 2026-6-24 | Binary Code Similarity Detection Based on Semantically Enhanced Abstract Syntax Trees and Attention Mechanisms
[IEEE] 2026-6-24 | Dynamic Target Tracking for Agricultural Robots Based on Multi-Modal Fusion and Knowledge Distillation
[IEEE] 2026-6-24 | Improving Dynamical Performance of Frequency Control in Islanded Microgrids by Combining PI with Distributed Model Predictive Control
[IEEE] 2026-6-24 | Multi-Objective Particle Swarm Optimization for Ship Block Scheduling*
[IEEE] 2026-6-24 | Pressure Prediction in Water Distribution Networks Based on a Hybrid LSTM-Transformer Model
[IEEE] 2026-6-24 | Haptic-Guided Multi-Strategy for Orbit Decision-making of Satellite Flight
[IEEE] 2026-6-24 | Design of Continuous-Time Linear Equalizer Based on Gm-TIA Architecture
[IEEE] 2026-6-24 | Accelerated Privelet: An End-to-End Optimization Approach of Wavelet-Based Differential Privacy for High-Dimensional Time-Series
[IEEE] 2026-6-24 | PRB-RUPFormer: A Recursive Unified Probabilistic Transformer for Residual PRB Forecasting
[IEEE] 2026-6-24 | Satellite-Terrestrial Spectrum Sharing in FR3 through QoS-Aware Power Control and Spatial Nulling
[IEEE] 2026-6-24 | Maximum Correntropy Based Two-Stage Deep One-Class Classification for Robust Learning
[IEEE] 2026-6-24 | Cybersecurity-by-Design Framework for Smart Grid-Integrated Battery Energy Storage Systems
[IEEE] 2026-6-24 | Design and Verification of a Distributed Wireless Networked Measurement System for Hypersonic Aerothermal Environments
[IEEE] 2026-6-24 | Event-Triggered Bipartite Containment Control of Multi-Agent Systems over Signed Digraphs
[IEEE] 2026-6-24 | A Semi-Supervised Deep Learning-Based Method for Identifying Wall Surface Defects in Complex Scenes
[IEEE] 2026-6-24 | 3D Visual Coverage of UAV Based on Elastic Charging Strategy in Wide-Area Environments
[IEEE] 2026-6-24 | An Enhanced Gray Wolf Optimizer: Adaptive Tangent Flight Strategy
[IEEE] 2026-6-24 | Prescribed-Time Resilient Control for Multiagent Systems: A Novel Dynamic Memory Event-Triggered Mechanism
[IEEE] 2026-6-24 | Deep Learning-Based Model Predictive Control for Total Nitrogen Concentration in Wastewater Treatment
[IEEE] 2026-6-24 | Multi-UAV Cooperative Path Planning Based on Greedy Allocation with Environmental Cost and Soft-Guided Bidirectional Smoothing A*
[IEEE] 2026-6-24 | Design of Blind Spot Monitoring System for Electric Forklift Operation Based on Single-Chip Microcomputer
[IEEE] 2026-6-24 | An Efficient Mamba-Based BEV Framework with Predictive-Corrective Temporal Fusion
[IEEE] 2026-6-24 | Early Prediction of ADHD Using Behavioral and Demographic Features: A Comparative Study of Machine Learning and Deep Learning Models
[IEEE] 2026-6-24 | An Ensemble Deep Learning Approach for COVID-19 Detection from Chest X-Ray Images With Explainable AI
[IEEE] 2026-6-24 | Research on Lane Line Detection Optimization and Departure Warning Algorithm Under Multiple Scene
[IEEE] 2026-6-24 | Event-Triggered Adaptive-Critic-Based Tracking Control for Nonlinear Systems with Input Delay
[IEEE] 2026-6-24 | Robust Motion Control of Unmanned Surface Vehicles Via Smooth Disturbance Compensation
[IEEE] 2026-6-24 | Tensor-Invariant Magnetic Localization for 6-DoF Pose Estimation via Compact Magnetometer Arrays_supp1-3694427.pdf
[IEEE] 2026-6-24 | Misinformation Detection via LLM-Based Expert Discussion Network_supp1-3693762.pdf
[IEEE] 2026-6-24 | Affinity-aware Serverless Function Scheduling
[ACM] 2026-6-24 | X-OCTANE: eXplainable On-Chip Telemetry-based Anomaly Notification Engine for Silicon Lifecycle Management
[ACM] 2026-6-24 | Lost Spirits: An Interactive Encounter with a Fractured Soul
[ACM] 2026-6-24 | Mining Attribute-Based Access Control Policies with Large Language Models [Work in Progress Paper]
[ACM] 2026-6-24 | L
                    <scp>ambada</scp>
                    : Autoscaling Confidential Function Chains without Centralized Trust
[ACM] 2026-6-24 | Access Control in Interpersonal Abuse Contexts
[IEEE] 2026-6-24 | Near-Field Channel Estimation for Reconfigurable Intelligent Surface: Framework, Design and Analysis
[IEEE] 2026-6-24 | PCM2Net: Physics-Constrained Manifold Mamba Network for Optics-Guided thermal UAV image super-resolution
[IEEE] 2026-6-24 | Virtual Network Embedding Based on Hierarchical Reinforcement Learning for Admission Decision and Policy Fine-Tuning in Elastic Optical Network
[IEEE] 2026-6-24 | A Dual-Aggregation and Semantic Prototype Guided Network for Railway Point Cloud Segmentation
[IEEE] 2026-6-25 | Photovoltaic Output Prediction Method Based on Time-Frequency Clustering Optimization
[IEEE] 2026-6-25 | Message from the General Co-Chairs
[IEEE] 2026-6-25 | Demo Abstract: An On-Device Mobile GUI Agent System with Online Exploration
[IEEE] 2026-6-25 | Ellipsoid Control: A White-list Jailbreak Defense via Benign Latent Modeling
[IEEE] 2026-6-24 | Enhancing Communication Robustness for Leadless Pacemakers: 2-DOF Gain Compensation Across Physiologic and Pathologic Dynamics
[IEEE] 2026-6-25 | EGGNet: Learning Temporal Boundaries of Glottal Cycles from Electroglottography
[IEEE] 2026-6-25 | PlagiAct: Measurement Instrument of STEM Student Attitudes Toward Academic Dishonesty in the AI Era
[IEEE] 2026-6-25 | Multi-Period Dynamic Optimization Framework for Manufacturers' Green Strategy Under Carbon Policies
[IEEE] 2026-6-24 | Influence of Te Atmosphere Annealing Time on Cd
                    <sub>1-x</sub>
                    Mg
                    <sub>x</sub>
                    Te Single Crystal Properties and Detector Performance
[IEEE] 2026-6-25 | TID-Tolerant StrongARM Comparator and Sampling Network for Satellite Application High-Voltage ADCs
[IEEE] 2026-6-25 | A Semi-Parametric Ridge-Stabilized Regression Framework Using Natural Cubic Splines
[IEEE] 2026-6-25 | Poster Abstract: HiSim — Sensor-Stream Cosine Health Index for Early-Stage Monitoring
[IEEE] 2026-6-24 | Capacity Expansion Planning under Uncertainty subject to Adequacy Constraints
[IEEE] 2026-6-25 | Distributed Interference Avoidance in LoRaWAN via Spectral Features and Decision Tree
[IEEE] 2026-6-24 | From Isolated Minds to Networked Brains: Architecting the Internet of Brains
[IEEE] 2026-6-24 | Multi-Agent VDPPO Enabled Coordinated Beam Hopping Scheduling for LEO Satellite Constellations
[IEEE] 2026-6-25 | Spiking Neural Networks for Log-Based Anomaly Detection: A Survey, Taxonomy, and Roadmap on Energy-Efficient Neuromorphic Log Analysis
[IEEE] 2026-6-24 | Periodic Via-Guided Stripline Circuit Design with Effective Wavelength Reduction
[IEEE] 2026-6-24 | Variable-Frequency Soft-Switching Traction Inverter Using Coupled Inductors
[IEEE] 2026-6-25 | FCRL-Net: Identity-Invariant Forgery-Centric Representation Learning for Generalizable and Audio Deepfake Detection
[IEEE] 2026-6-25 | Dual-Galvanometer-Based Active Stereo Vision for Large-FOV High-Precision 3D Reconstruction of Moving Objects
[IEEE] 2026-6-24 | Dual photonic-plasmonic Au-functionalized inverse-SiO
                    <sub>2</sub>
                    optical fiber sensor for
                    <i>p</i>
                    -xylene detection toward prostate cancer screening
[IEEE] 2026-6-25 | Hierarchical Gated Transformer with Visual Saliency for No-Reference Image Quality Assessment
[IEEE] 2026-6-25 | Adaptive Radar Detection in joint Range-Azimuth Space based on the Hierarchical Latent Variable Model
[IEEE] 2026-6-24 | Cooperative Data-Driven Safety Control Based on Distributed Gaussian Processes
[IEEE] 2026-6-24 | Projection-free Safe and Stable Reinforcement Learning for Adaptive Frequency Control
[IEEE] 2026-6-24 | Adaptive Stability Control of Autonomous Electric Vehicles with Intelligent Disturbance Observer and Safe Torque Allocation
[IEEE] 2026-6-25 | A New RNN Model for Digital Predistortion: Unlocking Low Complexity and Exponential Activation
[IEEE] 2026-6-25 | Safe Learning Control with Optimality and Stability Guarantees
[IEEE] 2026-6-24 | Digital Redesign-Based Interval State Estimation for Continuous Systems With Aperiodic Discrete Measurements
[IEEE] 2026-6-24 | Improving Wind Speed Forecasts Through Multi-Stage Signal Decomposition and Hierarchical Time Series
[IEEE] 2026-6-24 | Digital Active Gate Driver with Closed-Loop Current Balancing for Paralleled SiC MOSFETs Using Miniature Rogowski Coils
[ACM] 2026-6-24 | Blood Pattern Classification Using Transformer‑Based Image Embeddings
[ACM] 2026-6-24 | Detection of AI-Generated Text Using RoBERTa Across English and Spanish
[ACM] 2026-6-24 | Ground Spin Strike: Presentation of Impact Sensations by a Floor-Mounted Turntable
[ACM] 2026-6-24 | Developing Games as "Translation Devices" for Quantum Annealing and Validating its Social Implementation
[IEEE] 2026-6-24 | A Multi-Dimensional Directed Graph Analysis of the Ethereum Transaction Network
[IEEE] 2026-6-24 | Three-Dimensional Optimal Trajectory Planning for Horizontal Wells Based on an Improved Sand Cat Swarm Optimization Algorithm
[IEEE] 2026-6-24 | Transformer Fault Diagnosis Method Based on DGA and SSA-XGBoost Fusion Optimization
[IEEE] 2026-6-24 | A Homotopy Method for Discrete-Time Linear System LQR Control Based on Policy Iteration
[IEEE] 2026-6-24 | Secure and Privacy-Preserving Fine-Tuning of Large Language Models via Homomorphic Gradient Aggregation
[IEEE] 2026-6-24 | Research on Wide-Range and High-Precision Metering Technology for Ultra-Fast Charging Facilities in New Power Systems
[IEEE] 2026-6-24 | Neural Network-Based Adaptive Swing Suppression Control for a Quadrotor with a Variable-Length Suspended Payload
[IEEE] 2026-6-24 | Low Communication Overhead Concept Drift Detection and Adaptive Response Method for Parallel Data Stream Clustering
[IEEE] 2026-6-24 | Dynamic SOC Equalization Strategy Based on Fuzzy Logic Control for Distributed Battery Energy Storage Systems
[IEEE] 2026-6-24 | Early-Stage Case Study of the Implementation of an Electrical Engineering Technology (EET) to Electrical Engineering (EE) Program Transition
[IEEE] 2026-6-24 | Simulation of Inhomogeneous Deposition of Solid Intermetallic Compounds in Liquid Metal Batteries
[IEEE] 2026-6-24 | A PSO-Enhanced Grey Wolf Optimizer for High-Precision ADRC Parameter Tuning in Quadrotor UAV Attitude Control
[IEEE] 2026-6-24 | Wearable Non-Invasive Sensor for Pre-Impact Fall Prediction in Crowded Areas
[IEEE] 2026-6-24 | Lossless remote sensing image compression algorithm based on cross-image prior
[IEEE] 2026-6-24 | A Lightweight Missing Value Imputation Method for Industrial Time-Series Data Based on Sliding Window Weighted Regression
[IEEE] 2026-6-24 | Effects of Spatial Scale on EEG-Based Perceptual Dynamics: A Complex Network and LSTM-MLP Hybrid Model Study
[ACM] 2026-6-25 | L-SCALE: Locality-Sensitive Coverage for Automata LEarning
[ACM] 2026-6-25 | HYDRA: A Hybrid Heuristic-Guided Deep Representation Architecture for Predicting Latent Zero-Day Vulnerabilities in Patched Functions
[IEEE] 2026-6-24 | Learning Dynamic Frame Semantics for Multimodal Sentiment Analysis_supp1-3706491.pdf
[IEEE] 2026-6-24 | Welcome to ICNS 2026
[IEEE] 2026-6-24 | Table of Contents
[IEEE] 2026-6-24 | Preface: Committee Member
[IEEE] 2026-6-24 | Improving Clinical Decision Support: Architecture Design of a Multi-agent System based on an Argument Quality Assessment Ontology
[IEEE] 2026-6-24 | Radar HRRP Open-Set Recognition via Synergistic Hypersphere Aggregation and Reciprocal Points Repulsion
[IEEE] 2026-6-24 | A Framework to Evaluate How AI Conflict Alerts Affect Controllers’ Manual Verification Behaviors
[IEEE] 2026-6-24 | Energy Efficiency Optimization Control of Pmsm Servo System Based on Adaptive Eph Under Different Operating Conditions*
[IEEE] 2026-6-24 | EyeMove: A Hands-Free, Eye-Controlled Wheelchair for Enhanced Mobility
[IEEE] 2026-6-24 | Research on the Dynamic Optimization Mechanism of 7 Multi-Link Operation (MLO) for Office Park WiFi
[IEEE] 2026-6-24 | An Adaptive Differential Evolution Particle Swarm Optimization Based Node Localization Method for Wireless Sensor Networks
[IEEE] 2026-6-24 | IVTN: Improved Vision Transformer with Deformable Convolution and Class-Conditional Subdomain Adaptation for Cross-Condition Bearing Fault Diagnosis
[IEEE] 2026-6-24 | A Hybrid Wind Power Prediction Model Based on TOC-Optimized VMD and CNN-BiLSTM
[IEEE] 2026-6-24 | Curriculum-Enhanced Model-Free PPO Control for Boost Converters with Real-Time Validation
[IEEE] 2026-6-24 | Feature Selection Using EVORA: An Elite Vector-based Optimization Algorithm with Reweighted Adaptation
[IEEE] 2026-6-24 | Modulating Dense Content with Sparse Context for Real-time Visual Recognition
[IEEE] 2026-6-24 | TabPFN-TS Based Accurate Price Forecasting Model to Farmers in Time-Series Data
[IEEE] 2026-6-24 | Visual Positioning System for Industrial Sorting Robots Enabled by Deep Learning
[IEEE] 2026-6-24 | An I/Q Imbalance Calibration Algorithm in Wideband Programmable Radio Frequency Transceivers
[IEEE] 2026-6-24 | A Bayes-BiLSTM-Based Method for Short-Term Photovoltaic Power Forecasting Under Extreme Weather Conditions
[IEEE] 2026-6-24 | Output Modulation of Chaotic Signals Based on a Number Sequence Limit
[IEEE] 2026-6-24 | Multi-criteria Optimization Method for Recloser Placement and Distributed Generation Integration in Radial Distribution Networks
[IEEE] 2026-6-24 | YOLO12-FS: A High-Precision Deep Learning Method for Forest Fire Detection
[IEEE] 2026-6-24 | Data-Driven Event-Triggered Reinforcement Learning Control for Set-Point Tracking of Refrigeration Systems
[IEEE] 2026-6-24 | Symbolic Representation of Sensor Data and Its Application in Fault Diagnosis for TE Process
[IEEE] 2026-6-24 | Robust Refinement for Deep Image Clustering via Hybrid Selection and Co-Training
[IEEE] 2026-6-24 | A Soft Action Mask-Based Deep Reinforcement Learning Approach for Safe and Efficient Path Planning
[IEEE] 2026-6-24 | Design and Engineering Implementation of Wiring Schemes for Auto-transformer Voltage Regulating Devices
[IEEE] 2026-6-24 | Event-Triggered Fixed-Time Consensus Fault-Tolerant Control of Second-Order Nonlinear Multi-Agent Systems
[IEEE] 2026-6-24 | Optimizing Broad Learning System with Chaotic Evolution for Electrocardiogram Signal Classification
[IEEE] 2026-6-24 | Research on Blind Separation and Classification of UAV Frequency-Hopping Signals Under Hybrid Interference Environments
[IEEE] 2026-6-24 | PropSplat: Map-Free RF Field Reconstruction via 3D Gaussian Propagation Splatting
[IEEE] 2026-6-24 | A Comprehensive Review on Emerging Materials and Performance of Dental Implants
[IEEE] 2026-6-24 | MHA-MASAC: Multi-Head Attention and Safety for Multi-agent Collaborative Path Planning
[IEEE] 2026-6-24 | Objective Criteria and Quantitative Model for Evaluating Medical Device Vendors using MCDM
[IEEE] 2026-6-24 | Training Lightweighted Nonlinear Motional UAV Neural Network Toward Fast Trajectory Planning
[IEEE] 2026-6-24 | Research on Design and Control Strategy Optimization of High Performance Hybrid Cascaded Converter
[IEEE] 2026-6-24 | DTS
                    <sup>2</sup>
                    : A Sarcasm-Injected Transformer Framework for Enhanced Sentiment Analysis in Business Reviews
[IEEE] 2026-6-24 | Visual-Semantic Alignment for Effective Semantic Prompt Utilization in Few-Shot Learning
[IEEE] 2026-6-24 | Global Consensus Analysis of Networked Multi-Agent Systems with Heterogeneous Dynamics and Time-Varying Communication Delay
[IEEE] 2026-6-24 | High-Fidelity Digital Twin Framework for Robust Fault Diagnosis in Quadrotors
[IEEE] 2026-6-24 | A Ring Oscillator with Extended Tuning Range
[IEEE] 2026-6-24 | An Improved DQN-APF Algorithm for Path Planning of Amphibious Unmanned Vehicles
[IEEE] 2026-6-24 | Multi-Objective Voltage Optimization via Deep Reinforcement Learning Based Load Control in New Energy Distribution Networks
[IEEE] 2026-6-24 | Multimodal Large Models for Predictive Maintenance, Workflow Optimization, and Industrial Risk Control
[IEEE] 2026-6-24 | SR-VIO: A Stereo Robust Visual-Inertial Odometry Towards Dynamic Scenes
[IEEE] 2026-6-24 | ElasticVLA: Enhancing Semantic Instruction Following in Embodied AI via Visual-Logical Phase Alignment
[IEEE] 2026-6-24 | Practical Prescribed-Time Optimal Fault-Tolerant Control for Multiple Euler-Lagrange Systems
[IEEE] 2026-6-24 | Adaptive Genetic Algorithm With Q_Learning and Dynamic Catastrophe for Multi-Compartment Vehicle Routing Problem With Flexible Compartment Sizes
[IEEE] 2026-6-24 | A Performance-Driven Graph Model for Structural Conflict Analysis in Networked Multi-Decision-Maker Systems
[IEEE] 2026-6-24 | Physics-Informed Data Augmentation for Cyber-Physical Power Systems under Mixed Incompleteness Patterns
[IEEE] 2026-6-24 | Diffusion-Augmented Multimodal Foundation Modeling for Robust Misinformation Detection in Digital Media
[IEEE] 2026-6-24 | Design and Simulation Analysis of a Self-Cooling Integrated Auxiliary Power Box for Rail Transit
[IEEE] 2026-6-24 | Edge Modification for Influence Maximization of Competing Opinions in Social Networks
[IEEE] 2026-6-24 | Real-Time Bluetooth Controlled Wireless Notice Board
[IEEE] 2026-6-24 | DCGAT: Dual-Channel Graph Attention Network-Based Reinforcement Learning for Multi-UAV Cooperative Pursuit
[IEEE] 2026-6-24 | Automated Synthesis of Lyapunov Functions for Multi-Agent Systems Under Jointly Connected Topology
[IEEE] 2026-6-24 | Hybrid Sliding Mode Tracking Control of Quadrotor Unmanned Aerial Vehicle
[IEEE] 2026-6-24 | UWB Radar Vital Sign Detection Based on Human Body Motion Suppression
[IEEE] 2026-6-24 | Prescribed-Time Adaptive Fault-Tolerant Formation Control for Multi-Agent Systems Under Actuator Faults and Deception Attacks
[IEEE] 2026-6-24 | Integrating Graph Neural Networks and Attention-Based LSTM for Aero-Engine Fault Diagnosis
[IEEE] 2026-6-24 | Adaptive Images Fusion Method Based on Polarization Enhancement
[IEEE] 2026-6-24 | Novel Current Reconstruction Method With Single Current Sensor for Current Source Inverter
[IEEE] 2026-6-25 | GNSS-A Ranging Model With Acoustic Delay Corrections Achieving Centimeter-Level-Precision Positioning
[IEEE] 2026-6-24 | Extraction of Flooded Buildings from a Single SAR Image: A Double-Bounce-Aware Spatial Analysis Approach
[IEEE] 2026-6-25 | Backdoor Sample Detection through Progressive Perturbation and Loss Trajectory Analysis
[IEEE] 2026-6-24 | A Unified Framework for High-Accuracy and Memory-Efficient Per-Flow Cardinality Measurement
[IEEE] 2026-6-24 | Uplink Transmission Optimization in RIS-Assisted Networks: A Long-Term Rate Maximization Approach
[IEEE] 2026-6-25 | Enhancing Sentiment Analysis with Emojis: A Comprehensive Survey of Methods, Applications, and Future Directions
[IEEE] 2026-6-25 | Poster: AoA-Based Bluetooth System for Precise Indoor Localization
