[2026-05-06 22:53:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-05
正在获取论文...
[arXiv] 2026-05-05 | LIPPEN: A Lightweight In-Place Pointer Encryption Architecture for Pointer Integrity
[IEEE] 2026-5-5 | Predictive Health Monitoring of Solenoid Coils Under Humid Aging Conditions
[IEEE] 2026-5-5 | ConvKAN-Mixers : A New Deep Learning Architecture for Image Classification
[IEEE] 2026-5-5 | Distributed Ledger Technology in Healthcare: Advancing Governance Architectures and Performance Engineering in Decentralized Ecosystems
[IEEE] 2026-5-5 | Learning Mask-Aware Offsets: Two-branch Deformable Attention Networks for Inpainting with Masked Region Avoidance
[IEEE] 2026-5-5 | DreamMakeup: Face Makeup Customization using Latent Diffusion Models
[IEEE] 2026-5-5 | Feature-Disentangling RGB-NIR Fusion Network for Remote Driver Physiological Measurement
[IEEE] 2026-5-5 | Integrating Satellite Imagery and IoT Field-Based Observations for In-Situ Soil Moisture Analysis
[IEEE] 2026-5-5 | Predicting Workplace Depressive Symptoms based on Work Limitation Questionnaire and Wearable-Derived Indicators
[IEEE] 2026-5-5 | Config-Driven Promptable Semantic Segmentation for Satellite Land Cover Mapping with PyTorch
[IEEE] 2026-5-5 | ICoECIT 2026 Preface
[IEEE] 2026-5-5 | EPDMC 2026 Cover Page
[IEEE] 2026-5-5 | Table of Contents
[IEEE] 2026-5-5 | Messages
[IEEE] 2026-5-5 | Analysing Sentiments by Using Machine Learning and Deep Learning Approaches on Dogri Language
[IEEE] 2026-5-5 | GPRS-Net: Global Statistical Prior Guided Relation-Aware Symmetric Point Cloud Completion
[ACM] 2026-5-6 | Companion of the 45th Symposium on Principles of Database Systems
[ACM] 2026-5-6 | Fine-grained Complexity of Database Queries
[IEEE] 2026-5-5 | DCAChain: A Decentralized Cross-Domain Access Control Architecture with Key Abuse Resistance for the Metaverse
[IEEE] 2026-5-6 | Folding the Vision: Towards Efficient Global Context Representation on Edge Devices
[IEEE] 2026-5-6 | A Routh Zero-Location Testing Method for Integer Polynomials With Any Singularity Profile
[IEEE] 2026-5-5 | UltraClean: A Simple Framework to Train Robust Neural Networks against Backdoor Attacks
[IEEE] 2026-5-5 | Beyond Real Weights: Hypercomplex Representations for Stable Quantization
[IEEE] 2026-5-5 | FlowMorph: Revealing an Optimizable Flow Latent Space for Controlled Image Morphing
[IEEE] 2026-5-5 | BlendCLIP: Bridging Synthetic and Real Domains for Zero-Shot 3D Object Classification with Multimodal Pretraining
[IEEE] 2026-5-5 | An improved architecture for part-based animal re-identification through semantic segmentation distillation
[IEEE] 2026-5-5 | Exploring Automated Recognition of Instructional Activity and Discourse from Multimodal Classroom Data
[IEEE] 2026-5-5 | Empowering Source-Free Domain Adaptation via MLLM-Guided Reliability-Based Curriculum Learning
[IEEE] 2026-5-5 | Anatomically-guided masked autoencoder pre-training for aneurysm detection
[IEEE] 2026-5-5 | PADM: A Physics-aware Diffusion Model for Attenuation Correction
[IEEE] 2026-5-5 | Fake News Detection Using LLM and RAG
[IEEE] 2026-5-5 | MUSE: Model-based Uncertainty-aware Similarity Estimation for zero-shot 2D Object Detection and Segmentation
[IEEE] 2026-5-5 | A Comprehensive Review of Post-Quantum Cryptography Integration into Public Key Infrastructure: Challenges, Algorithms, and Future Directions
[IEEE] 2026-5-5 | OpenLVLM-MIA: A Controlled Benchmark Revealing the Limits of Membership Inference Attacks on Large Vision-Language Models
[IEEE] 2026-5-5 | Robust Scene Coordinate Regression via Geometrically-Consistent Global Descriptors
[IEEE] 2026-5-5 | PSA-MIL: A Probabilistic Spatial Attention-Based Multiple Instance Learning for Whole Slide Image Classification
[IEEE] 2026-5-5 | Uncertainty-Aware Vision-Language Segmentation for Medical Imaging
[IEEE] 2026-5-5 | Flex-Knee: A Low-Cost Passive Haptic Model for Injury Assessment Training
[IEEE] 2026-5-5 | Mixed Diffusion for 3D Indoor Scene Synthesis
[IEEE] 2026-5-5 | TRACE: Confounder-free Adversarial Fine-tuning for Robust Object Detection
[IEEE] 2026-5-5 | CONSTANT: Towards High-Quality One-Shot Handwriting Generation with Patch Contrastive Enhancement and Style-Aware Quantization
[IEEE] 2026-5-5 | Game Optimization Scheduling Method for Regional Power Grid of 220kV Substation Based on Information Entropy
[IEEE] 2026-5-5 | Multi-Agent Reinforcement Learning with Decentralized AI in Autonomous Drone Swarms
[IEEE] 2026-5-5 | SentrySLA: SLA Breach Predictor for Incident Management Using Machine Learning
[IEEE] 2026-5-5 | Ensemble of Convolutional Neural Networks with Transfer Learning for Remote Sensing Image Scene Classification
[IEEE] 2026-5-5 | Quantum-Inspired Machine Learning for High-Dimensional Data Optimization
[IEEE] 2026-5-5 | Embedding-Enhanced Deep Neural Network for Hypertension Risk Prediction Using Mixed-Type Clinical Data
[IEEE] 2026-5-5 | Design and Implementation of an AI-Powered Autonomous Security Robotic Dog with Integrated Face Recognition
[IEEE] 2026-5-5 | DynaSplit: Latency-Aware Dynamic Model Partitioning for Large Language Model Inference in the Edge-Cloud Continuum
[IEEE] 2026-5-5 | Predictive People Analytics: Real-Time AI Insights for Engagement and Attrition using Workday Data
[IEEE] 2026-5-5 | Zero-Shot Video Deraining with Video Diffusion Models
[IEEE] 2026-5-5 | SAIL: Self-supervised Learning of Lighting-Invariant Representations from Real Images with Latent Diffusion
[IEEE] 2026-5-5 | Multi-Staged Transfer Learning with Progressive Fine-Tuning for Citrus Fruit Disease Classification
[IEEE] 2026-5-5 | Object Tracking and Shooting Turret
[IEEE] 2026-5-5 | Electricity Generation from Waste Materials
[IEEE] 2026-5-5 | Lightweight UNet++ Based Multi-Sensor Fusion for Automated Building Footprint Extraction
[IEEE] 2026-5-5 | A Privacy-Preserving Federated Learning Framework for Adaptable Cross-Organizational Collaboration
[IEEE] 2026-5-5 | Fault Detection in Smart Grids Using Machine Learning and Raspberry Pi for Condition Monitoring
[IEEE] 2026-5-5 | A Modular Edge-Assisted Deep Learning System for Real-Time Intrusion Detection in Smart Surveillance
[IEEE] 2026-5-5 | Vector: Canonical Intent Graphs and Mode-Aware Execution for State-Persistent Web Interaction
[IEEE] 2026-5-5 | Dual-Active-Bridge Converter with ANFIS Controller
[IEEE] 2026-5-5 | Architecting Hybrid Data Products Using AI/ML and Agentic AI for Group Insurance and Retirement Solution Platforms with Advanced Data Governance
[IEEE] 2026-5-6 | Guide for the redesign of websites not accessible to blind people: MiUV study case_supp1-3690147.docx
[IEEE] 2026-5-5 | Integrating Pseudo-Supervision and Spatial Constraints for Efficient Clustering of Multimodal Remote Sensing Data
[IEEE] 2026-5-5 | Flight Dynamics to Sensing Modalities: Exploiting Drone Ground Effect for Accurate Edge Detection
[IEEE] 2026-5-6 | Real-time Dual Sensing of cTnI and Myoglobin via Printable Graphitized Electrodes
[IEEE] 2026-5-6 | Bangla Visual Question Answering Using Gated Cross-Attention and Reinforcement-Optimized Fusion
[IEEE] 2026-5-6 | Dataset for DDoS Detection in 5G-Enabled Connected and Autonomous Vehicle Systems
[IEEE] 2026-5-6 | Artificial Intelligence Based Smart Glass for Navigating Vision Impaired Individuals
[IEEE] 2026-5-6 | A Novel Dopant-Segregated Si FeFET with a Superlattice Gate Stack Featuring Low-Temperature Gate-First Compatibility and Enhanced Memory Window
[IEEE] 2026-5-6 | Rain Streak Removal: A Streamlined Hierarchical CNN-Based Approach for Image Enhancement
[IEEE] 2026-5-6 | A scalable neuromorphic platform with four neural motifs featuring &lt;1 ms Per-Neuron Latency
[IEEE] 2026-5-6 | Designing an Intelligent Protection Scheme for Solar Power Plants Based on Power Prediction and Asymmetrical Fault Detection
[IEEE] 2026-5-6 | Resonance Stability and Bandwidth Variation in Fabricated X-Band Microstrip Resonator
[IEEE] 2026-5-6 | WGB-VM: Uncertainty-Aware Virtual Metrology Framework for Semiconductor Manufacturing
[IEEE] 2026-5-6 | A Graph Transformation-Driven TCAD Method for Efficient Device Characteristic Prediction
[IEEE] 2026-5-6 | Graphene Inversion Layer for Enhanced Photoresponse in MXene-Si Schottky Photodiodes
[IEEE] 2026-5-6 | The Role of Artificial Intelligence in Enhancing Decision-Making Processes
[IEEE] 2026-5-6 | Benchmarking ML and DL Models for Bangla Sentiment Analysis in Student Movement
[IEEE] 2026-5-6 | Automated Cooked Rice Dispenser with Weight Accuracy and Spoilage Monitoring
[IEEE] 2026-5-6 | Interannual Linkage Between LOD and ENSO: Insights From Geodetic Observations, Geophysical Models, and Climate Indices
[IEEE] 2026-5-6 | Freelancer-Client Matching System with AI-Based Skill Assessment
[IEEE] 2026-5-6 | GenoPIM: Enhancing Genome Alignment using Digital Processing-in-Memory
[IEEE] 2026-5-6 | Personalized Tabular Transformer with Explainable AI for Mental Health Assessment
[IEEE] 2026-5-6 | X-RF-DETR: A Framework for Explainable and Trustworthy PPE Decision Support
[IEEE] 2026-5-5 | 28 GHz Indoor Continuous-Space Channel Measurements and AI-Enabled 6G Channel Map Construction
[IEEE] 2026-5-6 | Real-Time Breast Cancer Classification Employing GMM-HMRF Segmentation and PCA-Optimized Machine Learning Algorithms
[IEEE] 2026-5-6 | IPnest: A Permissioned Blockchain Framework for Secure and Transparent Intellectual Property Management Using Hyperledger Fabric, NFTs, and IPFS
[IEEE] 2026-5-6 | Fast CU Splitting in VVC: A DCT-Based Homogeneity-Aware Approach for Encoding Complexity Reduction
[IEEE] 2026-5-6 | xLSTM-Based Framework for Accurate Rainfall Forecasting Across Bangladesh: A Comparative Analysis with LSTM and GRU
[IEEE] 2026-5-6 | Common-Mode Analysis and Suppression for Asymmetrical Six-Phase PMSM Drive Under Single-Phase Open-Circuit Fault
[IEEE] 2026-5-6 | Machine Learning Approaches to Classify and Predict Water Quality Status in the Surma River, Sylhet, Bangladesh
[IEEE] 2026-5-5 | Set-Based Asynchronous State Estimation for Networked Switched Neural Networks
[IEEE] 2026-5-5 | A Complementary Positive Feedback-Assisted Current Mirror-Based Level Shifter for Energy-Efficient Level Conversion for Wide Voltage Ranges
[IEEE] 2026-5-6 | Flow-Induced Vibration-Based Liquid Flow Rate Measurement With Optical Carrier Microwave Interferometry
[IEEE] 2026-5-5 | Machine Learning Assisted Tilt/Azimuth Estimation for Passive Stylus Pens using Position-Based Model Selection
[IEEE] 2026-5-5 | GNNLicense: An Active Intellectual Property Protection Technique for Graph Neural Networks based on Autoencoder
[IEEE] 2026-5-6 | A Framework for Energy-Efficient Hybrid Transceiver Design in Multi-Hop Communications
[IEEE] 2026-5-6 | A Narrative Review of Decision Support Approaches for Teaching Mode Selection in Higher Education: Evidence From Sri Lankan and South Asian Contexts
[IEEE] 2026-5-6 | A Novel Ferroelectric-based SnO
                    <sub>x</sub>
                    FET with Non-volatility and Symmetrical Ambipolarity for In-Memory-Searching toward Edge AI
[IEEE] 2026-5-6 | Balancing Accuracy and Efficiency: CNN Fusion Models for Diabetic Retinopathy Screening
[IEEE] 2026-5-6 | Position-Aware Beam Steering and Antenna Adaptation Using LiDAR Sensing for 6G Wireless Links
[IEEE] 2026-5-6 | Keynote 3
[IEEE] 2026-5-6 | Non-Intrusive Speech Intelligibility Measures Using Multi-Metric Approach
[IEEE] 2026-5-6 | Detecting User Stances on AI-Generated YouTube Content
[IEEE] 2026-5-6 | Exploring Regional Variation in Bangla: Automating Dialect Classification Using Deep Learning
[IEEE] 2026-5-6 | Power Management Circuit Building Blocks Based on 2D Molybdenum Disulfide
[IEEE] 2026-5-6 | Physics-Informed Neural Network for Inverse Design of LDMOS Devices with Ultra-high FOM via Wafer-Level Validation
[IEEE] 2026-5-6 | A BSIM4-based SPICE Model for MoS
                    <sub>2</sub>
                    Transistors Incorporating Trap Effects for Integrated Circuit Applications
[IEEE] 2026-5-6 | DC bias-tunning strategy to optimize Sc
                    <sub>0.3</sub>
                    Al
                    <sub>0.7</sub>
                    N cantilever-type MEMS Speakers performance and wafer-level uniformity
[IEEE] 2026-5-6 | DABBiT: A Drift-Adaptive Behavioral Biometrics Framework for Continuous Authentication in Tanzanian Internet Banking
[IEEE] 2026-5-6 | An Effective Cardiovascular Risk Prediction Using PCA and mRMR Feature Selection with Multi-Model Explainable AI Framework
[IEEE] 2026-5-6 | MedViT: A Vision Transformer-Based Model for Kidney Disease Detection
[IEEE] 2026-5-6 | Approximation and Implementation of the Lung Bio-Heat Transfer Electrical Model
[IEEE] 2026-5-6 | E80: An Open-Source 8-bit CPU and Toolchain based on Textbook Digital Design Theory
[IEEE] 2026-5-6 | Tomato Leaf Disease Classification Using RHN-EfficientNet: A Regularized Deep Learning Architecture
[IEEE] 2026-5-6 | Real Time Sinhala Lecture Transcription for Political Science
[IEEE] 2026-5-6 | A Transformer-Based Aspect-Level Sentiment Analysis Framework for Analyzing Public Discourse on Generative AI
[IEEE] 2026-5-6 | Investigation of Coupled RRAM and MOSFET Degradation in 1T1R Memory Cell
[IEEE] 2026-5-6 | A Deep Bi-LSTM-Based Motor Imagery Braincomputer Interface for Wheelchair Navigation
[IEEE] 2026-5-6 | A Hybrid Machine-Learning-Based Framework for Geometry-Temperature-Aware General Compact Model Parameter Extraction
[IEEE] 2026-5-6 | Digital Leadership and Crisis Management: Lessons from Higher Education Institutions in the Kingdom of Bahrain During the COVID-19 Pandemic
[IEEE] 2026-5-6 | Dual-Band Dual-Polarized Shared Aperture Traveling-Wave Antenna Using Hybrid Dual-Mode Floquet Excitation for Satellite ISAC Systems
[IEEE] 2026-5-6 | Multi-Band Patch Antenna Array for Out-of-Band Aided Millimeter Wave Communication
[IEEE] 2026-5-6 | Zero-Knowledge Consent: Auditable and Private Data Permission Management via Blockchain
[IEEE] 2026-5-6 | Classifying Lemon Leaf Diseases Using MobileNetV3-Large for Better Crop Health Monitoring
[IEEE] 2026-5-6 | Compact Transparent Dual-Band Antenna with Artificial Magnetic Conductor for Wearable Devices
[IEEE] 2026-5-6 | On the Energy Consumption of Continuous Integration in Open-Source Java Projects
[IEEE] 2026-5-6 | Evaluating and Enhancing Large Language Models for Islamic Question Answering
[IEEE] 2026-5-6 | Proposed Framework of Sustainable Value Co-Creation in Agricultural Supply Chain: A Bibliometric Perspective
[IEEE] 2026-5-6 | Harmonizing Nature: Real-Time Plant Signal Analysis for Music Generation, Interactive Sound, and Moisture Monitoring
[IEEE] 2026-5-6 | Non-Volatile Polarization-Reconfigurable SSPP Antenna
[IEEE] 2026-5-6 | CodeScent: A Deep Ensemble and LLM-Based Framework for Python and Java Code Smell Detection with Android Integration
[IEEE] 2026-5-6 | NextRAG: A Bilingual Retrieval-Augmented Generation Framework for Financial Question-Answering
[IEEE] 2026-5-6 | PoultryNet: A Lightweight CNN Student Model for Chicken Disease Classification via Knowledge Distillation from Vision Transformer
[IEEE] 2026-5-6 | LED-Tuned HR-Si Monopole Antenna for K-Band Reconfiguration
[IEEE] 2026-5-6 | A Comprehensive Study of AI in Engineering Organizations’ Decision-Making: Capabilities, Ethics, and Performance
[IEEE] 2026-5-6 | Resilient Communication Hubs Over LEO Satellite Networks
[IEEE] 2026-5-6 | Decentralized Online Learning with Hard Constraints: A Doubly-Bounded Queue Approach
[IEEE] 2026-5-6 | A Grapheme-Aware LLM Integrated Hybrid Framework for Automated Text-to-Chart Conversion in Bengali Language
[IEEE] 2026-5-6 | AI-Assisted IoT Framework for Water Quality Monitoring with Real-Time WQI Prediction and Cleaning Forecasting
[IEEE] 2026-5-6 | Investigating Feature Selection Techniques to Enhance the Performance of Parkinson's Disease Detection Using Tablet Data
[IEEE] 2026-5-6 | Comparative Analysis of Machine Learning Models for Accurate Solar Energy Forecasting
[IEEE] 2026-5-6 | Steering the Beam of Smallest Aperture Horn Using Metallic Metasurfaces
[IEEE] 2026-5-6 | Water Quality Monitoring and Detection Using Machine Learning and Deep Learning Techniques with IoT Sensor-Based Data
[IEEE] 2026-5-6 | Cyber Physical Hardening of BLE Microsensor Systems Through Systematic VAPT and IDS Based Mitigation
[IEEE] 2026-5-6 | Team Synergy-Aware Workforce Scheduling: Integrating Interpersonal Compatibility and Endogenous Turnover Dynamics
[IEEE] 2026-5-6 | Unveiling Gate Leakage Dynamics in Nanosheet FETs at Cryogenic Temperature: A TCAD Study
[IEEE] 2026-5-6 | Educational Data Mining of VLE Interaction Logs for Explaining Student Assessment Outcomes: A K-Means Clustering Study
[IEEE] 2026-5-6 | Electronic Nose-Driven Classification of Sri Lankan Teas: An Ensemble Learning Approach Based on Aroma Profiles
[IEEE] 2026-5-6 | Explainable AI (XAI) Driven Neural–Machine Learning Ensemble for Business Customer Churn Prediction
[IEEE] 2026-5-6 | Comparative Analysis of Configurable Logic Block Using Static CMOS, Transmission Gate and Gate Diffusion Input Techniques
[IEEE] 2026-5-6 | A Capacitor-Less 22nm FDSOI-Based Event-Driven Pixel Utilizing Tunable Photoresponse Speed
[IEEE] 2026-5-6 | Dual-Band Slot-Loaded Microstrip Patch Antenna for 5G mmWave and Ka-Band Applications
[IEEE] 2026-5-6 | A Hybrid Machine Learning Framework for Early Detection and Heuristic Severity Prediction of Autism Spectrum Disorder Using Q-CHAT-10
[IEEE] 2026-5-6 | SDNet: Interpretable Transformer-Based Captioning for Yield-Aware Nanoscale Defect Diagnosis
[IEEE] 2026-5-6 | AAIML 2026 Author Index
[IEEE] 2026-5-6 | Anomaly Detection Approach for Remote Beehive Health Assessment via Environmental Patterns
[IEEE] 2026-5-6 | Zinc Oxide Thin Film Piezoelectric Devices on Silicon and PDMS Substrates: Structural and Electrical Characterisation
[IEEE] 2026-5-6 | Unlocking AI Adoption in Future Accounting Professionals: The Mediating Influence of User Perceptions
[IEEE] 2026-5-6 | Beyond Binary Alerts: A Multi-Faceted Framework for Clinically Actionable Sepsis Prediction
[IEEE] 2026-5-6 | Design and Evaluation of an Anonymous Mobile Mental Health Application for College Students
[IEEE] 2026-5-6 | Comparison of Feature-Based Clustering Methods on Unlabeled Marine Acoustic Images
[IEEE] 2026-5-6 | MQTT Routing Optimizing based Intrusion Detection for Internet of Things Leveraging Hybrid Deep Learning Model
[IEEE] 2026-5-6 | IntentQA: Intent Question Answering in Videos by Cognitive Context Reasoning_supp1-3690561.pdf
[IEEE] 2026-5-6 | Hybrid Vision Transformer Framework for Brain Tumor Detection and Classification
[IEEE] 2026-5-6 | Evaluating the Role of Board Characteristics in Driving Return on Assets and Financial Decisions in Bahrain’s Financial Sector
[IEEE] 2026-5-6 | Explainable Fake News Detection in Bengali via LLM-Guided Hybrid Representations
[IEEE] 2026-5-6 | XGBoost and Temporal Feature Engineering for Precise Co Emission Forecasting in Dhaka
[ACM] 2026-5-5 | Interactive Digital Media Art Narrative System for Art Therapy: A Design Based on User Emotional Feedback Targeting Depression and Autism Spectrum Disorder
[ACM] 2026-5-5 | Research on Intelligent Interactive Product Design Methods Based on User Behavior Data
[ACM] 2026-5-5 | Spatio - Temporal Traffic Forecasting under Weather Perturbations in Tashkent: TFT vs CNN - LSTM with Google Maps and OWM
[ACM] 2026-5-5 | Assisted Living Applications Addressing Sleep Dysfunction in Parkinson's Patients
[ACM] 2026-5-5 | R&amp;D and Invesntment as key factors of Manufacturing Development in Uzbekistan
[ACM] 2026-5-5 | Leveraging Next-Generation Distributed Systems for Scalable E-Learning Ecosystems
[ACM] 2026-5-5 | Recognizing AI-Based Personalization and Real-Time Crowd Management Through Smart Tourism Applications
[ACM] 2026-5-5 | Hybrid Approaches to 3D Avatar Modeling in Virtual Learning Environments: An Analysis of Spline, Polygonal, and R-Function Methods
[ACM] 2026-5-5 | Trust Management for Digital Twins in Cloud-Based Environments
[ACM] 2026-5-5 | SPARK: Search Personalization via Agent-Driven Retrieval and Knowledge-sharing
[ACM] 2026-5-5 | Report on the Workshop on Benchmarking Causal Models (CausalBench) 2026
[IEEE] 2026-5-5 | Author Index
[IEEE] 2026-5-5 | Area Chairs
[IEEE] 2026-5-5 | CoL
                    <sup>2</sup>
                    A: Convolution-free Local Linear Attention for SpatioTemporal Event Processing
[IEEE] 2026-5-5 | SSMT-Net: A Semi-Supervised Multitask Transformer-Based Network for Thyroid Nodule Segmentation in Ultrasound Images
[IEEE] 2026-5-5 | SCORE: Soft Label Compression-Centric Dataset Condensation via Coding Rate Optimization
[IEEE] 2026-5-5 | ASTRAA: AI-Supported Scenario Test-Framework for Real-World ADAS Applications
[IEEE] 2026-5-5 | Automatic Speech Recognition on Mao Language
[IEEE] 2026-5-5 | A Lightweight Real-Time Multilingual Video Communication System using On-Device Speech Translation
[IEEE] 2026-5-5 | An Efficient Approach for Intrusion Detection in Networks using VQC
[IEEE] 2026-5-5 | Investigation of Graphene Oxide Coating Methods in Laser-induced Graphene-based Humidity Sensor
[IEEE] 2026-5-5 | An Investigation into the Low Power Output of a High-Altitude Photovoltaic Power Station
[IEEE] 2026-5-5 | LUNG-DIET: Lung Diseases Classification via Deep Learning Based DenseNet Using SegNet
[IEEE] 2026-5-5 | Modeling Wallet-Level Behavioral Shifts Post-FTX Collapse: An XAI-Driven GLM Study on Ethereum Transactions
[IEEE] 2026-5-5 | Predicting Taxi Ridership Fluctuations Using Machine Learning Techniques
[IEEE] 2026-5-5 | An Enhanced GAN-Based Super-Resolution Framework for Artifact-Resistant Early Diagnosis of Melanoma
[IEEE] 2026-5-5 | Soil Moisture Prediction for Indoor Potted Plants Using an ANN-Based Drying Model
[IEEE] 2026-5-5 | Clustering Disaggregated Household Consumption Expenditure for Policy Targeting: Evidence from Malaysia's HES 2022
[IEEE] 2026-5-5 | Elephant Poaching Prevention: An AI-Driven Approach to Advancing SDG 15 – Life on Land
[IEEE] 2026-5-5 | Context-Preserving Dermoscopic Editing: Mask-Guided Lesion-Aware Diffusion for Attribute Modification
[IEEE] 2026-5-5 | From Batch to Real-Time: Multi-Agent AI Framework for Autonomous Financial Reconciliation in Wealth Management
[IEEE] 2026-5-5 | AI-Driven Adaptive Turbo Decoding Framework for Dynamic IoT Communication Environments
[IEEE] 2026-5-5 | AI-Based Internship Recommendation Engine for the PM Internship Scheme
[IEEE] 2026-5-5 | EcoSort AI: An Intelligent Waste Classification and Disposal Recommendation System
[IEEE] 2026-5-5 | A Hybrid Explainable Deep Learning and Linguistic Feature Framework for Psychological Character Analysis
[IEEE] 2026-5-5 | Decoding Cancer Tissues: A Comparative Deep Learning View of Breast Histopathology
[IEEE] 2026-5-5 | Show Me: Unifying Instructional Image and Video Generation with Diffusion Models
[IEEE] 2026-5-5 | Study of Sensitivity and Selectivity of a QCM-Based Biosensor Towards Indian Cinnamon Volatiles
[IEEE] 2026-5-5 | An Attention-Based and YOLO Hybrid Vision Framework for Real-Time Road Obstacle Detection and Driver Distraction
[IEEE] 2026-5-5 | FedSBS: A Privacy-Preserving Approach for Prediction in Smart Bus Systems Using Federated Learning
[IEEE] 2026-5-5 | PathoSynth-XR: Biomedical Text-Conditioned Diffusion with Cross-Attention for Rare Cancer Histopathology
[IEEE] 2026-5-5 | Deep Learning-Based Hybrid Segmentation and Decision-Support Model for Tomato Leaf Disease Classification and Treatment Guidance
[IEEE] 2026-5-5 | Robogripfusion: a Hybrid Learning Framework for Grasp Prediction in Robotics Using Multisensory Input
[IEEE] 2026-5-5 | Dual-Frequency Ultrasonic Method for Wide-Range, High-Precision Non-Contact Vibration Measurement
[IEEE] 2026-5-5 | Enhanced QR-MCP Framework: A Quantum-Resistant Multipath Cryptographic Protocol with AI-Driven Anomaly Detection
[IEEE] 2026-5-5 | Beyond Realism: Learning the Art of Expressive Composition with StickerNet
[IEEE] 2026-5-5 | Evaluating Topology Preservation in Dimensionality Reduction Methods for Metagenomic Data: A Comparative Analysis
[IEEE] 2026-5-5 | Analysis and Performance Evaluation of a Compact Hybrid CO
                    <sub>2</sub>
                    —VOC Gas Sensor
[IEEE] 2026-5-5 | Flying Blind: In-Ground Effect Enabled Haptic Teleoperation of Uncrewed Aerial Vehicles
[IEEE] 2026-5-5 | Wavelet-Machine Learning analysis for combined hybrid energy sources with SVC associated microgrid protection under IoT supervision
[IEEE] 2026-5-5 | Enhancing SME Financial Accuracy through Prompt Engineering Services to Address Manual Recording Challenges (Phenomenological Study)
[IEEE] 2026-5-5 | A Federated Learning Framework for Quality Inspection and Anomaly Detection in AI-Enabled Manufacturing Systems for Sustainable production
[IEEE] 2026-5-5 | Hybrid NLP Framework for Detecting Anxiety and Depression on Social Platforms
[IEEE] 2026-5-5 | Fuzzy Logic-Based Cognitive Model for Adaptive Cybersecurity Threat Prediction
[IEEE] 2026-5-5 | Real-Time Tracking of Flexible Markers in Low-Contrast Fluoroscopy Using a Deep Neural Network Trained Solely on Synthetic Data
[IEEE] 2026-5-5 | Analytical Technology Infrastructure and Decision Making Efficiency in the Retail Sector
[IEEE] 2026-5-5 | NeuroSpeechNet: Hierarchical Attention-Enhanced EEG-to-Speech Synthesis via Deep Neural Mapping
[IEEE] 2026-5-5 | FARMARK-AI Powered Seamless Recommendation System For Farm-to-Consumers Market
[IEEE] 2026-5-5 | Leveraging Artificial Intelligence for Efficiency in Software Engineering and Banking
[IEEE] 2026-5-5 | A Hybrid Deep Learning Framework for Skin Cancer Detection Using Convolutional Neural Networks and Machine Learning Algorithms
[IEEE] 2026-5-5 | Knowledge Distillation for Cataract Classification Using a ViT Densenet Framework
[IEEE] 2026-5-5 | A DeBERTa-Based Claim Verification Framework with Integrated Retrieval and NLI Reasoning
[IEEE] 2026-5-5 | Remote Healthcare Monitoring for the Aging Population: A Systematic Review of Datasets, Techniques, and Challenges
[IEEE] 2026-5-5 | Humanizing the Machine: A Study of Chatbot Continuance Intention in the Indonesian Banking Sector
[IEEE] 2026-5-5 | Ephemeral Bastion: A Lightweight Zero-Trust Framework utilizing Blockchain-Backed Auditing and JIT Certificate-Based Authentication
[IEEE] 2026-5-5 | Enhancing Cloud Reliability Through Multi Agents Based Self-Healing Architecture
[IEEE] 2026-5-5 | Smart Vehicle Black Box for Enhanced Road Safety and Crash Investigation
[IEEE] 2026-5-5 | Q-AuthNet: A Hybrid Quantum-Classical Neural Framework for Deepfake Authentication with Explainability
[IEEE] 2026-5-5 | Multimodal Deep Learning for Dissociation Detection: Window-Based, Sequential, and Attention-Augmented Architectures
[IEEE] 2026-5-5 | Post-Quantum Cryptography Linux Distribution
[IEEE] 2026-5-5 | Industrial Worker Safety Enhancement Through IOT-Driven Fatigue Detection Using Machine Learning
[IEEE] 2026-5-5 | CHIMERA: An Agent-Based Business Intelligence Framework
[IEEE] 2026-5-5 | Kullback-Leibler Adversarial Training for Robustness Against Word-Substitution Attacks in Transformer-Based Arabic Text Classifier
[IEEE] 2026-5-5 | Customer Behaviour Analysis Using Data Mining Techniques with AI-Driven Recommendation System
[IEEE] 2026-5-5 | Trajectory Tactics: When Transformers Learn Exploration to Generate Online Signature
[IEEE] 2026-5-5 | An Intelligent IoT-Enabled Physiological Surveillance Framework for Early Cardiac Risk Detection and Emergency Intervention
[IEEE] 2026-5-5 | Knowledge to Sight: Reasoning over Visual Attributes via Knowledge Decomposition for Abnormality Grounding
[IEEE] 2026-5-5 | Learning spatio-temporal feature representations for video-based gaze estimation
[IEEE] 2026-5-5 | 2026 8th International Symposium on Computational and Business Intelligence (ISCBI)
[IEEE] 2026-5-5 | Dynamic Global Illumination for Interactive Gaussian Splatting Scenes in Real Time_supp1-3689199.mp4
[IEEE] 2026-5-5 | Enhancing D2D communication through RIS-assisted NOMA networks:An Underlay Framework with Imperfect SIC
[IEEE] 2026-5-5 | An Improved and Provably Secure EDHOC Protocol Supporting the Extended Canetti–Krawczyk (eCK) Security Model
[IEEE] 2026-5-5 | Joint Activity Detection and Channel Estimation for Asynchronous mMTC: A Model-Driven GNN Approach
[IEEE] 2026-5-5 | When ‘YES’ Meets &amp;lsquo;but&amp;rsquo;: Can AI Comprehend Contradictory Humor in Comics?_supp1-3688191.pdf
[IEEE] 2026-5-6 | Exponential-type variable parameter finite-time ZNN for solving joint-drift-free inverse kinematics of redundant robots
