[2026-09-15 23:59:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-14
正在获取论文...
[arXiv] 2026-09-14 | On the number of solutions to $S$-unit equations
[arXiv] 2026-09-14 | Intuitionistic Implication in Elementary Team Logics
[arXiv] 2026-09-14 | Interpreting hierarchical organisation of speaker embeddings
[arXiv] 2026-09-14 | Semiotic Relations and Proof Methods: A Cross-Genre Study of Argument Structure with Large Language Models
[arXiv] 2026-09-14 | Convergence rates for generative drifting flows: fixed-scale obstructions and multihead acceleration
[arXiv] 2026-09-14 | Reconstructing Is Not Acting: Action-Centric Latent Dynamics Modeling
[arXiv] 2026-09-14 | MUSE: A Theory-Harnessed Story Engine for Vibe Narrativizing
[arXiv] 2026-09-14 | Does Attention-Guided Masking Really Help Object Discovery in Object-Centric Learning?
[arXiv] 2026-09-14 | Isolated Flat Points and $C^2$-Robustness of the No Focal Points Property
[arXiv] 2026-09-14 | EECTracker: Swarm Motion Prior-Guided Feature Compensation for Airborne Optical UAV Swarm Tracking
[arXiv] 2026-09-14 | GRAVA: Grounded Reasoning-to-Action Representation and Learning for Autonomous Driving
[arXiv] 2026-09-14 | Coherence is not enough: Aggregation constraints across predictive distributions, forecasts and decisions
[arXiv] 2026-09-14 | Noether's problem for $A_6$ and $A_7$
[arXiv] 2026-09-14 | Stability of Einstein 4-manifolds satisfying a chiral curvature condition
[arXiv] 2026-09-14 | Emulation of Closely Spaced Spatial Sensing Targets Using a Parabolic Cylindrical Compact Range with a Multi-Feed Amplitude-Phase Controlled Linear Array
[arXiv] 2026-09-14 | PACE: Progressive Angular-to-Norm Contrastive Embedding
[arXiv] 2026-09-14 | Top-K Is Not a Budget for Hybrid Retrieval
[arXiv] 2026-09-14 | C$^2$Nav: Compare Before You Commit for Zero-Shot Vision-and-Language Navigation
[arXiv] 2026-09-14 | Two-length spatial correlation function of turbulence in TCV
[arXiv] 2026-09-14 | Data-driven modeling in the introductory physics laboratory: Scaling analysis and data collapse in the specific heat of water experiment
[arXiv] 2026-09-14 | Ionic-Radius Mismatch as a Structural Lever for Tuning Phase Transitions and Luminescent Thermometry
[arXiv] 2026-09-14 | Legislating World-Model-Based Planning with Legal Reasoning
[arXiv] 2026-09-14 | Nii-MALA: A Fast Metropolis-Adjusted Langevin Sampler with Radial Velocity Benchmarks
[arXiv] 2026-09-14 | Re4+ Luminescence as a Highly Sensitive Alternative to Ruby for Optical Pressure Sensing
[arXiv] 2026-09-14 | CounterPersona: Append-Only Defense Against Unauthorized Persona Skill Distillation
[arXiv] 2026-09-14 | Optimal Time-Decay of global solutions to the Navier-Stokes-Maxwell system
[arXiv] 2026-09-14 | Task-Distribution-Aware Counterweight Synthesis and Constrained Co-Design for Serial Manipulators
[arXiv] 2026-09-14 | Singular value decomposition of unbounded operators
[arXiv] 2026-09-14 | Sharp non-uniqueness for the hyper-viscous compressible 3D Oldroyd-type models: Beyond the Lions exponent
[arXiv] 2026-09-14 | Ulrich Bundles on certain Grassmann Bundles Over Curves
[arXiv] 2026-09-14 | Randomized query complexity can beat certificate complexity
[arXiv] 2026-09-14 | Non-Abelian chiral spin liquid in a spin-$1$ antiferromagnet on the square lattice
[arXiv] 2026-09-14 | Improved amplitude analysis of $η^\prime\toπ^+π^-π^0$ and $η^\prime\toπ^0π^0π^0$
[arXiv] 2026-09-14 | Ensemble Complexity in Photovoltaic Forecasting
[arXiv] 2026-09-14 | The average-farmer illusion in language-model simulations of agricultural decisions
[arXiv] 2026-09-14 | MoARa: Module-Aware Rank Allocation and Structure-Preserving Decomposition for Low-Rank LLM Pre-training
[arXiv] 2026-09-14 | Thermally stimulated depolarization in hafnium oxide: experiment and numerical simulation
[arXiv] 2026-09-14 | Horizon-specific Expert Fusion for Photovoltaic Power Forecasting
[arXiv] 2026-09-14 | Vacuum Polarization Effects from Dark Fermion Loops in $Z'$ Mediator Models and their Impact on Angular Observables in $B \to K^* μ^+μ^-$ Decays
[arXiv] 2026-09-14 | PIDS-Bench: Evaluating Prompt-Injection Detectors Under Over-Defense, Obfuscation, and Distribution Shift
[arXiv] 2026-09-14 | Steering Generative Robot Policies with Lexicographic Preferences
[arXiv] 2026-09-14 | Atomic Motion Coordinate for Language-Steerable and Force-Responsive Manipulation
[arXiv] 2026-09-14 | Telegraph Processes with Extrinsic Fluctuations: Burst Dynamics and an Application to Domestic Cat Activity
[arXiv] 2026-09-14 | Higher-Order Quadripolar Argumentation Framework and Encoded Semantics
[arXiv] 2026-09-14 | ABSOL: Aggregated Bayesian Subsampling Orchestrated with LLMs
[arXiv] 2026-09-14 | Exploring Avatar-Based Representations of Desktop Analytical Workflows for Asymmetric Collaborative Visual Analytics
[arXiv] 2026-09-14 | Shallow Beliefs: Synthetic document finetuning does not inoculate against emergent misalignment from reward hacking
[arXiv] 2026-09-14 | Typhoon ASR Streaming: Steerable Low-Latency Thai Speech Recognition with Real-Time Shallow Fusion
[arXiv] 2026-09-14 | MemRiskBench: Trace-Aware Risk-Preserving Evaluation for Long-Horizon LLM Agents
[arXiv] 2026-09-14 | Towards a knowledge-enhanced single-cell foundation model
[arXiv] 2026-09-14 | Online Language Adaptive Sampling for Better Distributed Cross-lingual Gains
[arXiv] 2026-09-14 | Exact Breit-Rabi formulae for the nitrogen-vacancy center in diamond
[arXiv] 2026-09-14 | Geometric Flow enhanced Graph Coarsening
[arXiv] 2026-09-14 | Long-range expanders: construction and cutoff
[arXiv] 2026-09-14 | ThreshGuide: Class-Aware Labeled-Guided Thresholding for Semi-Supervised 3D Abdominal Multi-Organ Segmentation
[arXiv] 2026-09-14 | Stabilization of a Heterodirectional Bradytachic (1D, 2D) PDE Pair
[arXiv] 2026-09-14 | Pareto-Optimal Rate-CRLB Tradeoff via Anchor Placement Optimization for UAV-Assisted 3D ISAC
[arXiv] 2026-09-14 | Machine Learning Guided CALPHAD Design of Ru-Stabilized BCC B2 Refractory Alloys
[arXiv] 2026-09-14 | Verifying performance, stability, and feasibility of inexact non-linear model predictive controllers
[arXiv] 2026-09-14 | A Lean Paper About Paper: A Formal Framework for Origami
[arXiv] 2026-09-14 | Agentic Autoscaling through Worker-Pool Orchestration for LLM-driven Text Classification in Cloud Computing Environments
[arXiv] 2026-09-14 | Reversibility-Verified De-identification for Cloud-Local LLM Inference: A Locally Certified Dehydrate-Rehydrate Loop with Layered Assurance (DR-SL)
[arXiv] 2026-09-14 | AgentKV: Phase-Aware KV Eviction for Agentic LLMs
[arXiv] 2026-09-14 | Dream-RSI: Recursive Self-Improvement through Evolving Worlds
[arXiv] 2026-09-14 | Geometric Orbital Linearization of Siegel Singularities in the Plane
[arXiv] 2026-09-14 | Correlation and Branching Mechanisms in the Quantum-to-Classical Transition of Interacting Systems
[arXiv] 2026-09-14 | Impact of uncertainties on the cosmic optical and infrared backgrounds on the propagation of astroparticles
[arXiv] 2026-09-14 | Per-Matrix Optimality Is Not Enough: Three-Level Optimization for Low-Rank LLM Compression
[arXiv] 2026-09-14 | Assembling the CREW: A Collaborative Multi-agent Reinforcement Learning Framework for Automated Related Work Generation
[arXiv] 2026-09-14 | Bridging the Gap Between Plain VASS and Branching VASS
[arXiv] 2026-09-14 | Confronting the Higgsino Interpretation of the LZ Event with Astrophysical Uncertainties and the Solar Capture Constraints
[arXiv] 2026-09-14 | The Dax isomorphism for topological $4$-manifolds
[arXiv] 2026-09-14 | Can We Trust the Judges? Validation of Factuality Evaluation Methods via Answer Perturbation
[arXiv] 2026-09-14 | Joint Design of Time-of-Use Schedules and Price Levels: a Bilevel Model with Client Participation and Load Flexibility
[arXiv] 2026-09-14 | Phase-Sensitive Heterodyne Detection of MW using EIT Harmonics in Rydberg Atoms
[arXiv] 2026-09-14 | Low moments of Hecke eigenvalue sums
[arXiv] 2026-09-14 | Higher-order quantum thermodynamics: equilibrium and causal structure
[arXiv] 2026-09-14 | Thermophysical characterization of the potentially hazardous near-Earth object 2024 YR4
[arXiv] 2026-09-14 | Characterizing variation bounding in discrete-time Hankel operators
[arXiv] 2026-09-14 | Joining rigidity for rational maps
[arXiv] 2026-09-14 | Critical quantum metrology in the output of an optical parametric oscillator
[arXiv] 2026-09-14 | Perturbations of a Schwarzschild black hole and Newman-Unti gauge
[arXiv] 2026-09-14 | Pointwise convergence for single-particle Schrödinger equation and Schrödinger equation with infinitely many particles on the torus and waveguide manifolds
[arXiv] 2026-09-14 | Probing Neutrino-Energy Reconstruction with New Superscaling-Based Observables
[arXiv] 2026-09-14 | Torsion-freeness problem for matrix groups
[arXiv] 2026-09-14 | When Should a World Model Move? Loss-Conditioned State Execution
[arXiv] 2026-09-14 | Moderate deviations and laws of the iterated logarithm for geometric functionals in the sparse regime
[arXiv] 2026-09-14 | P-POSEMEM: Projective Semantic Memory for Consistent Language Grounding under Pose-Graph Rewrites
[arXiv] 2026-09-14 | On the role of the tokenizer in ECG transformer models
[arXiv] 2026-09-14 | Draining Fictitious Knots: Restoring Distance-Awareness Guarantees for High-Dimensional Spline Networks
[arXiv] 2026-09-14 | Security framework for practical quantum key distribution with imperfect devices
[arXiv] 2026-09-14 | An Open-Source Hardware and Software Toolkit to Enable Agentic RHEED-Guided Thin-Film Synthesis
[arXiv] 2026-09-14 | Geometry-induced flocking and topological sound on a defect-free curved surface
[arXiv] 2026-09-14 | ResSafe: Learning Safety Filtering with Residual Reinforcement Learning for Humanoids
[arXiv] 2026-09-14 | Bellman Policy Optimization
[arXiv] 2026-09-14 | Cyclic Haagerup-Izumi fusion categories at every odd order
[arXiv] 2026-09-14 | Stellar Colosseum: A Many-Agent Harness for Long-Horizon Research in Mathematics and Theoretical Computer Science
[arXiv] 2026-09-14 | Discovery Foundation Models: Toward Open-Ended Discovery Intelligence
[arXiv] 2026-09-14 | Mind2Dialogue: Training Human-Aware Language Models by Simulating User Mental States
[arXiv] 2026-09-14 | A Standard Ultraviolet Continuum Can Hide Supercritical Accretion in GN-z11
[arXiv] 2026-09-14 | Shot noise signatures of Majorana-assisted transport in an Aharonov-Bohm interferometer
[arXiv] 2026-09-14 | Can Isotropic Thermal Conduction Heat One of the Hottest Cool Cores?
[arXiv] 2026-09-14 | An analysis of aerodynamic properties of delta wings
[arXiv] 2026-09-14 | The coherent KLR sheaf
[arXiv] 2026-09-14 | Multiscale Visibility Theory: A Task-Relative Operator-Geometric Framework for Observation, Robustness, and Detectability
[arXiv] 2026-09-14 | Beyond Single-Axis Testing: Paired Evaluation of Compound Robustness in Vision-Language-Action Policies
[arXiv] 2026-09-14 | Recurrent GraphNeural NetworkswithSet-BasedAggregation
[arXiv] 2026-09-14 | String charge density/bit threads correspondence and its S-duality in type IIB supergravity
[arXiv] 2026-09-14 | Touch2Trace: Tactile-Driven Imitation Learning for Dexterous Cable Tracing
[arXiv] 2026-09-14 | Pilot Early, Commit Late: A Real-Options Model of Enterprise AI Adoption under Rapid Technological Progress
[arXiv] 2026-09-14 | Safe Meta-Reinforcement Learning via Information Space Reachability
[arXiv] 2026-09-14 | Discrete Beckmann Transport Models for One-Step Language Modeling and Reasoning
[arXiv] 2026-09-14 | PL Recognition After Two $S^2\times S^2$ Stabilisations is PSPACE-Hard
[arXiv] 2026-09-14 | Uniqueness of positive solutions of double-power nonlinear stationary Schrödinger equations: the fixed frequency case and the fixed mass case
[arXiv] 2026-09-14 | Private Information Retrieval With Arbitrary Privacy Requirements: Introduction and Capacity Results
[arXiv] 2026-09-14 | Cauchy identities for skew Ferrers shapes via RSK and keys
[arXiv] 2026-09-14 | Neither simpliciality nor mutation connectivity: conjectures of Las Vergnas and Cordovil-Las Vergnas fail
[arXiv] 2026-09-14 | Exchange-Correlation Potentials and Energies from Inverse Generalized Kohn-Sham Calculations
[arXiv] 2026-09-14 | Limits on the atomic description of four-wave mixing
[arXiv] 2026-09-14 | Block-modular grey-box identification of a short-stroke seawater-pump power take-off for wave energy: loss decomposition and multi-regime validation
[arXiv] 2026-09-14 | Sharp Rates and a One-Line Correction for Spectral Representation Learning
[arXiv] 2026-09-14 | Fourier rearrangements on discrete groups: $L^p$ and operator-norm subsequence convergence
[arXiv] 2026-09-14 | Metrics with positive Ricci eigenvalue sums on $\mathbb{T}^k\times \mathbb{S}^m$
[arXiv] 2026-09-14 | Revisiting Proximal Bundle Methods: Improved Rates under H{ö}lder Smoothness
[arXiv] 2026-09-14 | Penalized Maximum Likelihood Inference of Core-Periphery Networks
[arXiv] 2026-09-14 | SURE-Map: Self-Correcting Streaming Geometric Foundation Model
[arXiv] 2026-09-14 | KnowBench: Effort Reduction as a Unified, Deployment-Grounded Benchmark for Clinical AI
[arXiv] 2026-09-14 | Learning under Target Shift: Optimal Density Ratio Estimation and Importance-Weighted Regression
[arXiv] 2026-09-14 | How Accurately Can We Describe Spin Crossover?
[arXiv] 2026-09-14 | JEPLO: Joint-Embedding Predictive Learning for LiDAR-Based Legged Locomotion
[arXiv] 2026-09-14 | Assessment of wind energy potential of buildings by CFD simulation in dense urban environments - From Case Studies to a Dendrogram-Based Design Framework
[arXiv] 2026-09-14 | A Generalized Stability Theorem for Interconnections of Dissipative Behaviors
[arXiv] 2026-09-14 | Sylvas: Synergistic Learning Value based Device Scheduling in Federated Continual Learning
[arXiv] 2026-09-14 | Optimal entanglement-assisted source coding under a balanced-difference promise
[arXiv] 2026-09-14 | Tailoring complex coupling for efficient synchronization of semiconductor lasers
[arXiv] 2026-09-14 | Merging the Knowledge of LLMs for Automatic Speech Recognition
[arXiv] 2026-09-14 | A Language-Guided Multimodal Foundation Model for Zero-Shot and Multi-Task Brain Signal Analysis
[arXiv] 2026-09-14 | Matrix-Valued Truncated Toeplitz Operators: Properties and Applications
[arXiv] 2026-09-14 | BVB: Benchmarking Agentic Video Understanding via Programmatic Reconstruction in Blender
[arXiv] 2026-09-14 | Engineering dissipation and control pulses for high-fidelity fault-tolerance quantum computing
[arXiv] 2026-09-14 | Automatic control of gold nanoparticle clustering in plasmonic nanopores based on Raman spectroscopic feedback
[arXiv] 2026-09-14 | Building a Dataset for Music Sample Identification
[arXiv] 2026-09-14 | Ontological free will as incompressible information adjunction: A noncomputability boundary beyond P versus NP
[arXiv] 2026-09-14 | Probing gluon saturation through inclusive hadron production in DIS
[arXiv] 2026-09-14 | Endogenous supply-chain transformation via dynamically calibrated nonneutroelastic processing networks
[arXiv] 2026-09-14 | On simple extensions generated by key polynomials
[arXiv] 2026-09-14 | Magnetic Reconnection Heating of Thin Accretion Disks around Kerr Black Holes
[arXiv] 2026-09-14 | From Time to Channels: Robust and Efficient Local Flaw Detection in Steel Wire Ropes Using Tri-Axis MFL Signals
[arXiv] 2026-09-14 | The Future of Safety for SaMD
[arXiv] 2026-09-14 | An Empirical Security Analysis of Open-Source Software Used in Onboard Satellite Systems
[arXiv] 2026-09-14 | Free and projective LCD codes
[arXiv] 2026-09-14 | From bending to stretching driven peeling of heterogeneous adhesives
[arXiv] 2026-09-14 | Hilbert Expansion of the coupled radiation-Euler in the equilibrium regime
[arXiv] 2026-09-14 | MarKey: Marginal Utility Guided Greedy Keyframe Selection for Long Video Understanding
[arXiv] 2026-09-14 | Eventual convexity for separable chance constraints with skewed generalized hyperbolic random variables
[arXiv] 2026-09-14 | BSC-Net: A Small-Branch-Sensitive Structural Continuity Network for Coronary Vessel Segmentation and Quantitative Angiographic Analysis
[arXiv] 2026-09-14 | Dynamics-Informed Reinforcement Learning for Agile and Energy-Efficient Locomotion of a Monopedal Hopping Quadcopter
[arXiv] 2026-09-14 | When Tool Calls Succeed but Workflows Fail: Anomalies at the Agent-Tool Boundary
[arXiv] 2026-09-14 | Object Detection Using Quantum Transfer Learning
[arXiv] 2026-09-14 | Entropy and singularity of spectral and pivotal sets in planar percolation
[arXiv] 2026-09-14 | Partitioned Co-Simulation for CAD-integrated Vibroacoustic Problems in Unbounded Domains
[arXiv] 2026-09-14 | Assembly Bias in eRASS1 X-ray Galaxy Clusters: Accounting for Non-uniform Survey Exposure
[arXiv] 2026-09-14 | Self-field of a moving string
[arXiv] 2026-09-14 | PYRA and MYTHRA: new statistical analysis for image reconstruction
[arXiv] 2026-09-14 | End-to-End Cell Detection via Instance-aware Graph Modeling
[arXiv] 2026-09-14 | State-Dependent Diffusion and Spectra of Strongly Driven Thermal Atoms
[arXiv] 2026-09-14 | Triangular MCKean-Vlasov Forward Backward System with Jumps, Law-dependent Monotone Source, and Propagation of Chaos
[arXiv] 2026-09-14 | A Memristive Synapse for Online STDP Learning and Inference in SNNs
[arXiv] 2026-09-14 | An algebraic comparison of $\widehat{\mathrm K}$-stability and $\mathrm K^β$-stability
[arXiv] 2026-09-14 | Hypergraph-Regularized Gramian Volumes for Multimodal Retrieval
[arXiv] 2026-09-14 | When Agents Slow Down: Understanding LLM Agents' Test-Time Strategies via Elo-per-token Analysis
[arXiv] 2026-09-14 | Learning from Reliable Negatives: Confidence-Anchored Test-Time Adaptation for GUI Grounding
[arXiv] 2026-09-14 | High-efficiency integrated laser on erbium-doped lithium niobate-on-insulator
[arXiv] 2026-09-14 | Testing the equivalence principle with lunar laser ranging residuals from different planetary and lunar ephemerides
[arXiv] 2026-09-14 | Engineering Competing Fractional Topological States in a BHZ Superlattice
[arXiv] 2026-09-14 | Why LLM Agents Collapse Without Oversight: The Enforcement Gap as the Mechanism Behind Emergence World Failures
[arXiv] 2026-09-14 | A Fully Discrete Variational Approximation of Mather Measures and Sets
[arXiv] 2026-09-14 | Growth beyond exponent $3/2$ for convexity and iterated sum sets
[arXiv] 2026-09-14 | Physics-Informed Neural Networks and Data-Driven Models for GRB X-ray Light-Curve Gap Reconstruction
[arXiv] 2026-09-14 | Borromean Criticality in Two Dimensions
[arXiv] 2026-09-14 | On $\boldsymbol{p}$-rationality in double covers of symmetric and alternating groups
[arXiv] 2026-09-14 | A 25-$μ$s/inf Event-driven Graph Neural Network Processor with Spatiotemporal Caching and Spline Convolution for Ultra-low-latency AI at the Edge
[arXiv] 2026-09-14 | ProLiVis 2.0: Literature-Centric Visualization of Protein--Protein Interaction Networks, with a Citation-Trust Model for Interaction Evidence
[arXiv] 2026-09-14 | Topology-Aware Congestion Pricing: Demand Robust Routing using the Forman-Ricci Curvature
[arXiv] 2026-09-14 | Quasinormal modes of Reissner-Nordström black hole from bound state spectrum
[arXiv] 2026-09-14 | LiftGCN: Efficient Energy-Preserving Graph Learning via Joukowski Spectral Lifting for Finite Element Stress Prediction
[arXiv] 2026-09-14 | PhysBrain 1.5: From Vision-Language Models to Physical Foundation Models
[ACM] 2026-9-14 | Dimensions of Self-Disclosure and Visual Self-Presentation in WhatsApp Profile Pictures Among Young Adults
[IEEE] 2026-9-14 | Toward Causal-Explainable Model Security for 6G DISAC Systems
[ACM] 2026-9-15 | An LLM-and-RAG Based Assistant for Writing Related Work Sections in Deep Learning-Based Medical Image Analysis
[ACM] 2026-9-15 | Stock Yield Prediction Model Based on Machine Learning Algorithm
[ACM] 2026-9-15 | LightGBM-Based Pigment Color Matching Optimization Driven by Molecular Characterization and Spectral Features
[ACM] 2026-9-15 | Research on Simulation Modeling Methods for the Multi-process Coal Supply Chain under Rail-sea Intermodal Transport
[ACM] 2026-9-15 | Brain Tumor Image Segmentation Method Based on Joint Optimization of Diffusion Model and Segmentation Network
[ACM] 2026-9-15 | Research and Implementation of a Time-Aware AHP-CF Lightweight Hybrid Recommendation Model for Campus Short-Term Mutual-Assistance Scenarios: A Case Study of the “Micro Light Project” WeChat Mini Program
[ACM] 2026-9-15 | A Multi-Agent Reinforcement Learning and Digital Twin Driven Intelligent Teaching System for Low-Altitude Logistics Talent Cultivation
[ACM] 2026-9-15 | Latent Graph Contrastive Learning for Multimodal Sentiment Analysis of Student Engagement in Online English Learning Platforms
[ACM] 2026-9-15 | Modeling and Practice Path of Creative Aesthetic Education Based on K-Means Clustering
[ACM] 2026-9-15 | Improved Adaptive Deep Learning Model for Integrating the Chinese Nation Community Consciousness into College English Courses in Ethnic Universities
[ACM] 2026-9-15 | Research on Challenges and Transfer Learning Application Pathways for Low-resource Language Thai Translation
[ACM] 2026-9-15 | Evaluating Project-Based Teaching Reform in Heat Transfer Courses Using Logistic Regression, Random Forest, and Gradient Boosting
[ACM] 2026-9-15 | Application of Intelligent Construction Technology for Teaching Resources Integrating Knowledge Graphs
[ACM] 2026-9-15 | Profiling Freshmen's AI Literacy Using K-Means and Random Forest
[ACM] 2026-9-15 | Design and Implementation of a Multi-Source Data Fusion and Federated Learning-Based Precision Financial Aid Decision Support System for Universities
[ACM] 2026-9-15 | The Current State and Future Prospects of Research on Digitalization of Education Based on CiteSpace Visualisation Analysis
[ACM] 2026-9-15 | Real-Time Aerobics Training Monitoring System Based on a Lightweight CNN Algorithm and Motion Data
[ACM] 2026-9-15 | Study on the Assessment of Geohazard Susceptibility in Baoting Using Machine Learning Methods
[ACM] 2026-9-15 | Construction of Industry-Education Collaborative Talent Cultivation Ecosystem for Agriculture-Related Higher Vocational Software Technology Major from the Perspective of Four-Chain Integration
[IEEE] 2026-9-14 | A Machine Learning-Based Classification of Seismic Effects on Steel Structural Frame
[IEEE] 2026-9-14 | Quantitative Evaluation of WideBand Oscillations for Renewable Power Plant Integration into Large Grids
[IEEE] 2026-9-14 | Temporally Sequenced Sea-Land Coordinated Transmission Planning for Phased Offshore Wind Integration
[IEEE] 2026-9-14 | A Generative Artificial Intelligence-Based Framework for Automated Power Data Quality Rule Generation
[IEEE] 2026-9-14 | Voltage Control of Distribution Networks with Hybrid Power Transformers Based on Reinforcement Learning
[IEEE] 2026-9-14 | Transformer Fault Discrimination and Relay Protection Scheme in Renewable Energy Grid-Connected Systems Based on Deep Learning
[ACM] 2026-9-15 | Research on Skeleton Extraction of Real Traffic Network Based on Network Structure Dissimilarity
[IEEE] 2026-9-14 | Lifting-based nonlinear model predictive control for high-performance mobile robot tracking
[IEEE] 2026-9-14 | A Data-Sparse Physics-Informed Gaussian-Process Model for Rechargeable Lithium-Metal Battery Cells in High C-Rate Applications
[IEEE] 2026-9-14 | Iterative Learning Control of the Cooling Rate in a Dual-Laser Powder Bed Fusion Process
[IEEE] 2026-9-14 | Rectangular Partitioning Optimization for Data-Driven Abstractions of Monotone Systems
[ACM] 2026-9-15 | Research on Collaborative Vehicle-Drone Delivery Path Optimization for Urban Pharmaceutical Logistics
[ACM] 2026-9-15 | DC-GAT: Dual-Channel Graph Attention Network for Trustworthy Verification of Financial Data Integrating Blockchain and Smart Contracts
[ACM] 2026-9-15 | A Machine Learning-Integrated Model for Teaching Quality Evaluation and Personalized Teaching Management
[ACM] 2026-9-15 | Research on Users' Willingness to Purchase Skincare Products on Cross-Border E-Commerce Platforms Based on Review Text Mining
[ACM] 2026-9-15 | Enterprise Financial Risk Early Warning Model Based on Big Data Mining
[ACM] 2026-9-15 | Research on Risk Identification, Resilience Assessment and Emergency Response Strategies for Cross-border E-commerce Overseas Warehouses in Uncertain Environments
[ACM] 2026-9-15 | K-Means Clustering for Valuing Business Data Assets in Oil and Gas Enterprises
[IEEE] 2026-9-14 | Learning to Spend: Model Predictive Control for Budgeting under Non-Stationary Returns
[ACM] 2026-9-15 | A Directional Consistency-Constrained Jump Point Search Algorithm for Path Planning in Grid Environments
[ACM] 2026-9-15 | Interface Design of Cognitive Training System Based on Age-Friendly Design Principles: A Case Study of “Nostalgic Time”
[ACM] 2026-9-15 | A Deep Learning-Based Method for Precise 3D Capture of Dance Movements
[IEEE] 2026-9-14 | AI-Assisted Symmetry and Invariant Analysis for Robotic Mechanical Parts with Asymmetry Localization
[IEEE] 2026-9-14 | Spectral-Spatial Group Attention Transformer for Palm Tree Mapping in Arid Environments: a Case Study on Al Ain Municipality Hyperspectral Data
[IEEE] 2026-9-14 | AI-Enabled Deepfake Image Detection and Attack Resilience for Forensic Investigations
[IEEE] 2026-9-14 | Fixed-Point Simulation and Quantitative Validation of Hardware-Oriented FFT–IFFT Image Reconstruction
[IEEE] 2026-9-14 | Evaluating Latency and Throughput Trade-offs in IoT Messaging With Kafka and MQTT
[IEEE] 2026-9-14 | Research on Imaging Processing of Underwater Sediment Particles Based on Laser Light Curtain
[IEEE] 2026-9-14 | Research on Power-Computing-Carbon Coordinated Scheduling and Cooperative Game Mechanism for Low-Carbon Operation of Data Center Clusters
[IEEE] 2026-9-14 | Infrared Smoldering Fire Detection in Complex Indoor Scenes Using an Improved YOLO11n Network
[IEEE] 2026-9-14 | Battery Health-Aware Service Optimization for Battery Swapping Stations via Multi-Agent Reinforcement Learning
[IEEE] 2026-9-14 | A Study on the Architecture of an Intelligent Programming Visualization System Integrating Large-Scale Model Inference and Structured Diagnostics
[ACM] 2026-9-15 | Scalable and Adaptive Log-based Anomaly Detection: A Synergistic Approach
[IEEE] 2026-9-15 | When Not to Answer: Confidence-Aware Response Control for Hallucination Reduction in Consumer Rights Question Answering
[IEEE] 2026-9-15 | Retina Blood Vessel Segmentation Using Deep Learning
[IEEE] 2026-9-15 | Comparing Uncertainty Measurement and Mitigation Methods for Large Language Models: A Systematic Review
[IEEE] 2026-9-15 | SparseQ: Jensen-Shannon Divergence Guided Query Sparsified-Attention with Convolutional Distilling for Medical Image Segmentation
[IEEE] 2026-9-15 | Graph Attention-Based Faster Mask R-CNN with Diffusion Denoising Networks for Adaptive EEG Enhancement in Sustainable Healthcare Technology
[IEEE] 2026-9-15 | Hybrid Machine Learning Framework for Phishing Website Detection
[IEEE] 2026-9-15 | Adaptive LSTM Framework for Invoice-Level Financial Forecasting in SMEs
[IEEE] 2026-9-15 | Robust CCAA Based MIMO Radar Architecture with Computationally Efficient Scene Adaptive Division Multiple Access in the Presence of Target Mismatch
[IEEE] 2026-9-15 | Robust Autonomous Navigation in Dynamic Environments with a Modular Multi-Agent AI Architecture for Mobile Robots
[IEEE] 2026-9-15 | Automated Cranial Implant Design Through Volumetric Shape Learning: Benchmarking Deep Models on the SkullBreak and SkullFix Datasets
[IEEE] 2026-9-15 | EGH-Net: Energy-Guided Hypergraph for Two-View Correspondence Learning
[IEEE] 2026-9-15 | A $\boldsymbol{\Pi}$-Type-Capacitor-Network-Based Decoupling Circuit for AGV Wireless Charging Systems With Single-Input Dual-Output Dipole-Coils Couplers
[IEEE] 2026-9-15 | Enhanced Robustness of MEMS Resonant Accelerometers with Adaptive Dual-loop System
[IEEE] 2026-9-15 | Sensing to Action: Cognitive Processing for Multispectral Sensors
[ACM] 2026-9-15 | Level of Autonomy and Reliability in Co-located Multiple Robot Operation: A Five-Level Framework and Practical Design Guidance
[ACM] 2026-9-14 | Processing of Real and AI-Generated Human Faces: An Exploratory EEG Study
[ACM] 2026-9-14 | Symptoms matters: commonality and variability of gaming disorder symptoms across 35 countries
[IEEE] 2026-9-14 | Semantic-Communication-Driven End-to-End 3D SLAM Under Bandwidth Constraints
[ACM] 2026-9-14 | Towards eBPF Support in a Memory-Safe OS: A Case Study on Asterinas
[ACM] 2026-9-15 | NovaWM: An Action-Conditioned World Model for State Simulation in StarCraft II
[ACM] 2026-9-15 | Research on Structural Innovation Design and Application Prospect of External Container Vehicle Transport Rack
[ACM] 2026-9-15 | Cross-modal Raman Image Generation Based on FTIR Data for Glioma Diagnosis
[ACM] 2026-9-15 | Research on the Application of Humanoid Robots in Logistics Sorting
[ACM] 2026-9-15 | Dual-Agent Synergy: Enhancing Emotion Inference from Pandemic Behaviors via Adaptive RAG and Chain-of-Thought Reasoning
[ACM] 2026-9-15 | Generative AI-Assisted Creative Modeling for Art Education
[ACM] 2026-9-15 | Design and simulation of turbocharger in intake system of naturally aspirated engine
[ACM] 2026-9-15 | A Large Model-Based Question-Answering System for Urban Water-logging Risk Prevention Design and Application
[ACM] 2026-9-15 | A Mechanism Analysis of Contrastive Self-Supervised Learning for Dependency Parsing in a Morphologically Rich Language: Word-Order Invariance Does Not Imply Parsing Gains on Tamil
