[2026-04-24 22:39:26] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-23
正在获取论文...
[arXiv] 2026-04-23 | pygridsynth: A fast numerical tool for ancilla-free Clifford+T synthesis
[IEEE] 2026-4-24 | Human Injury Degree Identification Questionanswering System Based on Large Language Model and Knowledge Graph
[IEEE] 2026-4-24 | Short-Term Wind Power Forecasting Using a Hybrid Attention-Based xLSTM-Transformer Framework
[IEEE] 2026-4-24 | Multimodal Emotion Recognition in Korean Speech Based on Pre-trained Models
[IEEE] 2026-4-23 | AI-based Custom Web Application Scanner and Bug Detection in Website using Docker
[IEEE] 2026-4-23 | Static Voltage Stability Analysis Based on Adaptive Model Prediction Algorithm
[IEEE] 2026-4-23 | A Bionic Manipulator Design based on Multi-Sensor Data Fusion
[IEEE] 2026-4-23 | AEOF: Adaptive Evolving Online Firewall with Hybrid Drift-Aware Anomaly Detection for Cloud-Native Network Security
[IEEE] 2026-4-23 | Spatio-Temporal Assessment of Vegetation Change for Sustainable Ecosystem Monitoring using Remote Sensing and NDVI-based Change Detection
[IEEE] 2026-4-23 | Intelligent Edge Computing Architectures for 5G-Enabled Real-Time Multimedia Streaming in Cloud Environments
[IEEE] 2026-4-23 | Design and Performance Analysis of PI-PD Controller for Robust Load Frequency Control of Power System
[IEEE] 2026-4-23 | Design and Verification of AHB to I2C Protocol
[IEEE] 2026-4-23 | Lightweight Deep Neural Networks Outperform Complex Architectures for Chronic Kidney Disease Prediction
[IEEE] 2026-4-23 | Next-Gen Intelligent Waste Sorting and Monitoring Framework using EfficientNet
[IEEE] 2026-4-23 | AI Model for Crop and Fertilizer Recommendation using Advanced Reasoning Techniques
[IEEE] 2026-4-23 | A Multi-Objective Optimization Allocation Model for Inter-Regional Transmission Capacity Taking into Account Green Electricity Consumption Responsibility under the "Dual Carbon" Goals
[IEEE] 2026-4-23 | An AI-Enhanced Machine Learning Framework for Intrusion Detection in U.S. Election Systems
[IEEE] 2026-4-23 | LLM-Powered Real-Time Sign Language Recognition and Translation using OpenCV and MediaPipe
[IEEE] 2026-4-23 | AI-Driven Integration of Ayurveda and Yoga for Mental Health Support in Students and Working Professionals: A Comprehensive Framework
[IEEE] 2026-4-23 | Mapping Consumer Discourse on Circular Fashion in Emerging Economies: An Exploratory Machine Learning Analysis of Social Media in India
[IEEE] 2026-4-23 | Self-Powered E-Waste Collection Bin Using Energy-Scavenging Technologies
[IEEE] 2026-4-23 | Integrating Long Term Price Predictions with Portfolio Optimization using LSTM
[IEEE] 2026-4-23 | Solar Irradiance Forecasting Using LSTM and Conventional ML Models: A Performance-Based Comparison
[IEEE] 2026-4-23 | Federated Machine Learning Approach for Multi-Protocol IoT Intrusion Detection for Healthcare
[IEEE] 2026-4-23 | Optimal Sensor Placement for Fall Detection: A Dual-Sensor Framework with Multi-Mode Motion Analysis
[IEEE] 2026-4-23 | Confidence-Aware and Explainable Deep Learning for Ovarian Cancer Subtype and Risk Mapping
[IEEE] 2026-4-23 | Investigation of EEGNet and its variants for ADHD Detection: Joint Spatial, Temporal, and Frequency Domain Learning
[IEEE] 2026-4-23 | Design and Development of a Smart Augmented Reality Vision Glass Usage in Healthcare Monitoring, Enhanced Learning and Navigation Purpose
[IEEE] 2026-4-23 | Development of a Bernoulli Suction-Type Non-Contact Manipulator Capable of Controlling Object Position and Orientation During Holding_supp1-3685899.mp4
[ACM] 2026-4-23 | Partial UDF Inlining
[IEEE] 2026-4-23 | An AI-Driven Framework for Personalized Dietary Recommendation and Meal Planning
[IEEE] 2026-4-23 | A Multi-Port Thévenin-Consistency Integrity Guard for Impedance-Based Voltage-Stability Monitoring in PV-Rich Distribution Feeders
[IEEE] 2026-4-23 | A Modular Framework for Multi-Speaker Speech Recognition in Noisy Environments
[IEEE] 2026-4-23 | Computer Vision-Driven Product Recommendation Interface for E-Commerce Personalization
[IEEE] 2026-4-23 | Fault-Aware Repair Scheme for Inter-Die Interconnects of Chiplet-Based Chips
[IEEE] 2026-4-23 | Multi-Label Telecom Complaint Categorization Using BERT
[IEEE] 2026-4-23 | A Schema-Driven Prompt Engineering Approach for Data-Centric LLM Tasks
[IEEE] 2026-4-23 | Multilevel Analysis for Predictors of Household Solid Biofuel Use in Nepal
[IEEE] 2026-4-23 | Responsible AI Framework for Ethical and Inclusive Adoption of Artificial Intelligence in Indian Education Systems
[IEEE] 2026-4-23 | A Novel Zero-Trust Identity Framework for Agentic AI: Decentralized Authentication and Fine-Grained Access Control
[ACM] 2026-4-23 | Construction of College English Blended Learning Model in the Context of Artificial Intelligence
[ACM] 2026-4-23 | Dynamic Evaluation Model for Learning Outcomes in Business Industry-Education Integrated Courses Based on Bidirectional Long Short-Term Memory Networks and Transformer
[ACM] 2026-4-23 | The Impact of Digital Resource Inputs on Manufacturing Corporate Performance - The Moderating Role of Servitization Level and Technological Turbulence
[ACM] 2026-4-23 | The Impact of Artificial Intelligence Technology Usage on College Students' Academic Performance: A Computational Analysis with Structural Equation Modeling
[ACM] 2026-4-23 | Research on a Student Classroom Engagement Detection Model Based on Visual-Speech Cross-Modal Attention Mechanism
[ACM] 2026-4-23 | Construction and Empirical Research of Adaptive Learning System Empowered by Artificial Intelligence
[ACM] 2026-4-23 | Leveraging Optimized Dual-Algorithm Synergy (Adaptive DBSCAN and Enhanced Random Forest) for Analyzing Engineering Students' Time-Study Performance Linkage
[ACM] 2026-4-23 | From Monolith to Serverless: Running a Component-Based Scientific Workflow Across Execution Paradigms
[ACM] 2026-4-23 | Principles Over Preferences: Quality-Aware Metric Selection for Machine Learning Systems
[ACM] 2026-4-23 | Decoupling Complexity from Population Size: A Macro-Agent Architecture for Scalable Stochastic Simulations
[ACM] 2026-4-23 | ACM’s 2026 General Election
[IEEE] 2026-4-24 | A Study on the Flexible Scheduling Strategy for the Computing Power Load of Data Centers Based on Multi-algorithm Integration
[IEEE] 2026-4-24 | Support Vector Machines: An Inclusive Survey in Financial Fraud Detection
[IEEE] 2026-4-23 | Abelian Group Codes for Classical-Quantum Channels: One-shot and Asymptotic Rate Bounds
[IEEE] 2026-4-23 | TMVS: Threshold-based Majority Voting Scheme for Robust SRAM PUFs
[IEEE] 2026-4-24 | A Novel Active End-Effector Type Dynamic Arm Support System With Twisted String Actuator
[IEEE] 2026-4-23 | QoS Aware Physical Layer Security Design for MISO-NOMA system with Untrusted Users
[IEEE] 2026-4-24 | Double-RISs Aided Receive Polarization-Combined Space Shift Keying and Spatial Modulation Systems with SPTnet-Detector
[IEEE] 2026-4-23 | Toward a Stealth-Capable 5G-AKA: Secure Key Distribution with Covert Channel Integration for Future-Sensitive Military Applications
[IEEE] 2026-4-24 | Research on Live Detection and Localization of Localized Insulation Defects in Distribution Cables Using FMCW
[IEEE] 2026-4-24 | AI-Enhanced Intelligent Interfaces for Secure Biometric Authentication in IoT Ecosystems: Recent Advances and Future Directions
[IEEE] 2026-4-24 | Electric Vehicle Charging Scheduling Optimization Model Based on Reinforcement Learning
[IEEE] 2026-4-23 | QML-360°: Permutation-Equivariant Quantum Graph Learning for 360° Image Classification with Distributed Training
[IEEE] 2026-4-23 | Control Oriented Real-Time Nonlinear Dynamic Pseudo-Inverse for Non-minimum Phase Systems
[IEEE] 2026-4-23 | Anatomy-Guided Radiology Report Generation with Pathology-Aware Regional Prompts
[IEEE] 2026-4-23 | Data-Driven Inverse Reinforcement Learning for Markov Multiplayer Tidal Turbine Systems
[IEEE] 2026-4-23 | A Multi-Stage Time-Variant Motion Planner for Agile Autonomous Driving Maneuvers
[ACM] 2026-4-24 | REPS: Recycled Entropy Packet Spraying for Adaptive Load Balancing and Failure Mitigation
[ACM] 2026-4-24 | Handling Network Faults in Distributed AI Training: Failover is Now an Option
[ACM] 2026-4-24 | RoPeerTo: A Datacenter-Scale Architecture for Peer-To-Peer DMA between GPUs and FPGAs
[ACM] 2026-4-24 | Mitigating CDN Cache Misses with Scheduling: An Origin Shield for Billion-QPS Social Platforms
[IEEE] 2026-4-23 | Classifying Post-COVID “Brain Fog” Patients and Identifying Key ROIs via Graph Neural Network Model
[IEEE] 2026-4-23 | Quantum Overflow Detection for Reliable Bioinspired Image Enhancement
[IEEE] 2026-4-23 | A HV and LV Motor Combined Electric Powertrain for Battery Modular Balancing and Efficiency Improvement
[IEEE] 2026-4-23 | Enhancing the Reliability of Fault Diagnosis in Lithium-Ion Batteries Using a Hybrid Model-Based and Machine Learning Approach
[IEEE] 2026-4-24 | Resilient Data-Driven Security Platoon Control for Heterogeneous Vehicle Systems Under Saturation and External Disturbances
[IEEE] 2026-4-24 | Tunable Spatial Power Splitter Using Single Layer Cylindrical Plasma Discharges
[IEEE] 2026-4-23 | Clinical Knowledge-Guided PET/CT Lesion Segmentation with Interpretable Fusion of Metabolic and Structural Cues
[IEEE] 2026-4-23 | Distributed Random Space-Time Coding for Unmanned Ground Vehicles in Barrage Relay Networks
[IEEE] 2026-4-23 | Explaining Performance Issues of Cloud Applications from Logs using Rule Induction and Dempster-Shafer Theory
[IEEE] 2026-4-23 | Design of a Multi-Object Wearable Recognition and Tracking Algorithm Based on PHSM-YOLO
[ACM] 2026-4-23 | How roles emerging and distribution during the SSRL Process in AI supported collaborative learning?
[ACM] 2026-4-23 | Exploring a Coherent Talent Development Model for Computer-Related Vocational Education under the Emerging Engineering Education Initiative
[ACM] 2026-4-23 | Research on a bridge construction simulation teaching system based on virtual reality and artificial intelligence
[ACM] 2026-4-23 | Research on the Legalization Path and Global Governance of Intelligent Education Ethics
[ACM] 2026-4-23 | Mining and Optimization of Teaching Behavior Patterns in Physical Education Classes Based on GSEQ Technology
[ACM] 2026-4-23 | Research on Inverse Matrix Teaching Design Based on Case-Driven and Values-Integrated Education: An Empirical Analysis Using Machine Learning
[ACM] 2026-4-23 | AI-Enabled Integration of Chang'an-Themed Tang Poetry into French Language Teaching: Path Model Construction and Competency Cultivation Effect Analysis
[ACM] 2026-4-23 | An Empirical Study on the Effectiveness Evaluation of AI-Assisted Teaching Based on a Novel Teaching Model
[ACM] 2026-4-23 | Software Rejuvenation for Resilient, Secure, and Dependable Cyber-Physical UAV Systems
[ACM] 2026-4-23 | Auto-scaling in Scenarios with Heterogeneous Cloud Resources
[ACM] 2026-4-23 | Hands-On Tutorial for Mastering Linux Performance Analysis Tools
[ACM] 2026-4-23 | MapReplay: Trace-Driven Benchmark Generation for Java HashMap
[ACM] 2026-4-23 | On the Efficiency and Disruption Trade-Offs of Kubernetes Packing Heuristics
[ACM] 2026-4-23 | G1HeapVis: Visualizing and Measuring Heap Fragmentation
[ACM] 2026-4-23 | PosePilot-GOM: A Web-based application for dexterity analysis of human movement
[ACM] 2026-4-23 | DVF-Generator: A Physics-Aware Conditional Generative Model for Respiratory Motion Synthesis in Liver SPECT
[IEEE] 2026-4-23 | Collaborative Neural Networks significantly Improve Global Aerosol Retrievals From Multi-Angle Polarimeters_supp1-3685881.pdf
[IEEE] 2026-4-23 | Table of Contents
[IEEE] 2026-4-23 | IEEE Robotics and Automation Society Publication Information
[IEEE] 2026-4-23 | A Baseline Torque Controller Synchronized with Adaptive Oscillators Improves Transparency of a Six DoF Lower-Limb Exoskeleton_supp1-3686286.docx
[IEEE] 2026-4-23 | Mobile-Based Applications for Early Detection of Oral Cancer and Oral Potentially Malignant Disorders: A Systematic Review
[IEEE] 2026-4-23 | Author Index
[IEEE] 2026-4-23 | Multi-Agent Reinforcement Learning for Performance Calibration and Optimization of Integrated mmW Power Amplifiers
[IEEE] 2026-4-23 | Time-Frequency Attention Network for Interference Mitigation in FMCW Radar
[IEEE] 2026-4-23 | Self-Adaptive Neuro-Fuzzy Models for Waste Collection Route Optimization in Smart Cities
[IEEE] 2026-4-23 | Emotion Estimation Using Eye Gaze and Head Pose: A Temporal and Disentangled Representation Learning Approach
[IEEE] 2026-4-23 | Empirical Analysis of Confidence and Semantic Fidelity in Retrieval-Augmented Generation: Understanding Hallucination Patterns Across Domains
[IEEE] 2026-4-23 | Smart Community Connect: ML-based Real-Time Urban Issue Detection and Prioritization using XGBoost
[IEEE] 2026-4-23 | Design and Analysis of 18nm FinFET based Hybrid Adder
[IEEE] 2026-4-23 | Energy-Efficient Cooperative Attack Algorithms for UAV Swarms in Dynamic Environments
[IEEE] 2026-4-23 | Meta FOA: Classifying and Scheduling of IoT Tasks in Cloud Computing Environment
[IEEE] 2026-4-23 | RFID-Integrated Patient Monitoring System for Early Detection of Neurodegenerative Diseases
[IEEE] 2026-4-23 | A Review of Perovskite Solar Cells: Structure, Materials, and Fabrication
[IEEE] 2026-4-23 | Localized Disaster Response Optimizer: An AI-Driven Geospatial Platform for Proactive Resource Allocation and Damage Assessment
[IEEE] 2026-4-23 | Deep Learning and Multi-Access Edge Computing for 6G-Based Underwater Wireless Networks
[IEEE] 2026-4-23 | Brain Tumor Detection Using Deep Learning and Image Processing Techniques
[IEEE] 2026-4-23 | A Cloud-IoT Framework for Smart Farming and Sustainable Agri-Food Management
[IEEE] 2026-4-23 | An Efficient Image Encryption with Feature Extraction and Cross-Sensor Feature Alignment and Fusion for Autonomous Vehicles
[IEEE] 2026-4-23 | Intelligent Device Condition Scoring with YOLO and XGBoost for Sustainable Digital Redistribution
[ACM] 2026-4-24 | Representing Multi-Relational Data via Statistical Relational Learning and Graph Convolutional Networks
[ACM] 2026-4-24 | Flex-GAD : Flexible Graph Anomaly Detection
[ACM] 2026-4-24 | Temporal Boosting for Incremental Tree-based Learning on Tabular Data
[IEEE] 2026-4-23 | Stain Consistency Learning: Handling Stain Variation for Automatic Digital Pathology Segmentation
[IEEE] 2026-4-23 | Single-Channel sEMG-Based Wrist Gesture Recognition for Gamified Rehabilitation Interfaces
[IEEE] 2026-4-23 | An Automated ML-Based Framework for Predicting Mutation-Induced Drug Resistance via ESMFold and Molecular Docking
[IEEE] 2026-4-23 | Preliminary Results With a Hardware Setup for Testing Ankle Actuation Strategies for Lower Limb Exoskeletons
[IEEE] 2026-4-23 | Manual vs Deep Learning Feature Extraction in Biomedical Signals: A Comparative Study
[IEEE] 2026-4-23 | Deepbone IRV2: A Hybrid Inception-ResNet-V2 Architecture for Knee Osteoarthritis Grading and Surgical Recommendation
[IEEE] 2026-4-23 | Developing a Smart Educational Environment Using Integrated CCTV and Real-Time Analytics
[IEEE] 2026-4-23 | Federated and Explainable AI Models for Secure FinTech Transactions in Digital Manufacturing Supply Chains
[IEEE] 2026-4-23 | Artificial Intelligence-Enabled Pharmacovigilance: Architectures, Applications, and Challenges for Digital Drug Safety Surveillance
[IEEE] 2026-4-23 | Metric-Driven Adaptive Temperature Prediction for Neural Text Generation: A Regression-Based Approach
[IEEE] 2026-4-23 | Design and Implementation of Multichannel Emg-Based Control of Bionic Arm
[IEEE] 2026-4-23 | Adaptive Multi-Agent Tutoring for Personalized Learning
[IEEE] 2026-4-23 | Real-Time Hand-Gesture Interface for Coordinated Swarm Robotics in Rehabilitation and Medical Assistance
[IEEE] 2026-4-24 | Fairness-Aware Recommendations for Kazakhstani Gaming Video Content
[IEEE] 2026-4-24 | Vibe Coding on Trial: Operating Characteristics of Unanimous LLM Juries
[IEEE] 2026-4-24 | Shock-Resistant Design and Experimental Verification of Inertial Measurement Unit based on MEMS
[IEEE] 2026-4-24 | Human AI Collaboration Competence and Employee Productivity in Digital Workplaces: Evidence From the Mekong Delta, Vietnam
[IEEE] 2026-4-24 | Cross-Lingual Detection of Machine-Generated Text Using Multilingual Transformers and Balanced Data
[IEEE] 2026-4-24 | Autoencoder-Based Resnet Block for Laser Phase Noise in Optical Communications
[IEEE] 2026-4-24 | Leveraging Historical Performance Data to Improve Response Times in Multi-Channel E-Government Complaint Systems
[IEEE] 2026-4-23 | A Context Aware Conformer for Single Image Super-Resolution: Merging Global Attention with Incremental Features
[IEEE] 2026-4-24 | Federated Transfer Learning for Personalized Household Financial Services
[IEEE] 2026-4-24 | Stock Market Prediction in the Telecom Sector Using LSTM, BiLSTM, and RNN with Sentiment Analysis
[IEEE] 2026-4-24 | Title Page i
[IEEE] 2026-4-23 | Developing and Validating RGB UAV-Based NDVI Estimation Maps in a Heterogeneous Landscape Using Multiple Machine and Deep Learning Algorithms
[IEEE] 2026-4-24 | Multi-Objective Optimization Model for Grid Resource Allocation Considering Transmission and Distribution Tariff Mechanism
[IEEE] 2026-4-24 | Extended State Kalman Filter (ESKF)-based UAV target tracking method under passive measurements
[IEEE] 2026-4-24 | L
                    <sub>1</sub>
                    -StoIHT: Accelerated Stochastic Hard Thresholding with Adaptive Momentum and Decaying Regularization
[IEEE] 2026-4-24 | Between Assistance and Dependence: University Students' Perceptions of Generative AI Tools
[IEEE] 2026-4-24 | Research on Web Service Dynamic Recommendation and Front-end Adaptive Rendering Model Based on Deep Reinforcement Learning
[IEEE] 2026-4-24 | An Intelligent Monitoring Framework for Risk Situations in Multi-Level Vulnerable Power Systems
[IEEE] 2026-4-24 | An Optimised Machine Learning Approach for Predictive Maintenance in Industrial IoT Systems using Time-Series Big Data Analysis
[IEEE] 2026-4-24 | Research on Data Acquisition Method for the Entire Process of Power Unit Decommissioning Based on Metadata Modeling
[IEEE] 2026-4-24 | Table of Contents
[IEEE] 2026-4-23 | A Bioimpedance Sensor for Real-Time Urea Monitoring in Hemodialysis Using Characteristic Frequency Shifts
[IEEE] 2026-4-24 | IRKAN: Wavelet-based Kolmogorov&amp;#x2013;Arnold Networks for Infrared Small Target Detection_supp1-3684490.pdf
[IEEE] 2026-4-23 | An LSTM-Based Path Loss Prediction Model for Short-Term Highly Dynamic Bistatic Ground-Air-Ground Channels
[IEEE] 2026-4-23 | Joint Illumination, Power and Band Allocation for Multi-beam LEO Satellites with Beam-Hopping Using Mixed Integer Linear Programming
[IEEE] 2026-4-24 | Natural Language Interfaces for Spatial and Temporal Databases: A Comprehensive Overview of Methods, Taxonomy, and Future Directions_supp1-3686352.pdf
[IEEE] 2026-4-23 | Investigation of Depolarization Effects in Raman Beam Cleanup of Multimode Fibers
[IEEE] 2026-4-23 | IDEA-FastTEN: A Real-Time ADS-B Flight Trajectory Prediction Method With Independent Distance Extrapolation
[IEEE] 2026-4-24 | Single-Actuator Gripper Using an Antagonistic Cable-Driven Differential Mechanism for Adaptive Fixed-Position Grasping_supp1-3686682.mp4
[IEEE] 2026-4-23 | AdpFL: A Privacy-Preserving Federated Learning Framework through Adaptive Model Pruning on Non-IID Data
[ACM] 2026-4-24 | Learn-to-Probe: Achieving Signal Distinguishability in Learning-based Congestion Control
[ACM] 2026-4-24 | Towards Improving Throughput and Scalability of DAG-based BFT SMR
[ACM] 2026-4-24 | viNPU: Optimizing Vision Transformer Inference on Mobile NPUs
[ACM] 2026-4-24 | NutCracker: A Compilation Framework for Hybrid DPU Architectures
[ACM] 2026-4-24 | Improved EEG-Based Workload Detection via ICA without Artifact Suppression
[ACM] 2026-4-23 | We Must Teach Computer Science in Prison
[ACM] 2026-4-23 | Research on AI-Enhanced Training for Engineers in the Industrial Vision Field
[ACM] 2026-4-23 | A Data-Driven Decision Support System for Vocational Education Based on Improved K-means Clustering and Random Forest Prediction
[ACM] 2026-4-23 | Practical Pathways and Insights of Generative AI Empowering University Teaching:A Text Mining Study Based on LDA Topic Modeling and Content Analysis
[ACM] 2026-4-23 | Practice of Laboratory Extracurricular Open Management Based on Mobile Internet Technology
[IEEE] 2026-4-23 | Decoding Indian Market Direction using Indicator-based Deep Gated and Bidirectional Networks
[IEEE] 2026-4-23 | Intelligent Workplace Enhancement using Wearable Stress Detection and Adaptive Interventions
[IEEE] 2026-4-23 | AI-Driven Fault Tolerance Mechanisms for Real-Time Cloud Service Recovery in Hybrid Environments
[IEEE] 2026-4-23 | A Neuro-Symbolic Framework for Automated Glaucoma Detection using Optic Disc-Cup Segmentation and Deep Learning
[IEEE] 2026-4-23 | Efficient Prediction of Real vs Fake Face using Transfer Learning and Deep Learning
[ACM] 2026-4-23 | QUADS: Hybrid Quantum–Classical Control of Adaptive Computer Systems
[ACM] 2026-4-23 | Energy- and Quantization-aware DNN Partitioning in the Edge-Cloud Continuum (Work In Progress Paper)
[ACM] 2026-4-23 | Low-Latency ML Offloading Across Edge and IoT Devices
[ACM] 2026-4-24 | The Rhythm of Treatment: Modeling Causal Effects Over Time With Marginal Structural Models and ODEs
[ACM] 2026-4-24 | V-SAT: Video Subtitle Annotation Tool
[ACM] 2026-4-24 | SPARK: Scene Prediction Augmented with Relational-Commonsense Knowledge
[ACM] 2026-4-23 | Student classroom behavior detection method based on SCB-DETR
[ACM] 2026-4-23 | Student Entrepreneurial Intention Prediction: A Machine Learning-Based Entrepreneurial Mindset Dimension Analysis Method
[ACM] 2026-4-23 | Research on the Interactive Design of an Emotional Language-Learning APP for Deaf and Hard-of-Hearing Children Based on Dynamic Visual Feedback
[ACM] 2026-4-23 | Cross-Domain Data Mining on Learning Outcomes in Mazu-Inspired Sports Events: Marathons and Blessing Runs
[IEEE] 2026-4-23 | Resource-Efficient Adaptation of Large Multimodal Models in Medical Visual Question Answering
[IEEE] 2026-4-23 | Semi-Supervised Open-Set Federated Learning for Heterogeneous Respiratory Sound Classification
[IEEE] 2026-4-23 | An Efficient Deep Learning Based Mobile Application for Pigeon Pea Disease Classification
[IEEE] 2026-4-23 | LLM-Driven Stationarity-Aware Expert Demonstrations for Multi-Agent Reinforcement Learning in Mobile Systems_supp1-3682994.pdf
[IEEE] 2026-4-23 | Multi-Robot Target Monitoring and Encirclement via Triggered Distributed Feedback Optimization_supp1-3686280.mp4
[IEEE] 2026-4-23 | Dual Age Estimation Framework Using PINN and Modified AlexNet with Grad-CAM Visualization: A Deep Learning Approach for Chronological and Biological(Apparent) Age Prediction
[IEEE] 2026-4-23 | Design Optimization of a Dual-Cuff Supraglottic Airway for Enhanced Seal Performance
[IEEE] 2026-4-23 | Embedded AI System Continuous Surveillance for Neurofibromatosis Using Wearable Bioimpedance and Nerve Signal Sensors
[IEEE] 2026-4-23 | Segmentation of Plasmodium Falciparum Infected Cell in Blood Smear Images Using Optimized U-Net
[IEEE] 2026-4-23 | A BERT-Enhanced Framework for Semantic-Aware Phishing Email Detection and Real-Time Analysis
[IEEE] 2026-4-23 | AI-Augmented FinTech Platforms for Real-Time Credit Risk and Supply Chain Financing in Smart Industries
[IEEE] 2026-4-23 | Real-Time Patient Condition Prediction in Ambulances Using Explainable AI
[IEEE] 2026-4-23 | Implementation of Artificial Intelligence Models for the Prediction of Plant Diseases
[IEEE] 2026-4-23 | An Optimization-Driven Framework for Refactoring Sequence Selection to Improve Software Maintainability
[IEEE] 2026-4-23 | Ethical Hacking in the Age of Autonomous AI: A Governance-Centric Approach to Cyber Defense
[IEEE] 2026-4-23 | Hybrid Soft Computing Models for Real-Time Intrusion Detection in Industrial IoT Networks
[IEEE] 2026-4-23 | A Multimodal Artificial Intelligence Framework for predicting Periodontal Bone Loss and Inflammation using Imaging, Biomarkers and Behavioral Data
[IEEE] 2026-4-23 | A Study on Adaptive Deep Learning Models for Network Intrusion Detection in Heterogeneous Environments
[IEEE] 2026-4-23 | Multi-Class Fault Type Classification Using Sequence Components and Wavelet Features with Comparative Study of Machine Learning Models and Neural Networks
[IEEE] 2026-4-23 | Detecting Malicious Clients in Federated Learning
[IEEE] 2026-4-23 | Impact of AI-Assisted Online Compilers in Programming Education
[IEEE] 2026-4-23 | Next-Generation Smart Home System: A Research on AR-Enhanced Interfaces, Multimodal Interaction, and AI-Driven Personalization
[IEEE] 2026-4-23 | Deployable CNN-Based System for Real-Time Aloe Vera Leaf Disease Monitoring
[IEEE] 2026-4-23 | Implementation of Higher Order Sectorization Techniques for Efficient Resource Allocation in mmWave 6G Networks During Peak Demand
[IEEE] 2026-4-23 | Conversational Career Guidance System using LangChain and Agentic AI Framework
[IEEE] 2026-4-23 | Temperature-Invariant TMR in Fe
                    <sub>3</sub>
                    Si/2L-WSe
                    <sub>2</sub>
                    /Fe
                    <sub>3</sub>
                    Si Magnetic Tunnel Junctions from First-Principles Simulations
[IEEE] 2026-4-23 | A Integrating Approach for Oral Cancer Detection using Deep Learning Algorithms
[IEEE] 2026-4-23 | A Lightweight Graph Contrastive Model for Cross Language Semantic Clone Detection
[IEEE] 2026-4-23 | IoT–Enabled Smart Pest Detection and Control System for Sustainable Agriculture
[ACM] 2026-4-23 | Optimizing Longhorn for High Performance Cloud-native Storage
[ACM] 2026-4-23 | Moving Through Volume
[ACM] 2026-4-23 | Dynamical 2D-DFA for movement analysis in obstetrics
[ACM] 2026-4-23 | A Framework for Human–AI Dance Creation
[ACM] 2026-4-23 | Laban Inspired Visual Effects Influence Perception and Movement
[ACM] 2026-4-23 | IMU-Based Detection of Load Carriage for Ergonomic Risk Assessment
[IEEE] 2026-4-23 | PVDSF: A Photovoltaic Generation Forecasting Network With Dynamic-Static Correlation Fusion on Endogenous and Exogenous Variables
[IEEE] 2026-4-23 | Multiexpert Inference Model Based on Belief Rule Base Under Uncertainty for Complex System Performance Evaluation
[IEEE] 2026-4-23 | Research on Collaborative Optimization of Near-Field ISAC Systems Based on Multi-Waveguide Pinching Antenna Arrays
[IEEE] 2026-4-24 | Robust Model-Based Reinforcement Learning for Rocket Landing
[IEEE] 2026-4-24 | BTFM 2026 TOC
[IEEE] 2026-4-24 | Machine Learning Based Early Warning Model for Mild Cognitive Impairment Risk in Elderly Population Using a Gradient Boosting Approach with Korean Longitudinal Study of Aging Data
[IEEE] 2026-4-24 | Evaluating Large Language Models for Kazakh Question Generation: A Comparative Study of ChatGPT and Gemma
[IEEE] 2026-4-24 | Research on Mountainous Area Path Optimization Problem Based on Ant Colony Algorithm
[IEEE] 2026-4-24 | Looking into Black Box Code Language Models
[IEEE] 2026-4-24 | Message from the General Chairs
[IEEE] 2026-4-24 | Research on Monitoring and Recognition Technology of Dangerous Behaviors at Construction Sites of Proxy Construction Projects Based on Convolutional Neural Networks and Long Short-Term Memory Networks
[IEEE] 2026-4-24 | A Method for Characterizing the Process Immunity Time Curve of Industrial Processes for Sensitive Users
[IEEE] 2026-4-24 | Bi-objective UAV Route Planning for Medicine Delivery: Balancing Profit and Risk
[IEEE] 2026-4-24 | Dual-Stream Feature Fusion Network for Complex Surface Defect Detection
[ACM] 2026-4-24 | LCMP: Distributed Long-Haul Cost-Aware Multi-Path Routing for Inter-Datacenter RDMA Networks
[IEEE] 2026-4-23 | Disturbance Rejection Control Strategy for Suspension System of 12/8 Single Winding Bearingless Switched Reluctance Motor
[IEEE] 2026-4-23 | HSRNet: Lightweight Remote Sensing Small Object Detection for Multi Scale and Dense Scenes
[IEEE] 2026-4-23 | Closing the Proof-of-Stake Security Gap: A Signature-Based Defense Against Malicious Validators in Long-Range Attacks
[IEEE] 2026-4-23 | Optimized Gene Selection Using Nomadic People and Salp Swarm Algorithms for Cancer Detection
[IEEE] 2026-4-23 | Diabetic Retinopathy Classification for Consumer Electronics Using DenseNet and Grad-CAM++
[IEEE] 2026-4-23 | Hybrid Poisoning Attacks Leveraging Fake Identities in Cross-Device Federated Learning-Edge Consumer IoT Networks
[IEEE] 2026-4-23 | Cardiovascular Risk Prediction Using ECG via A Time-Frequency Embedding Pre-trained Model
[IEEE] 2026-4-23 | Suppressing Gradient Conflict for Generalizable Deepfake Detection
[IEEE] 2026-4-23 | Electroless-Plated Gold Nanolayer for Low Temperature Copper Hybrid Bonding
[IEEE] 2026-4-23 | Quantum key recovery attack on post-quantum cryptosystems
[IEEE] 2026-4-23 | Fluid Antennas Meet Intelligent Surfaces: Security Analysis of NOMA Systems Under Hardware Impairments
[ACM] 2026-4-24 | LifeFuzz: Lifecycle-Guided Fuzzing for Windows Driver Cross-Handler Vulnerabilities
[ACM] 2026-4-24 | From Imperative to Declarative: Towards LLM-friendly OS Interfaces for Boosted Computer-Use Agents
