[2026-09-10 23:45:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-09
正在获取论文...
[arXiv] 2026-09-09 | Stencil Computation at the Intersection of AI and HPC
[IEEE] 2026-9-10 | Adaptive Genetic Optimization of Sparse Arrays for Millimetre-Wave MIMO Radar
[IEEE] 2026-9-10 | FDFD Solution for the Crosstalk of Multi-Conductor Transmission Lines
[IEEE] 2026-9-10 | A Small-Sample Learning Method for Risk Management Evaluation of Power Grid Engineering Investment Execution
[IEEE] 2026-9-10 | The Study of Learning Outcomes using the Role-Play Method of Human Augmentation Simulation Learning System to Enhance Digital Content Creator
[IEEE] 2026-9-10 | Conformal Tapered Periodic Sheet for Edge Scattering Suppression
[IEEE] 2026-9-10 | A Method for Design of Heterogeneous Arrays With Broadband Circular Polarization
[IEEE] 2026-9-10 | A Comparative Study of AI Models for EEG-Based Cognitive Confusion Detection
[IEEE] 2026-9-10 | Research on Staged Single-Image Deraining Algorithm
[IEEE] 2026-9-10 | Optically Transparent Millimeter-Wave Wideband Reflective Metasurface Antenna
[IEEE] 2026-9-10 | Bi-Level Routing and Sparse Spatial Attention based Multi-View BEV 3D Object Detection for Autonomous Driving
[IEEE] 2026-9-10 | Experimental Study on Electromagnetic Susceptibility of ZigBee-Based Cabin Internet of Things Systems under Radiated Interference
[IEEE] 2026-9-10 | A Fast Update Method for Calibration Data of Phased Array Antennas
[IEEE] 2026-9-10 | An Improved Schiffman Phase Shifter Based on an L-Shaped Network
[IEEE] 2026-9-10 | Parametric Optimization Design of Microwave Sensor Based on Interdigitated Spoof Plasmons
[IEEE] 2026-9-10 | A YOLO11 Object Detection Algorithm Based on ResNet18 Backbone Optimization for UAV Small Targets
[IEEE] 2026-9-10 | Integrating Active Problem-Based Learning through Generative AI to Enhance Students’ Understanding of AI Ethics
[IEEE] 2026-9-10 | Design of C-band High-Efficiency Relativistic Klystron Oscillator with a Low-magnetic Field
[IEEE] 2026-9-10 | Millimeter-Wave Wideband Large-Spacing Wide-Angle Scanning Magnetoelectric Dipole Phased Array Antenna
[IEEE] 2026-9-10 | A Simplified Design Method for 27-30 GHz GaN MMIC Load-Modulated Balanced Amplifier
[IEEE] 2026-9-10 | 2026 7th International Conference on Big Data Analytics and Practices (IBDAP)
[IEEE] 2026-9-10 | Cognitive Offloading in the Age of AI: Investigating the Influence of AI Dependence on Students' Critical Thinking Skills
[IEEE] 2026-9-10 | Two-Stage Delay-Doppler Estimation for OTFS Systems via Off-Grid Sparse Bayesian Learning
[IEEE] 2026-9-10 | MGF-PEFT: Multi-Granularity Feature Fusion for Efficient Large Language Model Tuning
[IEEE] 2026-9-10 | Multi-Scale Time-Frequency Collaborative Attention Network for Speech Emotion Recognition
[IEEE] 2026-9-10 | H-GRPO: An Asymmetric Hierarchical Group Relative Policy Optimization Framework for Constrained Multi-Objective Control
[IEEE] 2026-9-10 | High-Efficiency Bilateral Cosecant-Squared Beamforming Antenna Based on Substrate Integrated Coaxial Line
[IEEE] 2026-9-10 | Design of a Ka-band Three-Way Power Combining Structure in Rectangular Waveguide
[IEEE] 2026-9-9 | From Quality Properties to Practice: a Guideline and Workflow for Explainability Requirements
[ACM] 2026-9-9 | AgenticTyper: Automated Typing of Legacy Software Projects Using Agentic AI
[ACM] 2026-9-9 | Cascaded Vulnerability Attacks in Software Supply Chains
[ACM] 2026-9-9 | Bridging the Final Gap: Fuzzing Template Generation from Protocol Reverse Engineering
[ACM] 2026-9-10 | Design of a Multimodal Intelligent Analysis and Generation System for University Brand Communication Videos
[IEEE] 2026-9-9 | Multimodal Hierarchical Feature Adaptation With Bidirectional FiLM Gating for Depression Detection
[IEEE] 2026-9-9 | RefinerAgent: Extracting Industrial Mechanistic Models From Scientific Literature via Mechanism-Guided Multiagent Refinement
[IEEE] 2026-9-9 | Discriminately Treating Motion Components Evolves Joint Depth and Ego-Motion Learning_supp2-3732069.pdf
[IEEE] 2026-9-9 | EEG-CPDD: A Covariance-Preserving Diffusion Denoiser for Reliable EEG Source Localization
[IEEE] 2026-9-9 | Graph-Attentional Deep Sparse Subspace Clustering for Single-Cell Transcriptomics_supp1-3731206.docx
[IEEE] 2026-9-9 | A Low-Complexity Programmable Normalization Processor for Transformer Inference_supp1-3731553.pdf
[IEEE] 2026-9-9 | 2026 IEEE 34th International Requirements Engineering Conference (RE)
[IEEE] 2026-9-9 | Table of Contents
[IEEE] 2026-9-9 | Hidden in Plain Sight: Vector Embeddings give away Demographic Information_supp1-3731408.pdf
[IEEE] 2026-9-9 | AdaTrendLike: Adaptive Hierarchical Detrending and Trend Likelihood Scoring for Time-Series Anomaly Detection
[IEEE] 2026-9-9 | Resource Placement with Maximal Vertex-Disjoint Path Connectivity
[IEEE] 2026-9-9 | A 170-GHz Radial Power Combining Doubler Based on Circularly Polarized TE
                    <sub>11</sub>
                    and TE
                    <sub>21</sub>
                    Modes
[IEEE] 2026-9-9 | Twisted String Actuators in Wearable Robotics: Review and Perspective across Rehabilitation, Assistance, Augmentation, and Haptics
[IEEE] 2026-9-9 | An Efficient On-the-Fly Multi-Stage GAN Model for Tunnel Propagation
[IEEE] 2026-9-9 | A 3D–printed Wide–Angle Conformal Dielectric Slab Polarizer as an Improved Alternative to the Conventional Planar Design for Directional Antennas
[IEEE] 2026-9-9 | A High-Accuracy GNSS Tropospheric Wet Delay Forecasting Algorithm via PINN-LSTM Integration Tailored to Complex Mountainous Terrain and Urban Environments: Methodology and Validation
[IEEE] 2026-9-9 | A Vision Transformer for Inverse Phase Synthesis of Programmable Frequency Selective Surfaces
[ACM] 2026-9-9 | Erratum: LVT: A Learned Video Transcoding Framework
[ACM] 2026-9-10 | Q-DRFormer: Query-Position Mapping Flow Prediction with Progressive Refinement for Document Rectification
[IEEE] 2026-9-9 | Two Birds, One Stone: FR3 as 6G Golden Band? Analysis from Measurement-Calibrated Ray Tracing
[IEEE] 2026-9-9 | Area and Power efficient Floating Point Multiplier using Radix-4 Booth Encoding
[IEEE] 2026-9-9 | CURVEDJURY: A Sybil-Resistant Weighted Jury Selection Framework for Blockchain Dispute Resolution
[IEEE] 2026-9-9 | From Failure to Alignment: A Requirements Engineering Framework for Machine Learning Systems
[IEEE] 2026-9-9 | LI-VAD: Lightweight and Interpretable Video Artifact Detection
[IEEE] 2026-9-10 | A Decoupling Structure Based on Reconfigurable Elements for Wideband Patch Antennas
[IEEE] 2026-9-10 | Optimizing Loop Inductance via Strategic Decap Placement and Fast Assessment
[IEEE] 2026-9-10 | Compact Dual-Band Bandpass Filter With Adjustable Frequency Ratio Using Novel Folded Substrate-Integrated Waveguide Cavities
[IEEE] 2026-9-10 | LFFN: A Locality-Aware Feed-Forward Network for Efficient Transformer Architectures
[IEEE] 2026-9-10 | Design and Implementation of System-Independent Data Encryption Software: Case Study of Exploration and Development Data Lake
[IEEE] 2026-9-10 | A Simplified Multi-Port Calibration Method Based on 2-N Switch Matrix De-embedding Using a Single Thru Standard
[IEEE] 2026-9-10 | Design of a Dual-Band Bandpass Filter Based on Spoof Surface Plasmon Polaritons
[IEEE] 2026-9-10 | A Resistorless Electronically Tunable Grounded Inductance Simulator Using Voltage Conveyor Transconductance Amplifiers
[IEEE] 2026-9-10 | Long-Horizon Load Stability Testing and Degradation Forecasting for High-Concurrency Cloud Storage
[IEEE] 2026-9-10 | Design of Ultrawideband Dual-Polarized Base Station Antenna for 2/3/4/5G
[IEEE] 2026-9-10 | WVES: A Weighted Ensemble Framework for Student Mental Health Assessment
[IEEE] 2026-9-10 | Multi-Objective Optimization Using LSTM and Genetic Algorithm with Multi-Agent Simulation: Application to Glacier Conservation Planning
[IEEE] 2026-9-10 | An ultra-wideband tightly coupled phased array antenna with low-profile and wide-angle scanning
[IEEE] 2026-9-10 | Factors Influencing the Success of Instructional Management in the Metaverse: A Structural Equation Modeling Approach
[IEEE] 2026-9-10 | Design of 3-Bit Reconfigurable Intelligent Surface with Wide-Angle Continuous Steering Beams
[IEEE] 2026-9-10 | A Highly Integrated Quantum Wide- field Microscope Based on NV Centers
[IEEE] 2026-9-10 | An Accelerated MUSIC Algorithm for GTD Scattering Center Parameter Estimation
[IEEE] 2026-9-10 | A Voltage-Mode Schmitt Trigger Based on A Single VCII and Its Application to A Square/Triangular Wave Generator
[IEEE] 2026-9-10 | Physics-Informed Generative Beamforming for Terahertz Holographic Metasurface Antennas
[IEEE] 2026-9-10 | A High Frequency-Selectivity Polarization Converter for X-Band Applications
[IEEE] 2026-9-10 | Human Respiration Sensing Using 24 GHz Coupled-Resonator Frequency-Scanning Antenna
[IEEE] 2026-9-10 | Design of Ku-band Microwave Driver Amplifier for Microwave Photonic Radar Imaging
[IEEE] 2026-9-10 | Single-Layer SIW Cavity-Backed Slot Antenna Array Using High-Order Mode
[IEEE] 2026-9-10 | Tighter Security Proof for IBE from MP-LWE Assumption in the Random Oracle Model
[IEEE] 2026-9-10 | Efficient Electro-Thermal Co-Analysis of GaN HEMTs Based on Neural Network
[IEEE] 2026-9-10 | A Miniaturized Atomic Clock with Low-Power Mode and Adjustable-Precision 1PPS Synchronization
[IEEE] 2026-9-10 | An Ultra-Wideband LDMOS Power Amplifier Based on Filter Network Synthesis Technology
[IEEE] 2026-9-10 | A Low-Profile Shared-Aperture Antenna for High-Performance Base Station Applications
[IEEE] 2026-9-10 | Compact Broadband 2×2 MIMO Array Based on Multi-Mode Resonance for Wireless Communication Systems
[IEEE] 2026-9-10 | GPR Missing Data Reconstruction via Curvelet-Domain Optimization
[IEEE] 2026-9-10 | Optimizing Structural MRI for Alzheimer's Diagnosis: A Preprocessing Approach Using FSL
[IEEE] 2026-9-10 | A 2D Inverse Scattering Method for Metallic Targets Based on the Finite-Difference Frequency-Domain
[IEEE] 2026-9-10 | Design of an STM32-Based Smoke Monitoring System Using Dual-Threshold Hysteresis Control
[IEEE] 2026-9-10 | GS-YOLO: Lightweight Weed Detection via a Shared Convolutional Detection Head
[IEEE] 2026-9-10 | A Wide Dynamic Range Efficiency-Enhanced Class-D Power Amplifier Using Hybrid Power Control Techniques for LPWAN Applications
[IEEE] 2026-9-10 | VeriRAG-Agent: A Retrieval-Augmented Agent Framework with Dynamic Tool Calling for Smart Contract Auditing
[IEEE] 2026-9-10 | A Language Model-Based Method for Malicious Threat Analysis in Industrial Control Networks
[IEEE] 2026-9-10 | CMT-Net: Cross-Modal Multi-Task Learning for Automated Inspection of Integrated Circuits in Printed Circuit Boards
[IEEE] 2026-9-10 | Texture Attribute-Based Classification of GPR Data Recorded Along Railway Tracks
[IEEE] 2026-9-10 | Physical Reservoir Computing with Electric Double Layer Transistors for Anomaly Detection using Power Analysis
[IEEE] 2026-9-10 | Experimental Evaluation of Polarization-Graded AlGaN/GaN HEMTs With Electric Field Management and Improved Breakdown Performance
[IEEE] 2026-9-10 | Variable-structure Soft Actuator for Multi-mode Grasping
[IEEE] 2026-9-10 | Real-Time Network IDS for SOHO Using Hybrid Edge Machine Learning Techniques
[IEEE] 2026-9-10 | Characterization of Beam-Squint and Beam-Split Effects in RIS-assisted Multi-Frequency Networks
[IEEE] 2026-9-10 | Analytical Model for Electromagnetic-Vibration Prediction in Inverter-Fed Synchronous Reluctance Motor
[IEEE] 2026-9-10 | Adaptive Radar for Uncooperative Spectrum Sharing: GLRT Asymptotic Performance
[IEEE] 2026-9-10 | FluidTac: A Vision-Based Arrayed Artificial Lateral Line Sensor for Underwater Ego-Motion Estimation
[IEEE] 2026-9-10 | FlowVLA: Visual Chain of Thought-Based Motion Reasoning for Vision-Language-Action Models
[IEEE] 2026-9-10 | Early sound-based meal onset detection using Hidden Markov Models (HMMs)
[IEEE] 2026-9-10 | Prescribed-Time Tracking Control of Linear Motors with Guaranteed Performance under Uncertainties
[IEEE] 2026-9-10 | AI as an Insider Threat: A Vision of the Future and Conceptual Risk Assessment Model
[IEEE] 2026-9-10 | A Physics-Guided Message Passing Neural Network for Mesh Smoothing in Moving Conductor Eddy Current Simulations
[IEEE] 2026-9-10 | Phase-Shifted DR Based HVDC Link Dedicated to Filter-Free Distant Offshore Wind Farms
[IEEE] 2026-9-10 | Agentic AI and LLMs for Dynamic Content Generation: an Architectural and Communication Framework for Carbon Footprint Management
[IEEE] 2026-9-10 | Input-Data Information Preservation and Protocol-Specific Error Mitigation in Noisy Fixed-Parameter Quantum Front Ends: A Reproducible Simulation Study
[IEEE] 2026-9-10 | AutoNet: A Two-Stage Router Configuration Recommendation Framework Integrating Structured Semantic Modeling and Constraint Solving
[ACM] 2026-9-9 | Plan4code: Planning Code Changes with Chain-of-Thought and Ontologies
[ACM] 2026-9-9 | Scaling Software Architecture Data: A Vision for Leveraging Architecture Recovery on Open-Source Projects
[ACM] 2026-9-9 | A Multi-Modal Robotic Framework for Physical GUI Interaction Testing
[ACM] 2026-9-9 | LLM-Based Test Case Generation in DBMS through Monte Carlo Tree Search
[ACM] 2026-9-9 | Technical Briefing on Qualitative Data Analysis and Theory Development
[ACM] 2026-9-9 | A Survey on Foundation Models for Personalized Federated Intelligence
[ACM] 2026-9-9 | Opening Remarks
[IEEE] 2026-9-9 | Deep Multitask Learning for Real-Time 3D Magnetic Data Inversion With Anomaly Segmentation
[IEEE] 2026-9-9 | Enhancing Local Cognition of CLIP for Training-Free Open Vocabulary Semantic Segmentation
[IEEE] 2026-9-9 | Committees
[IEEE] 2026-9-9 | InstructGrasp: A Real-Time Language-Guided Grasp Pose Detection for Robotic Manipulation_supp2-3731854.mp4
[IEEE] 2026-9-9 | A 52-Gb/s/pin 0.337-pJ/bit Capacitively Driven PAM-4 Transceiver for Coupling-Variation-Tolerant Die-to-Die Interfaces
[IEEE] 2026-9-9 | Say, Move, and Remember: Enhancing SAM2 for Referring Video Segmentation via Motion Modeling and Key Action-Aware Memory_supp1-3728686.pdf
[IEEE] 2026-9-9 | FedSymTCNNet: A Federated Edge-IoMT Framework for Wearable Pediatric Gastrointestinal Risk Prediction
[IEEE] 2026-9-9 | High-Dimensional Programmable Personas: A Comprehensive Framework for Synthesizing Customisable Role-Playing Agents
[IEEE] 2026-9-9 | Post-quantum Medical Data Sharing in IHS via Consortium Blockchain and Multi-signature
[IEEE] 2026-9-9 | Real-Time Victim Positioning With One Search Agent Using Wi-Fi Fine Time Measurement
[IEEE] 2026-9-9 | Dual-Target Road Sense Construction for Steer-By-Wire Systems: Design, Control, and Real-Vehicle Validation
[IEEE] 2026-9-9 | Organizing Committee
[ACM] 2026-9-10 | Design of a Fact-Verification System for Music Theory Question Answering Based on Large Language Models
[ACM] 2026-9-10 | Weighted Readiness Evaluation Algorithm and Modular AI System Design for Cross-Border Foreign Trade SMEs
[IEEE] 2026-9-9 | From IMU Sensing to In-Network Intelligence: A Distributed Edge AI Telerehabilitation Framework
[IEEE] 2026-9-9 | Implementation of Double Tail Comparator in Cadence Ocean Scripting Automation Framework
[IEEE] 2026-9-9 | Debugging Requirements Interview Scripts: A Framework for Quality Assessment
[IEEE] 2026-9-9 | IoTSGT: An Interactive Specifications Generation Tool for Personalized IoT Software Requirements
[IEEE] 2026-9-9 | ADVENT: LLM-Driven Automatic Predicate Invention for ILP
[IEEE] 2026-9-9 | Silicon Sampling via Cross-Survey Transfer
[ACM] 2026-9-10 | Introduction to the Special Issue on Game Advertising
[IEEE] 2026-9-10 | A New Academic–Industry Partnership Grant and the Last IERA Award [Industry Activities]
[IEEE] 2026-9-10 | Table of Contents
[IEEE] 2026-9-10 | A Hybrid Approach of Anomaly Detection for Reducing False Negatives in IDS
[IEEE] 2026-9-10 | Enhanced Double-PWM Control of TAB Converters for Full-Range ZVS and Reduced Conduction Loss
[IEEE] 2026-9-10 | Connectivity-Aware UAV Path Planning with Continuous Action Modeling in Variable Altitude Urban Scenarios
[IEEE] 2026-9-10 | A Survey of Relation Extraction: From Deep Learning to Large Language Models
[IEEE] 2026-9-10 | AIHT-MPI: Accelerated Iterative Hard Thresholding via Moore-Penrose Pseudo-Inverse with Conjugate Gradient Refinement for Sparse Signal Recovery
[IEEE] 2026-9-10 | Spherical Fuzzy Set Adaptive Decoupling Network: Principled Multi-Task Optimization for Robust Low-Light Image Enhancement
[IEEE] 2026-9-10 | Empathy-R1: A Chain-of-Empathy and Reinforcement Learning Framework for Long-Form Mental Health Support
[IEEE] 2026-9-10 | Bidirectional Wireless Power Transfer: Technology for anything-to-anything applications.
[IEEE] 2026-9-10 | Personalized Noise Diffusion Recommender Model
[IEEE] 2026-9-10 | A spaceborne Ka-band 200 W pulsed solid-state power amplifier
[IEEE] 2026-9-10 | Ai-Based Innovations in Rf and Antenna Engineering
[IEEE] 2026-9-10 | Manifold-based Robust Beamforming Design for RIS-Assisted LEO Satellite in SAGIN-ISAC Systems
[IEEE] 2026-9-10 | Design of an All-Metal Wideband Corrugated Vivaldi Antenna with High Power Capacity
[IEEE] 2026-9-10 | Turbulence-Resilient Multicasting of OAM Beams Using a Hybrid Optical-Electronic Neural Network
[IEEE] 2026-9-10 | Few-Shot Multimodal Fake News Detection via Transfer Learning and Unsupervised Domain Adaptation
[IEEE] 2026-9-10 | TACoS:A Threshold‑Activated Compensation Scheme for Privacy‑Auditable IoT-Driven Smart Insurance
[IEEE] 2026-9-10 | Assessing the Interplay of Counteracting Biases in GNN-Based Recommender Systems
[IEEE] 2026-9-10 | Versatile Exoskeleton Control Supports Elderly Joint Energetics During Hip-Intensive Tasks
[IEEE] 2026-9-10 | Research on Vehicle CAN Bus Intrusion Detection Method based on MobileNetV3
[IEEE] 2026-9-10 | An Ultra-Low-Profile Circularly Polarized Folded Transmitarray Antenna Based on Metasurfaces
[IEEE] 2026-9-10 | Leaky-wave Antenna with Dynamic Polarization Tuning
[IEEE] 2026-9-10 | Study on the Influence of Non-uniform Electron Beam on the Output Microwave Characteristics of an S-Band Relativistic Klystron Amplifier
[IEEE] 2026-9-10 | Signal Integrity Analysis of Multilayer Spiral Inductor and Elliptical Slot Compensation Structure for Vertical Via Interconnection
[IEEE] 2026-9-10 | An Inverse-Designed Metasurface-Loaded Top-Hat Monopole Antenna for Cognitive Radio Applications
[IEEE] 2026-9-10 | A 48–94 GHz Wideband Low-Noise Amplifier Based on a Unified CS Cell in 65-nm CMOS
[IEEE] 2026-9-10 | A Parasitic-Aware End-to-End Automated Optimization Scheme for mm-Wave Circuits Based on an Offline Passive Library
[IEEE] 2026-9-10 | A Secure Remote Access Framework for Physical Network Laboratories Using Bastion Host Architecture
[IEEE] 2026-9-10 | Closed-Loop Parameter Updating of Wind Turbine Digital Twins Based on Deep Reinforcement Learning and Time-Series Similarity
[IEEE] 2026-9-10 | CISAT 2026 Author Information Page
[IEEE] 2026-9-10 | A Miniaturized Shared-Aperture Dual-Band and Dual-Polarization Base Station Antenna
[IEEE] 2026-9-10 | Accurate extraction of equivalent circuit parameters for RF surface-mount Inductors and Capacitors
[IEEE] 2026-9-10 | Table of Contents
[IEEE] 2026-9-10 | An Efficient and Compact Phase-shift Tunable First-Order All-Pass Filter Using Single VCII with Minimum Passive Elements
[IEEE] 2026-9-10 | LightMambaVLA: Efficient Vision-Language-Action Modeling with State Space Models and Flow Matching
[IEEE] 2026-9-10 | A Novel Eight-way Power Combining Network Based on the TE
                    <sub>20</sub>
                    Mode Branch Waveguide Coupler
[IEEE] 2026-9-10 | Design of all dielectric metasurfaces based on multiple resonant modes of high permittivity ceramic materials and complex structures
[IEEE] 2026-9-10 | Design of High-Efficiency 10-W X-Band Power Amplifier Based on GaN HEMT Process
[IEEE] 2026-9-10 | Student Use of GenAI in an Interdisciplinary STEAM Design project
[IEEE] 2026-9-10 | A Shared-Aperture SatCom Antenna Integrating Ka-Band Cavity-Backed Patches and X-Band Aperture-Coupled Feed Structure
[IEEE] 2026-9-10 | A Large-Frequency-Ratio Shared-Aperture Antenna With High Aperture Reuse Efficiency
[IEEE] 2026-9-10 | Logic-Aware Vulnerability Knowledge Graph Model for Precise Vulnerability Assessment
[IEEE] 2026-9-10 | A Cryo-CMOS Demultiplexer for Large-scale Silicon Spin Qubits
[IEEE] 2026-9-10 | Frequency-Dependent Damage Mechanisms of L-Band Surface Acoustic Wave Filters under High-Power Microwave Injection
[IEEE] 2026-9-10 | DFTC-Net: Dynamic Fusion of Deformable Attention Transformer and CNN Network for Low-Dose CT Denoising
[IEEE] 2026-9-10 | Design of a hybrid absorption-transmission FSS
[IEEE] 2026-9-10 | Thermally Controlled Chiral Metasurface for Independent Control of Circularly Polarized Waves
[IEEE] 2026-9-10 | Knowledge-Enhanced Image-Text Incongruity Representation for Multi-modal Sarcasm Detection
[IEEE] 2026-9-10 | High-Precision Joint Range-Angle Estimation for 1-Bit FDA-MIMO Radar via Off-Grid Refinement
[IEEE] 2026-9-10 | Design of Frequency Adjustable Antennas Based on Phase Change Materials
[IEEE] 2026-9-10 | Spectral-Visual Transformation for Low-Resource Dialect Identification: A Technical Evaluation of the Transition from MATLAB-Based Visualization to Deep Residual Learning Pipelines
[IEEE] 2026-9-10 | On the Generalization of Deepfake Detection under Limited Supervision
[IEEE] 2026-9-9 | Vulcan: Vision-Language-Model Enhanced Multi-Agent Cooperative Navigation for Indoor Fire-Disaster Response
[IEEE] 2026-9-10 | A Low-Profile Dual-Polarized Planar Ultra-Wideband Modular Antenna (PUMA) Array with A Resistive Frequency-Selective Surface
[ACM] 2026-9-10 | MiniMaestro: Resource-Conscious Conversational Music Recommendation with a Single Open-Weight 8B Model
[ACM] 2026-9-10 | A Multi-Source Retrieve-Fuse-Rerank System for Conversational Music Recommendation
[ACM] 2026-9-9 | Integrating ultrasound-based interface with human-inspired somatosensory control for advanced prosthetic systems
[IEEE] 2026-9-9 | Experimental Investigation of Electron Transport in SiC FinFETs for High-Mobility MOS Channel
[IEEE] 2026-9-9 | Validation and Comparison of ANEM-SBAC Method for Temperature and Emissivity Separation Using MODIS and VIIRS Data in the València Test Site_supp2-3726996.pdf
[IEEE] 2026-9-9 | Cloud–Fog Hosted Resource Allocation within an Integrated S3C System for Multi-Robot Fuselage Panel Assembly
[IEEE] 2026-9-9 | Effector-Centric NMPC of Tiltable-Multirotors for Offset-Free Omnidirectional Aerial Manipulation_supp1-3731683.mp4
[IEEE] 2026-9-9 | Design and Optimization of High-Precision Current Control System Based on GaN HEMT
[IEEE] 2026-9-9 | Dynamic Event-Triggered Hierarchical Control for Multiquadrotor Formation Under Communication Constraints and External Disturbances
[IEEE] 2026-9-9 | AutoLFD: A Three-Stage Framework for Fine-grained Microservice Auto-scaling in Edge Server Clusters
[IEEE] 2026-9-9 | MNC 2026 Table of Contents
[IEEE] 2026-9-9 | Inverse-Designed Cascaded Rotational Diffractive Layers for Versatile Beam Switching with Single-layer Rotation and large Spacing_supp1-3732127.docx
[IEEE] 2026-9-9 | Unifying Feed-Forward and Weight-Gradient: An Energy-Efficient Architecture for On-Chip SNN Learning
[IEEE] 2026-9-9 | UVTrack3D: Toward Category-Unified Structured Voxel Representation for 3D Single Object Tracking
[ACM] 2026-9-9 | Power Relationships Effects on Social Sustainability Goals in Software Ecosystems
[ACM] 2026-9-9 | Automating Code-Change Rationale Generation to Support Software Maintenance Tasks
[ACM] 2026-9-9 | JUnitGenie: A Framework for Path-Sensitive Unit Test Generation with Large Language Models
[ACM] 2026-9-9 | Hierarchical Metamorphic Test Oracles for Agent Evaluation
[ACM] 2026-9-9 | Multi-Level Testing of Conversational AI Systems
[IEEE] 2026-9-9 | Mode-Based Requirements Decomposition for Scalable Reactive Synthesis
[IEEE] 2026-9-9 | Measurement Framework for Quantifying Braking Comfort in Automated Vehicles
[IEEE] 2026-9-9 | Configurable RTL Code Generation for AMBA AXI Bus Architecture with UVM-Based Verification
[IEEE] 2026-9-9 | Risk-Aware Multi-Task Graph Neural Surrogate for Operational Event Prediction in Distribution Feeders
[IEEE] 2026-9-9 | Requirements Sufficiency Gating for LLM-Assisted Automation: When Should Generation Proceed?
[IEEE] 2026-9-9 | Toward Reusable AI for Edge Offloading: An Empirical Study Under Varying IoT Workloads
[IEEE] 2026-9-9 | Scene-First Vehicle-Evidenced Fusion for Urban Flood-Depth Estimation from Street Images
[IEEE] 2026-9-10 | PKGD: Physics Knowledge-Guided Diffusion Model for Underwater Image Enhancement
[IEEE] 2026-9-10 | Analysis of Topics and Sentiments in Tweets and News Reports on Brazilian Cultural Festival
[IEEE] 2026-9-10 | Multi-tier Message Scheduling for IoT-based Urban Emergency Systems through Semantic Priority Override
[IEEE] 2026-9-10 | Communication State-Awareness Event-Triggered
                    <i>H</i>
                    <sub>∞</sub>
                    Control for T-S Fuzzy Cyber-Physical Power Systems Subject to Hybrid FDI Attacks
[IEEE] 2026-9-10 | Scalable and Privacy-Preserving Synthetic Data Generation on Decentralised Web
[IEEE] 2026-9-10 | Wideband Wide-Scan Low-RCS Phased Array Based on Multilayer Impedance Matching Network
[IEEE] 2026-9-10 | Pioneering AI Agent in Electrical and Mechanical Engineering: Transforming Operations and Maintenance Practice
[IEEE] 2026-9-10 | ANCORA: Accurate Intrusion Recovery for Web Applications
[IEEE] 2026-9-10 | 3D-RobOstrich: An Ostrich-Inspired 3D Flexible Manipulator With a Lateral Stabilization Mechanism
[IEEE] 2026-9-10 | A 75–105 GHz Wideband Active Phase Shifter in 65-nm CMOS
[IEEE] 2026-9-10 | A Multi-Band Microwave Sensor for Solid Characterization
[IEEE] 2026-9-10 | A Systematic Survey on Large Language Models for Evolutionary Optimization: From Modeling to Solving
[IEEE] 2026-9-10 | Analytical Parameter-Free Fault Location for Untransposed Double/Four Circuit Parallel Lines with Unsynchronized Sampled-Value Currents
[IEEE] 2026-9-10 | MPM Signature Analysis of GPR Signal for Utilities Localization
[IEEE] 2026-9-10 | GPR Time-Lapse Challenges and Optimization Strategies
[IEEE] 2026-9-10 | A Liouville Equation-Based Hybrid Method for Uncertainty-Aware Vehicle Motion Prediction
[IEEE] 2026-9-10 | The Realization of MMIC Oscillators with Resonant Tunnelling Diode
[IEEE] 2026-9-10 | Prototype-Aware Edge-Weighted Graph Neural Network for MOOC Dropout Prediction
[IEEE] 2026-9-10 | A Qualitative Analysis of Shifts in Integration/Critical Thinking Across Design, AI, and Domain Knowledge from Design AI Workshops
[IEEE] 2026-9-10 | Design of a Portable S-Parameter Test Module Based on ADL5960
[IEEE] 2026-9-10 | A Dual-Input Magnitude-Selective Affine Function-Based Model for MIMO Wireless Transmitters
[IEEE] 2026-9-10 | A High Compression Ratio Sheet Beam Electron Gun with Elliptically Tapered Focus Electrode for Terahertz Traveling-Wave Tubes
[IEEE] 2026-9-10 | PPG-UNet: Physics-Prior-Guided U-Net for Mutual Interference Suppression on Automotive Radar
[IEEE] 2026-9-10 | Measurement of the Pattern of Rydberg Atomic Antenna Based on Superheterodyne Method
[IEEE] 2026-9-10 | Metric-Guided Gated Cross-Attention Network for Software Defect Prediction
[IEEE] 2026-9-10 | VLA-Inspired Closed-Loop Planar Pose Correction for Robotic Manipulators: A Simulation Study with Software-Side Quantization Analysis
[IEEE] 2026-9-10 | An ultra-wideband stable high-gain slot antenna loaded with FSS and Metasurface
[IEEE] 2026-9-10 | Efficient Artificial Neural Networks for Array Antenna Diagnosis
[IEEE] 2026-9-10 | Data-driven Characteristic Mode Basis Function Method for Analyzing Electromagnetic Scattering from Finite Periodic Arrays
[IEEE] 2026-9-10 | Design of 2.1–2.2 GHz Asymmetric Two-Stage GaN HEMT MMIC Doherty Power Amplifier
[IEEE] 2026-9-10 | Novel Input-Reflectionless Triplexer Topology with Parallel Lowpass/Bandpass/Highpass Outputs
[IEEE] 2026-9-10 | A 140GHz E-plane Waveguide 8×8 Butler Matrix for D-band Multibeam Applications
[IEEE] 2026-9-10 | Design of 4×4 Butler Matrix Based on Ridge Gap Waveguide
[IEEE] 2026-9-10 | Design of a broadband T-A-T Type Frequency Selective Rasorber
