[2026-06-27 23:02:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-26
正在获取论文...
[ACM] 2026-6-26 | VFDelta: A Framework for Detecting Silent Vulnerability Fixes by Enhancing Code Change Learning
[IEEE] 2026-6-26 | “Digital Communication Transformations and Their Impact on Job Performance in Government Institutions: The Case of Abu Dhabi Ports”
[ACM] 2026-6-27 | ReelPeel: Inquiry under Algorithmic Feeds via Hold-to-Enter In-Feed Evidence Inspection
[ACM] 2026-6-27 | A Software Architecture for Real-Time Digital Twins in Machining
[ACM] 2026-6-27 | POSTER: Reinforcement Learning-based QoS-aware Online Scheduling for Multi-Tenant DNN Inference on Heterogeneous Accelerators
[ACM] 2026-6-27 | Strata: Proactive Page Placement in Hybrid Memory Systems
[ACM] 2026-6-26 | Model Checking Probabilistic Operator Precedence Automata
[IEEE] 2026-6-26 | Tuning Your Privacy on Outsourced Data Through Semi-Trusted Helpers
[IEEE] 2026-6-26 | CHAI - Compliant Human-centered Adaptive Interaction through Diffusion-based Language Trajectory Transformer_supp1-3707283.mp4
[IEEE] 2026-6-26 | Robust Performance Analysis and Nonlinearity Shaping for Closed-Loop Reset Control Systems
[IEEE] 2026-6-26 | Low-Complexity Fairness-Oriented Secure Beamforming Design for CAPA-Based Systems
[IEEE] 2026-6-26 | Acceleration Enhancement Framework of Reluctance-Actuator-Driven Dual-Stage Positioning Systems
[IEEE] 2026-6-26 | Explainability and Trust in Machine Learning-Based Cloud Security Systems
[IEEE] 2026-6-26 | The Future of Accounting in the Metaverse: Literature Review
[IEEE] 2026-6-26 | AI Driven Ethical HRM Analytics for Predicting Sustainable Employee Performance: Evidence from SMEs in the Mekong Delta, Vietnam
[IEEE] 2026-6-26 | Beyond Conventional Forecasting: Optimized Machine Learning Models for Rainfall Prediction in Quezon Province, Philippines
[IEEE] 2026-6-26 | Climate Adaptation Strategies in Oil Palm Cultivation: A Review of Climate Mitigation Techniques
[IEEE] 2026-6-26 | Data-Driven Sustainable Human Resource Management in Engineering Projects: An Empirical Study Using Intelligent Dashboard Analytics
[IEEE] 2026-6-26 | AI-Enhanced Fractional-Order SIRS Model for Memory-Aware Epidemic Forecasting
[IEEE] 2026-6-26 | AI-Based Detection of Environmental Hazards Using Hyperspectral Imaging and Machine Learning in Maritime Contexts
[IEEE] 2026-6-26 | AI-Based Hybrid Optimization for Cost- and Carbon-Aware Renewable Microgrid Energy Management
[IEEE] 2026-6-26 | Battery Management System and Cybersecurity
[ACM] 2026-6-26 | Agentic Much? Adoption of Coding Agents on GitHub
[ACM] 2026-6-27 | Companion Proceedings of the 18th ACM SIGCHI Symposium on Engineering Interactive Computing Systems
[ACM] 2026-6-27 | On the Efficacy of PyTorch for High-Performance Computing: A Case Study in Computational Physics
[ACM] 2026-6-27 | Architecturally Aligned Trustworthy AI: Substrate and System Design Strategies for Next Generation AI
[ACM] 2026-6-27 | POSTER: TinyLLM: Evaluation and Optimization of Small Language Models for Agentic Tasks on Edge Devices
[IEEE] 2026-6-26 | SA-Person: Text-Based Person Retrieval with Scene-aware Re-ranking
[IEEE] 2026-6-26 | Fractional-Order LADRC-Based Robust PLL Controller for Reliable Integration of Distorted Grid Voltage
[ACM] 2026-6-26 | Bridging the Procedural Code Gap: Agentic Database Migration with Execution-Grounded Validation
[IEEE] 2026-6-26 | Advanced Land Observing Satellite-4 (ALOS-4) for Monitoring Disaster, Land Deformation, and Subsidence
[IEEE] 2026-6-26 | IEEE Robotics and Automation Letters Information for Authors
[IEEE] 2026-6-26 | A Novel Model for 3D Motion Planning for a Generalized Dubins Vehicle with Pitch and Yaw Rate Constraints
[ACM] 2026-6-26 | Computational Attention-based Modeling of Individually Perceived Quality of Compressed Images
[IEEE] 2026-6-26 | Detection of soil salinity in agricultural crops using AI with hyperspectral imaging and machine learning
[IEEE] 2026-6-26 | How Do Intelligent Systems Enhance Corporate Efficiency?
[IEEE] 2026-6-26 | High-Performance H-Shaped CBCPW-Fed MIMO Antenna Operating at 5 GHz
[IEEE] 2026-6-26 | Digital Twin-Based Algorithms for Predictive Control of High-Precision CNC Machining Processes
[IEEE] 2026-6-26 | Dynamic AI-ABAC: LLM Driven Attribute Based Access Control for Blockchain IoT Systems
[IEEE] 2026-6-26 | Exploring the Implication of ML-Based Evaluation Techniques to Overcome the Software Development Lifecycle Selection Challenges Faced by Project Managers
[IEEE] 2026-6-26 | Cultural Influences on HRM in Arab Countries: The Role of Wasta and the Adaptation of Western Models
[IEEE] 2026-6-26 | Performance and Scalability Analysis of Federated LSTM-Based Energy Forecasting in Distributed Edge Networks
[IEEE] 2026-6-26 | Secondary Cancer Risk Modeling Using Experimental Dosimetry with OED-EAR in Breast Radiotherapy
[ACM] 2026-6-27 | Gesture Interaction: From 2D Multi-stroke to 3D Dynamic Gestures with Contact-Based and Contactless Devices
[ACM] 2026-6-27 | Designing Fatigue-Aware VR Interfaces via Biomechanical Models
[IEEE] 2026-6-26 | Dynamic Event-Triggered Set-Membership Estimation for Wireless Sensor Networks over Vessel Navigation with Privacy-Preservation
[IEEE] 2026-6-26 | Two-Timescale Learning for Pilot-Free ISAC Systems
[IEEE] 2026-6-26 | Learning-Based SRAM Read Access Yield Estimation with Timing-Space Decomposition and Failure Boundary Modeling
[IEEE] 2026-6-26 | A Novel Reflectance Harmonization Method for Multiple Moon Mineralogy Mapper (M
                    <sup>3</sup>
                    ) Data in Lunar High-Latitude Polar Region
[IEEE] 2026-6-26 | The Role of Knowledge-Based Human Resource Management in Developing Strategies for Reducing Workplace Cyberloafing (An empirical study at Iraqi Ministry of Trade/Ration Card Project)
[IEEE] 2026-6-26 | Federated Learning for Distributed Prediction and Optimization Across Smart Transportation Networks Using Heterogeneous Sensor Data
[IEEE] 2026-6-26 | Application of Artificial Intelligence in Smart Garden Design: A Case Study of Fisherman’s Garden Park in Kazan
[IEEE] 2026-6-26 | Enhancing Sustainable Supply Chain Success in Jordan using Sustainable Efficiency and Supply Chain Readiness
[IEEE] 2026-6-26 | Graph neural networks for spatial modeling of nitrogen distribution in agricultural soils using IoT sensor data
[IEEE] 2026-6-26 | Hybrid Navigation Model of a Mobile Manipulator Robot: Combination of Global Planning and Local Dynamic Optimization
[IEEE] 2026-6-26 | Deep Learning Recommender System for Profit and Demand Optimization in E-Commerce
[IEEE] 2026-6-26 | AI in Palm Oil Yield Production, Disease Détection, and Process Optimisation: A Systematic Review
[IEEE] 2026-6-26 | Cloud Based AI-Enabled Data Analytics for Electronic Waste Reuse and Refurbishment
[ACM] 2026-6-27 | From Usability Heuristics to Human–AI Interaction: A Comparative Analysis of 30-Years of Design Guidelines
[IEEE] 2026-6-26 | When [Almost] Nothing Fails: The Data Paradox in Reliability Engineering
[IEEE] 2026-6-26 | AlphaFold Transforms System Prediction using Advanced AI Algorithm
[IEEE] 2026-6-26 | Consequences Of Big Data Analytics for Knowledge Management the Mediating Role of Organizational Resilience
[IEEE] 2026-6-26 | An AI-BIM Based Predictive Framework for the Optimization of Construction Waste Recycling in Saudi Arabia
[IEEE] 2026-6-26 | A Particle Filter With LSTM for Stock Market Price Forecasting
[ACM] 2026-6-26 | Multi-Device Shallow Water Simulations on CPUs, GPUs, and FPGAs with SYCL
[ACM] 2026-6-27 | A System-Level Performance Analysis of On-Device Learning on an Ultra-Low-Power Edge System
[IEEE] 2026-6-26 | Robot Few-Shot Manipulation Skills Learning Based on Meta Imitation Learning and Mixture of Experts Model
[IEEE] 2026-6-26 | A 23.5–46.5 GHz
                    <i>G</i>
                    <sub>m</sub>
                    -Boosting Feedback LNA With 2.7-dB NF and 14-mW Pdc in 28-nm CMOS
[IEEE] 2026-6-26 | Neuroadaptive Fuzzy Dynamic Optimal Tracking Control in Wastewater Treatment Aeration Process
[IEEE] 2026-6-26 | Physical Model for Discharges in Long Air Gaps Containing a Floating Conductor Under Positive Switching Impulses
[IEEE] 2026-6-26 | Linear Filter for Discrete-Time Systems Driven by Fractional Noises
[IEEE] 2026-6-26 | Table of Contents
[IEEE] 2026-6-26 | DIMQ: Distribution-Induced Multi-Peak Quantization for Deep Neural Networks
[IEEE] 2026-6-26 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp2-3701298.mp4
[IEEE] 2026-6-26 | Performance Evaluation of Social Learning
[IEEE] 2026-6-26 | TMUNet: A UNet with Torsion-Based Local Geometry and State Space Global Modeling for Remote Sensing Semantic Segmentation
[IEEE] 2026-6-26 | A Novel Framework to Design Tactical Level Controllers for Surface Vehicles Performing Trajectory Tracking Missions
[IEEE] 2026-6-26 | SAIGFormer: A Spatially-Adaptive Illumination-Guided Network for Low-Light Image Enhancement
[IEEE] 2026-6-26 | A Self-Correcting Pole Climbing Robot for Pulsed Eddy Current Inspection with Stable Lift-Off Distance Control
[IEEE] 2026-6-26 | Cyber-Resilient Coordinated QV Control in Grid-Connected Inverters via Disturbance Observer-Augmented Control Barrier Function
[IEEE] 2026-6-26 | FSCA-YOLO: A Recognition and Detection Algorithm for CT Images of PCB Drilling
[IEEE] 2026-6-26 | Lightweight and Robust Hyperspectral Image Classification via Cyclic Heterogeneous MNF1-Guided Spectral-Band Filtering
[ACM] 2026-6-27 | Mapping Gestures Performed with Tangible Cubes to System Commands
[ACM] 2026-6-26 | A Longitudinal Analysis of Gamification in Untappd: Ethical Reflections on a Social Drinking Application
[ACM] 2026-6-26 | The Moral Consistency Pipeline: Continuous Ethical Evaluation for Large Language Models
[ACM] 2026-6-26 | Enhancing User Engagement and Personalization in Virtual Reality for Cultural Heritage Using a Dual-Layer Fuzzy-Based Approach
[IEEE] 2026-6-26 | Nemobot Games: Crafting Strategic AI Gaming Agents for Interactive Learning with Large Language Models
[IEEE] 2026-6-26 | A High-Efficiency Circularly Polarized Transmitarray with Integrated Wideband Filtering Responses
[IEEE] 2026-6-26 | Wideband Dual-Polarized Metasurface Antenna with Fan Beams for Outdoor Wi-Fi Applications
[IEEE] 2026-6-26 | Serial Shrinkage Attention-ResNet Based Efficient Photovoltaic Fault Diagnosis Under Similar I–V Signals
[IEEE] 2026-6-26 | Beyond Polarity: A Scalable Transformer-Based Emotion Intelligence Framework with Distributed Big Data Optimization
[IEEE] 2026-6-26 | AURORA-IDS: Agent-Guided Routing-Deformable Attention for Robust Semi-Supervised Intrusion Detection on Tabular Traffic Data
[IEEE] 2026-6-26 | Efficient Simulation of Doppler-Broadened Rydberg Quantum Receivers via Monte Carlo Wave Functions
[IEEE] 2026-6-26 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp5-3701298.mp4
[IEEE] 2026-6-26 | Use of RPNIs and Implanted Electrodes for Prosthetic Wrist and Multi-Grip Hand Control during Functional Tasks: A Case Study
[IEEE] 2026-6-26 | Region-based Progressive Alignment Network for Multimodal Remote Sensing Object Detection
[IEEE] 2026-6-26 | AvatarVTON: 4D Virtual Try-On for Animatable Avatars_supp1-3705812.pdf
[ACM] 2026-6-26 | A Performance-Portable, Massively Parallel Distributed Nonuniform FFT
[ACM] 2026-6-27 | POSTER: Hardware Acceleration for Graph Neural Networks
[ACM] 2026-6-27 | Quantum Walks for Collision-Based Information Set Decoding
[ACM] 2026-6-27 | BlockKD3A: A Web3-Native Framework for Decentralized Collaborative AI and User-Generated Model Assets
[IEEE] 2026-6-26 | Short Video Recommendations and Impulse Buying Intention Among University Students in Can Tho City, Vietnam
[IEEE] 2026-6-26 | Road Cleanliness Classification Using Deep Learning and Vision Transformer with LIME-based Explainability
[IEEE] 2026-6-26 | 6G Edge-Enabled Smart Museum System for Adaptive Navigation and Visitor Experience Optimization
[IEEE] 2026-6-26 | The Role of Digital Content and Digital Marketing Practices in Shaping Customer Engagement
[IEEE] 2026-6-26 | Cyber Security Challenges in Digital Banking: Perspectives from Financial Institutions and Customers
[IEEE] 2026-6-26 | Improved U-NET Based Deblurring for Dynamic Scenes
[IEEE] 2026-6-26 | Shaping AI-Based Energy-Efficient Buildings for Sustainable Cities
[IEEE] 2026-6-26 | IoT Based Smart EPS Lab Automation &amp; Energy Management System
[IEEE] 2026-6-26 | Enhancing Large Language Model (LLM) Reliability: A Comparative Analysis of RAPTOR, GraphRAG, and Agentic Strategies for Domain Specific QA
[ACM] 2026-6-26 | MMK: A Hybrid Scheduling Framework for Fine-Grained GPU Sharing for Deep Learning Applications
[IEEE] 2026-6-26 | Traversing the Untraversable: Enabling UAV Navigation in the Extremely Dense Wild by Contact-driven Adaptation_supp6-3705701.mp4
[IEEE] 2026-6-26 | Quantum Sensors: A Comprehensive Review and Future Perspectives
[IEEE] 2026-6-26 | A Multi-Modal Framework for Phage-Host Interaction Prediction Using Multi-View Contrastive Learning_supp1-3707293.docx
[IEEE] 2026-6-26 | Electrically Tunable Waveguide Digital Phase Shifter Based on Artificial Electromagnetic Materials
[IEEE] 2026-6-26 | Front Cover
[IEEE] 2026-6-26 | A Survey on 3D Gaussian Splatting Applications: Segmentation, Editing, and Generation_supp1-3704980.pdf
[IEEE] 2026-6-26 | Integrated Sensing and Communications in Low-Altitude Wireless Networks via Distributed Extremely Large-Scale Antenna Arrays
[IEEE] 2026-6-26 | Visible-to-Infrared Image Translation via Disentangled Imaging Attribute Transfer
[ACM] 2026-6-26 | An Algorithm for Feature Extraction from Large Scale Meteorological Data Stores on Irregular Grids
[IEEE] 2026-6-26 | Subwavelength-Thick Liquid-Crystal-Embedded Metal Meshes for Terahertz Retarder
[IEEE] 2026-6-26 | AD-DAE:
                    <b>A</b>
                    lzheimer's
                    <b>D</b>
                    isease Progression Modeling with Unpaired Longitudinal MRI using
                    <b>D</b>
                    iffusion
                    <b>A</b>
                    uto-
                    <b>E</b>
                    ncoders
[IEEE] 2026-6-26 | GEN-CSAF: A Generative Autonomy Framework for End-to-End Task Scheduling in Container-Based Systems_supp1-3707138.docx
[IEEE] 2026-6-26 | Table of Contents
[IEEE] 2026-6-26 | Toward Trustworthy Federated Unlearning for Mobile Autonomous Systems
[IEEE] 2026-6-26 | Real-Time Obstacle Detection and Motion Analysis for Visually Impaired Navigation with Audio Feedback
[IEEE] 2026-6-26 | Dynamic Line Modeling and Cyclic-Small-Gain Synthesis for Plug-and-Play Fault Detection in Islanded Microgrids
[IEEE] 2026-6-26 | Security Control of Switched T-S Fuzzy Systems Under Denial-of-Service Attacks
[IEEE] 2026-6-26 | A Low-Power 2
                    <sup>nd</sup>
                    -Order ΔΣ Modulator with a Single Current-Starving FIA
[IEEE] 2026-6-26 | Accelerated Safety Evaluation for Autonomous Vehicles Using Markov Chain Score Ascent-Based Adaptive Importance Sampling
[IEEE] 2026-6-26 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp4-3701298.mp4
[IEEE] 2026-6-26 | IoT-Based Real-Time Monitoring and Anomaly Detection in Smart Ports and Maritime Infrastructure
[IEEE] 2026-6-26 | Multimodal AI Model for Predicting System Performance Using Satellite Data, Weather Time Series, and Sensor Networks in Maritime Operations
[IEEE] 2026-6-26 | Hybrid Neural Architectures for E-commerce Personalization: Balancing Accuracy and Diversity through GNN-Transformer Integration
[IEEE] 2026-6-26 | Multilevel Converters for High Power Wind Energy Systems: A Review
[IEEE] 2026-6-26 | Machine Learning Algorithms for Adaptive Optimization of Industrial Automation Systems in Smart Factories
[IEEE] 2026-6-26 | Artificial Intelligence-Based Fractional Modeling for Solar and Wind Energy Forecasting in Smart Grids
[IEEE] 2026-6-26 | Implementation of Artificial Intelligence in the Accounting Context
[IEEE] 2026-6-26 | MRI Based Vision Transformer Framework for Brain Tumor Classification in Medical Imaging
[IEEE] 2026-6-26 | A Universal MMED-based Power Allocation Algorithm for NOMA Satellite-Terrestrial Networks
[IEEE] 2026-6-26 | An Active Cooling Method for Fast Actuation of a Millimeter-Scale Shape Memory Alloy-Based Bending Joint_supp1-3694411.mp4
[IEEE] 2026-6-26 | Healthy Limb Driven Prediction for Real Time Control of Unilateral Exoskeletons in Gait Rehabilitation
[IEEE] 2026-6-26 | Mapping of the Liao River Delta wetland from 2016 to 2024 based on the Dynamic Spatiotemporal Fusion Model
[IEEE] 2026-6-26 | MMGC-AttnNet: A Multi-level Multi-modal Cross-Attention Network for High-Resolution Remote Sensing Image Segmentation
[IEEE] 2026-6-26 | Informed-Exploration Reinforcement Learning for Automated Virtual Coronary Intervention Planning
[IEEE] 2026-6-26 | Mitigating Power Fluctuations of Large Language Model Training via Hybrid Energy Storage Systems in Renewable-Powered Computing Centers
[IEEE] 2026-6-26 | IEEE Robotics and Automation Society Information
[IEEE] 2026-6-26 | Analysis of Green Supply Chain Management Performance in UKM Tuna Tofu Processed Using the Green SCOR Method
[IEEE] 2026-6-26 | Hybrid CNN-Transformer model for early detection of powdery mildew in wheat using multispectral UAV imagery
[IEEE] 2026-6-26 | Local Mean RSS Estimation in Indoor Multipath Fading Channels
[IEEE] 2026-6-26 | Bridging Classical and Colloquial Bangla: Using Large Language Models for Sadhu–Cholit Register Classification
[IEEE] 2026-6-26 | SVM-Based Stress Detection in Nurses Using Wearable Physiological Sensor Data
[IEEE] 2026-6-26 | AZNet: An Efficient Convolutional Neural Network for Alzheimer's Disease Classification
[ACM] 2026-6-27 | Topology and Reliability Aware Qubit Mapping for Quantum Core Systems
[ACM] 2026-6-26 | Proceedings of the Platform for Advanced Scientific Computing Conference
[ACM] 2026-6-26 | Inline Lossy Compressed MPI Communications in GPU-based Plasma Turbulence Simulations
[ACM] 2026-6-27 | An Open-Source Distributed Simulation Framework for RISC-V Systems incorporating Vector and Cryptographic Extensions
[ACM] 2026-6-27 | SMX: A RISC-V ISA Extension for Scale-Adaptive Quantized Softmax
[ACM] 2026-6-27 | SABRE: A Compression-Aware BF16 Accelerator for Neuromorphic Attention
[IEEE] 2026-6-26 | A Multi-Modal AI Decision Framework for Video Content Moderation Using FNSS, Deep Learning, and NLP
[IEEE] 2026-6-26 | Gradient Boosting Model for Integrative Analysis of ECG and Clinical Data in Predicting Coronary Heart Disease
[IEEE] 2026-6-26 | An On-Device Deep Learning Framework for Real-Time Pothole Detection and Geo-Localized Road Condition Monitoring
[IEEE] 2026-6-26 | A Cause-Aware Graduation Outcome Prediction Framework for Academic Decision Support
[IEEE] 2026-6-26 | Edge AI system for real-time detection of Colorado potato beetle in potato fields using low-power embedded cameras
[IEEE] 2026-6-26 | Intelligent Medical Agent: Automatic Extraction and Structuring of Clinical Data from Voice
[IEEE] 2026-6-26 | From AI Enabled Upskilling to Employee Retention in Engineering Project Environments: Empirical Evidence from the Mekong Delta, Vietnam
[IEEE] 2026-6-26 | Machine Learning-Based Prediction of Emissions in Maritime and Transportation Systems Using Environmental Sensor Data
[IEEE] 2026-6-26 | Sheleen: Building the Bahasa Sug Language Model Using Recurrent Neural Networks
[IEEE] 2026-6-26 | Real-Time Adaptation and Continuous Learning in LLMs: A Systematic Review
[IEEE] 2026-6-26 | Personalized Outfit Color Recommendation Using Machine Learning and Virtual Compatibility Analysis
[ACM] 2026-6-27 | Fourth Workshop on Engineering Interactive Systems Embedding AI Technologies
[ACM] 2026-6-27 | Proceedings of the 8th Workshop on Modeling and Simulation of Software-Intensive Systems
[ACM] 2026-6-26 | COA-Tuning: Collaborative Adapter Tuning with Prompt Enhancement for Class-Incremental Medical Image Learning
[IEEE] 2026-6-26 | Improving Viewpoint Robustness for Visual Recognition via Adversarial Training_supp1-3705256.pdf
[IEEE] 2026-6-26 | AMBER: Robust Federated Learning Based on Client Verification
[IEEE] 2026-6-26 | A Propulsion System Integrated Inductive Wireless Charger for Electric Vehicles
[IEEE] 2026-6-26 | Towards a High-Throughput Automated Materials Experimentation Platform: Hybrid-Automata-Inspired Modeling and Equipment Configuration Optimization_supp1-3702087.mp4
[IEEE] 2026-6-26 | ATASR: Air-to-Air Scene Reconstruction
[IEEE] 2026-6-26 | SAA-U-Net: A Novel Architecture for Accurate QoT Prediction in Optical Networks
[IEEE] 2026-6-26 | An Overview of Potential Medical Applications of Microwave Kinetic Inductance Detectors
[IEEE] 2026-6-26 | Risk-Aware Link Adaptation Architecture for Ka-Band LEO Downlinks Under Ionospheric Disturbances
[IEEE] 2026-6-26 | Table of Contents
[IEEE] 2026-6-26 | Quad-Level Inshore Awareness for Automatic Marine Ship Surveillance Using Satellite SAR System
[IEEE] 2026-6-26 | Toward Intelligent Earth Observation: Hierarchical Feature Fusion and a Drone Dataset for UAV-Based Fire Detection_supp1-3702209.pdf
[IEEE] 2026-6-26 | MSAF-Net: An adaptive prediction model for shape parameters in MQ-RBF interpolation
[IEEE] 2026-6-26 | Spectrally-Enhanced Policy Gradient Reinforcement Learning for Maximizing Connectivity Robustness in Dynamic Communication Networks
[ACM] 2026-6-26 | Physics-Aware Multi-Task Learning for Atmospheric Turbulence Parameterization: Auxiliary Tasks versus Architectural Conditioning
[IEEE] 2026-6-26 | A Tri-branch Cascaded Context-aware Fusion Network for Multispectral Object Detection in Remote Sensing
[IEEE] 2026-6-26 | Decoding High-Rate Nodes in Polar Codes via Matrix Constraint
[IEEE] 2026-6-26 | Global gross primary production data fusion by Triple Collocation Analysis from 1992 to 2018_supp1-3707237.docx
[IEEE] 2026-6-26 | BERTO: Intent-Driven Network Time Series Forecasting via Natural Language Operator Preferences_supp1-3707434.pdf
[IEEE] 2026-6-26 | PersonalityLLM: A Zero-Shot Detection Method for Big Five Personality Traits From Social Avatars
[IEEE] 2026-6-26 | Evaluation Integrity in Hybrid Quantum-Classical Skin Lesion Classification: A Data-Leakage Audit and Lesion-Level Correction on HAM10000
[IEEE] 2026-6-26 | CaRLi-V: Camera-RADAR-LiDAR Point-Wise 3D Velocity Estimation_supp2-3702579.pdf
[IEEE] 2026-6-26 | IEC/IEEE International Standard Time-Sensitive Networking Profile for Industrial Automation
[IEEE] 2026-6-26 | Hadamard-Based Recursive Aperture Decoded Ultrasound Imaging (READI) With Estimated Motion-Compensated Compounding ( EMC ) Using Top-Orthogonal to Bottom Electrode (TOBE) Arrays_supp2-3704971.mp4
[IEEE] 2026-6-26 | Distributionally Robust Optimization for Location-Inventory-Allocation and Evacuation Planning Under Demand and Facility Disruption Uncertainties in Humanitarian Logistics
[IEEE] 2026-6-26 | Fault Tolerant Control for Heterogeneous UAVs-UGVs Coordinative System with Adaptive Safety Switching based on DMPC
[IEEE] 2026-6-26 | Torso-Mounted Pedestrian Dead Reckoning Using Nadir-Based Zero-Cycle Heading and Differential Accelerometry
[IEEE] 2026-6-26 | On the Assessment of the Field Radiated by Base station Antennas
[IEEE] 2026-6-26 | Rest Tremor and Dyskinesia Assessment in Parkinson’s Disease Using Wearable Sensors
[IEEE] 2026-6-26 | The Impact Of Accountability And Autonomy On The Efficiency Of Preparing And Implementing University Budgets
[IEEE] 2026-6-26 | Disease Identification Device for Tomato Health Monitoring Using Lightweight Convolutional Neural Networks
[IEEE] 2026-6-26 | Zero-Trust Security Architecture Powered by AI for Cloud Environment
[IEEE] 2026-6-26 | Travel Rover: A Personalized Tourist Itinerary Generation for Exploring the Philippines Using a Multi-agent System
[IEEE] 2026-6-26 | AI-Driven Digital Transformation of University Admission Systems: Overcoming Trust, Accessibility, and Equity Barriers in Online Enrollment Services
[ACM] 2026-6-27 | Ada-Store: An Adaptive Load-aware Hybrid Storage Architecture for Bursty Workloads
[ACM] 2026-6-27 | EnsembleHealer: Autonomous Recovery from Model Poisoning in Decentralized Federated Learning
[ACM] 2026-6-27 | Evaluating Real-Time Adaptive Interfaces through EEG-derived and Self-reported Mental Workload Indicators
[ACM] 2026-6-26 | A Taxonomy of Bad Practices in Software Performance Testing: Insights from Gray Literature and Practitioner Validation
[ACM] 2026-6-26 | Boosting DBMS Test Coverage via LLM-Driven SQL Generation
[ACM] 2026-6-26 | XOR Bidding and Knapsack Formulations for HPC Network Resource Allocation
[ACM] 2026-6-26 | A high-performance elliptic solver for plasma boundary turbulence codes
[IEEE] 2026-6-26 | Impact of Perceived Personalization AI on Advertisement Attitude Toward E-Shopping Intention in Mekong Delta
[IEEE] 2026-6-26 | Developing the work of government institutions in the field of future technology and artificial intelligence applications
[IEEE] 2026-6-26 | Machine Learning Based Real-Time Cyberbullying Detection in Multilingual-Mixed Language Tweets Using Federated Learning: A Systematic Review
[IEEE] 2026-6-26 | Performance Study of Supervised ML Algorithms for Bangla Fake News Detection with Low Resource Utilization
[IEEE] 2026-6-26 | A Comprehensive Review of DG Hosting Capacity in Modern Distribution Systems: Technical Barriers and Evaluation Techniques
[IEEE] 2026-6-26 | Digital Accounting Information Systems (AIS) Overview: A Conceptual Study
[IEEE] 2026-6-26 | A Lightweight Baseline-Relative Spectral Framework for Subject-Independent EEG Emotion Recognition on the DEAP Dataset
[IEEE] 2026-6-26 | Artificial Intelligence-Based Hybrid CNN–LSTM Framework for Predictive Analytics of Transformer Overheating Using IoT Sensor Data
[IEEE] 2026-6-26 | Seamless Integration and Implementation of Distributed Contact and Contactless Vital Sign Monitoring via Microwave Photonics
[IEEE] 2026-6-26 | DQN-Based Beam Tracking Using Reward-Aware Exploration Without Additional Signaling
[IEEE] 2026-6-26 | A Trustworthy Heterogeneous Ensemble Network Incorporating Multiple Clinical Features for Cirrhosis Staging Prediction in the Internet of Medical Things
[IEEE] 2026-6-26 | Reference-Channel-Free Passive Radar Imaging Employing Distributed Antennas
[IEEE] 2026-6-26 | Design and Experimental Evaluation of SINDy-Based Modeling and Adaptive NMPC for USVs
[ACM] 2026-6-27 | Parameter-Efficient and Imbalance-Aware Fine-Tuning for Rhetorical Role Classification in Legal Judgments
[ACM] 2026-6-27 | Compact Thermal and Power Models for Manycore Multichiplet Architectures: A Case Study on Intel Sapphire Rapids Processor
[IEEE] 2026-6-26 | On the Performance of THz Wireless Systems over $\alpha$-$\mathcal {F}$ Channels with Beam Misalignment, Mobility and Hardware Impairments
[IEEE] 2026-6-26 | Farsighted or myopic strategy in a low-carbon supply chain: the roles of government subsidies
[IEEE] 2026-6-26 | How Blockchain Technology Adoption Affects the Bullwhip Effect in Manufacturing Supply Chains: An Institutional Theory Perspective
[ACM] 2026-6-27 | Engineering Socially-Interactive AI
[ACM] 2026-6-26 | Accelerate Radiative Transfer Simulations for the Cosmic Epoch of Reionisation
[IEEE] 2026-6-26 | LENA: Llama-based Embeddings of Neutralized Assembly for Cross-compiler/optimization Binary Code Similarity Detection_supp1-3705321.pdf
[IEEE] 2026-6-26 | Collaborative Direct Model Predictive Control for Back-to-Back Converters With Enhanced Power Response and DC-Link Voltage Stability
[IEEE] 2026-6-26 | Mobile Pedipulation for Object Sliding Via Hierarchical Control on a Wheeled Bipedal Robot_supp1-3707348.mp4
[IEEE] 2026-6-26 | Cross-view Multimodal Vision-Based Assessment Framework for Traditional Chinese Medicine Rehabilitation Training_supp1-3705649.mp4
[IEEE] 2026-6-26 | Multi-Dimensional Excretion Perception Using a Laser Dot Matrix Sensor
[IEEE] 2026-6-26 | Front Cover
[IEEE] 2026-6-26 | Human-Voxel-Based Analysis of UWB TDoA Extraction Methods for Localization of the Wireless Capsule Endoscopy in an IoMT Environment
[IEEE] 2026-6-26 | Operator’s Perspective on 6G ISAC: From Standards to Services
[IEEE] 2026-6-26 | Pine Bark Adsorbents for Cerium(III) Removal from Water
[IEEE] 2026-6-26 | LSTM-Based Prediction of Environmental Dynamics for IoT-Driven Optimization in Maritime and Transportation Systems
[IEEE] 2026-6-26 | The role of Artificial Intelligence in Tax and Customs Administration
[IEEE] 2026-6-26 | Design for the Foot Robotic Lower Limb Prosthetic for Human/Humanoid Locomotion
[IEEE] 2026-6-26 | Edge computing architecture for real-time weed classification using UAV video streams
[IEEE] 2026-6-26 | Zero-Trust Security Architecture for Microservices-Based Software Systems
[ACM] 2026-6-26 | Introduction to the Special Issue on Query Performance Prediction
[ACM] 2026-6-27 | LLM-Driven Optimization for High-Level Synthesis
