[2026-08-11 22:41:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-10
正在获取论文...
[arXiv] 2026-08-10 | Carnot: Interpretable, Interactive, and Optimized Execution of Deep Research Queries
[IEEE] 2026-8-11 | Shielded Constrained Multi-Agent Reinforcement Learning for Risk-Aware Three-Dimensional Route Generation
[IEEE] 2026-8-11 | HAPS for Maritime Communications: Performance Comparison of Relaying Techniques
[IEEE] 2026-8-11 | Low-Cost Integrated Sensing and Communication System Design with Ultrasonic Sound Waves
[IEEE] 2026-8-11 | Comparative Analysis of 700 MHz and 2600 MHz Frequency Bands in Mobile Private LTE Networks in Terms of Performance Parameters
[IEEE] 2026-8-11 | Reducing the Price of Robustness: An Effective Uncertainty Set for Two-Stage Adaptive Robust Economic Dispatch of Smart Grids
[IEEE] 2026-8-11 | PMKS: Co-Designing Distributed Networking and Multi-Tier Storage for Ultra-Long Context LLM Inference
[IEEE] 2026-8-11 | Multi-Label Disease Detection in Chest X-Ray Images Using CheXFound: Loss Function Analysis
[IEEE] 2026-8-11 | Sample-Efficient Autonomous Surface Vehicle Navigation with Enhanced Experience Replay
[IEEE] 2026-8-11 | Deep Learning Approaches for Bearing Fault Diagnosis Using Motor Current Signals
[IEEE] 2026-8-11 | Efficient Optic Disc and Cup Segmentation for Glaucoma Assessment
[IEEE] 2026-8-11 | Geometry-Consistent Content-Aware Fusion for Lightweight Small-Object Detection in UAV Imagery
[IEEE] 2026-8-11 | Epileptic Seizure Detection via Dynamic Graph Learning in EEG Signals
[IEEE] 2026-8-11 | Fluid-Dynamic Optimization of Vertical Roller Mills
[IEEE] 2026-8-11 | Preventive Maintenance Diagnostics of Fabric Filters for Better Emissions Compliance in Cement Manufacturing
[IEEE] 2026-8-11 | Optimal Neural Network Hyperparameter Consideration through Digital Predistortion in RF Power Amplifiers
[IEEE] 2026-8-11 | Instruction-Tuned Translation Language Model Focused On Turkish
[IEEE] 2026-8-11 | Flexural Behavior of Reinforced Concrete Beams Incorporating Recycled Concrete Aggregate
[IEEE] 2026-8-11 | Spatio-Temporal Time Series Forecasting with Graph-Enhanced Embeddings
[IEEE] 2026-8-11 | AI-Driven Smart Governance and Religious Values: Implications for Crisis Management and Institutional Stability in Indonesia
[IEEE] 2026-8-11 | PEDETR: Scale-Aware Small Object Detection for Remote Sensing Images
[IEEE] 2026-8-11 | Learning Discrete Relational Symbols for Compound Object Affordances
[IEEE] 2026-8-11 | Detecting Unusual Behaviour in Wireless Networks Using Artificial Intelligence: A Comparative Study on the AWID3 Dataset
[IEEE] 2026-8-11 | A CMC-Na/PAAm/MWCNT Flexible Piezoresistive Conductive Hydrogel Sensor for Steering-Wheel Grip-Behavior Monitoring
[IEEE] 2026-8-11 | Detection of Malicious HTTP Traffic Using Large Language Models
[IEEE] 2026-8-11 | H-2-D-Fossilize: A Project Concept for a Total De-Fossilization of Clinker Production Process of a Cement Plant
[IEEE] 2026-8-11 | Modeling Tailed Dependencies in Driving Scenarios with Student's t Mixture Copula
[IEEE] 2026-8-11 | Author Index
[IEEE] 2026-8-11 | Geometry-Consistent Safety Shaping for PPO-Based Multi-UAV Formation Assembly
[IEEE] 2026-8-11 | Optimization Study of Temperature Rise in Heavy-Duty Truck Start-Stop Batteries Under Extreme Cold Conditions Based on Thermal Simulation
[IEEE] 2026-8-11 | Self-Supervised Poisson Denoising in Biomedical Imaging: Edge-AI Verification of Deep Unrolling Architectures
[IEEE] 2026-8-11 | Performance Evaluation of Different FDA-MIMO Radar Systems in terms of Multi-Target Separation Capability
[IEEE] 2026-8-11 | A Spatio-Temporal Multimodal Framework for Fine-Grained Tor Entry Traffic Identification
[IEEE] 2026-8-11 | SIU 2026 Author Index
[IEEE] 2026-8-11 | AI-Driven Structural Health Monitoring of Reinforced Concrete Using Multimodal Sensor Fusion
[IEEE] 2026-8-11 | Blow-up of solutions of the porous medium equation with reactions and its control implications
[IEEE] 2026-8-11 | Optimizing Raw Material Storage: A Case Study in the Rubber Wheel Manufacturing Industry
[IEEE] 2026-8-11 | A Small Sample Load Forecasting Method Based on Hierarchical Data Ensemble Transfer Learning
[IEEE] 2026-8-11 | Performance Analysis of Different Channel Coding Techniques Under Turbidity Effects in Underwater Optical Channels
[IEEE] 2026-8-11 | Real-World Masked Face Authentication Based on an Occlusion-Aware Template-Query Matching Network
[IEEE] 2026-8-11 | Bridging the Pension Knowledge-Action Gap: Behavioral Analytics and Workforce Resilience
[IEEE] 2026-8-11 | Low Earth Orbit-Supported Non-Terrestrial Networks in 6G: Challenges and Future Research Directions
[IEEE] 2026-8-11 | Feature Interaction-Based Blood Cell Classification: A Comparative Study of Machine Learning and Ensemble Methods
[IEEE] 2026-8-11 | Contrastive Wrong-Label Evaluation of Signal Grounding vs. Template Parroting in LLM-Based Bearing Fault Explainers
[IEEE] 2026-8-11 | Mental Health Disorder Detection in a Low-Resource Language: A Case Study on Turkish Social Media Text
[IEEE] 2026-8-11 | Research on Vehicle Trajectory Tracking Anti- Disturbance Control Based on Model Predictive Control
[IEEE] 2026-8-11 | An Efficient Technique for Low Rank and Sparse Decomposition of Matrices
[IEEE] 2026-8-11 | GWO-Based Hybrid Precoding Optimization for Indoor THz-RSMA Systems Under Practical Impairments
[IEEE] 2026-8-11 | LGF-RTDETR: A Lightweight Local-Global Fusion Framework with Real-Time Transformer to Detect Small Objects in Remote Sensing
[IEEE] 2026-8-11 | SRBH-DiffFuse: SRBH-Guided Diffusion for Infrared-Visible Image Fusion
[ACM] 2026-8-11 | Poster: One-Prompt Censorship Evasion via Generative Diffusion Models
[IEEE] 2026-8-11 | THz-TSI: A Terahertz Wireless Through-Silicon Interconnect Module for Advanced 3-D Integration Applications
[IEEE] 2026-8-11 | An 82-Gb/s/mm Transceiver Using Codebook-Based CNRZ-7 Signaling and CM-to-DM Noise Reduced AFE for High-Density Transmission in 28-nm CMOS
[IEEE] 2026-8-11 | Reduced-Order Extended State Observer Based Adaptive Dynamic Surface Control for Dual-Points Levitation System of High-Speed Maglev
[IEEE] 2026-8-11 | Retraction Notice: Database Training: Requirement to Exploitation in Hyperspectral Imagery
[IEEE] 2026-8-11 | Improving UAV-derived nearshore bathymetry using geospatial machine learning
[IEEE] 2026-8-11 | Statistical Channel Fingerprint Construction for Massive MIMO: A Unified Tensor Learning Framework
[IEEE] 2026-8-11 | Bottom Door State Estimation for Coal Hopper Wagons: A Recursive Kalman Filtering Algorithm Under Amplify-and-Forward Relays and Deception Attacks
[IEEE] 2026-8-11 | Modulating Retroreflector-Aided UAV-Based FSO/QKD Systems
[IEEE] 2026-8-11 | Retraction Notice: EPNet: Efficient Patch-based Deep Network for Real-Time Semantic Segmentation
[IEEE] 2026-8-10 | MISA: Multi-Frame Infrared Spatiotemporal Aggregation for Small Target Detection under Imperfect Inter-Frame Correspondence
[IEEE] 2026-8-11 | Retraction Notice: Diagnosis of Alzheimer Disease using Classification Algorithms
[IEEE] 2026-8-11 | Design and Analysis of a Dual-Rotor 10-X Double-Sided Axial-Flux Variable-Reluctance Resolver with Robust Performance
[IEEE] 2026-8-11 | A Fine-grained Data Reconstruction Framework for Sparsely Sampled Industrial Time-Series
[IEEE] 2026-8-11 | Multinomial Logistic Regression for Interpretable Multiclass Decision Systems: A Systematic Review and Integrated Research Framework_supp1-3721823.xlsx
[IEEE] 2026-8-11 | Label Distribution Enhancement-Based Label Completion for High-Noise-Ratio Crowdsourcing
[IEEE] 2026-8-11 | A Hierarchical K-D Tree-Based SBR Method for Fast Prediction of Electromagnetic Scattering From Swarm Targets
[IEEE] 2026-8-11 | Beamforming and Irregular Tiled Array Design for LEO Satellite Communications
[ACM] 2026-8-11 | Prefetching for Short Video Streaming: Experiences from a Longitudinal Evolution at Planetary Scale
[ACM] 2026-8-11 | Explainable Network Verification via Localized Subspecification
[IEEE] 2026-8-11 | A Lumped RC Equivalent Circuit of Head Tissues for Dispersive Neuro-Electromagnetic Modeling
[IEEE] 2026-8-11 | Design of a Novel Skin Disease Classification Model Using GA-CNN Hybrid Model
[IEEE] 2026-8-11 | Artificial Intelligence for Multi-Hazard Disaster Preparedness and Response
[IEEE] 2026-8-11 | HMM-Based Framework for Proactive Web Application Vulnerability Detection
[IEEE] 2026-8-11 | Neural Operators for Modeling of Neuronal Electrophysiological Dynamics under Complex Stimulation
[IEEE] 2026-8-11 | Integrated PCA and Random Forest Modelling for Understanding SHG Governance and Empowerment
[IEEE] 2026-8-11 | A SAR Time-to-Digital Converter Embedding Time-Domain Noise-Shaping Self-Calibration
[ACM] 2026-8-11 | From Nimitz to NetPila: The Evolution of Production-Scale Container Network
[IEEE] 2026-8-10 | EITCE 2026 Content Announcement Page
[IEEE] 2026-8-10 | Different Adaptive Bandwidth Extended State Observers for Stability Control of Hybrid Aquatic-Aerial Robot
[IEEE] 2026-8-10 | Energy-Carbon Synergistic Configuration of Hydrogen-Ammonia Storage in Renewable Energy Bases: A Variable Time-Scale Decoupling Approach
[ACM] 2026-8-10 | Application-Driven System Technology Co-Optimization for 2.5D Edge AI Platforms
[ACM] 2026-8-10 | FM-CAC: Carbon-Aware Control for Battery-Buffered Edge AI via Time-Series Foundation Models
[IEEE] 2026-8-10 | Consensus-Driven Distillation for Trustworthy Explanations in Self-Interpretable GNNs
[IEEE] 2026-8-10 | Fine-Grained Semantic-Guided Image Super-Resolution
[ACM] 2026-8-11 | DWasm: Portable Debugging for the Web
[ACM] 2026-8-11 | End-User Programming Literacy in the Generative AI Age
[IEEE] 2026-8-10 | A Model Predictive PI Control Strategy for CC/CV Charging in a LCC-LCC Compensated EV Static Wireless Power Transfer System
[IEEE] 2026-8-10 | DACT: A Dual-Attention Encoder with Calendar Tokens for Microgrid Load and Import Forecasting
[IEEE] 2026-8-10 | Real-Time Water-Surface Floating Object Detection on RV1126
[IEEE] 2026-8-10 | PGFDepth: Prompt-guided Gated Fusion for Robust Depth Estimation
[IEEE] 2026-8-10 | Designing an Optimized Metaverse for Immersive Johor Cultural Heritage Tourism
[IEEE] 2026-8-10 | A Coverage Path Planning Algorithm Intergrated with Reinforcement Learning
[IEEE] 2026-8-10 | Research and design of multimodal data-driven AI Intelligent diagnosis system for tongue diagnosis of traditional Chinese Medicine
[IEEE] 2026-8-10 | ML approach for predicting the properties of ceramic products
[IEEE] 2026-8-10 | An Adaptive VMD Method for Single-Channel Underdetermined Blind Source Separation Guided by K-Means Clustering
[IEEE] 2026-8-10 | Query Optimization: Lightweight Reinforcement Learning for SQL Join Optimization
[IEEE] 2026-8-10 | A Data-Driven State-Derivative-Aware Neural Controlled Differential Equation Framework for Multi-Sensor Bearing Fault Diagnosis
[IEEE] 2026-8-10 | A Method for Automatic Recommendation of AI Course Inquiry Templates on the Power Grid PC Platform Based on Multimodal Semantic Parsing
[IEEE] 2026-8-10 | Real-Time Traffic Data Acquisition, Transmission, and Visualization Test System Based on Physical-Virtual Integration
[IEEE] 2026-8-10 | Conditional Denoising Diffusion Probabilistic Models for Indoor Scene Generation: A Comparative Study on the Habitat Dataset
[IEEE] 2026-8-10 | Research on vehicle safety early warning technology in intelligent transportation system
[IEEE] 2026-8-10 | Scan-Specific Hash-Based Parallel MRI Reconstruction Network
[IEEE] 2026-8-10 | Data Augmentation and Vision-Language Pre-trained Model Transfer for Data-Scarce Disaster Scene Image Classification
[ACM] 2026-8-10 | BB-CIM: A Back-Bias Tuned Analog Compute In-Memory in 22nm FD-SOI for Improved Power-efficiency
[ACM] 2026-8-10 | Nest: Adaptive Tree-Graph Vector Database for Energy-Constrained Edge Devices
[ACM] 2026-8-10 | Exploiting Data Truncation for Lifetime Extension in ORB Accelerators
[IEEE] 2026-8-10 | Vertical GaN Trench MOSFET at Cryogenic Temperatures: Interface Engineering and Physics-Based Modeling
[IEEE] 2026-8-10 | Simulation and Characterization of Cooled Silicon Bolometers for the B-BOP SPICA Polarimetric Camera Instrument
[IEEE] 2026-8-10 | Table of Contents
[IEEE] 2026-8-10 | HGKAN: Hypergraph Kolmogorov-Arnold Networks for Interpretable Prediction of Herb–Symptom Associations
[IEEE] 2026-8-10 | High Frame Rate iToF-Flow-Based Depth Imaging Enabled by Local Linear Transfer
[IEEE] 2026-8-10 | CPAD: Cross-Modal Physics-Aware Disentanglement for Robust Acoustic Sensing in Gesture Recognition
[IEEE] 2026-8-10 | Drone Sound Source Localization Using Distributed Microphone Arrays
[IEEE] 2026-8-10 | Geo-Distributed Workload Scheduling of Cloud Data Centers through Consensus-Based Asynchronous Decentralized Algorithm_supp1-3721771.pdf
[ACM] 2026-8-10 | Open Challenges for Secure and Scalable Wi-Fi Connectivity in Rural Areas
[IEEE] 2026-8-10 | GCR-RL: Gradient Control Reward Shaping for Reinforcement Learning
[IEEE] 2026-8-10 | Copyright Page
[IEEE] 2026-8-10 | Understanding the Behavioral Intention of Generative AI among Art and Design Students: An Integrated Framework of Self-Determination Theory and Technology Acceptance Model
[IEEE] 2026-8-10 | Methodology and Case Study of Energy Efficiency Retrofit Measurement and Verification (M&amp;V) for Data Centers Based on Standard Framework
[IEEE] 2026-8-10 | Zero-Output Temperature Compensation Method for a MEMS Electric-Field Sensor Based on GA-LSSVM
[IEEE] 2026-8-10 | A fault detection and location method for HVDC transmission lines based on distributed multi-pulse sources
[IEEE] 2026-8-10 | Design and Implementation of a Cloud-Based Remote Monitoring and Prediction System for Greenhouse Environments
[IEEE] 2026-8-11 | Ultrawide Bandgap Semiconductors: State of the Art and Technological Challenges
[IEEE] 2026-8-11 | BoxSegUS: A Spatial Consistency Box Supervised Multi-Class Segmentation with Prior and Boundary Constraint for Ultrasound Images
[IEEE] 2026-8-10 | Physics-Guided FE Surrogate CDNN with Grouped Attention and Monotonicity Constraints for Solder Joint Thermal Fatigue Life Prediction
[IEEE] 2026-8-10 | Simultaneous State and ZMP Tracking Model Predictive Control for Balanced Quadrupedal Gaits
[IEEE] 2026-8-10 | On Asynchronous Bipartite Consensus Over Quasi-Structurally Balanced Signed Networks
[IEEE] 2026-8-11 | Relation-aware Domain Alignment and Pseudo-labeling for Cross Domain Object Detection
[IEEE] 2026-8-11 | Reliability and Traffic Aware Resource Allocation for UAV-assisted Vehicular O-RAN
[IEEE] 2026-8-11 | Retraction Notice: A Review on Detection and Analysis of Psychological Disorders Using Machine Learning
[IEEE] 2026-8-11 | Hawk-Pigeon Potential Game Collaborative Control for MAV-UAV Swarm Formation
[IEEE] 2026-8-11 | Automated Leaf Disease Classification via Three-Way Information-Guided Knowledge Distillation with Feature Interaction Maximization
[IEEE] 2026-8-11 | Compressed Sensing via Sequential Majorization-Minimization and Collaborative Neurodynamic Optimization_supp1-3710065.pdf
[IEEE] 2026-8-11 | Structure Pruning with LLMs for Knowledge Graph Question Answering
[IEEE] 2026-8-11 | Distributional Deep Reinforcement Learning for Adaptive Dosing in Combined Chemotherapy and Anti-Angiogenic Therapy
[IEEE] 2026-8-11 | Retraction Notice: Analysis of Predicting Bitcoin Price using Deep Learning Technique
[IEEE] 2026-8-10 | An Alternating Iterative Optimization Method for Sparse Arrays in Distributed Arrays
[IEEE] 2026-8-11 | Noise Unknown EM Based Transfer Identification for Dynamic Systems With Limited Target Data
[IEEE] 2026-8-11 | A Drug-Target Affinity Prediction Model Based on Bayesian Meta-Learning and Uncertainty Fusion
[IEEE] 2026-8-11 | Driver Fatigue Estimation Using Multimodal Deep Learning with EEG and EOG Signals
[IEEE] 2026-8-11 | Raw-Observation-Based Monitoring and Evaluation of Smartphone GNSS Positioning Performance for Urban Service Domains
[IEEE] 2026-8-11 | Comparison of Slow-Time Coded MIMO and Phased Array Radar Systems Under Phase Noise
[IEEE] 2026-8-11 | Renewable Power Scenario Generation With WGAN-GP and Transformer
[IEEE] 2026-8-11 | Learning Hierarchies in Robotic Manipulation: Asymmetries in Sequential Pushing and Grasping
[IEEE] 2026-8-11 | Early Fire and Smoke Detection for Small-Scale Objects Using YOLOv8
[IEEE] 2026-8-11 | An FPGA Accelerator Based on Improved ACO for Real-Time Dispatch of DG-Integrated Networks
[IEEE] 2026-8-11 | Explainable AI-Based Credit Default Risk Modeling on Multi-Table Data
[IEEE] 2026-8-11 | Hardware-Aware Federated Learning for Speech Emotion Recognition
[IEEE] 2026-8-11 | Key Technologies for Anti-icing and De-icing of Transmission Lines
[IEEE] 2026-8-11 | Microcarrier Cell Sheets from Decellularized Tissue for Articular Cartilage Regeneration
[IEEE] 2026-8-11 | A Residual U-Net GAN Framework for Robust Segmentation of Cardiac MRI
[IEEE] 2026-8-11 | Adoption of Blockchain Technology in Micro, Small, and Medium Enterprises Business Dynamics: A Literature Review
[IEEE] 2026-8-11 | Investigation of Concentrated Power Ultrasonic Transducers' Electro-Mechanical Characteristics with Comsol Multiphysics Software
[IEEE] 2026-8-11 | Sleep-Enabled LoRaWAN Gateway via Spreading-Factor Clustering
[IEEE] 2026-8-11 | Evolution and Future Prospects of Cloud Computing for Machine Learning: Innovations, Challenges and Emerging Trends
[IEEE] 2026-8-11 | Robust Trajectory Tracking of an Underwater Robot via Disturbance-Observer-Based Adaptive Sliding Mode Control
[IEEE] 2026-8-11 | 3D Path Following of Underactuated AUV via Line-of-Sight Guidance and Backstepping Control
[IEEE] 2026-8-11 | An intelligent home drain pipe cleaning system based on MCU STM32
[IEEE] 2026-8-11 | Channel-Aware Lightweight Neumann Unfolding Network for MIMO Detection over Correlated Channels
[IEEE] 2026-8-11 | The Effect of Freezing and Thresholding Selection in Transfer Autoencoders on Time Series Anomaly Detection
[IEEE] 2026-8-11 | Optimal Iterative Learning Control with Neighboring Correction for Multi-Agent Systems
[IEEE] 2026-8-11 | PPO-Based JPEG Quantization Table Optimization
[IEEE] 2026-8-11 | A Lightweight Hybrid Encryption Architecture for High-Telemetry Constrained IoT Devices
[IEEE] 2026-8-11 | Input Quality Validation for Clinical NLP Tradeoffs Between Accuracy and Latency
[IEEE] 2026-8-11 | Design of an Edge-Computing-Based Embedded Real-Time Wireless Signal Processing System
[IEEE] 2026-8-11 | Data-Driven Governance and Stakeholder Mapping in Edutourism Development: Evidence from Abandoned Oil Wells in Blora
[IEEE] 2026-8-11 | Alzheimer-OCT Dataset and Detection of Alzheimer’s Disease using Deep Learning
[IEEE] 2026-8-11 | Multi-source Remote Sensing Image Classification Based on Differential Feature Extraction and Cross-Attention
[IEEE] 2026-8-11 | Classification Model Selection Using a Mahalanobis Based Multi Criteria Decision Making Metric
[IEEE] 2026-8-11 | Research on temperature closed-loop control and thermoelectric coupling simulation of hightemperature superconducting cables
[IEEE] 2026-8-11 | Knowledge-Enhanced Graph Neural Network for Traffic Flow Prediction
[IEEE] 2026-8-11 | FS-RTDETR: An Enhanced RT-DETR for Infrared LSS Target Detection
[IEEE] 2026-8-11 | A Comparative Study of Embedded and Client- Server DBMS (SQLite, MySQL, and PostgreSQL) in Edge-Cloud Smart City and Digital Twin Systems
[IEEE] 2026-8-11 | Zero-Shot versus Few-Shot Prompting for Complex Intent Recognition in E-Commerce Dialogue Systems: An Evaluation on an Adversarial Dataset
[IEEE] 2026-8-11 | Research on Key Technologies of Large-Capacity Long-Distance Power Transmission
[IEEE] 2026-8-11 | FUSE-RAG: A Unified Architecture for Retrieval-Augmented Generation
[IEEE] 2026-8-11 | Soybean Seeds Quality Identification Through Image Classification Using Machine Learning
[IEEE] 2026-8-11 | Automated Medical Information Retrieval via Agentic Filter-and-Refine Pipeline
[IEEE] 2026-8-11 | Prediction Method for Circuit Breaker Contact Ablation State Based on Dynamic Resistance and Arc-Contact Vibration Features
[IEEE] 2026-8-11 | Public Sentiment of Indonesian Society Toward the Coretax Application
[IEEE] 2026-8-11 | Assessing the Impact of Foundation Model Features and MIL Aggregators for HER2 Status Prediction from Whole-Slide Images
[IEEE] 2026-8-11 | Attention-Guided Deep Learning for Brain Tumor Biopsy
[IEEE] 2026-8-11 | 2026 34th Signal Processing and Communications Applications Conference (SIU)
[IEEE] 2026-8-11 | Attention Guided Hybrid CNN Transformer Framework for Multi Disease Detection and Severity Stratification
[IEEE] 2026-8-11 | Resource and Location Optimization with GA in UAV-Supported Multicellular Networks: A Comparison of Greedy and Local Search
[IEEE] 2026-8-11 | Target Localization for Robotic Arm Grasping Based on Deep Reinforcement Learning
[IEEE] 2026-8-11 | An End-to-End Machine Learning Framework for Credit Card Fraud Detection Using Imbalance Handling and Ensemble Models
[IEEE] 2026-8-11 | Research, Design, and Fabrication of a Drop-Test Device for Evaluating the Damping Characteristics of Motorcycle Shock Absorbers: A Comparative Study Between Brand-New and 3-Year Service States Under Vietnam's Climatic Conditions
[IEEE] 2026-8-11 | Comparative Performance Analysis of Deep Learning Architectures for Oral Cancer Detection Using Histopathological Images
[IEEE] 2026-8-11 | Comparison Analysis of Deep Learning, Classical ML and Hybrid Models for American Sign Language Alphabet Recognition
[ACM] 2026-8-11 | LEVELLER: Fair Communication Scheduling via Progress-Rate Awareness in Multi-Tenant Training Clusters
[ACM] 2026-8-11 | Accelerating Resilient Geo-Distributed LLM Training via Photonic-Computing-Assisted Vandermonde-Orthogonal Multiplexing
[ACM] 2026-8-10 | Steering AI Tutors Through System Prompts: A Crossover Study on Self-Regulated Learning and Cognitive Engagement Scaffolds in CS1
[ACM] 2026-8-10 | Recursion vs Iteration: Activity-Sensitive differences across Use–Modify–Create Tasks in CS1
[IEEE] 2026-8-10 | TriPST-Net: Phase-Aware Lightweight Tri-Branch Spatio-Temporal Graph Neural Networks for Traffic Sequence Forecasting
[IEEE] 2026-8-10 | Automated Heuristic Generation with Large Language Models for 3D UAV Inspection Routing
[IEEE] 2026-8-10 | Skeleton-Based Action Recognition for Complex Dance Motion Using Graph Neural Networks
[IEEE] 2026-8-10 | Alert: An Augmented Reality Intelligent Learning System for Environmental Robotics Education
[IEEE] 2026-8-10 | Industrial Big Data-Oriented Missing-Aware Intelligent Fault Diagnosis Under Incomplete Vibration Signals
[IEEE] 2026-8-10 | TGFS-YOLONet: Frequency–Spatial Dual-Enhancement Network for Tea Geometrid Detection in Complex Tea Plantation Backgrounds
[IEEE] 2026-8-10 | TinyCAN-LLM: A Lightweight Language Model Framework for CAN Bus Intrusion Detection in Internet of Vehicles
[IEEE] 2026-8-10 | YOLOv11s-ARC: A Lightweight Detector for Insulators and Anomalies on Transmission Lines
[IEEE] 2026-8-10 | Distilling Domain Knowledge into Smaller LLMs using RAG-Assisted Fine-Tuning
[IEEE] 2026-8-10 | MoneyQuest: A Gamified Life-Scale Personal Finance Platform with AI Driven Coaching and Embedded Tax Compliance
[IEEE] 2026-8-10 | An Optimal Configuration Method of the Hybrid Energy Storage System for Zero-Carbon Power Systems Based on Improved Particle Swarm Optimization Algorithm
[IEEE] 2026-8-10 | Intellectual Smart Hybrid AI System for Real-Time Threat Intelligence in the Internet
[IEEE] 2026-8-10 | Data-Driven Collaborative Perception and Predictive Control for Humanoid Robot Swarms in Unstructured Environments
[IEEE] 2026-8-10 | Design of an 80-Channel High-Precision Frequency Meter Based on FPGA Quadrature Phase Interpolation
[IEEE] 2026-8-10 | Free Component Analysis-Based Non-Invasive Power Decomposition for Enhanced Grid Situation Awareness
[IEEE] 2026-8-10 | A DSL-Based Agent Framework for Reliable LLM Arithmetic using Model Context Protocol
[IEEE] 2026-8-10 | A Study on the Optimization of the XGBoost Model for Short-Term Traffic Flow Forecasting
[IEEE] 2026-8-10 | DCE: Dual Clustering for Temporal Heterogeneity and Channel Correlation in Multivariate Time Series Forecasting
[IEEE] 2026-8-10 | Knowledge Distillation and Improved ViT Based Disease Recognition of Apple Leaf
[IEEE] 2026-8-10 | Adapting FlexLLMGen to Qwen3 Dense and Mixture-of-Experts Models
[IEEE] 2026-8-10 | Self-Supervised Hybrid Vision Transformer with Adaptive Token Selection for Early Lung and Colon Cancer Detection
[IEEE] 2026-8-10 | Federated Learning Computational Cost Analysis
[IEEE] 2026-8-10 | A multi-modal missing bearing fault diagnosis method based on missing proxy and multi-constraint learning
[IEEE] 2026-8-10 | Lifecycle Energy Reduction for Spatio Temporal GNNs via Sparse Aware Training and Continual Learning
[IEEE] 2026-8-10 | Explainability-Driven Decision Gating for Risk-Controlled Algorithmic Trading
[IEEE] 2026-8-10 | Gain Improvement of Antenna-Radome System Based on Phase Compensation Scheme Using Transmissive Metasurface
[IEEE] 2026-8-10 | Research on Industrial Weld Defect Detection Based on EfficientNetB0 and Spatial Attention Mechanism
[ACM] 2026-8-10 | From Trust to Lock-In: Human-Centered AI for Understanding Investment Fraud Narratives in Indian Digital Communities
[IEEE] 2026-8-10 | An Adaptive Dead-Time Control Strategy for Soft-Switching Three-Phase Inverter Based on SiC MOSFET Turn-Off Transient Model
[IEEE] 2026-8-10 | Lightweight Convolutional Neural Networks for Wheat Disease Detection and Classification: A Review and Comparative Study from Field to Storage
[IEEE] 2026-8-10 | Steering Committee
[IEEE] 2026-8-10 | Event-Triggered Output Feedback Lyapunov-Based Distributed Model Predictive Control for Large-Scale Nonlinear Systems
[IEEE] 2026-8-10 | Pathfinder: Efficient Snow Depth, Stratigraphy and Uncertainty Determination From Radar Measurements
[IEEE] 2026-8-10 | Bidirectional Resonance Wireless Power Transfer Module for Portable Devices
[IEEE] 2026-8-10 | Extending the Linear Modulation Range of a Nine-Level Inverter Drive Fed From a Quasi-Square Wave Inverter and a Switched Capacitor Sourced Inverter From the Other End as a Harmonic Filter
[IEEE] 2026-8-10 | Derivative-Free Emergent Optimization via Local Rules and Cellular Automata
[IEEE] 2026-8-10 | Single-Phase Power Electronics Transformer with Wide Input Range Voltage Regulation and High Power Density Capability
[ACM] 2026-8-10 | Vector-Space Projection and Unified Complex-Valued Acceleration for Scaling Matrix-Based Brain-Inspired Representations
[ACM] 2026-8-10 | Demo Abstract: An Energy-Efficient Crossbar-Free Oscillatory Neural Network Accelerator for Near-Sensor Edge AI
[IEEE] 2026-8-10 | Low-Profile Circularly Polarized Dielectric Patch Antenna and Array for Millimeter-Wave Bands
[IEEE] 2026-8-10 | Guest Editorial: T-ED Special Issue on Reliability of Advanced Nodes
[IEEE] 2026-8-10 | IEEE Open Access Publishing
[IEEE] 2026-8-10 | Three-Dimensional Surrogate Modeling and Extrapolation Based on Physics-Aware Machine Learning
[IEEE] 2026-8-10 | DeepBSS++: A Hybrid Framework Integrating Transfer Learning, Spatiotemporal Transformers, and Graph Neural Networks for Blind Source Separation of Electroencephalogram Signals
[IEEE] 2026-8-10 | EDRIC: Embracing 1D Autoencoder for Real-time Lossy LiDAR Reflectance Compression_supp1-3719469.pdf
[IEEE] 2026-8-10 | Compact High Turns Ratio Superconducting Transformer: Comparison between Cu and REBCO winding materials
[IEEE] 2026-8-10 | Slant-Precoded OTFS-Like Waveform for PAPR Reduction under Affine Doppler Drift
[IEEE] 2026-8-10 | Quantitative synthetic aperture radar inversion
[ACM] 2026-8-11 | Fabric-Native Hardware Assurance for AI Infrastructure
[ACM] 2026-8-11 | Poster: EPIC - When Learners Disagree, Campaigns Speak; Perceiving Structure in Unfolding SSH Episodes
[ACM] 2026-8-11 | Networked Agent Memory and Causality Representation: Experiences towards Interpretable Cloud-Scale Root-Causing
[ACM] 2026-8-11 | TurboBus: Pooling PCIe Bandwidth for LLM Workloads via Scale-Up Fabrics
[ACM] 2026-8-11 | Anytest: Localizing the Root Cause of Hardware Transport Performance Anomalies
[IEEE] 2026-8-11 | Copyright Page
[IEEE] 2026-8-11 | Urban Expansion Monitoring Using Integrated SAR and Optical Remote Sensing Data
[IEEE] 2026-8-11 | FedMineMT: Personalized Federated Learning with Local EMA Teachers for Robust Foreign Object Detection in Coal Mines
[IEEE] 2026-8-11 | Fault Detection on Electronic Boards with MSPRT
[IEEE] 2026-8-11 | Explainable AI-Based Phishing Website Detection Using Feature-Driven Analysis
