[2026-04-06 22:37:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-05
正在获取论文...
[ACM] 2026-4-6 | Learner-Customized Algorithm Visualization Using Generative AI
[IEEE] 2026-4-6 | Quasi Colored Noise Models And Their Amplitude Distributions
[IEEE] 2026-4-6 | Design and Development of the Food Expiration Reminder Application Based on the Theory of Planned Behavior as an Innovative Solution to Reduce Food Waste
[IEEE] 2026-4-6 | A Conceptual ARP-Based Framework for DHCP IP Address Recovery in ICMP-Restricted Environments
[IEEE] 2026-4-6 | ILSMPA: An Iterated Local Search Marine Predators Algorithm for AUV Magnetic Calibration
[IEEE] 2026-4-6 | ChargeX: Exploring State and Rate Attacks in Electric Vehicle Charging Systems
[IEEE] 2026-4-6 | Manufacturers' Vertical Integration Strategies in Chain-to-Chain Competition with Downstream Risks and Upstream Innovation
[IEEE] 2026-4-6 | SemanticAction: a Semantic-Driven and Behavior-Aware Password Framework for Adaptive VR Authentication under Observation Attacks
[IEEE] 2026-4-6 | Retraction Notice: A Graphic Model, Simulators and Formal Evaluation of Protocols For Wireless Communication
[IEEE] 2026-4-6 | GVF-MPC Depth Control Framework Motivated by Restoring-Moment Mechanism Analysis for Bionic Robotic Fish
[IEEE] 2026-4-6 | FPGA IMPLEMENTATION of NLMS and VSLMS ALGORITHMS for UNDERWATER ACOUSTICS APPLICATIONS
[IEEE] 2026-4-6 | Federated Digital Twin with Spatio-Temporal Learning and Post-Quantum Security for Robust IIoT Anomaly Detection
[IEEE] 2026-4-6 | FUSION Dialogue System for Fuzzy Rule Matching
[IEEE] 2026-4-6 | Semantic Image Synthesis via Diffusion Models
[IEEE] 2026-4-6 | Table of Contents
[IEEE] 2026-4-6 | A Novel Adaptive TSCH-MAC Protocol for Industrial IoT: Enhancing Efficiency via Topology, Trust, and Data Diversity
[IEEE] 2026-4-6 | Autonomous Robotic Liver Ultrasound via Vision-Guided Initialization and Imitation Learning
[IEEE] 2026-4-6 | Energy-Efficient Task Orchestration in the Edge-Cloud Continuum Using Deep Reinforcement and Federated Learning for Sustainable IOT
[IEEE] 2026-4-6 | Table of Contents
[IEEE] 2026-4-6 | Robust Adversarial Patch for Object Detection Using Self-Similarity for Multiscale Attacks
[IEEE] 2026-4-6 | Enhanced Privacy-Preserving Protocol Based on Novel Triangular Matrix Blinding Technique for Matrix Inversion Computation
[ACM] 2026-4-6 | FedVSR: Towards Model-Agnostic Federated Learning in Video Super-Resolution
[IEEE] 2026-4-6 | Retraction Notice: Hyperspectral Information in Urban Areas Using Big Data and Machine Learning
[IEEE] 2026-4-6 | Retraction Notice: A Review on Power Generation Using Vertical Windmill
[IEEE] 2026-4-6 | A Low-Profile Dual-Polarized Dual-Band Antenna With High Isolation For Drone Application
[IEEE] 2026-4-6 | Lightweight Asymmetric Multimodal Fusion for Cross-Subject Emotion Recognition
[IEEE] 2026-4-6 | Masked Generative Models for Real-Time Network Traffic Forecasting
[IEEE] 2026-4-6 | Examining Nostalgia Marketing Strategy in Maximising Brand Values - A Case in Vietnam
[IEEE] 2026-4-6 | IEEE Journal of Biomedical and Health Informatics Publication Information
[IEEE] 2026-4-6 | Robust Autonomous Driving via Vulnerability-Aware Co-Optimization Framework Against Safety-Critical Scenarios
[IEEE] 2026-4-6 | Chaos Suppression Based on Fractional-Order Model in a Doubly-Fed Induction Generator
[IEEE] 2026-4-6 | Anatomy-Guided Self-Supervised Distillation Learning for Medical Image Analysis
[IEEE] 2026-4-6 | How Harassment Shapes Self-Perception and Well-Being in Social VR: Evidence from a Controlled Lab Study
[IEEE] 2026-4-6 | KArAt-KidneyNet: Proactive Threat Hunting and Anomaly Detection Framework for Consumer Wearable Healthcare Electronics in Kidney Disease Diagnosis
[IEEE] 2026-4-6 | Retraction Notice: A Novel Approach for Disease Identification in Grape Leaf Using Machine Learning Algorithm
[IEEE] 2026-4-6 | IEEE Transactions on Magnetics Institutional Listings
[IEEE] 2026-4-6 | From Visual Similarity to Physical Interpretability: Multi-Task Learning for Material Understanding in Immersive Environments
[IEEE] 2026-4-6 | Retraction Notice: Design of Rlc Based Switching Noise Reduction Model for Low Noise Amplifier
[IEEE] 2026-4-6 | Retraction Notice: An Improved Early Detection Method of Autism Spectrum Anarchy using Euclidean Method
[IEEE] 2026-4-6 | Retraction Notice: Mammographic Cancer Identification By Using DCNN (Deep Convolutional Neural Network)- A review
[IEEE] 2026-4-6 | Conversion of Tobacco Leaves into Hydrochar Using Induction Heating
[IEEE] 2026-4-6 | Retraction Notice: Fraud Detection in Credit Card Transactions Using SVM and Random Forest Algorithms
[IEEE] 2026-4-6 | Retraction Notice: A Sensor-Based Data Analytics for Patient Monitoring in Connected Healthcare Applications
[IEEE] 2026-4-6 | A Model-Based Design Approach for CFD Hardware Acceleration: Comparative Analysis of FPGA, CPU, and GPU Performance in Channel Flow
[IEEE] 2026-4-6 | Hierarchical Model Predictive Control for Multi-Time-Scale Energy Management in V2B-Integrated Smart Buildings
[IEEE] 2026-4-6 | A Fault Diagnosis Method for Wind Turbine Gearboxes Considering Wind Energy Characteristics
[IEEE] 2026-4-6 | MIGHTY: Hermite Spline-based Efficient Trajectory Planning
[IEEE] 2026-4-6 | SHORT COURSES
[IEEE] 2026-4-6 | SCOTT-Gait: A Spiking Cross-attention Temporal Triple-loss Network for Occlusion-compensated Gait Recognition_supp1-3680495.pdf
[IEEE] 2026-4-6 | A Wind-Field Adaptive UAV Channel Model Considering Random Body Flipping and Position Drifting Effects
[IEEE] 2026-4-6 | A Reliable Resource Scheduling Method With Knowledge Transfer for Edge-Cloud Collaboration-Enabled Industrial Internet of Things
[ACM] 2026-4-6 | Computer Vision in Oculomotor and Praxis Tests in Children with Developmental Problems
[ACM] 2026-4-6 | A Comprehensive Long-duration 8K Dataset to Benchmark Hardware Encoding for Live 360° Video Tiled Streaming
[ACM] 2026-4-6 | Lag-Busting WebRTC: L4S-Enabled Adaptive Video Streaming
[ACM] 2026-4-6 | ReLadder: A Network-Adaptive and QoE-Optimizing Bitrate Ladder Adjusting Framework
[IEEE] 2026-4-6 | FMSA: Few-shot Multimodal Sentiment Analysis for Social Media via Integrated Prompt Learning and Vision-Language Models
[IEEE] 2026-4-6 | Ordinal-Based Speech Emotion Recognition Leveraging Consecutive Trends: A Curriculum-Driven Preference Learning Approach
[IEEE] 2026-4-6 | Authorship, Authenticity, and Academic Integrity in the Age of Generative AI: Evidence from Essay Corpora
[IEEE] 2026-4-6 | Semantic Compression for 3D Content: A Unified Conceptual Framework and Survey of Advanced Solutions
[IEEE] 2026-4-6 | Retraction Notice: Next Generation Wireless Communication Challenges and Issues
[IEEE] 2026-4-6 | Enhancing Chinese Vocabulary Acquisition Through Digital Game-Based Learning for Primary Students
[IEEE] 2026-4-6 | Retraction Notice: Improving Design Quality of Software Using Machine Learning Techniques
[IEEE] 2026-4-6 | Retraction Notice: Dynamic Brain Segmentation and Intelligent Deep Neural Networks
[IEEE] 2026-4-6 | Towards Safe and Robust Autonomous Vehicle Platooning: A Self-Organizing Cooperative Decision-making Framework
[IEEE] 2026-4-6 | DynaPURLS: Dynamic Refinement of Part-Aware Representations for Skeleton-Based Zero-Shot Action Recognition
[IEEE] 2026-4-6 | Joint Design of Transmit Beamforming and Receive Filters for MIMO ISAC Systems Under Low-Altitude Dynamic Scenarios
[IEEE] 2026-4-6 | Evolutionary Zero-Shot Proxy in Various Evaluation Scenarios: A Symbolic Learning Perspective_supp1-3680503.pdf
[IEEE] 2026-4-6 | IEEE Circuits and Systems Society Information
[IEEE] 2026-4-6 | A 0.95-ppm/°C Voltage Reference with Second-Order Core-Injection Sub-Ranging Compensation
[IEEE] 2026-4-6 | Projection-Constrained Adaptive Neural Ordinary Differential Equation Based Robust Control of Permanent Magnet Synchronous Motors
[IEEE] 2026-4-6 | A Sensor-Optimized Data Glove for Taxonomy-Level Human Grasp Recognition
[IEEE] 2026-4-6 | Joint ABR and Routing Optimization for 360° Video in SAGIN: Resolving the FoV Prediction-Buffer Dilemma
[IEEE] 2026-4-6 | Society Officers &amp; Administrative Committee
[IEEE] 2026-4-6 | Biased Federated Learning under Wireless Heterogeneity
[IEEE] 2026-4-6 | MT29 Conference Organization
[IEEE] 2026-4-6 | Physicians Scheduling for Online Healthcare Service: Models, Exact and Heuristic Solution Approaches
[IEEE] 2026-4-6 | Steady-state optimal filtering for linear and nonlinear systems
[IEEE] 2026-4-6 | Retraction Notice: Price Prediction of Pre-Owned Automobiles Using Machine Learning-A Comprehensive Survey
[IEEE] 2026-4-6 | Digital Transformation of Multimedia Education Through Artificial Intelligence and Motion Capture Technologies
[IEEE] 2026-4-6 | Cover Page
[IEEE] 2026-4-6 | Dual-Band CP Metasurface-Array Antenna with Sequential-Phase Feed Network for C-Band Operation
[IEEE] 2026-4-6 | Integrating Machine Learning into Data-Driven Marketing: A Case Study of Beverage Brand Consumer Segmentation
[IEEE] 2026-4-6 | Retrieval-Augmented Large Language Model Implementation for Context-Aware Robotic Task Execution
[IEEE] 2026-4-6 | Application of the Three-Capacitance Model for Computer Simulation of Partial Discharge Signals under Ripple Voltage Waveforms
[IEEE] 2026-4-6 | Vivaldi Antennas with Varied Fractal Scaling
[IEEE] 2026-4-6 | Effects of Deficit Irrigation Strategies on Energy Consumption and Bacopa Monnieri Yield in Micro-Irrigation Systems
[IEEE] 2026-4-6 | Distributed Online Optimization for Energy Management in Microgrid With Battery Storage Under Time-Varying Communication Networks
[IEEE] 2026-4-6 | Leader-Following Consensus of Multi-Agent Systems With Energy-Dependent Packet Dropouts
[IEEE] 2026-4-6 | TianheWare: Degree-aware Sampling for Large-scale Graph Learning
[IEEE] 2026-4-6 | Deep Learning and Recurrent Neural Networks for Intelligent Bandwidth Modeling and Management in Wireless Networks
[IEEE] 2026-4-6 | Retraction Notice: Crime Deterrent with the Framework of Nasal Entity
[IEEE] 2026-4-6 | Retraction Notice: An Exploration of Robotic Process Automation in all Spans of Corporate Considerations
[IEEE] 2026-4-6 | Dispersion Characteristics and THz Vortex-Like Modes of the InSb Photonic Crystal
[IEEE] 2026-4-6 | The Effect of a Robotics and IoT-Integrated Constructionist Workshop on Junior High School Students' STEM Learning Achievement
[IEEE] 2026-4-6 | More on the Size Effects on Photoemission in Plasmonic Solar Cells
[IEEE] 2026-4-6 | Peculiarities of the Electrophysical Characteristics of SiGe Whiskers under the Influence of Strain
[IEEE] 2026-4-6 | TCSET 2026 Cover Page
[IEEE] 2026-4-6 | Machine Learning Enhanced Zero Trust Architecture for Distributed Information and Communication Systems
[IEEE] 2026-4-6 | Resilience Synchronization Networks Using Cesium Clock
[IEEE] 2026-4-6 | Aperture-Based Segmentation and Value Approximation for rANS Encoding
[IEEE] 2026-4-6 | Impact of Inter-core Crosstalk in Unrepeatered Transmission over 2-Core MCF
[IEEE] 2026-4-6 | Prediction-Based Proactive Handover for Reliable Connectivity in mmWave and Terahertz Vehicular Networks
[IEEE] 2026-4-6 | Learning-Based Robust Control of Electro-Ribbon Artificial Muscle_supp1-3675438.mp4
[IEEE] 2026-4-6 | Deep Learning-Based Secure Scheduling and Cooperative Artificial Noise Generation in LEO Satellite Networks
[ACM] 2026-4-6 | Audio Made Simple: A Modern Framework for Audio Processing
[IEEE] 2026-4-6 | A 91.4-dB SNDR 2-MS/s 18-bit SAR ADC With Enhanced Optimal-Combination-Algorithm-Based Calibration_supp1-3678017.pdf
[IEEE] 2026-4-6 | Lightweight and Efficient Kinetics Estimation with Sparse IMUs via Multi-Modal Sensor Distillation
[IEEE] 2026-4-6 | IEEE International Microwave &amp; Antenna Symposium (IMAS) 2026
[IEEE] 2026-4-6 | Improved Linear Active Disturbance Rejection Control for High-Performance Electro-Hydraulic Servo Position Control
[IEEE] 2026-4-6 | Remote Teleoperation of Endovascular Intervention Robots: A Systematic Review
[IEEE] 2026-4-6 | From Virtual Environments to Real-World Trials: Emerging Trends in Autonomous Driving
[IEEE] 2026-4-6 | Study on the Thermal Conductivity and Insulation Properties of Polyimide Composite Films Filled with Surface-Coated BNNs
[IEEE] 2026-4-6 | IEEE Transactions on Circuits and Systems for Video Technology Publication Information
[IEEE] 2026-4-6 | Grover Adaptive Search Based Hybrid Benders Decomposition for Mixed-Integer Linear Programs
[IEEE] 2026-4-6 | KFTNet: Knowledge-guided multi-scale frequency-texture alignment network for cross-domain scene classification
[IEEE] 2026-4-6 | Optimized Coverage Map Representation for Bandwidth-Limited Data Exchange of Agricultural Vehicles
[IEEE] 2026-4-6 | Weighted Macro-Expression Guided Transitional Cross-Domain Learning for Micro-Expression Recognition
[ACM] 2026-4-6 | Bias-Aware Generative XAI for Sustainable Air Traffic Control: A Methodological Framework with Predictive Telemetry
[ACM] 2026-4-6 | Depth-Aware Adaptive Video Streaming for Safe and Efficient Remote Autonomous Vehicle Supervision
[ACM] 2026-4-6 | Towards a Unified Learning-based Video Compression and Streaming Pipeline
[ACM] 2026-4-6 | NAVIS: Web-Native Interactive Visualization of Dynamic Point-Cloud Video
[IEEE] 2026-4-6 | Modeling and Simulations on the Streamer Discharge Performance in Transformer Oil with Micro-Bubbles and Paperboard Barriers
[IEEE] 2026-4-6 | Decomposed Transfer Entropy for EEG Brain Networks: Parkinson’s Disease and Dopaminergic Modulation
[IEEE] 2026-4-6 | MirrorLake: A Digital Twin Platform for Real-Time Synchronization with the Real World
[IEEE] 2026-4-6 | SLO-Aware Multi-Class Routing for Large-Model AI Services Via Two-Layer Cross-Domain Coordination
[IEEE] 2026-4-6 | Reasoning-Centric Fake News Detection: A Comprehensive Survey of Architectures, Benchmarks, and Open Challenges
[IEEE] 2026-4-6 | High-Precision In-situ Inductor Loss Evaluation for DC-DC Converters Based on Gain-Phase Frequency Characteristics Correction in Voltage/Current Measurement Systems
[IEEE] 2026-4-6 | Agentic AI Empowered Multi-UAV Trajectory Optimization in Low-Altitude Economy Networks
[IEEE] 2026-4-6 | Multi-step Adaptive Deconvolution via Multi-view for Image Enhancement in Scattering Media
[IEEE] 2026-4-6 | BatchRRT: A Fully-Batched Reformulation of RRT with GPU-Accelerated SDF Collision Checking for Real-Time Human-Robot Collision Avoidance
[IEEE] 2026-4-6 | A Semi-Supervised Learning Method Robust to Label Noise for Radar Target Recognition via Label Correction and Sample Selection
[IEEE] 2026-4-6 | Multi-view Active Vision System for Robust Surgical Instrument Tracking
[IEEE] 2026-4-6 | Spatio-Temporal Consistent Soft Sensor Modeling and Monitoring of Thermal Power Plants based on Physical Knowledge
[IEEE] 2026-4-6 | Design of a Variable-Stiffness Elbow Rehabilitation Robot and Its Control: A Variable Impedance Strategy Based on LSTM Elbow Torque Prediction
[IEEE] 2026-4-6 | EDTNet: An Edge-Guided Dual-Branch Transformer Network for Mars Layered Ejecta Craters Extraction
[IEEE] 2026-4-6 | An Area-Efficient, High-Throughput 2T-2MTJ STT-MRAM Architecture for In-Memory Computing Applications
[IEEE] 2026-4-6 | Research of Network Monitoring Algorithms Based on Artificial Intelligence
[IEEE] 2026-4-6 | Retraction Notice: Framework of cloud well-being tactics intended for guarding data
[IEEE] 2026-4-6 | Red Chili Leaf Disease Identification and Monitoring System: A Deep Learning Approach
[IEEE] 2026-4-6 | Research on the Use of Large Language Models for SQL Query Optimization
[IEEE] 2026-4-6 | Information Technology for the Selection of Social Service Recipients Based on the Fuzzy Classification Method
[IEEE] 2026-4-6 | Adaptive Aperture-Based Image Segmentation for Enhanced ANS Compression and Error Resistance
[IEEE] 2026-4-6 | Iot-Based Smart Kitchen Safety System for Lpg Leak Detection With Real-Time Alerts and Safety Cut-Off
[IEEE] 2026-4-6 | Retraction Notice: DB-Scan Algorithm based Colon Cancer Detection And Stratification Analysis
[IEEE] 2026-4-6 | A Large-Scale Constrained Multi-Objective Evolutionary Algorithm with Promising Region Detection and Diversity Enhancement
[IEEE] 2026-4-6 | Advancing Quantum State Preparation Using Decision Diagram with Local Invertible Maps
[IEEE] 2026-4-6 | Retrieval-Based Deep Difference Modeling for Audio Deepfake Detection
[IEEE] 2026-4-6 | Region Partitioning-Based Scalable Real-Time Network Verification via Native Distributed Architecture
[IEEE] 2026-4-6 | Co-Optimized Strategy Demonstration of a D-Band TWT Amplifier for High-Data-Rate Wireless Communication Systems
[IEEE] 2026-4-6 | Design Methodology of High-Selectivity Waveguide Filters With Post-Type Coupling Structures
[IEEE] 2026-4-6 | Spatiotemporal Alignment for EEG-fNIRS Emotion Recognition
[IEEE] 2026-4-6 | Motion2VecSets: Non-Rigid Shape Reconstruction and Tracking with 4D Latent Set Diffusion
[IEEE] 2026-4-6 | Retraction Notice: An Effective Disease Prediction Algorithms Using Machine Learning Techniques
[IEEE] 2026-4-6 | Retraction Notice: Optimizing Water Usage and Improving Irrigation
[IEEE] 2026-4-6 | Retraction Notice: Skew Correction Techniques for Scanned Documents
[IEEE] 2026-4-6 | Retraction Notice: Smart Diagnosis of Disease Using Machine Learning
[ACM] 2026-4-6 | Prism: A Trace-Driven Simulator for Component-Aware Adaptive Streaming of V3C Content
[IEEE] 2026-4-6 | Geographic Information Model for Complex Ecological Analysis in Preselected Geographic Area and Time Dimension
[IEEE] 2026-4-6 | Method for Improving Cache Memory Utilization in Multilayer Edge–Fog–Cloud Infrastructures
[IEEE] 2026-4-6 | A Comparative Forensic Analysis of Unit 26165 and Unit 74455 Cyber Operations on It and OT Environments Using 2S Matrix Framework
[IEEE] 2026-4-6 | Enhancing Sport Activity Recognition Based on Wearable Sensors Using Hybrid Deep Neural Networks
[IEEE] 2026-4-6 | Triple Band Folded Dipole Antenna for Sub-6 GHz, Radar and Satellite Applications
[IEEE] 2026-4-6 | CM-SolarTS: A Chiang Mai Solar Photovoltaic Power Forecasting Dataset for Time Series Analysis
[IEEE] 2026-4-6 | The E-Sports in the Education — Advantages, Disadvantages, Opportunities and Challenges
[IEEE] 2026-4-6 | Multivariate Intrinsic Time-Scale Decomposition for Characterizing Student Engagement from Physiological Signals
[IEEE] 2026-4-6 | Online Trajectory Optimization for Arbitrary-Shaped Mobile Robots via Polynomial Separating Hypersurfaces
[IEEE] 2026-4-6 | IIR-BinNet: An Ultra-lightweight Neural Network for Document Image Binarization Using IIR Filters
[IEEE] 2026-4-6 | Table of Contents
[IEEE] 2026-4-6 | Development of Optimized Adaptive Multiscale Retinex Deep Learning Model for Image Enhancement
[IEEE] 2026-4-6 | Multicasting Pinching Antenna Systems With LoS Blockage
[IEEE] 2026-4-6 | Regionally Routed Attention U-Net With Latent Fading Kalman Filtering for Real-Time EIT
[IEEE] 2026-4-6 | Retraction Notice: Prediction of Breast Cancer using Machine Learning Algorithms
[IEEE] 2026-4-6 | Retraction Notice: Modern Irrigation System using Convolutional Neural Network
[IEEE] 2026-4-6 | Retrieving Lake Salinity from Microwave Imagery via Physical Mechanism Models
[IEEE] 2026-4-6 | On Higher-Order Minimal Linear Codes
[IEEE] 2026-4-6 | Retraction Notice: Performance Evaluation of DSR Protocol in MANET Untrustworthy Environment
[IEEE] 2026-4-6 | GFAF-Net: Global-local feature extraction and adaptive fusion network for RGB-T crowd counting in video surveillance systems
[IEEE] 2026-4-6 | On the Performance of Active RIS-Empowered PDMA-Based Satellite Communication Networks with Imperfect CSI and Hardware Impairments
[IEEE] 2026-4-6 | PMPE-net: A High-Precision End-to-End Model for Radar Anti-Jamming Target Detection
[IEEE] 2026-4-6 | An Ultracompact Active Bidirectional Phase Shifter With an Intrinsic Reciprocal Phase-Inverting Core
[ACM] 2026-4-6 | A Knowledge-based RAG System for Intelligent Fire Investigation Reporting
[IEEE] 2026-4-6 | Structural Mutation Based Differential Testing for FPGA Logic Synthesis Compilers
[IEEE] 2026-4-6 | Quantum-Inspired Joint Discrete Beamforming and Power Allocation for Efficient Holographic MIMO via Stacked Intelligent Metasurfaces
[IEEE] 2026-4-6 | LLMs as Repositories of Factual Knowledge: Limitations and Solutions
[IEEE] 2026-4-6 | Fourier-Enhanced Kolmogorov–Arnold Network With Attention for Drug–Target Interaction Prediction
[IEEE] 2026-4-6 | An Energy-Adaptive Chirp-Enhanced W-Transform incorporating Chirp-Compensating Phase Modulation for High-Resolution Seismic Time-Frequency Analysis
[IEEE] 2026-4-6 | Retraction Notice: Introduction to Medical Image Synthesis Using Deep Learning:A Review
[IEEE] 2026-4-6 | Retraction Notice: A Review Paper on Facial Recognition Techniques
[IEEE] 2026-4-6 | CollabVisAdapt: Spatio-Temporal Context-Aware Adaptation of Shared Object Visualization for MR Telecollaboration
[IEEE] 2026-4-6 | Trustworthy Deep Learning-Assisted Visualization and Analysis for Distribution-Based Ensemble Scientific Data Summarization
[IEEE] 2026-4-6 | Consideration of Human Values in Extended Reality: a Systematic Review
[IEEE] 2026-4-6 | Retraction Notice: Improving Extreme Learning Machine through Optimization A Review
[IEEE] 2026-4-6 | A Comparative Analysis of Deep Learning Networks for Video-Based Human Action Recognition
[IEEE] 2026-4-6 | Retraction Notice: Optical Character Recognition in Banking Sectors Using Convolutional Neural Network
[IEEE] 2026-4-6 | A Study of the Influence of Data Normalization on 3D REM Reconstruction Methods
[IEEE] 2026-4-6 | A Rainfall-Based Landslide Threshold with Future Integration of Wildfire Information
[IEEE] 2026-4-6 | InTra: An Insight Travel Planner Application Using Generative AI for Personalized Itineraries
[IEEE] 2026-4-6 | Reliability Analysis of the Angle of Arrival System Based on Software Defined Radio Applications
[IEEE] 2026-4-6 | Hybrid Coordination Framework for Centralized Task Allocation and Execution in Heterogeneous Multi-Robot Systems_supp1-3680629.mp4
[IEEE] 2026-4-6 | Pro-DST: Coherent Text-Guided Instance Segmentation via Mutual Geometric Constraints and Semantic Inpainting
[IEEE] 2026-4-6 | Generative AI Driven Improvement of Generalized CPR Training Model and Application Study
[IEEE] 2026-4-6 | Jailbreak-Free LLM-Assisted Malware Generation: An Empirical and Conceptual Analysis
[IEEE] 2026-4-6 | Encoding Material Safety Using Control Barrier Functions for Soft Actuator Control
[IEEE] 2026-4-6 | Self-RIO: Robust Self-Supervised Odometry Across Diverse Weather and Terrain by Fusing Radar and Inertial Signals
[IEEE] 2026-4-6 | Magnetostatic modeling of brushless doubly fed reluctance generator: comparison and validation
[IEEE] 2026-4-6 | FAT-Net: Frequency-Domain Attention-Guided Topology-Refinement Network for Coronary Artery Segmentation in Invasive Coronary Angiography
[IEEE] 2026-4-6 | Concurrent Terahertz Image Differentiation and Integration Processing via Polarization-Multiplexed Metasurface
[IEEE] 2026-4-6 | Thermal Parameter Estimation for HVDC MgB2 Concentric Superconducting Cables
[IEEE] 2026-4-6 | Residual Regression Pose Estimation Network Based on Dynamic Reference Points
[IEEE] 2026-4-6 | Experimental testing and dynamic simulation of walking gait for transfemoral Prostheses
[IEEE] 2026-4-6 | Safe and Nonconservative Contingency Planning for Autonomous Vehicles via Online Learning-Based Reachable Set Barriers
[IEEE] 2026-4-6 | Robotic Non-Contact Three-Dimensional Micromanipulation by Acoustohydrodynamic Effects_supp1-3680668.mp4
[ACM] 2026-4-6 | iSR: Super-resolution for Immersive Cloud VR Gaming Platforms
[IEEE] 2026-4-6 | Design of a Passive Load-Bearing Exoskeleton With Reduced Joint Misalignment and Leg Interaction Forces
[IEEE] 2026-4-6 | Xmobot: Enabling Rapid Build-and-Train Robotics Education with Agentic AI
[IEEE] 2026-4-6 | IEEE Magnetics Society Information
[IEEE] 2026-4-6 | Characterizing Shale Brittleness and Organic Enrichment through Matrix Modulus Using Rock Physics-Based Elastic Impedance Inversion
[IEEE] 2026-4-6 | Retraction Notice: Comparative Analysis of Epilepsy Prediction using Machine Learning and Deep Learning
[IEEE] 2026-4-6 | Temporal Foveated Fluid Animation in Virtual Reality
[IEEE] 2026-4-6 | Cryogenic concept of a Low-Noise Amplifier using IHP130 nm BiCMOS technology
[IEEE] 2026-4-6 | Secure Difference Contraction Watermarking for Static Deep Neural Networks
[IEEE] 2026-4-6 | Load Balancing via Deep Contour Detection in Edge-Driven Industrial Automation Systems
[IEEE] 2026-4-6 | Coupling Curiosity: An antenna engineer’s odyssey from Kashmir to the Shannon-Maxwell frontier
[IEEE] 2026-4-6 | Electromagnetics in Action: From Theory to Practical Engineering [Editor’s Comments]
[IEEE] 2026-4-6 | Front Cover
[IEEE] 2026-4-6 | Truthful Double Auction Mechanisms for Delay-Aware DNN Inference Offloading in Collaborative Edge Computing
[IEEE] 2026-4-6 | Retraction Notice: QOS-Aware Task Scheduling in An Edge Environment
[IEEE] 2026-4-6 | Retraction Notice: A Survey of Breast Cancer Detection Using Medical Imaging Techniques
[IEEE] 2026-4-6 | Retraction Notice: A Comprehensive Review of Air Quality Prediction Techniques: Methods, Performance and Challenges
[IEEE] 2026-4-6 | Hardware Means for Immediate Assessment of Radiation Exposure of the Civilian Population in the Radiation Accident Zone
[IEEE] 2026-4-6 | Combined Method Development the BLDC Electric Drive Model of Drone
[IEEE] 2026-4-6 | Predicting Super-Class Drug Mechanisms from Large-Scale IC50 Cell-Line Sensitivity Profiles
[IEEE] 2026-4-6 | Embedded Machine Vision: Machine Learning and Performance Metrics
[IEEE] 2026-4-6 | Contextual Multi Arm Bandit Framework for Adaptive Video Streaming
[IEEE] 2026-4-6 | Optimization of Acousto-Optic Interaction in ВTGS Crystals
[IEEE] 2026-4-6 | Impact of Sampling Rate on the Performance of Power System Oscillation Detection Algorithms
[IEEE] 2026-4-6 | Retraction Notice: Border Surveillance System using Computer Vision
[IEEE] 2026-4-6 | Collision-Free Cooperative Control for Heterogeneous Multi-Vehicle Systems With Connectivity Preservation: A Path-Guided Solution
[IEEE] 2026-4-6 | A General Solution for Scaling Existing LCC-S WPT Systems to Higher Output Voltages
[ACM] 2026-4-6 | SPARC: Proximity-aware Scheduling of AR Mapping and Cloud-based GenAI Upsampling for Efficient Multi-User SLAM
[IEEE] 2026-4-6 | 2026 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunication Engineering (ECTI DAMT &amp;amp; NCON)
[IEEE] 2026-4-6 | Correntropy-Based Robust Blind Seismic Deconvolution
[IEEE] 2026-4-6 | Optical, Thermal and Mechanical Characterization of Standard and Thin-Clad Germanosilicate Single-Mode Fibers for Sensitivity-Enhanced Force Sensing With Fiber Bragg Gratings
[IEEE] 2026-4-6 | Surrogate Models in Power System Scheduling Problems: Learning Active Constraints via Graph Neural Networks
[IEEE] 2026-4-6 | BeamStellar: Beaming Display with Low-Latency, 6-DoF Glasses Tracking via Spatio-Temporal LED Encoding
[IEEE] 2026-4-6 | Efficacy of High-Fidelity VR Threat-and-Error Simulation for Competency-based Pilot Training_supp1-3679896.mp4
[IEEE] 2026-4-6 | Transformer Based Multi-Target Bernoulli Tracking for Maritime Radar
[IEEE] 2026-4-6 | Collaboration Under Competition Empirical Impacts on Motivation and Teamwork in a Multiplayer Programming Game
[IEEE] 2026-4-6 | Digital Twin Frameworks for Museum Curation and Adaptive Visitor Experiences
[IEEE] 2026-4-6 | UAV Based Cellular Network Coverage Optimization
[IEEE] 2026-4-6 | A Comparative Analysis of Deep Learning Neural Networks for Human Activity Recognition Using Wrist-Worn Inertial Sensor
[IEEE] 2026-4-6 | Conformal Geometric Algebra Graph Learning Theory for 3D Human Skeleton Action
[IEEE] 2026-4-6 | The Importance of Hospital Accreditation System in Thailand: Examining Its Role in Enhancing Service Quality, Patient Trust, and Outcomes for Wellness Tourism
[IEEE] 2026-4-6 | Retraction Notice: Multipath &amp; Multi Packet Secured knowledge Transmission Victimization Energy state observance &amp; Dynamic
[IEEE] 2026-4-6 | Behavior and Sublinear Algorithm for Opinion Disagreement on Noisy Social Networks
[IEEE] 2026-4-6 | Advanced Electromagnetics Methods for Practical Engineering Applications
[IEEE] 2026-4-6 | Legends of Electromagnetics Video Interview Series
[IEEE] 2026-4-6 | Safe Policy Optimization with Cost Practical Stability: A DQ-learning Method
