[2026-07-29 22:59:31] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-28
正在获取论文...
[arXiv] 2026-07-28 | OmniQEC: discovering practical quantum error-correcting codes by an AI scientist
[arXiv] 2026-07-28 | Explicit Layer Modeling for Video Object Insertion and Layer Decomposition
[arXiv] 2026-07-28 | Fine-Grained Food Image Understanding via Target-Aware Data Alignment
[arXiv] 2026-07-28 | Unmasking (44) Nysa: Evidence for a trilobate structure
[arXiv] 2026-07-28 | A Unified Benchmark and Modality-Adaptive Network for Day-and-Night Drone-View Geo-Localization
[arXiv] 2026-07-28 | Orbital counting for relatively Anosov groups
[arXiv] 2026-07-28 | Critical Ripples and Dirac Fermions in Crystalline Membranes
[arXiv] 2026-07-28 | Pair luminosity and cooling of newborn strange star: Color-flavor-locked and two-flavor color superconducting quarks
[arXiv] 2026-07-28 | WorkSurface-Bench: Benchmarking Enterprise Agents on Multi-Surface Knowledge Routing
[arXiv] 2026-07-28 | RAISE: A Low-Frequency Space-Based Payload for Solar Radio and RFI Measurements on the SMiLE Mission
[arXiv] 2026-07-28 | Low-Metallicity Star Formation Survey in Sh2-284 (LZ-STAR): The Core Mass Function
[arXiv] 2026-07-28 | An Embarrassingly Simple Rule-based Visiting Circulation Approach to Trip Destination Prediction
[arXiv] 2026-07-28 | Joint identification of permanent magnet synchronous machine and inverter
[arXiv] 2026-07-28 | Nonparametric Bayesian inference for the Gini-Simpson index
[arXiv] 2026-07-28 | A Structuration Approach to Theorizing Cybersecurity Practice: The STARC Model
[arXiv] 2026-07-28 | A systematic evaluation of machine learning classifiers for event-by-event background rejection in LAFOV PET scanners
[arXiv] 2026-07-28 | Herbig AeBe Star AS442A as a UXOR-type system
[arXiv] 2026-07-28 | SKAO-ALMA Synergies in Star Formation Science
[arXiv] 2026-07-28 | The answers to two problems on dcpo models
[arXiv] 2026-07-28 | Spherical orthogonal ring patterns on surfaces and modified combinatorial total geodesic curvatures
[arXiv] 2026-07-28 | Simulation-based tension quantification of the cosmic dipole
[arXiv] 2026-07-28 | DecoEvo: Score-Decoupled Co-Evolution of Solver and Rubric-Generator Skills in Text Space
[arXiv] 2026-07-28 | Toward the Structure Constants of $\mathcal{N}=2$ Liouville Theory
[arXiv] 2026-07-28 | Aharonov-Casher phase in twisted bilayer graphene
[arXiv] 2026-07-28 | CoRT: Counterfactual Replay for Token-Level Rubric-Guided Policy Optimization
[arXiv] 2026-07-28 | Demystifying Deep Learning Compiler Frontend Bugs: An LLM-Aided Empirical Study
[arXiv] 2026-07-28 | PowerScale: Energy-Efficient Geo-Distributed Model Training with Federated Datacenter Power
[arXiv] 2026-07-28 | Nonlocal Magnonic Cat States in Hybrid Magnon-Qubit Architectures
[arXiv] 2026-07-28 | Construction-Driven Injection: Linguistically-Grounded Edit-Based Code-Mixing Fingerprints for Large Language Models
[arXiv] 2026-07-28 | On the Realizability of Edge-Girth Sequences
[arXiv] 2026-07-28 | Kernel-Checked Exclusions for the Erdős-Selfridge Odd Covering Problem: Any Odd Covering of $\mathbb{Z}$ Has lcm Exceeding 10000
[arXiv] 2026-07-28 | Joint Text-Audio Alignment for EEG-to-Text Decoding in Chinese Speech Production and Perception
[arXiv] 2026-07-28 | Van Hove singularity-driven giant Nernst signal in twisted double bilayer graphene
[arXiv] 2026-07-28 | QCOEM: Quantum Cloud Orchestration with Evolutionary Multi-Objective Optimization
[arXiv] 2026-07-28 | faster-enhancer.c: A Dependency-Free int8 Runtime for Streaming Speech Enhancement on Commodity CPUs
[arXiv] 2026-07-28 | Topological Stability in Paired Dynamical Systems
[arXiv] 2026-07-28 | GRaTer-JAX: An Accelerated Package for Debris Disk Modeling
[arXiv] 2026-07-28 | Balanced Soft mixture-of-expert model for Glaucoma Detection
[arXiv] 2026-07-28 | Physics-Grounded Fluid Video Generation with a Simulation Dataset and Dual-Stream Optical-Flow Supervision
[arXiv] 2026-07-28 | Penalized likelihood inference for beta-binomial meta-analysis of proportions of rare events
[arXiv] 2026-07-28 | Sense it with your eyes: Sensation Generation and Understanding for Advertisements
[arXiv] 2026-07-28 | Achieving 100$\,$MHz Instantaneous Bandwidth in a Broadband Rydberg Microwave Sensor
[arXiv] 2026-07-28 | CAST: Game Solvers as Turn-Level Teachers for LLM Agents
[arXiv] 2026-07-28 | Many-body Tipping Dynamics of ChatGPT-like AIs
[arXiv] 2026-07-28 | On weird numbers with high abundancy index
[arXiv] 2026-07-28 | Tuning Density and Spin Ordering of Degenerate Fermi Gases in an Optical Cavity
[arXiv] 2026-07-28 | Monolithic Multifocal Diamond Metalens for High-Power Laser Systems
[arXiv] 2026-07-28 | Linear Programming Bounds for Fibered Sphere Packings
[arXiv] 2026-07-28 | Completing the Arakawa--Moreau Conjecture on Maximal Ideals of Affine Vertex Algebras
[arXiv] 2026-07-28 | Medical world models in healthcare: foundations, applications, and challenges for trustworthy clinical translation
[arXiv] 2026-07-28 | WHTMix: Efficient Stereo Depth Estimation via Walsh-Hadamard Token Mixing
[arXiv] 2026-07-28 | Quiver data of representations of Hecke algebras and Coxeter groups
[arXiv] 2026-07-28 | A Cross-lingual Comparison of Human and Classification Model Entrainment Behavior in Code-switched Speech Settings
[arXiv] 2026-07-28 | Algorithmic Separation between Constant-Depth and Logarithmic-Depth Neural Networks
[arXiv] 2026-07-28 | Distributed Nonlinear Equality-Constrained Optimization via Feedback Linearization and Singular Perturbation
[arXiv] 2026-07-28 | The Birman--Craggs--Johnson homomorphism and the handlebody Torelli group
[arXiv] 2026-07-28 | Long-memory GARCH via a two-dimensional Markov chain
[arXiv] 2026-07-28 | A quark-diquark model for parity doublet structure of baryons
[arXiv] 2026-07-28 | A Convex Splitting Spectral Method for the Phase Field Crystal Equation: Energy Stability, Computational Stability Maps, and Three-Dimensional GPU Simulations
[arXiv] 2026-07-28 | Agentic AI-enabled discovery across large-scale sleep physiology
[arXiv] 2026-07-28 | Quantum Transformer BSDE Solver via Multi-Layer Fully-Connected Variational Quantum Circuits
[arXiv] 2026-07-28 | Accurate structural modeling of chemically diverse molecular interfaces with Vilya-2
[arXiv] 2026-07-28 | Computational Extraction of Legal Causes via al-Sabr wa al-Taqsim: A Set-Theoretic Formalization for Closed Fiqh Chapters
[arXiv] 2026-07-28 | A Density-Matrix Framework for Electronic-Structure Analysis of Functional-Group and Salt Effects in Lithium-Metal Electrolytes
[arXiv] 2026-07-28 | Tau functions of the constrained matrix KP hierarchy
[arXiv] 2026-07-28 | When Does Legacy Data Start to Help? Emergent Transfer in Cross-Configuration Robot Learning
[arXiv] 2026-07-28 | A Study of the $\ell$-Extension to the Results of Classical Calculus
[arXiv] 2026-07-28 | Forensic Reproducibility Audit of a Radiology Vision-Language Model Benchmark: From Intended Protocol to Released Artifact
[arXiv] 2026-07-28 | Global Dynamics of Trait-Structured Generalised Lotka-Volterra Systems with Trait-Independent Interactions
[arXiv] 2026-07-28 | HIR: A collisional-radiative model for hydrogen ionization in plasma with anisotropic fast ions
[arXiv] 2026-07-28 | Kemeny Rank Aggregation is NP-Hard for Three Voters
[arXiv] 2026-07-28 | I2VShield: An Efficient Proactive Defense Framework against DiT-based Image-to-Video Models
[arXiv] 2026-07-28 | Pseudoscalar Yukawa Coupling Induced Helical Asymmetry in Fermionic Preheating
[arXiv] 2026-07-28 | Asymmetric information scrambling and eigenstate thermalization in inhomogeneous XXZ spin chains
[arXiv] 2026-07-28 | Gravitational Baryogenesis in Rainbow Gauss-Bonnet gravity
[arXiv] 2026-07-28 | Agentic AI in medicine: architectures, applications, evaluation, and challenges for clinical translation
[arXiv] 2026-07-28 | Spectra of high-dimensional Spearman correlation matrices under scale-mixture dependence
[arXiv] 2026-07-28 | Finding Optimal Cost-Bounded Plan Reductions: Refined Model
[arXiv] 2026-07-28 | TRWH: A Text-Driven Random Walk Heterogeneous GNN for Semantic-Aware Sparse Recommendation
[arXiv] 2026-07-28 | DensFiLM: Density-Conditioned Video Saliency for Crowd Scenes
[arXiv] 2026-07-28 | Covariance Geometry of Basis-Resolved Low-Energy Wavefunctions in the Spin-$1/2$ Kitaev--Heisenberg Model
[arXiv] 2026-07-28 | PIcsC: Partitioning-Induced Covariate Shift Correction
[arXiv] 2026-07-28 | Liver Metastasis Detection at Reduced Radiation Dose: Diagnostic Evaluation of a Novel Organ-Level Tube Current Modulation Method
[arXiv] 2026-07-28 | Oriented Minimum spanning tree looks like the Uniform spanning tree on the complete graph (at least locally)
[arXiv] 2026-07-28 | A General First- and Second-Order Numerical Solver for Non-Markovian Quantum State Diffusion
[arXiv] 2026-07-28 | The Disruptive Impact of Large Language Models on Capture the Flag Competitions and the Path Toward Fair Play
[arXiv] 2026-07-28 | From Dyad to Triad: Eliciting XAI Requirements in Stroke Rehabilitation
[arXiv] 2026-07-28 | MARS: Multi-Agent Re-ranking for Repeat-Order Food Delivery Recommendation
[arXiv] 2026-07-28 | Context Assembly as the Controlled Variable: A Control-Theoretic View of Harness Policies for Frozen LLM Agents
[arXiv] 2026-07-28 | Singly heavy tetraquarks
[arXiv] 2026-07-28 | Quantum Teleportation toward the Quantum Internet: A Concise Review
[arXiv] 2026-07-28 | Towards Reliable Stain Transfer: An Iterative Data-Model Co-Optimization Framework Based on Multimodal Expert-Guided Assessment
[arXiv] 2026-07-28 | Gaussian Volumetric Representation for Efficient Shear-Warp Visualization
[arXiv] 2026-07-28 | Critical slowing down for predicting controller induced loss of control in quadrotors
[arXiv] 2026-07-28 | ODYSSE: Episode-wise Policy Optimization for Personalized Agentic Reasoning
[arXiv] 2026-07-28 | Leak-Free Cross-Validated Stacking with Per-Architecture Calibration for Sand-Boil Segmentation in Earthen Levees
[arXiv] 2026-07-28 | Sharpness-aware Model Merging with Salience Recovery for LLM-based Cross-Domain Sequential Recommendation
[arXiv] 2026-07-28 | Detecting Knowledge Inconsistencies Across Text, Tables, and Knowledge Graphs
[arXiv] 2026-07-28 | Contact Surgery Numbers of the 3-torus
[arXiv] 2026-07-28 | Massively parallel numerical simulations with Julia
[arXiv] 2026-07-28 | Constraining the lives and times of exoplanets through evolutionary Bayesian retrievals
[ACM] 2026-7-28 | Exploring Lifelog Memories in VR: The Impact of Map-View Perspectives on Spatial Recall
[IEEE] 2026-7-28 | Synergistic Authentication in Beam Alignment for Secure MmWave Communications_supp1-3714802.pdf
[IEEE] 2026-7-28 | 2026 11th International Conference on Computer and Communication Systems (ICCCS)
[IEEE] 2026-7-28 | IEEE Power Electronics Society Publication Information
[IEEE] 2026-7-28 | Adaptive Fuzzy Tactile Servoing on Soft Surfaces With a Multimodal Tactile Sensor_supp1-3717172.mp4
[IEEE] 2026-7-28 | GCDance: Genre-Controlled Music-Driven 3D Full Body Dance Generation_supp1-3710113.pdf
[IEEE] 2026-7-28 | IEEE Computer Society: Computer Science &amp; Engineering Awards
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | IEEE Magnetics Society Information
[IEEE] 2026-7-28 | Front Cover
[IEEE] 2026-7-28 | Introducing IEEE Collabratec
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | Review for "Performance Assessment of the Vertical Wind Profile from Doppler Lidar Using Accumulated Spectra"
[ACM] 2026-7-29 | Aggregating Security Measures from the Dependency Tree
[ACM] 2026-7-29 | A Soundness and Precision Benchmark for Java Debloating Tools
[ACM] 2026-7-29 | A Computational Framework for Deep Phenotyping of Maternal Autonomic Resilience Using 65 Months of Continuous Wearable Biometric Data
[ACM] 2026-7-29 | An application of genomic language models for antimicrobial resistance prediction in S. pneumoniae
[ACM] 2026-7-29 | Probing the Intrinsic Effectiveness of Large Language Models for Medical Classifications
[ACM] 2026-7-29 | Understanding CI/CD Workflow Runs Through Interactive and Animated Visualizations
[IEEE] 2026-7-28 | Adversarial Training-Based Lightweight DRL Authorization Control Method with User Identity Management
[IEEE] 2026-7-28 | GraphLawPH: Benchmarking GNN Architectures for Task-Specific Knowledge Discovery in Philippine Statutes
[IEEE] 2026-7-28 | Employing Artificial Intelligence Technologies to Enhance National Identity among First Cycle Students
[IEEE] 2026-7-28 | An Intelligent Feature Fusion Approach for Accurate Mental Health Disorder Prediction Using Machine Learning
[IEEE] 2026-7-28 | Kernel PCA-Assisted Compressed Sensing for Underwater Acoustic Channel Estimation Under Weak Non-Gaussian Noise
[IEEE] 2026-7-28 | A Lightweight CNN-Based Digit Recognition System from Video Frames
[IEEE] 2026-7-28 | A Comparative Study of LDA and BERT-Based Topic Modeling on Indonesian YouTube Protest Discourse
[IEEE] 2026-7-28 | Symmetry Breaking for Parallel Machine Scheduling with Compressing Processing Times
[IEEE] 2026-7-28 | ResQTank: An Embedded LiDAR-SLAM System for Real-Time Indoor Mapping and Navigation
[IEEE] 2026-7-28 | Adaptive 3DGS via Geometric Priors
[IEEE] 2026-7-28 | Point-of-Care Prostate Cancer Diagnostics: Fabrication and Performance of a Paper-Based Electrochemical Sensor
[IEEE] 2026-7-28 | TP-D3QN: A Topology-Aware Intelligent Network Slicing Framework for Heterogeneous Immersive Applications
[IEEE] 2026-7-28 | High-Precise Time Synchronization in Edge Computing Platforms: Experience and Implementation
[IEEE] 2026-7-28 | Cross-Silo Federated Diffusion Models for Robust Multi-Institutional Medical Image Augmentation and Domain Generalization
[IEEE] 2026-7-28 | Toward AI-Governed Smart Educational Networks: A Policy-Based Firewall for User and Device Control
[IEEE] 2026-7-28 | Book Online Recommendation Based on BERT Semantic Feature Extraction and Transformer Temporal Modeling
[IEEE] 2026-7-28 | UANet: Unified Prompt and Adaptive Threshold for Few-Shot Semantic Segmentation
[IEEE] 2026-7-28 | Understanding Optical and SAR Feature Interactions through Explainable Transformer-Based Fusion Models*
[IEEE] 2026-7-28 | IG-Guided Synonym Substitution Attacks on IndoBERT AI Detection Across Domains
[IEEE] 2026-7-28 | A Hybrid Machine Learning Framework for Accurate Sales Demand Forecasting
[IEEE] 2026-7-28 | URD-YOLO: An Improved YOLO Framework for Underwater Object Detection
[IEEE] 2026-7-28 | Design and Implementation of a Low power Phase Locked Loop in 45nm CMOS Technology
[IEEE] 2026-7-28 | A Legal Relation Identification Model for Ecological and Environmental Violation Cases Integrating Legal Rule Constraints and Graph Contrastive Learning
[IEEE] 2026-7-28 | Hardware-Aware TinyML for Energy-Efficient Cataract Detection in Ophthalmology on Edge Devices
[IEEE] 2026-7-28 | Machine Learning Detection of Multiple Cancers Using 5hmC at Mutation Hotspots
[IEEE] 2026-7-28 | Federated Cloud Learning Model for Privacy-Preserving Skin Cancer Detection Using Image Processing
[IEEE] 2026-7-28 | Reliability Evaluation Framework for Adversarial Defense Methods in Industrial Intelligent Models
[IEEE] 2026-7-28 | A Method for Accuracy Detection of Filter Rod Transmitter and Receiver Data Considering Time Series
[ACM] 2026-7-28 | Foundations of Machine Learning: Models, Methods, and Evaluation
[ACM] 2026-7-29 | A novel image hashing with visual and structural feature maps for content authentication
[IEEE] 2026-7-29 | A Framework for Strengthening Quantum Cryptography with Machine Learning and Error Correction
[IEEE] 2026-7-29 | Multi-Provider Caching in Multi-Tier Fog Networks
[IEEE] 2026-7-29 | Accelerating Diffusion Model Inference: A Blockchain-aided Trusted Cloud-Edge Collaborative Framework
[IEEE] 2026-7-28 | Optimal Sizing of Electric Truck Fleet Considering Energy-Logistics Coupling
[IEEE] 2026-7-29 | IEEE Join a Technical Committee announcement
[IEEE] 2026-7-29 | Machine Learning-Augmented AI System for Medical Report Analysis, Clinical Summarization, and Diagnostic Decision Support
[IEEE] 2026-7-29 | Discovery of Student Learning Behaviours using a Multi-Model Unsupervised Learning Framework
[IEEE] 2026-7-29 | Unsupervised Deformable Bilinear Fusion Network for Unregistered Hyperspectral Image Super-resolution
[IEEE] 2026-7-29 | Remaining Lifetime Modeling for IGBT Devices Based on the Microscopic Defect From Evolution Simulation
[IEEE] 2026-7-28 | BERT-HemoPep60: Transformer-based Deep Learning Method with Domain-Adaptive Pretraining for Quantitative Hemolytic Activity Prediction of Peptides
[IEEE] 2026-7-28 | Aerial IRS Deployment-Aided Secure Computation Offloading Against DISCO Jamming Attacks
[IEEE] 2026-7-29 | Cross-Level Frequency-Domain Boundary-Aware Lightweight Network for SAR Flood Detection
[IEEE] 2026-7-29 | Graph-Variational Hybrid Framework for Intelligent Pre-Analysis of Medical Images
[IEEE] 2026-7-29 | Emotional Intelligence Driven Adaptive User Experience for Immersive Human AI Collaboration in Augmented Reality Environments
[IEEE] 2026-7-29 | Table of Contents
[IEEE] 2026-7-29 | Quality-Complexity Trade-offs for Sustainable Media Delivery
[IEEE] 2026-7-29 | Microwave Patch Antenna with SnO₂-Filled Grounded Vias for Passive RFID Hydrogen Sensing
[IEEE] 2026-7-29 | Bidirectional Graph Fusion of Functional Brain Networks and Genetic Data
[IEEE] 2026-7-29 | Automated Generation Method for Airworthiness SysML Use Case Models Based on Deep Semantic Parsing
[IEEE] 2026-7-29 | FMCW-CDMA Based Radar-Repeater Network for Enhanced Detection and 2D Imaging of Specular Targets
[IEEE] 2026-7-29 | On-Chip Pseudo-Random Microwave Waveform Generation Based on Random-Sampled Subwavelength Grating Waveguide Bragg Grating
[IEEE] 2026-7-29 | Research on Multi-agent Collaborative Technology for Communication Network Operation and Maintenance
[IEEE] 2026-7-29 | A Comparative User Study of Real-Time Head-Appearance Telepresence in 2D and 3D Representations
[IEEE] 2026-7-29 | AI-Driven Multi-Robot Platform for Precision Agriculture
[IEEE] 2026-7-29 | Towards Explainable Quantum Machine Learning: A Hybrid Quantum SHAP-based Framework
[IEEE] 2026-7-29 | Defect-based Stability, Reliability, and Performance of Multiple Quantum Well Sb2S3 Photovoltaic Devices with Nanosphere CdS Buffer Layer
[IEEE] 2026-7-29 | Can a Single Profile Reveal the Three-Dimensional Ocean Temperature Field in Its Surrounding Region? A Lightweight Deep Learning Proof of Concept
[IEEE] 2026-7-28 | AST-LO: Enhanced LiDAR Odometry With Alternant Long-Term Spatiotemporal Ground Constraint
[IEEE] 2026-7-29 | Spectral Graph Wavelet and Attention-based Graph Convolutional Network for Bird Sound Recognition
[IEEE] 2026-7-29 | A 7.1-8.4 GHz Slant Dual-Polarized High-Aperture-Efficiency Reconfigurable Intelligent Surface for 6G FR3 Systems
[IEEE] 2026-7-29 | IEEE Journal of Quantum Electronics Publication Information
[IEEE] 2026-7-28 | Robust Dynamic Topology Tracking for Active Distribution Networks Under Missing Measurements and Data Distribution Shifts
[IEEE] 2026-7-29 | Voltage Sag Source Location using Collaborative Training and Knowledge Transfer in Sparsely Measured Distribution Networks
[IEEE] 2026-7-29 | Enhancing the Optoelectronic Performance of InGaN-Based RGB Micro-LEDs via a DBR/Ag Composite Structure for Display Applications
[IEEE] 2026-7-29 | Client-Conditional Federated Learning via Local Training Data Statistics
[IEEE] 2026-7-29 | Artifact Appendix for Orchestrating WASM-Based MCP Tool Runtimes for AI Agents Across Edge-Cloud Continuum
[IEEE] 2026-7-29 | An Intelligent Adaptive Learning System with Gamification and Performance Analytics for Enhanced Learner Engagement
[IEEE] 2026-7-29 | Mechanism-Embedded Deep Learning-Based Steel Plate Surface Defect Detection
[IEEE] 2026-7-29 | Preface
[IEEE] 2026-7-28 | A Packaging Scheme Enabling Resonant Frequency Tuning and Magnetic Shielding for Electromagnetic Vibration Energy Harvesters Toward Industrial Applications_supp1-3548075.pdf
[IEEE] 2026-7-28 | Keynote Speaker
[IEEE] 2026-7-28 | Transformer-Based In-Context Learning for Distributed Channel Access Optimization_supp1-3713842.pdf
[ACM] 2026-7-28 | Make or Take: How Students Navigate Self-Created and Instructor-Provided Cheat Sheets
[ACM] 2026-7-29 | Research on Heterogeneous-Standard Simulation Scenario Conversion Based on Large Models
[ACM] 2026-7-29 | Do Developers Read Type Information? An Eye-Tracking Study on TypeScript
[IEEE] 2026-7-28 | A PSO-Optimized Coherent Integration Framework for Moving Targets in CF-ISAC Systems with Experimental Validation
[IEEE] 2026-7-28 | Dynamic Governance Technology for Power Knowledge Warehouse Based on Multi-System Data Collaboration under Microservice Architecture
[IEEE] 2026-7-28 | Research on a Multi-Model Adaptive Weighted Fusion Algorithm for Subjective Question Scoring
[IEEE] 2026-7-28 | Urban Rainfall Monitoring via Commercial Microwave Links: A Low-Complexity Approach Validated by Long-Term Experiments
[IEEE] 2026-7-28 | Fraudulent Credit Card Transaction Detection Using a Hybrid Ensemble-Anomaly Detection Framework
[IEEE] 2026-7-28 | Securing Smart Implantable Cardioverter Defibrillators Against DDOS Attacks : A SIEM &amp; IAM Framework
[IEEE] 2026-7-28 | Hybrid AI Techniques for Enhancing Power System Stability
[IEEE] 2026-7-28 | Multi-Objective Genetic Algorithm-Based Joint Routing and Scheduling for Time-Sensitive Traffic in Satellite Formations
[IEEE] 2026-7-28 | Research on Evaluation Methods for Human-Machine Interaction Scenarios of In-Vehicle Large Language Models
[IEEE] 2026-7-28 | Research on Multi-Task Path Planning Algorithm for USV Swarm Based on Improved Genetic Algorithm
[IEEE] 2026-7-28 | Fault Injection and Out-of-Bound Access Detection in the SPI Protocol Using UVM
[IEEE] 2026-7-28 | Lightweight YOLOv8-ViT for Real-time Mangrove Species Detection in UAV Aerial Imagery
[IEEE] 2026-7-28 | Hybrid Machine Learning and Deep Learning Approach for Minimum Airfare Prediction
[IEEE] 2026-7-28 | Random Forest Analysis of Lifestyle and Synthetic Data for Prostate Cancer Risk Assessment
[IEEE] 2026-7-28 | LP-SAC: A Temporal Reinforcement Learning Optimization Framework for Unmanned Aerial Vehicle Task Offloading
[IEEE] 2026-7-28 | Explainable Machine Learning with Rule-Based Recommendation System for Smart Contract Reentrancy Vulnerability Detection
[IEEE] 2026-7-28 | Autonomous Financial Intelligence: A Systematic Synthesis of Agentic AI Paradigms in Banking and Capital Markets
[IEEE] 2026-7-28 | Explainable Stacking Ensemble with Nonlinear Meta-Learners for MSME Performance Prediction in Emerging Markets
[IEEE] 2026-7-28 | GAFNet: A Graph-Augmented Fusion Transformer for Cross-Dataset ADHD Detection Using EEG Signals
[IEEE] 2026-7-28 | Dynamic Route Optimization for High-Volume Logistics Using Risk-Aware Multi-Objective Path Reassignment
[IEEE] 2026-7-28 | Performance Analysis of Variational Quantum Classifiers for Classification Tasks in the NISQ Era
[IEEE] 2026-7-28 | NLP-Based Multilingual Retrieval-Augmented Generation System for Government Welfare Scheme Recommendation
[IEEE] 2026-7-28 | A Lightweight Context-Aware Access Control and Key Management Protocol for IoT-Driven Smart Farming
[IEEE] 2026-7-28 | Prediction of Vehicle Acceleration Response Based on XGBoost
[IEEE] 2026-7-28 | Accelerating TSXor Using CUDA GPUs
[IEEE] 2026-7-28 | DIVA: Differential Integrity Verification Architecture for Containerized Supply Chains
[IEEE] 2026-7-28 | AS-FL: Accumulator and Signature-Based Federated Learning with Weight Aggregation
[IEEE] 2026-7-28 | Radar Track-to-Measurement Association Fusing Echo and Kinematic Features via Cross-Attention
[IEEE] 2026-7-28 | DLTformer: A Global–Local Collaborative Transformer Framework for Remote Sensing Change Detection
[IEEE] 2026-7-28 | From RLHF to DPO and Beyond: A Review of Preference Optimization Methods for Aligning Large Language Models
[IEEE] 2026-7-29 | Compression Efficiency and Complexity Evaluation of MPEG-5 LCEVC-Enhanced VVenC for UHD Video Delivery
[IEEE] 2026-7-29 | Research on Dynamic Prediction of Construction Schedule Based on TCN-BiGRU-Transformer
[IEEE] 2026-7-29 | Design of Energy-Efficient TinyML Accelerators: From MATLAB Modeling to FPGA and Embedded Deployment
[IEEE] 2026-7-29 | AccTS: Co-Design of OS Scheduling and System Architecture for Accelerator-Rich SoC
[IEEE] 2026-7-29 | SACoaL-κ: A Semantic-Driven Coalition Consensus Algorithm for Decentralized Federated Learning
[IEEE] 2026-7-29 | PVM-UNet3+: Full-Scale Skip Connections Enhanced by Parallel Vision Mamba for Stroke Lesion Segmentation
[IEEE] 2026-7-29 | Q-Agent: An MLLM-Driven Framework for Universal Visual Quality Assessment
[IEEE] 2026-7-29 | LEIQ-Assessor: Multi-Dimensional Quality Assessment of Low-Light Enhanced Images via Multi-Task Learning
[IEEE] 2026-7-29 | AgCl based Optically Transparent and Flexible Beam Forming Reflectarray for Millimeter-Wave Applications
[IEEE] 2026-7-28 | A Physical Information-Guided Masked Contrastive Learning Network for Defect Detection in Intelligent Pipeline Systems with MFL Signals
[IEEE] 2026-7-29 | Asymmetry-Aware No-Reference Video Quality Assessment via Dual-Region Temporal Modeling
[IEEE] 2026-7-29 | FLAM: Evaluating Model Performance with Aggregatable Measures in Federated Learning
[IEEE] 2026-7-29 | Query-Based Hierarchical Fusion of Multi-Level Visual Features for AIGC Image Quality Assessment
[IEEE] 2026-7-29 | Passive Reduction of Phase Rotation and Doppler Shift on Moving Communication Systems by using Kramers-Kronig Receivers
[IEEE] 2026-7-29 | Author Index
[IEEE] 2026-7-29 | Research on Multi-Modal Feature Fusion Strategies for 3D Medical Image Segmentation
[IEEE] 2026-7-29 | Adaptive Federated Reinforcement Learning for Power and Phase Shifts Control in Multi-RIS-Assisted HSR Networks
[IEEE] 2026-7-29 | Invited Industry Session: How to Use QoE in Industry? Experiences and Open Problems
[IEEE] 2026-7-28 | Descriptor: Two Years Multivariate Power System State Monitoring Dataset (TY-MPSSMD)
[IEEE] 2026-7-29 | A Mamba-Based Perceptual Loss Function for Learning-Based UGC Transcoding
[IEEE] 2026-7-29 | Comparative Analysis of Machine Learning, Deep Learning, and Transformer Models for Boulder Classification: Insights from a Novel Balanced and Imbalanced Sonar Image Dataset
[IEEE] 2026-7-29 | TSSC-UML: Unsupervised Few-Shot Fault Diagnosis for AUVs via Multivariate Time-series Soft Clustering Meta-Learning
[IEEE] 2026-7-29 | HEAD Committees: CCGridW 2026
[IEEE] 2026-7-29 | Kerberos vs. Public Key Authentication in z/OS Environments: Performance, Scalability, and Security Trade-offs
[IEEE] 2026-7-29 | Intelligent Waste Segregation System Leveraging Deep Learning for Smart Urban Sustainability
[IEEE] 2026-7-29 | Impact of Interaction-Induced Body Movement on Cybersickness in Interactive Virtual Reality Environments
[IEEE] 2026-7-29 | AI-based Missing Person Identification using YOLO and Deep Facial Embeddings
[IEEE] 2026-7-29 | Machine Learning Models for Field Scale Soil Moisture Mapping via UAS-based GNSS-R
[IEEE] 2026-7-29 | NBV-HDS: Next Best View Planning Network for High-Accuracy Data Stitching in Robotic 3-D Scanning
[IEEE] 2026-7-28 | A Survey for LLM Agent Trajectory Analysis: From Failure Attribution to Enhancement
[IEEE] 2026-7-28 | Fisher-Information-Enhanced BOTDR Using Beat Spectral Reshaping
[IEEE] 2026-7-28 | Intensity Noise Coupling Analysis and Suppression in Ellipse-Fitting-Assisted 3×3 Demodulation for Fiber-Optic Interferometric Sensors
[IEEE] 2026-7-29 | AEVINS: Tightly Coupled Acoustic-Event-Visual-Inertial Underwater Localization System in Complex Environments
[IEEE] 2026-7-28 | Interactive Visualizations in Semiconductor Physics: Mixed-Methods Evidence for Affective Engagement and Qualitative Insights into Conceptual Learning
[IEEE] 2026-7-28 | Explainable and Trustworthy AI in Oncology: A Systematic Review Across Major Organ Systems
[IEEE] 2026-7-29 | DXGrasp: Affordance-Reasoning Based Part-Level Robotic Grasping for Object Handover in Clutter
[IEEE] 2026-7-29 | REDEditing: Relationship-Driven Precise Backdoor Poisoning on Text-to-Image Diffusion Models
[IEEE] 2026-7-29 | Organizing Committee
[IEEE] 2026-7-29 | A Physics-Guided Framework for Battery State-of-Charge Estimation Based on Improved Dual-Scale Feature-Fusion TCN and Adaptive Zonotopic Filtering
[IEEE] 2026-7-29 | Adaptive Three-Tier Federated Intelligence for Real-Time Anomaly Detection and Threat Prediction in Resource-Constrained IoT Systems
[IEEE] 2026-7-29 | Precision Detection of Gastric Cancer Using MCSCN
