[2026-06-10 23:25:24] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-09
正在获取论文...
[arXiv] 2026-06-09 | One-Step Self-Organized Multifunctional Micromotors via Evaporative Liquid-Liquid Phase Separation
[arXiv] 2026-06-09 | Frontier Coding Agents Use Metaprogramming to Adapt to Unfamiliar Programming Languages
[arXiv] 2026-06-09 | Recoverable but Not Stationary:Local Linear Structures in Weights and Activations
[arXiv] 2026-06-09 | AgniNav: Configuration-Driven Cross-Embodiment Local Planning for Robot Navigation
[arXiv] 2026-06-09 | Flash-GMM: A Memory-Efficient Kernel for Scalable Soft Clustering
[arXiv] 2026-06-09 | Flow-Mediated Regulation of Pathogen Survival in the Human Stomach
[arXiv] 2026-06-09 | The 1st PortraitCraft Challenge: A CVPR 2026 Workshop Competition on Portrait Composition Understanding and Generation
[arXiv] 2026-06-09 | Improving Text-Instance Alignment Of Foreground Conditioned Out-Painting Via Customized Concept Embedding
[arXiv] 2026-06-09 | Bilinear gating of motor primitives: a principle linking dendritic computation to rapid goal-directed adaptation
[arXiv] 2026-06-09 | A New Invariant for Prime Alternating Knots From Error-Correcting Codes
[arXiv] 2026-06-09 | LIBERO-Occ: Evaluating and Improving Vision-Language-Action Models under Scene-Induced Occlusion via Viewpoint Imagination
[arXiv] 2026-06-09 | From Perception to Action: Can UI Interventions Foster Sustainable LLM Chatbot
[arXiv] 2026-06-09 | Training LLMs to Enforce Multi-Level Instruction Hierarchies via Gravity-Weighted Direct Preference Optimization
[arXiv] 2026-06-09 | Formation of Parallel Stellar Streams through Encounters with Dark Matter Subhalos and Intermediate-Mass Black Holes
[arXiv] 2026-06-09 | Pulsar Wind Nebulae (PWNe) -- A Review
[arXiv] 2026-06-09 | Data-driven surrogate models for forecasting experimentally measured fluid flows
[arXiv] 2026-06-09 | Quantum Limits of the Laplacian perturbed along a geodesic on $\mathbb{S}^{2}$
[arXiv] 2026-06-09 | Towards Deep Contextual Reasoning from Broad Descriptions for ASR with Speech-LLM via Metadata-Driven Reasoning Chains
[arXiv] 2026-06-09 | Enhanced nondipole momentum offsets in triple ionization of atoms driven by mid-infrared laser fields
[arXiv] 2026-06-09 | GUIDE: Goal-Initialized Directional Understanding for End-to-End Visual Navigation
[arXiv] 2026-06-09 | Direct Data-Driven Approximate Optimal Control of Nonlinear Input-Affine Systems
[arXiv] 2026-06-09 | Beyond APIs: Probing the Limits of MLLMs in Physical Tool Use
[arXiv] 2026-06-09 | Boosting ECG Classification Performance by Pre-training with Synthesized Data
[arXiv] 2026-06-09 | Black hole formation by a scalar field
[arXiv] 2026-06-09 | Overview of ESDD2: Environment-Aware Speech and Sound Deepfake Detection Challenge
[arXiv] 2026-06-09 | A Bayesian Network Approach for Enhancing Security-Focused Decision Support Systems
[arXiv] 2026-06-09 | Inverse Probability Weighting and Age-of-Information Aggregation for Decentralized Federated Learning under Partial Reception
[arXiv] 2026-06-09 | Amortized Simulation-Based Inference of Colliding-Wind Binaries from Short, Noisy Image Time Series
[arXiv] 2026-06-09 | Generalizing Lusztig's total positivity II : geometric properties
[arXiv] 2026-06-09 | DD-INR: Dynamics-Driven Implicit Neural Representation for Accelerated Whole-Brain Functional MRI Reconstruction
[arXiv] 2026-06-09 | Spin polarisation signatures of Fractionally Charged Skyrmions in Fractional Quantum Hall states
[arXiv] 2026-06-09 | Beltrami problem in dimension two: local normal forms
[arXiv] 2026-06-09 | Fréchet Means of Periodic Orbits in Dynamical Systems: Geometry, Dynamics, and Diagnostics
[arXiv] 2026-06-09 | Hand-centric Human-to-Robot Trajectory Transfer from Video Demonstrations via Open-World Contact Localization
[arXiv] 2026-06-09 | Uniformization of domains in the Riemann sphere via the Kobayashi metric
[arXiv] 2026-06-09 | Max-Policy Iteration, Revisited
[arXiv] 2026-06-09 | Hubble as a Unique Discovery Engine of the Fate of Massive Stars and Black Hole Formation
[arXiv] 2026-06-09 | High-Speed Generation of Periodic Traffic Patterns on P4TG for DDoS and Burst-Load Evaluation
[arXiv] 2026-06-09 | Event-Driven Reinforcement Learning Enables Long-Horizon Control in Semiconductor Fabrication
[arXiv] 2026-06-09 | Do LLMsMakeNeural Distinguishers Wise?
[arXiv] 2026-06-09 | A Phase Space Criterion for Dynamical Amrein-Berthier Uncertainty
[arXiv] 2026-06-09 | Dynamical Amrein-Berthier Uncertainty for Fractional Schrödinger Flows
[arXiv] 2026-06-09 | Limited belief propagation and contingent thinking
[arXiv] 2026-06-09 | In Defense of Information Leakage in Concept-based Models
[arXiv] 2026-06-09 | Reconstructing OPC UA Address Spaces from Time-Series Databases
[arXiv] 2026-06-09 | Improved Bounds for numerical radius and $a$-numerical radius in ${C}^*$-algebras
[arXiv] 2026-06-09 | ManiSplat: Manipulation Trajectory Synthesis from Monocular Video via Decoupled 3D Gaussian Splatting
[arXiv] 2026-06-09 | Compositional proofreading through critical self-tuning
[arXiv] 2026-06-09 | Scattering Theory
[arXiv] 2026-06-09 | Eisenstein-Kronecker classes on Hilbert moduli spaces and a new construction of Katz's $p$-adic measure
[arXiv] 2026-06-09 | Multi-epoch scattered-light analysis of HD 135344B: new evidence for a spiral-driving protoplanet
[arXiv] 2026-06-09 | Fast and Highly Expressive Policy Learning for Offline Reinforcement Learning via Bootstrapped Flow Q-Learning
[arXiv] 2026-06-09 | Frenet turns
[arXiv] 2026-06-09 | Modeling pest dynamics in trap cropping to improve yield: the effects of attraction, retention, and land allocation
[arXiv] 2026-06-09 | Propagation and localization of spin excitations at altermagnetic domain walls
[arXiv] 2026-06-09 | Quantum study of ultracold atom-ion excitation exchange
[arXiv] 2026-06-09 | Embedding Hybrid Systems into Continuous Latent Vector Fields
[arXiv] 2026-06-09 | Dirichlet-Guided Group Forecasting for Alleviating Over-smoothing in Time Series Forecasting
[arXiv] 2026-06-09 | Towards Diverse Scientific Hypothesis Search with Large Language Models
[arXiv] 2026-06-09 | AgenticNav: Zero-Shot Vision-and-Language Navigation as a Tool-Calling Harness
[arXiv] 2026-06-09 | A Lightweight Dual-Factor Acoustic Authentication System via Cascaded GMM-DTW Architecture for Edge Computing
[arXiv] 2026-06-09 | Molecular Gas Structure and Star Formation Diversity in Stephan's Quintet Revealed by ACA CO(1-0) Mapping
[arXiv] 2026-06-09 | The Simplest Flexible Cross-Polytopes
[arXiv] 2026-06-09 | PrismAvatar: Pseudo-Multiview Reconstruction and Subpixel Prism Rendering for Real-Time Stereoscopic Communication
[arXiv] 2026-06-09 | SkillAxe: Sharpening LLM-Authored Agent Skills Through Evaluation-Guided Self-Refinement
[arXiv] 2026-06-09 | A phase-field modeling approach to sea-ice fracturing
[arXiv] 2026-06-09 | Precision measurements at the interface between unitary and non-unitary encoding
[arXiv] 2026-06-09 | Representation-Aware Advantage Estimation: Your Reward Model Provides More Than A Scalar Output
[arXiv] 2026-06-09 | On the Ekedahl sieve for the singular locus of the discriminant polynomial
[arXiv] 2026-06-09 | Two Integral Sliding-Window Inequalities for Maximal Convolutions
[arXiv] 2026-06-09 | Ytterbium lattice clock with uncertainty of $1.1\times 10^{-18}$ and instability of low $10^{-19}$
[arXiv] 2026-06-09 | Simplified Temporal Convolutional-Based Channel Estimation for a WiFi Vehicular Communication Channel
[arXiv] 2026-06-09 | HIPIF: Hierarchical Planning and Information Folding for Long-Horizon LLM Agent Learning
[arXiv] 2026-06-09 | Minimum free energy randomized design to improve covariate balance
[arXiv] 2026-06-09 | Systematic comparison of VMEC and HINT equilibrium calculations for finite-beta LHD plasmas
[arXiv] 2026-06-09 | AgentCanary: A Security Evaluation Framework for Autonomous AI Agents in Real Executable Environments
[arXiv] 2026-06-09 | 3D-CoS: A New 3D Reconstruction Paradigm Based on VLM Code Synthesis
[arXiv] 2026-06-09 | HE-DAP: Homomorphic Encryption-based Dynamic Adaptive Parameter Optimization for Statistical Computation
[arXiv] 2026-06-09 | The Non-perturbative term for the Axial-vector Form Factor of Pion Decay
[arXiv] 2026-06-09 | Electrical Spectroscopy of Intervalley Relaxation in WSe$_2$ Transistors
[arXiv] 2026-06-09 | A Mean-Field Analysis of Multi-Head Self-Attention under Cross-Entropy Training
[arXiv] 2026-06-09 | Geometric Coastline Localization using Vision-Language Models
[arXiv] 2026-06-09 | LakeQA: An Exploratory QA Benchmark over a Million-Scale Data Lake
[arXiv] 2026-06-09 | Leveraging Social Media Data for COVID-19 Studies
[arXiv] 2026-06-09 | Floquet analysis of coherence in periodically driven diamond NV ensemble systems
[arXiv] 2026-06-09 | Few-step Generative Models as Lossy Compression
[arXiv] 2026-06-09 | Proportionality from Sampled Approvals
[arXiv] 2026-06-09 | ASTRA-sim 3.0: Next-Level Distributed Machine Learning Simulations via High-Fidelity GPU and Infrastructure Modeling
[arXiv] 2026-06-09 | Profiling cognitive offloading in LLM-mediated synthesis writing: Volume vs. content
[arXiv] 2026-06-09 | Robust Bayesian Predictive Model Selection using Bregman Divergence
[arXiv] 2026-06-09 | CoCoSI: Collaborative Cognitive Map Construction for Spatial Intelligence
[arXiv] 2026-06-09 | Bidirectional Random Projections
[arXiv] 2026-06-09 | PF-Trans: Physics-Embedded Frequency-Aware Transformer for Spectral Reconstruction
[arXiv] 2026-06-09 | A Practical Recipe Towards Improving Sim-and-Real Correlation for VLA Evaluation
[arXiv] 2026-06-09 | Benchmarking stereo reconstruction for 3D printable Martian terrain models
[arXiv] 2026-06-09 | Light and Strange Baryons in Medium
[arXiv] 2026-06-09 | Mean-field models for morphogenetic processes in physiological contexts
[arXiv] 2026-06-09 | Long-time existence of some geometric flows with bounded scalar curvature
[arXiv] 2026-06-09 | Koopman Modeling and Stabilization of Discrete-Time Nonlinear Control Systems: Bilinearity on a Reproducing Kernel Hilbert Space
[arXiv] 2026-06-09 | OMG: Omni-Modal Motion Generation for Generalist Humanoid Control
[arXiv] 2026-06-09 | Optimal exit strategies of CPT gamblers in unfair gambles
[arXiv] 2026-06-09 | Building Change Detection in Earthquake: A Multi-Scale Interaction Network and A Change Detection Dataset
[arXiv] 2026-06-09 | Semantic Multi-Agent Intrusion Detection for IoT:Zero-Day and Adversarial Threats with Risk-Aware Reasoning
[arXiv] 2026-06-09 | Mobility Anomaly Generation using LLM-Driven Behavior with Kinematic Constraints
[arXiv] 2026-06-09 | Dissect and Prune: Enhancing Robustness in AI-Generated Image Detection
[arXiv] 2026-06-09 | SARM2: Multi-Task Stage Aware Reward Modeling for Self Improving Robotic Manipulation
[arXiv] 2026-06-09 | Decomposing Firm-Level Crisis Responses from Incomplete Market Signals: Evidence from China's IT Sector During COVID-19
[arXiv] 2026-06-09 | The Confident Liar: Diagnosing Multi-Agent Debate with Log-Probabilities and LLM-as-Judge
[arXiv] 2026-06-09 | Unidirectional-like Edge Transport Induced by Non-Hermitian Skin Effects
[arXiv] 2026-06-09 | Supervised Fine-tuning with Synthetic Rationale Data Hurts Real-World Disease Prediction
[arXiv] 2026-06-09 | A Unified Adaptive Feature Composition Framework for Multi-Task Generalization in Wireless Foundation Models
[arXiv] 2026-06-09 | Hierarchical Policies from Verbal and Egocentric Human Signals for Natural Human-Robot Interaction
[arXiv] 2026-06-09 | FoA-SR: Faithful or Aesthetic? Profile-Aware Preference Optimization for Real-World Image Super-Resolution
[arXiv] 2026-06-09 | Determination Provenance: From Ambiguity to Algebra
[arXiv] 2026-06-09 | Extensible links in a broad class of single polymer chain models
[arXiv] 2026-06-09 | Random Matrix Theory for Chaotic Wave Scattering and Transport
[arXiv] 2026-06-09 | Test-Time Gradient Guidance of Flow Policies in Reinforcement Learning
[arXiv] 2026-06-09 | Advancing Wood Identification in the Philippines: Utilizing the Xylorix Platform for Efficient AI Model Development and Deployment for Five Key Species
[arXiv] 2026-06-09 | MODIP: Efficient Model-Based Optimization for Diffusion Policies
[arXiv] 2026-06-09 | A Multiwavelength Interpretation of HESS J1857+026 Emission Using the Fermi-LAT, VERITAS, and HAWC Observatories
[arXiv] 2026-06-09 | Spherical modules and the Auslander--Gorenstein condition for Auslander--Yoneda algebras
[arXiv] 2026-06-09 | Stationary points of conformally invariant polyconvex energies
[arXiv] 2026-06-09 | Anchoring the Unknown: Open-Set Model Attribution via Proxy-Anchor Learning
[arXiv] 2026-06-09 | Sequential Clusterization of Light Nuclei and Hypernuclei in Heavy-Ion Collisions within a Wigner Function Coalescence Framework
[arXiv] 2026-06-09 | Sequential Search with Planning
[arXiv] 2026-06-09 | Analytical performance evaluation of quantum radar architectures: From single-photon to entangled-noise radars
[arXiv] 2026-06-09 | Parallel Causal Associative Fields: Gated Sparse Memory for Long-Context Language Modeling
[arXiv] 2026-06-09 | Efficient Magic State Cultivation for $\sqrt{T}$ Gates
[arXiv] 2026-06-09 | Energetics of Nucleation in Finitely Deformed, Phase-Transforming Soft Solids
[arXiv] 2026-06-09 | Edge slip stabilizes confined active vortices by suppressing localized instabilities
[arXiv] 2026-06-09 | WebChallenger: A Reliable and Efficient Generalist Web Agent
[arXiv] 2026-06-09 | Hidden Harmonic Structure of Fermion Masses and Flavor
[arXiv] 2026-06-09 | Do Vision-Language Models See or Guess? Measuring and Reducing Textual-Prior Reliance with a Phrasing-Controlled Benchmark
[arXiv] 2026-06-09 | Selection, Not Salience: The Shape and Limits of Personalization in Social Highlighting
[arXiv] 2026-06-09 | Instruction Finetuning DeepSeek-R1-8B Model Using LoRA and NEFTune
[arXiv] 2026-06-09 | Beyond Absolute Imitation: Anchored Residual Guidance for Privileged On-Policy Distillation
[arXiv] 2026-06-09 | Expert-Level Crisis Detection in Mental Health Conversations
[arXiv] 2026-06-09 | Nonreciprocal photon bundle emission
[arXiv] 2026-06-09 | ClinReadNet: A clinical reading-inspired network for low-dose abdominal CT image quality assessment
[arXiv] 2026-06-09 | PADD: Path-Aligned Decompression Distillation for Non-Router Teacher to Guide MoE Student Learning
[arXiv] 2026-06-09 | HiMem-WAM: Hierarchical Memory-Gated World Action Models for Robotic Manipulation
[arXiv] 2026-06-09 | Coloring-allowed Invariants and the 4-phases Functions of Knotoids
[arXiv] 2026-06-09 | KG-SoftMAP: Soft Knowledge-Graph Priors for Bayesian Network Structure Learning from Sparse Discrete Data
[arXiv] 2026-06-09 | Multi-Angular Reflectance Anisotropy Observed from UAV Multispectral Imagery
[arXiv] 2026-06-09 | Rethinking Embodied Navigation via Relational Inductive Bias
[arXiv] 2026-06-09 | Beyond Explaining Predictions: Logic-Based Explanations for Confidence in Machine Learning Models
[arXiv] 2026-06-09 | Neural-network solution of subtracted three-body Faddeev integral equations near the Efimov limit
[arXiv] 2026-06-09 | From Pitman's local times representation to the Gorin-Shkolnikov identity and beyond
[arXiv] 2026-06-09 | The Power of Altruism in Sticker Economics: Generosity Minimizes Collective Costs and Overprotective Norms Fuel Inefficiency
[arXiv] 2026-06-09 | Domination in Johnson graphs J(n, 3) for odd n
[arXiv] 2026-06-09 | Game-Theoretic Multi-Agent Control for Robust Contextual Reasoning in LLMs
[arXiv] 2026-06-09 | TabClaw: An Interactive and Self-Evolving Agent for Spreadsheet Manipulation and Table Reasoning
[arXiv] 2026-06-09 | From Awareness to Action: How Developers Engage with Accessibility Innovation in LLM-Assisted Development
[arXiv] 2026-06-09 | DKEKAN: A single-parameterized KAN surrogate for Drift Kinetic Equation Toward Fast Neoclassical Toroidal Viscosity Torque Modeling in Tokamaks
[arXiv] 2026-06-09 | Where You Inject Diversity Matters: A Unified Framework for Diverse Generation
[arXiv] 2026-06-09 | From Context-Aware to Conflict-Aware: Generalizing Contrastive Decoding for Knowledge Conflict in LLMs
[arXiv] 2026-06-09 | Sim2Schedule: A Simulator-Guided LLM Framework for Autonomous Open-Pit Mine Scheduling
[arXiv] 2026-06-09 | Self-propulsion in the 1D swarmalator model
[arXiv] 2026-06-09 | Benchmarking and Exploring the Capabilities of LLMs for Attack Investigations
[arXiv] 2026-06-09 | Overlapped Wavelet Diffusion for Low-Light Image Enhancement
[arXiv] 2026-06-09 | Rainbow RABBITT as a Probe of Coherent Rabi Dynamics
[arXiv] 2026-06-09 | Rotation-to-translation conversion by geometric asymmetry in viscoelastic fluids
[arXiv] 2026-06-09 | RECON: An LLM-Enhanced Backward Constraint Analysis Framework
[arXiv] 2026-06-09 | Complexity synchronization as a diagnostic and control principle for adaptive systems
[arXiv] 2026-06-09 | Enumerating tuples of spanning trees
[arXiv] 2026-06-09 | PENet+: A Lightweight Residual Transformer Framework for Efficient Image Steganalysis
[arXiv] 2026-06-09 | Provenance Tracking in AI Compilers through the Lens of Coalgebra
[arXiv] 2026-06-09 | On the Complexity of the Bi-infinite Post Correspondence Problem
[arXiv] 2026-06-09 | AllDayNav: Lifelong Navigation via Real-World Reinforcement Learning
[arXiv] 2026-06-09 | Time lags as proxy of spectral evolution in gamma-ray bursts
[arXiv] 2026-06-09 | Trace Only What You Need: Structure-Aware On-Demand Hypergraph Memory for Long-Document Question Answering
[arXiv] 2026-06-09 | Topological origin of flow distributions in disordered porous media
[arXiv] 2026-06-09 | Range Penalization: Theoretical Insights with Applications in Federated Learning
[arXiv] 2026-06-09 | Degeneracy and trajectory control of spin eigenmodes excited by fs-optical pulses in a nearly compensated ferrimagnet
[arXiv] 2026-06-09 | Non-linear mechanical field reconstruction coupling recurrent neural networks with physics-informed graph neural networks
[arXiv] 2026-06-09 | Human-AI Teaming Through the Lens of Calibration
[arXiv] 2026-06-09 | Personalized Deep Learning for Short-Term Forecasting of Impending Atrial Fibrillation from Continuous Wearable ECG Signals
[arXiv] 2026-06-09 | Low-Dose 3D Bonding Mapping Through "Soft" Core-Loss EELS Tomography and Unsupervised Deep Learning
[arXiv] 2026-06-09 | Belief in thermodynamics has provoked false thermodynamics of superconductors
[arXiv] 2026-06-09 | From Quality Properties to Practice: A Guideline and Workflow for Explainability Requirements
[arXiv] 2026-06-09 | Writing Better Software Explanations: A Guideline-Based Approach
[arXiv] 2026-06-09 | XtrAIn: Training-Guided Occlusion for Feature Attribution
[arXiv] 2026-06-09 | Pushing the Limits of LLM Tool Calling via Experiential Knowledge Integration and Activation
[arXiv] 2026-06-09 | Quantum Colorings of Spheres
[arXiv] 2026-06-09 | Information Bottleneck Meets Quantization: Finite Rate Analysis and Optimal Designs
[arXiv] 2026-06-09 | Adressing Separation: A Firth-corrected Joint Model for Longitudinal and Time-to-event Data with an Application on Dropout from Vocational Training
[arXiv] 2026-06-09 | Phoneme-First Prediction for LLM-Based Speech Recognition
[arXiv] 2026-06-09 | Speech Encoder Fusion for LLM-based Automatic Speech Recognition
[arXiv] 2026-06-09 | Fermi-LAT Gamma-ray Emission Discovered from the Composite Supernova Remnant B0453-685 in the Large Magellanic Cloud
[arXiv] 2026-06-09 | Do VLMs Reason Like Engineers? A Benchmark and a Stage-wise Evaluation
[arXiv] 2026-06-09 | A Unified Siamese Learning Framework for Zero-Day Anomaly Detection and Classification in Optical Networks
[arXiv] 2026-06-09 | AGN-driven BBH mergers: Black hole populations and hierarchical growth across the AGN parameter space
[arXiv] 2026-06-09 | A 185 TOPS/W/mm2 Bayesian Inference Engine with 640 aJ Write-Free FeFET GRNG for Uncertainty-Aware Aerial Search and Rescue
[arXiv] 2026-06-09 | The sharp threshold for Hausdorff convexification under Minkowski addition
[arXiv] 2026-06-09 | Majorana fermions at self-generated interfaces
[arXiv] 2026-06-09 | CITRAS-FM: Tiny Time Series Foundation Model for Covariate-Informed Zero-Shot Forecasting
[arXiv] 2026-06-09 | Accelerating NeurASP with vectorization and caching
[arXiv] 2026-06-09 | Being and Time in XR: Other-Presentness Beyond Co-Presence
[arXiv] 2026-06-09 | Secure Aggregation with Top-K Sparsification in Decentralized Federated Learning
[arXiv] 2026-06-09 | ZODS-RS -- Zero-training Oriented Detection & Segmentation for Remote Sensing
[arXiv] 2026-06-09 | Stein fillings of planar contact 3-manifolds with relative trisection genus 2
[arXiv] 2026-06-09 | Curved Mesh Adaptation for High-Order Finite Element Simulations
[arXiv] 2026-06-09 | SUPPPPRESS: Prototyping and testing liquid-crystal vector vortex coronagraphs with reduced polarization leakage
[arXiv] 2026-06-09 | miniReranker: Efficient Multimodal Reranking through Visual Cache Reuse and Interaction Sparsity
[arXiv] 2026-06-09 | Deploying Speech-Driven 3D Facial Animation in Unreal Engine for Production-Ready Digital Humans
[arXiv] 2026-06-09 | Noise cancellation by superposition of channels and superactivation of quantum capacity: Experimental realization by NMR
[arXiv] 2026-06-09 | When the Chain of Thought Knows Better: Failure Modes in Multi-Turn Reasoning Models
[arXiv] 2026-06-09 | SPACR: Single-Pass Adaptive Training of Uncertainty-Aware Conformal Regressors
[arXiv] 2026-06-09 | Continual LLM Upcycling: A Predictor-Gated Bank-Wise Sparsity Training Recipe for Dense-to-Sparse LLMs
[arXiv] 2026-06-09 | Large-time asymptotics of a new KdV soliton gas
[arXiv] 2026-06-09 | Attention Expansion: Enhancing Keyphrase Extraction from Long Documents with Attention-Augmented Contextualized Embeddings
[arXiv] 2026-06-09 | A Restricted Chen-Nagano Variational Principle for the Einstein-Hilbert Functional
[arXiv] 2026-06-09 | Watts and Debts of Agentic Frameworks: An Empirical Study (Registered Report)
[arXiv] 2026-06-09 | Divide and Cooperate: Role-Decomposed Multi-Agent LLM Training with Cross-Agent Learning Signals
[arXiv] 2026-06-09 | UniDexTok: A Unified Dexterous Hand Tokenizer from Real Data
[arXiv] 2026-06-09 | One Step Closer to Ground Truth: A Multi-Scale Residual-Aware Representation Learning Pipeline for Predicting Time Series Data
[arXiv] 2026-06-09 | Infini Memory: Maintainable Topic Documents for Long-Term LLM Agent Memory
[arXiv] 2026-06-09 | FadeMem: Distance-Aware Memory Consolidation for Autoregressive Video Diffusion
[arXiv] 2026-06-09 | Analyzing Training-Free Corruption Detection for Object Detection Datasets
[arXiv] 2026-06-09 | Post-Quantum Secure Federated DeFi for Inclusive Banking
[arXiv] 2026-06-09 | Are We Evaluating Knowledge or Phrasing? Mitigating MCQA Sensitivity with ParaEval
[arXiv] 2026-06-09 | Kwai Keye-VL-2.0 Technical Report
[arXiv] 2026-06-09 | Answer Set Programming for Egg Extraction and More
[arXiv] 2026-06-09 | Is Fairness Truly Fair? Towards Reliable Lipschitz Fairness in Multi-Task Learning via Fixed-\texorpdfstring{$δ$}{delta} Alignment
[arXiv] 2026-06-09 | Leveraging Metric Depth for Relative Depth Prediction
[arXiv] 2026-06-09 | Rogue Ones: Orbital census of Galactic Cepheids and their Anomalies
[arXiv] 2026-06-09 | Spin characters of symmetric and alternating groups which are proportional in characteristic 3
[arXiv] 2026-06-09 | SSR-Merge: Subspace Signal Routing for Training-Free LoRA Merging in Diffusion Models
[arXiv] 2026-06-09 | Spin characters of the alternating group which are proportional to linear characters in characteristic 2
[arXiv] 2026-06-09 | Causal Ensemble Agent: Hierarchical Causal Discovery with LLM-guided Expert Reweighting
[arXiv] 2026-06-09 | Globally Localizing Lunar Rover in Pixels via Graph Alignment
[arXiv] 2026-06-09 | Drawing with Strangers: Population Scaling Drives Zero-Shot Mutual Intelligibility in Emergent Sketching
[arXiv] 2026-06-09 | $Λ(1670)$ production in the $ψ(3686) \to Λ\bar Λη$ reaction
[arXiv] 2026-06-09 | The convergent stack
[arXiv] 2026-06-09 | One Token per Multimodal Evidence: Latent Memory for Resource-Constrained QA
[arXiv] 2026-06-09 | Discovery of EP J175257.3-351923 as a Candidate Black Hole Low-Mass X-ray Binary
[arXiv] 2026-06-09 | Short-Range IAM Operations to Overcome Access Gaps Around Bologna Airport
[arXiv] 2026-06-09 | Probing Spin Configurations in Exchange-Coupled Magnetic Bilayers with Orthogonal Anisotropies via Anomalous Hall and Nernst Effects
[arXiv] 2026-06-09 | A Hybrid Edge-Cloud Architecture for Low-Latency Entitlement Verification in Resource-Constrained Devices
[arXiv] 2026-06-09 | Quantified propositional calculi and narrow implicit proofs
[arXiv] 2026-06-09 | Machine Learning Methods for Studying Latent Neural Activity Dynamics
[arXiv] 2026-06-09 | Unique decomposition of orders
[arXiv] 2026-06-09 | Cross-Modal Knowledge Distillation without Paired Data: Theoretical Foundation and Algorithm
[arXiv] 2026-06-09 | The two-sided peak polynomial
[arXiv] 2026-06-09 | Stop Early, Spend Less: Hidden-State Probes as a Practical Recipe for Streaming Moderation of LLM Outputs
[arXiv] 2026-06-09 | Natural Inflation with a negative cosmological constant
[arXiv] 2026-06-09 | Large Language Models as Modal Models in Linguistics
[arXiv] 2026-06-09 | UPLOTS: A Unified Pretrained Language Model for Constrained Time-series Generation
[arXiv] 2026-06-09 | Distributionally Robust PCA with Data-Adaptive Wasserstein Geometry
[arXiv] 2026-06-09 | Reply to "Comment on "Chiral symmetry restoration, the eigenvalue density of the Dirac operator, and the axial U(1) anomaly at finite temperature""
[arXiv] 2026-06-09 | ARM: An AutoRegressive Large Multimodal Model with Unified Discrete Representations
[arXiv] 2026-06-09 | AnyMod-LLVE: Low-Light Video Enhancement with Modality-Agnostic Inference
[arXiv] 2026-06-09 | A Proof of Nash-Williams' Conjecture
[arXiv] 2026-06-09 | Flaws in the LLM Automation Narrative
[arXiv] 2026-06-09 | MOFA-VTON: More Fashion Possibilities with Fine-Grained Adaptations in Virtual Try-On
[arXiv] 2026-06-09 | Quantum statistics in an extended collider coupled to a qubit
[arXiv] 2026-06-09 | Provenance-Grounded Gating and Adaptive Recovery in Synthetic Post-Training Data Curation
[arXiv] 2026-06-09 | Well-posedness and stability for a thermoelectromagnetic system
[arXiv] 2026-06-09 | Derived skein module
[arXiv] 2026-06-09 | The Doppler effect of the Milky Way rotation on LISA
[arXiv] 2026-06-09 | A Longitudinal Study of Recently Observed Malicious Domains: Characteristics, Infrastructure, and Abuse Patterns
[arXiv] 2026-06-09 | On the Positivity of a Class of Cauchy-Like Matrices
[arXiv] 2026-06-09 | High-Resolution ALMA Imaging for a Gravitationally-lensed Quasar at $z=6.5$: Constraining the AGN Contribution to Galactic-Scale Dust Heating
[arXiv] 2026-06-09 | Biquandle Arrow Weight Quiver Representations
[arXiv] 2026-06-09 | The Frog Model on $\mathbb Z$ with Random Discrete Weibull Lifetimes and Biased Nearest-Neighbour Random Walks
[arXiv] 2026-06-09 | The UZH protocol: Separating errors and constructing improved CP2K basis sets and pseudopotentials
[arXiv] 2026-06-09 | On the rank of hypergeometric sheaves on higher dimensional tori
[arXiv] 2026-06-09 | Free Parametrization of L_2-Bounded Structured State-Space Controllers for Nonlinear Control with Stability Guarantees
[arXiv] 2026-06-09 | Panel Data Estimation of Individual Demand in Markets with Many Consumers
[arXiv] 2026-06-09 | Does Reasoning Preserve Alignment? On the Trustworthiness of Large Reasoning Models
[arXiv] 2026-06-09 | What Fits (Into Few Tokens) Doesn't Overfit: Compression and Generalization in ML Research Agents
[arXiv] 2026-06-09 | Thick points under Gaussian free field dynamics
[arXiv] 2026-06-09 | Workflow-GYM: Towards Long-Horizon Evaluation of Computer-use Agentic tasks in Real-World Professional Fields
[arXiv] 2026-06-09 | The SHiP/NA67 experiment at the ECN3 high-intensity beam facility at the CERN SPS
[arXiv] 2026-06-09 | Fe3O4 Nano-octahedra/Vulcan XC72: Optimization and Combination with Solar-Based Electro-Fenton for Progestins Degradation
[arXiv] 2026-06-09 | Flow-DPPO: Divergence Proximal Policy Optimization for Flow Matching Models
[arXiv] 2026-06-09 | Generative Archetype-Grounded Item Representations for Sequential Recommendation
[arXiv] 2026-06-09 | Structure from Reasoning, Numbers from Search: On-Premise Open LLMs as Structural Priors for Coupled MIMO Controller Tuning
[arXiv] 2026-06-09 | IPSM-Bench: A New Intermediate Phase Segmentation Benchmark in Microstructure Images of Zinc-Based Absorbable Biomaterials
[arXiv] 2026-06-09 | Analog Quantum Asynchronous Event-Based Graph Neural Network
[arXiv] 2026-06-09 | Optical fingerprints across the strain-driven semi-Dirac transition in Kekulé-O graphene
[arXiv] 2026-06-09 | The Gravitational Form Factor of the Pion in Perturbative QCD with a Dilaton Interaction
