[2026-06-30 23:13:04] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-29
正在获取论文...
[arXiv] 2026-06-29 | Real-Time Underwater Image Enhancement via Frequency-Guided Dual-Path Attention
[arXiv] 2026-06-29 | Internal-State Probes Read the Situation, Not the Action: Three Negative Results for Pre-Action Misalignment Monitoring
[arXiv] 2026-06-29 | On a Generalized Compartment Model for Ethanol Metabolism in the Human Body
[arXiv] 2026-06-29 | Computing sieve integrals using LattE, and the density of integers with a localized divisor
[arXiv] 2026-06-29 | Modulation theory formulation of atomic light-matter interaction
[arXiv] 2026-06-29 | Comment on the "New Rotating Black Hole in Electromagnetic Fields: Cosmological Horizon without Cosmological Constant''
[arXiv] 2026-06-29 | Analyzing Linearizability in Relativistic Distributed Systems
[arXiv] 2026-06-29 | Sloshing Motions in Abell 3571 Revealed by XRISM/Resolve Velocity Mapping
[arXiv] 2026-06-29 | Notes on constants for maxima of Rademacher averages
[arXiv] 2026-06-29 | SA-Homo: Scale Adaptive Homography Estimation for Scale Variation Scenarios
[arXiv] 2026-06-29 | Stress tensor field and mesoscopic stresses in the vertex model for tissues
[arXiv] 2026-06-29 | Convergence of the PML method for scattering problems in poroelastic media
[arXiv] 2026-06-29 | A Stochastic--Geometric Theory of Scaling Laws in Grokking
[arXiv] 2026-06-29 | A One-Variable Frame Construction For Irrational Components of Hilbert Schemes of Points
[arXiv] 2026-06-29 | RQP: Resource-Oriented Quantiser Pruning for Neural Networks on FPGAs
[arXiv] 2026-06-29 | OmniCoT: A Benchmark for Global and Multi-Step Panoramic Reasoning
[arXiv] 2026-06-29 | Positivity properties of observables in planar maximally supersymmetric Yang-Mills theory
[arXiv] 2026-06-29 | Distributional comparison for non-commutative infinitely divisible probability measures
[arXiv] 2026-06-29 | A Generalisation of the Concentration-of-Measure Phenomenon with Applications to Intersection Problems
[arXiv] 2026-06-29 | Attenuated Poisson Dirichlet approximations for divisibility configurations
[arXiv] 2026-06-29 | Infinite-Horizon Linear-Quadratic Difference Games with Coupled Affine Inequality Constraints: Open-Loop Generalized Nash Equilibria
[arXiv] 2026-06-29 | Value Functions of Separable Convex Integer Programs are Periodically Convex
[arXiv] 2026-06-29 | Phase-Altered Interleaved Randomized Benchmarking for Compiled Quantum Gates
[arXiv] 2026-06-29 | Thermodynamic Limits of Stochastic Chemical Reaction Networks with Phosphorylation
[arXiv] 2026-06-29 | Monopole triangle over integers
[arXiv] 2026-06-29 | Mandol: An Agglomerative Agent Memory System for Long-Term Conversations
[arXiv] 2026-06-29 | Invariant Gibbs measures and global dynamics for fractional cubic Schrödinger equations on the torus
[arXiv] 2026-06-29 | Poisson-shot-noise hybrid machines: efficiency and quasistatic divergence
[arXiv] 2026-06-29 | Provably Efficient Learning of Fermionic Correlations under Particle-Number Symmetry
[arXiv] 2026-06-29 | Holography and Kinematic Space for Gravitational Sub-regions in AdS
[arXiv] 2026-06-29 | Isospin-Driven Splitting of Chemical Potentials in Isobar Collisions from Lattice QCD
[arXiv] 2026-06-29 | Exact Signature Tail Asymptotics for Pure Rough Paths
[arXiv] 2026-06-29 | CogSENet: Blind Image Deblurring with Blur-Conditioned Semantic Routing and Explicit Frequency Fusion
[arXiv] 2026-06-29 | Efficient Eccentric Effective-One-Body Dynamics via Near-Identity Averaging Transformations
[arXiv] 2026-06-29 | Small complete 3-term progression free sets in cyclic groups and vector spaces
[arXiv] 2026-06-29 | Non-linear control variate in δf particle-in-cell methods using symplectic neural networks
[arXiv] 2026-06-29 | Enabling population studies on wind-driven Galactic binary systems
[arXiv] 2026-06-29 | Modal Extensions of CLoN with Bi-neighborhood Semantics
[arXiv] 2026-06-29 | Financial Resilience Evaluation: From Conditional Expectations to Dynamic Convex Risk Measures
[arXiv] 2026-06-29 | TACO: A Test and Check Framework for Robust Pose Graph Optimization
[arXiv] 2026-06-29 | Cross-Spectral Stereo Inertial Odometry
[arXiv] 2026-06-29 | Blueprint for a fault-tolerant compound photon-atom quantum architecture
[arXiv] 2026-06-29 | Optimal Posterior E-values with Non-Convex Parameter Sets with Applications to Voting Systems
[arXiv] 2026-06-29 | Towards in-the-wild Egocentric 3D Hand-Object Pose Estimation
[arXiv] 2026-06-29 | A positive ground state for a planar Choquard equation with mixed diffusion and critical exponential growth
[arXiv] 2026-06-29 | On the Perelman-Pukhov quotient of successive radii: better and asymptotically optimal bounds
[arXiv] 2026-06-29 | Size Dependence of the Sommerfeld Enhancement for Puffy Dark Matter
[arXiv] 2026-06-29 | Quantum (non)equivalence of dual massive $p$-form gauge theories
[arXiv] 2026-06-29 | Higher Order Convergence for the Sharp Interface Limit of 3D Navier--Stokes/Allen--Cahn Systems
[arXiv] 2026-06-29 | Charge sharing and alignment performance of bent ALPIDEs measured with low-energy protons
[arXiv] 2026-06-29 | Learning Cross-view Correspondences for Geo-localization on Planetary Surfaces
[arXiv] 2026-06-29 | Design Method of Quasi-Lumped Element Bandpass Filters Using Superconducting Coplanar Waveguide for Millimeter-Wave Multichroic Imaging
[arXiv] 2026-06-29 | Beyond Drug Discovery: The Nanotechnology Molecular Optimization (NMO) Benchmark
[arXiv] 2026-06-29 | Min-Max Construction of Anisotropic Minimal Surfaces with Genus Bound
[arXiv] 2026-06-29 | Comparing Chatbot Performance Enhanced with Persistent Homology
[arXiv] 2026-06-29 | Poisson bracket and $L_\infty$ algebras
[arXiv] 2026-06-29 | Learning the structure of open quantum systems
[arXiv] 2026-06-29 | Rethinking Generative Reconstruction Attacks against Graph Neural Network Models
[arXiv] 2026-06-29 | Adversarial robustness of a U-Net-based model observer for CT protocol optimization
[arXiv] 2026-06-29 | A Criteria of Weighted Homogeneity via Logarithmic Vector Fields
[arXiv] 2026-06-29 | Field-induced topological Hall effect and butterfly-shaped magnetoresistance in the centrosymmetric antiferromagnet EuAuAs
[arXiv] 2026-06-29 | Globular cluster formation with multiple stellar populations: A comprehensive overview of a star-cloud interaction scenario
[arXiv] 2026-06-29 | How LLMs See Creativity: Zero-Shot Scoring of Visual Creativity with Interpretable Reasoning
[arXiv] 2026-06-29 | Submission Responsibility Matters: Role-Aware Submission Quotas under Coauthorship
[arXiv] 2026-06-29 | Systematic study of the morphology and length of slow stable hybrid star branches
[arXiv] 2026-06-29 | Accelerating Q-learning through Efficient Value-Sharing across Actions
[arXiv] 2026-06-29 | Bayesian model comparison of type-I and type-II ultrafast demagnetization dynamics
[arXiv] 2026-06-29 | Cosmology with Intensity Mapping via Statistics Beyond the Power Spectrum in the SKAO Era
[arXiv] 2026-06-29 | Causal Inference Using Factor Models
[arXiv] 2026-06-29 | ESOFinder: an LLM-powered tool to help users navigate ESO documentation
[arXiv] 2026-06-29 | CFT Constraints on the Weak Gravity Conjecture
[arXiv] 2026-06-29 | Lagrangian correspondences of nonabelian Hodge type and shifted twistor structures
[arXiv] 2026-06-29 | Local-Minima-Preserving Continuous Relaxation of Ising Problems
[arXiv] 2026-06-29 | Toward an Energy-Optimized Operation of Data Centers Located in Wind Farms Using Reinforcement Learning
[arXiv] 2026-06-29 | A phase-field model for viscoelastic compressible tumor growth
[arXiv] 2026-06-29 | Characterizations of bipartite and Eulerian partial duals of orientable hypermaps
[arXiv] 2026-06-29 | A parsimonious structure model for the icosahedral quasicrystal Cd5.7Yb
[arXiv] 2026-06-29 | Specialisation and experience of research teams: Which matters more for the impact of their publications?
[arXiv] 2026-06-29 | Quadratic Spaces and Orthogonal Groups over semilocal Rings
[arXiv] 2026-06-29 | Notes on generative modeling: flow matching, diffusion, optimal transport and Schr{ö}dinger bridge
[arXiv] 2026-06-29 | Walking in the Implicit: Interactive World Exploration via Neural Scene Representation
[arXiv] 2026-06-29 | The Shape of Macroeconomic Beliefs
[arXiv] 2026-06-29 | The exact region between Chatterjee's $ξ$ and Blomqvist's $β$
[arXiv] 2026-06-29 | Measurement-Driven Learning-Based Beam Selection for Hybrid Beamforming at 26.5 GHz
[arXiv] 2026-06-29 | Monte Carlo Energy Aggregation for Mobile 3D Gaussian Splatting
[arXiv] 2026-06-29 | ASTEP confirmation of a pair of long-period Jupiter-sized planets with extremely low densities transiting TOI-791
[arXiv] 2026-06-29 | $L^p$-form of the KNRS conjecture
[arXiv] 2026-06-29 | Quantifying Realizable Flexibility Limits in Fast and Ultra-Fast EV Charging Using Real-World Data
[arXiv] 2026-06-29 | Strichartz Estimates for the Liouville Equation on Euclidean Tori and Applications to Kakeya
[arXiv] 2026-06-29 | Rendering Coherent Scattering via Quantum Collision Models
[arXiv] 2026-06-29 | Exploration and Online Transfer with Behavioral Foundation Models
[arXiv] 2026-06-29 | Non-thermal Sources from Stereoscopic Hard X-ray and Earth-based Microwave Observations in a Data-Constrained Magnetohydrodynamic Simulation
[arXiv] 2026-06-29 | Temporal modes of quantum states of light scattered by a two-level system
[arXiv] 2026-06-29 | CLIP: Lightweight Cosine-Law-Based Inverted-List Pruning for IVF-Based Vector Search
[arXiv] 2026-06-29 | Explainability-Aware Frustum Attack: Exposing Structural Vulnerabilities in LiDAR-Based 3D Object Detectors
[arXiv] 2026-06-29 | Fundamental Logic Through the Lens of Modality
[arXiv] 2026-06-29 | Finite-key security analysis of decoy-state QKD with source and detector imperfections
[arXiv] 2026-06-29 | Consistent transition model for Bi0.5Na0.5TiO3 from temperature-dependent structural and electrical properties
[arXiv] 2026-06-29 | Mean values and variances of the digits of $1/p$
[arXiv] 2026-06-29 | DCGrasp: Distance-aware Controllable Grasp Generation
[arXiv] 2026-06-29 | Influence of the KK graviton decay into hh on the triple Higgs measurement at LHC
[arXiv] 2026-06-29 | Can LLM-as-a-Judge Reliably Verify Rubrics in Agentic Scenarios?
[arXiv] 2026-06-29 | MSFA-Net: An Advanced Deep Learning Model for Identifying Blue Horizontal-Branch Stars from LAMOST DR12
[arXiv] 2026-06-29 | Semi-discrete convex order and Laguerre tessellation fitting
[arXiv] 2026-06-29 | SafePyramid: A Hierarchical Benchmark for In-context Policy Guardrailing
[arXiv] 2026-06-29 | IREU: Identity-Related Encoder-Only Unlearning for Customized Portrait Generation
[arXiv] 2026-06-29 | AI Training Manager: Bounded Closed-Loop Control of Adaptive Training Recipes
[arXiv] 2026-06-29 | Ultrasensitive infrared-to-visible artificial vision via self-evolving projection guided by single-pixel detection
[arXiv] 2026-06-29 | Normalizing Flow-Enhanced Message Passing for Multirobot Collaborative Localization
[arXiv] 2026-06-29 | RoAd-RL: A Unified Library and Benchmark for Robust Adversarial Reinforcement Learning
[arXiv] 2026-06-29 | Characterization of the alternating and symmetric groups by the order and conjugacy class sizes
[arXiv] 2026-06-29 | Exploring Motivations for Algorithm Mention in the Domain of Natural Language Processing: A Deep Learning Approach
[arXiv] 2026-06-29 | A second-order unified gas-kinetic wave-particle method with enhanced mesh independence for hypersonic flows
[arXiv] 2026-06-29 | Legible Shared Autonomy: Implicit Communication of Robot Belief through Motion
[arXiv] 2026-06-29 | MATCH: Modulating Attention via In-Context Retrieval for Long-Context Transformers
[arXiv] 2026-06-29 | Revealing the Technology Development of Natural Language Processing: A Scientific Entity-Centric Perspective
[arXiv] 2026-06-29 | STEAM: Self-Supervised Temporal Ensemble Advantage Modeling for Real-World Robot Learning
[arXiv] 2026-06-29 | The Forgetting-Retention Dilemma: Certified Unlearning Theory in Continual Learning
[arXiv] 2026-06-29 | Constraints on Hadronic Emission from Microquasars Detected by LHAASO
[arXiv] 2026-06-29 | HomeDiffusion: Zero-Shot Object Customization with Multi-View Representation Learning for Indoor Scenes
[arXiv] 2026-06-29 | Hybrid Active-Online Learning Framework for Label-Efficient Concept Drift Adaptation in Optical Network Failure Detection
[arXiv] 2026-06-29 | The Surprising Effectiveness of Video Diffusion Models for Hand Motion Reconstruction
[arXiv] 2026-06-29 | Always-OnAgents:A Survey of Persistent Memory, State, and Governance in LLMAgents
[arXiv] 2026-06-29 | Convex Recoloring of General Graphs: Formulations, Polyhedra, and Computational Experiments
[arXiv] 2026-06-29 | ManimAgent: Self-Evolving Multimodal Agents for Visual Education
[arXiv] 2026-06-29 | X-Morph: Human Motion Priors for Scalable Robot Learning Across Morphologies
[arXiv] 2026-06-29 | On the Probability a Weighted Bernoulli Sum Exceeds Its Mean
[arXiv] 2026-06-29 | Preference-Based Reward Learning under Partial Observability with Inexact Dynamics
[arXiv] 2026-06-29 | Homogeneous hypersurfaces of the four-dimensional Thurston geometries $\mathrm{Sol}_1^4$, $\mathrm{Sol}_{m,n}^4$ and $\mathrm{Nil}^4$
[arXiv] 2026-06-29 | Computads with invertible generators for weak ω-categories
[arXiv] 2026-06-29 | Your Data Manifold is Secretly a Reward Model: Shell-LCC for Text-to-Video Generation
[arXiv] 2026-06-29 | Clarus: Coordinating Autonomous Research Agents toward Web-Scale Scientific Collaboration
[arXiv] 2026-06-29 | Topological control of third-harmonic generation in a mesoscopic quantum ring with spiral dislocation
[arXiv] 2026-06-29 | Surviving the Attack of the Clones
[arXiv] 2026-06-29 | B3O: Scalable Boltzmann Batch Bayesian Optimization
[arXiv] 2026-06-29 | When Natural Variables Are Not Enough: Teaching Integer Programming with Sudoku
[arXiv] 2026-06-29 | Characterizing Optimizer-Dependent Training Dynamics Through Hessian Eigenvector Displacement and Localization
[arXiv] 2026-06-29 | EvalSafetyGap: A Hybrid Survey and Conceptual Framework for LLM Evaluation-Safety Failures
[arXiv] 2026-06-29 | All-Optical Control of Birefringence in a Cold Atomic Ensemble
[arXiv] 2026-06-29 | Rolling Two-Dimensional Collinear Magnets into Chiral Nanotubes with $p$-Wave Magnetism
[arXiv] 2026-06-29 | Improving Beam Quality in Gravitational-Wave Interferometers Illuminated by Higher-Order Laguerre-Gaussian Modes
[arXiv] 2026-06-29 | Forewarned is Forearmed: When Non-Sequential Embedding Turns Into an Anomaly Detector
[arXiv] 2026-06-29 | Hidden Dependence and Aggregate Tail Risk
[arXiv] 2026-06-29 | Domain Adaptation with Adaptive Imagination for Visual Reinforcement Learning under Limited Target Data
[arXiv] 2026-06-29 | Quadratic Gauge Transformation
[arXiv] 2026-06-29 | Braided cogroupoids
[arXiv] 2026-06-29 | Federated Learning with Energy-Based Structured Probabilistic Inference
[arXiv] 2026-06-29 | Spin bath mediated long-lived coherent oscillations of NV centers in diamond
[arXiv] 2026-06-29 | FacePlex: Full-Duplex Joint Speech-Facial Motion Generation for Conversational Avatars
[arXiv] 2026-06-29 | Joint population and strong-lensing inference for resolved gravitational-wave events probes the black-hole merger rate beyond the peak of star formation
[arXiv] 2026-06-29 | A Modular Benchmark of Variational Quantum Attack Algorithms for S-DES
[arXiv] 2026-06-29 | Query-Aware Spreading Activation for Multi-Hop Retrieval over Knowledge Graphs
[arXiv] 2026-06-29 | Beyond Absolute Positiveness for Universally Quantified Non-Linear Polynomial Constraints
[arXiv] 2026-06-29 | Inequalities between Dirichlet and Neumann eigenvalues in large dimensions
[arXiv] 2026-06-29 | Open Problems in Constitutional Preference Reconstruction
[arXiv] 2026-06-29 | Propagation of~Interval Belief Structures and~Imprecise Copulas for~Neural Network Verification
[arXiv] 2026-06-29 | Temporal Feature Extractors in EEG Foundation Models: A Controlled Comparison Including a Pretrained Time-Series Model
[arXiv] 2026-06-29 | A Systematic Framework for Evaluating Topological Representations in Single-Cell Classification
[arXiv] 2026-06-29 | Dynamical criterion for biased domain-wall formation
[arXiv] 2026-06-29 | One Forward Beats Two: InnerZoom for Accurate and Efficient GUI Grounding
[arXiv] 2026-06-29 | Clinical Risk-Aware Multi-Level Grading for Coronary Artery Stenosis through Curved Feature Reconstruction
[arXiv] 2026-06-29 | Ergodicity of reflected stochastic reaction-diffusion equations driven by space-time white noise
[arXiv] 2026-06-29 | Online Data Selection for Instruction Tuning via Gaussian Processes
[arXiv] 2026-06-29 | SrDetection: A Self-Referential Framework for Data Leakage Detection in Code Large Language Models
[arXiv] 2026-06-29 | Rethinking Forgery Attacks on Semantic Watermarks in Black-Box Settings: A Geometric Distortion Perspective
[arXiv] 2026-06-29 | Superhorizon curvature perturbations in hybrid inflation revisited
[arXiv] 2026-06-29 | Uncovering Similar but Different Packages in PyPI and Potential Security Threats
[arXiv] 2026-06-29 | FalconTrack: Photorealistic Auto-Labeled Perception and Physics-Aware Vision-Based Aerial Tracking
[arXiv] 2026-06-29 | Towards Generalizable and Evidential Nuclear Magnetic Resonance-Based Molecular Structure Elucidation via Large Language Model Agent
[arXiv] 2026-06-29 | Coherent manipulation of the biphoton generation in cavity-QED system
[arXiv] 2026-06-29 | Estimating Cosmological Parameters from Localized Fast Radio Bursts: A Method for Removing Milky Way Dispersion-Measure Contributions
[arXiv] 2026-06-29 | MR-IQA: A Unified Margin View of Regression and Ranking for Blind Image Quality Assessment
[arXiv] 2026-06-29 | Modeling Mode and Departure Time Responses to Congestion Pricing: A Spatial and Behavioral Analysis Using Cross-Nested Logit Model
[arXiv] 2026-06-29 | A Complete Classification of Discrete $d$-Pseudomanifolds with at Most $2d+7$ Vertices
[arXiv] 2026-06-29 | The substitutional atomic distance model for predicting lattice thermal conductivity in alloys
[arXiv] 2026-06-29 | DEEPMED Search: An Open-Source Agentic Platform for Medical Deep Research with Introspective Verification
[arXiv] 2026-06-29 | ECHO: Learning Epistemically Adaptive Language Agents with Turn-Level Credit
[arXiv] 2026-06-29 | Optimizing Nursing Care Taxi Dispatch Leveraging Integer Linear Programming Solvers and Machine Learning
[arXiv] 2026-06-29 | ScaleAware-JEPA: Latent Representation for Discovery in Multiscale Physical Fields
[arXiv] 2026-06-29 | Diagnosing and Mitigating Context Rot in Long-horizon Search
[arXiv] 2026-06-29 | Accurate Recognition of Pneumonia and COVID-19 by Geometric Shape Normalization of Lung Region using Automatic Landmark Detection and Piecewise Affine Warping
[arXiv] 2026-06-29 | Routes to rare events with optimally timed perturbations: a Tent Map is all you need
[arXiv] 2026-06-29 | Verified residual-specific explicit derivative kernels for physics-informed learning and discretized PDE adjoints
[arXiv] 2026-06-29 | Early Warning Signals for OpenVLA Failure under Visual Distribution Shift
[arXiv] 2026-06-29 | Clear Mind: Meditation and the Brain's Signal-to-Noise Ratio
[arXiv] 2026-06-29 | Quark--hadron duality in inclusive electron--proton scattering at high $Q^{2}$: structure functions and truncated moments from CLAS12
[arXiv] 2026-06-29 | Linear equations on $t$-modules
[arXiv] 2026-06-29 | Fourier--Hankel Moment Methods for Topological Counting and Phase-Center Recovery in Acoustic Inverse Scattering
[arXiv] 2026-06-29 | Lateral String Stability for Vehicle Platoons
[arXiv] 2026-06-29 | I-BBS: Coordinate-Free Inference of Latent Sub-Manifolds Using Random Distance Matrix Theory
[arXiv] 2026-06-29 | Magnetic Reconnection in Galaxy Clusters
[arXiv] 2026-06-29 | Palindromes on the $τ$-circle: A note for Palindrome Tau Day, 6/28/26
[arXiv] 2026-06-29 | Scalar Representations of Neural Network Training Dynamics
[arXiv] 2026-06-29 | Using Large Language Models as Low-Cost Statistical Estimators for Human-Response Data
[arXiv] 2026-06-29 | Decision-support strategies for photovoltaic self-consumption under declining electricity prices and limited remuneration of surplus generation
[arXiv] 2026-06-29 | OLIVE: View-Augmented Latent Prediction with Waveform Reconstruction for Speech SSL
[arXiv] 2026-06-29 | FastPano3D: Feed-Forward Indoor Panoramic 3D Reconstruction from a Single Image
[arXiv] 2026-06-29 | FFAvatar: Feed-Forward 4D Head Avatar Reconstruction from Sparse Portrait Images
[arXiv] 2026-06-29 | Detector-Output Instability near the Kesten-Stigum Boundary: Separating Hard Readout, Relaxation, and Fixed-Point Dispersion
[arXiv] 2026-06-29 | GKAT with Hoare Hypotheses
[arXiv] 2026-06-29 | BayesEvolve: Explicit Belief States for Autonomous Scientific Discovery
[arXiv] 2026-06-29 | UniGP: Taming Diffusion Transformer for Prior-Preserved Unified Generation and Perception
[arXiv] 2026-06-29 | Open-Vocabulary and Referring Segmentation for 3D Gaussians Using 2D Detectors
[arXiv] 2026-06-29 | Rauzy-Veech Induction for Infinite-Type IETs
[arXiv] 2026-06-29 | Optimization Dynamics Imprint Semantic Specificity in Contrastive Embedding Norms
[arXiv] 2026-06-29 | A Jacobi Coupling Construction on Associated Bundles
[arXiv] 2026-06-29 | UnfoldArt: Zero-Shot Recovery of Full Articulated 3D Objects from Text or Image
[arXiv] 2026-06-29 | Pointed Evaluation Fibers of Rational Curves on del Pezzo Manifolds
[arXiv] 2026-06-29 | Wireless Backdoor Attack and Defense for Semantic Communications over Multiple Access Channel
[arXiv] 2026-06-29 | Untangling QLDPC Codes with Biased Noise Ancilla
[arXiv] 2026-06-29 | A Multi-task Mixture of Experts Framework for Malware Classification, Packing Detection, and Family Attribution
[arXiv] 2026-06-29 | Revisiting crossed-correlated baths in open quantum systems simulated by HEOM or T-TEDOPA
[arXiv] 2026-06-29 | The Role of Vehicles in Digital Forensic Investigations: A Structured Synthesis of Digital Vehicle Forensic Characteristics
[arXiv] 2026-06-29 | The Human Creativity Benchmark
[arXiv] 2026-06-29 | TraceLab: Characterizing Coding Agent Workloads for LLM Serving
[arXiv] 2026-06-29 | A Lightweight Post-Quantum Authentication Framework for 5G Base Station Bootstrapping
[arXiv] 2026-06-29 | Computing the Integral R2 Indicator by Perspective Mapping and Box Decomposition
[arXiv] 2026-06-29 | $μ$Flow: Leveraging Average Images for Improving Generalisation of Deepfake Faces Detectors
[arXiv] 2026-06-29 | HASTE: A Framework for Training-Free, Dynamic, and Steerable Compression of Pre-Trained Convolutional Neural Networks
[arXiv] 2026-06-29 | Electrophoretic motion of a liquid droplet with Brinkman-screened internal hydrodynamics
[arXiv] 2026-06-29 | Informational Frustration in Neural Manifolds: Shannon Bottlenecks and the Limits of Learnability
[arXiv] 2026-06-29 | Spontaneous Symmetry Breaking and Emergent Helicity in Achiral D4h-Symmetric Zinc Phthalocyanine Condensates
[arXiv] 2026-06-29 | High-Resolution Spectroscopy of Raman-scattered He II Lines in the Symbiotic Nova RR Telescopii
[arXiv] 2026-06-29 | Offline accuracy is not enough: closed-loop instability and stabilisation of a wall-sensor neural estimator in opposition control
[arXiv] 2026-06-29 | Situation Perception: A Necessary Primitive to Artificial Superintelligence
[arXiv] 2026-06-29 | COHORT: Collaborative Orchestration for Hardening via Offensive Replay on Emulated Topologies
[arXiv] 2026-06-29 | Orbits on a product of two flags and a line and the Bruhat order, II
[arXiv] 2026-06-29 | PGE-SAM: Prompt-Guided Feature Enhancement for Interactive Segmentation under Degradation
[arXiv] 2026-06-29 | Mechanical Manipulation of Graphene Auto-Kirigami with an AFM tip
[arXiv] 2026-06-29 | Stable Qubit Readout and the Identifiability of Population Change
[arXiv] 2026-06-29 | HSAP: A Hierachical Sequence-aware Parallelism for Hybrid-Context Generative Models
[arXiv] 2026-06-29 | Behavior Prompting Policy: Demonstrations as Prompts for Manipulation
[arXiv] 2026-06-29 | Iterated Tikhonov regularization of large linear problems
[arXiv] 2026-06-29 | Fourier decay and $L^p$ Sobolev smoothing for weighted hypersurface measures in ${\mathbb R}^3$
[arXiv] 2026-06-29 | Transformer Architectures as Complete Bayes Processes: A Formal Proof in the Measure-Theoretic Kernel Framework
[arXiv] 2026-06-29 | Exact approximation order of real numbers in Cantor series expansions
[arXiv] 2026-06-29 | Connecting Density Matrix Spectroscopy to Biexciton Entanglement Dynamics
[arXiv] 2026-06-29 | Perfect closure detects injective dimension
[arXiv] 2026-06-29 | Diffusion Fine-tuning with Rewarded Moment Matching Distillation
[arXiv] 2026-06-29 | HUMEMBR: Learning Human Routines for Predictive Embodied Navigation
[arXiv] 2026-06-29 | Rigel: Self-Distilled Score Adaptation for Image and Video Captioning Evaluation
[arXiv] 2026-06-29 | Cosmology-dependent covariance in galaxy cluster number counts: consequences for parameter inference
[arXiv] 2026-06-29 | Pulses, waves, and cascades in collective migration dynamics
[arXiv] 2026-06-29 | Quantum-enhanced Monte Carlo Tree Search framework for combinatorial optimization problems
[arXiv] 2026-06-29 | Baryon Light-Cone Distribution Amplitudes from Lattice QCD: Formalism, Renormalization, Extrapolation, and Matching
[arXiv] 2026-06-29 | The Role of the Volume in Black Hole Thermodynamics
[arXiv] 2026-06-29 | Sparse Sensor Placement in Multi-Agent Reinforcement Learning Control of Rayleigh-Bénard Convection
[arXiv] 2026-06-29 | Perfect elliptic dichroism: Probing the metric of anisotropic quantum Hall droplets
[arXiv] 2026-06-29 | A note on the maximal covering location problem with customer preference ordering
[arXiv] 2026-06-29 | Compact deep learning pipeline for particle track reconstruction in the pCT detector system
[arXiv] 2026-06-29 | Lighting Up the CGM: Strong, Jet-Aligned $Hα$ Emission around Radio Galaxies
[arXiv] 2026-06-29 | The Conway knot has infinite concordance order
[arXiv] 2026-06-29 | SIMAX: A Scalable and Interpretable Framework for Multi-Fidelity and Annotated Clinician-Patient Dialogue Simulation
[arXiv] 2026-06-29 | Double weighted sum involving $\mathrm{GL}(2)$ Fourier coefficients
[arXiv] 2026-06-29 | Gravitational time advancement effect in Bumblebee gravity for Earth bound systems
[arXiv] 2026-06-29 | On a Class of Harko-Kovacs-Lobo Wormholes
[arXiv] 2026-06-29 | The Bohr Phenomenon for Close-to-Convex Harmonic Mappings
[arXiv] 2026-06-29 | Making Multimodal LLMs Reliable Chart Data Extractors: A Benchmark and Training Framework
[arXiv] 2026-06-29 | Concept Removal Guidance: Evidence-Calibrated Negative Guidance for Safe Diffusion Sampling
[arXiv] 2026-06-29 | Scalable coarse-to-fine spatial downscaling
[arXiv] 2026-06-29 | Nonlocal effects via Local Quantum Fisher Information: Characterizations and Interpretations
[arXiv] 2026-06-29 | UniTriSplat: A Unified 3D Gaussian Splatting Framework with Uniform Spherical Rasterization for Universal Cameras
[arXiv] 2026-06-29 | Are Humans Evolved Instruction Followers? An Underlying Inductive Bias Enables Rapid Instructed Task Learning
[arXiv] 2026-06-29 | MemLeak: Diagnosing Information Leaks in Multimodal Agent Memory
[arXiv] 2026-06-29 | UrbanCDNet: Appearance-Robust and Boundary-Aware Bitemporal Change Detection for Korean Urban Building Monitoring
[arXiv] 2026-06-29 | The Longevity of Innovation
[arXiv] 2026-06-29 | Quantum Circuit Realization of the PPT and CCNR Criteria
[arXiv] 2026-06-29 | TopoAgent: An Agentic Framework for Automated Topology Learning in Medical Imaging
[arXiv] 2026-06-29 | Probing the Stochastic Machine: Engaging with LLMs in Statistics Curricula Through Veridical Data Science
[arXiv] 2026-06-29 | Managing Map Cardinality in Automatic Disease Classification Mapping: Balancing Precision, Recall and Coverage
[arXiv] 2026-06-29 | HTC-SGA Former: A Hybrid Transformer-CNN Network with Self-Guided Attention and a New Boundary-Weighted Adaptive Loss for Coronary DSA Vessel Segmentation
[arXiv] 2026-06-29 | 3-packings in Triangulations: Algorithms, bounds, and Complexity
[arXiv] 2026-06-29 | MicroAgent: Context-Augmented Multi-Agent Framework for Automatic Microservice Decomposition
[arXiv] 2026-06-29 | Fast Numbers, Slow Language: Bridging Quantitative and Qualitative Earnings Signals
[arXiv] 2026-06-29 | Testing hypotheses via orthogonalization
[arXiv] 2026-06-29 | Simplifying Flow Matching Transformations with Low-Rank Mixture Models
[arXiv] 2026-06-29 | Optimizing Expert-Designed Crystal Graph Networks for Band-Gap Prediction with an Autonomous LLM Research Loop
[arXiv] 2026-06-29 | A square-root complex inequality and its induced metric structure
[arXiv] 2026-06-29 | Bash-Commenter: Leveraging Syntax-Aware Preference Optimization to Reinforce Large Language Model for Bash Code Comment Generation
[arXiv] 2026-06-29 | Quasibound states of a charged Dirac field around regular black holes
[arXiv] 2026-06-29 | IG-Lens: Exact Additive Probability Attribution Across Transformer Layers via Telescoping Integrated Gradients
[arXiv] 2026-06-29 | CAREBench: A Child-Safety Risk Benchmark for Language Models
[arXiv] 2026-06-29 | Evolutionary Hyperparameter Optimization to Find Lightweight CNN Models for Autonomous Steering
[arXiv] 2026-06-29 | Sample-Efficient Learning of Probabilistic Causes for Reachability in Markov Decision Processes with Probabilistic Guarantees
