[2026-07-06 23:07:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-05
正在获取论文...
[ACM] 2026-7-5 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[ACM] 2026-7-6 | AI-Assisted Programming Learning
[ACM] 2026-7-6 | Epistemic Programming as a Scientific Field: Building a Community of Practice and an Interaction-Based Framework
[ACM] 2026-7-6 | Documenting K-12 CS Education Around The World
[ACM] 2026-7-6 | Mapping the Research on Collaboration in Computing Courses
[ACM] 2026-7-6 | To Tab or Not to Tab: Measuring Critical Engagement in AI Code Completion Tools Using Behavioral Signals and Attention Checks
[ACM] 2026-7-6 | Beyond One-Size-Fits-All Exercises: Personalizing Computer Science Worksheets with Large Language Models
[ACM] 2026-7-6 | REfact: Growing with Movement – A Hybrid Performance
[ACM] 2026-7-6 | Virtual Theatre: Producing Live Theatre on Virtual Stages
[ACM] 2026-7-6 | Chemistry Context Programming Activities for CS1
[ACM] 2026-7-6 | Beyond Make-and-Model: Simplifying IoT Network Management with Behavioral Metaclasses
[IEEE] 2026-7-6 | Distributed Target-Enclosing Formation Maneuver Control for Multiple AUVs With Prescribed Convergence Time
[IEEE] 2026-7-6 | Performance Analysis for Random Network Access Delay of Single Hop Ad Hoc Network under Saturation Conditions
[IEEE] 2026-7-6 | Model-Based SMC Strategy for Speed Control with a sensorless Load-Torque SM Observer: Analysis and Experimental Validation Using an IM
[IEEE] 2026-7-6 | Accurate and Efficient Privacy-Preserving TPE-Image Retrieval in Cloud-assisted Internet of Things
[IEEE] 2026-7-6 | 3-D Pose Estimation With 1-D AOA Measurements Under Linear Array Imperfections
[IEEE] 2026-7-6 | Threefold Consensus-Driven Anchor Alignment for Efficient Multi-View Clustering
[IEEE] 2026-7-6 | Dual-Objective Optimization-Based Current Mitigation for Five-Phase PMSM with Inter-Turn Short-Circuit Fault
[IEEE] 2026-7-6 | A Compact, Low-Power Voltage-Gap-Based Power-on-Reset Circuit With a Programmable Trip Point for Near-
                    <i>V</i>
                    <sub>TH</sub>
                    Computing Applications
[IEEE] 2026-7-6 | Semi-Supervised Video-SAR Multi-Shadow Tracking via Spatiotemporal Dynamics
[IEEE] 2026-7-6 | Dual-Output Hybrid Direct AC-AC Converter Based on Boost Converter and Switched-Capacitor with Voltage Doubling Capability
[IEEE] 2026-7-6 | Online Virtual Impedance Optimization Based Grid Current Harmonics Suppression Strategy for Electrolytic Capacitorless PMSM Drives
[IEEE] 2026-7-6 | Optimized Hybrid Triple Phase Shift Modulation With Indirectly Reduced RMS Current and Extended ZVS Range for DAB Converters
[IEEE] 2026-7-6 | Passive Lossy Transmission Line Model Based on the Generalized Method of Characteristics
[IEEE] 2026-7-6 | Structured Random Models for Phase Retrieval with Optical Diffusers
[IEEE] 2026-7-6 | AI-Enhanced Self-Optimizing Networks (SON) for Next-Generation 5G/6G Architectures
[IEEE] 2026-7-6 | A Dual-source Fusion Enhancement method for Question Answering on Acute Mountain Sickness
[IEEE] 2026-7-6 | Intervention of Blockchain Based Secured Predictive Analytics in Early Detection of Alzheimer's Disease Using AI &amp; ML Techniques
[IEEE] 2026-7-6 | ORI : Ordinal-feedback for Refining and Instructing LLMs toward Alignment
[IEEE] 2026-7-6 | Adaptive Ads Moderation under Evolving Policies via Policy-Aligned Question Answering
[IEEE] 2026-7-6 | AdaAttack: Energy-Guided Adaptive Strategy Coordination for Query-Efficient Black-Box Adversarial Attacks
[IEEE] 2026-7-6 | Multi-UAV Cooperative Scheduling under Urgent and Constrained Time Windows
[IEEE] 2026-7-6 | Grouped Robust Secure Aggregation Scheme for Cross-Device Federated Learning
[IEEE] 2026-7-6 | Bimodal Enhanced Knowledge-Guided Prompt Alignment for Multi-Modal Prompt Learning
[IEEE] 2026-7-6 | Multi-Task Multimodal Learning for Fake News Detection in Multi-Image Social Media Content
[IEEE] 2026-7-6 | MAFnRL: A Cross-Modal Semantic Fusion for Malware Classification
[IEEE] 2026-7-6 | An Adaptive Multipopulation Ant Colony System Approach for Multiobjective Carpool Dispatch
[IEEE] 2026-7-6 | MME: An Efficient Multi-objective Evolutionary Algorithm for Multi-workflow Scheduling in JointCloud Environments
[IEEE] 2026-7-6 | A Hybrid Metaheuristic-Hierarchical Approach for PDF Document Clustering Using Orca Predation Algorithm and Agglomerative Clustering
[IEEE] 2026-7-6 | A Causality-Aware Multi-Agent Framework for Fault Diagnosis and Tolerance in TSN
[IEEE] 2026-7-6 | A Lightweight Residual Quantum Deep Learning Model for Grading of Age-related Macular Degeneration
[IEEE] 2026-7-6 | FairFarm: Attention-Driven MobileNet Architecture for Banana Leaf Disease Detection and Intelligent Selling Framework
[IEEE] 2026-7-6 | Vertical Profiles of Cloud Properties at the ENEA Lampedusa Station for Climate Observation Derived from Cloudnet Retrieval
[IEEE] 2026-7-6 | An Efficient Secured Augmented Reality Model with H2O Deep Learning Algorithm in Energy Efficient Internet of Things Environment
[IEEE] 2026-7-6 | AI-Domain-Specific Summarization of Documents Composed of Text and Graphics and PPT Generation with Using BERT,LSTM
[IEEE] 2026-7-6 | ICCTWC 2026 Schedule
[IEEE] 2026-7-6 | A Compact Quad-Element Sub-6 GHz MIMO Antenna with Enhanced Isolation for 5G Applications
[IEEE] 2026-7-6 | A Scalable AI-Driven Intelligent System for Monitoring and Responding to Digital Harassment
[IEEE] 2026-7-6 | An Adaptive Multi-Scale Fusion Model Based on Mamba for Skin Lesion Image Segmentation
[IEEE] 2026-7-6 | HerCraft: A Digital Platform for Women Entrepreneurs Integrating E-Commerce, Community, and Skill Development
[IEEE] 2026-7-6 | MultiCAD: A Continual-Learning-Based Multi-Class Anomaly Detection Method
[IEEE] 2026-7-6 | Diversity Regularized Global-local Feature Learning for Osteoporosis Diagnosis
[IEEE] 2026-7-6 | YOLOv8-BDL: An Improved YOLOv8-Based Segmentation Network for Disease Detection in Earthen Archaeological Sites
[IEEE] 2026-7-6 | Scheduling of a Single-Arm Cluster Tool for Processing Two Types of Wafers with Parallel Processing
[IEEE] 2026-7-6 | A Sentiment-Enhanced Multimodal Synergistic Fusion Scheme for High-Performance Rumor Detection
[IEEE] 2026-7-6 | Dual Input High Step up Converter with Magnetic Coupling for EV Power Interfaces
[IEEE] 2026-7-6 | Enhancing Bird Species Recognition Through Dynamic Augmentation Optimization
[IEEE] 2026-7-6 | Secure Cloud Computing in Distributed Network Using Deep-Q-Learning
[IEEE] 2026-7-6 | Cargo Box Detection Algorithm Based on Cross-Domain Adaptation and Contrastive Learning
[IEEE] 2026-7-6 | Energy-Efficient Automation Control System Using AI-Powered Digital Twins for Industrial Process Monitoring
[IEEE] 2026-7-6 | A Multi-Layer Model Based on Domain-Adaptive Pre-Training for Entity Recognition in Open-Source Intelligence
[IEEE] 2026-7-6 | Design and Development of Methods for Protecting Copyrighted Images from Unauthorized Use in Generative AI Systems
[IEEE] 2026-7-6 | An Agentless Monitoring System for Collaborative e-Learning Platform in Unstable Environments
[IEEE] 2026-7-6 | Adaptive Key Segment Selection &amp; Dynamic Encoding for Long-Duration Speech Suicide Detection
[IEEE] 2026-7-6 | Design of Dual-Band T-Shaped, U-Shaped and H-shaped Microstrip Antennas for Wireless Applications
[IEEE] 2026-7-6 | Gaussian Naïve Byes-Driven Translational Analytics Model for Recommending Optimal Crops: A Model Application Study on Rice, Coffee, Watermelon, Corn
[IEEE] 2026-7-6 | MOP: A Multimodal Object-Aware Policy for Robotic Manipulation Via Geometry-Guided Fusion and Trajectory Prediction
[IEEE] 2026-7-6 | Synergistic Blood Pressure Estimation via Contactless mmWave Radar and Imaging Photoplethysmography: A Feasibility Study_supp1-3706110.pdf
[ACM] 2026-7-5 | A Dataset of Agentic AI Coding Tool Configurations
[ACM] 2026-7-6 | A Good Rubber Duck Does Not Quack: Designing Socratic Scaffolding in AI Tutors
[ACM] 2026-7-6 | Pre-Recorded 'Vivas' for Assessing Code Understanding Amidst AI-Assisted Programming
[ACM] 2026-7-6 | From Fragmentation to Architecture: A Spiral Curriculum Model for Integrating Data Science into K-12 Education
[ACM] 2026-7-6 | Student Misconceptions and Strategies in Git/GitHub Processes
[ACM] 2026-7-6 | Co-creating Course Expectations with Students in a Computer Science Course
[ACM] 2026-7-6 | Using LLM to Autograde Diagrams
[ACM] 2026-7-6 | Uncertainty-Guided Adaptive Knowledge Distillation for Lightweight Cross-Domain Object Detection
[IEEE] 2026-7-6 | IEEE Transactions on Radiation and Plasma Medical Sciences Information for Authors
[IEEE] 2026-7-6 | Table of Contents
[IEEE] 2026-7-6 | Member Get-a-Member (MGM) Program
[IEEE] 2026-7-6 | MA-APD: Multi-Agent Asynchronous Probability-Decomposed Policy Gradient for Time-Constrained Moving Target Search
[IEEE] 2026-7-6 | TEPRC: Threshold ElGamal-Based Privacy-Preserving Relay Cross-Chain Protocol
[IEEE] 2026-7-6 | MSSA-Det: A Lightweight Multi-Scale Semantic–Spatial Alignment Detector for Micro-Defect Detection in UAV Aerial Images
[IEEE] 2026-7-6 | Federated Learning with Dynamic Privacy Budget for Cement Loss on Ignition Prediction
[IEEE] 2026-7-6 | Federated Semi-Supervised Learning with Progressive Contrast-to-Consistency Learning
[IEEE] 2026-7-6 | Automation at Odds with User Experience: Understanding Public Perceptions of Customer Service Chatbots in China
[IEEE] 2026-7-6 | Automated Identification of Agricultural Pests Using CNN and Android Integration
[IEEE] 2026-7-6 | Nimbus: An AI Powered Smart Drone Tracking and Neutralization
[IEEE] 2026-7-6 | SCE-GAD: Contrastive Learning-based Anomaly Detection in Attributed Graphs
[IEEE] 2026-7-6 | AI-Driven Multilingual Legal Advisory Framework with Privacy-Preserving E-Docs and Case Precedent Mining
[IEEE] 2026-7-6 | Stereotype-Strategy Interplay: Warmth and Competence as Moderators of Persuasion Effectiveness in Online Communities
[IEEE] 2026-7-6 | Enhanced Emotion Recognition with FER+ and EfficientNetV2B1: A Class-Weighted Learning Approach
[IEEE] 2026-7-6 | A Curriculum-Guided Multi-Task Learning Fine-Tuning Framework: Enhancing Low-Resource Machine Translation with Large Language Models
[IEEE] 2026-7-6 | Towards Semantic Redundancy Mitigation for Medical Image Segmentation
[IEEE] 2026-7-6 | PoisonCraft: Practical Poisoning of Retrieval-Augmented Generation for Large Language Models
[IEEE] 2026-7-6 | Reconciling Reduced the Sense of Ownership and Agency toward a Virtual Keypad with Enhanced Haptic Experience Using Visually Adjusted Self-Haptics for Key-Input Interaction
[IEEE] 2026-7-6 | DGMLA: Gaussian Label Assignment for RatHole Small Object Detection
[IEEE] 2026-7-6 | MST-DDF: Multi-scale Spatio-Temporal Dynamic Defense Framework with Uncertainty-Guided Resource Allocation
[IEEE] 2026-7-6 | TGTC: A Temporal Graph Neural Network for Encrypted Traffic Classification
[IEEE] 2026-7-6 | CNF: A Causality-Consistent Normalizing Flow for Multivariate Time-Series Anomaly Detection
[IEEE] 2026-7-6 | A Comparative Evaluation of Machine Learning Models for DDOS Detection in 5G Networks
[IEEE] 2026-7-6 | Robust Error Detection and Correction for Low-Power, High-Speed Digital Data Communication
[IEEE] 2026-7-6 | List of Reviewers
[IEEE] 2026-7-6 | IOTA: Notebook Framework for IoT Analytics at Edge
[IEEE] 2026-7-6 | HiLegalSum: Hybrid Extractive Summarization of Long Legal Texts
[IEEE] 2026-7-6 | A Vessel-Aware Preprocessing Framework with Deep Neural Networks for Accurate Retinopathy of Prematurity Classification
[IEEE] 2026-7-6 | Hybrid ECM and LSTM Approach for State-of-Health Estimation of Lithium-ion Batteries
[IEEE] 2026-7-6 | Trifusion-RWKV for Complex Degradation Restoration in Library and Archive Environments
[IEEE] 2026-7-6 | Synergistic Solar Photovoltaic and Vertical Axis Wind Turbine Generation
[IEEE] 2026-7-6 | Hybrid Gradient Boosting–Based Fraud Intelligence for Secure and Efficient Open Banking Systems
[IEEE] 2026-7-6 | Cement Microstructure Image Segmentation Based on an Efficient Hierarchical Multiscale Convolutional Attention Network
[IEEE] 2026-7-6 | Modular Energy Management Via Distributed and Predictive Optimization for Fuel Cell-Battery Shipboard Microgrids
[IEEE] 2026-7-6 | Transient-RAG: Ephemeral Graph Topology for Dynamic Reasoning
[IEEE] 2026-7-6 | HABA: A Heterogeneity-Aware Asynchronous Batch Training Framework for Efficient Distributed Deep Learning
[IEEE] 2026-7-6 | SSG-UNet: State-Space-Guided U-Net with Global-Local Context Interaction for Medical Image Segmentation
[IEEE] 2026-7-6 | SLAKA-WS: Secure and Lightweight Authentication and Key Agreement Scheme for Wearable Devices Used in Sports-IoT
[IEEE] 2026-7-6 | SynaLumi: An Embodied Intelligence Interaction System for the Blind or Low-Vision Populations Based on Large Multimodal Models
[IEEE] 2026-7-6 | Breaking the Measurement Range Limit in Micro-wave Photonic Sensing Using Spectral Profiles
[IEEE] 2026-7-6 | Dynamic-Memory Event-Triggered Prescribed Performance Optimal Containment Control for Nonlinear Multi-agent Systems under DoS Attacks
[IEEE] 2026-7-6 | A Capacitor Voltage Balancing Strategy for Single DC-Source NPC Inverter Fed Symmetrical Six-Phase Induction Motor Drives For Electric Vehicles
[ACM] 2026-7-5 | Kubernetes Misconfigurations in the Wild: Taxonomy, Evolution, and Automated Repair with Large Language Models
[ACM] 2026-7-6 | AttackLogGen: Benchmarking LLMs for generating attack logs
[ACM] 2026-7-6 | Failure is an Option: Growing Student Metacognition and Resilience in Undergraduate CS
[ACM] 2026-7-6 | A Virtual Lab for Learning AI Security and Adversarial Prompt Engineering
[ACM] 2026-7-6 | CS Undergraduate Women's Experiences in the First Year of Study
[ACM] 2026-7-6 | Gendered Perceptions of Success in Computer Science
[ACM] 2026-7-6 | Non-functional requirements: The issues online forum users are discussing about
[ACM] 2026-7-6 | Scale, Concentration, and Entry Timing in the Shopify App Ecosystem
[ACM] 2026-7-6 | COSETO: An Evidence-based AI Approach for Software Component Comparison
[IEEE] 2026-7-6 | CPAN: Cyclical Perception-Action Network for Visual Question Answering
[IEEE] 2026-7-6 | FHRformer: A Frequency-Enhanced Transformer with Integrated Cumulative Historical Mechanism and Learnable High-Rank Matrix for Multivariate Time Series Forecasting
[IEEE] 2026-7-6 | Microring-Based Microwave Generation: Experimental Comparison of Self-Injection Locking Approaches
[IEEE] 2026-7-6 | An Efficient and Threshold Private Set Intersection for Privacy-Enhanced Vertical Federated Learning in Consumer Systems
[IEEE] 2026-7-6 | Front Cover
[IEEE] 2026-7-6 | SFSTrack: Spatial-Frequency Synergistic Transformer for Robust Nighttime UAV Object Tracking
[IEEE] 2026-7-6 | Uncertainty-Guided Semi-Supervised Change Detection for Remote Sensing Images
[IEEE] 2026-7-6 | Bi-SPLGTNet: A Bidirectional Spatial-Latent Graph Transformer for Traffic Forecasting
[IEEE] 2026-7-6 | Dynamic Classification Method for Encrypted Traffic Using Reinforcement Learning and Lightweight Adversarial Training
[IEEE] 2026-7-6 | Vehicle Detection in Synthetic Aperture Radar Images with Multi-Scale and Outlook Attention
[IEEE] 2026-7-6 | Artificial intelligence and blockchain for achieving supply chain resilience and sustainability: An empirical investigation in the Peruvian coffee supply chain
[IEEE] 2026-7-6 | Design of Multi-level Intelligent Agent Collaborative Question Answering System for Libraries
[IEEE] 2026-7-6 | MMFNET:A Multi-Scale Multi-Receptive Field Fusion Network for Human Pose Estimation
[IEEE] 2026-7-6 | An Adaptive Block-LSTM for Arcing Prediction in Pantograph-Catenary Systems
[IEEE] 2026-7-6 | CKG-RAG: Enhancing LLM Reasoning in Medical Domain Using Contextual Knowledge Graphs
[IEEE] 2026-7-6 | Cross-Database Micro-Expression Recognition via Domain-Collaborative Disentanglement Network
[IEEE] 2026-7-6 | Scenario-Based Predictive Optimization of PV-BESS Systems for Enhanced V2G Flexibility Under Uncertainties
[IEEE] 2026-7-6 | Lower Body Trajectory Estimation with Kinematic Constraint Based on Inertial Measurement Units
[IEEE] 2026-7-6 | Iformer: Irregular Spatial-Spectral Transformer for Hyperspectral Image Classification
[IEEE] 2026-7-6 | Dual-Field Recovery and Distortion Correct for Ultra-High-Definition Image Demoiré
[IEEE] 2026-7-6 | Toward Reliable Collective Intelligence in LLM-MAS: Coordination, Challenges, and Future Directions
[IEEE] 2026-7-6 | Multi-Dimensional Gram Fingerprinting: A Unified Spectral Geometric Framework for Adversarial Detection
[IEEE] 2026-7-6 | 99.7% Efficient 800 V ZVS Partial Power Switched Capacitor Buck Converter with 650 V GaN HEMTs
[IEEE] 2026-7-6 | Optimal consensus adjustment mechanism for bidirectional fairness and efficiency in fuzzy social networks
[IEEE] 2026-7-6 | DGRN-FGO: A Dual-Grid Relative Navigation Framework Based on Factor Graph Optimization for Multi-UAV System in GNSS-Challenged Environment
[IEEE] 2026-7-6 | Siam-VO: A Siamese Network-Based Monocular Visual Odometry for High-Altitude Low-Texture Environments
[IEEE] 2026-7-6 | Distributed Conjugate Gradient Tracking with Prescribed Performance for Multi-Agent Convex Optimization
[IEEE] 2026-7-6 | TAGame: Multi-Agentic AI Coordinated Game for Task Allocation in Edge Computing Networking
[IEEE] 2026-7-6 | TeLL-Drive: Enhancing Autonomous Driving With Teacher LLM-Guided Deep Reinforcement Learning
[IEEE] 2026-7-6 | CoLA-Flow Policy: Temporally Coherent Imitation Learning Via Continuous Latent Action Flow Matching for Robotic Manipulation
[IEEE] 2026-7-6 | An Asset Management Model for the Ownership and Operation of Personally Owned Vehicles
[IEEE] 2026-7-6 | A Certificateless Proxy Re-Signature Scheme with Cryptographic Reverse Firewall for the Internet of Things
[IEEE] 2026-7-6 | A Cross-Attention Vision Transformer with Self-Adaptive Multi-Scale Fusion for Fault Diagnosis
[IEEE] 2026-7-6 | Green AI Integration for Secure and Sustainable IoT Communications in Wi-Fi 7 Networks: A Comparative Review
[IEEE] 2026-7-6 | A Pulse-Derived Resistance Ratio Metric for Rapid Battery State-of-Health Assessment
[IEEE] 2026-7-6 | K-Means Algorithm for Optimizing Initialization and Outlier Resistance Based on Density Peak and Gaussian Kernel
[IEEE] 2026-7-6 | Self-Tuning Sparse Attention: Multi-Fidelity Hyperparameter Optimization for Transformer Acceleration
[IEEE] 2026-7-6 | Exploration and Performance Analysis of F-Type Grid-Connected PV Inverter
[IEEE] 2026-7-6 | Precision Prediction of Milnacipran Blood Concentration Via Genetic Programming-Enhanced Xgboost with Multi-Omics Validation
[IEEE] 2026-7-6 | Enhanced Turbo Equalization for OTFS with LSMR Aided Initial Signal Detection
[IEEE] 2026-7-6 | Deep Learning-Based Early Detection of Dysgraphia in Children Using EfficientNetB0 Architecture
[IEEE] 2026-7-6 | GCPDP: A Spatio-Temporal Graph Model for Flight Delay Prediction with Causality and Periodicity
[IEEE] 2026-7-6 | Embedding ML-DSA Signatures in JPEG Using Deniable Steganography
[IEEE] 2026-7-6 | Robust Data Watermarking and Verification Framework for Tabular Datasets Using Teaching–Learning-Based Optimization (TLBO)
[IEEE] 2026-7-6 | Gpu Hierarchy and Memory Optimization Techniques: Focusing on Shared Memory Usage
[IEEE] 2026-7-6 | Detection of Augmented Reality Images with Facial Accessories
[IEEE] 2026-7-6 | Microservices-Based Architectural Patterns for High-Availability Systems
[IEEE] 2026-7-6 | Improving Automatic Medical Coding Performance Through Code Hierarchy and Co-Occurrence
[IEEE] 2026-7-6 | Intelligent E-Waste Categorization and Recycling Through CNN
[IEEE] 2026-7-6 | Machine Learning Based Smart Grid Energy Optimization on Embedded Edge Systems
[IEEE] 2026-7-6 | Smart Railway Safety System Using Al-Based Monitoring and Real-Time Incident Reporting
[IEEE] 2026-7-6 | Design and Structure of Autonomous Farming Robot
[IEEE] 2026-7-6 | From Raw Multimodal Features to LLM-Driven Semantic Representations for Recommendation
[IEEE] 2026-7-6 | FRADA: Robust Federated Recommender Systems based on Adversarial Data Augmentation
[IEEE] 2026-7-6 | Vision Based AI Pipeline for Predictive Pedestrian Behavior Analysis and Moving Object Segmentation in Autonomous Vehicles
[IEEE] 2026-7-6 | Lightweight PCB Defect Detection via Attention Enhancement and Global Context Fusion
[IEEE] 2026-7-6 | Crowdsourcing and Citizen Science in Sanitation and Environmental Health: a Rapid Review
[ACM] 2026-7-6 | Gender Gaps in CS1 Exams: The Role of Biased Question Framing
[ACM] 2026-7-5 | SOSecure: The Wisdom of the Crowd for Safer AI-Generated Code
[ACM] 2026-7-6 | Not Yet for Students: What Current Educator Prompting Practices Reveal About Pedagogical Gaps in LLM-Generated Feedback
[ACM] 2026-7-6 | Learning to Assess Software Quality: A Metric-Guided Peer Code Review Tool for Large-Scale Software
[ACM] 2026-7-6 | When Performance is Not Learning: Evidence from Generative AI Use in Operating Systems Education
[ACM] 2026-7-6 | Hands-On Demonstration of Information Retrieval and Word Embeddings Using a Harry Potter Theme
[ACM] 2026-7-6 | Enabling Student Ownership of LLM-Use through Team Contracts
[ACM] 2026-7-6 | Virtual Reality, Real Challenges: Lessons Learnt from a VR Deployment In-the-Wild
[ACM] 2026-7-6 | Teaching Theory of Computation in the STEM K-12 Curricula Through Impossibility and Undecidability Problems
[ACM] 2026-7-6 | Impact of Instructor Gender on Student Perceptions of Coding Demonstration Videos
[ACM] 2026-7-6 | VR Biosecurity Surveillance Training for Indigenous Rangers
[IEEE] 2026-7-6 | Advancing Face-to-Face Emotion Communication: A Multimodal Dataset (AFFEC)
[IEEE] 2026-7-6 | Energy-Efficient UAV Path Planning with Adaptive Charging for Smart Agriculture in Remote Areas
[IEEE] 2026-7-6 | Tracking Control of Quadrotor UAV under Time-Varying Wind Disturbances
[IEEE] 2026-7-6 | Text-Aware Gating Graph Recommendation under Sparse Interactions
[IEEE] 2026-7-6 | AdaTile: Adaptive Hybrid Tile Reconstruction for Efficient End-Edge Video Streaming
[IEEE] 2026-7-6 | IoTLearner: A model fine-tuning and output calibration method for dual-task analysis of IoT traffic
[IEEE] 2026-7-6 | What Drives User’s Participation in Citizen Science Projects Focusing on Crisis Events?
[IEEE] 2026-7-6 | Confidence-Guided Emotion-Text Feature Enhancement for Propaganda Detection
[IEEE] 2026-7-6 | Chain-of-Thought Calibration via Collaborative Knowledge Synthesis for Psych-Assessment Agents
[IEEE] 2026-7-6 | Text-Guided Granularity-Adaptive Medical Image Segmentation
[IEEE] 2026-7-6 | Progressive Damage Detection in Prototype Bridge using Magnetostrictive Sensor
[IEEE] 2026-7-6 | AE-GNN: An Attention-Enhanced Aggregation Strategy for Encrypted Traffic Classification
[IEEE] 2026-7-6 | Research on In-situ Bearing Temperature Measurement Method Based on Soft Magnetic Alloy Thin Film and Eddy Current Sensor
[IEEE] 2026-7-6 | Virtual reality Experiential learning System for Ancient Chinese poetry
[IEEE] 2026-7-6 | Thangka Image Captioning by Fusing Multi-Scale Features and Attention Mechanisms
[IEEE] 2026-7-6 | CCML: Fuzzing with Cross-Course Mutation Strategy Learning
[IEEE] 2026-7-6 | Privacy Protection of Energy Transaction Data Based on Blockchain and Homomorphic Encryption
[IEEE] 2026-7-6 | A Light-Load Improvement Technique for Three-Phase
                    <i>LLC</i>
                    Resonant Converter by Reconfiguration Circuit
[IEEE] 2026-7-6 | Exploring μSiPMs with BGO for Cherenkov time-of-flight in PET
[IEEE] 2026-7-6 | EC-LLM: Low-cost, Low-latency, High-quality Large Language Model Inference Based on Edge-cloud Collaboration
[IEEE] 2026-7-6 | Group-Level Feature-Aware Hybrid Coding for Adaptive Task-Oriented Tactile Communication
[IEEE] 2026-7-6 | Hybrid LASSO-SVQR Framework for Modeling Nonlinear Systemic Risk Dependencies
[IEEE] 2026-7-6 | CAF-Det: A Lightweight Coordinate-aware Feedback Detector for Small Objects in High-resolution UAV Imagery
[IEEE] 2026-7-6 | LLM-Driven Semantic Consistency Analysis for TRDP Implementations in Train Networks
[IEEE] 2026-7-6 | Target-Guided Multi-Agent System for Collaborative Fuzz Driver Generation
[IEEE] 2026-7-6 | Mitigating Leakage-Abuse Query Recovery Attack in Dynamic Searchable Symmetric Encryption via Differential Privacy
[IEEE] 2026-7-6 | SeasonalViT: A Dual-Scale Temporal Transformer for NDVI Forecasting
[IEEE] 2026-7-6 | State-Awareness-Based Adaptive Restoration for Differential-Interconnected MV-LV Distribution Networks
[IEEE] 2026-7-6 | Finger Topological Constraints and Depth Directed Multitasking for 3D Hand Pose Estimation
[IEEE] 2026-7-6 | Dual-Stream Cross-Modal Mixture of Experts for Multi-Domain Fake News Detection
[IEEE] 2026-7-6 | Joint Resource and Trajectory Optimization for Secure Communication with Cooperative Dual-UAV
[IEEE] 2026-7-6 | Video Interaction-Enhanced Knowledge Tracing based on Heterogeneous Graphs with Temporal Modeling in E-learning Environments
[IEEE] 2026-7-6 | L-BiTMix: A Lightweight Channel-Mix Temporal Convolutional Network for ECG Analysis
[IEEE] 2026-7-6 | Ant Colony Optimization for Solving Electric Vehicle Traveling Salesman Problems
[IEEE] 2026-7-6 | Digitalization Initiative in Rural Indonesia’s Water Service Management: Exploring the Potential for Transaction Cost Reduction
[IEEE] 2026-7-6 | Design and Implementation of a Wireless Power Transfer System for Electric Vehicles
[IEEE] 2026-7-6 | SIW Based Ultra Wideband Antenna for IoT and 5G Communication Systems
[IEEE] 2026-7-6 | Machine Learning Approaches of WIVERN L2 Products of LWP and IWP and Consequences on Path Integrated Attenuation
[IEEE] 2026-7-6 | Smart IoT-Based Terrace Gardening System
[IEEE] 2026-7-6 | Session Chairs
[IEEE] 2026-7-6 | Harmonic Mitigation in Solar Photovoltaic (PV) Arrays
[IEEE] 2026-7-6 | Fingerprint-Based Blood Group Classification Using Hybrid EfficientNetV2-S and ConvNeXt Deep Learning Architecture
[IEEE] 2026-7-6 | Fed-STC: Spatio-Temporal Cooperative Optimization for Robust Federated Learning
[IEEE] 2026-7-6 | TDIformer: Tri-Dimensional Interaction Transformer for Accurate Traffic Flow Prediction
[IEEE] 2026-7-6 | Fault-Aware RUL Prediction for Diesel Engines Using Physics-Motivated Degradation Models
[IEEE] 2026-7-6 | Preface
[IEEE] 2026-7-6 | Deindexed Bidirectional Parallel Search for Multi-Source Shortest Paths on Dynamic Graphs
[IEEE] 2026-7-6 | Unsupervised Multivariate Time-Series Anomaly Detection via Global-Frequency Priors and Guided Reconstruction
[IEEE] 2026-7-6 | Enhancing Cognitive Efficiency in Safety-Critical Gas-Powered Generator Operations Using Augmented Reality–Based Training
[IEEE] 2026-7-6 | Determination of Job Scheduling for a Flexible Flow Shop with Unrelated Parallel Machines and Non-Uniform Performance
[IEEE] 2026-7-6 | How IT Affordances Shape Purchase Intention in Live Streaming Commerce: An Empirical Study of Experience Quality and Trust for OTOP Products
[IEEE] 2026-7-6 | Learning-Based Inference of Vehicle Safety Capability from Structural and Performance Attributes
[IEEE] 2026-7-6 | Hybrid Machine Learning and Deep Learning Framework for Kidney Stone Detection
[IEEE] 2026-7-6 | T-S Fuzzy $H_\infty$ Control for Microbial Fuel Cells
[IEEE] 2026-7-6 | A Dual-Task Deep Network for Video Distortion EEG Decoding and Quality Assessment
[IEEE] 2026-7-6 | CrowdGraph: Crowdsourcing Positioning Based on Multimodal Graph Attention Model
[IEEE] 2026-7-6 | A Compact Interdigital-Structure-Loaded Near-Field Antenna with Low Data Leakage Risk for Metamaterial-Based WBANs
[IEEE] 2026-7-6 | Active Calibration of Reachable Sets Using Approximate Pick-to-Learn
[IEEE] 2026-7-6 | Where to Put Safety? Control Barrier Function Placement in Networked Control Systems
[ACM] 2026-7-6 | Flashover: Spatial Storytelling of Wildfire from Memory to Spatial Experience
[ACM] 2026-7-6 | Embedding Green Coding into Management Frameworks - An Integration Outlook
[ACM] 2026-7-6 | Exploring the Use of Generative AI for Sustainable Software Requirements Elicitation
[ACM] 2026-7-6 | Integrating Green Software Practices into Scrum: A Catalog of Measures and Systemic Challenges
[ACM] 2026-7-5 | REBench: A Procedural, Fair-by-Construction Benchmark for LLMs on Stripped-Binary Types and Names
