[2026-07-12 22:49:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-11
正在获取论文...
[ACM] 2026-7-11 | SIVF: GPU-Resident IVF Index for Streaming Vector Analytics
[YES] 108/171 | Abstain and Validate: A Dual-LLM Policy for Reducing Noise in Agentic Program Repair
[YES] 109/171 | Fixing Security Vulnerabilities with Agentic AI in OSS-Fuzz
[NO] 110/171 | torch_cufft: Extending PyTorch FFT Capacity with Multi-GPU and Descriptor-Resident cuFFTXt Execution
[NO] 111/171 | Quantum Bit-Parallel Swap Matching
[NO] 112/171 | Extracting Quantum-Ready Cores in Discrete Tomography
[NO] 113/171 | NCCLZ: Compression-Enabled GPU Collectives with Decoupled Quantization and Entropy Coding
[NO] 114/171 | Opportunities and Barriers for AI-Supported Quality Planning in the Automotive Domain: An Interview Survey at Volkswagen
[NO] 115/171 | Scaling Mobile Chaos Testing with AI-Driven Test Execution
[YES] 116/171 | Spec2Control: Automating PLC/DCS Control-Logic Engineering from Natural Language Requirements with LLMs - A Multi-Plant Evaluation
[YES] 117/171 | Proceedings of the IEEE/ACM 48th International Conference on Software Engineering: Software Engineering in Practice
[NO] 118/171 | Odin: Harnessing Rendering Visibility to Break Global Barriers in Distributed Point-Based Neural Rendering
[NO] 119/171 | Quantum LCS in Practice: Circuits, Optimizations, and Evaluation
[NO] 120/171 | OPAL: On-demand Progressive Accelerated Scientific Lossy Compression
[YES] 121/171 | On the Flakiness of LLM-Generated Tests for Industrial and Open-Source Database Management Systems
[NO] 122/171 | STAR: Decode-Phase Rescheduling for LLM Inference
[NO] 123/171 | MoE-Lens: Towards the Hardware Limit of High-Throughput MoE LLM Serving Under Resource Constraints
[NO] 124/171 | PCICF: A Pedestrian Crossing Identification and Classification Framework
[YES] 125/171 | LLM-Based Automated Diagnosis Of Integration Test Failures At Google
[NO] 126/171 | Green LLM Techniques in Action: How Effective Are Existing Techniques for Improving the Energy Efficiency of LLM-Based Applications in Industry?
[NO] 127/171 | DiTango: Cost-Effective Parallel Diffusion Generation with Selective Attention State Reuse
[NO] 128/171 | Analysis of I/O Subsystem Utilization on the Theta Supercomputer
[NO] 129/171 | Accelerating high-accuracy runtime estimation in adaptive sample selection for parallel scalability analysis with reiforcement learning
[NO] 130/171 | QProR: An Efficient Framework for Quantity-of-Interest Based Progressive Retrieval with Guaranteed Error Control
[NO] 131/171 | Building an LLM Gateway as an RSE: Patterns, Pitfalls, and a Case Study from Public Health Data Discovery
[NO] 132/171 | Pome: Parallelizing I/Os and Computations for Efficient LSM-tree-based Data Storage
[NO] 133/171 | R-Log: Incentivizing Log Analysis Capability in LLMs via Reasoning-based Reinforcement Learning
[NO] 134/171 | Eliminating Python Overhead in Predictive Neural Compression: A Native C++/LibTorch Implementation of TEZip
[NO] 135/171 | Efficient Tracking of Communities on Evolving Graphs with Leiden Algorithm
[NO] 136/171 | FluxZK: Scalable and Efficient Zero-Knowledge Proof Computation via GPU Acceleration
[NO] 137/171 | ExCC: External Memory Connected Components on Large Graphs
[NO] 138/171 | Krysha: Cost-Efficient Resource Orchestration for Geo-Distributed Serverless Microservices
[NO] 139/171 | Scaling Attention Beyond GPUs for LLM Inference
[NO] 140/171 | Merkle-Tree Weight Snapshot Deduplication for Provenance-Aware Auditing of Neural Network Training
[NO] 141/171 | A High-Performance Persistent Transactional Memory System via Cooperative Concurrency Control
[NO] 142/171 | Bridging Information Theory and Practice for Scientific Lossy Compression
[NO] 143/171 | νMG-LPA and νBM-LPA: Memory Efficient GPU-based Label Propagation Algorithms (LPA) for Community Detection
[NO] 144/171 | JANUS: Resilient and Adaptive Data Transmission for Enabling Timely and Efficient Cross-Facility Scientific Workflows
[NO] 145/171 | TACO: Efficient Communication Compression of Intermediate Tensors for Scalable Tensor-Parallel LLM Training
[NO] 146/171 | Graph Acceleration Techniques for Sparse Transformers
[NO] 147/171 | Achieving 86% Peak GPU Throughput for Distributed QR Factorization
[YES] 148/171 | Less Effort, More Productivity: Lessons Learned from Developing Millions of Lines of Code with Large Language Model
[NO] 149/171 | An Enterprise Marketplace for Unified Access to Multi-Cloud and Enterprise Products in a Large Banking Infrastructure
[YES] 150/171 | DSL or Code? Evaluating the Quality of LLM-Generated Algebraic Specifications: A Case Study in Optimization at Kinaxis
[NO] 151/171 | Product Manager Practices for Delegating Work to Generative AI: “Accountability must not be delegated to non-human actors”
[NO] 152/171 | UnPII: Unlearning Personally Identifiable Information with Quantifiable Exposure Risk
[NO] 153/171 | Bridging Code and Graphic: A Cross-Mode Framework for Large-Scale Network Scenario Construction
[YES] 154/171 | Automated Software Test Generation at Industry Scale Using a Multi-Agent Architecture and Workflow Integration
[YES] 155/171 | Correctness isn’t Efficiency: Runtime Memory Divergence in LLM-Generated Code
[NO] 156/171 | Group-TopK: Optimizing Distributed Training on Edge Devices via Communication Compression
[YES] 157/171 | AutoOracle: High-Quality C++ Test Oracle Generation via Data Quality-Driven and Filtering-Enabled LLMs
[NO] 158/171 | Addressing Test Flakiness: Practical Approaches in a Database-Reliant Industrial System
[YES] 159/171 | EvoC2Rust: A Skeleton-guided Framework for Project-Level C-to-Rust Translation
[YES] 160/171 | The SWE-Bench Illusion: When State-of-the-Art LLMs Remember Instead of Reason
[NO] 161/171 | “Still in the Loop”: Coping with Technostress in DevOps Teams and the Impact of GenAI
[NO] 162/171 | Challenges in Scaling R-tree Spatial Search on Processing-In-Memory
[NO] 163/171 | Delta-Based Rare Pattern Discovery with Quantum Speedup
[NO] 164/171 | Enabling Floating Point Virtualization With Tiny Numbers
[YES] 165/171 | Smart Paste: Automatically Fixing Copy/Paste for Google Developers
[NO] 166/171 | PerFrame: Monitoring GUI Loading Performance in Mobile Apps via Semantic Distinguish
[NO] 167/171 | Understanding Task Enjoyment in Software Development: A Mixed-Methods Study on Practitioners From Poland and Brazil
[NO] 168/171 | What Does Explainable AI Mean in Practice? Evaluative Requirements from a Longitudinal Clinical Case Study
[YES] 169/171 | Developers’ Experience with Generative AI - First Insights from an Empirical Mixed-Methods Field Study
[NO] 170/171 | Fault Tolerance of Accelerated Asynchronous Fixed-Point Iterations on Flexible Computing Infrastructure
[YES] 171/171 | Vibe Coding in Practice: Motivations, Challenges, and a Future Outlook – a Grey Literature Review
筛选完成：共 171 篇；Yes = 43 篇；已保存到 papers/select_paper2026-07-11.json。
邮件发送成功！
[2026-07-12 23:10:33] 任务执行成功！
