[2026-07-22 23:03:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-21
正在获取论文...
[arXiv] 2026-07-21 | DBMol: Design of High-Affinity, Target-Specific Small Molecules through Structure Prediction Models
[IEEE] 2026-7-22 | Shared-Kernel SVM for Minimum and Zero Common-Mode Voltage Suppression in Cascaded H-Bridge Converters
[IEEE] 2026-7-22 | Fabrication and Testing of Dual In-Line Packaged Programmable Optically Variable Resistors Utilizing Optical Coupling of Laser and Photoresistor
[IEEE] 2026-7-21 | A Security Authentication Scheme for 5G Railway Mobile Edge Computing Network Based on NTRU Lattice Theory
[IEEE] 2026-7-22 | Supporting PCBAs Over Consumer Electronic Devices: A Lightweight Detection Method for Surface Defect Detection
[IEEE] 2026-7-22 | Robust Data-Driven Method for Data and Label Noise Mitigation in Synchronous Machine Winding Short-Circuit Fault Diagnosis
[IEEE] 2026-7-21 | SwinR-UNet: A Hybrid Architecture for High-Precision Recognition and Width Calculation of Rural Highways
[IEEE] 2026-7-21 | Laboratory Investigation of SAR and Interferometric SAR Responses to Soil Moisture Dynamics
[IEEE] 2026-7-22 | A Wideband Mushroom-Surface-Embedded Dipole Antenna Made by Exciting Orthogonal Surface Wave Resonances
[IEEE] 2026-7-22 | Deep Q-Network-Based DDoS Detection for Enhanced Network Security
[IEEE] 2026-7-21 | Hybrid Adaptive Quantum Particle Swarm Optimization for High-Resolution 2D DOA Estimation Under Adverse Conditions
[IEEE] 2026-7-22 | Topology-Aware Embedding Network for Label-Free Radio Map Construction
[IEEE] 2026-7-22 | ICSigSys 2026 Cover Page
[IEEE] 2026-7-22 | Long-Term Optimal Strategy for Microgrid Energy Storage Based on Double Exponential Smoothing Method
[IEEE] 2026-7-22 | Design of DTP-PMSM Speed Controller Based on Novel Reaching Law
[IEEE] 2026-7-21 | Safety in Controls [President’s Message]
[IEEE] 2026-7-21 | Securing Union-Based Type Punning in C-to-Rust Translation
[IEEE] 2026-7-22 | BRIDGE: Quantized Inter-Document Graph With Personalized PageRank for Training-Free Multi-Hop Passage Augmented Retrieval
[IEEE] 2026-7-22 | Joint Optimization of Computation Offloading and Service Caching for DAG Topology Tasks in UAV-Assisted Blockchain-Enabled VEC System
[IEEE] 2026-7-22 | Research on Harmonic Current Compensation Control Strategy in Flexible Interconnected Station Area
[IEEE] 2026-7-22 | Secure EHR System Using Blockchain and Fingerprint Verification
[IEEE] 2026-7-22 | A Review of AI-Powered Multimodal Monitoring and Neuromodulation Techniques for Epilepsy Management
[IEEE] 2026-7-22 | A Ka-/Ku-Band Transmitter for Satellite Communication Applications
[IEEE] 2026-7-22 | Predictive Modeling of Intraocular Lens Biocompatibility and Surgical Risk Using Artificial Intelligence
[IEEE] 2026-7-22 | Front Cover
[IEEE] 2026-7-22 | Evaluating Quantum-Inspired Algorithms for Data Security in Edge Computing: A Comparative Study of Traditional Cryptographic Techniques vs. Quantum-Inspired Approaches
[IEEE] 2026-7-22 | Proactive Fault Detection in Distributed Cloud Systems Using Graph Neural Networks
[IEEE] 2026-7-22 | Analysis of Machine Learning Framework for QoS in 5G/6G Mobile Networks
[IEEE] 2026-7-22 | Dimension Selection for Simulation of Phase Change Heat Storage Devices in Medium-Temperature Waste Heat Recovery: A Comparative Study of 2D and 3D Models
[IEEE] 2026-7-22 | Integrating Multimodal Alzheimer’s Signatures: A Generalized PLS Framework for Heterogeneous Neurogenetic Data
[IEEE] 2026-7-22 | Stock Price Manipulation Detection using an Unsupervised Transformers Model
[IEEE] 2026-7-22 | An Assistive Technology for the Visually Impaired
[IEEE] 2026-7-22 | Optimizing Cholesterol Level Estimation from Spectral Data: A Shallow Neural Network Approach
[IEEE] 2026-7-22 | A Five-State Finite State Machine Algorithm for High-Stability Control in Smart IoT Pet Feeders
[IEEE] 2026-7-22 | Leveraging Green IT Capital: How ESG Practices Enhance Sustainable Business Performance
[IEEE] 2026-7-22 | The Development of IEEE 3106-2024, the IEEE Standard for Service Reliability Indicators of Telecommunications Networks and Potential Future Steps
[IEEE] 2026-7-22 | Decoding Pathological Protein Aggregation Using Artificial Intelligence: Structural Transitions from Amyloid Fibrils to Inclusion Bodies
[IEEE] 2026-7-22 | Fruit Classification Using Spiking Neural Networks for Edge Deployment
[IEEE] 2026-7-22 | A Study on the Calculation of Carbon Emission Reductions from Electric Vehicle Charging Using Time-Sharing Electricity Carbon Factors
[IEEE] 2026-7-22 | Study on Electrical and Mechanical Properties of Epoxy Resin for Internal Insulation of Composite Insulators with Plasma-Treated Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
[IEEE] 2026-7-22 | Machine Learning Models for Early Suicide Risk Assessment and Intervention
[IEEE] 2026-7-22 | A Multi-Node Data Cooperative Allocation Path Planning Algorithm for Dynamic Load Scheduling in Ship Power Systems
[IEEE] 2026-7-22 | An Efficient Two Layer LSTM Framework for Indian Stock Price Fluctuation Prediction
[IEEE] 2026-7-22 | Knowledge Engineering for Adaptive Decision Logic: A Structured Reference Compendium
[IEEE] 2026-7-22 | Consensus Mechanism in Automatic Validation for Event Extraction Using Large Language Models
[IEEE] 2026-7-22 | Vision-Based Multi-Camera Safety Monitoring for Human-Robot Collaboration
[IEEE] 2026-7-22 | Augmented Reality Application Development for Machine Maintenance: A Case Study of the NC Precision Cylindrical Grinding Machine
[IEEE] 2026-7-21 | Interpretable Voltage Event Classification from Cycle-by-Cycle IEEE 1159 State Sequences in Substation Oscillograms
[IEEE] 2026-7-22 | Helping Hands – Post Disaster Management System
[IEEE] 2026-7-22 | Comparative Study of Machine Learning Models for Predicting Electricity Generation in Geothermal Power Plants
[IEEE] 2026-7-22 | Author Index
[IEEE] 2026-7-22 | AI Powered Multispectral Spyglass for Tactical Surveillance
[IEEE] 2026-7-22 | Micro-Architectural Evaluation of an FPGA-Based LSTM Accelerator
[IEEE] 2026-7-22 | Risk-Aware Graph-Collaborative Deep Reinforcement Learning for UAV-Enabled MEC Task Offloading
[IEEE] 2026-7-22 | Agrimetaverse Intelligence Advanced Agricultural Commodity Price Forecasting System
[IEEE] 2026-7-22 | Adaptive Hybrid Metaheuristic Optimization for FOPID-Based Controller–Energy Codesign in Nonlinear Underactuated Systems
[IEEE] 2026-7-22 | Lifetime Evaluation of IGBT Modules in Electric Vehicle Inverters for Bangkok Driving Cycles
[IEEE] 2026-7-22 | HB-EGTNet: A Hybrid Bayesian-Evolutionary Framework for Robust Malware Classification via Deep Residual Learning
[IEEE] 2026-7-22 | Typical Fault Scenario Set Construction for Distribution Networks Based On PMU
[IEEE] 2026-7-22 | EDGE-HAS-Seg: Edge Enhancement with Hierarchical Adaptive Structure for Segmentation
[IEEE] 2026-7-22 | Simulation-Based Study on the Nonlinear Dependence of Mosfet Threshold Voltage on Substrate Doping Concentration
[IEEE] 2026-7-22 | Scalar Identities for Pairs of Orthogonal Projections in Hilbert Spaces
[ACM] 2026-7-21 | Information systems applicationsIntegration of Grid Portrait, GIS Technology, and Machine Learning for Intelligent Tobacco Market Management
[ACM] 2026-7-21 | Research on Evaluating China's Low-Carbon Economic Development Level Based on Data Mining
[ACM] 2026-7-21 | Sycophantic Metacognition: Investigating the Dunning-Kruger Effect in Large Language Model Self-Assessment
[ACM] 2026-7-21 | Context-Sensitive Conversational AI for Visually Impaired Adolescents: Scenarios from a Multi-Stakeholder Interview Study
[ACM] 2026-7-21 | Zephyr: A Zero-loss and Tranparent TLS Connection Migration Framework
[ACM] 2026-7-21 | Saving Lost Intents in Network Configurations
[ACM] 2026-7-21 | SEMODS: A Validated Dataset of Open-Source Software Engineering Models
[ACM] 2026-7-21 | Backporting in Robot Operating System: Identifying Commit Purpose and Propagation Need with Large Language Models
[IEEE] 2026-7-21 | Trace-Aware Multidimensional Analysis of Hidden Bottlenecks in Autoscaling Microservices
[IEEE] 2026-7-21 | Defending Federated Learning Against Model Poisoning Attacks via Eliminating Malicious Features
[IEEE] 2026-7-21 | A Survey of Intelligent Recognition Methods for Aerial Small Targets Based on Multimodal Recognition
[IEEE] 2026-7-21 | Evidence-Verified LLM Agents for Safe Backend Incident Remediation
[IEEE] 2026-7-21 | Post-Generation Audit for Detecting Unsupported Claims in KPI-Grounded LLM Performance Feedback
[IEEE] 2026-7-21 | Road Damage Detection with an Attention-Enhanced YOLOv8n Model
[IEEE] 2026-7-21 | ICAMT: Integrate Correlative Attention Multi-scale Transformer for Image Super-Resolution
[IEEE] 2026-7-21 | Constructing an Adaptive Multimodal Knowledge Graph for Personalized Chinese Language Education
[IEEE] 2026-7-21 | Digital Twin Dynamic Topology Simulation Platform Based on Semantic Integrity Verification
[IEEE] 2026-7-21 | A Pre-aggregation Behavior-Aware Defense against Safety Attacks in Federated Instruction Tuning
[IEEE] 2026-7-21 | Study on Water Wall Delay under Load Changes in Supercritical Units
[IEEE] 2026-7-21 | Quantum Enhanced Attention Integrated CNN Model for Clinical Speech Recognition
[IEEE] 2026-7-21 | Accelerated Multi-Agent PI Optimization with Online Symmetric Experience Sharing for DC Microgrid Voltage Control
[IEEE] 2026-7-21 | Multi-Level Collaborative Optimization Control Strategy for Interaction Between Electric Vehicles and the Power Grid
[IEEE] 2026-7-21 | Event-Level Abnormal Docking Recognition via Dual-Vessel Interaction Evolution and Consistency Fusion
[IEEE] 2026-7-21 | Surface Fault Detection of Wind Turbine Blades Based on Improved YOLOv11
[IEEE] 2026-7-21 | Research on Social Media Sentiment Divergence and ChiNext Index Volatility—Evidence from Eastmoney Stock Forum Comments
[IEEE] 2026-7-21 | A Self-Evolving Deep Network for Condition Aware Underwater Image Enhancement
[IEEE] 2026-7-21 | Chronological Benchmarking of Statistical and Machine-Learning Models for Regional Power-System Energy Consumption Forecasting
[IEEE] 2026-7-21 | Deep Learning-Based Operating State Prediction and Optimal Control for Energy and Power Systems
[IEEE] 2026-7-21 | DFE-YOLO: Discriminative Feature Enhancement Framework for Small Object Detection
[IEEE] 2026-7-21 | Emotion-Invariant EEG-Based Biometric Authentication Using Emotion Prototype Rectification Networks
[IEEE] 2026-7-21 | CNN–ViT–UNet: A Hybrid Deep Learning Framework for Automatic Prostate Gland Segmentation in MRI
[IEEE] 2026-7-21 | An Explainable AI Framework for Biomarker-Driven Cardiovascular Risk Stratification
[IEEE] 2026-7-21 | CBAM-Enhanced YOLOv8 for Leukocyte Detection in Nailfold Microcirculation: A Comparative Study of Attention Mechanisms
[IEEE] 2026-7-21 | Web-Based Digital Twin Architecture: Integrating the Grafana Analytics Dashboard with a Unity 3D Model
[IEEE] 2026-7-21 | Visual Image Reconstruction from EEG Signals via Masked-Diffusion Augmentation and Spatio-Temporal Attention
[IEEE] 2026-7-21 | Multimodal Referring Expression Segmentation with Auxiliary Geometric Supervision
[IEEE] 2026-7-21 | Enhancing Facial Emotion Recognition Performance using Two-Stage Augmentation on ResNet-18
[IEEE] 2026-7-21 | A Lightweight YOLOv8-Based Network for RGB–IR Object Detection with SimAM and CSPDense
[ACM] 2026-7-21 | RAGnRoll: Learning to Iteratively Retrieve and Generate Attributable Answer Snippets
[ACM] 2026-7-21 | Abstraction First: Re-examining the Role of Algorithmic Patterns in CS Students' Abstraction Development
[ACM] 2026-7-21 | LLM+Graph@VLDB'2025 Workshop Summary
[IEEE] 2026-7-21 | Fairer Ensembles via Co-Evolution_supp1-3712751.pdf
[IEEE] 2026-7-21 | Conference Calendar
[IEEE] 2026-7-21 | ASENS 2026 Author Information Page
[IEEE] 2026-7-21 | Selective Audio–Visual Fusion via Semantic Calibration for Video Surveillance System_supp1-3709835.pdf
[IEEE] 2026-7-21 | FAST-LIEO2: Fast and Tightly-Coupled LiDAR-Inertial-Event Odometry_supp1-3715038.mp4
[IEEE] 2026-7-21 | Title Page
[ACM] 2026-7-22 | MARVEL: Multi-Agent RTL Vulnerability Extraction using Large Language Models
[ACM] 2026-7-22 | Practical Evaluation Methods for Scientific Instruments
[ACM] 2026-7-22 | K4-Serve: Robust Streaming Log Anomaly Detection for HPC &amp; AI Infrastructure
[ACM] 2026-7-22 | Extending the Life of HPC Systems in Resource Constrained Environments: Mapping Productivity-Energy Trade-offs in Memory-Bound Workloads via DVFS and Core Scaling on Repurposed Hardware
[IEEE] 2026-7-22 | Subspace-Guided Unlearning and Recovery: Poisoning Defense for Hierarchical Federated Learning in LEO Satellite Networks
[IEEE] 2026-7-21 | Common-Mode Noise Optimization via Impedance-Balanced Design in Three-Phase Four-Wire Systems
[IEEE] 2026-7-22 | Safety-Critical Control of Nonholonomic Vehicle Trajectory Tracking via Risk-Aware Zone Control Barrier Functions
[IEEE] 2026-7-21 | Physics-Guided Data-Driven Power Flow Modeling for Unbalanced Distribution Feeders without Phasor Measurements
[IEEE] 2026-7-21 | IEEE Control Systems Society Technical Committee on Intelligent Control
[IEEE] 2026-7-21 | Principle and Topology Derivation of Partial Power Processing Three-Port DC–DC Converters
[IEEE] 2026-7-22 | Adaptive Negative-Sequence Limiting and Arm Balancing Control for Improved Fault Response of GFM-MMCs under Asymmetrical Voltage Sags
[IEEE] 2026-7-21 | Optimized Overmodulation Strategy Based on Gradient Projection Algorithm for DTP-PMSMs With Minimum Harmonics
[IEEE] 2026-7-21 | VCF-CLIP: Visual Context-Driven Fine-Grained Prompt Learning for Zero-Shot Anomaly Detection
[IEEE] 2026-7-22 | Reinforcement Learning–Guided Transmitter Optimization for Short-Reach IM/DD Free-Space Optical Systems
[IEEE] 2026-7-21 | Copula-Based Reliability Analysis of RIS-Aided Short-Packet Communication With EMI
[IEEE] 2026-7-22 | Table of Contents
[IEEE] 2026-7-22 | Continuum Jacobian based Computational Morphogenesis for Soft Robotic Workspace Optimization
[IEEE] 2026-7-22 | Parallel Hyper-Prior and Dual-Domain Autoregressive Transformer for Lossless JPEG Recompression of Pathology Images
[IEEE] 2026-7-22 | Smooth Switching Strategy for Dual-Winding Permanent Magnet Synchronous Motors Based on Unit Motor Constant Current Control
[IEEE] 2026-7-22 | Grasp Prediction for Pneumatic Soft Hands via Proprioceptive Sensing
[IEEE] 2026-7-21 | Verifiable Compromised Credential Checking_supp1-3715105.pdf
[IEEE] 2026-7-21 | Fast-Robust Aggregation and Multicast Coded Data Recovery for LEO Satellite Network
[IEEE] 2026-7-22 | YOLO26: High-Efficiency Object Detection for Plasmodium vivax in Blood Smear Microscopy
[IEEE] 2026-7-22 | Lung Cancer Risk Estimation and Survival Forecasting Through Cox Proportional Hazards Regression and Clinical Data Integration
[IEEE] 2026-7-22 | Multilinear Boolean-index state space models for Energy Networks
[IEEE] 2026-7-22 | Path-Tracing Adaptive Rendering Algorithm Fusing Gradient Information with Guided Filter Preprocessing
[IEEE] 2026-7-22 | FPGA-Based Programmable SoC Featuring a HighSpeed Custom Processor Architecture
[IEEE] 2026-7-22 | Duration-Aware Regime Modeling for Thailand Logistics Sector Index Using a Student-t Hidden Semi-Markov Model
[IEEE] 2026-7-22 | VSG-PPO: A Map-Free Autonomous Obstacle Avoidance Method for Quadruped Robots Based on Visual Semantic Priors
[IEEE] 2026-7-22 | Wildfire Height Measurement Method Based on a Monocular Vision Perspective Projection Model
[IEEE] 2026-7-22 | Smart Attendance System Using Geo-Fencing and Anti-Spoofing Face Recognition
[IEEE] 2026-7-22 | Cable Fault Location and Condition Assessment Method Based on Optical Soliton Modulation Reflection Coefficient Spectrum
[IEEE] 2026-7-22 | Reinforcement Learning-Based UAV Control Under Disturbances
[IEEE] 2026-7-22 | Self-Evolving AI Systems: Stability-Plasticity Trade-Offs and Regret-Aware Learning in Deployed Machine Learning
[IEEE] 2026-7-22 | Next – Generation Artificial Intelligence Driven Healthcare Analytics: Detection of Postpartum Psychological Disorders Through Swarm Intelligence Techniques
[IEEE] 2026-7-22 | Research on Retrieval-Augmented Hindi-Chinese Document-Level Machine Translation for Multiple Domains
[IEEE] 2026-7-22 | Automated Malaria Identification Using a Hybrid CNN-RNN Model on Microscopic Blood Smears
[IEEE] 2026-7-22 | Big Data Frameworks for Anomaly Detection in IoT Networks
[IEEE] 2026-7-22 | Evaluating the Impact of Natural Language Processing Techniques on Human-Computer Interaction: A Comparative Study of AI-Driven Conversational Agents vs. Traditional Interfaces
[IEEE] 2026-7-22 | Thermodynamic, Techno-Economic, and Life Cycle Assessment of a Solar Tower Coupled Sodium Borohydride Hydrogen Production and Regeneration System
[IEEE] 2026-7-22 | A Scalable and Programmable Hierarchical DNN Accelerator for Edge Inference on FPGAs
[IEEE] 2026-7-22 | AI Model Management for FreMLP-based Mobility Prediction in 5G/B5G Networks
[IEEE] 2026-7-22 | Adaptive Lightweight and Explainable IoT Intrusion Detection under Concept Drift toward Blockchain-Assisted Trust Management
[IEEE] 2026-7-22 | Design and Comparative Analysis of Carbon Nanotube Field Effect Transistor Based D Flip-Flop
[IEEE] 2026-7-21 | UAV Trajectory, Power and User-Association Optimization for Covert Communications in ICRNs
[IEEE] 2026-7-21 | An Evidence-Driven Hybrid Architecture for Financial Statement Fraud Detection with Long-Context Transformers
[IEEE] 2026-7-22 | Study on Water Quantity Optimization Scheduling Strategy in Hydraulic Engineering Construction Under the View of Intelligent Algorithm
[IEEE] 2026-7-22 | A Governance-Aligned XAI Security Architecture for Transparent Threat Intelligence in Critical IoT Infrastructure
[IEEE] 2026-7-22 | Implementation of Energy-Based Control for a Single-Phase Interleaved Boost PFC Converter in DC Microgrid Systems
[IEEE] 2026-7-22 | 2026 IEEE International Conference on Signals and Systems (ICSigSys)
[IEEE] 2026-7-22 | Developing Next-Generation Visionary AI Technologies and Advanced Data Integration Frameworks for Securing Seamless and Adaptive IoT-Driven Data Streams
[IEEE] 2026-7-22 | Automated Highlight Generation using Deep Learning in Soccer Matches
[IEEE] 2026-7-22 | Integrating Graph Neural Networks and Large Language Models for Climate Policy Shock Contagion in Bank Lending Networks
[IEEE] 2026-7-22 | Quantum-Hybrid Deep Learning Ensemble for Credit Card Fraud Detection
[IEEE] 2026-7-22 | Beyond Artificial Certainty: Synthetic Socratic Inquiry for Trust Calibration in AI-Augmented Higher Education
[IEEE] 2026-7-22 | Rule-Based Word Segmentation for Low-Resource Agglutinative Languages: A Case Study on Malayalam
[IEEE] 2026-7-22 | 2026 23rd International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)
[IEEE] 2026-7-22 | Raksha: A Deep Learning-Based Real-Time Surveillance and Mobile Alert System for Women’s Safety and Threat
[IEEE] 2026-7-22 | Multi-Agent Model-Based Reinforcement Learning for Decentralized Spectrum Sharing in Low-Altitude Economy
[ACM] 2026-7-21 | EdgePoW: Adaptive Ingress-Aware Defense with Non-Interactive PoW Against Volumetric SYN Floods
[ACM] 2026-7-21 | Alignment-then-Fusion: A Dual-Tower Framework for Malware Traffic Classification
[ACM] 2026-7-21 | Tricky²: Towards a Benchmark for Evaluating Human and LLM Error Interactions
[ACM] 2026-7-21 | Exploring the Potential of Large Language Models in Simulink-Stateflow Mutant Generation
[ACM] 2026-7-21 | MalCVE: Malware Detection and CVE Association Using Large Language Models
[IEEE] 2026-7-21 | 2026 3rd International Conference on Algorithms, Software Engineering and Network Security (ASENS)
[IEEE] 2026-7-21 | Structural Stress as a Predictor of the Rate and Spatial Location of Aortic Growth in Uncomplicated Type B Aortic Dissection_supp1-3714865.docx
[IEEE] 2026-7-21 | Author Index
[IEEE] 2026-7-21 | Organizing Committee
[ACM] 2026-7-21 | Environmental Regulation in CDN Market: A Game-Theoretic Framework
[ACM] 2026-7-21 | Deep Learning-Based Remote Sensing Monitoring and Ecological Restoration Assessment of Grassland Degradation
[ACM] 2026-7-21 | SSP-Embedded Real Options Framework for Offshore Wind-to-Hydrogen Investment Decisions
[IEEE] 2026-7-21 | IoT Powered Intelligent System Driven by Renewable Energy for the Safe and Efficient Disposal of Medical Wastes
[IEEE] 2026-7-21 | Causal Intervention based Semi-supervised Learning
[IEEE] 2026-7-21 | Research on the Material–Modal Coupling Characteristics of eVTOL Rotor Blades for New Energy Electric Aviation
[IEEE] 2026-7-21 | Low-Power Wireless Imaging Control System Based on Decomposition Wavelet Transform–Singular Value Decomposition Compression for Smart Lung Cancer Screening
[IEEE] 2026-7-21 | Based on a Two-stage Enhancement Multimodal Dynamic Siamese Attention Fusion Network Model for Plant Trait Prediction
[IEEE] 2026-7-21 | Multi-step Industrial Energy Consumption Forecasting with Heterogeneous Feature Grouping and Direct Multi-Output Strategy
[IEEE] 2026-7-21 | Attention-Based Transformer Framework for Urban Land Cover Classification Using Explainable AI
[IEEE] 2026-7-21 | An Illumination-Aware Adaptive Framework (IAA) for Nighttime Person Re-Identification
[IEEE] 2026-7-21 | An Explainable Transformer Architecture for Electricity Load Forecasting using Correlation Aware Feature Engineering
[IEEE] 2026-7-21 | Electromagnetic Design and Optimization of a 700 W-class Low-Torque-Ripple Outer-Rotor PM Motor for New Energy Vehicle Coolant Pumps
[IEEE] 2026-7-21 | Urban Pollutant Source Identification With GCN-Enhanced CityTransformer Method
[IEEE] 2026-7-21 | Design of Ultra-Low-Power LPWAN Sensor Nodes for Environmental Monitoring
[IEEE] 2026-7-21 | Readiness Assessment for Agile-Integrated ITIL 4 Implementation: Case Study of Government Institution in Indonesia
[IEEE] 2026-7-21 | Research on an Intelligent Diagnostic System for DR Screening Based on Deep Convolutional Neural Networks
[IEEE] 2026-7-21 | A Secure and Scalable Multi-Cloud Intrusion Detection System Using Blockchain-Enabled Federated Learning
[IEEE] 2026-7-21 | An Intelligent Topology-Aware Optimization Framework for Safe Multi-Agent Scheduling in Dynamic Hazard Graphs
[IEEE] 2026-7-21 | Multi-Agent OSINT System: Strategic Planning and Graph-Based Verification
[IEEE] 2026-7-21 | An Explainable Error Analysis Framework for Heart Disease Prediction Using SHAP and LIME
[IEEE] 2026-7-21 | Hybrid Swin Transformer V2 and ConvNeXt Framework for Accurate Mango Leaf Disease Classification
[IEEE] 2026-7-21 | A WordNet-Based Framework for Singular-Plural Processing in Indian Multilingual MT Systems
[IEEE] 2026-7-21 | Hybrid Path Planning Algorithm Based on an Improved A* Algorithm and the Artificial Potential Field Method
[IEEE] 2026-7-21 | Agentic Artificial Intelligence (AI) as Peer Tutor: Experiential Learning for Ethical AI Literacy and Academic Integrity in Education
[IEEE] 2026-7-21 | An Evidence-Based Digital Skills Measurement Instrument to Support E-Government Transformation Maturity in Cimahi City
[IEEE] 2026-7-21 | A Joint Detection Network for Vehicles and Lane Lines in Urban Roads
[IEEE] 2026-7-21 | Lily: Exploring Role-Playing Generative AI for Emotionally Engaged Shopping List Interaction
[IEEE] 2026-7-21 | YOLO11-Based GPR Detection of Cavities and Pipelines with Dual-Branch Feature Enhancement
[IEEE] 2026-7-21 | Automated Periodontitis Segmentation in Dental Images Using Dual-Source Training, UNet++, and a Composite Boundary-Topology Loss
[IEEE] 2026-7-21 | Variational Representation Learning with Gaussian Mixture Priors for Positive-Unlabeled Skin Cancer Classification*
[IEEE] 2026-7-21 | Prescribed Performance Tracking Control for Rigid-Joint Manipulators
[IEEE] 2026-7-21 | EEG-Based Epileptic Seizure Detection Using CNN-LSTM–Transformer with Explainable AI
[IEEE] 2026-7-21 | Design of a Low-Cost Retrieval-Augmented Generation System Based on Hybrid API and Local Vector Architecture
[IEEE] 2026-7-21 | SymDAG-Net: A Symptom-Centric Graph Reasoning Network for Disease Classification from Patient-Generated Medical Text
[IEEE] 2026-7-21 | Research on Network Security Automated Vulnerability Scanning Based on MCP+RAG+LLM
[IEEE] 2026-7-21 | DBGT: Dual-Branch Gated Transformer for Network Intrusion Detection
[IEEE] 2026-7-21 | Traffic Tripwire Honeypoint:A new deception technique for countering covert attacks
[ACM] 2026-7-21 | Demonstration of Adapt4Me: An Uncertainty-Aware Authoring Environment for Personalizing Automatic Speech Recognition to Non-normative Speech
[ACM] 2026-7-22 | The Virtual Biospecimen Repository
[ACM] 2026-7-22 | Experience with NVIDIA GPUDirect Storage (GDS) in Academic HPC Environments: Challenges, Pitfalls, and Practical Limitations
[IEEE] 2026-7-22 | Lifetime Predictive Model of SiC MOSFETs using Switching-Transient-Based On-State Resistance for Condition Monitoring Application
[IEEE] 2026-7-22 | Entropy-Guided Adaptive Hierarchical Clustering for Imbalanced Learning via Dynamic Neighborhood Radius
[IEEE] 2026-7-22 | Feature Selection and Performance Assessment In RST-Based Classification Using Rough Set Theory
[IEEE] 2026-7-22 | Data-Driven Optimization of Digital Twin Evaluation Models for Power Grid Equipment
[IEEE] 2026-7-21 | A Two-Stage Deep Neural Network Approach to Personalized Head-Related Transfer Function Prediction
[IEEE] 2026-7-22 | Cloud-Assisted Verifiable and Updatable Private Set Union Protocol for Enhancing Network Intrusion Detection
[IEEE] 2026-7-21 | A Direct Method for Reliability Assessment of Stochastic Flow Networks Over All Demand Levels via Sequential State-Space Decomposition
[IEEE] 2026-7-22 | Edge-Based Bounded Control for Finite-Time Formation of Multiple Mobile Robots
[IEEE] 2026-7-22 | Misspecified Cramér-Rao Bounds for Near-Field Target Localization With Simplified Propagation Models
[IEEE] 2026-7-22 | Configuration-Driven RTL Port Initialization with LLM-Assisted Inference_supp1-3715577.pdf
[IEEE] 2026-7-21 | Milieu of Feedback Control, Social Acceptance of Pricing, and Project-Based Teaching [About This Issue]
[IEEE] 2026-7-21 | Reducing Metadata and Page Migration Overheads in CXL-Based Secure Tiered Memory
[IEEE] 2026-7-21 | HieraTouch: Anchoring Multimodal Physical Reasoning in Hierarchical Tactile Facts against Visual Deception
[IEEE] 2026-7-22 | HARC-Net: Hierarchical Multi-Axis Representation and Adaptive Residual Calibration for End-to-End SAR-to-Optical Image Translation
[IEEE] 2026-7-21 | The Anatomy of RF Chains: Metrics, Measures, and Operating Efficiency
[IEEE] 2026-7-22 | Technical Evolution and Current Progress of Space-Division Multiplexing in Submarine Optical Communications (Invited)
[IEEE] 2026-7-22 | A Comparative Performance and Explainability Study of ConvNeXt and Swin Transformer Models for Skin Lesion Classification
[IEEE] 2026-7-22 | Exploring the Impact of Dataset Statistical Effect Size on Model Performance and Data Sample Size Sufficiency
[IEEE] 2026-7-22 | Access Control Mechanisms for Agentic AI in Multi-tenant Cloud Environments
[IEEE] 2026-7-22 | Development and Application of a MATLAB-Based Visualisation Software for Temperature Distribution Analysis in Phase Change Thermal Storage Processes
[IEEE] 2026-7-22 | A Semi-Supervised Noisy Label Learning Framework with Distribution Alignment for Chagas Disease ECG Detection
[IEEE] 2026-7-22 | A Multi-Stage Deep Neural Network with SIFT-VGG late Feature Fusion for muzzle identification
[IEEE] 2026-7-21 | FPGA-based Reservoir Computing with On-chip Learning for MIMO Channel Prediction
[IEEE] 2026-7-22 | IEEE Transactions on Plasma Science information for authors
[IEEE] 2026-7-22 | A Deep Learning–Embedded Sparse Variational Optimization Method for Hyperspectral and Multispectral Image Fusion
[IEEE] 2026-7-22 | Optimized Single-Lead Cognitive Load Detection Using CiSSA and Nature-Inspired Feature Selection in EEG Signals
[IEEE] 2026-7-22 | Automated Coronary Artery Disease Detection using ECG and Demographical Data
[IEEE] 2026-7-22 | Quantum-Resilient Cryptographic Protocols for Next-Generation IoT Devices
[IEEE] 2026-7-22 | A Binary Tree-Based Routing-Only Architecture for RTL-Designed FPGAs Using Addressable Configuration Memory
[IEEE] 2026-7-22 | Comprehensive Electrical Characterization of CNF-Reinforced PVA/PVP Blends for Flexible Electronic Applications
[IEEE] 2026-7-22 | FedASUT: Absolute-Threshold Sparsification with Update Tracking for Communication-Efficient Federated Learning Systems
[IEEE] 2026-7-22 | AIM-Fusion: Adaptive Inter-Modal Fusion for Robust Multimodal Emotion Recognition
[IEEE] 2026-7-22 | Semantic Communication Based Multiple Description Coding for Robust Image Transmission over Wireless Channels
[IEEE] 2026-7-22 | Design and Technical Evaluation of Back Support Exoskeletons for Agricultural Worker Safety
