[2025-12-14 09:09:36] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-13
正在获取论文...
[ACM] 2025-12-13 | Abstract machines and small-step semantics: a winning ticket for proof automation?
[NO] 43/221 | Dynamic Eye Highlight Deformation via Soft-body Simulation in 3D Anime Character Rendering
[NO] 44/221 | SoniBould: Towards understanding the design of sonified expressions for bouldering
[NO] 45/221 | Sonification Strategies for Mapping Visible Element Emission Spectra to Perceptually Relevant Sounds While Retaining Tonal Information
[NO] 46/221 | User-Centered Insights into Analogue and Digital Mixing: Perspectives of Novice Music Producers
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 47/221 | Counting Qubits and Gates: Resource Analysis in Quantum Programming Languages
[NO] 48/221 | A Card-Based Design Toolkit for Co-Designing Remote Multimodal Communication and Interaction Systems with Older Adults and Experts.
[NO] 49/221 | Bamboo Rhyme Craft: Immersive VR Bamboo Weaving through Coordinated Bimanual Gesture Interaction
[NO] 50/221 | Improving Registration-Based High-Resolution Panorama Depth Estimation with Enhanced Fine Details
[NO] 51/221 | An Abstract Form Guided Method for Image Generation without Training
[NO] 52/221 | Komorebi-Mediated Ambient Notifications for Calm Technology
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 53/221 | Aural Fields: A Real-Time Spatial Audio System Using Grid-Based Probes and Occlusion-Aware Attenuation
[NO] 54/221 | AMV3D: Adaptive Multi-Layer Volumetric 3D for DICOM
[NO] 55/221 | Interactive generation and stereoscopic observation of 3DCG scenes based on 2D tabletop drawing
[NO] 56/221 | Leveraging small datasets for ethical and responsible AI music making
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 57/221 | HaptiX: A Fusion Framework for Spatiotemporal Cross-Modal Haptic Synthesis on Mobile Devices
[NO] 58/221 | Determinism Types for Functional Logic Programming
[NO] 59/221 | Operational Game Semantics for Generative Algebraic Effects and Handlers
[NO] 60/221 | “TOUCHSTAR”: Exploring Generative AI-Powered Interactive Narrative in Cinematic Virtual Reality
[NO] 61/221 | Enabling Visually Aware Conversational Data Visualization Through LLM Augmentation
[NO] 62/221 | Projecting Softness: Finger-Bending Illusions in Tangible Projection Mapping
[NO] 63/221 | Acoustic Form: Enhancing the Design Process for Assistive Earwear Jewelry via Material-Centric Computational Sound Analysis
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 64/221 | Comparing Trend-Based and Direct HRV Biofeedback in an Adaptive Game Environment
[NO] 65/221 | "Body Oracle" Translator: Translating Body Postures into Speculative Hieroglyphs
[NO] 66/221 | Embodied Motion as Interface: Exploring Abstract Dynamics in Hybrid Environments
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 67/221 | Mechanized Type Soundness for Substructural Types using Iris
[NO] 68/221 | LineDiff: Semi-generative Line-drawing Frame Interpolation
[NO] 69/221 | See, Sense, Spark: Profiling Granularity in Proactive AI for Creative Research Ideation
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 70/221 | Through Their Eyes: A First-Person VR Experience of Alzheimer's Disease
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 71/221 | Capturing Size-Aware Draping via Per-Garment 2D Try-On
[NO] 72/221 | AR-Supported Online Piano Lessons with Bidirectional Visualization of Teacher and Student Hand Movements
[NO] 73/221 | Floorplan Generation with Graph Beta Diffusion
[NO] 74/221 | On the Automated Verification of BGP Convergence
[NO] 75/221 | Poetry Space: Visualization of Poetry Recitation Emotions in VR
[NO] 76/221 | TextFX: Reconstructing Editable Stylized Typography Through Parametric Text Effect Extraction
[NO] 77/221 | Simulating Loneliness: Human–Generative Agent Comparative Insights
[NO] 78/221 | Speed and Direction as two Overlapping Rhythms: Accuracy and Precision in Interpretation and Performance
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 79/221 | I am the Ball
[NO] 80/221 | Tentacles Fever: Sound-Responsive SMA Actuators
[NO] 81/221 | Enhancing Embodiment and Spatial Awareness in VR with Hybrid Visual Presentation via Binocular Rivalry
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 82/221 | Sketch-in-Scene: Coherent 3D Scene Asset Generation with Sketches
[NO] 83/221 | TunTun Diary: Exploring AI-Generated Storytelling and Virtual Companionship for Nightmare Relief
[NO] 84/221 | Underwater Odyssey: Immersive VR Swimming Adventure
[NO] 85/221 | Formalizing Languages with Binding Operators in Rewriting Logic
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 86/221 | Beyond Universality: Cultural Diversity in Music and Its Implications for Sound Design and Sonification
[NO] 87/221 | An Interactive Self-Assembly Swarm Music System in Extended Reality
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 88/221 | PITAR: an LLM-powered Agent towards Intelligent and Accurate Manipulations in Extended Reality with Multimodal Interactions
[NO] 89/221 | Meaningful Interactions in Human-AI Musicking
[NO] 90/221 | CamSketch: Authoring Camera Trajectories for 3D Virtual Concerts via Example-Derived Codes and User Sketching
[NO] 91/221 | AI-Powered Sculpting: Reviving Digital Sculpture with Generative Workflows
[NO] 92/221 | Enabling Hybrid Poster Interaction via Face-to-Face Displays and Virtual Screen Sharing
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 93/221 | My Embodied Fears: Exploring the Negative Emotion Mitigation Role of Generative AI in XR Environments
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 94/221 | An investigation into the mapping of sonic parameters to pen movement in tablet tasks
[NO] 95/221 | In the middle of the music: A qualitative study of headset and loudspeaker distributed interactive spatial audio within a musical mixed-reality environment
[NO] 96/221 | MusicFlower: A Web App and Python Framework for Interactive Music Visualisation
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 97/221 | Emotion-Aware Autonomous Driving:  A VR-Based Multimodal Analysis Using Gaze and Physiological Signals
[NO] 98/221 | Generative POPs: Automating Character-Based Promotions on Digital Signage in Retail Stores
[NO] 99/221 | A Participant-Driven Spatial Narrative for Cultural Exhibitions
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 100/221 | LayerPack: Training-Free Animation Inbetweening with Cross-Layer Consistency
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 101/221 | DesignEval: A Human-Centered Framework for Aligning Graphic Designs with User Intent through Quantitative and Multimodal Evaluation
[NO] 102/221 | Hands in Bloom: An Auditory-Accessible Immersive Experience Based on Chinese Sign Language Recognition and Gesture Tracking
[NO] 103/221 | VR Competency-Based Pilot Training for Threat and Error Management
[NO] 104/221 | Sound design for HRI: a case study exploring appropriateness, naturalness, and sociality of a zoomorphic robot
[NO] 105/221 | Proceedings of the 20th International Audio Mostly Conference
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 106/221 | A case study of translating sonifications across musical cultures for an educational application
[NO] 107/221 | Customer-Service Mirrored Avatar That Comes Beside You via Directional Spatial Audio
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 108/221 | Zenith: Procedural and Diffusion-Driven Generation of Multi-Layered Top-Down Maps
[NO] 109/221 | Comparing 3D Data Representations for Keypoint Estimation in Humanoid Characters
[NO] 110/221 | Image-Similarity-Based Scale Estimation for 3D Model
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 111/221 | Between Us: An Interactive Installation for Parent-Child Relationship Visualization Using NFC and Generative Algorithms
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 112/221 | Where Things Become Imageries：Visualization Experience of Chinese Poetic Imageries in Immersive VR
[NO] 113/221 | Amplitude-Guided Phase Masking for Hologram Compression
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 114/221 | Materials for the Moon: Developing Physically Based Lunar Regolith Assets to Support Space Training and Simulation
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 115/221 | Whispering Shells: An Immersive Intervention for Coastal Conservation
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 116/221 | Creating the Ideal Soundscape: Designing Study Friendly Cafe Environments
[NO] 117/221 | Interface Sound Variations Influence Learned User Responses
[NO] 118/221 | Towards Wearable-Free Exergame for Orthostatic Dysregulation: Improving Motion Detection with Smartphone-Only Calibration
[NO] 119/221 | Invertible Video Signal Processing
[NO] 120/221 | VR K-Heritage Assembler: Exploring Korean Wooden Architecture Through Virtual Gong-po Assembly
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 121/221 | SIGGRAPH Asia 2025 XR
[NO] 122/221 | DarkAR: Augmented Reality Expression Method in Dimly lit Environment
[NO] 123/221 | Detmold musical Instrument Timbre Explorer (DmITE): Interactive visualization of musical instruments radiation pattern using IEEE 1599
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 124/221 | Seeing What It Looks Like When Interacting with XR-NEDs
[NO] 125/221 | A Bio-sensing System for Visualizing Material Perceptions through Physiological Computing and Geometric Encoding
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 126/221 | MindEye: A VR Imagery Training System for Individuals with Acquired Visual Imagery Impairments and Mild Aphantasia
[NO] 127/221 | A Practical Encoding Approach for Texture Compression: Combining Multi-Processing and Multi-Threading
[NO] 128/221 | “I’m Always Here”: An Affective Companion Agent for Novice Drivers
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 129/221 | 360 VSP: Issues and limitations of 360 Virtual Sound Productions for mobile devices
[NO] 130/221 | Motiv: A Dataset of Latent Space Representations of Musical Phrase Motions
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 131/221 | Closure Conversion, Flat Environments, and the Complexity of Abstract Machines
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 132/221 | Yurt Portal: A Nomadic Spatial Interface to Reflect Cross-Cultural Virtual Digital Twins
[NO] 133/221 | I Become Tentacle, We Become "Tentacus": A Mixed Reality Ritual for Distributed Bodies and Collective Minds
[NO] 134/221 | SofiBuddy: A Soft Mobile Interface for On-Body Interaction
[NO] 135/221 | When Birds Bow: An Interactive Audio-Visual Installation for Suona Culture via Collaborative Tangible User Interface
[NO] 136/221 | AeroVis3R: Geometry-Aware Vision–Language Models for 3D Reasoning over UAV Landmark Videos
[NO] 137/221 | Bridging Visual Rhetoric and Computer Vision: A Large-Scale Analysis of the Design of Japanese and Original-Language Film Posters
[NO] 138/221 | Cyclic Patterns and Spatial Orientations in Artificial Impulsive Autonomous Sensory Meridian Response (ASMR) Sounds
[NO] 139/221 | Ouroboros Code: A Practice-Based Study on Sci-Fi Atmosphere Design under Nonlinear Narrative Structures
[NO] 140/221 | Bulb-in-Hand Initiation: An Illusory Altered In-Head Sensation via Colored Hemispheres, Audio Panning, and Head Tapping
[NO] 141/221 | Many-Inbetweens Browsing: Exploring Pre-Generated Inbetweens for 2D Animation
[NO] 142/221 | Mindscape: Multi-Perspective VR Storytelling in Interactive Psychological Thriller Experiences
[NO] 143/221 | Predicting Passenger Anxiety with a Spatio-Temporal PIGNN  in VR Autonomous Driving
[NO] 144/221 | Making a Binaural Microphone: Comparing Audio Quality, Listener Experience, and Costs of DIY with a Commercial Option
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 145/221 | An Exploratory Phenomenological Study into how Audio Shapes Emotions in Player Experience
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 146/221 | Mapping the Neighborhood of Microtonal Music Scales Using Self-Organizing Maps
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 147/221 | An adequate while-language for stochastic hybrid computation
[NO] 148/221 | Real-Time IK-Based Full-Body and Facial Capture for Stylized 2D Puppets in XR Applications
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 149/221 | Efficient Visualization of Large-Scale Unstructured Grid Data through Importance-Based Hybrid Reduction
[NO] 150/221 | School Legacy: Reconstructing Memory Through AI-augmented Social XR
[NO] 151/221 | Listening Together-Apart: On the Social Mediation of Sound Installation Listening
[NO] 152/221 | From Installation to Instrument: A Qualitative Inquiry into Gesture, Expression, and Composition with Soundscape
[NO] 153/221 | Two Empirical Studies on Audiovisual Semiotics of Uncertainty
[NO] 154/221 | “Hands-on” Light Field Display via Engineering Scalable Optics, Algorithms, and Mounts
[NO] 155/221 | Transporting Theorems about Typeability in LF Across Schematically Defined Contexts
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 156/221 | Improving Localization with Localization-guided Structure-from-Motion
[NO] 157/221 | AniME: Adaptive Multi-Agent Planning for Long Animation Generation
[NO] 158/221 | HybridDeform4D: Joint Refinement of Mesh and Gaussian Splatting for Video-to-4D Object Generation
[NO] 159/221 | Deanthropocentric Interfaces: Plant-Driven Interaction Design in the Metaverse Era
[NO] 160/221 | Force Feedback Button that Focuses on Both Operation and Non-Operation
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 161/221 | Part-Aware Embedding for Fine-Grained 3D Shape Retrieval
[NO] 162/221 | Visualizing the Spatio-Temporal Narratives of Hong Kong's Southbound Literati
[NO] 163/221 | Color-Corrected Full Ray-Based Computer-Generated Holography
[NO] 164/221 | A Drifting-Object-Based Water Surface Display
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 165/221 | Improving Angular Parameterization for Compact Neural Materials
[NO] 166/221 | Toward Real-time Mobile Light Field Displays: An Efficient 3DGS Rendering Framework
[NO] 167/221 | TryIto: Discrete IMEX Cloth Simulation with Learned Residual Forces
[NO] 168/221 | Proceedings of the SIGGRAPH Asia 2025 Posters
[NO] 169/221 | PaperMythXR: Embodied Mixed-Reality Storytelling via Chinese Paper-Cutting
[NO] 170/221 | Where is That Bird? The Impact of Artificial Birdsong in Public Indoor Environments
[NO] 171/221 | Distributed, Coordination-Free Programming: 10 Years of Progress Since Lasp
[NO] 172/221 | OHMNI: Hand-Tracked XR Circuit Prototyping with Integrated SPICE Simulation
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 173/221 | DJ AI: Optimizing Playlist Alignment and Generating Transitions with Generative and Embedding Models
[NO] 174/221 | Formalizing Weighted Pushdown Systems in Isabelle/HOL
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 175/221 | Egocentric 3D Pose Estimation with Temporally Guided Pose Refinement
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 176/221 | Echoes of Poetry: Recontextualizing Classical Chinese Poetry into Modern Pop Music through Narrative Visualization
[NO] 177/221 | MLLM-guided Training-free Spherical Panorama Generation from a Single Image
[NO] 178/221 | Calligraphy Echo: Sonifying Chinese Calligraphy with MIDI-Enabled Brush
[NO] 179/221 | Fast and Stable Elastic Dynamics with Large-scale Contact Simulation
[NO] 180/221 | Dependency Pairs for Expected Innermost Runtime Complexity and Strong Almost-Sure Termination of Probabilistic Term Rewriting
[NO] 181/221 | Sonic Skater Jump: Exploring the Sound Design of Complex Auditory Movement Guidance for Physical Therapy
[NO] 182/221 | Tactile Data Recording System for Clothing with Motion-Controlled Robotic Sliding
[NO] 183/221 | The Effect of Shape Differences on Object Impressions and Their Relation to Weight Perception
[NO] 184/221 | Folding Narrowing for the Analysis of Mutual Exclusion Protocols
[NO] 185/221 | Navigable Semantic Sound Maps for Auditory Displays
[NO] 186/221 | ETCE: Efficient Two-Stage Concept Erasure for Text-to-Image Diffusion Models
[NO] 187/221 | HoverCanvas: Aerial Display Based on a Flying Screen and 100 m Long Range Dynamic Projection
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 188/221 | RingFlowUI: 3D Interface System using Ring-mounted Camera
[NO] 189/221 | When Stars Shine through Silence: Affective Visualization as Empowerment for Victims of Subway Harassment
[NO] 190/221 | Topology-Aware Polymorphism for Embedded Shading Languages
[NO] 191/221 | Mourning Skins: Using Generative AI for Speculative Visualization on Climate Change
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 192/221 | Harmonic Materials: Composing with found objects and a camera-based synthesiser
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 193/221 | Creating Immersive Future Living: An AI-Driven XR Interior Design System
[NO] 194/221 | HAVM: Designing 3D Hybrid-Anisotropic-Voronoi Cells for Microstructured Metamaterial
[NO] 195/221 | Shen Shu Yu Jin Wu: XR Virtual Production Empowering the Visual Spatial Construction and Immersive Experience of Chinese Classical Dance Films
[NO] 196/221 | A Framework for Architectural Geometry Synthesis Using Cellular Automata and Conditioned Diffusion Models
[NO] 197/221 | Thread Display: A Novel Wind-Driven Spatial Display Technique
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 198/221 | A Reflection on Task-Oriented Programming
[NO] 199/221 | Shallowly Embedded Functions
[NO] 200/221 | Recovering Commutation of Logically Constrained Rewriting and Equivalence Transformations
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 201/221 | Collaborative Scene Mood Authoring with Voice-driven Multimodal Feedback Design in Virtual Reality
[NO] 202/221 | Trans-composition
[NO] 203/221 | Visualizing the Immune Mechanisms: Interactive Storytelling for Pediatric Allergy Engagement
[NO] 204/221 | Differentiable Rendering Framework for Retroreflective Model Construction in Mid-Air Image Simulation
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 205/221 | Tangible Immersive Authoring of Dynamic Mixed Reality Scenes with the World in Miniature Paradigm
[NO] 206/221 | Drawing Lines to Connect
[NO] 207/221 | Immersive Brain Exploration: A VR-Based Gamified System for Neuroanatomy Education with AI-Augmented Learning
[NO] 208/221 | CosmicStride: Space-Efficient VR Exploration for LBE Venues
判定相关性时出错： Error code: 400 - {'error': {'message': "{'error': '/chat/completions: Invalid model name passed in model=Qwen3-30B-A3B-Instruct-2507. Call `/v1/models` to view available models for your key.'}", 'type': 'None', 'param': 'None', 'code': '400'}}
[NO] 209/221 | Celestial Blossom: A Collaborative, Meditative VR Journey of Fractal Art and Music
[NO] 210/221 | RhyGlyph: Radial Glyph Visualization of Rhythm Interactions
[NO] 211/221 | An interactive type checker for dependent types with general recursion (System Description)
[NO] 212/221 | Percussive Hemispheres: Turning the Head into a Resonating Instrument via Audio-Tactile and Visual Synchrony
[NO] 213/221 | koloHart: Neck-Worn Tactile Choker for Sensory Substitution and Sensory Enhancement
[NO] 214/221 | Novel active force feedback glove and control algorithm for a realistic virtual handshake
[NO] 215/221 | Reimagining the CGI Pipeline with Diffusion Models: A Renderless Workflow for 3D Product Visualization
[NO] 216/221 | Living Literature: A Collaborative VR Experience for Enhancing Shared Reading Through Affective and Generative Feedback
[NO] 217/221 | Creative Hair Style Generation and Editing
[NO] 218/221 | AI-Powered Synthesis of 2.5D Traditional Chinese Paintings
[NO] 219/221 | Sonic Scribbles – Constructing Sketch Classes from Visual Associations of the Mental Model for Audio
[NO] 220/221 | Introducing WebPdL2Ork
[NO] 221/221 | Playing With Sound Beings: A Phenomenological Exploration
筛选完成：共 221 篇；Yes = 0 篇；已保存到 papers/select_paper2025-12-13.json。
邮件发送成功！
[2025-12-14 09:29:20] 任务执行成功！
