[2026-08-03 23:00:04] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-02
正在获取论文...
[IEEE] 2026-8-3 | Closed-Loop Common Mode Current Mitigation for Transformerless Current-Source Soft Open Points
[IEEE] 2026-8-3 | PFL-AP: Personalized Federated Learning with Adaptive Affine Calibration and Prototype-driven Knowledge Fusion for Non-IID Data
[IEEE] 2026-8-3 | Parametric Study of Surface Roughness Effects on Thermal Resistance in Suspended MoS
                    <sub>2</sub>
                    FETs
[IEEE] 2026-8-3 | Improving Generalization Performance of Multi-objective Fuzzy Genetics-Based Machine Learning using Synthetic Training Data Generated from High-Performance Black-Box Models
[IEEE] 2026-8-3 | ICAHS 2025 Cover Page
[IEEE] 2026-8-3 | ChACo: Channel-Wise Adaptive Competitive Layer-Wise Learning_supp1-3715154.pdf
[IEEE] 2026-8-3 | MM-2FSK: Multimodal Frequency Shift Keying for Ultra-Efficient and Robust High-Resolution MIMO Radar Imaging
[IEEE] 2026-8-3 | Understanding Prompt Quality and Its Relation to LLM-based Code Generation
[IEEE] 2026-8-3 | Blockchain-based Cyber Risk Assessment for Biometric Data in Consumer Digital Assistants
[IEEE] 2026-8-3 | Urban Macro/Microcellular Channel Characterization at 4.85 GHz With Literature-Referenced Upper-FR1-to-FR3 Cross-Band Analysis
[IEEE] 2026-8-3 | The contribution of chaos in multiple access communication systems
[IEEE] 2026-8-3 | Optimal Transition Path for New Energy Power in the Guangdong-Hong Kong-Macao Greater Bay Area Under the Dual Carbon Target
[IEEE] 2026-8-3 | Missing Rule Recovery-based Dynamic Fuzzy Rule Interpolation
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Fuzzifying the Operational Design Domain: A Scalable Situation Hyperspace Generation
[IEEE] 2026-8-3 | Distributed Energy-Aware and QoS-Guaranteed Traffic-Splitting Routing in GEO/LEO Hybrid Satellite Networks_supp1-3718472.pdf
[IEEE] 2026-8-3 | Study on the Heat and Fluid Flow of Ionized Gas Fluid in Tube by Transverse Magnetic Field
[IEEE] 2026-8-3 | ICAHS 2025 Authors Index
[IEEE] 2026-8-3 | Returns of non-administered drugs: Assessment, influencing factors, and opportunities for improvement – A case study from Liège University Hospital, Belgium
[IEEE] 2026-8-3 | DPC-HOPE: A Fuzzy Density-Peak Approach to Overlapping Community Detection
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Reliability Assessment of Microgrids Considering Emergency Generator Vehicles
[IEEE] 2026-8-3 | Proceedings
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | SwarmInfer: Intra-Layer Tensor-Parallel Distributed Inference on ESP32-S3 Microcontroller Clusters via ESP-NOW
[IEEE] 2026-8-3 | Lifelong Learning-Based SDN Design for Dynamic Configuration and Resource Allocation in Satellite-Terrestrial Networks
[IEEE] 2026-8-3 | Multi-Objective Deep Reinforcement Learning-Based Adaptive Coordinated Control for Solid-State Transformer
[IEEE] 2026-8-3 | Spine Stenosis Image Segmentation and Detection using Machine Learning
[IEEE] 2026-8-3 | Design and Control of a Monolithically Integrated Robotic Arm and Gripper Using Spatially Varying Hybrid Braided Structures_supp1-3719224.mp4
[IEEE] 2026-8-3 | Chaos-based Secure and Parametric Datasets-Aware Multi-Layer Perceptron Acceleration on FPGA
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Sliding Mode Observer-Based Joint Estimation of SOC and Hysteresis Voltage for Battery Packs with Inconsistencies
[ACM] 2026-8-3 | Configuring Industrial Wireless Mesh Networks via Multi-Source Domain Adaptation and Feature Masking
[IEEE] 2026-8-3 | Bi-objective DEA with CART-Based Machine Learning for Optimized Hospital Department Resource Allocation
[IEEE] 2026-8-3 | A Bipedal Robot For Stair Transportation Based on Multimodal Perception
[IEEE] 2026-8-3 | Vibration Simulation and Validation of New-Energy Vehicle Battery Packs
[IEEE] 2026-8-3 | An Efficient Evolving Functional Fuzzy System for Online Function-on-Function Regression with Usage-Based Rule Pruning
[IEEE] 2026-8-3 | Volume-Preserving YUV Color Transform for Enhanced 4:2:0 Chroma Interpolation
[IEEE] 2026-8-3 | Multi-Modal Sensing-Aided mmWave Beam Tracking via Deep Reinforcement Learning for 6G
[IEEE] 2026-8-3 | Reverse Search Heuristic Sampling-Based Path Planning Algorithm With Path Smoothing for Autonomous Vehicles
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Contextualizing Generalized Additive Models
[IEEE] 2026-8-3 | Deep Reinforcement Learning-Based MPPT Optimization Control for Grid-Connected Photovoltaic Systems
[IEEE] 2026-8-3 | Multi-Objective Optimization of Data Acquisition Delay and Energy Consumption in Smart Grids Based on MOPSO
[IEEE] 2026-8-3 | A Metaheuristic Framework for Elective Surgery Scheduling under Ward and Flow Constraints: A Multi-Stage Healthcare Optimization Approach
[IEEE] 2026-8-3 | Structure-aware Multi-Prototype Prompting Method for Remote Sensing Farmland Segmentation
[IEEE] 2026-8-3 | Multi-Time-Scale Modeling for Day-Ahead Forecasting of Passenger Travel-Time and Destinations Distribution
[IEEE] 2026-8-3 | A Hybrid Convolutional–Recurrent Architecture for Robust Voice-Based Gender Identification
[IEEE] 2026-8-3 | JWA-PyTorch: an Open-Source PyTorch-based Toolkit for the Joint Weighted Average Operator
[IEEE] 2026-8-3 | Multi-Objective Optimization Based Coordinated Allocation Strategy for Renewable Energy Stations and Diversified Energy Storage
[IEEE] 2026-8-3 | Research on Wind Turbine Maintenance Strategy Based on Reliability Assessment and Optimization Model
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Mixture of Inverse Gaussians for Hemodynamic Transport (MIGHT) in Multiple-Input Multiple-Output Vascular Networks
[IEEE] 2026-8-3 | A PIO-RF-Based Zero-Sequence Protection Method for Distribution Networks with Renewable Energy Integration
[IEEE] 2026-8-3 | Edge-Reference Differential PSK: A Phase-Synchronization Architecture Optimized for Pulse-Based IR-UWB
[IEEE] 2026-8-3 | Target-Specific Prompt Learning based Fuzzy Domain Adaptation
[IEEE] 2026-8-3 | Research on Misalignment Tolerant Characteristics of WPT System Based on Double Coil Series Structure
[IEEE] 2026-8-3 | Soft Tissue Radiodensity Asymmetry as Clinical Indicator for Diabetes and Hypertension in Aging_supp1-3718689.docx
[IEEE] 2026-8-3 | A Physics-Informed Multi-Scale Framework for Smartphone Battery Life Prediction
[IEEE] 2026-8-3 | Research on Operational Optimization Strategy for an Intelligent PV-Storage-Charging Microgrid System
[IEEE] 2026-8-3 | Multi-Policy vs. Shared Policy Architectures in Multi-Agent Proximal Policy Optimization for Heterogeneous Traffic Signal Control
[IEEE] 2026-8-3 | A Machine Learning-Based Application to Predicting Patient Survival in Peritoneal Treatment
[IEEE] 2026-8-3 | Keynote III ISSSR 2026: AI-Enhanced Safety Critical Software Development
[IEEE] 2026-8-3 | mmWave Radar-based Wall Classification using Progressive Feature Selection
[IEEE] 2026-8-3 | Design of an Offset-Resistant WPT System Based on Switching Capacitors
[IEEE] 2026-8-3 | PLC Control System for Automatic Control of Water Treatment Equipment
[ACM] 2026-8-3 | The ABCs of Open Educational Resources (OER): A comprehensive overview
[IEEE] 2026-8-3 | Collection:
                    <i>Benchmark Datasets for the Evaluation of Data Imputation Algorithms</i>
[IEEE] 2026-8-3 | Necessity-Based Evolutionary Optimization of Fuzzy Intervention Policies under Uncertainty and Drift
[IEEE] 2026-8-3 | Time Series Anomaly Detection using Learning Entropy on Water Networks
[IEEE] 2026-8-3 | A Modular Framework for Brain Tumor Segmentation and Explainable-by-Design Classification from MRI
[IEEE] 2026-8-3 | Scanning the Issue
[IEEE] 2026-8-3 | Trustworthy and Explainable Neuro-Fuzzy Ensembles for Clinical Decision Support
[IEEE] 2026-8-3 | Registration Landscape of Look-Alike Domains of Large European Corporations: An Empirical Analysis Based on the STOXX Europe 600
[IEEE] 2026-8-3 | GPTrack: Graph-Topological Priors and Physics-Aware Interaction for RGB-T Tracking
[IEEE] 2026-8-3 | A Rank-Based Information Fusion Framework for Comparing Clustered Multivariate Socioeconomic Outcomes
[IEEE] 2026-8-3 | A Robust Sensor Scheduling Algorithm based on Deep Reinforcement Learning for Maneuvering Target Tracking
[IEEE] 2026-8-3 | TALB-MAPPO: A Time-Aware and Load-Balanced Multi-Agent Reinforcement Learning Framework for Collaborative Robotic Grinding_supp2-3719201.mp4
[IEEE] 2026-8-3 | BioZKFHE: Scalable Encrypted Biometric Identification via Verifiable Homomorphic Similarity Evaluation_supp1-3716308.pdf
[IEEE] 2026-8-3 | Quasi-Distributed Fiber Bragg Grating System for Differentiated Icing Load Detection on Composite Insulators and Transmission Conductors
[IEEE] 2026-8-3 | Assessing the Impact of Corporate Social Responsibility on High-Quality Development in the Age of Digitalization
[IEEE] 2026-8-3 | Hybrid Attention-Augmented Self-Interpretable Channel-Grouped Graph Convolutional Network for Robust Distribution Network Fault Diagnosis
[IEEE] 2026-8-3 | MultiGraspNet: A Multitask 3D Vision Model for Multi-gripper Robotic Grasping_supp1-3719235.mp4
[IEEE] 2026-8-3 | A Robust Framework for Stock Price Prediction via BorutaSHAP-Based Feature Selection and Ensemble Deep Learning
[IEEE] 2026-8-3 | Multi-UAV-Enabled Anti-Jamming Throughput Maximization With Bit and Semantic Communications in Low-Altitude Mobile Edge Networks
[IEEE] 2026-8-3 | Adaptive parameter analytical target cascading algorithm for distributed optimization of a port-ship energy system with shared energy storage
[IEEE] 2026-8-3 | Generalizing the Antecedent Layer of ANFIS: A Performance Analysis Under Classes of Fuzzy Aggregators
[IEEE] 2026-8-3 | Towards Segmented Linear Regression for Interval-Valued Data
[IEEE] 2026-8-3 | Grounding Resistance Reducing Material Reinforced by Double-Crosslinked Three-Dimensional Conductive Skeleton and Performance Study
[IEEE] 2026-8-3 | Keynote IV ISSSR 2026: Rethinking Safety-Critical Systems: Risk, Resilience and AI in Disaster Management
[IEEE] 2026-8-3 | High-Fidelity VMD-DAC Demodulation Framework for Long-Haul Distributed Temperature Sensing
[IEEE] 2026-8-3 | A Phase-Domain Post-Filter Approach for LiDAR DSM in Urban Areas
[IEEE] 2026-8-3 | Compact Wideband Multimode Microstrip Patch Antenna with Stable Gain for 5G NR FR2 Band Applications Based on Modal Analysis
[IEEE] 2026-8-3 | A Type-2 Fuzzy-Based Feature-Driven Rule Reduction Approach for Demand Forecasting within an Energy Smart Grid System
[IEEE] 2026-8-3 | Multi-Round Meta-Learning for Label Purification without Trusted Labels_supp1-3718926.pdf
[IEEE] 2026-8-3 | Self-Supervised Speaker Diarization with Clustering and End-to-End Attention Mechanisms
[IEEE] 2026-8-3 | A 1.54-dB·pJ/bit Supply-Noise Tolerant Bias-Free Capacitively Driven Slope-Sampling Transceiver with FIR-Based Crosstalk Cancellation
[IEEE] 2026-8-3 | STNR-Det: Synergistic Temporal Nuance Reconstruction for Remote Sensing Change Detection
[IEEE] 2026-8-3 | Adaptive Tracking Control of Uncertain Manipulators via Self-Organizing Recurrent Fuzzy Neural Network Architectures
[IEEE] 2026-8-3 | Improving Speaker Deepfake Detection through Generative Probabilistic Normalization
[IEEE] 2026-8-3 | Agentic AI for Embodied-Enhanced Beam Prediction in Low-Altitude Economy Networks
[IEEE] 2026-8-3 | A Secure SoPC Embedded System for Blockchain Network and IoT Applications
[IEEE] 2026-8-3 | Intelligent Fault Diagnosis of Rolling Bearing With Variable Speed Based on ASTFrFT and Time-Frequency BoTNet Model
[IEEE] 2026-8-3 | Effects of Primary Air Parameters on Methanol Spray Combustion Characteristics: A Numerical Simulation Study
[IEEE] 2026-8-3 | LEO Satellite Internet-Enabled Edge-Master Collaborative Wide-Area Harmonic Tracing for V2G
[IEEE] 2026-8-3 | Spatiotemporal Graph Neural Network-Incorporated Latent Factorization of Tensors for Dynamic QoS Estimation
[IEEE] 2026-8-3 | Fast Autonomous Skeleton Design for Shape-adaptive Soft Hands via Ultradiscrete Reaction-Diffusion_supp1-3719200.mp4
[IEEE] 2026-8-3 | Architectural and inclusive design for neurodiversity
[IEEE] 2026-8-3 | Study on Vibration Characteristics of Ice-Covered Conductors Under Impact Loads
[IEEE] 2026-8-3 | Hierarchical Coordination Control Strategy for MMC-LCC Hybrid HVDC Transmission Systems
[IEEE] 2026-8-3 | Structured Contextual Deep Learning for Channel Estimation in UAV-OFDM Systems Under Beam Squint and Doppler Effects
[IEEE] 2026-8-3 | Front Matter
[IEEE] 2026-8-3 | Corrections to “Pavement Crack Detection on the Basis of a Maximum Eight-Direction Filter and Image Features”
[IEEE] 2026-8-3 | An Adaptive Beamforming Algorithm Based on RLS-DCD
[IEEE] 2026-8-3 | Design and Simulation of a Compact Solid-State Marx Pulse Modulator with Distributed Inductors
[IEEE] 2026-8-3 | Construction and Application of Machine Vision-Driven Intelligent Agricultural Machinery
[IEEE] 2026-8-3 | Fault Mode Analysis and Fault-Tolerant Mechanism Research for Automatic Heterogeneous Database Synchronization in Academic Libraries
[IEEE] 2026-8-3 | A Level Shifter with High dv/dt Noise Immunity
[IEEE] 2026-8-3 | IEEE Industry Applications Society Information
[IEEE] 2026-8-3 | SQWav-Palm: A Hybrid System for S-Palmitoylated Protein Prediction in Arabidopsis thaliana Based on Wavelet Transform and SqueezeNet
[IEEE] 2026-8-3 | SpeakEZ: Self Supervised Feature Extractor Based Dysarthric ASR System
[IEEE] 2026-8-3 | Dynamic Off-Body Propagation Channel Characterization for Underground Mining Wireless Systems
[IEEE] 2026-8-3 | Azimuth-Dependent Secure Transmission With Orbital Angular Momentum Directional Modulation
[IEEE] 2026-8-3 | Gaze-Flow: Human-Like and Interpretable End-to-End Planning via Gaze-Guided Flow Matching and Progressive Frequency Fusion_supp1-3718644.pdf
[IEEE] 2026-8-3 | Table of Contents
[IEEE] 2026-8-3 | Planetary Scene Classification via a Novel Zero-Shot Hierarchical State-Space Model
[IEEE] 2026-8-3 | Can We Redesign a Shoulder Exosuit to Enhance Comfort and Usability Without Reducing Assistance?
[IEEE] 2026-8-3 | From Analysis to Design: The Role of Space Syntax and AI in Healthcare Architecture
[IEEE] 2026-8-3 | PLM-based Two-Stage Semantic Encoding for Task-oriented Semantic Communication on the Fly
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | A Novel Fuzzy Clustering Algorithm Based on Fermatean Fuzzy Sets for Image Segmentation
[IEEE] 2026-8-3 | Intelligent Analysis of Multi-Dimensional Indicators for Enterprise Public Opinion Crises Based on Emotional Modeling
[IEEE] 2026-8-3 | BASIC: Towards Unbiased Knowledge Learning for Semi-Supervised Abdominal Multi-Organ Segmentation
[IEEE] 2026-8-3 | Predictive maintenance under uncertainty in smart hospitals: Decision support with belief functions
[IEEE] 2026-8-3 | Paraconsistent Semi-Supervised Self-Organizing Fuzzy Belief Ensemble Classifier
[IEEE] 2026-8-3 | Dynamics-Based Collaborative Control for an Exoskeleton-Walker System via Deterministic Learning
[IEEE] 2026-8-3 | Depth-Guided Underwater Image Enhancement for Robust Distant-Region Color Correction under Uneven Illumination
[IEEE] 2026-8-3 | Capacity Analysis and Low-Complexity Resource Allocation for DCO-OFDM in Deep-Fading NLOS Ultraviolet Channels under LED Clipping Distortion
[IEEE] 2026-8-3 | An Intelligent Resonant Wireless Energy Distribution System for IoT Sensor Networks
[IEEE] 2026-8-3 | Bootstrapping Reinforcement Learning with Sub-optimal Policies for Autonomous Driving
[IEEE] 2026-8-3 | Encrypted and Trust-Aware Periodic Event-Triggered Fault-Tolerant Control for Cyber-Physical Systems Under Malicious Attacks
[IEEE] 2026-8-3 | Infer-GANomaly: A Generative AI Framework for Seismic Event Discrimination via Physics-Informed Hybrid Attention
[IEEE] 2026-8-3 | xFODE+: Explainable Type-2 Fuzzy Additive ODEs for Uncertainty Quantification
[IEEE] 2026-8-3 | Direct Cooling Techniques for Power-Dense Electric Propulsion Motors: A Review
[IEEE] 2026-8-3 | Fatigue Monitoring and Prediction Based on Gamma Progressive Index (GPI) Learning
[IEEE] 2026-8-3 | Predictive Electrochemical-Thermal Coupled Modeling of Prismatic Battery Internal Temperature Gradients
[IEEE] 2026-8-3 | Feature-weighted FKNN regression using fuzzy mutual information and Łukasiewicz similarity
[IEEE] 2026-8-3 | Steering Committee: ISSSR 2026
[IEEE] 2026-8-3 | Nonfragile Quantized Observer-Based Output Feedback Control for T-S Fuzzy Systems
[IEEE] 2026-8-3 | WorldMamba: World-State Representation Learning for Hyperspectral Image Classification
[IEEE] 2026-8-3 | ATMDD: Denoising Trajectory Decoupling for Generative-to-Discriminative Knowledge Distillation in Object Detection
[IEEE] 2026-8-3 | Adaptive KST Wideband Measurement Algorithm Considering Sidelobe Interference Compensation
[IEEE] 2026-8-3 | Causal Representation Learning for Trustworthy Industrial Process Modeling
[IEEE] 2026-8-3 | HOMA-ST: High-Order Motion Guided Cross-Attention for UAV Single-Object Tracking
[IEEE] 2026-8-3 | Fuzzy Accuracy Compensates for Label Subjectivity in Classification of Skin Tone Using Wearable Photoplethysmography Signals
[IEEE] 2026-8-3 | ICAHS 2025 Content Announcement Page
[IEEE] 2026-8-3 | UnimNeuron: Automatic Connective Selection for Interpretable Neuro-Fuzzy Rules
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Unsupervised Sensor-based Human Activity Recognition via Contrastive Learning of Representation
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Deep Learning approaches for intrusion detection in IoT environments: a Systematic Literature Review
[IEEE] 2026-8-3 | Coverage-Free LLM-based Fault Localisation via Semantic Reasoning over Historical Bug Reports
[IEEE] 2026-8-3 | Committee Members
[IEEE] 2026-8-3 | MOSAIC: Multi-User OFDM-Based Sensing and Inherent Communication for 6G Mobile Networks
[IEEE] 2026-8-3 | Fault Line Selection for Resonant Grounded System Using S-Transform and Dissimilarity Clustering
[IEEE] 2026-8-3 | An Acoustic Monitoring System for Improving Passenger Experience in Public Transport
[IEEE] 2026-8-3 | Reinforcement Learning-Based Fuzzy Control for E-Bike Power Adaptation
[IEEE] 2026-8-3 | Beyond Safety: An Attention-Based Subjective--Objective Mapping Model for Autonomous Driving Intelligence Evaluation
[IEEE] 2026-8-3 | IEEE Transactions on Intelligent Transportation Systems Publication Information
[IEEE] 2026-8-3 | Coupled Target Assignment and Path Planning for Underwater Glider Fleets in a Marine IoT System under Multi-source Disturbances
[IEEE] 2026-8-3 | Distributed MPC for DDoS-Resilient Control and Communication Optimization in Multi-UAV Assisted IoT Smart Agriculture Networks
[IEEE] 2026-8-3 | Research on Radial Temperature Field Characteristics of 500kV Cross Linked Polyethylene Cable Based on Finite Element Analysis
[IEEE] 2026-8-3 | Human-Inspired Perspectives: A Survey on AI Long-Term Memory
[IEEE] 2026-8-3 | Raisu: A Radiation-Tolerant Neuromorphic Imager With In-Pixel Self-Healing and Unified Spiking Processing for Spaceborne Vision
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | Hinge-type fiber-optic interferometric accelerometer based on the improved PGC demodulation algorithm
[IEEE] 2026-8-3 | Textile Open-ended Slot Antennas Integrated into Textile Displays with High Pixel Densities
[IEEE] 2026-8-3 | Hybrid Modeling of Capacitive Human Body Communication Systems to Capture Channel Variability
[IEEE] 2026-8-3 | Author response for "Collection: Benchmark Datasets for the Evaluation of Data Imputation Algorithms"
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | An Efficient and Robust Few-Shot Information Fusion for Paddy Disease Detection
[IEEE] 2026-8-3 | Resource-Efficient FPGA-Based Envelope Analysis for Bearing Fault Diagnosis
[IEEE] 2026-8-3 | GSO-DPCD: A Fuzzy Density-Peak Approach for Overlapping Community Detection
[IEEE] 2026-8-3 | Fully Distributed Prescribed-time Full-state Consensus Control for High-order Nonlinear Multiagent Systems under Communication Link Faults
[IEEE] 2026-8-3 | Test-Time Model Adaptation for Robotic Grasping With Weakly Supervised Affordance Grounding_supp1-3713548.pdf
[IEEE] 2026-8-3 | Pattern-Occupancy PCB Routing Joint Optimization of Thermal Management and Crosstalk Mitigation
[IEEE] 2026-8-3 | Binary and Ternary Repeated-Root Cyclic Codes with Optimal or Best-Known Parameters
[IEEE] 2026-8-3 | A Dual-Branch Deep Learning Framework for Macroscopic Area and Microscopic Contour Prediction of EMUs Wheelset Wear
[IEEE] 2026-8-3 | A Multi-Time-Scale Coordinated Scheduling Method for Virtual Power Plants Based on Multi-Agent Deep Deterministic Policy Gradient
[IEEE] 2026-8-3 | Hybrid CNN-Transformer with Focal Loss for Copy-Move Forgery Detection
[IEEE] 2026-8-3 | User Preference based Fuzzy Predictive Control for Multi-room Climate Control Systems
[IEEE] 2026-8-3 | Numerical Study on the Thermo-Hydraulic Performance of a Flat-Plate Solar Air Collector with Baffles
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | A Two-Stage Topology-Adaptive Physics-Guided Power Flow Learning Approach for Power Distribution Networks
[IEEE] 2026-8-3 | Research on Motion Control of Master-Slave Heterogeneous Teleoperation Robots Based on Motion Mapping
[IEEE] 2026-8-3 | A-TimesNet: Adaptive Multi-Scale Periodic Feature Fusion for Electricity Consumption Forecasting in Intelligent Manufacturing
[IEEE] 2026-8-3 | Distortion shaping in space and frequency using digital predistortion in MIMO transmitters
[IEEE] 2026-8-3 | Enhancing Thermal Management System Simulations in Electric Vehicles Using Informed Neural Networks
[IEEE] 2026-8-3 | Predicting Diseases and Treatments of Healthcare Management Big Data Based-Deep Learning
[IEEE] 2026-8-3 | Automated Progressive Label Refinement for Nasogastric Tube Segmentation in Chest X-rays
[IEEE] 2026-8-3 | Resilient Deployment of Low-Altitude Collaborative Surveillance Networks: A Max–Min Trajectory Exposure Approach
[IEEE] 2026-8-3 | ICAHS 2025 Copyright Page
[IEEE] 2026-8-3 | A Fuzzy-Probabilistic Framework for NPC Emotion Modeling with Interpretability and Variability
[IEEE] 2026-8-3 | Adjudicated Captioning: Multi-Agent Alignment Scoring and Consensus-Distilled Beam Arbitration for Strict Zero-Shot Image Captioning
[IEEE] 2026-8-3 | TAIC PART Collaborators
[IEEE] 2026-8-3 | Quality by Innovation In Immunology: Deep Learning for Antinuclear Antibodies Classification Integrating ISO 56000 Principal For Reliable Immunological Diagnostics
[IEEE] 2026-8-3 | Subspace Decomposition via Hankel Matrix Analysis for State Monitoring and Defect Identification
[IEEE] 2026-8-3 | The Open-Loop Trajectory Design of a Solar-Powered Car Based on B-Spline Curves
[IEEE] 2026-8-3 | A Systematic Ablation Study of Multilingual Transformer Architectures for Sarcasm Detection: Architectural Design versus Feature Engineering
[IEEE] 2026-8-3 | AnisoNet: A Detecting Model for Initial Anisotropic Cracks in Complex Road Scenarios
[ACM] 2026-8-3 | Architecture-Aware Multi-Scale Modeling with Self- and Cross-Attention for Dynamic IR Drop Analysis
[IEEE] 2026-8-3 | Review for "Collection: Benchmark Datasets for the Evaluation of Data Imputation Algorithms"
[IEEE] 2026-8-3 | Data-Knowledge Collaborative Driven Intelligent Fault Diagnosis for Supercritical Steam Turbines in Heating Condition
[IEEE] 2026-8-3 | Medical Image Registration for Microwave Imaging Using Qualitative Inverse Scattering
[IEEE] 2026-8-3 | LSAHR: Large-Scale Arabic Hotel Review Dataset for Personalized Recommendation
[IEEE] 2026-8-3 | A 500-MS/s 94-dB-SFDR Resistive-Input Pipelined-SAR ADC With a Current-Buffer-Based Integrating Sampler and Floating Charge Transferrer
[IEEE] 2026-8-3 | Geometric Locality Preserving Vision Mamba for Image Guided Depth Completion
[IEEE] 2026-8-3 | High-Sensitivity Ferrite Magnetometer for Low-Dose Magnetic Sentinel Lymph Node Detection
[IEEE] 2026-8-3 | A Large-Scale Integer Programming Algorithm for Fuzzy-driven Credible Subset Selection
[IEEE] 2026-8-3 | Adaptive Variable Impedance Control for Spherical Joints Based on Force Field Perception and Bionic Strategy Learning
[IEEE] 2026-8-3 | Performance Optimization Study of Cold Storage Refrigeration Equipment Using Compact Finless Microtube Heat Exchanger
[IEEE] 2026-8-3 | Affine Transformation-Based Lightweight Random Vector Functional Link with Fuzzy Attention for Real-Time Concept Drift Handling
[IEEE] 2026-8-3 | Copyright Page
[IEEE] 2026-8-3 | An Interpretation of Certain Numerical Values Associated with a Finite Poset and an Application to the Nonempty Intervals in Any Finite Chain
[IEEE] 2026-8-3 | Fast Two-Level Non-Uniform Quantization with Constant Average-Case Time Lookup for Embedded Systems
[IEEE] 2026-8-3 | Lightweight IoT Intrusion Detection via Curriculum Knowledge Distillation
[IEEE] 2026-8-3 | Structure-Enhanced Transform Tensor Low-Rank Network for Spatiotemporal High-Resolution Reconstruction
[IEEE] 2026-8-3 | CMo-IABA: Constrained Multi-Objective Invisible and Adaptive Backdoor Attack for Deep Neural Networks-Based SAR Image Classification
[IEEE] 2026-8-3 | Detection of HLS-based Hardware Trojans using Logistic Regression Binary-Classifier
[IEEE] 2026-8-3 | Segmentation of Leukemia Cells in Cytology Images Using Attention-Enhanced U-Net and Swin-Unet with MAE
[IEEE] 2026-8-3 | 2026 International Conference on Speech, Multimodal and Advanced Communication Systems (ICSMACS)
[IEEE] 2026-8-3 | Table of Contents
[IEEE] 2026-8-3 | Admissible Heuristic Design for Optimally Scheduling Resource Allocation Systems With Generalized Timed Petri Nets
[IEEE] 2026-8-3 | Dynamic Balance and Adaptive Walking Strategy for Quadrupedal Robots Based on Fuzzy Control and Reinforcement Learning
[IEEE] 2026-8-3 | GreenAuth: Risk-Adaptive Cryptographic Authentication for Scalable and Energy-Efficient 6G-IoT Networks
[IEEE] 2026-8-3 | Design of Automatic Control System for Small Hydroelectric Generator Unit Based on Small PLC
[IEEE] 2026-8-3 | A Hybrid Encoding-Based Coordinated Optimization Method for Charging Matrix Design in the Blast Furnace Ironmaking Process
[IEEE] 2026-8-3 | An MDD-Based Reliability Assessment for Performance-Sharing k-out-of-n: G Systems
[IEEE] 2026-8-3 | Topology-Uncertain Multi-UAV Formation Control Algorithms Against Hybrid Cyber Attacks
[IEEE] 2026-8-3 | A Multi-Objective Robust Optimization Model for "Goods-to-Person" Mobile Shelving Robots
[IEEE] 2026-8-3 | Degradation Prediction of Fuel Cell Using Grey Model Based on Exponential-Log-Squared Function Transformation and Advanced Social Memory Optimization
[IEEE] 2026-8-3 | ICEEMDAN-Enhanced Multidimensional Feature Fusion with SHAP Interpretability for Wind Turbine Noise Diagnosis and Fault Localization
[IEEE] 2026-8-3 | Comparative Evaluation of Machine Learning Models for Predicting Grinding Throughput in Mining Operations.
[IEEE] 2026-8-3 | FSP-YOLO: A Lightweight Algorithm for Ship Detection in SAR Images under Complex Backgrounds
[IEEE] 2026-8-3 | Importance of structure optimization to achieve large orbital energy spacing in Si fin-type quantum dot devices
[IEEE] 2026-8-3 | R
                    <sup>3</sup>
                    PUF: A Reliable RRAM-Based PUF Resilient to Machine Learning Attacks
[IEEE] 2026-8-3 | First end-to-end testing of prototype CMB-S4 cold detector modules and readout chains
[IEEE] 2026-8-3 | Table of Contents
[IEEE] 2026-8-3 | STAR-RIS and NOMA Assisted Integrated Sensing and Covert Communication Systems
[IEEE] 2026-8-3 | Integrating Large Language Models and Reinforcement Learning for Efficient Home Energy Management
[IEEE] 2026-8-3 | H2C: Hippocampal Circuit-Inspired Continual Learning for Lifelong Trajectory Prediction in Autonomous Driving
[IEEE] 2026-8-3 | Towards Synergistic Process Improvement in Healthcare: Comparative Insights from Lean, TQM, and Discrete Event Simulation
[IEEE] 2026-8-3 | Total focus delay multiply and sum: a real-time nonlinear approach to ultrasonic phased array imaging
