[2026-04-01 22:38:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-31
正在获取论文...
[arXiv] 2026-03-31 | Industrial Policy with Network Externalities: Race to the Bottom vs. Win-Win Outcome
[IEEE] 2026-3-31 | Optimizing Inventory Decisions in Finance-Driven Supply Chains Using Data Mining
[IEEE] 2026-3-31 | Design of Non-Gaussian Receivers for Ultra-Low Frequency Channels
[IEEE] 2026-3-31 | Intelligent Early Warning Model for Financial Public Opinion Risk Based on Multimodal Feature-Level Fusion
[IEEE] 2026-3-31 | An Efficient Deep Learning Approach for Face Detection Using Eigenfaces
[IEEE] 2026-3-31 | A NARX-Inspired Dual-Branch Neural Network Calibration for Pipelined ADC
[IEEE] 2026-3-31 | Context-Aware Enterprise Vulnerability Prioritization and Remediation Recommendations Using Semantic Learning
[IEEE] 2026-3-31 | The Analysis of Next-Generation HPC Architecture Based on CXL Through RAMSES-HR5 Performance Optimization
[IEEE] 2026-3-31 | Lattice-Based Functional Encryption for Next-generation Privacy-Preserving Computation
[IEEE] 2026-3-31 | Dualscan.AI: A Unified Platform for Brain Tumor and Pneumonia Recognition from Medical Images
[IEEE] 2026-3-31 | Contextual Feature Extraction for Personality Prediction Using Transformer-Based Models
[IEEE] 2026-3-31 | An Error-Resilient Area-Efficient Ultra-Low-Power 4-Bit Flash ADC Design with Multi-Vt Transistors
[IEEE] 2026-3-31 | An Efficient Fingerprint Extraction and Matching Algorithm for Imaging Device
[IEEE] 2026-3-31 | A Geometric-Analytical Algorithm for Hybrid AOA/TDOA Localization
[IEEE] 2026-3-31 | EfficientNetV2 and Grad-CAM++ Enabled Cloud Framework for Automated Thoracic Disease Diagnosis From Chest X-Rays
[IEEE] 2026-3-31 | Beam Alignment for Massive MIMO Transmission Based on Multi-Dimensional and Multi-Particle Quantum Walks
[IEEE] 2026-3-31 | Lightweight Quantum-Inspired Metaheuristic for Real-Time Resource Scheduling in Heterogeneous Edge Environments
[IEEE] 2026-3-31 | Design of a PI-Controller ASIC for a Multilevel Converter Using High-Level Synthesis and LibreLane
[IEEE] 2026-3-31 | Fuzzy-Based Fractional Control Structure for Enhanced Load Frequency Control
[IEEE] 2026-3-31 | Readiness Assessment and Barriers Identification in Adopting Sustainable Smart Warehousing Practices in Sri Lanka'S FMCG Sector
[IEEE] 2026-3-31 | Dual-Strategy Localization and Patch-Based Perceptual Evaluation for Industrial Print Inspection
[IEEE] 2026-3-31 | A DAE-Transformer Framework for Predictive Maintenance of Lithium-Ion Batteries in Intelligent Battery Management Systems
[IEEE] 2026-3-31 | Content-Based Image Retrieval using Deep Learning for Medical Images
[IEEE] 2026-3-31 | A Survey on Semantic Encoder Technology Trends for 6G Task-Oriented Semantic Communications
[IEEE] 2026-3-31 | TSR-VLM: A Large Multimodal Model for Traffic Sign Recognition in Intelligent Traffic Management
[IEEE] 2026-3-31 | RMC-YOLO: A Small Object Detection Framework with Routing Attention and Multi-Scale Context Modulation
[IEEE] 2026-3-31 | FESL-YOLO: Improved YOLOv11 Small Object Detection Algorithm for Aerial Images
[IEEE] 2026-3-31 | The Value and Methodology of Blue-and-White Porcelain Decorative Patterns: A Technical and Theoretical Framework for Purification, Classification, and Restoration
[IEEE] 2026-3-31 | A Smart Identification and Hierarchical Diagnosis Method for Grassland Ecological Degradation Integrating Multimodal Surface Sensors and Polarimetric SAR Images
[IEEE] 2026-3-31 | Multi-Level Pelican Optimization with Fuzzy Thresholding and Deep Residual CNN for Enhanced Fatty Liver Classification in Abdominal CT Scans
[IEEE] 2026-3-31 | Human Perception of AI-Generated Digital Avatars: Exploring Uncanny Valley and Ethical Dimensions
[IEEE] 2026-3-31 | Research on a Blockchain-Based Encrypted Transmission Method for Network Communication Data
[IEEE] 2026-3-31 | Metadata-Aware Agentic Rag Framework for Disaster Response and Task Synthesis
[IEEE] 2026-3-31 | A Gamified Knowledge-Guided Graph Learning Framework for Early Detection of Digital Cognitive Decline
[IEEE] 2026-3-31 | Exploring Charge-Based Mosfet Compact Models with ACM-2 as a Design-Oriented Paradigm
[IEEE] 2026-3-31 | Speech and Text Based Students' Mental Health Detection System Using Natural Language Processing with Explainable Ai
[IEEE] 2026-3-31 | Design and Experimental Investigation of an Enhanced Solar Dryer with Polycarbonate Sheet and Thermal Energy Storage
[IEEE] 2026-3-31 | Hybrid Genetic Algorithm and Fuzzy Control Approach for Lunar Lander Soft Landing
[IEEE] 2026-3-31 | Integrating Transformer and Generative Models for Intergenre Text Reframing
[IEEE] 2026-3-31 | Deep Learning Models for Detecting AI-Generated Faces: A Comparative Study
[IEEE] 2026-3-31 | AI-Driven Digital Pathology for Automated Disease Detection and Diagnosis: A Comprehensive Survey of Machine Learning and Deep Learning Innovations
[IEEE] 2026-3-31 | Neural Network–Based Optimization of Base Station Placement for Local Positioning Systems
[IEEE] 2026-3-31 | Real-Time Multi-Modal Deepfake Detection Using Spatiotemporal Attention Networks and Cross-Domain Adversarial Training
[IEEE] 2026-3-31 | MarkEditor: Precise and Controllable 3D Gaussian Editing with Text-Driven Optimization
[IEEE] 2026-3-31 | Agentic AI for Recon, Threat Analysis and Mitigation Reporting
[IEEE] 2026-3-31 | Balancing Fairness and Accuracy in Credit Scoring: Logistic Regression Vs Random Forest
[IEEE] 2026-3-31 | A New Implementation Form of Optical Neural Network based on Broad Learning Model
[IEEE] 2026-3-31 | X-Ray Radiograph-Based Knee Osteoarthritis Severity Grading Using Efficientnet-B0
[IEEE] 2026-3-31 | Deep Reinforcement Learning–Based Data Privacy Framework for Real-Time Industrial Sensor Networks
[IEEE] 2026-3-31 | Enhancing Lung Cancer Detection Accuracy with CrossViT-Lung: A Vision Transformer-Based Approach
[IEEE] 2026-3-31 | LLM-TDA: A LLM-based Tabular Data Augmentation Framework
[IEEE] 2026-3-31 | A User-Centric Approach to Fitness Tracking and Nutrition Guidance Using Machine Learning Classification and Clustering
[IEEE] 2026-3-31 | A Neural Network Approach for Speech to Text Translation of Low Resource Language
[IEEE] 2026-3-31 | FreqHDR: Frequency-Enhanced HDR Video Reconstruction
[IEEE] 2026-3-31 | Soft-Switching ZCS Commutated Current-Fed DAB DC/DC Converter with New Modulation Scheme
[IEEE] 2026-3-31 | The Concept of Constructing Normalized Scales for Diagnostic Results of Complex Objects
[IEEE] 2026-3-31 | Improvement on optical signal bit rate recovery algorithm based on multiple ultrashort optical pulse samplings
[IEEE] 2026-3-31 | GRACE-RAG: Graph Retrieval with Adaptive Chunk Extraction for Long-Context Question Answering
[IEEE] 2026-3-31 | Modeling a Reduced Hybrid Quantum-Inspired Framework for Optimized Speckle Denoising Filters
[IEEE] 2026-3-31 | Machine Learning Models and Power BI Dashboards for Predicting Employee Attrition in a Manufacturing Company in Bahrain
[IEEE] 2026-3-31 | Multi-Modal Longitudinal Framework for Alzheimer's Disease Diagnosis Using DPTPSAN and SHAP-Based Interpretability
[IEEE] 2026-3-31 | Achieving Secure and Reliable URLLC in Cell-Free Massive MIMO via Self-Supervised Learning
[IEEE] 2026-3-31 | DQN-Based Resource Allocation and Offloading (DQN-RAO) Algorithm for Multi-User Multi-Server MEC Network
[IEEE] 2026-3-31 | Automated Malaria Diagnosis Using a Fine-Tuned EfficientNetB3 Model on Blood Smear Images
[IEEE] 2026-3-31 | Deep Learning-Based Bird Species Classification Using ResNet-50
[IEEE] 2026-3-31 | Early detection method for high-risk diabetic foot based on infrared thermal imaging
[IEEE] 2026-3-31 | A Hybrid Machine Learning Framework for Real-Time Student and Tutor Matching: A Design Science Implementation Through FocusDesk
[IEEE] 2026-3-31 | A Novel Multi-Factor Authentication Technique Using DNA Cryptography to Safeguard Oil Companies' Data
[IEEE] 2026-3-31 | AI-Driven Dual CNN System for Automated Tomato Ripeness Classification and Defect Detection
[IEEE] 2026-3-31 | Delay Tolerant Precaching Scheme Based on Proximal Policy Optimization in Content-Centric Vehicular Networks
[IEEE] 2026-3-31 | 2026 6th International Conference on Advanced Research in Computing (ICARC)
[IEEE] 2026-3-31 | 2025 International Conference on Power, Electrical Engineering, Electronics and Control (PEEEC)
[IEEE] 2026-3-31 | Proceedings
[IEEE] 2026-3-31 | Venue
[ACM] 2026-4-1 | Power System Image Encryption Scheme Based on Two-Step Phase-Shifting Digital Holography and Human Biometric Key
[ACM] 2026-4-1 | Research and Implementation of a Home Electrical Safety Management System: Integrating BiLSTM and LoRa in an IoT Architecture
[ACM] 2026-4-1 | Multi-Genre Sports Dance Action Recognition and Skill Assessment Using CNN-BiLSTM-Attention Model
[ACM] 2026-4-1 | Research on the Digital Interaction of Cultural Heritage Game Driven by UE5 and IoT Technologies: A Case Study of Pitch-pot
[ACM] 2026-4-1 | Multi-Task Learning Framework Integrating LightGBM and SHAP for Rural Entrepreneurship Behavior Prediction Among College Students
[ACM] 2026-4-1 | Research on the integration mode of big data and enterprise human resources shared service center under the background of digital transformation
[ACM] 2026-4-1 | Integrating LDA Topic Modeling and Sentiment Analysis: An Empirical Study of User Comments on CHAGEE Short Video Advertisements
[ACM] 2026-4-1 | Code-Switching as a Verbal Impoliteness Strategy in Conflictive Film Dialogues: A Study Based on Python Visualization
[ACM] 2026-4-1 | Calculation and Assessment of Technology Integration Effectiveness in Digital Exhibitions Based on Multi-Source Data and a TOPSIS-Entropy Weight Integrated Model
[ACM] 2026-4-1 | Intelligent evaluation method for college students' practical training ability based on Analytic Hierarchy Process and Extenics theory
[ACM] 2026-4-1 | Mechanism Study on the Effects of Narrative Rhythm in Micro-Short Dramas on Audience Cognitive Load and Emotional Experience Based on Computational Communication Models
[ACM] 2026-4-1 | A Study on College Students' Legal Aid Demands and Expectations Based on Regression Model
[ACM] 2026-3-31 | Critical Challenges in Content Moderation for People Who Use Drugs (PWUD): Insights into Online Harm Reduction Practices from Moderators
[IEEE] 2026-3-31 | Hybrid Beamforming for Subarray-Level Movable Antenna Enhanced MU-MIMO Communications
[IEEE] 2026-4-1 | Industry 4.0 Design Principles in Continuous Production Processes: A Case Study
[IEEE] 2026-3-31 | KidMesh: Computational Mesh Reconstruction for Pediatric Congenital Hydronephrosis Using Deep Neural Networks
[IEEE] 2026-4-1 | Deep Reinforcement Learning Enabled Joint Task Offloading and Trajectory Optimization in Multi-UAV Systems
[IEEE] 2026-3-31 | Enhanced Disease Susceptible Variant Identification via Short Identity by Descent Segments
[IEEE] 2026-4-1 | From List-Decodability to Proximity Gaps
[IEEE] 2026-3-31 | Angular-Domain Control of Electromagnetic Waves Through Scattering Manipulation
[IEEE] 2026-4-1 | The Role of AI in Climate Change Prediction: Analysing Machine Learning Models for Extreme Weather Forecasting
[IEEE] 2026-4-1 | Modeling of Ventilation and Air Conditioning Control Systems for Processing Plants
[IEEE] 2026-4-1 | Accident Prone Hotspot Detection Using YOLOv8 Integrated with HDFS
[IEEE] 2026-4-1 | Section 3. Components, Circuits, Devices &amp; Systems
[IEEE] 2026-4-1 | Four Families of Binary Sequences with Low Ambiguity Function Properties
[IEEE] 2026-4-1 | CRESS 2025 Content Announcement Page
[IEEE] 2026-4-1 | TransGate-RiceNet: Attention-Fused Transformer-Convolutional Model for Early and High-Precision Detection of Rice Leaf Pathologies
[IEEE] 2026-4-1 | A Resilient LLM-driven Agent Framework for Multi-UAV Mission Planning and Control
[IEEE] 2026-4-1 | Integrated On-Board Chargers for Electric Vehicles: Topologies, Control Strategies, Challenges, and Future Research Directions
[IEEE] 2026-3-31 | Explainable Artificial Intelligence in Software Engineering: Current Trends, Gaps, and Future Directions
[IEEE] 2026-4-1 | IEEE Feedback
[IEEE] 2026-4-1 | A Quantum Internet Protocol Suite Beyond Layering
[IEEE] 2026-4-1 | Simultaneous Localization and Synchronization in Distributed MIMO-OFDM Systems
[IEEE] 2026-4-1 | Dynamic Spatiotemporal Measurement Uncertainty-Aware Detection for Robust Power System State Estimation Against Stealthy FDIA
[IEEE] 2026-4-1 | MicroSDF: Microfacet-Driven Hybrid Neural SDFs for Mixed-Reflectance Surface Reconstruction
[IEEE] 2026-4-1 | Score-Based Conditional Flow Models for MIMO Receiver Design with Superimposed Pilots
[IEEE] 2026-4-1 | BCEDAS: A Blockchain and Chameleon Hash-Based Efficient Decentralized Authentication Scheme for Internet of Vehicles With Multi-Scenario_supp1-3670901.pdf
[IEEE] 2026-4-1 | Monocular Optical-Flow Method for Gait Event Detection and Foot-Strike pattern Evaluation in Parkinsonian Gait
[IEEE] 2026-4-1 | FD-SCU: Frequency Decomposition-based Spectrum Collaborative Upsampling for Point Cloud Color Attribute
[IEEE] 2026-4-1 | Machine Learning Adversarial Attacks using Partial Sinkhorn Optimization
[IEEE] 2026-3-31 | Quantum-Enhanced Variational Stacked LSTM Network for High-Dimensional Threat Detection in Cloud Computing Environments
[IEEE] 2026-3-31 | Deep-Machine Learning Integration for Enhanced Pest Detection in Mangifera Indica (Mango)
[IEEE] 2026-3-31 | A Modified Transformation for Solving Complex Ordinary Differential Equations
[IEEE] 2026-3-31 | Modeling of Disturbance-Aware Multipath Mechanism and Causal Inference Framework: A Semantic Vector-Based Analysis of Behavioral Systems
[IEEE] 2026-3-31 | Asymmetric Dual-Encoder and Width-Dependent Feature Interaction for Road Extraction in Remote Sensing Images
[IEEE] 2026-3-31 | Wideband Frequency-Coupling Impedance Identification Under All Operating Points of Grid-Connected Inverters Based on PSO-GRNN
[IEEE] 2026-3-31 | Market Bidding and Optimal Control of Distribution Transformer Areas Based on Virtual Power Plant Risk Management Model
[IEEE] 2026-3-31 | IoT Based - Fall Detection System
[IEEE] 2026-3-31 | CNML 2026 Cover Page
[IEEE] 2026-3-31 | Advisory Panel
[IEEE] 2026-3-31 | 2025 International Conference on Computing, Robotics and System Sciences (ICRSS)
[IEEE] 2026-3-31 | Author Index
[IEEE] 2026-3-31 | Fast Quasi-Optimal Control of On-Board Energy Storage Systems for Regenerative Braking Energy Recovery Based on Area-Equivalence Principle
[IEEE] 2026-3-31 | IP-UNet: Intensity Projection UNet Architecture for IoMT-enabled 3D Medical Volume Segmentation
[IEEE] 2026-3-31 | Enhancing Elastic Full-Waveform Inversion with Envelope Cosine Similarity: A Multiscale Frequency Strategy for Walkaway VSP Data
[IEEE] 2026-3-31 | IEEE Transactions on Sustainable Computing
[IEEE] 2026-3-31 | Spectrum and Power Resource Allocation for C-RAN Enabled Dual-Connectivity Networks
[IEEE] 2026-3-31 | Spectral-Routed Mixture-of-Experts for High-Fidelity Complex-Field Measurement in Single-Frame Lens-Free On-Chip Microscopy_supp1-3677977.pdf
[IEEE] 2026-3-31 | Enhancing Performance of Doubly Fed Induction Generator Under Unbalanced Voltage
[IEEE] 2026-3-31 | Table of Contents
[IEEE] 2026-3-31 | Robust Self-Localization of Wireless Acoustic Sensor Networks in the Presence of TDoA Outliers_supp1-3676429.pdf
[IEEE] 2026-3-31 | Design of Power Allocation and Device Grouping in PD-NOMA Communication Systems_supp1-3678581.pdf
[IEEE] 2026-3-31 | Cycle Time Optimization in Scheduling Automated Bench Cleaning Tool for Semiconductor Manufacturing
[IEEE] 2026-3-31 | Adaptive Game-Based Learning for Artistic Anatomy: Effects on Learning Achievement and Creative Self-Efficacy among First-Year University Art Students
[IEEE] 2026-3-31 | Decoupling Energy Stability and Thermal Response in Thermoelectric Atmospheric Water Generators
[IEEE] 2026-3-31 | EnCANet: A Network with Entropy-Guided Saliency and Cross-Spatial Attention for Urban Building Change Detection
[IEEE] 2026-3-31 | Reliability-Based Design and Control of Crystallization Systems Under Parametric and Process Uncertainties_supp1-3670402.pdf
[IEEE] 2026-3-31 | Background-Noise-Driven Detection of Diffusion-Generated Images_supp1-3678476.pdf
[IEEE] 2026-3-31 | Research on Fault Reasoning and Risk Assessment Method of Mountain Photovoltaic Power Station Based on Fault Tree and Dynamic Fuzzy Bayesian Network
[IEEE] 2026-3-31 | Predictive Analytics of Tesla and Google Stock Prices Using Advanced Machine Learning Frameworks
[IEEE] 2026-3-31 | Multimodal Representation Learning for Modeling New Quality Productivity in Complex Systems
[IEEE] 2026-3-31 | Resource Allocation Leveraging Dual Traffic and Channel Predictions in Open-RAN Architecture
[IEEE] 2026-3-31 | An Intelligent, Non-Invasive Framework for Automated Oral Lesion Detection and Risk Stratification Using Intraoral Imaging and Hybrid Machine Learning
[IEEE] 2026-3-31 | Market Transaction Method of Source-Network-Load-Storage Integration Project Based on Smart Contract
[IEEE] 2026-3-31 | Aqua Sense IoT and AI-Powered Water Quality Monitoring System
[IEEE] 2026-3-31 | Quantum Cryptography Simulation
[IEEE] 2026-3-31 | Smart Alumni-Student Community Platform Using RAG
[IEEE] 2026-3-31 | A Lightweight Smart Multimodal Document Question-Answering System with Embedding-Based Retrieval
[IEEE] 2026-3-31 | Fatigue Driving Detection System Based on the Optimized YOLOv8 with BiFormer Attention Mechanism
[IEEE] 2026-3-31 | Explainable Machine Learning Framework for Behavioral Sentiment Analysis Using ASD-Related Data
[IEEE] 2026-3-31 | Emergency Communication System for Hikers Using LoRa
[IEEE] 2026-3-31 | Evaluating the Adversarial Stability of Classical Fake News Classifiers Using Transfomer Embeddings
[IEEE] 2026-3-31 | Hybrid EfficientVit Model for Plant Disease Classification Using Leaf Images
[IEEE] 2026-3-31 | Source Code Vulnerability Detection Technology Based on Code Semantic Contribution
[IEEE] 2026-3-31 | Toward the Conduction of Automated Systematic Literature Reviews: The Role of Large Language Models
[IEEE] 2026-3-31 | ADLOB: An attention based deep learning model for predicting midprice in Limit Order Books
[IEEE] 2026-3-31 | Research on Indicator Timing Selection and Anomaly Detection Based on Multivariate Mixed-Effects Models and Machine Learning Algorithms
[IEEE] 2026-3-31 | Multi-component NIR Spectral Quantitative Analysis via GAF Encoding and Multi-scale 2D-CNN
[IEEE] 2026-3-31 | A Machine Learning Based Approach for Detection and Classification of Fault and Fault Location in Medium Voltage Power System
[IEEE] 2026-3-31 | A SASNPA Algorithm based Robust Controller for 3-Phase Grid PV System
[IEEE] 2026-3-31 | A Random Forest Regressor Model for Forecasting Agricultural Yield Using Agronomic and Climatic Parameters
[IEEE] 2026-3-31 | A Two-Stage Robust Operation Method for Microgrid Considering Charging and Discharging Control of Electric Vehicles
[IEEE] 2026-3-31 | Microservice Failure Propagation Simulator: Survey and Gaps
[IEEE] 2026-3-31 | Improved Discrete Spider Monkey Optimization Using a Dynamic Penalty Function with Partial Constraint Violation Acceptance for Vending Machine Column Optimization Considering Sales and a Replenishment Cycle
[IEEE] 2026-3-31 | A DBN-Based Reliability Analysis of Aircraft Braking Systems
[IEEE] 2026-3-31 | Automated Snow Depth Measurement and Its Transmission
[IEEE] 2026-3-31 | A Novel Automatic Modulation Recognition Methodology based on Attention Mechanism
[IEEE] 2026-3-31 | Investigating Slow Multiplicative Noise and its Influence on ECG Signals
[IEEE] 2026-3-31 | Research on Fault Traveling Wave Location of Medium-Voltage Cables Based on DWT-VMD and Time-Domain Cross-Correlation
[IEEE] 2026-3-31 | Dual-Phase Graph Refinement: Pruning Noisy Edges and Augmenting Tail Links for Recommendation
[IEEE] 2026-3-31 | Smart Assistance System for Alzheimer's Patients Using the Internet of Things
[IEEE] 2026-3-31 | Adaptive Channel Switching Algorithm for Enhanced Resilience in Hybrid OCC-RF Drone Systems
[IEEE] 2026-3-31 | Structured Prompt Optimization for Few-Shot Text Classification via Semantic Alignment in Latent Space
[IEEE] 2026-3-31 | Embedding-Only Federated Edge Learning for Privacy-Preserving eHealth
[IEEE] 2026-3-31 | A General Framework for Neural Adaptive Sensing of Dynamical Fields
[IEEE] 2026-3-31 | Cross-view UAV Geo-localization via Wavelet-based Local Feature Enhancement
[IEEE] 2026-3-31 | Research on Construction Methodology of Digital Twins for Communication Infrastructure
[IEEE] 2026-3-31 | Zero-Knowledge Proof-Based Verification System Based on Environmental Sensing for Reliable Operation of AI-Driven Autonomous Robots
[IEEE] 2026-3-31 | FPGA-Based File Level AES-Encryption System with Volatile Physical Key
[IEEE] 2026-3-31 | $H_{\infty}$ Dynamic Output Feedback Control for the IPT System with External Disturbances
[IEEE] 2026-3-31 | Intelligent Computer Vision Model for Brain Sub-Region Segmentation and Classification in Alzheimer's Disease Detection
[IEEE] 2026-3-31 | AnonymEyes: Lightweight and Affordable Privacy-Enhanced Human Detection via Depth Sensing on Edge Devices
[IEEE] 2026-3-31 | Realtime Sign Language to Text Conversion with AI Sentence Completion
[IEEE] 2026-3-31 | An Improved Deep Learning Framework for Arterial Stiffness–Based Heart Disease Risk Prediction in Diabetic Patients
[IEEE] 2026-3-31 | Adaptive ship target recognition method based on deep learning
[IEEE] 2026-3-31 | Polycystic Ovary Syndrome Risk Prediction System using Transparent Machine Learning
[IEEE] 2026-3-31 | Dividend Policy, Investment Opportunities, and Firm Value: A Moderated-Mediation Analysis in Indonesia's Coal Sector
[IEEE] 2026-3-31 | An Adaptive Ensemble-Based Multi-Focus Image Fusion Framework Using Classical Methods and Convolutional Neural Networks
[IEEE] 2026-3-31 | S2VAD: A Self-Supervised Framework for Unsupervised Visual Anomaly Detection
[IEEE] 2026-3-31 | Rat Swarm Optimization-based CSD for Design of Circular Symmetric 2D FIR Filter and Hardware Architecture Implementation
[IEEE] 2026-3-31 | Evaluating VGG Network for Autism Spectrum Disorder Identification via Facial Images
[IEEE] 2026-3-31 | A Universal Domain Knowledge Self-Embedding Framework for Remote Sensing Building Change Detection
[IEEE] 2026-3-31 | An Integrated Transformer-Based Framework for Multilingual Summarization and Automated Question Generation in Education
[IEEE] 2026-3-31 | A Simplified Controller for Speed and Position Sensorless Controlled PMBLDC Motor Drive
[IEEE] 2026-3-31 | Adaptive IVMD-LSTM Model for Ultra-Short-Term Wind-Solar Power Forecasting
[IEEE] 2026-3-31 | Automatic Parameter Identification for Electric Drives: Ensuring High Accuracy and Adaptive Control Systems
[ACM] 2026-4-1 | Research on Data-Driven Reservoir Response Modeling and Oil Recovery Optimization Based on Injection-Production Test Data
[ACM] 2026-4-1 | Does CEO Overconfidence Facilitate or Hinder Corporate AI Application? Based on Machine Learning, Text Analysis, and Linear Regression
[ACM] 2026-4-1 | The Application of Big Data Analysis in Elderly Oriented Renovation Space Design
[ACM] 2026-4-1 | Application of Structured Neural Networks in Artificial Intelligence Recognition
[ACM] 2026-4-1 | Design and Application of an Intelligent Inspection and Product Quality Data Traceability System in Green Smart Manufacturing
[ACM] 2026-4-1 | How Hand Constraints Influence User Defined Gestures in Mixed Reality
[ACM] 2026-4-1 | Designing for Response Tasks: An Empirical Evaluation of Response Tasks in a Video Game Context
[ACM] 2026-4-1 | Proceedings of the 51st Graphics Interface Conference 2025
[ACM] 2026-4-1 | Mitigating the Bandwidth Wall via Data-Streaming System–Accelerator Co-Design
[IEEE] 2026-4-1 | IEEE Foundation
[IEEE] 2026-4-1 | Deploying Intelligence in Vehicle Electronics [From the Editor]
[IEEE] 2026-4-1 | Threshold Voltage Variability Induced by Localized Ferroelectric Phase Distributions in FeFET and Its Mitigation Strategies
[IEEE] 2026-4-1 | Direct measurement of transient temperature at the tool–chip interface using a 3D-printed sensor-integrated cutting tool
[IEEE] 2026-4-1 | Distance-Security Tradeoffs for Repeaterless End-to-End QKD Networks_supp1-3678029.pdf
[IEEE] 2026-4-1 | The Franklin Stove: An Unintended American Revolution—Joyce E. Chaplin (New York, NY, USA: Farrar, Straus and Giroux, 2025, 422 pp.)
[IEEE] 2026-3-31 | Call for Papers---2026 IEEE International Symposium on Technology and Society
[IEEE] 2026-4-1 | Top-K-Aware Set Optimization for Component-Sharing Multiobjective Optimization_supp1-3678952.pdf
[IEEE] 2026-4-1 | A Deep Learning-Based Spatio-Temporal Fusion Model Accounting for Strong Phenological Changes
[IEEE] 2026-4-1 | Design and Implementation of an Autonomous Neural Network Subsystem for Monitoring Computer Systems Digital Components
[IEEE] 2026-4-1 | MHCFNN: Multihead Attenuated Neuro-Fuzzy based Deep Learning Model for Cybersecurity in Internet of Things
[IEEE] 2026-4-1 | Smart AR-Based Sign Language Recognition System for Real-Time Communication and Translation
[IEEE] 2026-4-1 | Threshold Anonymous Credential Scheme Based on Attribute-Based Encryption
[IEEE] 2026-4-1 | A Hybrid Attribute-Content-Based Access Control Model for Medical Information Systems
[IEEE] 2026-4-1 | Advanced Learning Based Quantum Key Distribution Framework for Practical Secure Communication Networks
[IEEE] 2026-4-1 | A Study on Extract Bits of Pseudorandom Sequences Generated by Me Operation on the Elliptic Curve
[IEEE] 2026-4-1 | Efficient Signal Detection Method Based on Sparse Bayesian Learning in ZP-OTFS Systems
[IEEE] 2026-4-1 | Measurement Techniques for Power Analysis in Side-Channel Attacks on Integrated Circuits
[IEEE] 2026-4-1 | LEXA-IDS- A Lightweight Explainable Autoencoder-Assisted Intrusion Detection System for Resource-Constrained Iot Networks
[IEEE] 2026-4-1 | An Ultra-Low Power Built-in-Self-Test Architecture for CMOS Image Sensors Using Adaptive Thresholding and Clock Gating
[IEEE] 2026-4-1 | A Unified Multi-Modal System for Image Forgery, Text Plagiarism, and AI-Generated Content Detection
[IEEE] 2026-4-1 | Integrative Graph-based Learning for Multi-Omics Characterization of Drug Resistance in Breast Cancer
[IEEE] 2026-4-1 | Rotating Scaled Synchronization of Networked Agent Systems With Hybrid Time Delays
[IEEE] 2026-3-31 | Exploring Continuous Modes-Based Nonlinear Embedding Models for GaN HEMT Power Amplifiers
[IEEE] 2026-4-1 | A Gradient-Based Causal Discovery Framework With Applications to Complex Industrial Processes_supp1-3674543.pdf
[IEEE] 2026-4-1 | A novel VGSOT-pMTJ write circuit for hybrid CMOS/MTJ CIM architecture
[IEEE] 2026-4-1 | Confidence-Aware Cascaded Learning for Real-Time Weakly Supervised Anomaly Detection in Surveillance Video
[IEEE] 2026-3-31 | Fine-Grained Features in Any-Shot Learning: A Survey
[IEEE] 2026-4-1 | Beyond Diagonal RIS: A New Frontier for 6G Internet of Things Networks
[IEEE] 2026-4-1 | Inside back cover
[IEEE] 2026-4-1 | QuadQ: Quadratic-Based Value Decomposition for Cooperative Policy Optimization in Multi-Agent Reinforcement Learning
[IEEE] 2026-3-31 | Wireless Channel Randomness Integrated Spread Spectrum Sequence Generation
[IEEE] 2026-4-1 | Vehicle Trajectory Prediction in Highway Weaving Areas Considering Interaction-Transfer Characteristics
[IEEE] 2026-4-1 | IEEE WiCAS and YPCAS Host Joint Event IEEE at ISICAS 2015 in Qingdao to Explore Career Reshaping in the AI-Powered Era [CASS Conference Highlights]
[IEEE] 2026-4-1 | A 6.5-pJ/Step Reconfigurable Readout IC With Duty-Cycled Resistor and Switched Capacitor for High Linearity RC-to-Digital Converter
[IEEE] 2026-3-31 | A Gate Drive Strategy for Full Output Voltage Regulation of a Zero-Inductor-Voltage Converter
[IEEE] 2026-4-1 | Cross-Ambiguity Function Hierarchical Optimization Doppler Estimation for Underwater Acoustic OFDM Communication
[IEEE] 2026-3-31 | Intelligent flame monitoring system on the robotic dog platform
[IEEE] 2026-3-31 | A Method for Locating Single-phase Ground Fault Sections in Distribution Networks Based on a Waveform Similarity Algorithm Using Hausdorff Distance
[IEEE] 2026-3-31 | Deep Learning in Sign Language: A Comprehensive Systematic Review of Recent Progress
[IEEE] 2026-3-31 | Consolidated Competence Assessment of Seafarers Using Eye-Tracking, Speech Analysis, and EEG-Based Stress Evaluation
[IEEE] 2026-3-31 | Ray Tracing and Full-Wave Simulation Integrated Channel Simulation Method
[IEEE] 2026-3-31 | Joint Hardware–Waveform Co-Design of Semantic RF Transceivers for 6G Communications
[IEEE] 2026-3-31 | LSTM - Greedy Algorithm Integration Framework for Timing Prediction and Multi-Objective Optimisation Research
[IEEE] 2026-3-31 | SHAP-Based Data-Driven Analysis of an Offset-Canceling Sense Amplifier in DRAMs
[IEEE] 2026-3-31 | Multimodal Clustering-Driven Accurate Recommendation and Optimization System for Smart Health and Elderly Care Service
[IEEE] 2026-3-31 | Distribution Network Energy Loss Cost Minimization by Network Reconfiguration
