[2026-07-03 23:04:10] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[arXiv] 2026-07-02 | Prediction Sets for Counterfactual Decisions: Coverage, Optimality, and Conformal Prediction
[arXiv] 2026-07-02 | Actuator Reality Shaping for Zero-Shot Sim-to-Real Robot Learning
[arXiv] 2026-07-02 | The Eticas AI Risk Taxonomy: Open Infrastructure for Operationalizing AI Audits
[arXiv] 2026-07-02 | Free-breathing Pulmonary Relaxometry at 0.55T
[arXiv] 2026-07-02 | Fourier Preconditioning for Neural Feature Learning
[arXiv] 2026-07-02 | Complexity-Scalable Direct Geolocation and Cancellation of Terrestrial GNSS Jammers: Single-Satellite and Multi-Antenna Experiments in Low Earth Orbit
[arXiv] 2026-07-02 | Synthetic Contact with AI Reduces Cross-Partisan Animosity
[arXiv] 2026-07-02 | Conformal Bayes for Two-Sided Censored Gaussian Regression under Label Shift
[arXiv] 2026-07-02 | Feigin-Semikhatov duality at the critical level
[arXiv] 2026-07-02 | Local polynomial factorisation: improving the Montes algorithm
[arXiv] 2026-07-02 | Tiles and weak tiles in $\mathbb{Z}_{pq}$
[arXiv] 2026-07-02 | An algorithmic approach for computing fundamental domains of crystallographic groups
[arXiv] 2026-07-02 | Coverage Analysis in Terahertz Clustered HetNets
[arXiv] 2026-07-02 | Electronic Bursting Neuron: design, equations and hardware implementation
[arXiv] 2026-07-02 | Behind the Refusal: Determining Guardrail Activation via Behavioral Monitoring
[arXiv] 2026-07-02 | Planning over Matrix-Factorization MDPs for Candidate Generation
[arXiv] 2026-07-02 | Weighted Derivative Histopolation on Arbitrary Grids: Admissibility and Exact Factorizations
[arXiv] 2026-07-02 | Post-starburst Galaxies with Active Galactic Nucleus: Properties and Evolutionary Sequences
[arXiv] 2026-07-02 | Congestion-Based Slot Pricing in a Railway Auction Game
[arXiv] 2026-07-02 | Decoupling Code Complexity from Newcomer Participation: A Causal Study of AI Coding Agent Adoption in OSS
[arXiv] 2026-07-02 | Foliated and Mather-Jacobian discrepancies via tangential arcs
[arXiv] 2026-07-02 | Benchmarking SOPPA-based methods for the calculation of static and dynamic polarizabilities
[arXiv] 2026-07-02 | Single-Channel EEG-Based Cognitive Load Assessment in Online Learning: A Hybrid Deep Learning Approach
[arXiv] 2026-07-02 | Safety Testing LLM Agents at Scale: From Risk Discovery to Evidence-Grounded Verification
[arXiv] 2026-07-02 | KRCA: An Efficient Root Cause Analysis System in Hyper-Scale Microservice Systems via Agentic AI
[arXiv] 2026-07-02 | SpaceEra++: A Unified Framework Towards 3D Spatial Reasoning in Video
[arXiv] 2026-07-02 | Repair the Amplifier, Not the Symptom: Stable World-Model Correction for Agent Rollouts
[arXiv] 2026-07-02 | Mastermind: Strategy-grounded Learning for Repository-Scale Vulnerability Reproduction
[arXiv] 2026-07-02 | ProCal: Inference-Time Proposal Calibration for Open-Vocabulary Object Detection
[arXiv] 2026-07-02 | The influence of lunar tidal potential on clock frequencies at different positions on Earth
[arXiv] 2026-07-02 | DL-VINS-Factory: A Modular Framework for Learned Visual Front-Ends in Visual-Inertial SLAM
[arXiv] 2026-07-02 | Open Source Is Not One Thing: A Typology of Open-Source Software Sub-Genres
[arXiv] 2026-07-02 | Meta-Benchmarks for Financial-Services LLM Evaluation
[arXiv] 2026-07-02 | GlycoMAC: A Multiscale Metabolic-Glycosylation Framework for Predicting Glycosylation Across Conditions in Mammalian Cell Cultures
[arXiv] 2026-07-02 | From Subgroups to Population Composition: A Transportability Approach to Effect Heterogeneity
[arXiv] 2026-07-02 | A global girth obstruction for Garg--Mineyev taiko product structures
[arXiv] 2026-07-02 | Prediction of Radiotherapy-Induced Hematologic Toxicity in Cervical Cancer with Cohort-Aware Framework
[arXiv] 2026-07-02 | Consistent Scene Understanding in 3D Gaussian Splatting via Multi-Cue Mask Refinement
[arXiv] 2026-07-02 | LASER: A Corrective Lens for LVLMs via Visual Attention Preservation and Sink Suppression
[arXiv] 2026-07-02 | Arachne: Orchestrating Cascades for Efficient Text-to-Video Model Training
[arXiv] 2026-07-02 | Frequency Shift Physics-Informed Extreme Learning Machine for Solving High-Frequency Partial Differential Equations
[arXiv] 2026-07-02 | Quantum Heat Under the Microscope: A Perspective on Cryogenic Scanning Thermal Microscopy
[arXiv] 2026-07-02 | Epistemic Goggles: A Pretrained Module that Induces an Epistemic Frame via Gradient Editing
[arXiv] 2026-07-02 | A Dynamic Phasor Framework for Analysis of Subsynchronous Oscillations in Multi-Machine Systems with IBRs and Large Loads
[arXiv] 2026-07-02 | Imagining the Sense of Touch: Touch-Informed Manipulation via Imagined Tactile Representations
[arXiv] 2026-07-02 | How to approximate the flat spectral triple of a quantum torus by fuzzy tori : a twisted tale
[arXiv] 2026-07-02 | UniWind: Toward Unified Day-Ahead Wind Power Forecasting via Physics-Informed State Routing
[arXiv] 2026-07-02 | Diverse Evidence, Better Forecasts: Multi-Agent Deliberation Under Information Asymmetry
[arXiv] 2026-07-02 | Linking effective Ratner equidistribution to the semicircle law for skew-shift matrices
[arXiv] 2026-07-02 | Right-angled Artin groups of large girth and finite volume hyperbolic $3$--manifold groups
[arXiv] 2026-07-02 | One Demonstration Is Enough for Real-World Robotic Reinforcement Learning
[arXiv] 2026-07-02 | Joint elastic full waveform inversion of multi-component geophone and distributed acoustic sensing data
[arXiv] 2026-07-02 | Decentralized Stability Certificates in IBR-Dominated Grids: The Role of the Network State
[arXiv] 2026-07-02 | Autonomous discovery of traffic laws with AI traffic scientists
[arXiv] 2026-07-02 | Output-Sensitive Construction of CDAWGs from BWT-Runs
[arXiv] 2026-07-02 | DRDN: Decoupled Representation Dynamic Network for From-Scratch ViT Class-Incremental Learning
[arXiv] 2026-07-02 | Online Segment 3D Gaussians via Launching Virtual Drones
[arXiv] 2026-07-02 | Multi-THuMBS: Multi-person Tracking of 3D Human Meshes Beyond Video Shots
[arXiv] 2026-07-02 | Architecture and Validation of the CRS F-Engine for the CHORD Radio Telescope
[arXiv] 2026-07-02 | Profit-Based Counterfactual Explanations for Product Improvement: A Case Study of Manga Sales in Japan
[arXiv] 2026-07-02 | pykci: A Compact Urban Knowledge Graph for Semantic and Spatial Queries using LLMs
[arXiv] 2026-07-02 | A Single Patch Is Not Enough: Deterministic Fusion of Repair Candidates
[arXiv] 2026-07-02 | LACUNA: A Testbed for Evaluating Localization Precision for LLM Unlearning
[arXiv] 2026-07-02 | A critical look at low-scale cosmological phase transitions in the PTA era
[arXiv] 2026-07-02 | Reasoning LLM Improves Speaker Recognition in Long-form TV Dramas
[arXiv] 2026-07-02 | VT-WAM: Visual-Tactile World Action Model for Contact-Rich Manipulation
[arXiv] 2026-07-02 | Towards Robustness against Typographic Attack with Training-free Concept Localization
[arXiv] 2026-07-02 | Identifying $Σ(1380)$ and $Σ(1430)$ in the $J/ψ\to Λπ\barΣ$ reaction
[arXiv] 2026-07-02 | Docking of Autonomous Vehicles with a Stationary Docking Station in 3D Space
[arXiv] 2026-07-02 | Bifurcations of the Clifford Torus as Willmore Surfaces in Berger Spheres
[arXiv] 2026-07-02 | Will Scaling Improve Social Simulation with LLMs?
[arXiv] 2026-07-02 | Language Models as Measurement Apparatus for Culture
[arXiv] 2026-07-02 | Extreme Adaptive Transformer for Time Series Forecasting
[arXiv] 2026-07-02 | Symmetric edge polytopes are not gamma-positive
[arXiv] 2026-07-02 | Neuron-Aware Active Few-Shot Learning for LLMs
[arXiv] 2026-07-02 | Wavelet-Guided Semantic Signal Compensation for Inversion-Free Image Editing
[arXiv] 2026-07-02 | The Future of NLP may not be at NLP Conferences: Scholarly Migration Patterns in Natural Language Processing
[arXiv] 2026-07-02 | Weak and strong solutions for a class of quasilinear Allen--Cahn systems
[arXiv] 2026-07-02 | On the range of competing random walks
[arXiv] 2026-07-02 | Masked complex non-decimated wavelet features for patient-level classification of contrast-enhanced mammography
[arXiv] 2026-07-02 | Consensus-Breaking Global Hopf Bifurcation in Memory-Based Multi-Agent Systems
[arXiv] 2026-07-02 | Bringing Agentic Search to Earth Observation Data Discovery
[arXiv] 2026-07-02 | Inference for Group Interaction Experiments
[arXiv] 2026-07-02 | Robust Transmission Design for RIS-Assisted RSMA-SWIPT Systems With Movable Antennas Under Hardware Distortions
[arXiv] 2026-07-02 | The Weight Distribution of the Third-Order Reed-Muller Code of Length 2048
[arXiv] 2026-07-02 | Indicatives of Early Stages of Star Formation in the Universe
[arXiv] 2026-07-02 | SelectTSL: Prompt-Guided Selective Target Sound Localization in Complex Scenarios
[arXiv] 2026-07-02 | Merging of Bayes and quasi-Bayes empirical Bayes procedures for Poisson compound decisions
[arXiv] 2026-07-02 | HNSW with Accuracy Guarantees Using Graph Spanners -- A Technical Report
[arXiv] 2026-07-02 | Developers' Experience with Generative AI Beyond Productivity Assessment -- Insights from an Empirical Mixed-Methods Field Study
[arXiv] 2026-07-02 | A Snail Race Problem
[arXiv] 2026-07-02 | WavePID: Low-energy flavor identification using single-PMT time series in IceCube
[arXiv] 2026-07-02 | A Time-to-Boundary Margin for Transient Stability: Unifying Critical Clearing Time and Operating-Point Drift
[arXiv] 2026-07-02 | Higher regularity of the inverse anisotropic mean curvature flow
[arXiv] 2026-07-02 | Equivariant twisted $R$-algebras via Thom spectra
[arXiv] 2026-07-02 | Operant Conditioning in Indian Free-Ranging Dogs: Effects of Positive and Threatening Cues on Sociability
[arXiv] 2026-07-02 | Beyond the Performance Illusion: Structure-Aware Stratified Partitioning and Curriculum Distributionally Robust Optimization for Spatially Correlated Domains
[arXiv] 2026-07-02 | OpenSafeIntent: Evaluating Intent-Calibrated Safe Completion Across Dual-Use Prompt Sets
[arXiv] 2026-07-02 | Energetic particle-mediated interplanetary shocks observed by Solar Orbiter
[arXiv] 2026-07-02 | NLF: A Resistor-Network Framework and Linear-Time Solver for Convex Network-Flow Equilibria
[arXiv] 2026-07-02 | Nonlocal correlations of fermionic entanglement in the spacetime of Einstein-Gauss-Bonnet black hole
[arXiv] 2026-07-02 | Hierarchical Anti-Aesthetics: Protecting Facial Privacy against Customized Diffusion Models
[arXiv] 2026-07-02 | On Orthogonal Graphs and their Automorphisms
[arXiv] 2026-07-02 | ComplexMimic: Human-Scene Interaction Imitation in Complex 3D Environments
[arXiv] 2026-07-02 | Fine-Grained Bounds for Courcelle's Theorem
[arXiv] 2026-07-02 | Idling error suppression through gate scheduling
[arXiv] 2026-07-02 | Surgery obstructions for knots in integer homology spheres
[arXiv] 2026-07-02 | Grouped Orthogonal Arrays from Orthogonal Arrays and Difference Schemes
[arXiv] 2026-07-02 | An efficient formalism for inertial spin waves: Dzyaloshinskii-Moriya antiferromagnets as case studies
[arXiv] 2026-07-02 | Transition-Metal Tailored $Ga_{2}O_{2}$ Monolayer: From Room-Temperature Gas Sensing to Chemical Scavenging
[arXiv] 2026-07-02 | InduceKV: Fixed-Footprint Continual Adaptation of Multimodal LLMs via Inducing KV Memories
[arXiv] 2026-07-02 | Local distinguishability of six bipartite orthogonal product states
[arXiv] 2026-07-02 | Local symmetry and the dependence on extended spacetime
[arXiv] 2026-07-02 | Double-scaled SYK from boundary metrics of planar maps
[arXiv] 2026-07-02 | Liquid Latent State Dynamics for Interpretable Turbofan Degradation Modeling
[arXiv] 2026-07-02 | Bisimulations in second-order arithmetic
[arXiv] 2026-07-02 | Accelerating MRI Colon Volume Measurements and Reducing Inter-Observer Variation through Automatic Segmentation and Human-in-the-Loop Correction
[arXiv] 2026-07-02 | Asteroseismic Analysis of the Merger Product Red Giant in the $γ$ Persei System
[arXiv] 2026-07-02 | LiZAD: A Lightweight Zero-Shot Anomaly Detection Framework for Industrial Manufacturing
[arXiv] 2026-07-02 | A-TMA: Decoupling State-Aware Memory Failures in Long-Term Agent Memory
[arXiv] 2026-07-02 | SPLC: Social Preference Learning for Crowd Robot Navigation
[arXiv] 2026-07-02 | Homeomorphism between close relatives of Hilbertian balls
[arXiv] 2026-07-02 | Physics-based self-supervised learning of a deep network for single-shot in-line hologram reconstruction
[arXiv] 2026-07-02 | Zeus: Towards Tuning-Free Foundation Model for Time Series Analysis
[arXiv] 2026-07-02 | Robust Image Processing Techniques for Construction Environment Monitoring Using Underwater Robots
[arXiv] 2026-07-02 | Towards Real-World Ultrasound Understanding: Large Vision-Language Models from Multi-Image Examinations with Long-Form Reports
[arXiv] 2026-07-02 | Cognitive Warfare, Hybrid Pressure, and Sovereign Resilience: An Operations Research Framework Applied to the Iranian Case (2017--2026)
[arXiv] 2026-07-02 | A Variational Nonlocal Phase-Field Model for Dynamic Fracture in Elastic Solids
[arXiv] 2026-07-02 | SkillCoach: Self-Evolving Rubrics for Evaluating and Enhancing Agentic Skill-Use
[arXiv] 2026-07-02 | CamoNAS: Neural Architecture Search for Enhanced Camouflaged Object Detection
[arXiv] 2026-07-02 | Neural Audio Codec with Adjustable Token Temporal Resolution Using Sampling-Frequency-Independent Convolutional Layers
[arXiv] 2026-07-02 | Elastic Modulus in One-Dimensional Quantum Droplets
[arXiv] 2026-07-02 | Motivic Hochschild homology of mod 2 motivic cohomology over algebraically closed fields
[arXiv] 2026-07-02 | Evaluating Chunking Strategies for Retrieval-Augmented Generation on Academic Texts
[arXiv] 2026-07-02 | Technical Debt Friction for Maintenance Prioritization: An Industrial Multi-Case Study
[arXiv] 2026-07-02 | Decomposer: Learning to Decompile Symbolic Music to Programs
[arXiv] 2026-07-02 | A short note on maximal regularity for the heat kernel in Besov spaces and a degenerate 3D Keller-Segel system
[arXiv] 2026-07-02 | Understanding Software Defect Prediction: A Large-scale Empirical Study Across Uncertainty Quantification and Performance Evaluation
[arXiv] 2026-07-02 | A Local Linking Theorem for Relativistic Action Functionals
[arXiv] 2026-07-02 | Audio-Based Understanding of Audiobook Narration Appeal
[arXiv] 2026-07-02 | Quasi-$F$-splitting versus log canonicity
[arXiv] 2026-07-02 | The trianguline variety for reductive groups
[arXiv] 2026-07-02 | Hydrodynamics, Renormalization Group, and Universality Classes Far from Equilibrium
[arXiv] 2026-07-02 | Comprehensive Robustness Analysis of LiDAR-based 3D Object Detection in Autonomous Driving
[arXiv] 2026-07-02 | OntoLearner: A Modular Python Library for Ontology Learning with Large Language Models
[arXiv] 2026-07-02 | Quantum mutual information as a robust probe of integrability in open quantum systems
[arXiv] 2026-07-02 | Time-Reversal and Reversible Dynamics in Cavity QED for Quantum Metrology
[arXiv] 2026-07-02 | An extremal theorem for positive curvature of graphs
[arXiv] 2026-07-02 | Visual Analytics of Neighborhood Attribute Profiles for Exploring Structural Equivalence
[arXiv] 2026-07-02 | Optimal stellar rank approximation of squeezed cat states with photon catalysis
[arXiv] 2026-07-02 | False vacuum decay in a two-dimensional quantum spin system
[arXiv] 2026-07-02 | Cryogenic RF characterization of the MAGO cavity for high-frequency gravitational-wave detection
[arXiv] 2026-07-02 | Timing and spectral analysis of the 2025 outburst of 4U 1630$-$47 with \textit{NICER}
[arXiv] 2026-07-02 | Bayesian Sparse Low-Rank Adaptation for Large Language Model Uncertainty Estimation
[arXiv] 2026-07-02 | Components of simple and non--simple type of Hurwitz schemes
[arXiv] 2026-07-02 | Fourier Neural Operators for Rayleigh-Bénard Convection
[arXiv] 2026-07-02 | Symmetry conservation with Trotterization and Quantum Phase Estimation
[arXiv] 2026-07-02 | Structure-Preserving Reduced-Order Modeling via Low-Rank Transport Signatures
[arXiv] 2026-07-02 | Learning Agile Intruder Interception using Differentiable Quadrotor Dynamics
[arXiv] 2026-07-02 | Temporal nonlocality of a qudit resides in the input state, not the channel, and certifies temporal teleportation up to a fundamental limit
[arXiv] 2026-07-02 | Grounded autonomous research: a fault-tolerant LLM pipeline from corpus to manuscript in frontier computational physics
[arXiv] 2026-07-02 | Cross-Audit Projection for Model Risk Prediction
[arXiv] 2026-07-02 | Personality Without Persons? A Psychometric Critique of Big Five Testing in Large Language Models
[arXiv] 2026-07-02 | Transiently Driven Reflectionless Resonant Microwave Plasmas via Virtual Critical Coupling
[arXiv] 2026-07-02 | Constrained Distributed Heterogeneous Two-Facility Location Problems with Max-Variant Cost
[arXiv] 2026-07-02 | AI usage patterns are shaped by perceived gains in human agency
[arXiv] 2026-07-02 | The structure of solution spaces for fractional-order operators, with gradient estimates
[arXiv] 2026-07-02 | Pressure-drop localization and momentum insulation in liquid-gas coexistence Poiseuille flow
[arXiv] 2026-07-02 | Effect of surfactant kinetics on the wetting following the drop impact onto rough surfaces
[arXiv] 2026-07-02 | Securing People and their Machines Against Major Faults
[arXiv] 2026-07-02 | Spatial Speech Perception Systems: A Survey of Sound Source Localization, Directional Enhancement, and Speech Recognition
[arXiv] 2026-07-02 | A convexity-type invariant for the critical coagulation--fragmentation Hamilton--Jacobi equation
[arXiv] 2026-07-02 | Neural-Network Inverse Design of SRF Cavities and Transmons for Bosonic Quantum Computation
[arXiv] 2026-07-02 | A novel time-domain iterative method for a three-dimensional inverse acoustic obstacle scattering problem
[arXiv] 2026-07-02 | Goodness of Fit Tests Based on Joint Densities of Multiple Sample Statistics
[arXiv] 2026-07-02 | Velocity and force autocorrelations in Brownian dynamics with a Lorentz force
[arXiv] 2026-07-02 | NEUROSYMLAND: Neuro-Symbolic Landing-Site Assessment for Robust and Edge-Deployable UAV Autonomy
[arXiv] 2026-07-02 | Cadence: Extreme Pipelining with Multiple Concurrent Proposers
[arXiv] 2026-07-02 | Localization and Topological Properties of SU(3) Fermions in non-Abelian Gauge Fields: Color-Orbit Coupling and Color-Flip Fields
[arXiv] 2026-07-02 | Towards the Overfull Conjecture II
[arXiv] 2026-07-02 | Global well--posedness for the mass--critical nonlinear Schr{ö}dinger equation on $\mathbb{T}$
[arXiv] 2026-07-02 | Patagium and tail morphology shape aerodynamic performance and control authority in gliding-mammal-inspired wings
[arXiv] 2026-07-02 | When Token Compression Breaks: Structural Pruning vs. Token Reduction for Robust ViT Segmentation under High Compression
[arXiv] 2026-07-02 | Sideband Structure of Axion Electrodynamics
[arXiv] 2026-07-02 | Characterizing finite posets whose probabilistic powerdomain are RB-domains
[arXiv] 2026-07-02 | Alternative routes to universal diversity scaling in component systems: from proteomes to large language models
[arXiv] 2026-07-02 | MedSaab-US: A Backpropagation-Free Multi-Scale Wavelet-Saab Framework for Thyroid Nodule Segmentation in Ultrasound Images
[arXiv] 2026-07-02 | Self-explainable Operator Learning for Discovering Spatial Patterns in Functional Data
[arXiv] 2026-07-02 | Bridge-WA: Predicting Where and How the World Changes for Robotic Action
[arXiv] 2026-07-02 | On a Theorem of Wang for Complex Homogeneous Manifolds
[arXiv] 2026-07-02 | Privacy-Preserving and Verifiable Approximate Distributed Coded Computing
[arXiv] 2026-07-02 | $l$-forbidden $\mathbf{M1}$ strengths near $^{100}$Sn from knockout reactions in Cd and Sn
[arXiv] 2026-07-02 | A density matrix renormalization group approach to quantum point contacts
[arXiv] 2026-07-02 | Searching for single production of a vector-like $Y$ quark decaying into $bW$ at the FCC-eh
[arXiv] 2026-07-02 | Uniform bounds on the Dunkl kernel
[arXiv] 2026-07-02 | A rubric-based controlled comparison of frontier language models on expert-authored clinical reasoning tasks
[arXiv] 2026-07-02 | Dynamic Neural Graph Encoding of Inference Processes in Deep Weight Space
[arXiv] 2026-07-02 | A Structure Theorem for Phase-Space Representations of Continuous-Variable Quantum Error-Correcting Codes
[arXiv] 2026-07-02 | Mathematical Exploration of Earth Gravitational Field Impact on Seasonal Wind Flux in a Tropical Region
[arXiv] 2026-07-02 | AdaCount: Training-Free Similarity-Guided Spatial and Feature Adaptation for Zero-Shot Object Counting
[arXiv] 2026-07-02 | Quantum Convolutional Autoencoders for Reconstruction-Based Anomaly Detection
[arXiv] 2026-07-02 | Coding-agents can replicate scientific machine learning papers
[arXiv] 2026-07-02 | Scaling Laws for Three-Body Nuclear Contacts
[arXiv] 2026-07-02 | Enhancing Fitness Intelligence through Domain-Specific LLM Post-Training
[arXiv] 2026-07-02 | Unconventional Mixed-Parity Magnetism in Rare-Earth Tetraborides
[arXiv] 2026-07-02 | A 2048-spin bulk acoustic wave Ising machine for number partitioning and Sudoku
[arXiv] 2026-07-02 | A Two-Color Lift of the Shifted $t$-Schur Measure
[arXiv] 2026-07-02 | Ask the Right Comparison:Bias-Aware Bayesian Active Top-$k$ Ranking with LLM Judges
[arXiv] 2026-07-02 | X-Splat: Gaussian Splatting for 3D CBCT Generation from Single Panoramic Radiograph
[arXiv] 2026-07-02 | Granular Instrumental Variables in Large Panels: Identification and Inference Across Strong, Nearly Weak, and Weak GIV
[arXiv] 2026-07-02 | Beyond Skepticism: Evaluating LLMs Pedagogical Intent Reasoning with the Adaptive Pedagogical Vigilance Framework
[arXiv] 2026-07-02 | MVFusion-GS: Motion-Variance Guided Temporal Attention for High-Quality Dynamic Gaussian Splatting
[arXiv] 2026-07-02 | Geometric Signatures of Reasoning: A Spectral Perspective on Task Hardness
[arXiv] 2026-07-02 | Complete Integrability for Piecewise-Smooth Distributions
[arXiv] 2026-07-02 | Decomposing Wage Stagnation: Employment Reallocation, Wage Structure,and Demographics
[arXiv] 2026-07-02 | CHEOPS observations of V1298 Tau: updated planetary densities and implications on the early evolution of the young system
[arXiv] 2026-07-02 | Mind the Gap: Standard 3DGS Evaluation Primarily Measures Near-Trajectory Interpolation
[arXiv] 2026-07-02 | Evolutionary Wave Function Collapse
[arXiv] 2026-07-02 | Revision of the Detached Eclipsing System IR Cas from TESS Observations, Ground-Based Photometry and Spectroscopy
[arXiv] 2026-07-02 | HandsOnWorld: Unconstrained Egocentric Video Generation with Camera-Disentangled Hand Control
[arXiv] 2026-07-02 | SA-HGNN: Sample-Adaptive Hyperbolic Graph Neural Network for EEG-Based Depression Recognition
[arXiv] 2026-07-02 | PACE: A Proxy for Agentic Capability Evaluation
[arXiv] 2026-07-02 | Benchmarking Quantum Software Testing with Scalable Quantum Programs
[arXiv] 2026-07-02 | UnderOneFacade: Worldwide Facade Semantic Segmentation Benchmark Dataset
[arXiv] 2026-07-02 | Iwasawa-Type Spectral Resultant Growth Laws for Grover Walks on Graph Towers
[arXiv] 2026-07-02 | Quantum sensing of aging transitions
[arXiv] 2026-07-02 | Convergence fragility in probit Bayesian kernel machine regression implemented in the bkmr R package for binary-outcome environmental mixture analyses: a simulation study
[arXiv] 2026-07-02 | Open-Weather Robust 3D Detection via Dual-Critic Diffusion Alignment
[arXiv] 2026-07-02 | Pulsar Backend for 21 CentiMeter Array: Implementation of Data Acquisition and Initial Results
[arXiv] 2026-07-02 | Autorelevance function and other feature relevance measures for univariate time series
[arXiv] 2026-07-02 | Personalized 4D Whole-Heart Mesh Reconstruction from Cine MRI via Multi-Scale Temporal Modeling and Differentiable Contour Rendering
[arXiv] 2026-07-02 | Simple restricted modules over the deformative Schrödinger-Virasoro algebra
[arXiv] 2026-07-02 | Atomic Task Graph: A Unified Framework for Agentic Planning and Execution
[arXiv] 2026-07-02 | McLean resonances and $3d$ spectral instability of Stokes waves
[arXiv] 2026-07-02 | Mapping Source-Resolved Phase-Noise Transfer in Soliton Microcombs
[arXiv] 2026-07-02 | Analysis of the asymptotic density of endogamous diploid cellular automata
[arXiv] 2026-07-02 | Growth of Schrödinger cats in particle-number measurement schemes
[arXiv] 2026-07-02 | Population-Based Multi-Objective Training of Discriminators for Semi-Supervised GANs
[arXiv] 2026-07-02 | Regularized Variational and Spectral Log-Density-Ratio Estimation in the Gaussian Location Model
[arXiv] 2026-07-02 | Spec-AUF: Accept-Until-Fail Training under Train-Inference Misalignment for Masked Block Drafters
[arXiv] 2026-07-02 | Predicting Heterogeneous Treatment Effects Of Building Energy Saving Retrofits Using Causal Machine Learning
[arXiv] 2026-07-02 | Lubkin-Page typicality bounds for Type~II von~Neumann factors
[arXiv] 2026-07-02 | Descriptor: LYNRED Mobility Dataset Multimodal Detection Subset (LYNRED-MDS)
[arXiv] 2026-07-02 | Safety Targeted Embedding Exploit via Refinement
[arXiv] 2026-07-02 | On the algebraic analysis of runtime distribution of probabilistic programs
[arXiv] 2026-07-02 | Revisiting atmospheric Roche lobe overflow in symbiotic binaries
[arXiv] 2026-07-02 | Actual causality in fault trees
[arXiv] 2026-07-02 | A Shifted $t$-Schur Weight from the Modified Odd Operator
[arXiv] 2026-07-02 | An overlap-free morphism is a k-power-free morphism for any integer k $\ge$ 3
[arXiv] 2026-07-02 | Polarization Architecture of Steady GRMHD Jets from the Horizon to Infinity
[arXiv] 2026-07-02 | Non-synchronism in Global Usage of Research Methods in Library and Information Science from 1990 to 2019
[arXiv] 2026-07-02 | C2E: Boosting Ego-Only 3D Object Detection via Multi-Teacher Contrastive Knowledge Distillation
[arXiv] 2026-07-02 | Fundamental racks of braid spaces of complex reflection groups
[arXiv] 2026-07-02 | Rethinking Conditional Generation for Underwater Salient Object Detection
[arXiv] 2026-07-02 | MMIR-TCM: Memory-Integrated Multimodal Inference and Retrieval for TCM Clinical Decision Support
[arXiv] 2026-07-02 | A Social Norms Approach to Youth Social Media Design
[arXiv] 2026-07-02 | PixGS: Pixel-Space Diffusion for Direct 3D Gaussian Splat Generation
[arXiv] 2026-07-02 | On the Limits of Steering Vectors for Preference-Aligned Generation
[arXiv] 2026-07-02 | Expander Sparse Autoencoders: Parameter-Efficient Dictionaries for Mechanistic Interpretability
[arXiv] 2026-07-02 | Hybrid Residual Correction of VMC Charmonium Masses with a Screened Funnel Interaction
[arXiv] 2026-07-02 | Interferometric characterization of the relative phase between two X-ray free-electron laser pulses using long-lived Mössbauer resonances
[arXiv] 2026-07-02 | Lightweight Safe Reinforcement Learning for End-to-End UAV Navigation
[arXiv] 2026-07-02 | MERLIN-SUITE: Probabilistic modular GRN inference from multi-omics data integrating regulatory priors and transcription factor activity
[arXiv] 2026-07-02 | EPnG: Adaptive Expert Prune-and-Grow for Parameter-Efficient MoE Fine-tuning
[arXiv] 2026-07-02 | Performance of a two-mode coherent superposed channel in continuous-variable quantum teleportation
[arXiv] 2026-07-02 | Lattice study of primordial black hole formation in bumpy axion inflation
[arXiv] 2026-07-02 | AI Virtue: What is "Good" Knowledge in the Age of Artificial Intelligence?
[arXiv] 2026-07-02 | LLM-Empowered Multimodal Fusion Framework for Autonomous Driving: Semantic Enhancement and Channel-Adaptive Design
[arXiv] 2026-07-02 | A Cap-Axis Integral Diagnostic of Factor Models
[arXiv] 2026-07-02 | Decentralized Stochastic Subgradient-type Methods with Communication Compression for Nonsmooth Nonconvex Optimization
[arXiv] 2026-07-02 | Path-level Hindsight Instructions for Semantic Exploration in Vision-Language Navigation
[arXiv] 2026-07-02 | MedStreamBench: A Time-Aware Benchmark for Streaming and Proactive Medical Video Understanding
[arXiv] 2026-07-02 | Finite-Lag Operator Geometry of Recurrent Representations
[arXiv] 2026-07-02 | InterCMDM: Block-Causal Diffusion for Autoregressive Human Interaction Generation
[arXiv] 2026-07-02 | Development and Identification of a Linear Low-Speed Ship Maneuvering Model from Full-Scale Data
[arXiv] 2026-07-02 | A note on long nontrivial cycle in Hamiltonian graphs
[arXiv] 2026-07-02 | Kuranishi chart categories and higher cocycle conditions
[arXiv] 2026-07-02 | DRL-CLBA: A Clean Label Backdoor Attack for Speech Classification via DDPG Reinforcement Learning
[arXiv] 2026-07-02 | Particle dynamics and quasi-periodic oscillations of a Reissner--Nordström-like black hole in Kalb--Ramond gravity under an external magnetic test field
[arXiv] 2026-07-02 | Ultrasonic Observation of Slowing Down of Multipole Fluctuations in Sr$_2$RuO$_4$
[arXiv] 2026-07-02 | Hypergraph Minority Game with Local Hyperedge Payoffs
[arXiv] 2026-07-02 | COMFYCLAW: Self-Evolving Skill Harnesses for Image Generation Workflows
[arXiv] 2026-07-02 | A Mathematical Introduction to Diffusion Models
