[2026-02-24 09:38:54] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-23
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202602230000+TO+202602232359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-2-23 | WiFi-Based Assessment of Scoliosis-Related Spinal Postures
[IEEE] 2026-2-23 | Prompt-Guided Spatial Understanding with RGB-D Transformers for Fine-Grained Object Relation Reasoning
[IEEE] 2026-2-23 | AI vs. Human Moderators: A Comparative Evaluation of Multimodal LLMs in Content Moderation for Brand Safety
[IEEE] 2026-2-23 | Embedding Font Impression Word Tags Based on Co-occurrence
[IEEE] 2026-2-23 | Smart ANN Based UPFC Controller for Improving Transient Stability of Power System
[IEEE] 2026-2-23 | Path Optimization of Unmanned Vehicles Based on Penalty A* Algorithm in Plateau Terrain
[IEEE] 2026-2-23 | Fake News Detection Using Improved Machine Learning Approaches
[IEEE] 2026-2-23 | Performance Analysis of Energy-Saving and Emission-Reduction in Diesel-Electric Hybrid Marine Propulsion Systems
[IEEE] 2026-2-23 | Hierarchical Multi-Modal Fusion for Roadside VRU Detection: Method Complementarity Under Sparse Label Constraints
[IEEE] 2026-2-23 | A Retrieval-Augmented Generation Method Based on Intent Analysis for Explainable Speech Emotion Recognition
[IEEE] 2026-2-23 | Multiple-Layer Waveguide Terahertz Reconfigurable Integration Platform
[IEEE] 2026-2-23 | Design of Networked Digital Twins Production Line Based on Industrial Robot
[IEEE] 2026-2-23 | BDCHS: A Blockchain-Enhanced Framework for Cloud Security—Evaluation Current Strategies and Future Innovations
[IEEE] 2026-2-23 | AI-Driven Claims Adjudication: Optimizing Healthcare Systems with Machine Learning and Deep Neural Networks
[IEEE] 2026-2-23 | Study on the Influence of Lamination Parameters of Civil Aircraft Carbon Fiber Composites on Electromagnetic Shielding Characteristics
[IEEE] 2026-2-23 | Prompt4Trust: A Reinforcement Learning Prompt Augmentation Framework for Clinically-Aligned Confidence Calibration in Multimodal Large Language Models
[IEEE] 2026-2-23 | Refractive Scene Camera Pose Estimation via Inverting Underwater Neural Radiance Fields
[IEEE] 2026-2-23 | A Block Sparsity-Based Method for Target Detection by Synthetic Aperture Interferometric Radiometer
[IEEE] 2026-2-23 | Role of Artificial Intelligence in Newborn Screening: A Comprehensive Review
[IEEE] 2026-2-23 | DeepColor: A CNN-Based Skin Tone Detection and Personalized Color Recommendation System
[IEEE] 2026-2-23 | Posture Alert System: Design, Implementation and Evaluation
[IEEE] 2026-2-23 | Applications of the Directional Coupler with Arbitrary Phase Difference Slope for Doherty Power Amplifier
[IEEE] 2026-2-23 | Design and Development of a Smart Street Light Controller
[IEEE] 2026-2-23 | Simulation and Analysis of the Interaction in a Dual-Band Gyro-TWT
[IEEE] 2026-2-23 | A Compact SIW-Based Millimeter-Wave Self-Diplexing Slot Antenna with Low Cross-Polarization for K-Band and 5G Applications
[IEEE] 2026-2-23 | The Future Works Differently: Exploring Gen-Z’s Compensation Priorities in the UAE
[IEEE] 2026-2-23 | Analysis and Optimization of the Bottleneck in Concurrent I/O Writing for Multiple Nodes in the WRF Model
[IEEE] 2026-2-23 | An Efficient Implementation of DGEMM on the Latest Shenwei Processor
[IEEE] 2026-2-23 | Visual Servo Control of Robotic Arm Based on Reinforcement Learning
[IEEE] 2026-2-23 | AI-Driven Comparative Analysis of Echo Intensity and Velocity-SNR Relationships for Dual- and Single-Polarization Radars under Heavy Precipitation
[IEEE] 2026-2-23 | Single- and Dual-Broadband End-Fire Filtennas with High Front-to-Back Ratios
[IEEE] 2026-2-23 | DFT AI: Machine Learning-Guided Test Point Insertion for Pre-Silicon Debug and Post-Silicon Diagnosis in Complex VLSI Systems
[IEEE] 2026-2-23 | Dual-Approach CNN Framework for Brain Tumor Detection Using MRI Images
[IEEE] 2026-2-23 | Cross-Modal Mamba Fusion for Multispectral Object Detection
[IEEE] 2026-2-23 | A Review on Deep Neural Network Approaches for Early Autism Spectrum Disorder Diagnosis: Current Trends, Challenges and a Proposed Framework
[IEEE] 2026-2-23 | Unsupervised Domain Adaptation via Content Alignment for Hippocampus Segmentation
[IEEE] 2026-2-23 | GraphGAN-Based Fault Detection and Location for Complex Power Grids
[IEEE] 2026-2-23 | Predicting Emotional Well-Being of Undergraduate Students Using Machine Learning Approaches
[IEEE] 2026-2-23 | Real-Time Machine Learning Analysis During Accentuated Eccentric Jumps and Ladder Drills to Predict Sprint and Change of Direction Performance in Futsal Players
[IEEE] 2026-2-23 | MBIST++: An Adaptive March Algorithm Generator for Memory Test Coverage Enhancement in Post-Silicon Validation
[IEEE] 2026-2-23 | Enhancing Argument Structure Extraction with Effective Fusion of Contextual Information
[IEEE] 2026-2-23 | Food Stiffness Identification and Adaptive Constant-Force Feeding Control for Assistive Feeding Robots
[IEEE] 2026-2-23 | Study on the Dynamic Assessment Method for Flood-Related Risks of Power Grid Equipment Based on Real-Time Data
[IEEE] 2026-2-23 | Design and Implementation of a Self-Powered Wireless Water Temperature Measurement and Control System
[IEEE] 2026-2-23 | SCP-Boost: A Data-Driven Multi-Model Framework for Protein Identification in Single-Cell Proteomics
[IEEE] 2026-2-23 | A Online Monitoring Method for Novel Power System Node Inertia Based on Gradient Descent
[IEEE] 2026-2-23 | Triple-Notched UWB Monopole Antenna Incorporating Swastika Structures and a Closed π Shaped Slot
[IEEE] 2026-2-23 | A Novel Hybrid SMC and MPC Method for Improved Trajectory Tracking of Robotic Arm
[IEEE] 2026-2-23 | Full-Range Arbitrary Complex-Amplitude Manipulation for Holographic Metasurface
[IEEE] 2026-2-23 | Securing RIS-Assisted NOMA Network With Optimized Resource Allocation and Known Jamming Under Single and Multiple Eavesdropping Scenarios
[IEEE] 2026-2-23 | Artificial Intelligence for the Development and Customization of Hemostatic Biomaterials in Otorhinolaryngology
[IEEE] 2026-2-23 | Who's Asking? Investigating Bias Through the Lens of Disability-Framed Queries in LLMs
[IEEE] 2026-2-23 | Style Composition Within Distinct LoRA Modules for Traditional Art
[IEEE] 2026-2-23 | Multi-Task Learning for Joint Action and Gesture Recognition
[IEEE] 2026-2-23 | Comparative Analysis of FANET Routing Strategies: A Comprehensive NS-3 Based Study
[IEEE] 2026-2-23 | Adaptive Grasp Control Framework: Integrating Slip Detection Network with Constrained Force Optimization for Dexterous Manipulation
[IEEE] 2026-2-23 | Text-Aligned Radar-Based Sign Language Recognition for Healthcare Communication
[IEEE] 2026-2-23 | AI-Driven Delta Robot System for Automated Loose Fruitlet Collection
[IEEE] 2026-2-23 | Supporting First Grade Students' Number Sense Using Game-Based Learning of MathPlay
[IEEE] 2026-2-23 | Enhancing Cognitive Behavioural Insights Using Neural Networks: A Deep Learning Approach to Psychological Pattern Recognition
[IEEE] 2026-2-23 | Beyond Appearance: Geometric Cues for Robust Video Instance Segmentation
[IEEE] 2026-2-23 | Deep Learning for Kidney Disease Prediction: A Review, Gap Analysis, and Proposed Model
[IEEE] 2026-2-23 | Mass Estimation Using Supervised Learning with a Tactile Robotic Hand
[IEEE] 2026-2-23 | Securing TOTP-Based Authentication in Online Social Systems via Entropy Augmentation
[IEEE] 2026-2-23 | Enclave Driven Tokenization: Reducing PCI DSS Scope in Cloud Native Checkout Systems
[IEEE] 2026-2-23 | GFR-CAM: Gram-Schmidt Feature Reduction for Hierarchical Class Activation Maps
[IEEE] 2026-2-23 | Design of User Growth and Data-Driven Operational Decision-Making Architecture for Highway Service Areas
[IEEE] 2026-2-23 | A Low-Cost Sensing Glove for Robust and Dexterous Human-Robot Interaction
[IEEE] 2026-2-23 | Codebase Aware Generative Agents for the SDLC: Automating Documentation, Dependency Analysis and Test Generation
[IEEE] 2026-2-23 | Application of Generative AI in Animation Character Creation: A Study on Style Transfer Design*
[IEEE] 2026-2-23 | Development and Implementation of a Digital Twin for Power Plants: Enhancing Maintenance and Operational Efficiency
[IEEE] 2026-2-23 | A Predictive Framework for Employment Forecasting Through Sectoral Stock Prediction and Portfolio Optimization
[IEEE] 2026-2-23 | TAGS: 3D Tumor-Adaptive Guidance for SAM
[IEEE] 2026-2-23 | SSFM: A Selective Spatial-Frequency Module for Enhancing the Detection Effect of UAVs
[IEEE] 2026-2-23 | Synergistic Optimization of Smart Grids for Renewable Energy Resilience Under Extreme Weather
[IEEE] 2026-2-23 | Siamese Network-Based Infrared Dim and Small Object Tracking with Multi-Scale Fusion and Re-Detection Mechanism
[IEEE] 2026-2-23 | Improving U-Net Confidence on TEM Image Data with L2-Regularization, Transfer Learning, and Deep Fine-Tuning
[IEEE] 2026-2-23 | MedGuardian: AI-Driven Smart Trolley for Patient Assistance
[IEEE] 2026-2-23 | Optimization of Computational Fluid Dynamics (CFD) Solver Performance Using Parallel Computing Techniques
[IEEE] 2026-2-23 | High-Threshold Precipitation Forecasting Model for Adverse Conditions Based on Improved PredRNN Framework
[IEEE] 2026-2-23 | Analysis of NDVI and NDMI Indices for Remotely Sensed Images for Groundwater Zone Identification
[IEEE] 2026-2-23 | CLASP: Adaptive Spectral Clustering for Unsupervised Per-Image Segmentation
[IEEE] 2026-2-23 | Research on Medical Cloud-Edge Collaborative Scheduling Method Based on MADDPG Integrating JIME and MACE
[IEEE] 2026-2-23 | A Noise-Robust Deep Learning Framework for Mechanical Fault Diagnosis Based on STFT and Attention Mechanism
[IEEE] 2026-2-23 | Differential Antenna Array Based on Equal Power Division Feed Network
[IEEE] 2026-2-23 | Study on Electricity Price Optimization of Rural New Energy-Charging and Storage Coordinated System Driven by Stackelberg Leader-Follower Game
[IEEE] 2026-2-23 | Generative AI-Driven Acceleration of Drug Repurposing and Pharmaceutical Development
[IEEE] 2026-2-23 | Dynamic Path Pruning-Based Hierarchical Multi-Label Text Classification Model
[IEEE] 2026-2-23 | MAYA: Multi-Attack Yielding Augmentation for Unified Face Attack Detection
[IEEE] 2026-2-23 | Doc2GraphQA: Document to Knowledge Graph Question Answering System
[IEEE] 2026-2-23 | Tensor Program Superoptimization through Cost-Guided Symbolic Program Synthesis
[IEEE] 2026-2-23 | HelmetDet: An Efficient Multi-Scale Detection Framework for Electric Vehicle Helmet Wearing
[IEEE] 2026-2-23 | LLM-Powered Autonomous Security Agents for Next-Generation Cyber Defence
[IEEE] 2026-2-23 | Dual-Trap Ultra-Wideband Filter Using Stepped Butterfly T-Type Resonator
[IEEE] 2026-2-23 | Advanced GPS Navigation Systems for Intelligent Transportation: Reliability Analysis and Cost Optimization
[IEEE] 2026-2-23 | A Novel Ring Type Quasi-Elliptic Bandstop Filter with Multi-Transmission Zeros and Controllable Equal Ripple Performance
[IEEE] 2026-2-23 | A Motion Planning Method for Tube Plate Quadruped Robot Based on Target-Oriented D* Search
[IEEE] 2026-2-23 | SYM3D: Canonicalizing Triplanes via Symmetry for Single-View 3D Learning
[IEEE] 2026-2-23 | Digital Prototype of 16-Channel W-Band TR
[IEEE] 2026-2-23 | UAE’s Public Policy Agenda in the Digital Debates: Insights from Social Networks Analysis
[IEEE] 2026-2-23 | Unlocking Python Multithreading Capabilities using OpenMP-Based Programming with OMP4Py
[IEEE] 2026-2-23 | Research on Automated Extraction Methods for External Flow Field Data of Hypersonic Vehicles
[IEEE] 2026-2-23 | AMS-YOLO: An Improved Object Detection Algorithm for UAV Aerial Images
[IEEE] 2026-2-23 | Research on Transient Current Suppression in VSC-HVDC System for Offshore Wind Power Transmission
[IEEE] 2026-2-23 | StableGAN: A Hybrid Approach to Mitigate Mode Collapse and Vanishing Gradients
[IEEE] 2026-2-23 | A General Framework for Manipulators Combining Vision and Force in Feature Space with Barrier Lyapunov Function
[IEEE] 2026-2-23 | Multi-Layered Security Framework for Financial AI Solutions - PISA
[IEEE] 2026-2-23 | Multimodal and Multi-task Fusion for Spatial Reasoning
[IEEE] 2026-2-23 | Prefix-Tuning for Large Language Models Enhanced with Hierarchical Graph Semantics in CI/CD Workflow Generation
[IEEE] 2026-2-23 | HRIT: A Human-Readable Framework for Phishing URL Detection using Large Language Models
[ACM] 2026-2-23 | Multi-channel TRNG based on Scalable Cascaded Full Feedback Ring Oscillator
[ACM] 2026-2-23 | A Step toward Stateful HW-SW Migration: An Architecture-agnostic Checkpointing-rollback Toolchain
[IEEE] 2026-2-23 | Proceedings
[IEEE] 2026-2-23 | Message from the Steering Chair
[IEEE] 2026-2-23 | 2025 6th International Conference on Information Science, Parallel and Distributed Systems (ISPDS)
[IEEE] 2026-2-23 | Multimodal Semantic-Similarity Gate for Real-Time Optimized Deepfake Detection
[IEEE] 2026-2-23 | Research on the Bending Performance of a Double-layer Tenon–Mortise Modularized Conductor (TMMC)
[IEEE] 2026-2-23 | Track-Before-Estimate for Low-Elevation Targets in the Presence of Multipath
[IEEE] 2026-2-23 | Writer Identification by Processing Hyperspectral Images using Singular Value Decomposition and Linear Discriminant Analysis
[IEEE] 2026-2-23 | A Framework for Encrypted Traffic Classification with Decoupled yet Aligned Information Representation
[IEEE] 2026-2-23 | SCMF-Net: Sparse Self-Attention Driven Cross-Modal Fusion for Robust Detection in Complex Road Scenes
[IEEE] 2026-2-23 | Fuzzy Matching Data Sharing with Equality Test for Internet of Medical Things
[IEEE] 2026-2-23 | Optimizing System Performance for Autonomous Recovery in AI-Native Networks Using Large Language Models
[IEEE] 2026-2-23 | Policy-Bound, Verifier-Pluggable Smart Contract Framework for Auditable Healthcare Analytics
[IEEE] 2026-2-23 | A Self-Updating Hybrid Meta-Learning Framework for IoT Traffic Classification
[IEEE] 2026-2-23 | Generation of High-Coverage Traffic Scenarios for Efficient Simulation Testing of Automated Driving Systems_supp1-3641393.pdf
[IEEE] 2026-2-23 | Occupancy Grid Mapping with Uncertain LiDAR Data
[IEEE] 2026-2-23 | Maximizing Sum Rate by Joint Sensing and Communication Scheduling for IRS-Assisted Multi-User Downlink Wireless Communications
[IEEE] 2026-2-23 | MINNs: MNA Informed Neural Networks for Fast Transient Simulation of Nonlinear Transmission Lines Subject to Parametric Uncertainty
[IEEE] 2026-2-23 | Edge-Oriented Events-to-Video Reconstruction for High-Speed Scenarios via Knowledge Distillation
[IEEE] 2026-2-23 | An Early Conflict Resolution Mechanism for Blockchain-Based Delay-Sensitive IoT Networks
[IEEE] 2026-2-23 | A Smart Ice Monitoring System for Photovoltaic Applications based on Capacitive Graphene Sensors
[IEEE] 2026-2-23 | A Novel Multi-layer Task-centric and Data Quality Framework for Autonomous Driving
[IEEE] 2026-2-23 | Gravity Gradient Field Transformation by Enhanced Physics-Guided Multi-task Network
[IEEE] 2026-2-23 | Robust Multi-View Extrinsic Calibration with Limited Co-observations via Sparse Graph Reprojection and Target-Driven Loop Closure
[IEEE] 2026-2-23 | Maximum Correntropy Criterion-Based Robust Fuzzy Adaptive Unscented Kalman Filter for Target Tracking with Model Mismatches
[IEEE] 2026-2-23 | Describe Anything Model for Visual Question Answering on Text-Rich Images
[IEEE] 2026-2-23 | Learning Generalizable Diabetic Retinopathy Grading by Decoupled State Space Decoding
[IEEE] 2026-2-23 | LSSGen: Leveraging Latent Space Scaling in Flow and Diffusion for Efficient Text to Image Generation
[IEEE] 2026-2-23 | SCRAMBLe: Enhancing Multimodal LLM Compositionality with Synthetic Preference Data
[IEEE] 2026-2-23 | Space-Time Optimisations for Early Fault-Tolerant Quantum Computation
[IEEE] 2026-2-23 | Early and Accessible ADHD Screening: A Design Proposal Integrating the Digital EDAH Test with Computer Vision
[IEEE] 2026-2-23 | Hoecken-D Hand: A Novel Robotic Hand for Linear Parallel Pinching and Self-Adaptive Grasping
[IEEE] 2026-2-23 | Quantum-Inspired Deep Reinforcement Learning for Solving the Traveling Salesman Problem
[IEEE] 2026-2-23 | Multimodal AI-Based Robot Autonomous Navigation and Decision Optimization in Complex Dynamic Environments
[IEEE] 2026-2-23 | A 0-D Iron-Chromium Flow Battery Model with Parameter Identification: Incorporating Species Crossover and Overpotential Analysis
[IEEE] 2026-2-23 | Simulation Verification and Optimized Design of Thermal Runaway Suppression Strategies for Power Battery Modules
[IEEE] 2026-2-23 | Design of a Four-Port MIMO Antenna with High-Isolation for 5G Wireless Communication
[IEEE] 2026-2-23 | A Low-Profile Ultra-Wideband Dual-Polarization Base Station Antenna for UHF
[IEEE] 2026-2-23 | Machine Learning Integration in Loan Decision Systems: Enhancing Kafka-Based Workflows with Predictive Analytics
[IEEE] 2026-2-23 | The Design of Ku-Band Kilowatt-Level High-Efficiency Traveling Wave Tube
[IEEE] 2026-2-23 | Study on Electromagnetic Field of Autonomous Electric Vehicle Under Different Operating Conditions
[IEEE] 2026-2-23 | A Robust Model Predictive Control Framework for Perturbed Discrete-Time Input-Affine Nonlinear Systems
[IEEE] 2026-2-23 | Iterative Binary Training
[IEEE] 2026-2-23 | Vision Transformer-based OCT Retinal Disease Classification
[IEEE] 2026-2-23 | Research on High-Power 48 V to 12 V DC-DC Converters for UPS Systems in Renewable Energy Power Station
[IEEE] 2026-2-23 | Application Validation of 28-bit Programmable Data Strobe Parallel-to-Serial Converter
[IEEE] 2026-2-23 | A Compact Co-Circularly Polarized Millimeter-Wave Antenna with Dual C-Shaped Resonators Decoupling for In-Band Full-Duplex Systems
[IEEE] 2026-2-23 | A Strategy-Based Approach for Bipedal Locomotion Without Prescribed Contact Sequences
[IEEE] 2026-2-23 | The Escalator Problem: Identifying Implicit Motion Blindness in AI for Accessibility
[IEEE] 2026-2-23 | Optimizing Customer Engagement through IoT Data Integration in CRM Ecosystems
[IEEE] 2026-2-23 | A Fusion Approach of Wavelet Denoising and Mutual Verification for Improving Sampled Signal Reliability
[IEEE] 2026-2-23 | SOCot: Find Shorter Optimal Chain of Thought Using DPO Training
[IEEE] 2026-2-23 | Lightweight Humanoid Locomotion with Minimal Sensing: IRSE X1's Design and Reinforcement Learning Control
[IEEE] 2026-2-23 | Economic Impact of AI Adoption in Educational SMEs: A Sectoral Analysis of EdTech Implementation in Emerging Markets
[IEEE] 2026-2-23 | A Plug-and-Play Approach for Robust Image Editing in Text-to-Image Diffusion Models
[IEEE] 2026-2-23 | Image Servo Control of Ultrasound Scanning Robot for Hemorrhage Examination
[IEEE] 2026-2-23 | An Ultra-Wideband Switched-Capacitor Circulator with Clock Boosting Technique Based on a 55 nm CMOS Process
[IEEE] 2026-2-23 | AI-Driven Data Architecture: Building Intelligent Analytics Platforms with Azure and Python
[IEEE] 2026-2-23 | Decoding Neurodevelopmental Signatures of Autism from EEG Using Deep Learning
[IEEE] 2026-2-23 | Development of an Attentive Listening Robot Using Human-Human Conversation Data Weighted by Interaction Scores
[IEEE] 2026-2-23 | Automated Classification of Moisture Content in Wood Chips Using UWB Radio Transmission Signals
[IEEE] 2026-2-23 | One-Dimensional Particle-Field Simulation Code for Single-Extractor Klystrons Optimization
[IEEE] 2026-2-23 | A Keypoint-Based Method for Precise Object Size Measurement Using Improved YOLO11-Pose
[IEEE] 2026-2-23 | Large-Scale Constellation on-Orbit Software Update Protocol
[IEEE] 2026-2-23 | AIM 2025 Challenge on Robust Offline Video Super-Resolution: Dataset, Methods and Results
[IEEE] 2026-2-23 | GXMalDetect: A Hybrid GA–XGBoost Architecture for Malware Detection Using Static Image Features
[IEEE] 2026-2-23 | Vibration and Noise Mechanism Analysis and Optimization of Synchronous Reluctance Motors
[IEEE] 2026-2-23 | Fuzzy Method for Cluster Tomato Picking with a Robot
[IEEE] 2026-2-23 | FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images
[IEEE] 2026-2-23 | Is JPEG AI Going to Change Image Forensics?
[IEEE] 2026-2-23 | Dynamic Temporal Gating Networks for Cross-Modal Valence-Arousal Estimation
[IEEE] 2026-2-23 | HMVAE: Brain-Inspired Hierarchical Memory for Detail-Aware VAE Reconstruction
[IEEE] 2026-2-23 | Emergent Cooperative Pursuit-Evasion Strategies for USV Swarms via Memory-Augmented Reinforcement Learning
[IEEE] 2026-2-23 | Parkinson's Disease Detection From Voice Features Using CNN-LSTM with LIME-Based Explainability
[IEEE] 2026-2-23 | Modeling and Experimental Verification of an Inflated Tube Robot with External Shaping Joint
[IEEE] 2026-2-23 | Bionic Compliant Design and Flying Compliant Control of a BioCM-based CMM End-Effector
[IEEE] 2026-2-23 | Oculus: Hierarchical Face Spoof Detection via Frequency-Enhanced Vision Transformers with Group-Aware Classification and Post-Fusion Attention ICCV Proceedings
[IEEE] 2026-2-23 | ATR-FTIR Spectroscopy Integrated with Machine Learning: A New Method for Classification of Two Similar Gynecological Disorders
[IEEE] 2026-2-23 | Enhancing Identity Preservation in Portrait Generation via Reward Optimization
[IEEE] 2026-2-23 | Efficient Depth- and Spatially-Varying Image Simulation for Defocus Deblur
[IEEE] 2026-2-23 | ViT-FIQA: Assessing Face Image Quality using Vision Transformers
[IEEE] 2026-2-23 | EF-YOLOv11: An Accurate Ceramic Tile Defect Detector via Edge-Guided Context and Adaptive Feature Fusion
[IEEE] 2026-2-23 | Planar Antenna with Two Symmetrical Rectangular Rings for X &amp; Ku Band Applications
[IEEE] 2026-2-23 | Deep Spatial-Temporal Attention Transformer with Hierarchical Reconciliation for Multi-Granularity Electricity Sales Forecasting
[IEEE] 2026-2-23 | Dopamine-Inspired Neuro-Modulated Radiomic Pipeline for Computed-Tomography-Driven Prediction of Immunotherapy Response in Metastatic Cancer Treatment
[IEEE] 2026-2-23 | Assessing the Quality of Soccer Shots from Single-Camera Video with Vision-Language Models and Motion Features
[IEEE] 2026-2-23 | Research on Multimodal Intelligent Decision-Making Technology for Complex Power Operation Processes
[IEEE] 2026-2-23 | GWOGA-Based Path Planning for Mobile Robots in Obstacle Environments
[IEEE] 2026-2-23 | Grok-Powered Analysis of Project-Based-Learning Student Feedback
[IEEE] 2026-2-23 | Analyzing Closed-Loop Training Techniques for Realistic Traffic Agent Models in Autonomous Highway Driving Simulations
[IEEE] 2026-2-23 | A Method for Detecting Surface Defects in Steel Based on an Improved YOLOv10 Algorithm
[IEEE] 2026-2-23 | Research on the Early Fault Identification of Transmission Lines Based on Partial Discharge
[IEEE] 2026-2-23 | RetailAction: Dataset for Multi-View Spatio-Temporal Localization of Human-Object Interactions in Retail
[IEEE] 2026-2-23 | Numerical Simulation of SCR Catalytic Denitrification Based on Heat Storage Function
[IEEE] 2026-2-23 | Optimum Design and Stiffness Evaluation of a 3-DoF Parallel Module for a Hybrid Machining Robot
[IEEE] 2026-2-23 | Automated Advertising Campaign Generation from Minimal Prompts: An AI-Powered Multi-Component Approach
[IEEE] 2026-2-23 | Enhanced Tea Leaf Disease Classification Using Transfer Learning and Continuous Layer with Attention Mechanism
[IEEE] 2026-2-23 | Find First, Track Next: Decoupling Identification and Propagation in Referring Video Object Segmentation
[IEEE] 2026-2-23 | Optimization Design of Inspection Robot for Granary Temperature and Humidity Based on Deep Learning
[IEEE] 2026-2-23 | Advancing Non-Invasive Scoliosis Detection Using Deep Learning
[IEEE] 2026-2-23 | Research on Performance Comparison of Different Python PDF Parsion Libraries in Analyzing Protection Setting Lists
[IEEE] 2026-2-23 | A Wideband S/X-Band Shared-Aperture Antenna Based on Metasurface
[IEEE] 2026-2-23 | A Dual-task Prediction Model for Starlink Maritime Performance
[IEEE] 2026-2-23 | Polarn: Polar BEV Representation with Unified Multi-Modal Fusion for 3D Detection
[IEEE] 2026-2-23 | Bridging the Black Box: Explainable Anomaly Detection for Critical Infrastructure Systems
[IEEE] 2026-2-23 | A Fault-Tolerant State Estimation Algorithm for Unmanned Systems Based on Koopman Operator and Particle Filter Fusion
[IEEE] 2026-2-23 | Research on Finite Element Simulation of Wireless Power Transmission
[IEEE] 2026-2-23 | Enhancing Domain Diversity in Synthetic Data Face Recognition with Dataset Fusion
[IEEE] 2026-2-23 | ERP-Driven Sales Forecasting with AI Techniques: A Predictive Analytics Approach
[IEEE] 2026-2-23 | MedSAM-Guided Curriculum Learning for White Matter Tract Segmentation in Block Face Imaging of Fetal Brain
[IEEE] 2026-2-23 | A Generalized Two-Stage Approach to Motion Style Transfer
[IEEE] 2026-2-23 | A Parallel Fault Diagnosis Framework Based on KNN-Graph Convolution and BiGRU with Global Attention
[IEEE] 2026-2-23 | A Raspberry Pi Based Approach to Skin Cancer Detection Through Transfer Learning
[IEEE] 2026-2-23 | CSG-Fusion: Consistent Sparse-View Gaussian Splatting via Matching-based Fusion
[IEEE] 2026-2-23 | Research on a Lightweight Object Detection Algorithm for Chaotian Peppers Based on YOLOv11s-PSN Network
[IEEE] 2026-2-23 | Information Security &amp; Engineering
[IEEE] 2026-2-23 | CoSense: Bridging Real-Time Performance and Fine-Grained Detail in mmWave Sensing
[IEEE] 2026-2-23 | An Adaptively Sampled HFM Pulsed Radar for Energy-Efficient Multi-Target Sensing
[IEEE] 2026-2-23 | Development of an Eight-channel Wearable Olfactory Display for Virtual Reality
[IEEE] 2026-2-23 | Task and Interrupt Packing for Efficient CPU Utilization
[IEEE] 2026-2-23 | Novelty Detection in Event Surveillance Documents
[IEEE] 2026-2-23 | Classification of Hypoxic Ischemic Encephalopathy (HIE) in Neonates Using ECG and a Transformer-Based Model_supp1-3662271.pdf
[IEEE] 2026-2-23 | Contactless System for Sleep Prediction in Drivers
[IEEE] 2026-2-23 | Suppressing Hexagonal Defects in Ex Situ Remote Plasma Dry Etch Processing
[IEEE] 2026-2-23 | Channeling Fairness: Class Imbalance-Aware Skin Disease Recognition via Fair Channel Enhancement Module
[IEEE] 2026-2-23 | Active Thermal Control for EV Motor Drives under Stall and Low-Frequency Conditions Using Additional Current Degrees of Freedom
[IEEE] 2026-2-23 | Disturbance-Adaptive Data-Driven Predictive Control: Trading Comfort Violation for Savings in Building Climate Control
[IEEE] 2026-2-23 | A Systematic Framework for Data Quality Assessment in Industrial Process Monitoring
[IEEE] 2026-2-23 | CNN-based Transistor Modeling under Self-Heating Effects
[IEEE] 2026-2-23 | IEEE Transactions on Education Publication Information
[IEEE] 2026-2-23 | Designing and Evaluating Live Migration of Confidential Virtual Machines for Commodity Arm CCA-based Platforms
[IEEE] 2026-2-23 | Information provision strategy of retailers under consumer reference-dependent behavior_supp1-3666760.pdf
[IEEE] 2026-2-23 | ICRAI 2025 TOC
[IEEE] 2026-2-23 | Beyond Heat Dissipation: Optimizing Diffusion Models in Frequency Domain
[IEEE] 2026-2-23 | Gridless Cooperative Coevolutionary Algorithm for Real-Time DOA Estimation in Automotive Radar
[IEEE] 2026-2-23 | ArgusSAR: A Multi-dimensional Perception and Robust Detection Method for Multi-scale Objects in SAR Images
[IEEE] 2026-2-23 | Temperature, Pressure, and Strain Metamaterial Sensor Based on High-temperature Co-fired Ceramic for Extreme Environment
[IEEE] 2026-2-23 | A Novel End-to-End Framework for Low-SNR FID Signal Denoising via Rank-Sequential Truncated Tensor Decomposition
[IEEE] 2026-2-23 | Robust Multimodal Learning Framework for Intake Gesture Detection Using Contactless Radar and Wearable IMU Sensors
[IEEE] 2026-2-23 | Research on Cooperative Control Strategy for Converter Systems Considering Power Margin and Operating Constraints
[IEEE] 2026-2-23 | A Comparison of Data-Driven Shape Quantification Methods for 2D Microscopy Images
[IEEE] 2026-2-23 | Application of Youla Parameterization Algorithm Improved by Simulated Annealing in Active Vibration Control
[IEEE] 2026-2-23 | SynBalance: Harnessing Synthetic Data in Long-tailed Recognition
[IEEE] 2026-2-23 | Are Medical Image Generative Models Biologically Trustworthy?
[IEEE] 2026-2-23 | Quo Vadis Handwritten Text Generation for Handwritten Text Recognition?
[IEEE] 2026-2-23 | Evolving from Unknown to Known: Retentive Angular Representation Learning for Incremental Open Set Recognition
[IEEE] 2026-2-23 | Ensemble-Based Question Classification Using Bloom's Taxonomy
[IEEE] 2026-2-23 | Federated Active Learning for Target Domain Generalisation
