[2026-08-20 22:26:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-19
正在获取论文...
[arXiv] 2026-08-19 | The Equality Cases of the Weak Simplex Conjecture
[IEEE] 2026-8-20 | Dynamic Multi-View Semi-Supervised Classification via ODE-Enhanced Graph Convolutional Networks
[IEEE] 2026-8-20 | Transferability of the GCG Attack Across LLMs: Correlation with Attention Similarity and Transfer Rate Prediction
[IEEE] 2026-8-20 | Decentralized Intent-Based Multi-Robot Task Planner with LLM Oracles on Hyperledger Fabric
[IEEE] 2026-8-20 | SEP Analysis of a Low-Resolution SIMO System with
                    <i>M</i>
                    -PSK over Fading Channels
[IEEE] 2026-8-20 | TraceStructRepair: Effective Diagnostic Representation for Context-Limited Automated Program Repair
[IEEE] 2026-8-19 | A Continuously Reconfigurable Linear Polarization Antenna for Aerial IoT Platforms
[IEEE] 2026-8-20 | Intelligent Path Planning and Robust Tracking of Microrobots in Complex Vascular Networks
[IEEE] 2026-8-20 | LLM-Based Data Generation and Augmentation for Rust Vulnerability Detection
[IEEE] 2026-8-20 | Multi-category Cross-subject Hand Gesture Recognition Based on Spatiotemporal Decoding via A-mode Ultrasound Sensing
[IEEE] 2026-8-20 | Cloud-Assisted Zero Trust Architecture for CPS Actuators Using a Trust-Lease Extension of ZeTiots-FW
[IEEE] 2026-8-20 | Transformer-based Offline Reinforcement Learning for Intelligent Torpedo Evasion in Autonomous Underwater Vehicles
[IEEE] 2026-8-20 | Orthodontic Extraction Decision Support Using Deep Learning on Lateral Cephalometric Radiographs
[ACM] 2026-8-19 | Shallow Water Delta Oil and Gas Reservoir Prediction
[ACM] 2026-8-19 | A Comparative Study of Policy-Based Reinforcement Learning Algorithms for Chinese Single-Stock Trading
[ACM] 2026-8-19 | Visualization Analysis of Research Hotspots and Trends of Chemistry Education Based on CiteSpace
[ACM] 2026-8-19 | A Quantum-inspired Language Model Based on Transformer and Unitary Evolution for Question-answering
[ACM] 2026-8-19 | Source-Free Domain Adaptive Fundus Image Segmentation with Disagreement-Guided Mask Consistency and Boundary Curvature Regularization
[ACM] 2026-8-19 | Evaluating Monotonic Functions using Binary Search
[ACM] 2026-8-19 | Construction of a Risk Prediction Model for MCI-to-AD Progression Based on Longitudinal Atrophy Trajectories of Structural MRI
[ACM] 2026-8-19 | SMT-Based Traffic Scheduling for Time-Sensitive Networking
[ACM] 2026-8-19 | Design of Intelligent Path of “Walking Ideological and Political Course” + Red Archives Collaborative Education Based on Knowledge Map Construction Algorithm
[ACM] 2026-8-19 | Diabetic Retinopathy Classification Network Based on Cosine Similarity Multi-scale Decomposition and Cross-attention
[IEEE] 2026-8-19 | Prof. Ming-Yan Fan Receives Multiple Honors for Research Excellence and Industry–Academia Collaboration [Chapters]
[IEEE] 2026-8-19 | Title Page
[IEEE] 2026-8-19 | IEEE Access
[IEEE] 2026-8-19 | Table of Contents
[IEEE] 2026-8-19 | Panel - AI and Robotaxi: Inside and Out
[IEEE] 2026-8-19 | Preface
[ACM] 2026-8-19 | Based on Cross-Sample Entropy Analysis: A New Perspective on Revealing the Mechanism of Transcutaneous Auricular Vagus Nerve Stimulation in Regulating Brain Networks
[IEEE] 2026-8-19 | Performance Analysis of DTC with SVM Scheme for Low-Ripple BLDC Motor Operation
[IEEE] 2026-8-19 | Alternative Decomposed Message Passing for Efficient Geometric GNNs
[IEEE] 2026-8-19 | A Survey of Multimodal Human Emotion Detection Techniques Using Deep Models and Transfer Learning
[IEEE] 2026-8-19 | VLSI Architecture of Adaptive FIR Filter Using Distributed Arithmetic for Low-Power DSP Applications
[IEEE] 2026-8-19 | A Preliminary Study of LLM Inferencing on Sandboxed Environments for Jetson Edge Platforms
[IEEE] 2026-8-19 | Raiders of the Lost Log: Synchronous Parallel In-Place Models and Algorithms
[IEEE] 2026-8-19 | Machine Learning-Based Modeling of Large-Scale Climate Data for Long-Term Trend Analysis
[IEEE] 2026-8-19 | Evaluation of an Ankle Exoskeleton System Based on Additive Manufacturing Technology
[IEEE] 2026-8-19 | A Comparative Analysis of Electrocardiogram, Phonocardiogram and Retinal Oculomics Using a Hybrid Deep Learning Model for Cardiovascular Diagnosis
[IEEE] 2026-8-19 | Non-Intrusive Sensor-Based Sleep Monitoring and Machine Learning Classification for Individuals with Disabilities in Residential Facilities: A Case Study from the MetaSalute Project
[IEEE] 2026-8-19 | Numerical Study of a High-Voltage Pulse Transformer for Klystron Modulator
[IEEE] 2026-8-19 | Single-Phase Active LED Driver with Common Anode DC-DC Boost Cell, Reduced Power Processing, and Electrolytic Capacitor-Less Design
[ACM] 2026-8-20 | Combining Thinking Aloud and Eye Tracking
[IEEE] 2026-8-19 | LiteNet-CXR v2: A Lightweight and Interpretable CNN for Lung Tumor Detection in Chest X-Rays
[IEEE] 2026-8-19 | Hybrid AI Models for Predicting Housing Market Trends
[IEEE] 2026-8-19 | From Pixels to Perception: Transforming Images Across Domains Using Deep Generative Models
[IEEE] 2026-8-19 | Physics-Guided Spatio-Temporal Transformers to Predict Urban Wind Fields with Accuracy and Adaptive Optimization of Wind Power
[IEEE] 2026-8-19 | PulmoAI: AI-Driven Prediction for Lung Health
[IEEE] 2026-8-19 | ANN-Based Power Transformer Diagnosis on Datasets with Rogers DGA and IEC
[IEEE] 2026-8-19 | Intelligent Matter: Leveraging AI/ML to Enhance Interoperability, Efficiency, and Security in Matter-Based Smart Homes
[ACM] 2026-8-20 | Inclusive CS Education in K-12 Classrooms: A Seminar for Prospective CS Teachers
[IEEE] 2026-8-20 | Knowledge Graph-Based AI Framework for Predicting Nutritional and Health Impacts of Food Ingredients
[IEEE] 2026-8-19 | Quad-Band Polarization-Insensitive THz Absorber for Sensing Applications
[IEEE] 2026-8-19 | CGAD: A Cross-Granularity Aware Framework for Time Series Anomaly Detection
[IEEE] 2026-8-20 | An Ultra High Gain Double-Dual-Boost DC–DC Converter Based on Switched Inductor Cells and Ripple Mitigation Technique
[IEEE] 2026-8-20 | LPTV Structure-Constrained Kalman Filter for OFDM Channel Estimation in Power Line Communications
[IEEE] 2026-8-20 | Design of a Compact XYZ Flexure-Based Nanopositioning Stage for Silicon Photonic Coupling with a Large Moving Platform and Low Cross-Axis Coupling
[IEEE] 2026-8-20 | Online Power Coefficient Estimation in Wind Turbines via Adaptive Sliding-Mode Observers
[IEEE] 2026-8-20 | Two-Stage Pattern-Based Fast Reconfiguration for Optical-Switched AI Datacenter Networks
[IEEE] 2026-8-20 | Dual Point Temperature Sensing Using Cascaded Phase-shifted Fiber Bragg Gratings and A Convolutional Neural Network
[IEEE] 2026-8-20 | Effect of Weakly Correlated Crystallizations: Quantitative Characterization in GaAs/Si Heteroepitaxial material
[IEEE] 2026-8-20 | On the adaptive stabilization of MIMO systems with uncertain control direction
[IEEE] 2026-8-20 | Performance Analysis of NOMA-Based Ultraviolet Communication Systems with Imperfect SIC
[IEEE] 2026-8-20 | Weighting-Factor-Free Model Predictive Torque Control of Induction Motors Driven by a 3L-NPC Voltage Source Inverter
[IEEE] 2026-8-20 | Accurate Demodulation in MEMS Fabry-Perot Pressure sensor via Autoencoder-Based Spectral Learning and Temporal Convolutional Networks
[IEEE] 2026-8-20 | High-efficiency edge coupler for hybrid integration of distributed feedback lasers
[IEEE] 2026-8-20 | Performance Analysis of LMS Adaptive Equalizer for Optical Communication in Three Typical Scenarios
[IEEE] 2026-8-20 | Robust High-Performance Control using Nonlinear Sliding Surface: A Case Study on Depth Control of an Autonomous Underwater Vehicle
[IEEE] 2026-8-20 | A Method to Decrease the Voltage Stress on the Rectifier and Transformer of High Voltage High Power Converters Caused by the Output LC Filter
[IEEE] 2026-8-20 | An Independent Rise-Time Control Scheme for Voltage and Current in IGBTs under Quasi-Zener Loads
[IEEE] 2026-8-20 | Performance Analysis of AFDM-IM LiDAR-ISAC Waveforms under Composite FSO Channels
[IEEE] 2026-8-20 | High-Stability Laser Driving and Temperature Control System for Sensing Applications
[IEEE] 2026-8-20 | Voltage-Frequency Control of Standalone Single-Phase Inverter Based on Adaptive Backstepping Controller with State and Nonlinear Disturbances Observers: An Experimental Validation
[IEEE] 2026-8-20 | A Definition of Discretization Chattering in Affine-Input SISO Systems
[IEEE] 2026-8-20 | A Biomimetic Human-Robot Interface for Natural Cooperative Ankle Movement in Healthy and Post-Stroke Subjects
[IEEE] 2026-8-20 | RV-KEM: A RISC-V ISE-Accelerator for ML-KEM on Lightweight IoT Cores
[IEEE] 2026-8-20 | Location-Based Wi-Fi AP Discovery Optimization for Vehicle-to-Infrastructure Communication
[IEEE] 2026-8-20 | SemTFT: When Semantics Meet Intermittent Demand Forecasting
[IEEE] 2026-8-20 | Application of Machine Learning Techniques on Prostate Cancer Genomics Data for Clustering and Classification
[IEEE] 2026-8-20 | Temporal Decomposition with Selective Fixing and Relaxation for Fast Distributionally Robust Unit Commitment
[IEEE] 2026-8-20 | Wavelength-shift-free reconfigurable multilevel optical switching using a SbSe-based nanobeam cavity_supp1-3723082.docx
[IEEE] 2026-8-20 | Stable Handoff Method using Staged Decisions for Wireless LAN Systems
[IEEE] 2026-8-20 | Local Frequency-Guided Peak Extracting Transform for Reflection Interface Identification in Deep Carbonate Reservoirs
[IEEE] 2026-8-20 | LSTM-PPO: A Hybrid Deep Reinforcement Learning Framework with Asymmetric Reward Engineering for Real-Time Intrusion Detection in IIoT and SCADA Networks
[IEEE] 2026-8-20 | DP
                    <sup>2</sup>
                    -RAG: An Efficient Full-Process Differential Privacy Implementation in Retrieval-Augmented Generation
[IEEE] 2026-8-20 | Largely Constrained Noise-guessing Decoding of Short LDPC codes
[IEEE] 2026-8-20 | ABCD: Active Buildings with Computing, Distributed Sensing, and Secure Edge Collaboration for Autonomous Hazard Mitigation
[IEEE] 2026-8-20 | Multimodal Rumor Detection and Dynamic Intervention: A Deep Learning and Reinforcement Learning Approach
[IEEE] 2026-8-20 | Position Estimation via a Single LEO Satellite based on Pseudorange and Doppler Measurements
[IEEE] 2026-8-20 | 3D Channel Spatial Selectivity Analysis of LEO Satellite-Vehicle Communication
[IEEE] 2026-8-20 | Table of Contents
[IEEE] 2026-8-20 | Synthetic Versus Real-World Traffic: An Empirical Evaluation of Machine Learning–Based DDoS Detection
[IEEE] 2026-8-20 | Research on Optimization and Control Strategies of Sliding Pressure Operation of Steam Turbine under Deep Peak Regulation Conditions
[IEEE] 2026-8-19 | Robust Visibility-Aware Target Tracking for Micro Aerial Vehicles in Unknown Complex Environments
[IEEE] 2026-8-20 | Engineered miRNA Feature–Driven Machine Learning Models for Risk Stratification in Lung Adenocarcinoma
[IEEE] 2026-8-19 | Generalizing Universal Image Segmentation to Online Video Segmentation via a Bridging Matcher
[IEEE] 2026-8-20 | Secure and Scalable Dynamic Blockchain Sharding via a Multi-Granularity Reputation Model
[IEEE] 2026-8-20 | Relative Navigation and Dynamic Target Tracking for Autonomous Underwater Proximity Operations
[IEEE] 2026-8-20 | Collaborative Management Optimization Method of Energy Storage + Data Center Flexible Load Based on Computing Scheduling
[IEEE] 2026-8-20 | Graph Orientation for Efficient Multi-Agent Pickup and Delivery Using Genetic Algorithm
[IEEE] 2026-8-20 | FreqPath-Net: Frequency-Aware Spectral–Orthogonal Network for Histopathological Nuclei Segmentation
[IEEE] 2026-8-20 | Synthetic Data Augmentation via Class-Conditional Latent Diffusion Models for Fundus Image Quality Assessment
[IEEE] 2026-8-19 | An Ultrawideband Magnetoelectric Dipole Antenna With Gain Improvement and Its Application in Array Design for Sub-6G Intelligent IoT Communication
[IEEE] 2026-8-20 | Auditing Training Data in Domain-adapted LLMs: LoRA-MINT
[IEEE] 2026-8-19 | A Collaborative Cislunar Computing Architecture for Task Scheduling and Resource Coordination Via Multi-Agent Reinforcement Learning
[IEEE] 2026-8-20 | Engineering Guided Determinism in Neuro-Symbolic Agents: A Comparative Study of Orchestration Strategies for Supply Chain Replenishment
[IEEE] 2026-8-20 | A Modular Low-Code Architecture for Trustworthy Conversational Agents with Governance and Clinical System Integration
[IEEE] 2026-8-20 | Risk Occupancy: A New and Efficient Paradigm Through Vehicle-Road-Cloud Collaboration
[IEEE] 2026-8-20 | Standardisation Insights from IMT-2020 Evaluation of EUHT-5G: Reliability and Spectral Efficiency in Mobile Scenarios
[IEEE] 2026-8-20 | Evaluating Gesture Recognition Robustness on Smartwatches: A Comparison Between User-Dependent and User-Independent Protocols
[IEEE] 2026-8-20 | Usability Study of AI-Based Stress Management Support Among College Students
[IEEE] 2026-8-20 | A Web-Based Pipeline for Ontology-Free Biomedical Knowledge Graph Construction and Exploration
[IEEE] 2026-8-19 | A Multimodal Smart Wearable Garment for Continuous Monitoring of Human Motor Tasks: A Multi-User Feasibility Study
[IEEE] 2026-8-20 | From SAINT to COMPSAC: A Quarter Century of Partnership between IEEE-CS and IPSJ
[IEEE] 2026-8-20 | EEG Connectomics in Rotator Cuff Injury: Central Network Reorganization During Three-Plane Antagonistic Shoulder Tasks
[ACM] 2026-8-19 | An AI-Driven Framework for Dance Movement Generation Based on Motion Capture and Affective Computing
[ACM] 2026-8-19 | A Multimodal Recommendation System Based on Transformer And Dimensionality Reduction Clustering Algorithm for Clothing Similarity Retrieval
[ACM] 2026-8-19 | Research of Smart Helmets for Delivery Personnel
[IEEE] 2026-8-19 | IEEE Sensors Letters Subject Categories for Article Numbering Information
[ACM] 2026-8-19 | Residential Arrangements and Elderly Survival: A Supervised Learning Approach to Mortality Risk Prediction
[ACM] 2026-8-19 | Analysis of Dual-Task Gait Characteristics Based on Electrostatic Detection
[IEEE] 2026-8-19 | Introduction to JSSPP 2026
[IEEE] 2026-8-19 | Controllability Analysis for Vision State Space Models: A Structural Interpretability Framework_supp1-3718747.pdf
[IEEE] 2026-8-19 | IEEE Connect
[IEEE] 2026-8-19 | Evaluating LLM-Generated Instructional Content for Parallel Computing Education
[IEEE] 2026-8-19 | An Intelligent Protection Scheme for Radial DC Microgrid Considering Critical Pole-to-Ground Fault Scenarios
[ACM] 2026-8-20 | Under Pressure: How Autonomy and Competence Shape AI Adoption in Citizen Broadcasting
[IEEE] 2026-8-19 | Feature Fusion Dual-Branch CNNs for Superior Fish Pathology Recognition
[ACM] 2026-8-20 | CollARborate or Compete? Investigating User Experience and Motivation through Social Context and System Modalities of a Serious Math Game
[IEEE] 2026-8-19 | Comparative Analysis of Graph Centrality Measures for Extractive Text Summarization
[IEEE] 2026-8-19 | AI based Crowd Surveillance and Anomaly Detection System
[IEEE] 2026-8-19 | An Antiquated Discourse Upon Direct Carriage-to-Carriage Energy Bestowal Employing on-Board Converters
[IEEE] 2026-8-19 | Classification of Lower Limb Movements Based on Surface Electromyography Signals and Cross-Channel Mutual Information Features
[ACM] 2026-8-20 | From Prototype to Handover-Ready Artifact: Hardening a Color-Picking Device for Early Intervention
[ACM] 2026-8-20 | Exploring LLM-generated hints for students’ Error Recovery in programming
[IEEE] 2026-8-19 | AI Driven Workload Management for Multi-Cloud and Edge Computing Environments
[IEEE] 2026-8-19 | Evaluating Deployment Trade-offs of Compact Vision-Language Models on Edge Systems
[IEEE] 2026-8-19 | Solar Powered Air Refinement for Rural Organic Wellbeing
[IEEE] 2026-8-19 | Performance Enhancement of Vehicle-to-Vehicle Power Transfer Using Model Predictive Control
[IEEE] 2026-8-19 | Systematic Vision-Based Experimental Validation of Liquid Sloshing Modeling in Robotic Industrial Manipulation
[IEEE] 2026-8-19 | Research on the Application of Visual Anomaly Detection Technology in Semiconductor Wafer Inspection
[IEEE] 2026-8-19 | A Multi-Queue Design for High-Performance GPU Priority Queues
[IEEE] 2026-8-19 | AI-Enhanced Prediction of Green Bond Performance
[IEEE] 2026-8-19 | A Robust Finite-Time Fault-Tolerant Control Strategy for Quadrotor UAVs
[IEEE] 2026-8-19 | Layout and Exploration of a 5-Level Switched-Capacitor Inverter Network Topology
[IEEE] 2026-8-19 | A Unified Maximum Sensitivity-Driven Resilient Controller Design for Boost Converter Feeding Constant Power Load Incorporating the Mixed DS-RL Approach
[IEEE] 2026-8-19 | A Field Case Study of Power Transformers Operating in Parallel from 220kV NRS Doddaballapura Substation Karnataka
[IEEE] 2026-8-19 | A Data-Driven Assessment of Robust Machine Learning Frameworks for High-Variance Industrial Environments
[IEEE] 2026-8-19 | A Novel Three-Phase Three-Level Transformerless Inverter with Reduced Components and Single-Source Voltage Boosting Capability
[IEEE] 2026-8-19 | VibeCodeHPC: A Multi LLM Agent System for HPC Code Auto-Tuning
[IEEE] 2026-8-19 | A Novel Hybrid Methodology for Defect Detection through the Combination of Sensing Technologies and Artificial Intelligence
[IEEE] 2026-8-19 | Trajectory-Based Evaluation of Driving Behavior with Gradient-Boosted Decision Trees
[ACM] 2026-8-20 | Evaluating the cognitive effects of computer programming on inference skills in primary education
[ACM] 2026-8-20 | Should we open the Black Box? Investigating Transparency in K-12 Machine Learning Education
[IEEE] 2026-8-20 | Energy-Efficient LLM Inference with SLA-Constrained Adaptive GPU Power Capping
[IEEE] 2026-8-20 | Knaut: Resource-Oriented Control of Electronic Bills of Lading on IOTA Move
[IEEE] 2026-8-20 | GAT-PPO-Based Joint Routing Optimization for TSN-Enabled VPP Backbone Networks
[IEEE] 2026-8-20 | ReflectAI: An AI-Driven Multimodal Journaling App for Promoting Mental Well-being
[IEEE] 2026-8-20 | Comparative Study of Narrowband and UWB Microwave Sensor Performance for Non-Invasive Blood Clot-Related Dielectric Change Detection
[IEEE] 2026-8-20 | Detection and Visualization of Vulnerability Fixes Considering Dependencies in Open Source Software
[IEEE] 2026-8-20 | Metaheuristic-Based Parameter Identification of a Single-Area Power System
[IEEE] 2026-8-20 | Dual-Polarized UWB Vivaldi Antenna with Polarization Diversity for Enhanced Tumor Localization in Multistatic Microwave Brain Imaging
[IEEE] 2026-8-20 | eSmarTA 2026 Author Index
[IEEE] 2026-8-20 | Design of Herringbone Microchannels for Enhanced Mixing in Augmented Cooling Slurries_supp1-3723697.pdf
[IEEE] 2026-8-20 | Edge Uncertainty-Aware Infrared Fault Detection Method for Power Equipment
[IEEE] 2026-8-20 | Deep-Space Optical Communication Receiver Based on Single Photon Coherent Beam Combination
[IEEE] 2026-8-20 | Physics-Embedded Spatial Attention Network for High-Impedance Fault Identification in Distribution Systems
[IEEE] 2026-8-20 | VKB-Hunter: Vulnerability Knowledge Base Based Black-box Protocol Fuzzer for IoT Devices
[IEEE] 2026-8-20 | 2026 International Conference on Information Communication, IoT Technology, and Smart Cities (IITS)
[IEEE] 2026-8-20 | TD3-Based Resource Allocation for Low-Power AmBC-Assisted WBANs in Cognitive Radio Networks
[IEEE] 2026-8-20 | Co-Designing Embodied Telehealth for XR Physical Rehabilitation in Integrated Veteran Care
[IEEE] 2026-8-20 | Analysis, Design and Development of a VR-Based Serious Game to Support Mirror Therapy in Stroke Rehabilitation
[IEEE] 2026-8-19 | Physics-Informed Reinforcement Learning for Coordinated Real-Time Frequency Control of Grid-Forming Energy Storage in Low-Inertia Microgrids
[IEEE] 2026-8-20 | Tomo-Net: A Physics-Inspired Dual Regression Network for Nonlinear Tomographic Imaging
[IEEE] 2026-8-20 | An Adaptive Trajectory Reconstruction Method under Geo-Indistinguishability
[IEEE] 2026-8-19 | Ultra-high Frequency Sensor for Multi-source Partial Discharge Detection
[IEEE] 2026-8-20 | High-Throughput Screening of Helical Microbot Geometries in Viscoelastic Media
[IEEE] 2026-8-20 | Rapid Robust Optimization of Permanent Magnet Linear Synchronous Motors Considering Manufacturing Tolerances
[IEEE] 2026-8-20 | From Architectural Descriptions to Executable Software Models with Environmental and Scenario Dynamics
[IEEE] 2026-8-20 | RACE: Recovery Analysis for Cascading Events in Complex Networked Systems
[IEEE] 2026-8-20 | 2026 17th Power Electronics, Drive Systems, and Technologies Conference (PEDSTC)
[IEEE] 2026-8-20 | Submillimeter Laser Steering Thermal Responsive Optics For Fiberbots Based on Two-Photon Polymerization
[IEEE] 2026-8-20 | Common Mode Voltage and Zero Sequence Circulating Current Reduction in Parallel Two-Level Inverter
[IEEE] 2026-8-20 | Stokes-Space Quantization-Enabled Hybrid Digital- Analog Radio-over-Fiber Modulation and Demodulation Architecture for Physical-Layer Secure Transmission
[IEEE] 2026-8-20 | High-Sensitivity Refractive Index Sensor Based on a 3D-Printed Concave Micro-Reflector on a Single-Mode Fiber Tip
[IEEE] 2026-8-20 | A Partition-based Fast Routing Algorithm for Large-scale Optical Satellite Networks
[IEEE] 2026-8-20 | A Discrete-Time Sliding Mode Observer for Sensorless Motor Control
[IEEE] 2026-8-20 | 3D Manipulation of Airborne Objects Using Patterned Airflow
[IEEE] 2026-8-20 | Open Microfluidic System with Coplanar Electrodes for Multiplexed Chemical Stimulation of Suspended Cells
[IEEE] 2026-8-20 | 2026 International Conference on Manipulation, Automation and Robotics at Small Scales (MARSS)
[IEEE] 2026-8-20 | Symbol-Level Nonlinear Equalization for Coherent Optical Communications Based on a Power-Conditioned Residual Memory Network
[IEEE] 2026-8-20 | A Predictive Reservation-Based Routing and Wavelength Assignment Method for Satellite Networks
[IEEE] 2026-8-20 | Active-Switched-Inductor Passive-Switched-Capacitor Boost DC-DC Converter
[IEEE] 2026-8-20 | The Algorithm Is Not the Answer: A Methodological Review of Metaheuristic Controller Tuning
[IEEE] 2026-8-20 | Digging into Monocular Texture-Scale Feature Fusion for Optical Flow and Optical Expansion Estimation_supp2-3725402.mp4
[IEEE] 2026-8-19 | Crowdsensing From a Distance: A Contract Mechanism Design
[IEEE] 2026-8-19 | Fast Communication-less Remote Bus Backup Protection algorithm in HVDC Grids with In-Depth Analysis
[IEEE] 2026-8-20 | Teaching Dragons How Humans Fly - Investigating the Learning by Teaching Effect Using Teachable Virtual Agents with Primary School Students
[IEEE] 2026-8-20 | ICOCN2026 Conference Proceedings Author Index
[IEEE] 2026-8-20 | Machine Learning-Based Assessment of Body Roundness Index and Cardiovascular Disease Risk in Older Adults: U.S.-China Evidence
[IEEE] 2026-8-20 | A Decision-Oriented Multi-Modal Framework for Disaster Risk Assessment and Resource Optimization
[IEEE] 2026-8-20 | Integrated Fluidic-Muscle Active Air-Suspension With Reduced-Order ESO Sliding-Mode Control for Low-Frequency Vibration and Motion-Sickness Mitigation in Shared Autonomous Electric Vehicles
[IEEE] 2026-8-20 | RSGPNet: Geometric Prompting for Remote Sensing Open-Vocabulary Semantic Segmentation
[IEEE] 2026-8-20 | Cost and Accuracy of Long-Term Memory in Distributed Multi-Agent Systems Based on Large Language Models
[IEEE] 2026-8-20 | Balancing Accuracy and Cost: An Adaptive Hybrid Framework for Feature Selection in Software Defect Prediction
[IEEE] 2026-8-20 | Reviewers
[IEEE] 2026-8-20 | Developing Robust and Reproducible Machine Learning Systems
[IEEE] 2026-8-20 | Multi-Criteria Voting Algorithm for Misbehavior Detection in VANET Beacon Messages
[IEEE] 2026-8-20 | Unveiling Security Traits of Cross-Platform Android Applications: A Large-Scale Empirical Study
[IEEE] 2026-8-19 | Infrared Point Target Dataset Generation and its validation through Deep Learning Methods
[IEEE] 2026-8-20 | CGL-FED: A Continual Graph-Based Learning Framework for Fraudulent Email Detection
[IEEE] 2026-8-20 | VR-MedTutor: A Multimodal Virtual Reality Platform with AI Agent-Assisted Brain Tumor Education
[IEEE] 2026-8-20 | Kubernetes-Based Transparent Orchestration of Heterogeneous IoT Devices Through Peripheral Abstraction with Webassembly
[IEEE] 2026-8-20 | An Integrated Lifecycle-Management Pipeline for UAV-Augmented Smart Parking Surveillance Across the Cloud–Edge–End Continuum
[IEEE] 2026-8-20 | Is My Vision-Language Data in Your AI? Membership Inference Test (MINT) Demo 2
[IEEE] 2026-8-20 | Building an Ableist Language Dataset With a Human-In-The-Loop Methodology for Inclusive Discourse in Autism Research
[IEEE] 2026-8-19 | FedALAQ: Federated Adaptive Layer-wise Aggregation with Quantization
[IEEE] 2026-8-20 | Performance Characterization of LLM Inference under Limited GPU Resources
[IEEE] 2026-8-20 | Interference Management Techniques in Cell-Free Massive MIMO to Protect Legacy Wireless Systems
[IEEE] 2026-8-19 | Key Reconciliation with RC-LDPC/Error Estimation for Satellite-based FSO/QKD Systems
[IEEE] 2026-8-20 | Table of Contents
[ACM] 2026-8-19 | Research on a Locality-Sensitive Hashing-Based Clustering Optimization Method for DNA Storage Targeting Hard-to-Correct Errors
[ACM] 2026-8-19 | Prediction of Multifunctional Therapeutic Peptides Using a Hybrid Spatiotemporal Network and Asymmetric-Dice Joint Loss
[ACM] 2026-8-19 | A Study on the Challenges Faced by Women with Gestational Diabetes in Self-Management Based on Web Crawler Data
[IEEE] 2026-8-19 | IEEE Computer Society Information
[IEEE] 2026-8-19 | DVFS-Aware Energy-Efficient Implementation of DNNs on Heterogeneous Hybrid Parallel Computers_supp1-3725140.pdf
[IEEE] 2026-8-19 | Introduction to CGRA4HPCA 2026
[IEEE] 2026-8-19 | Women in Engineering
[IEEE] 2026-8-19 | Towards Wearable High-Density MEG: A Compact, Low-Power, and Scalable OPM-MEG System with Automated Control_supp1-3724753.pdf
[ACM] 2026-8-19 | A Lightweight YOLOv8-Based Camera Backbone for Efficient BEVFusion
[ACM] 2026-8-19 | Software Engineering for Self-Adaptive Robotics: A Research Agenda
[ACM] 2026-8-19 | Adaptive Computational-Intelligence Framework for Rhythmic Motor-Cognitive Assessment Using Generative AI
[ACM] 2026-8-19 | Resilience Evaluation of Eco-Cultural Space in Guangxi Ethnic Villages Based on Deep Learning
[ACM] 2026-8-19 | IIMedGPT-M: A Mental Health Oriented LLM via a Staged Training Pipeline
[IEEE] 2026-8-19 | Battery Cell Faults and Detection Methods
[ACM] 2026-8-20 | Experiencing the Twin Transition: A Virtual Reality Application Showcasing Facets of the Circular Economy
[IEEE] 2026-8-19 | Usability Assessment of a 2-DoF Wearable Wrist Robot in Activities of Daily Living
[IEEE] 2026-8-19 | Efficient Degree-3 HUBO Formulation with Auxiliary-Variable-Minimum QUBO Reduction for the Angular Distance Traveling Salesman Problem
[ACM] 2026-8-20 | AI for Science Communication: Evaluating the Visual and Linguistic Representation of Intelligent Virtual Agents on Credibility and Persuasiveness
[IEEE] 2026-8-19 | Inkjet-Printed IDC sensor Integrated in a Microfluidic Platform
[ACM] 2026-8-20 | User-Centered Requirements for an Authoring Tool in XR Cultural Heritage
[IEEE] 2026-8-19 | State Machine Based Programming of an Elevator Simulator by zPLC – a Virtual PLC Software
[IEEE] 2026-8-19 | Quantitative Assessment of Consumer Perceptions and Post-Adoption Behaviour toward Electric Vehicles in Bengaluru
[IEEE] 2026-8-19 | Adaptive Step Size PSO–P&amp;O MPPT for Standalone PV Systems: A Comparative Study of Cuk and SEPIC Converters
[IEEE] 2026-8-19 | Observability and Self Healing of Quantum Secure V2X communication in Edge-Cloud Systems
[IEEE] 2026-8-19 | Enhanced Power Quality in EV Charging Stations Using ALMS-Based Reduced-Switch UPQC and Bidirectional Converter
[IEEE] 2026-8-19 | Intelligent Field-Oriented Control of a PV-Fed Submersible Pump Without Voltage and Current Sensor
[IEEE] 2026-8-19 | Predictive Maintenance of Financial Infrastructure Using IoT and AI
[IEEE] 2026-8-19 | Doherty Power Amplifiers: Fundamentals and recent advances
[IEEE] 2026-8-19 | Improved Embedded Structural Health Monitoring via High-Resolution Spectral Analysis Using a MEMCF-based Algorithm
[IEEE] 2026-8-19 | A Hybrid Optical Sensing and Data Network for Smart City Infrastructure Monitoring: A Feasibility Study
[IEEE] 2026-8-19 | Decoupled Loop-Shaping Current Control of Magnetically Coupled SIDO Boost Converters via Capacitor Current Feedback
[IEEE] 2026-8-19 | Identifying and Addressing HMM Data Migration Overhead on NVIDIA GPUs
[IEEE] 2026-8-19 | Reconfigurable ESP32-Based IoMT Architecture with End-to-End Latency Analysis over Wi-Fi with 5G Backhaul
[IEEE] 2026-8-19 | Implementation and Evaluation of Cell Balancing Methods in Li-Ion Battery Management Systems
