[2026-07-16 22:56:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | The spread construction and non-uniqueness of visible Lagrangians
[arXiv] 2026-07-15 | Recovery of Schrödinger nonlinearity from the large-data scattering behavior
[arXiv] 2026-07-15 | Magnesium isotope ratios in Milky Way and dwarf galaxy stars
[arXiv] 2026-07-15 | Lexicographic Direct Access with Functional Dependencies
[arXiv] 2026-07-15 | Load Balancing with Individually Heterogeneous Servers
[arXiv] 2026-07-15 | Cyclic Probability of a Finite Group
[arXiv] 2026-07-15 | Manipulation testing based on Benford's Law for discrete scores
[arXiv] 2026-07-15 | Area correlations related to lattice points in discs
[arXiv] 2026-07-15 | The WEST code for large-scale excited-state materials simulations
[arXiv] 2026-07-15 | Strict concavity of the growth indicator function for relatively Anosov groups
[arXiv] 2026-07-15 | Exact classification of elliptic curves $y^{2}=x^{3}-pqx$ with rank $0$ and trivial $\Sha[2]$
[arXiv] 2026-07-15 | The internal Yoneda Lemma for locally Cartesian closed $\infty$-categories
[arXiv] 2026-07-15 | Prospective clinical indication, post-hoc report leakage, and fusion design in multi-image chest radiograph classification: a patient-clustered evaluation
[arXiv] 2026-07-15 | Quantum Transport and Apparent Work Function Distributions of Atomic Contacts via a 3D-Printed High-Vacuum Platform
[arXiv] 2026-07-15 | Machine Learning-based detection of long COVID using Heart Rate Variability Analysis
[arXiv] 2026-07-15 | Hybridization-controlled re-entrant electronic phase switching and moire-confined states in twisted bilayer PtTe2
[arXiv] 2026-07-15 | The variety of nilpotent matrices is $F$-regular
[arXiv] 2026-07-15 | Microstructure-Conditioned Surrogate Models for Graded Multiscale Optimization of Mycelium Composites
[arXiv] 2026-07-15 | ε-Indistinguishability In Moving Target Defense: Framework, Algorithms, And Cloud Case Studies
[arXiv] 2026-07-15 | Fast Cascaded Recursive Filtering via a Block-Matrix Reformulation
[arXiv] 2026-07-15 | Fine-grained CLIP fine-tuning with self-annotated region alignment
[arXiv] 2026-07-15 | Global Bifurcation and the Constructive Existence of Overhanging Periodic Steady Water Waves
[arXiv] 2026-07-15 | HybridQC: Hardware-Grounded Simulation of Tightly Integrated Hybrid Quantum-Classical Systems
[arXiv] 2026-07-15 | Supermagnified Stars in Lensing Clusters and Small-Scale Structure in the Dark Matter
[arXiv] 2026-07-15 | Cooling rate and glassy behavior in the Fermi--Pasta--Ulam system
[arXiv] 2026-07-15 | Design of policy digital twins incorporating multi-level agent based modelling
[arXiv] 2026-07-15 | Reshaping quantum annealing landscapes with diagonal catalysts
[arXiv] 2026-07-15 | Pack, Remove, Reserve -- Online Knapsack with Second Thoughts
[arXiv] 2026-07-15 | Regular diagonal subfactors
[arXiv] 2026-07-15 | RIS Beamforming under Element-Level Variations: Statistical Characterization and Robust Design
[arXiv] 2026-07-15 | Effective Resistance in Fixed-Rank External-Field Measures and Constant-Stretch Correlated Sampling on the Hypersimplex
[arXiv] 2026-07-15 | Matroid correspondence
[arXiv] 2026-07-15 | Discrete Diffusion Models: A Unified Framework from Tokenization to Generation
[arXiv] 2026-07-15 | Unified Terahertz Framework for Magnetic and Lattice Responses Reveals an Elusive Ordering Transition in Gd$_2$Ru$_2$O$_7$
[arXiv] 2026-07-15 | Bridging Frustration and Non-Hermiticity via COMPASS: An Adaptive Biorthogonal Neural Quantum State Framework
[arXiv] 2026-07-15 | On Zappa--Szép products of a wreathed $2$-group and a cyclic group
[arXiv] 2026-07-15 | Observational Evidence for Counter-helicity Magnetic Reconnection in a Solar Eruption
[arXiv] 2026-07-15 | The Nonsmooth Impact Direction (NSID) of Robotic Systems
[arXiv] 2026-07-15 | Cold Stream Penetration of Virial Shocks: Fragmentation, Coagulation, and Disruption in the Hot Circumgalactic Medium
[arXiv] 2026-07-15 | VisualRepair: Dynamic Tool Calling and Region Focusing for Visual Software Issue Repair
[arXiv] 2026-07-15 | Towards compressed baryonic matter densities: D meson diffusion
[arXiv] 2026-07-15 | Acoustic Firewalls: Analogue Gravity Perspective on the AMPS Paradox
[arXiv] 2026-07-15 | Update on the Magellan InfraRed Multi-Object Spectrograph (MIRMOS)
[arXiv] 2026-07-15 | A Universal Relation Between Primordial Density-Potential Cross-correlation Coefficient and Spin Factor Distribution
[arXiv] 2026-07-15 | Building Shor's Algorithm in Lean: An Agentic Formalization of Quantum Attacks on RSA-2048 and P-256
[arXiv] 2026-07-15 | An exactly solvable macroscopic fluctuation theory of single-file diffusion
[arXiv] 2026-07-15 | AI-accelerated End-to-End Framework for Rapid Professional Upskilling
[arXiv] 2026-07-15 | Multi-Expert Routing for Multi-Domain Low-Resource OCR: A Manchu Case Study
[arXiv] 2026-07-15 | Beyond Constant Error: Heteroscedastic Bayesian Model Combination for Modeling Unmeasured Nuclei
[arXiv] 2026-07-15 | Optimizing Visibility in Generative Engines: A Critical Survey of Generative Engine Optimization (2023-2026)
[arXiv] 2026-07-15 | Industrial Dexterity Benchmark: A Hardware-Software Benchmarking Platform for Industrial Dexterous Manipulation
[arXiv] 2026-07-15 | The Wulff bio-heat transfer model revisited: directional blood enthalpy transport, the biological Peclet number, and implications for laser-induced thermal therapy
[arXiv] 2026-07-15 | phoptic -- a Python package for reducing astronomical images
[arXiv] 2026-07-15 | Lighthouse RL: Sample-Efficient Circuit Optimization via Strategic Reset Points
[arXiv] 2026-07-15 | M$^\text{4}$World: A Multi-view Multimodal Driving World Model for Interactive Object Manipulation and Minute-long Streaming
[arXiv] 2026-07-15 | Real Fluid Quasi-Conservative Method: Mechanical Equilibrium Mechanism and Liquid-Upwind Anomaly
[arXiv] 2026-07-15 | Task-Specific Feature Fusion Method for Multi-Task Affective Behavior Analysis
[arXiv] 2026-07-15 | Agent-Alternation-Free Epistemic Metric Temporal Logic with Past: Model Checking and Complexity
[arXiv] 2026-07-15 | Dipolar mixtures in checker-board optical bilayers
[arXiv] 2026-07-15 | Music-to-Dance Generation via Atomic Movements
[arXiv] 2026-07-15 | CF-Net: Conflict Fusion with Speaker Normalisation and Certainty Weighting for Ambivalence/Hesitancy Recognition
[arXiv] 2026-07-15 | Practical Framework for Power System Strength
[arXiv] 2026-07-15 | Further quantitative moduli around uniform convexity
[arXiv] 2026-07-15 | DeltaMerge-LowRes: Composing Language and Task Deltas for Low-Resource Adaptation
[arXiv] 2026-07-15 | Kaleidoscopic-ray-tracing-based model of the scintillation flash energy deposition in the photomultipliers attached to a strip scintillator
[arXiv] 2026-07-15 | PRomop: A Decision-Ready Longitudinal Patient Health Record on the OMOP Common Data Model
[arXiv] 2026-07-15 | Peak-End-Net: A Peak-End Rule Inspired Framework for Generalizable Video Aesthetic Assessment
[arXiv] 2026-07-15 | Discriminative Barrier Functions for Safe Adversarial Imitation Learning from Observation
[arXiv] 2026-07-15 | Pezego-HITL: A policy-grounded large language model architecture for agricultural extension in Ghana
[arXiv] 2026-07-15 | VAIOM: Continuous-Input, Discrete-Output Decoder-Only Financial Sequence Modeling
[arXiv] 2026-07-15 | Modified Family-Vicsek Scaling and Probability Distributions for Brownian Castle Interfaces
[arXiv] 2026-07-15 | Partially Correlated Verifier Cascades in LLM Harnesses: Concave Log-Odds, Polynomial Reliability, and Blind-Spot Ceilings
[arXiv] 2026-07-15 | Detecting unusual trading patterns on cryptocurrency exchanges by means of complexity measures
[arXiv] 2026-07-15 | Long-Baseline VLF Observations of Solar Flares from Antarctica
[arXiv] 2026-07-15 | Testing string theory with combined cosmological probes: a case study for dark matter gravitons
[arXiv] 2026-07-15 | A Homogeneous Spectroscopic and Evolutionary Study of cool HgMn and hot Metallic A Stars
[arXiv] 2026-07-15 | AIMO Interpretability Challenge
[arXiv] 2026-07-15 | RF Spectrogram Anomaly Detection with Quantum Kitchen Sinks: Architecture, Representation, and Hardware Validation
[arXiv] 2026-07-15 | Chemical short-range order controls deformation pathways in a complex concentrated alloy
[arXiv] 2026-07-15 | Feedback vertex sets in oriented graphs
[arXiv] 2026-07-15 | Revealing the MoS2 Growth Mechanism in Chemical Vapor Deposition: Real-Time Imaging and Statistical Analysis
[arXiv] 2026-07-15 | Realization and manipulation of spiral charge density waves in a two-dimensional metal
[arXiv] 2026-07-15 | AI-Augmented Adaptive Digital Twin Modeling for Brain Tumor Evolution Prediction and Treatment Scheduling
[arXiv] 2026-07-15 | Mapping Dust Attenuation at Kiloparsec Scales. IV. A Dust-model Interpretation of Attenuation Curves in Nearby Galaxies
[arXiv] 2026-07-15 | Evaluation of State-of-the-Art Deep Learning Architectures for Aerodynamical Predictions
[arXiv] 2026-07-15 | Clique spectral extremal problem on disjoint color-critical graphs
[arXiv] 2026-07-15 | Induced CFJ Term in nonlocal Lorentz-Violating QED: Natural Regularization from Entire Dirac Operators
[arXiv] 2026-07-15 | First-principles Study of Structural and Electronic Properties of Mn-doped Cu2NiXY4 (X=Sn, Ge, Si; Y=S, Se) Chalcogenide Semiconductors
[arXiv] 2026-07-15 | AI-Augmented Human Resource Management? Insights from German companies
[arXiv] 2026-07-15 | A Showcase of Using the Partial-Structure R1 to Assemble Small-Molecule Crystal Structures
[arXiv] 2026-07-15 | Pairs of commuting isometries via new core operator
[arXiv] 2026-07-15 | Learning Robust Execution in Robotic Manipulation with Agentic Reinforcement Learning
[arXiv] 2026-07-15 | Short-time parametrix for the Fokker--Planck semigroup and applications
[arXiv] 2026-07-15 | On the Vanishing Viscosity and Magnetic Diffusion Limit for Incompressible Magnetohydrodynamics
[arXiv] 2026-07-15 | TCAM-Diff: Triplane-Aware Cross-Attention Medical Diffusion Model
[arXiv] 2026-07-15 | Global regularity of temperature patches for the 3D non-diffusive Boussinesq system with large Prandtl number
[arXiv] 2026-07-15 | Parallel gradient boosting for flexible estimation of conditional distributions
[arXiv] 2026-07-15 | Infinite horizon stochastic optimal control with sign-changing discount factor
[arXiv] 2026-07-15 | Clustering algorithms for multivariate wind farm SCADA data filtering
[arXiv] 2026-07-15 | Transformer is All You Need: Attention-Based Anomaly Detection and Classification in Inverter-Rich Power Systems
[arXiv] 2026-07-15 | Ripple: An Open, AI-Formalized Lean 4 Framework for Computing with CRNs
[arXiv] 2026-07-15 | Intuitionistic Dynamic Logic
[arXiv] 2026-07-15 | Hardness of Vertex Splitting: Cographs, Chordal Graphs, and Beyond
[arXiv] 2026-07-15 | TRACE-PCa: Predicting Prostate Cancer Progression from Longitudinal MRI During Active Surveillance
[arXiv] 2026-07-15 | M2P-AD: Memory-to-Prototype Learning with Boundary-aware Score Refinement for 3D Anomaly Detection
[arXiv] 2026-07-15 | Factorized Spectral Representations for Reinforcement Learning
[arXiv] 2026-07-15 | Norm-Cone Conjugation and Fenchel-Type Duality Beyond Convexity
[arXiv] 2026-07-15 | Testing the Transverse Scalar Mode of Gravitational Quantum Field Theory with Taiji and LISA
[arXiv] 2026-07-15 | Compositional Zero-Shot Recognition based on Tangent Space Disentanglement for Composite Modulation Signals
[arXiv] 2026-07-15 | Joint On-and-Off Policy Learning for Vision-and-Language Navigation
[arXiv] 2026-07-15 | LPM: Industrial-Scale Generative Video Restoration
[arXiv] 2026-07-15 | Reverse to Advance: Teleoperation-Cost Effective Hard Policy Learning from Reversed Easy Tasks
[arXiv] 2026-07-15 | Nonlinear Hodge correspondence for morphisms
[arXiv] 2026-07-15 | Deterministic single-electron trapping on solid neon using engineered dielectric surface geometry
[arXiv] 2026-07-15 | Periodicities in the Riordan arrays of polynomials over finite fields
[arXiv] 2026-07-15 | DREA: Decoupled Reasoning and Exploration Agents for Repository-Level Vulnerability Detection
[arXiv] 2026-07-15 | Local Redundancy: An Information-Theoretic Measure of Plasticity from Synthetic Memorization
[arXiv] 2026-07-15 | Generalizable VLA Finetuning via Representation Anchoring and Language-Action Alignment
[arXiv] 2026-07-15 | Suppressing Detuning-Induced Bias in Ramsey Magnetometry with Composite Pulses
[arXiv] 2026-07-15 | Can We Steer the Black-Box? Towards Controllability-Centric Evaluation of Recommender Systems with Collaborative Agents
[arXiv] 2026-07-15 | Is the Statistical Advantage Worth the Cost? An Empirical Comparison of KANs and MLPs for Structured Data Classification
[arXiv] 2026-07-15 | From Interpretation to Compilation: Compilation-Based Execution of Semantic Operators [Vision]
[arXiv] 2026-07-15 | Min-Max Regret Task Allocation and Planning of Heterogeneous Multi-Robot System in Partially Known Environments
[arXiv] 2026-07-15 | Total variation cutoff for Kac's walk on the sphere
[arXiv] 2026-07-15 | Dirac topology, anomalous Hall response, and giant magnetoresistance in carrier-compensated altermagnetic semimetal NiS
[arXiv] 2026-07-15 | The Café in Amsterdam: When the Incumbent Becomes the Oracle
[arXiv] 2026-07-15 | Boronization-enabled I-mode on EAST tokamak with an expanded density window and favorable-configuration access
[arXiv] 2026-07-15 | FM$^2$: Unified Federated Foundation Models for Heterogeneous Multimodal Medical Imaging
[arXiv] 2026-07-15 | Quantitative Propagation of Chaos and Fluctuations for Kinetic McKean--Vlasov SDEs with Singular Interaction Kernels
[arXiv] 2026-07-15 | The Sample Pre-selection and Characterization Station at the SECUF: Instrumentation, Capabilities, and Representative Scientific Achievements
[arXiv] 2026-07-15 | Direct Imaging of Temperature Evolution of Polar Nanoregions and Chemically Ordered Regions in PMN Relaxor: Evidence for Polar Phase Percolation
[arXiv] 2026-07-15 | Probing the Orientation Distribution of Nearby Double White Dwarfs through Gravitational Waves with LISA
[arXiv] 2026-07-15 | Detector Confidence Signals Presence Rather Than Occlusion in Cluttered Manipulation
[arXiv] 2026-07-15 | Learning Latency-Aware Orchestration for Multi-Agent Systems
[arXiv] 2026-07-15 | The Refusal Residue: When Probes Catch Alignment Faking and When They Don't
[arXiv] 2026-07-15 | EZSMT Version 3, Matured
[arXiv] 2026-07-15 | Traffic-Aware Randomized Smoothing for LLM-Based Network Intrusion Detection
[arXiv] 2026-07-15 | Reflation: redox-driven atmospheric inflation as tracer of super-Earth geochemistry
[arXiv] 2026-07-15 | EgoProceVQA: A Novel Egocentric Procedural Understanding Task with Self-Skill-Exploration Agent
[arXiv] 2026-07-15 | Accurate Solvation Properties in supercritical CO$_2$ with Molecular Density Functional Theory
[arXiv] 2026-07-15 | Perturbative algebraic quantum field theory with smoothened boundary
[arXiv] 2026-07-15 | S-CARD-CMSA: A Score-Aware Candidate Archive with Density-Filtered Reporting for Multimodal Optimization
[arXiv] 2026-07-15 | Precoding-based protocols for entanglement assisted linear computation over a quantum many-to-one network
[arXiv] 2026-07-15 | Design and Analysis of a Higher-Order Enhanced Phase-Locked Loop via the Ahmadi-Chaudhry-Zhang Newton Framework
[arXiv] 2026-07-15 | Transformation Semigroup Perspective on the Magma Monoid
[arXiv] 2026-07-15 | Predicting BESS Degradation with Uncertainty Quantification: A Probabilistic Framework for Battery Energy Storage Systems
[arXiv] 2026-07-15 | Barnamala: Parameter-Efficient Handwritten Devanagari Recognition at Benchmark Saturation
[arXiv] 2026-07-15 | Towards a joint X-ray and gamma-ray analysis of Pulsar Wind Nebulae with Gammapy
[arXiv] 2026-07-15 | Optimal and Efficient Contextual Combinatorial Semi-bandits with General Function Approximation
[arXiv] 2026-07-15 | Self-Evolving Agent Harnesses via Gated Semantic Quality-Diversity
[arXiv] 2026-07-15 | Dual-pulse micronozzle acceleration of sub-GeV-class protons
[arXiv] 2026-07-15 | Spectral and Additive Combinatorial Methods for Cycles and Absorbing Sets in Lifted-Product Quantum LDPC Codes
[arXiv] 2026-07-15 | Exploratory, Communicative, and Deployable: Vision-Driven Embodied Agents for Open-World Mobile Manipulation
[arXiv] 2026-07-15 | A Distributed Framework for Compiling and Reasoning with d-DNNF
[arXiv] 2026-07-15 | Advanced Techniques in Stability Analysis of Trans-Neptunian Objects
[arXiv] 2026-07-15 | VIP-MINGLE: A Corpus for Videoconference and In-Person Multimodal Interaction in Group Language Engagement
[arXiv] 2026-07-15 | Parity-Lifted Radiative Degeneracy: Orthogonal Dipoles over Parallel Dipoles in Achiral Dielectric Cavities
[arXiv] 2026-07-15 | Analogical Deep Research: Retrieving and Integrating Historical Analogies for Foresight Analysis
[arXiv] 2026-07-15 | Protective Capacity Hallucination: When Large Language Models Claim Nonexistent Capabilities
[arXiv] 2026-07-15 | Characterization and Construction of Pairwise Orthogonal Parseval Frames with Applications to Sampling
[arXiv] 2026-07-15 | Optimal Non-Binary Single-Track Gray Code
[arXiv] 2026-07-15 | From Prediction to Collaboration: Interactive Symbolic Music Analysis
[arXiv] 2026-07-15 | UniPhysGen: Unified Physical Grounding for Simulation-Ready 3D Assets
[arXiv] 2026-07-15 | Quantum-classical crossover in finite spin-1/2 rings with Dzyaloshinsky-Moriya interaction
[arXiv] 2026-07-15 | UTS at ELOQUENT 2026 Voight-Kampff: structural shifts in AI writing bypass state-of-the-art detectors
[arXiv] 2026-07-15 | Emergent induction in magnetic Weyl semimetals
[arXiv] 2026-07-15 | Multi-Agent Collaborative Reasoning with Tool-Augmented Evidence for Urban Region Profiling
[arXiv] 2026-07-15 | Greedy Volume Maximization of Gradient Embeddings for Long-Tailed Frame-Level Bioacoustic Active Learning
[arXiv] 2026-07-15 | Renormalizing a three-flavor lattice calculation of the two-photon contribution to $K_L\toμ^+μ^-$
[arXiv] 2026-07-15 | Excluding paths and bicliques
[arXiv] 2026-07-15 | AgentCompass: A Unified Evaluation Infrastructure for Agent Capabilities
[arXiv] 2026-07-15 | DeepLoop: Depth Scaling for Looped Transformers
[arXiv] 2026-07-15 | Generative Compilation: On-the-Fly Compiler Feedback as AI Generates Code
[arXiv] 2026-07-15 | An Epidemic Threshold Set for Networks
[arXiv] 2026-07-15 | PhysClaw-0: A Symbiotic Agentic System for Robot Autonomy via Language Corrections
[arXiv] 2026-07-15 | LLMs for Qualitative and Mixed-Methods Social Network Analysis
[arXiv] 2026-07-15 | Electric field controlled spin transport in a topological insulator interfaced with a ferroelectric antiferromagnet
[arXiv] 2026-07-15 | The Lean Number of a Hypergraph
[arXiv] 2026-07-15 | Activity Regeneration from Silent States in Neuronal Networks with Transient Synaptic Memory
[arXiv] 2026-07-15 | Agent Skill Security: Threat Models, Attacks, Defenses, and Evaluation
[arXiv] 2026-07-15 | Magneto-optical hologram lens with microsecond focal switching in magnetic garnet
[arXiv] 2026-07-15 | Multimodal Empirical Bayes Variational Autoencoders for Joint Longitudinal and Time-to-Event Modeling
[arXiv] 2026-07-15 | Using superpixels for interpretable feature reduction in large 2D diffraction datasets
[arXiv] 2026-07-15 | Associated gradients: connection to conservative fields and application
[arXiv] 2026-07-15 | GigaWorld-Policy-0.5: A Faster and Stronger WAM Empowered by AutoResearch
[arXiv] 2026-07-15 | Metamorphosis of transition between states of limit cycle oscillations in aeroacoustic system
[arXiv] 2026-07-15 | PlumeQuant: Uncertainty-aware consistency assessment of methane plume masks and emission-rate estimates
[arXiv] 2026-07-15 | HORCRUX: A Complete PQC RISC-V eXtension Architecture
[arXiv] 2026-07-15 | A novel unsupervised machine learning strategy to handle multimodal cardiac PET/MRI data
[arXiv] 2026-07-15 | SIVA-RL: Sensitivity-Invariance Visual Alignment for Multimodal Reinforcement Learning
[arXiv] 2026-07-15 | S-squared-VLA: Decoupling Semantic and Spatial Streams in Vision-Language-Action Models for Autonomous Driving
[arXiv] 2026-07-15 | Thresholded Cross-Attention for Reliable Intensity-Chromaticity Fusion in Low-Light Image Enhancement
[arXiv] 2026-07-15 | An Efficient Newton Algorithm for Nonnegative Matrix Factorization with the Kullback-Leibler Divergence
[arXiv] 2026-07-15 | Solid-State NMR Dipolar Recoupling in Presence of Large Chemical Shielding Anisotropies by Quaternion-Based Effective Hamiltonian Optimal Control
[arXiv] 2026-07-15 | Hybrid Time-Frequency Domain Frequency Offset Compensation Under GHz Doppler Shift for LEO Satellite-to-Ground Coherent Free-Space Optical Communication
[arXiv] 2026-07-15 | An Order-One Lower Bound on the Error of Scalable Generalized Multiscale Finite Element Space Constructions
[arXiv] 2026-07-15 | Relevance-Aware Rule: Structural Deletion of Irrelevant Conditions in Decision Trees
[arXiv] 2026-07-15 | Cradle of Life: From the Formation of Stars to Habitable Worlds with the SKAO
[arXiv] 2026-07-15 | Condition for $1/f$ noise to occur along with an example for a diffusion equation
[arXiv] 2026-07-15 | Heavy-Tailed Flow Matching via Random Clocks
[arXiv] 2026-07-15 | Neural-network-based material identification in photon-counting computed tomography using region-of-interest spectral features
[arXiv] 2026-07-15 | Inherent interpretability provides inherent value in quantum machine learning
[arXiv] 2026-07-15 | Multimodal Assessment of Pancreatic Cancer Resectability Using Deep Learning
[arXiv] 2026-07-15 | Revisiting column subset selection through the lens of submodularity
[arXiv] 2026-07-15 | The Replication Assessment Problem in Software Engineering
[arXiv] 2026-07-15 | Strict Lyapunov function for the one-dimensional linear wave equation with a locally distributed damping
[arXiv] 2026-07-15 | Bayesian Risk Preference Persuasion
[arXiv] 2026-07-15 | Bake It Till You Make It: Ultrafast Spatial Texture-Atlas Splatting
[arXiv] 2026-07-15 | Persona Migration and Expectation Recalibration in Generative AI Adoption: A Longitudinal Study at a State Department of Transportation
[arXiv] 2026-07-15 | Mapping recrystallization trajectories in GaAs using latent space diffraction analysis
[arXiv] 2026-07-15 | Recovery of coefficients for a convection-diffusion equation from partial data
[arXiv] 2026-07-15 | A phase transition in the exactness of the NPA hierarchy at the critical doubly-tilted CHSH functional
[arXiv] 2026-07-15 | PriEval-Protect: A Unified Framework for Privacy Evaluation and Protection in Healthcare Systems
[arXiv] 2026-07-15 | Solid-state gravitational-wave detectors at GHz frequencies: the search for the primordial stochastic GW background and light primordial black hole binaries
[arXiv] 2026-07-15 | Adaptive optics imaging of the nuclei of Seyfert 2 galaxies: An unexpectedly high incidence of nuclear stellar rings
[arXiv] 2026-07-15 | Constraint-Driven Model Optimization: An Industry Framework for Selecting Compression and Acceleration Techniques in Modern Machine Learning Systems
[arXiv] 2026-07-15 | Comprehensive, Efficient Large-Scale Community Detection via Structural Entropy Game
[arXiv] 2026-07-15 | Global well-posedness of strong solutions to a model for the morning glory cloud
[arXiv] 2026-07-15 | nuTruck: Benchmarking Autonomous Driving Planning for Distributed Electric-drive Trucks
[arXiv] 2026-07-15 | Conditional Invertible Neural Networks for Data-Driven UAV Control: A 2-D Proof of Concept
[arXiv] 2026-07-15 | Machine learning development for quantum computing and neutrino physics
[arXiv] 2026-07-15 | Towards a Modular Bin-picking Framework for Handling Object Pose Uncertainties
[arXiv] 2026-07-15 | Anatomy of Uncertainty: Expressive Descriptors of Robotic Manipulator Motion for Non-verbal Communication in Human-Robot Collaboration
[arXiv] 2026-07-15 | Towards Spatial Supersensing in the Wild
[arXiv] 2026-07-15 | On the existence and non-existence of centres of mass on Hilbert spheres
[arXiv] 2026-07-15 | A de Sitter Anti-Scrambling Algebra
[arXiv] 2026-07-15 | FreeLit: Paired-Free Indoor Relighting via Physics-Guided Diffusion
[arXiv] 2026-07-15 | Calming traffic in unsignalized bidirectional streets by introducing one-lane bottlenecks
[arXiv] 2026-07-15 | Design and Control of the "QuadBoat": A Quadruped Surface Vehicle for Drowning Rescue
[arXiv] 2026-07-15 | Research progress in high-pressure tuning of layered magnetic materials
[arXiv] 2026-07-15 | How the Hessian-Spectrum of Neural Networks Depends on Data
[arXiv] 2026-07-15 | Representability of systems of proportionally modular numerical semigroups
[arXiv] 2026-07-15 | STOCKTAKE: Measuring the Gap Between Perception and Action in LLM Agents with a Fair Oracle
[arXiv] 2026-07-15 | Opinion Formation in a Spatially Constrained Coevolving Nonlinear Voter Model
[arXiv] 2026-07-15 | Error Analysis of a Fully-Discrete Implicit $θ$-Scheme with WG-FEM for Parabolic Singularly Perturbed Boundary Turning Point Problems
[arXiv] 2026-07-15 | Wetting effects on the dynamics of droplets and bubbles at surfaces
[arXiv] 2026-07-15 | Visual Place Recognition Using Rate-Encoded Spiking Neural Networks with Discrete STDP Learning
[arXiv] 2026-07-15 | On the Blockage Effect in Pinching-Antenna Systems (PASS)
[arXiv] 2026-07-15 | Trees with exactly three main eigenvalues
[arXiv] 2026-07-15 | Cover First, Disagree Softly: Rethinking Mismatch-First Active Learning for Frame-Level Audio Classification
[arXiv] 2026-07-15 | Spectral-Informed Neural Networks Outperform Spectral Methods in High-dimensional PDEs
[arXiv] 2026-07-15 | Flow-aware Optimal Navigation in Unsteady Flows through Reinforcement Learning
[arXiv] 2026-07-15 | SaNDi-SHoP: Searching for Satellites'N'Disks with a Star-Hopping Program II. Spectrophotometric analysis and orbital monitoring of directly imaged companions
[arXiv] 2026-07-15 | Imprinting topology on thermal light
[arXiv] 2026-07-15 | ThinkBLOX: 3D Indoor Scene Generation with Progressive Reasoning
[arXiv] 2026-07-15 | Spectral extremal problems on planar and outerplanar graphs without $C_{k,l}
[arXiv] 2026-07-15 | Ion-Scale Current Sheets Embedded in Reconnection Jet Shear Layer of the Near-Sun Heliospheric Current Sheet
[arXiv] 2026-07-15 | SRB Measures for $C^{1+\mathrm{Dini}}$ Diffeomorphisms
[arXiv] 2026-07-15 | $r$-Minimal Poset Codes
[arXiv] 2026-07-15 | DriveFace: A Cross-Spectral Through-Glass Face Dataset for On-the-Move Vehicular Border Control
[arXiv] 2026-07-15 | Exploring the Alignment of Generation and Understanding in Protein Structure Modeling
[arXiv] 2026-07-15 | A complete curve of genus 105 in the moduli space of curves of genus 3
[arXiv] 2026-07-15 | On the Second Moment of $ L (1/2, \mathrm{As}(f) \times φ)$
[arXiv] 2026-07-15 | Posterior-Confidence Driven Beamforming for Energy-Efficient Integrated Sensing and Communication
[arXiv] 2026-07-15 | GeoAnchor: Collaborative Reasoning via Latent Decomposition for 3D Spatial Understanding
[arXiv] 2026-07-15 | Symbiosis-Inspired Knowledge Distillation for Incremental Object Detection
[arXiv] 2026-07-15 | Involutions of (twisted) diagram monoids
[arXiv] 2026-07-15 | Hubbard-assisted stability of Hatsugai-Kohmoto correlations in a one-dimensional open chain
[arXiv] 2026-07-15 | Data-Efficient Adaptation of LLMs via Attention Head Reweighting
[arXiv] 2026-07-15 | Temperature Scaling Is Not Enough: Calibration Gaps Under Human Label Distributions
[arXiv] 2026-07-15 | OrDA: Orthogonal Disentanglement of Access Habits Framework for Homepage Marketing Block Recommendations
[arXiv] 2026-07-15 | Parametric Diffraction-Based Object Sensing: Modeling, Estimation, and Fundamental Limits
[arXiv] 2026-07-15 | EXPLORE: Exploration with Guided Search for Analog Topology Generation using Language Models
[arXiv] 2026-07-15 | Improving Text-to-Audio Instruction Following via Fine-Grained Feedback from Audio-Aware Large Language Models
[arXiv] 2026-07-15 | Deterministic Quantum Phase Estimation with Linear Circuit Complexity in a Photonic System
[arXiv] 2026-07-15 | Price of Fairness in Bandits: A Tight Minimax Characterization
[arXiv] 2026-07-15 | Geometric analysis on rhombus torus: Green function with two singularities
[arXiv] 2026-07-15 | The nonequilibrium statistical mechanics of Markov interacting particles
[arXiv] 2026-07-15 | A Loewner-Theoretic Approach to the Nonlinear Generalized Langevin Equation: The Role of Entropy in Colored Noise Environment
[arXiv] 2026-07-15 | Hager-Zhang Conjugate Gradient Method for Set Optimization with Set-Valued Objective Map of Finite Cardinality
[arXiv] 2026-07-15 | Weight Feedback Computes the Jacobian Transpose Locally in Modern Deep Networks
[arXiv] 2026-07-15 | Fair on the Surface: Transaction-Ordering Bias and MEV in Mysticeti DAG-based BFT Protocol
[arXiv] 2026-07-15 | A POS Tier Is the Key to Automated Annotation for Low-Resource Language Documentation: Neural Interlinear Glossing for Irabu, a Southern Ryukyuan Language
[arXiv] 2026-07-15 | RoughNet: Mapping Arctic Sea Ice Roughness Using Diffusion-Based Super-Resolution of Satellite Imagery
[arXiv] 2026-07-15 | Learning Engagement Assistant (LEA): Cross-Course Scalability and Classroom Evaluation of an Agentic AI Tutoring System
[arXiv] 2026-07-15 | xChk: Bring Your Own Identity -- Heterogeneous Assurance with Verifier-Determined Sufficiency
