[2026-09-03 23:48:17] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-02
正在获取论文...
[arXiv] 2026-09-02 | A Survey of Decentralized Physical Infrastructure Network,Research Directions, and Open Challenges
[arXiv] 2026-09-02 | Localization and Abelianization of Strings on Group Manifolds: The Simply Connected Case
[arXiv] 2026-09-02 | On the Duality between Feature and Sample Screening
[arXiv] 2026-09-02 | Coverage, Not Targeting: A Structural Regime in Multi-Turn Agent Credit Assignment
[arXiv] 2026-09-02 | WildFab: Multi-Axis 3D Printing from Models in the Wild
[arXiv] 2026-09-02 | Super $K$-theory and group completion
[arXiv] 2026-09-02 | CHARA/SPICA: The six-telescope visible combiner and near-infrared fringe tracker for the CHARA Array
[arXiv] 2026-09-02 | Evidence for Shared Routing Geometry and Dynamics in Sparse Mixture-of-Experts
[arXiv] 2026-09-02 | Multiplicity of Cool Stars and their Evolution
[arXiv] 2026-09-02 | Searching for optical pulsations from spider millisecond pulsars with the fast photometer SiFAP2
[arXiv] 2026-09-02 | Large values of cubic and quartic Dirichlet $L$-functions of prime moduli
[arXiv] 2026-09-02 | The Class Edge-Reconstruction Number of a Maximal Planar Graph Is One or Two
[arXiv] 2026-09-02 | Connectivity Oracles Under Vertex Failures via a Simple and Fast Low-Degree Steiner Forest Decomposition
[arXiv] 2026-09-02 | ProSR: Semantic-Prototype-Guided Discrete Modeling for Physically Consistent SAR Super-Resolution
[arXiv] 2026-09-02 | Removing Speech, Keeping Activities: A Privacy Firewall for Acoustic Sensing in Assisted Living
[arXiv] 2026-09-02 | Atlas: Algorithm-Hardware Co-Design for On-Device City-Scale 3D Gaussian Splatting in VR
[arXiv] 2026-09-02 | GlyphAnchor: Enhancing Visual Text Rendering via Position-Anchored Glyph Priors
[arXiv] 2026-09-02 | Regularised double shuffle relations for planar Arborified Zeta Values
[arXiv] 2026-09-02 | A simple derivation of the Kalman filter
[arXiv] 2026-09-02 | Distribution amplitudes of vector and axial-vector mesons in a nonperturbatively improved symmetry-preserving framework
[arXiv] 2026-09-02 | Adaptive Test-Time Inference for Text2Cypher with Trace Budgeting and Selective Refinement
[arXiv] 2026-09-02 | YesTrack: Referring Multi-Object Tracking via MLLM-based Yes/No Verification
[arXiv] 2026-09-02 | DiffIE: Diffusion-based Open Information Extraction
[arXiv] 2026-09-02 | Analytic rigidity and symbolic dynamics for two-centre billiards
[arXiv] 2026-09-02 | Contact-Constrained Lower-Limb Joint-Offset Calibration for Humanoid Robots
[arXiv] 2026-09-02 | Genuine Information Needs of Social Scientists Looking for Data
[arXiv] 2026-09-02 | Agentic UE-CoMIMO for 6G Terminals: From Virtual Antenna Augmentation to AI-Native Virtualization
[arXiv] 2026-09-02 | The trapezoid comparison inequality in metric spaces with curvature bounded above
[arXiv] 2026-09-02 | Auditory Illusion Benchmark for Large Audio Language Models
[arXiv] 2026-09-02 | Codebook Agent: Amortized Topology Design for LLM Multi-Agent Systems
[arXiv] 2026-09-02 | Searching for Gravitational Wave Events Counterparts in X-Rays by Tilting the Multiple Shells of Wolter-I Optics
[arXiv] 2026-09-02 | Mus siliconus: A Neuro-Musculoskeletal Digital Twin of the Mouse Integrating Neural Dynamics, Biomechanics, and Tactile Sensing
[arXiv] 2026-09-02 | Similarity-Aware Personalized Federated Learning in Heterogeneous Environments
[arXiv] 2026-09-02 | Federated Learning on the American Science Cloud using APPFL
[arXiv] 2026-09-02 | Asymmetric Paired-Annotation Learning for Multi-Structure ULF Pediatric Brain MRI Segmentation
[arXiv] 2026-09-02 | Examining the Vulnerability of Multi-Agent Medical Systems to Human Interventions for Clinical Reasoning
[arXiv] 2026-09-02 | Error estimate of the nonuniform BDF3-L2 method for subdiffusion equations via multiscale solution decomposition
[arXiv] 2026-09-02 | Prosumer Synchronisation Risk: Impacts of Time-Varying Tariffs on Distribution Network Expansion
[arXiv] 2026-09-02 | Towards Effective Physical Reservoir Computing with a Pneumatic Soft Robot
[arXiv] 2026-09-02 | The higher-dimensional Shepp problem: an exact criterion for random ball coverings of tori
[arXiv] 2026-09-02 | WiP: Characterizing and Defending Against Mobile-Agent-Driven MFA Automation
[arXiv] 2026-09-02 | HyperMC: Multi-Fidelity Hyperparameter Tuning for Stochastic Gradient MCMC
[arXiv] 2026-09-02 | Constraint-Preserving Genetic Algorithms for Embedding Linear Codes into Self-Orthogonal Codes
[arXiv] 2026-09-02 | C$^{3}$T: Counterfactual Causal Reasoning for Sentiment Shifts in Social-Media Conversation Trees
[arXiv] 2026-09-02 | Bridging the local and the global: a physically constrained buoyancy--drag model for unified prediction of Rayleigh--Taylor and Richtmyer--Meshkov mixing widths across density ratios
[arXiv] 2026-09-02 | The universal moduli space of non-degenerate $\mathbb{Z}/2\mathbb{Z}$ harmonic spinors
[arXiv] 2026-09-02 | Maximizing the fundamental Laplace--Neumann eigenvalue on quadrilaterals
[arXiv] 2026-09-02 | Graph Machine: Towards Better Pretraining via Edges
[arXiv] 2026-09-02 | Approximately Efficient Multidimensional Bilateral Trade
[arXiv] 2026-09-02 | Towards Trustworthy Autonomous Robots: An Explainable AI-Based Decision Framework
[arXiv] 2026-09-02 | User Feedback Provides a Unique Signal that LLMs Can not Detect
[arXiv] 2026-09-02 | LHAASO-WCDA observed a $\sim$ 5 days TeV-delayed flaring event in blazar 1ES 1959+650
[arXiv] 2026-09-02 | Exponential speedup of polarization stabilization for long distance DWDM quantum networks
[arXiv] 2026-09-02 | Efficient All-in-One Weather Restoration using Spectral Harmonization
[arXiv] 2026-09-02 | Understanding Automatic Mixing: A Subtask-Oriented Analysis of Two-Stage Mixing System
[arXiv] 2026-09-02 | Adelic points and unmramified Brauer approximation for classifying stacks
[arXiv] 2026-09-02 | Cliff: Learning Process Rewards from the First Mistake
[arXiv] 2026-09-02 | Zero-damped modes of near-extremal Reissner--Nordström black holes from exact WKB
[arXiv] 2026-09-02 | A Peccei--Quinn Origin for Inelastic Electroweak Dark Matter after LUX-ZEPLIN
[arXiv] 2026-09-02 | Large Language Models (LLMs) for Telecom Root Cause Analysis (RCA): A Structured Reasoning Framework for Evidence-Grounded Diagnosis
[arXiv] 2026-09-02 | DiscoSign: Discourse-Aware Text to Sign Language Gloss Translation
[arXiv] 2026-09-02 | MadSpin2: automated spin-entangled decays of heavy resonances via the spin-density matrix formalism
[arXiv] 2026-09-02 | Phonon-limited detection thresholds for genetically encoded fluorescent-protein spin-qubit relaxometry of neural radicals
[arXiv] 2026-09-02 | Type Hints in Python Libraries and Frameworks: An Empirical Analysis of Adoption and Maintenance
[arXiv] 2026-09-02 | CodePoisonRAG: Knowledge Poisoning Attacks on Retrieval-Augmented Code Generation
[arXiv] 2026-09-02 | Do Tabular Foundation Models Know Physics? Contamination, Units, and the Deterministic Limit
[arXiv] 2026-09-02 | Next-to-leading order QCD corrections to fully charm tetraquark hadronic decay
[arXiv] 2026-09-02 | Next-to-Leading-Order Multi-Jet Merging of Higgs Boson Production via Vector Boson Fusion in the Presence of Anomalous Couplings
[arXiv] 2026-09-02 | Repo-To-Skill: Distilling GitHub Repositories Into AI4AI Skills
[arXiv] 2026-09-02 | Fundamental Limits of Adaptive Stabilization with an Unknown Growth Exponent
[arXiv] 2026-09-02 | Prediction emerges in RNNs trained for perception
[arXiv] 2026-09-02 | BuildOcc: A Large Language Model Occupant Agent Platform for Building Energy Research
[arXiv] 2026-09-02 | Effective quasiparticle conserving Lindbladians in the thermodynamic limit
[arXiv] 2026-09-02 | Large Language Model-Driven Context-Aware Eco-Feedback Generation and Evaluation
[arXiv] 2026-09-02 | MV-dVRK: A Multi-Viewpoint Benchmark for Spatial Surgical Perception
[arXiv] 2026-09-02 | Card-Based Computation in the Virtual Player Simulation Model
[arXiv] 2026-09-02 | A viscoelastic theory for ultrasound-induced intracellular streaming
[arXiv] 2026-09-02 | Quantum Meta-Complexity Is All You Need: Characterizing One-Way Puzzles via Time-Bounded Kolmogorov Complexity
[arXiv] 2026-09-02 | LDP for Tensor Forms
[arXiv] 2026-09-02 | Eliciting ESG Preferences for Reinforcement Learning-Based Portfolio Optimization
[arXiv] 2026-09-02 | oHC: Orthogonal Hyper-Connections on SO(4) via Quaternions
[arXiv] 2026-09-02 | Topological Lithography via External Field: Creating Topological States Anywhere Beyond the Edge
[arXiv] 2026-09-02 | Decoupling Disaggregated Memory Optimizations from Indexing: A Compiler-Runtime Approach
[arXiv] 2026-09-02 | Feeding The Little Monster: An Accreting Intermediate-Mass Black Hole In A Minor Merger Secondary Galaxy
[arXiv] 2026-09-02 | Survival in a partially reactive wedge
[arXiv] 2026-09-02 | Intuitionistic Unitary Linear Logic: A Proof-Theoretical Approach to Purely Quantum Higher-Order
[arXiv] 2026-09-02 | Dynamical stabilisation of a quantum fluid using a single topological defect
[arXiv] 2026-09-02 | Charged black-hole binary radiation at second post-Newtonian order
[arXiv] 2026-09-02 | Gravitational Imprints of Axion Clouds on Black-Hole Orbital Dynamics
[arXiv] 2026-09-02 | Can diffuse X-rays be important in driving photoionisation in molecular clouds?
[arXiv] 2026-09-02 | Rethinking the Teacher-Student Framework for Test-Time Adaptation
[arXiv] 2026-09-02 | Demonstrating the Time-Domain Capabilities of the 4-m International Liquid Mirror Telescope: An Early Census of Transient and Variable Detections
[arXiv] 2026-09-02 | Decoding Oxygen K-edge Fingerprints of NCM-811 Degradation via Ab Initio Many-Body Theory and High-Throughput Screening of Crystal Proxies
[arXiv] 2026-09-02 | ACLE-MCP: Attested Capability Leases for Execution-Time Trust in Remote LLM Tool Use
[arXiv] 2026-09-02 | Noncommutative majorization
[arXiv] 2026-09-02 | A stable rank-adaptive step-and-truncate finite volume method for Vlasov transport on domains with piecewise linear boundaries
[arXiv] 2026-09-02 | Logarithmic-scale variational quantum eigensolver for off-lattice protein structure prediction in continuous torsional angle space
[arXiv] 2026-09-02 | RINSE: Robust Target-Time Normality Estimation for Zero-Shot Graph Anomaly Detection
[arXiv] 2026-09-02 | PolERo: Studying Political Evasion in Romanian
[arXiv] 2026-09-02 | Entanglement, anti-flatness, and nonlocal nonstabilizerness: a unified perspective from entanglement spectrum
[arXiv] 2026-09-02 | Robin counting functions on cuboids in the critical scaling regime
[arXiv] 2026-09-02 | The frame set of the first Hermite function
[arXiv] 2026-09-02 | Geometry-dependent rank defect in $C^1$ cubic spline space
[arXiv] 2026-09-02 | Almost Envy-Freeness for Additive Mixed Manna with Entitlements: Deterministic and Randomized Guarantees
[arXiv] 2026-09-02 | Engineering of Non-Hermitian Trajectories and Phase Structure in an Open Bose-Hubbard Model via Rate Operator Transformations
[arXiv] 2026-09-02 | Asymptotic mean value Laplacian on equiregular sub-Riemannian manifolds
[arXiv] 2026-09-02 | Oracle, will I ever learn? A study of prediction convergence and complementarity across link prediction models
[arXiv] 2026-09-02 | Comparison principles and symmetry for subquadratic fractional $p$-Laplacian equations
[arXiv] 2026-09-02 | Programming anharmonic potentials in a superconducting harmonic oscillator
[arXiv] 2026-09-02 | Kinetic Fokker--Planck Equations with Drifts in a Supercritical Range
[arXiv] 2026-09-02 | A Common Measure of Communication for Speech Brain-Computer Interfaces
[arXiv] 2026-09-02 | Improved Gradient Descent Lower Bounds Beyond Nesterov
[arXiv] 2026-09-02 | Reduced order model for parametric Boltzmann equation and its application to inverse problems
[arXiv] 2026-09-02 | Neural operators approximate strongly continuous convex monotone semigroups
[arXiv] 2026-09-02 | A quantum oracle separation between QMA(2) and QMA
[arXiv] 2026-09-02 | TrunX: A massively parallel, differentiable implementation of the 3-PG forest growth model in JAX
[arXiv] 2026-09-02 | Latent Cluster Analysis for Vision-Language-Action Models
[arXiv] 2026-09-02 | An Affine Semigroup from Orbifold Boundary Conditions: cut, phylogenetic and hierarchical models in the unit-weight sector, and weighted configurations beyond them
[arXiv] 2026-09-02 | Economic Model Predictive Control with Policy-Guided Terminal Ingredients
[arXiv] 2026-09-02 | An Entanglement-Assisted Stabilizer Framework for Distributed Sensing of Local Phases
[arXiv] 2026-09-02 | Evidence-Guided Detection, Localization and Explanation for Text-Centric Image Forensics
[arXiv] 2026-09-02 | Efficient Screening Designs for Expensive Black-box Models with Qualitative and Quantitative Factors
[arXiv] 2026-09-02 | A Quantum Algorithm for the Radical of a Lie Algebra: Kernel Projection and Conditioning
[arXiv] 2026-09-02 | XMerge: Cross-Axis Selection and Reconstructive Layer Merging for LLM Depth Compression
[arXiv] 2026-09-02 | Turnpike properties in nonlinear system identification
[arXiv] 2026-09-02 | ToolGate: An Executable Acceptance Pipeline for Tool-Dependent Scientific Benchmark Construction
[arXiv] 2026-09-02 | Collective Onset of Matter-Induced Scalarization around a Black Hole with Two Thin Shells
[arXiv] 2026-09-02 | DocHop: Benchmarking Out-of-domain Multi-hop Reasoning in Information-Dense Documents
[arXiv] 2026-09-02 | Impact of nuclear triaxial deformation on electromagnetic fields in relativistic $^{129}\mathrm{Xe}+^{129}\mathrm{Xe}$ collisions
[arXiv] 2026-09-02 | Lower and upper bounds of Schur characters
[arXiv] 2026-09-02 | The Dynamics of Continuous Mixture Collapse in Language Models
[arXiv] 2026-09-02 | Modeling What Changes: Sparse, Residual World Models for Object-Centric Manipulation
[arXiv] 2026-09-02 | Sparse $k$-AP Covering Sets and the Arithmetic Kakeya Conjecture
[arXiv] 2026-09-02 | A Hereditary Property of Cutting Plane Procedures
[arXiv] 2026-09-02 | Complete Topological Classification with P and T Symmetries: Revealing a Topological Invariant Invisible to K-Theory
[arXiv] 2026-09-02 | Spectral Analysis of Gram Matrices with Missing at Random Observations: Convergence, Central Limit Theorems, and Applications in Statistical Inference
[arXiv] 2026-09-02 | A negative answer to a question on tilting objects and two-term complexes
[arXiv] 2026-09-02 | How Output Format Confounds Data Quality and Capability in Instruction Tuning
[arXiv] 2026-09-02 | When Agents Implement Systems: A Case Study in Defects, Detection, and Evaluation Rigor
[arXiv] 2026-09-02 | Dual-Metric Partitioning with Adaptive Kernel Execution for Efficient GCN Acceleration
[arXiv] 2026-09-02 | Reconciling Kinesthetic Mismatches: A Somatic Alignment Mindset for Musical Body Transformation
[arXiv] 2026-09-02 | Generalized Foldy-Wouthuysen approach for the derivation of non-relativistic effective field theories
[arXiv] 2026-09-02 | ISAC with Co-Prime Arrays: Virtual-Aperture Sensing and uplink downlink communications
[arXiv] 2026-09-02 | Scalability in Simulating a Large-Aperture, Fresnel Zone Plate Lens for a Conceptual Space Telescope
[arXiv] 2026-09-02 | Exploring Breathing-Music Coupling: Using the Breathing Mirror for Somatic Reflection in Piano Performance
[arXiv] 2026-09-02 | Mesoscopic Light Localization and Inverse Participation Ratio Analysis of Tissue Structural Disorder for Optical Cancer Detection
[arXiv] 2026-09-02 | Network-Aware Forecasting on Wireless Access Points
[arXiv] 2026-09-02 | Scalable Direction-Following TTS via Voice Impression-Guided Pseudo Triplet Construction
[arXiv] 2026-09-02 | Automorphisms of Twisted Chevalley Groups of type ${}^2 A_3$ and ${}^2 A_4$ over Local Rings
[arXiv] 2026-09-02 | Dark Matter at the Kinematic Edge: Interpreting the 248 keV LZ Nuclear-Recoil Candidate
[arXiv] 2026-09-02 | $D\rightarrow π$ transitions from QCD Light-Cone Sum Rules with the chiral currents
[arXiv] 2026-09-02 | On the representation type of higher preprojective algebras of type $A$
[arXiv] 2026-09-02 | Directional Optimal Sub-Gamma Scales for Infinitely Divisible Laws
[arXiv] 2026-09-02 | Exceptional Topological Signatures of Non-Hermitian Photonic Hopf-Link Braids
[arXiv] 2026-09-02 | Learning-Based Reconstruction Attacks on Coordinate-Obfuscated Point Clouds
[arXiv] 2026-09-02 | Online Reinforcement Learning in the Met Office Unified Model through Distributed Model-Agent Coupling
[arXiv] 2026-09-02 | Photometric characterization of near-Earth asteroids: rotation, taxonomy, and candidate evidence for internal cohesion
[arXiv] 2026-09-02 | Non-nef loci in mixed characteristic
[arXiv] 2026-09-02 | Optimal Fusion Strategies for Quantum Computation
[arXiv] 2026-09-02 | Solar Soft X-ray Coronal Dimming in a Failed Eruption Associated with Plasma Cooling
[arXiv] 2026-09-02 | The Shape of Ownership: Verifying LLM Provenance through Semantic Structures
[arXiv] 2026-09-02 | ProbeMatchDTI: Probe-Driven Multi-Scale Biochemical Pattern Matching for Drug-Target Interaction Prediction
[arXiv] 2026-09-02 | Visual Discovery of Fading Events in the Wolf-Rayet Star WR 80
[arXiv] 2026-09-02 | World-Model-Augmented Visual Locomotion for Humanoids on Foothold-Constrained Terrain
[arXiv] 2026-09-02 | Analysis of the two-body strong decays of the hidden-charm pentaquark states in QCD sum rules
[arXiv] 2026-09-02 | Probing Criticality Using GMM-Based Potentials
[arXiv] 2026-09-02 | The binary actions of sporadic groups
[arXiv] 2026-09-02 | The Price of Almost Navigability
[arXiv] 2026-09-02 | Big data, differential privacy, and national statistical organisations
[arXiv] 2026-09-02 | ViSAR: Training-Free Adaptive-$k$ Retrieval for Visual Document Question Answering
[arXiv] 2026-09-02 | Accelerated Convergence of a Second-Order Dynamical System and its Application to Splitting Algorithms for Comonotone Inclusions
[arXiv] 2026-09-02 | Localization and Abelianization of Strings on Group Manifolds: The Non-simply Connected Case
[arXiv] 2026-09-02 | CivBench: A Long-Horizon Benchmark for Tool-Mediated Agents in Civilization VI
[arXiv] 2026-09-02 | Adapting a Foundation Model for Lunar Surface Height Estimation
[arXiv] 2026-09-02 | Price manipulation in nonlinear transient impact models: rigidity before memory and complete positivity after memory
[arXiv] 2026-09-02 | An adaptive time-tree transition kernel for Bayesian phylogenetic inference
[arXiv] 2026-09-02 | Dual Geometry of Spherical Designs: Polarity, Self-Polar Rigidity, and Quadrature Structure
[arXiv] 2026-09-02 | Nef Cones of Hilbert Schemes of Orthogonal Grassmannians
[arXiv] 2026-09-02 | Before the Script, Set the Stage: How Worldview Simulation Amplifies Psychologically Grounded Persuasion in Multi-Turn Jailbreaking
[arXiv] 2026-09-02 | The Diagnosis a Reporter Leaves Unspoken: Surfacing Frozen Tumor Features for Brain-Tumor MRI Reporting
[arXiv] 2026-09-02 | Leveraging Time-Causal State Variable Aggregation for Real-Time Schedule of Massive Air Conditioners
[arXiv] 2026-09-02 | A Physics-Consistent Benchmark for Contact-Rich Human-Robot Interaction in Assistive Care
[arXiv] 2026-09-02 | A computational approach to maximum likelihood thresholds for colored Gaussian graphical models
[arXiv] 2026-09-02 | The Exact Online Threshold for the Asymmetric Binary Perceptron
[arXiv] 2026-09-02 | Instance Optimal Sparse Recovery from Nonlinear Observations: A Unified Framework
[arXiv] 2026-09-02 | Time-asymptotic stability of generic Riemann solutions for the system of heat-conductive ideal gas without viscosity
[arXiv] 2026-09-02 | Semantic Signal-Assisted Inspection and Recovery Allocation in Reverse Logistics
[arXiv] 2026-09-02 | MeanField Surrogate Modeling for Scalable Runtime Scheduling of Concurrent Heterogeneous AI Inference on Shared GPUs
[arXiv] 2026-09-02 | Cosmological implications for hairy black holes via spontaneous symmetry breaking: Are Hairy Black Holes Primordial?
[arXiv] 2026-09-02 | A topological version of Huber's theorem
[arXiv] 2026-09-02 | Controlling a digital twin of the CEBAF injector from EPICS
[arXiv] 2026-09-02 | Causal Probabilistic Programming via Magmadic Do-Notation
[arXiv] 2026-09-02 | Gaussian-Restricted Barycenters for KL-Unbalanced Optimal Transport: Variational Theory and Fixed-Point Convergence
[arXiv] 2026-09-02 | Thinking in Pictures: A Systematic Benchmark for Reasoning-driven Image Generation
[arXiv] 2026-09-02 | Vortex pinning and the elastic response of neutron-star crusts II. Non-axisymmetric loading and Magnus mountains
[arXiv] 2026-09-02 | Unitarily invariant norms
[arXiv] 2026-09-02 | Copula Transformations for Data-Consistent Inversion
[arXiv] 2026-09-02 | Scale-separated AdS$_2$ flux vacua from type II
[arXiv] 2026-09-02 | VibeVoice-ASR-Streaming Technical Report
[arXiv] 2026-09-02 | First Principle Analysis of the Magnetism and Electronic Structure of Fe2XSi (X=Ti, V)
[arXiv] 2026-09-02 | The $H^*H^*V$ charge couplings from light-cone sum rules
[arXiv] 2026-09-02 | Quantum mutual information statistics for detecting dependence-structure change points in time series
[arXiv] 2026-09-02 | ShallowStream: Index Shallow then Answer Deep for Streaming Video Understanding
[arXiv] 2026-09-02 | Sequential Pricing Mechanisms for Surplus Division
[arXiv] 2026-09-02 | From Reweighting to Rewriting: Unlocking the Intervention Effects of Influential Samples in Training Data Attribution
[arXiv] 2026-09-02 | Magnetoelectric Phase Transition and Axion Dynamics
[arXiv] 2026-09-02 | Multi-Tool Image Editing Attribution in Facial Forgery
[arXiv] 2026-09-02 | Bilevel Coordinated Reflection: A Game-Theoretic Approach to Multi-Agent LLM Systems
[arXiv] 2026-09-02 | InceptionGS: Generative Bootstrapping for Large-Scale Gaussian Splatting under Unstructured View Sampling
[arXiv] 2026-09-02 | Choosing a PEFT Variant for Per-Patient Dysarthric ASR: A Single-Speaker Case Study on Two ASR Bases
[arXiv] 2026-09-02 | Conservation of mass for solutions of Leibenson's equation on Riemannian Manifolds
[arXiv] 2026-09-02 | CORAL: An LLM-Native Harness for Production Recommender Systems
[arXiv] 2026-09-02 | Quantum amplitude estimation beyond power-of-two schedules
[arXiv] 2026-09-02 | Vector valued continuous function spaces as $C^\ast$-algebras
[arXiv] 2026-09-02 | From Tokens to Semantics: Leveraging Complementary Signals for Hallucination Detection in Black-Box LLMs
[arXiv] 2026-09-02 | Thermal Quantum Fluctuations in Einstein-Nonlinear Maxwell-Yukawa Black Hole
[arXiv] 2026-09-02 | Reconciling Interpretability with Covariate-Dependent Shape Flexibility in Penalized Transformation Models for Distributional Regression
[arXiv] 2026-09-02 | Relativistic stellar collapse of initially static configurations
[arXiv] 2026-09-02 | WinoQueer-NL: Assessing Bias in Dutch Language Models toward LGBTQ+ Identities
[arXiv] 2026-09-02 | Mapping-based exact-integral formulation of skin-friction transformations for zero-pressure-gradient compressible turbulent boundary layers
[arXiv] 2026-09-02 | Loom: Weaving Diagnostic Strands into Free-Text Consensus via Embedding-Space Reweighting
[arXiv] 2026-09-02 | PrimSynth: An Agentic Approach to Discover, Validate, and Synthesize Exploit Primitives for Linux Kernel Vulnerabilities
[arXiv] 2026-09-02 | The PIONEER Project: A PrIvacy companion for mOtivatioN and knowlEdge transfER
[arXiv] 2026-09-02 | Ramsey-type results for Maker-Breaker games
[arXiv] 2026-09-02 | Pseudo-differential noise and nonlocal singularity formation in the stochastic Córdoba--Córdoba--Fontelos equation
[arXiv] 2026-09-02 | RT-HiSS: Ray Tracing Accelerated High Dimensional Vector Similarity Searches
[arXiv] 2026-09-02 | Learning Parametric Monotone Games
[arXiv] 2026-09-02 | Molecular-dynamics-based modal analysis of heat transport in quasi-one-dimensional systems from a symmetry-adapted perspective
[arXiv] 2026-09-02 | Normalized solutions of $L^2$-supercritical NLS equations with periodic potentials and localized nonlinearities
[arXiv] 2026-09-02 | The 2024 MRSI Data Processing and Quantification Challenge Synthetic Dataset
[arXiv] 2026-09-02 | Specification-Guided Path Shortcutting for Efficient Probabilistic Model Checking
[arXiv] 2026-09-02 | Hamiltonicity of graphs of acyclic orientations and acyclic polynomials
[arXiv] 2026-09-02 | TC-Next: Zero-Shot Multimodal Cyclone Forecasting
[arXiv] 2026-09-02 | Implementation of quantum gates by Floquet analysis of kicked quantum system
[arXiv] 2026-09-02 | Magneto-Structural Coupling Enables Cryogenic Cation Redistribution in a Spinel Oxide
[arXiv] 2026-09-02 | Beyond species area curves: a theoretical approach to the relationship between diversity and area
[arXiv] 2026-09-02 | LLM-Driven Joint Evolution of Coupled Heuristics Components for Routing Optimization
[arXiv] 2026-09-02 | Nonequilibrium corrections to conserved Ising criticality in scalar active matter: Ward identities, spectrum, and long crossovers
[arXiv] 2026-09-02 | Structured-Prior-Guided Diffusion Inpainting with Physical Consistency for Traffic Sign Augmentation
[arXiv] 2026-09-02 | Subcellularly Resolved Single-Cell Embedding Learning with Transcriptomic data, Protein Structure and Localization Information
[arXiv] 2026-09-02 | Room-temperature local strain control of moiré excitons in MoS$_2$/WSe$_2$ heterobilayers
[arXiv] 2026-09-02 | AGI Maze Prediction Datasets: A Compact Benchmark for Learning World Dynamics with Transformers
[arXiv] 2026-09-02 | In silico design of magnonic lasing in constricted waveguides
[arXiv] 2026-09-02 | Poisoning Attacks on the PGM-index
[arXiv] 2026-09-02 | From Multi-Fisheye Sensing to Panoramic Perception: A Parallax-Aware Onboard Platform for Ultra-Low-Altitude UAVs
[arXiv] 2026-09-02 | Characterizations and Complexity of Minimum Forward and Integer Cycle Bases
[arXiv] 2026-09-02 | Quark masses and mixing in the D_5 model under spontaneous CP violation
[arXiv] 2026-09-02 | Bayes-Optimal BER and AUC: Estimation and Evaluation of Estimators
[arXiv] 2026-09-02 | Improving Evaluation Realism with Inference-Time Compute and Deployment Scaffolds
[arXiv] 2026-09-02 | Mechanism-Resolved Interface Momentum Transfer in Immersed-Boundary Lattice Boltzmann Simulations
[arXiv] 2026-09-02 | Quantum Structural Renormalization and Anharmonic Stabilization of Superconductivity in P4/mmm YScH8
[arXiv] 2026-09-02 | Vitrification-Devitrification Enables Tunable Photonic and Gas Sorption Properties of Zeolitic Imidazolate Frameworks
[arXiv] 2026-09-02 | RouteGraph-Mona: Confusion-Aware Routing Fine-Tuning for Mineral Image Classification
[arXiv] 2026-09-02 | Ventilated Cavitation around a sphere through surface air injection at Re = 10,000
[arXiv] 2026-09-02 | CoMerge: Conflict-Driven Preference Optimization for Multi-Task Model Merging
[arXiv] 2026-09-02 | PaperCompiler: Faithful Paper-to-Code Generation via Repository-Level Specification Compilation
[arXiv] 2026-09-02 | Locally Conformally Flat Manifolds with Positive Scalar Curvature: Kleinian Groups, Moduli Spaces, and Euclidean Rigidity
[arXiv] 2026-09-02 | From Detection to Characterization: A Large-Scale Study of Ragebait on Japanese X
[arXiv] 2026-09-02 | Aperiodic random walks: uniform estimates, local limits and invariance principles
[arXiv] 2026-09-02 | From Prompting to Engineering: A Research Agenda for Prompt Engineering in Software Engineering
[arXiv] 2026-09-02 | Smeared spectral functions from lattice QCD: opportunities and challenges
[arXiv] 2026-09-02 | Fairness-Aware Multimodal Transformer Modeling for Real-Time Student Attention Estimation
[arXiv] 2026-09-02 | Is the Nuclear Star Cluster a Bulge Fossil Fragment?
[arXiv] 2026-09-02 | Signal or Noise? Auditing Rotation-Induced Saliency Drift in Medical and Aerial Imaging
[arXiv] 2026-09-02 | Accretion dynamics of thin and thick disks in charged Kalb-Ramond black holes
[arXiv] 2026-09-02 | FuDU: A Fuzzy Dual-dimensional Uncertainty Framework for Streaming Active Learning in Industrial Defect Detection
[arXiv] 2026-09-02 | The relationship between solar and stellar tachoclines, dynamos, and spin-down
[arXiv] 2026-09-02 | A Geometric Analysis of Initialization Bias in Spherical $K$-means in the Weak Signal Regime
[arXiv] 2026-09-02 | Paracontrolled approach to the stochastic Cahn-Hilliard equation
[arXiv] 2026-09-02 | Memory as an Energy Landscape---Hopfield
[arXiv] 2026-09-02 | State-law dynamics of McKean-Vlasov stochastic reaction-diffusion equations on $\mathbb R^n$: pullback random attractors and zero-noise stability
[arXiv] 2026-09-02 | Constraints on the Intranight Optical Variability of Intermediate-Mass Black Hole Candidates
[arXiv] 2026-09-02 | Helly Type Theorems for Splitting Point-Sets
[arXiv] 2026-09-02 | A Serre-type presentation for $\imath$quantum supergroups of type A
[arXiv] 2026-09-02 | Inverse Semiclassical Scattering at Fixed Energy
[arXiv] 2026-09-02 | Breadth Beats Depth: Improving GCG-Based Jailbreak Optimization with Breadth-Oriented Suffix Search
[arXiv] 2026-09-02 | FUSE: An Evaluating Framework for Dangerous Capabilities of LLMs
[arXiv] 2026-09-02 | GeoSPRINT: Geometric Redundancy-Aware Step Pruning for Inference in Diffusion Trajectories
[arXiv] 2026-09-02 | World-Coherent Decoding: Self-Verifying Test-Time Planning for World Action Models
