[2026-04-08 22:39:27] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-07
正在获取论文...
[arXiv] 2026-04-07 | The final version of a recent approach towards quantum foundation
[arXiv] 2026-04-07 | Purify-then-Align: Towards Robust Human Sensing under Modality Missing with Knowledge Distillation from Noisy Multimodal Teacher
[arXiv] 2026-04-07 | An Additional Resonance Damping Control for Grey-Box D-PMSG Wind Farm Integrated Weak Grid
[arXiv] 2026-04-07 | Scaled Graph Containment for Feedback Stability: Soft-Hard Equivalence and Conic Regions
[arXiv] 2026-04-07 | What can galaxy clustering really tell us about the galaxy-halo connections?
[arXiv] 2026-04-07 | Evaluation Before Generation: A Paradigm for Robust Multimodal Sentiment Analysis with Missing Modalities
[arXiv] 2026-04-07 | Topology, forcing, and graph colourings
[arXiv] 2026-04-07 | Stop Fixating on Prompts: Reasoning Hijacking and Constraint Tightening for Red-Teaming LLM Agents
[arXiv] 2026-04-07 | EchoAgent: Towards Reliable Echocardiography Interpretation with "Eyes","Hands" and "Minds"
[arXiv] 2026-04-07 | Phase Transitions in Primary Hair Planar Black Holes and Solitons
[arXiv] 2026-04-07 | A Pardon Algebra for Zero-cycles
[arXiv] 2026-04-07 | Parameterized algorithms for $k$-Inversion
[arXiv] 2026-04-07 | Geometrical Cross-Attention and Nonvoid Voxelization for Efficient 3D Medical Image Segmentation
[arXiv] 2026-04-07 | A flatness proof of the exponential turnpike phenomenon for linear-quadratic optimal control problems
[arXiv] 2026-04-07 | CLIP-Guided Data Augmentation for Night-Time Image Dehazing
[arXiv] 2026-04-07 | Thinking Diffusion: Penalize and Guide Visual-Grounded Reasoning in Diffusion Multimodal Language Models
[arXiv] 2026-04-07 | Selecting a Maximum Solow-Polasky Diversity Subset in General Metric Spaces Is NP-hard
[arXiv] 2026-04-07 | Multi-Quark Clustering in Neutron-Star Matter from Color-Spin Molecular Dynamics
[arXiv] 2026-04-07 | Galactic-scale evolution of classical and complex radio galaxies. Impact of ambient morphology and jet geometry
[arXiv] 2026-04-07 | OntoTKGE: Ontology-Enhanced Temporal Knowledge Graph Extrapolation
[arXiv] 2026-04-07 | Hierarchical Contrastive Learning for Multimodal Data
[arXiv] 2026-04-07 | Top-K Retrieval with Fixed-Size Linear-Attention Completion: Backbone- and KV-Format-Preserving Attention for KV-Cache Read Reduction
[arXiv] 2026-04-07 | Bridging Natural Language and Microgrid Dynamics: A Context-Aware Simulator and Dataset
[arXiv] 2026-04-07 | The Galois Alperin weight conjecture for finite category algebras
[arXiv] 2026-04-07 | On the Convergence of an Opinion-Action Coevolution Model with Bounded Confidence
[arXiv] 2026-04-07 | On the observational distinguishability of the Kerr and Kerr-Hayward metrics to EHT
[arXiv] 2026-04-07 | Necessary and sufficient conditions for the N-representability of functionals of the one-electron reduced density matrix
[arXiv] 2026-04-07 | A Large-Scale Empirical Comparison of Meta-Learners and Causal Forests for Heterogeneous Treatment Effect Estimation in Marketing Uplift Modeling
[arXiv] 2026-04-07 | Algebraic approach to quantum gravity IV: applications
[arXiv] 2026-04-07 | Sequential Audit Sampling with Statistical Guarantees
[arXiv] 2026-04-07 | ACE-Bench: Agent Configurable Evaluation with Scalable Horizons and Controllable Difficulty under Lightweight Environments
[arXiv] 2026-04-07 | The SUSY reach of Higgs Factories in the most challenging scenario: scalar $τ$-leptons with lowest cross section and small mass differences
[arXiv] 2026-04-07 | UI Placement as a Critical Design Factor for Augmented Reality During Locomotion
[arXiv] 2026-04-07 | Effects of Tungsten Radiative Cooling on Impurity, Heat and Momentum Transport in DIII-D Plasmas
[arXiv] 2026-04-07 | eVTOL Aircraft Energy Overhead Estimation under Conflict Resolution in High-Density Airspaces
[arXiv] 2026-04-07 | Coalitional Zero-Sum Games for ${H_{\infty}}$ Leader-Following Consensus Control
[arXiv] 2026-04-07 | gyaradax: Local Gyrokinetics JAX Code
[arXiv] 2026-04-07 | A machine learning framework for uncovering stochastic nonlinear dynamics from noisy data
[arXiv] 2026-04-07 | Graph-PiT: Enhancing Structural Coherence in Part-Based Image Synthesis via Graph Priors
[arXiv] 2026-04-07 | Intuitive Human-Robot Interaction: Development and Evaluation of a Gesture-Based User Interface for Object Selection
[arXiv] 2026-04-07 | HiPolicy: Hierarchical Multi-Frequency Action Chunking for Policy Learning
[arXiv] 2026-04-07 | From Hallucination to Structure Snowballing: The Alignment Tax of Constrained Decoding in LLM Reflection
[arXiv] 2026-04-07 | Lipschitz regularity in Flow Matching and Diffusion Models: sharp sampling rates and functional inequalities
[arXiv] 2026-04-07 | Robust Testing Of the Allais Paradox By Paired Choices vs. Paired Valuations
[arXiv] 2026-04-07 | Large Language Model Assisted Discovery of Optimal Dopants for Enhanced Thermoelectric Performance in CoSb$_3$ Based Skutterudites
[arXiv] 2026-04-07 | Further results on the lower bound on reduced Zagreb index of trees
[arXiv] 2026-04-07 | Value Mirror Descent for Reinforcement Learning
[arXiv] 2026-04-07 | Lyman-$α$ Forest Signatures of Mixed Fuzzy and Cold Dark Matter
[arXiv] 2026-04-07 | CoStream: Codec-Guided Resource-Efficient System for Video Streaming Analytics
[arXiv] 2026-04-07 | cuRAMSES: Scalable AMR Optimizations for Large-Scale Cosmological Simulations
[arXiv] 2026-04-07 | On maximal ladders
[arXiv] 2026-04-07 | Exploring bosonic bound states with parallel reaction coordinates
[arXiv] 2026-04-07 | Gauge Symmetry Breaking in the Asymptotic Analysis of Self Dual Yang-Mills-Higgs $SU(2)$ Monopoles
[arXiv] 2026-04-07 | Rationality and symmetry of stable pairs generating series of Fano 3-folds
[arXiv] 2026-04-07 | Toward Aristotelian Medical Representations: Backpropagation-Free Layer-wise Analysis for Interpretable Generalized Metric Learning on MedMNIST
[arXiv] 2026-04-07 | Rf spectra and pseudogap in ultracold Fermi gases across the BCS-BEC crossover from pairing fluctuation theory
[arXiv] 2026-04-07 | Force Polytope-Based Cant-Angle Selection for Tilting Hexarotor UAVs
[arXiv] 2026-04-07 | Band-basis decomposition of superfluid weight in magic-angle twisted bilayer graphene: Quantifying geometric and conventional contributions
[arXiv] 2026-04-07 | Data Distribution Valuation Using Generalized Bayesian Inference
[arXiv] 2026-04-07 | Flowr -- Scaling Up Retail Supply Chain Operations Through Agentic AI in Large Scale Supermarket Chains
[arXiv] 2026-04-07 | Quantum Machine Learning for particle scattering entanglement classification
[arXiv] 2026-04-07 | Arch: An AI-Native Hardware Description Language for Register-Transfer Clocked Hardware Design
[arXiv] 2026-04-07 | Uniform weak RC-positivity and rational connectedness
[arXiv] 2026-04-07 | Self-gravitating thin shells are dynamically unstable on all angular scales
[arXiv] 2026-04-07 | Nonparametric Statistical Inference for Multivariate Niche Overlap
[arXiv] 2026-04-07 | Correlation Revival Eigenmodes for Differential Sensitivity in Speckle Metrology
[arXiv] 2026-04-07 | Evolutionary Optimization of AI-Collapsed Software Development Stacks: Labor Tipping Points and Workforce Realignment
[arXiv] 2026-04-07 | Banach spaces of continuous paths with finite $p$-th variation
[arXiv] 2026-04-07 | Monte-Carlo Event Generation for X-Ray Thomson Scattering Analysis
[arXiv] 2026-04-07 | On the decomposition of a strong epimorphism into regular epimorphisms
[arXiv] 2026-04-07 | Rationalizing defect formation energies in metals and semiconductors with semilocal density functionals
[arXiv] 2026-04-07 | Elasto-inertial transitions in viscoelastic flows through cylinder arrays
[arXiv] 2026-04-07 | A proximal approach to the Schrödinger bridge problem with incomplete information and application to contamination tracking in water networks
[arXiv] 2026-04-07 | Dynamical phase diagram of synchronization in one dimension: universal behavior from Edwards-Wilkinson to random deposition through Kardar-Parisi-Zhang
[arXiv] 2026-04-07 | From Large Language Model Predicates to Logic Tensor Networks: Neurosymbolic Offer Validation in Regulated Procurement
[arXiv] 2026-04-07 | Edge modes in Chern-Simons theory on a strip
[arXiv] 2026-04-07 | The Character Error Vector: Decomposable errors for page-level OCR evaluation
[arXiv] 2026-04-07 | Improving Explanations: Applying the Feature Understandability Scale for Cost-Sensitive Feature Selection
[arXiv] 2026-04-07 | Topological Characterization of Churn Flow and Unsupervised Correction to the Wu Flow-Regime Map in Small-Diameter Vertical Pipes
[arXiv] 2026-04-07 | Spin-Phonon Renormalization in CrSBr
[arXiv] 2026-04-07 | QA-MoE: Towards a Continuous Reliability Spectrum with Quality-Aware Mixture of Experts for Robust Multimodal Sentiment Analysis
[arXiv] 2026-04-07 | ALTO: Adaptive LoRA Tuning and Orchestration for Heterogeneous LoRA Training Workloads
[arXiv] 2026-04-07 | Orbital-driven emergent transport in altermagnets
[arXiv] 2026-04-07 | A Global Model Structure for $\mathbb{K}$-Linear $\infty$-Local Systems
[arXiv] 2026-04-07 | Two-colour coherent control of nuclear and electron dynamics in photoionization of molecular hydrogen with FEL pulses
[arXiv] 2026-04-07 | Nonvariational quantum optimisation approaches to pangenome-guided sequence assembly
[arXiv] 2026-04-07 | Realizing Planar Linkages in Polygonal Domains
[arXiv] 2026-04-07 | A characterization of Cohen-Macaulay rings in terms of levels of perfect complexes
[arXiv] 2026-04-07 | A general switching method for constructing E-cospectral hypergraphs
[arXiv] 2026-04-07 | On the computation of base-change lifts and lifts of Hida families
[arXiv] 2026-04-07 | Exact WKB analysis of inverted triple-well: resonance, PT-symmetry breaking, and resurgence
[arXiv] 2026-04-07 | On the pointwise convergence of NLS flow on $ §^2 $
[arXiv] 2026-04-07 | The NANOGrav 15 yr and 20 yr Datasets: Timing Events and Pulse Shape Changes
[arXiv] 2026-04-07 | Testing the 3-equation Kuhfuss Convection Model using the Sun
[arXiv] 2026-04-07 | Induced rational exponents near two
[arXiv] 2026-04-07 | In-Place Test-Time Training
[arXiv] 2026-04-07 | DiffHDR: Re-Exposing LDR Videos with Video Diffusion Models
[arXiv] 2026-04-07 | Tractable model for a fractionalized Fermi liquid (FL$^*$) on a square lattice
[arXiv] 2026-04-07 | MMEmb-R1: Reasoning-Enhanced Multimodal Embedding with Pair-Aware Selection and Adaptive Control
[arXiv] 2026-04-07 | Solving the Peierls-Boltzmann transport equation with matrix product states
[arXiv] 2026-04-07 | Massive Exchange and the Sign of the Equilateral Bispectrum
[arXiv] 2026-04-07 | Uncertainty quantified three-body model applied to the two-neutron halo $^{22}$C
[arXiv] 2026-04-07 | Generating Synthetic Doctor-Patient Conversations for Long-form Audio Summarization
[arXiv] 2026-04-07 | Gym-Anything: Turn any Software into an Agent Environment
[arXiv] 2026-04-07 | Lightweight Multimodal Adaptation of Vision Language Models for Species Recognition and Habitat Context Interpretation in Drone Thermal Imagery
[arXiv] 2026-04-07 | REM universality for linear random energy
[arXiv] 2026-04-07 | Artificial Intelligence and the Structure of Mathematics
[arXiv] 2026-04-07 | Modeling Disruptions to Urban Metabolism using Interconnected Networks
[arXiv] 2026-04-07 | Inertial Mining: Equilibrium Implementation of the Bitcoin Protocol
[arXiv] 2026-04-07 | Comments on Symmetry Operators, Asymptotic Charges and Soft Theorems
[arXiv] 2026-04-07 | The HTC-Claw: Automating Discovery through High-Throughput Computational Campaigns
[arXiv] 2026-04-07 | A multigraph approach to confusability in quantum channels
[arXiv] 2026-04-07 | Stories of Your Life as Others: A Round-Trip Evaluation of LLM-Generated Life Stories Conditioned on Rich Psychometric Profiles
[arXiv] 2026-04-07 | Staggered Integral Online Conformal Prediction for Safe Dynamics Adaptation with Multi-Step Coverage Guarantees
[arXiv] 2026-04-07 | Probing Kerr Symmetry Breaking with LISA Extreme-Mass-Ratio Inspirals
[arXiv] 2026-04-07 | Comment on "Inferring the Dynamics of Underdamped Stochastic Systems"
[arXiv] 2026-04-07 | Optimizing IMPULSED Acquisition Protocols for Clinical 3T Scanners Through Bayesian Experimental Design
[arXiv] 2026-04-07 | Epistemic Blinding: An Inference-Time Protocol for Auditing Prior Contamination in LLM-Assisted Analysis
[arXiv] 2026-04-07 | Are Black Holes Fuzzballs? Probing Horizon-Scale Structure with LISA
[arXiv] 2026-04-07 | Occurrence of Flat-top Electron Velocity Distributions in Magnetotail Plasma Jets
[arXiv] 2026-04-07 | The 2D approximation quickly breaks down in reflection ptychography
[arXiv] 2026-04-07 | Quasinormal modes of coupled metric-dilaton perturbations in two-dimensional stringy black holes
[arXiv] 2026-04-07 | GTaP: A GPU-Resident Fork-Join Task-Parallel Runtime with a Pragma-Based Interface
[arXiv] 2026-04-07 | Practical Universal Tracking With Pivoted Unidirectional Actuation
[arXiv] 2026-04-07 | Automating Manual Tasks through Intuitive Robot Programming and Cognitive Robotics
[arXiv] 2026-04-07 | Distributions of Noisy Expectation Values over Sets of Measurement Operators
[arXiv] 2026-04-07 | Holographic entanglement entropy, Wilson loops, and neural networks
[arXiv] 2026-04-07 | The 't Hooft loop from a center-vortex wave functional
[arXiv] 2026-04-07 | Multistability of a chiral semiconductor microcavity: a self-consistent approach
[arXiv] 2026-04-07 | BOSCH: Black-Box Binary Optimization for Short-Context Attention-Head Selection in LLMs
[arXiv] 2026-04-07 | Slovakia's Mass Testing: A Critical Look at the Negative Effects
[arXiv] 2026-04-07 | SonoSelect: Efficient Ultrasound Perception via Active Probe Exploration
[arXiv] 2026-04-07 | "I See What You Did There": Can Large Vision-Language Models Understand Multimodal Puns?
[arXiv] 2026-04-07 | Quantum phases in the interacting generalized Su-Schrieffer-Heeger model
[arXiv] 2026-04-07 | FEEL: Quantifying Heterogeneity in Physiological Signals for Generalizable Emotion Recognition
[arXiv] 2026-04-07 | Hydrodynamic Switching Fronts Polarize Deformable Particle Trains
[arXiv] 2026-04-07 | Doubly charged Higgs production within the Higgs triplet model at future electron-positron colliders
[arXiv] 2026-04-07 | The UNDO Flip-Flop: A Controlled Probe for Reversible Semantic State Management in State Space Model
[arXiv] 2026-04-07 | Study of the migration of Earth-like planets in planetesimal disks and the formation of debris disks
[arXiv] 2026-04-07 | Everything I always wanted to know about resultants and Chow forms (but was too lazy to ask)
[arXiv] 2026-04-07 | Collective spatial reorganization from arrest to peeling and migration through density-dependent mobility in internal-state coordinates
[arXiv] 2026-04-07 | Automatic dental superimposition of 3D intraorals and 2D photographs for human identification
[arXiv] 2026-04-07 | Improved Capacity Upper Bounds for the Deletion Channel using a Parallelized Blahut-Arimoto Algorithm
[arXiv] 2026-04-07 | Quantitative bounds for high dimensional entropic CLT
[arXiv] 2026-04-07 | Thermodynamic and Transport Properties of Quark-Gluon Plasma at Finite Chemical Potential with a DNN framework
[arXiv] 2026-04-07 | Development and Performance of an Instrumentation Laboratory for Infrared Medical Imaging
[arXiv] 2026-04-07 | AgentGL: Towards Agentic Graph Learning with LLMs via Reinforcement Learning
[arXiv] 2026-04-07 | JD-BP: A Joint-Decision Generative Framework for Auto-Bidding and Pricing
[arXiv] 2026-04-07 | Proof of Concept as a First-Class Architectural Decision Instrument
[arXiv] 2026-04-07 | WikiSeeker: Rethinking the Role of Vision-Language Models in Knowledge-Based Visual Question Answering
[arXiv] 2026-04-07 | Robust Nonlinear System Identification in Reproducing Kernel Hilbert Spaces via Scenario Optimization
[arXiv] 2026-04-07 | RHVI-FDD: A Hierarchical Decoupling Framework for Low-Light Image Enhancement
[arXiv] 2026-04-07 | PhageBench: Can LLMs Understand Raw Bacteriophage Genomes?
[arXiv] 2026-04-07 | Percolation in the three-dimensional Ising model
[arXiv] 2026-04-07 | Generative Retrieval Overcomes Limitations of Dense Retrieval but Struggles with Identifier Ambiguity
[arXiv] 2026-04-07 | Identifying Influential N-grams in Confidence Calibration via Regression Analysis
[arXiv] 2026-04-07 | Brain-to-Speech: Prosody Feature Engineering and Transformer-Based Reconstruction
[arXiv] 2026-04-07 | On convergence of residual-based extended randomized Kaczmarz methods for matrix equations
[arXiv] 2026-04-07 | Beyond Semantics: Disentangling Information Scope in Sparse Autoencoders for CLIP
[arXiv] 2026-04-07 | A1: A Fully Transparent Open-Source, Adaptive and Efficient Truncated Vision-Language-Action Model
[arXiv] 2026-04-07 | A BEV-Fusion Based Framework for Sequential Multi-Modal Beam Prediction in mmWave Systems
[arXiv] 2026-04-07 | Predictor-Feedback CACC for Vehicular Platoons with Actuation and Communication Delays Based on a Multiple-Predecessor-Following CTH Nominal Strategy
[arXiv] 2026-04-07 | Higher resolution optical spectra of $M_*<10^{10}~M_{\odot}$ galaxies reveal outflow signatures unresolved by the SDSS
[arXiv] 2026-04-07 | CuraLight: Debate-Guided Data Curation for LLM-Centered Traffic Signal Control
[arXiv] 2026-04-07 | Stable maps, multiplicities, and compactified Jacobians
[arXiv] 2026-04-07 | How Much Trust is Enough? Towards Calibrating Trust in Technology
[arXiv] 2026-04-07 | Probing Intrinsic Medical Task Relationships: A Contrastive Learning Perspective
[arXiv] 2026-04-07 | Thermodynamics, Phase Transitions, and Geodesic Structure of $F(R)-$Phantom BTZ Black Holes
[arXiv] 2026-04-07 | Parametric Nonconvex Optimization via Convex Surrogates
[arXiv] 2026-04-07 | Quantum Learning of Classical Correlations with continuous-domain Pauli Correlation Encoding
[arXiv] 2026-04-07 | PECKER: A Precisely Efficient Critical Knowledge Erasure Recipe For Machine Unlearning in Diffusion Models
[arXiv] 2026-04-07 | YoNER: A New Yorùbá Multi-domain Named Entity Recognition Dataset
[arXiv] 2026-04-07 | On the loss of upper semi-continuity of metric entropy for $C^{r}$ diffeomorphisms
[arXiv] 2026-04-07 | Indication of Stochastic Photothermal Dynamics around a Topological Defect in a Chiral Magnet
[arXiv] 2026-04-07 | A Physics-Informed Chemical Rule for Topological Materials Discovery
[arXiv] 2026-04-07 | Shortcuts to state transitions for active matter
[arXiv] 2026-04-07 | Grassmann corner transfer-matrix renormalization group approach to one-dimensional fermionic models
[arXiv] 2026-04-07 | High-Resolution Single-Shot Polarimetric Imaging Made Easy
[arXiv] 2026-04-07 | Understanding User Privacy Perceptions of GenAI Smartphones
[arXiv] 2026-04-07 | Rotatable Antenna Enabled Multi-Cell Mixed Near-Field and Far-Field Communications
[arXiv] 2026-04-07 | Marangoni-Driven Redistribution and Activity of Piezo1 Molecules in Epithelial and Cancer Cells
[arXiv] 2026-04-07 | AutoSOTA: An End-to-End Automated Research System for State-of-the-Art AI Model Discovery
[arXiv] 2026-04-07 | COSMO-Agent: Tool-Augmented Agent for Closed-loop Optimization,Simulation,and Modeling Orchestration
[arXiv] 2026-04-07 | Efficient Inference for Large Vision-Language Models: Bottlenecks, Techniques, and Prospects
[arXiv] 2026-04-07 | Referring-Aware Visuomotor Policy Learning for Closed-Loop Manipulation
[arXiv] 2026-04-07 | Localization of Bergman Kernels and the Cheng-Yau Conjecture on Real Analytic Pseudoconvex Domains
[arXiv] 2026-04-07 | Learning to Edit Knowledge via Instruction-based Chain-of-Thought Prompting
[arXiv] 2026-04-07 | Simulation-Driven Evolutionary Motion Parameterization for Contact-Rich Granular Scooping with a Soft Conical Robotic Hand
[arXiv] 2026-04-07 | Inventory of the 12 007 Low-Dimensional Pseudo-Boolean Landscapes Invariant to Rank, Translation, and Rotation
[arXiv] 2026-04-07 | ActivityEditor: Learning to Synthesize Physically Valid Human Mobility
[arXiv] 2026-04-07 | Market-Bench: Benchmarking Large Language Models on Economic and Trade Competition
[arXiv] 2026-04-07 | Active noise cancellation on open-ear smart glasses
[arXiv] 2026-04-07 | Quantum state determinability from local marginals is universally robust
[arXiv] 2026-04-07 | Optimizing OpenFaaS on Kubernetes: Comparative Analysis of Language Runtimes and Cluster Distributions
[arXiv] 2026-04-07 | Remnant recoil and host environments of GWTC-4.0 binary black-hole mergers
[arXiv] 2026-04-07 | Positive Solutions for a Mixed Local-Nonlocal Problem with Semipositone Nonlinearity
[arXiv] 2026-04-07 | Unifying VLM-Guided Flow Matching and Spectral Anomaly Detection for Interpretable Veterinary Diagnosis
[arXiv] 2026-04-07 | Reproducing AlphaZero on Tablut: Self-Play RL for an Asymmetric Board Game
[arXiv] 2026-04-07 | Non-Markovian exceptional points in waveguide quantum electrodynamics
[arXiv] 2026-04-07 | MA-IDS: Multi-Agent RAG Framework for IoT Network Intrusion Detection with an Experience Library
[arXiv] 2026-04-07 | Not All Agents Matter: From Global Attention Dilution to Risk-Prioritized Game Planning
[arXiv] 2026-04-07 | Foreign Domestic Workers' Perspectives on an LLM-Based Emotional Support tool for Caregiving Burden
[arXiv] 2026-04-07 | Learning What Matters: Dynamic Dimension Selection and Aggregation for Interpretable Vision-Language Reward Modeling
[arXiv] 2026-04-07 | LanG -- A Governance-Aware Agentic AI Platform for Unified Security Operations
[arXiv] 2026-04-07 | Scale-free congestion clusters in large-scale traffic networks: a continuum modeling study
[arXiv] 2026-04-07 | Automated Auditing of Hospital Discharge Summaries for Care Transitions
[arXiv] 2026-04-07 | PRISM-MCTS: Learning from Reasoning Trajectories with Metacognitive Reflection
[arXiv] 2026-04-07 | A Generalized Fourier Transform and a Smooth Analogue of Dunkl Operators
[arXiv] 2026-04-07 | Ultrasound-controlled stream splitting in a microfluidic coflow
[arXiv] 2026-04-07 | Multi-Agent Pathfinding with Non-Unit Integer Edge Costs via Enhanced Conflict-Based Search and Graph Discretization
[arXiv] 2026-04-07 | Training Without Orthogonalization, Inference With SVD: A Gradient Analysis of Rotation Representations
[arXiv] 2026-04-07 | Magnetic toroidal monopoles from relativistic polarization responses to magnetic field gradients
[arXiv] 2026-04-07 | CRISP: Rank-Guided Iterative Squeezing for Robust Medical Image Segmentation under Domain Shift
[arXiv] 2026-04-07 | Mpemba Effect in an Expanding Lieb-Liniger Bose gas in a hard wall box
[arXiv] 2026-04-07 | Proof of a conjecture of Banerjee,Bringmann and Bachraoui on infinite families of congruences
[arXiv] 2026-04-07 | An Actor-Critic Framework for Continuous-Time Jump-Diffusion Controls with Normalizing Flows
[arXiv] 2026-04-07 | Modular lattices and algebras with straightening laws
[arXiv] 2026-04-07 | Accurate polarization calibration of FAST spectral data for measurements of Zeeman splittings of OH megamasers in IRAS 02524+2046
[arXiv] 2026-04-07 | DDA-Net: Accurate TDD Channel Estimation via Deep Unfolding the Doppler-Delay-Angle Representation of Channel Signals
[arXiv] 2026-04-07 | WSCM-Lite: A Practitioner-Ready Implementation of the Weak Signal Cultivation Model
[arXiv] 2026-04-07 | UAVReason: A Unified, Large-Scale Benchmark for Multimodal Aerial Scene Reasoning and Generation
[arXiv] 2026-04-07 | From Nonsmooth Minima to Smooth Branches via Heat Kernel Regularization
[arXiv] 2026-04-07 | From Clues to Generation: Language-Guided Conditional Diffusion for Cross-Domain Recommendation
[arXiv] 2026-04-07 | TFRBench: A Reasoning Benchmark for Evaluating Forecasting Systems
[arXiv] 2026-04-07 | GESS: Multi-cue Guided Local Feature Learning via Geometric and Semantic Synergy
[arXiv] 2026-04-07 | DQA: Diagnostic Question Answering for IT Support
[arXiv] 2026-04-07 | Linear Viscoelasticity of Semidilute Unentangled Flexible Polymer Solutions
[arXiv] 2026-04-07 | TRACE: Capability-Targeted Agentic Training
[arXiv] 2026-04-07 | A Catalog of Mid-infrared Variable Sources in the Ecliptic Poles
[arXiv] 2026-04-07 | Semantic Trimming and Auxiliary Multi-step Prediction for Generative Recommendation
[arXiv] 2026-04-07 | Noise is not always detrimental: the capacity of quantum batteries is enhanced in black holes
[arXiv] 2026-04-07 | Robust Learning of Heterogeneous Dynamic Systems
[arXiv] 2026-04-07 | On Elliptic Sequences over Commutative Rings
[arXiv] 2026-04-07 | Pressure, What Pressure? Sycophancy Disentanglement in Language Models via Reward Decomposition
[arXiv] 2026-04-07 | Spec Kit Agents: Context-Grounded Agentic Workflows
[arXiv] 2026-04-07 | Simulating the Evolution of Alignment and Values in Machine Intelligence
[arXiv] 2026-04-07 | Final Report, Center for Computer-Integrated Computer-Integrated Surgical Systems and Technology, NSF ERC Cooperative Agreement EEC9731748, Volume 1
[arXiv] 2026-04-07 | Reply to "Comment on `Unified neutrino mixing and approximate $μ-τ$ reflection symmetry'[arXiv:2603.00885]''
[arXiv] 2026-04-07 | LLM2Manim: Pedagogy-Aware AI Generation of STEM Animations
[arXiv] 2026-04-07 | Predicted DC current induced by propagating wave in gapless Dirac materials
[arXiv] 2026-04-07 | Untargeted analysis of volatile markers of post-exercise fat oxidation in exhaled breath
[arXiv] 2026-04-07 | A plug-and-play superconducting quantum controller at millikelvin temperatures enables exceeding 99.9% average gate fidelity
[arXiv] 2026-04-07 | Attention Editing: A Versatile Framework for Cross-Architecture Attention Conversion
[arXiv] 2026-04-07 | Time-Domain Voice Identity Morphing (TD-VIM): A Signal-Level Approach to Morphing Attacks on Speaker Verification Systems
[arXiv] 2026-04-07 | LUDOBENCH: Evaluating LLM Behavioural Decision-Making Through Spot-Based Board Game Scenarios in Ludo
[arXiv] 2026-04-07 | Stellar Population Characterisations in nearby, dusty Early-Type Galaxies
[arXiv] 2026-04-07 | Adaptive Incentive Design with Regret Minimization
[arXiv] 2026-04-07 | The Cone Conjecture for Enriques Surfaces in any Characteristic
[arXiv] 2026-04-07 | Vortex Harmonic Spinors on the Nappi-Witten Space
[arXiv] 2026-04-07 | Twisted doughnuts: Thick disk torus around equatorial asymmetric black hole
[arXiv] 2026-04-07 | Error Correction in Lattice Quantum Electrodynamics with Quantum Reference Frames
[arXiv] 2026-04-07 | Distributed Quantum Property Testing with Communication Constraints
[arXiv] 2026-04-07 | Estimation of trace distance between two arbitrary quantum states
[arXiv] 2026-04-07 | CritBench: A Framework for Evaluating Cybersecurity Capabilities of Large Language Models in IEC 61850 Digital Substation Environments
[arXiv] 2026-04-07 | Who Governs the Machine? A Machine Identity Governance Taxonomy (MIGT) for AI Systems Operating Across Enterprise and Geopolitical Boundaries
[arXiv] 2026-04-07 | Projections of sets with optimal oracles onto $k$-planes
[arXiv] 2026-04-07 | Reconstruction of fast-rotating neutron star observables with the neural network
[arXiv] 2026-04-07 | Interband optical conductivities in two-dimensional tilted Dirac bands revisited within the tight-binding model
[arXiv] 2026-04-07 | From Incomplete Architecture to Quantified Risk: Multimodal LLM-Driven Security Assessment for Cyber-Physical Systems
[arXiv] 2026-04-07 | Quantum advantage in transfer of quantum states
[arXiv] 2026-04-07 | Precise measurement of the CKM angle $γ$ with a novel approach
[arXiv] 2026-04-07 | H-NESSi: The Hierarchical Non-Equilibrium Systems Simulation package
[arXiv] 2026-04-07 | Leveraging Image Editing Foundation Models for Data-Efficient CT Metal Artifact Reduction
[arXiv] 2026-04-07 | FrontierFinance: A Long-Horizon Computer-Use Benchmark of Real-World Financial Tasks
[arXiv] 2026-04-07 | Spectrum-Generating Algebra in Higher Dimensional Gauge Theories
[arXiv] 2026-04-07 | Minimal-Degree Foliations on Cominuscule Grassmannians
[arXiv] 2026-04-07 | Modeling complex plasma instabilities in space plasmas - Three-component electron formalism of heat-flux instabilities
[arXiv] 2026-04-07 | Theta Cycles of Modular Forms Modulo $p^2$
[arXiv] 2026-04-07 | Gauss law codes and vacuum codes from lattice gauge theories
[arXiv] 2026-04-07 | A canonical generalization of OBDD
[ACM] 2026-4-7 | Analyzing Deviations from Monotonic Trends through Database Repair
[IEEE] 2026-4-7 | Towards Robot Skill Learning and Adaptation with Gaussian Processes_supp1-3681188.mp4
[IEEE] 2026-4-7 | Interaction Under Whole-Body User Rotations in VR Space_supp1-3680596.pdf
[IEEE] 2026-4-7 | Dispersion and Bandgap Analysis of Miniaturized Meander-Lined EBG for Sub-GHz Communication
[IEEE] 2026-4-7 | Emerging Approaches for Integrating Passive Balancing and Charging Strategies in Electric Vehicle Batteries
[IEEE] 2026-4-7 | Multimodal FactCheckNet on Low Resource Social Media Data
[IEEE] 2026-4-7 | The Future of VLSI Testing: Deep Learning Models for Accurate Fault Detection – Review
[IEEE] 2026-4-7 | Design of Camouflage Military Robot using Raspberry Pi and Machine Learning
[IEEE] 2026-4-7 | SmartLib: Next-Generation IoT Access Control for Libraries
[IEEE] 2026-4-7 | Label-Guided Imputation via Forest-Based Proximities for Improved Time Series Classification
[IEEE] 2026-4-7 | MADE-PI: Framework for Effective Anomaly Detection in Federated Learning Applications
