[2026-06-17 23:24:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-16
正在获取论文...
[arXiv] 2026-06-16 | OmniDroneX: An LLM-Assisted Holistic Drone-as-a-Service Ecosystem
[IEEE] 2026-6-16 | Second International Workshop on LLM+Vector Data: Agentic RAG Edition
[IEEE] 2026-6-16 | Perception Modeling and Dynamic Risk Assessment Optimization for CO
                    <sub>2</sub>
                    Transmission Systems Oriented Toward Energy-Carbon Chain Safety
[IEEE] 2026-6-16 | Exponential Stability via Hybrid Switching Strategy for Impulsive Switched T-S Fuzzy Systems With Delays
[IEEE] 2026-6-16 | Day-ahead Coordinated Dispatch of Photovoltaic-Battery-direct Current-flexible Energy MG Clusters
[IEEE] 2026-6-16 | Dual-arm Collaborative Compliance Manipulation Technology for Space Robots and Ground Testing
[IEEE] 2026-6-16 | Uniair: A Unified AI Framework for Multi-Task Joint Optimization Over the Air Interface
[IEEE] 2026-6-16 | COOL-Splat: A HW/SW Co-optimized Online 3D Gaussian Splatting Modeling Accelerator for Energy-Efficient 3D Modeling on Mobile Devices
[IEEE] 2026-6-16 | Abnormal Sound Detection for Microfans Based on Persistence-Guided Interpolation Resampling
[IEEE] 2026-6-16 | HS-FPN: A High-Frequency Spatial Feature Pyramid Network for Multimodal Fire Warning Using Vision-Sensor Cooperative Perception
[IEEE] 2026-6-16 | A Deterministic Bridging Multi-hop Question Answering Synthesis Method for Vertical Domains
[IEEE] 2026-6-16 | From CSI to BFI: Calibration for Wi-Fi Sensing
[IEEE] 2026-6-16 | A2RAG: Adaptive Agentic Graph Retrieval for Cost-Aware and Reliable Reasoning
[IEEE] 2026-6-16 | Short-term Scheduling Model for Cascade Hydro-PV Complementary Systems Considering Power Output Stability
[IEEE] 2026-6-16 | A Spatio-Temporal Bayesian Graph Neural Network for Proactive Anomaly Prediction in Dynamic Wireless Networks
[IEEE] 2026-6-16 | A Comprehensive Review of Thermal Management Systems for Electric Vehicle Batteries
[IEEE] 2026-6-16 | Leveraging AI in Healthcare: Engaging Industry and Academia for Development Work
[IEEE] 2026-6-16 | Atomic Diffusion Bonding of Wafers Using W Films in Relation to Initial Film Growth
[IEEE] 2026-6-16 | A Hybrid Space Vector Modulation Strategy for Current Distortion Suppression in Vienna Rectifiers
[IEEE] 2026-6-16 | Compliance-Driven Identity and Access Management (IAM) in Critical Infrastructure
[IEEE] 2026-6-16 | Robust Uplink Multi-User Digital Semantic Communication Under Imperfect Synchronization
[IEEE] 2026-6-16 | A Dynamic Privacy-Preserving Aggregation Method for Smart Meters Based on Electricity Usage Pattern Drift Awareness
[IEEE] 2026-6-16 | Acoustic Emission-based Lift-Off Detection in Gas Foil Bearings using Contact Voltage Labels
[IEEE] 2026-6-16 | Research on Event Camera-Based Flame Detection Method Using Spiking Neural Network
[IEEE] 2026-6-16 | Dynamic Task Offloading with Active Inference and LLM Integration for Low-Altitude Networks
[IEEE] 2026-6-16 | Right to Privacy And The Growing Scope of Artificial Intelligence
[IEEE] 2026-6-16 | A Fault Diagnosis Method for Current Sensors in Multiphase Permanent Magnet Synchronous Motors Based on Current Signals
[IEEE] 2026-6-16 | A High-Precision Assisted Timing Support Mechanism for Edge Access Points
[IEEE] 2026-6-16 | AI-Based Visual Measurement System for Quality Assessment in Agrifood Production
[IEEE] 2026-6-16 | Interpreting SSL Representations for Spoof Detection: A WavLM Study
[IEEE] 2026-6-16 | Numerical Simulation and Experimental Investigation of Exhaust Nozzle Response Subjected to Random Vibration Energy with Non-Uniform Input
[IEEE] 2026-6-16 | Blockchain Adoption Challenges and Opportunities for Sustainable Digital Transformation: A Mixed-Methods Multi-Sector Analysis
[IEEE] 2026-6-16 | Deep Learning Based Time-Domain Precoding Extrapolation for Massive MIMO Systems
[IEEE] 2026-6-16 | Dynamic Response Analysis of the Active Magnetic Bearing-rotor System Subjected to Base Motion
[IEEE] 2026-6-16 | Using Machine Learning Techniques and Pose Estimation for Elderly Fall Detection
[IEEE] 2026-6-16 | Balanced Torque-Based Model Predictive Control for Virtual Synchronous Generator
[IEEE] 2026-6-16 | Research on Fabric Defect Detection Based on Improved RT-DETR
[IEEE] 2026-6-16 | PACOX: A FPGA-based Pauli Composer Accelerator for Pauli String Computation
[IEEE] 2026-6-16 | Anomaly Detection and Correction Method for Solar Irradiance Data Based on Hybrid Neural Network
[IEEE] 2026-6-16 | Voltage Support Method for Hybrid Parallel System of Multi-type Inverters Under Grid Asymmetric Voltage Sag
[IEEE] 2026-6-16 | Patterning Trenches with Vertical Sidewalls
[IEEE] 2026-6-16 | Design of near-ML Performance PAC Codes with Moderate SCL Decoding Complexity
[IEEE] 2026-6-16 | Dynamic Multi-Scale Attention Fusion Transformer: A Novel Approach Based on Swin Transformer for Remote Sensing Land Cover Semantic Segmentation
[IEEE] 2026-6-16 | A Novel Ray-Tracing Channel Model with Full-Wave Simulations for THz Communication Systems
[IEEE] 2026-6-16 | Design and Simulation of LLC High Voltage Inverter Power Supply System
[IEEE] 2026-6-16 | Cell Segmentation Framework Based on the Fusion of Point Annotation-Based Transformer and CNN
[IEEE] 2026-6-16 | Study on Method of Data Induction for Aero Engine Vibration Test Flight
[IEEE] 2026-6-16 | Trusted Execution Method for Relay Protection Settings Based on Verifiable Smart Contracts
[IEEE] 2026-6-16 | Harnessing AI: Economic And Technical Paradigm Shifts in Modern Business Practices
[ACM] 2026-6-17 | Towards Privacy and Security Compliance in Food and Nutrition Data Lakes
[IEEE] 2026-6-17 | AI-Driven Inverse Design and Vision Fusion Framework for Automated Signal Integrity Optimization of Organic RDL Interposers
[IEEE] 2026-6-17 | Inferring the Influence of Insulating Material Property Variation with Electrothermal Aging on HVDC Insulation System Reliability
[IEEE] 2026-6-17 | Topoedge: Topology-Grounded Agentic Framework for Edge Networking Code Generation and Repair
[IEEE] 2026-6-17 | SAP-User Association and Power Allocation in Cell-Free Massive MIMO-Enabled LEO Satellite Networks with Coverage Limitation
[IEEE] 2026-6-17 | Joint Spectral Estimation and Multi-Level Differential Self-Interference Cancellation for ISAC Systems
[IEEE] 2026-6-17 | Ultra-Fine 1.4-μm Pitch Face-to-Back Chip-on-Wafer Cu–Cu Hybrid Bonding for the Chip-on-Wafer-on-Wafer Integration
[IEEE] 2026-6-17 | Raising Soil Microbial Fuel Cells into Robust Bio-Batteries
[IEEE] 2026-6-16 | Packaging and Integration of a Dual-Polarized MIMO Antenna with Pattern Diversity for Dual-Camera Wireless Capsule Endoscopy
[IEEE] 2026-6-17 | High-Precision Wafer-Level Bonding in Thin-3D: A Moiré Pattern and Deep-Learning Alignment Approach
[IEEE] 2026-6-16 | Heterogeneous Ensemble Learning-Based Soft Sensor Modeling Method for Silicon Content Prediction in Blast Furnace
[IEEE] 2026-6-16 | Quantitative Evaluation of Thermal Camera Thermal Sensitivity and Spatial Resolution on Internal Defect Detection in CFRP Using Laser Thermography
[IEEE] 2026-6-17 | Polymer Fillet Integration to Improve Die Thinning and Inter-die Gap Fill Yield and Reliability in Die-to-Wafer Hybrid Bonding
[IEEE] 2026-6-17 | Decision letter for "Stationary Precipitation Area Detection Using the Optical Flow Technique with Weather Radar Images"
[ACM] 2026-6-17 | Type-Aware Heterogeneous Graph Network for Circuit Link Prediction
[IEEE] 2026-6-17 | Characterizing the Magnetic Gradient Force of Untethered Magnetic Devices Using Two Synchronized Rotating Magnetic Dipoles
[IEEE] 2026-6-16 | Characterisation of an Open-Ended Capacitive Sensing System
[IEEE] 2026-6-16 | New Guideline of Variational Mode Decomposition for Compound Rotating Machinery Fault Diagnosis
[IEEE] 2026-6-17 | 3D Heterogenous Integration Packaging of 5G RF Systems using Additive Electronics
[IEEE] 2026-6-16 | A General Approach to Visualizing Uncertainty in Statistical Graphics
[IEEE] 2026-6-16 | Time Domain and Reflectivity Properties of Gas Discharge Tubes in Microwave Pulse Compression Cavities
[IEEE] 2026-6-16 | Suppression Effect of Electron Beam on Partial Discharge in Vacuum
[IEEE] 2026-6-17 | Ground Resonance Suppression on 212.5-Gbps OSFP with FEM and Mixed-Mode dPBTL Circuit
[IEEE] 2026-6-16 | A Novel Voltage-Divider-Based Defect Test Architecture for Post-bond Through Silicon Vias
[IEEE] 2026-6-17 | Adaptive Entanglement Purification Framework for High-Fidelity QISAC Systems
[IEEE] 2026-6-17 | Reactive Power Compensation for Solar Power Plants
[IEEE] 2026-6-17 | FSATS: A Flexible and Self-Adaptive Trend Surface Spatiotemporal Fusion Method for Phenology Reconstruction under Sparse Observations
[IEEE] 2026-6-17 | TSV Stress Prediction via Machine Learning Based on EBSD Grain Microstructure
[IEEE] 2026-6-17 | Electroless Noble Metal Passivation Enabling Oxidation-Free Cu Bonding through a Comparative Study of Au, Pd and Ru for Low-Temperature Hybrid Bonding Applications
[IEEE] 2026-6-17 | Study of the Influence of Visuo-Haptic Feedback on Prosthetic Embodiment
[IEEE] 2026-6-16 | Successive Cancellation Decoding For General Monotone Chain Polar Codes
[IEEE] 2026-6-17 | Event-Triggered Active Disturbance Rejection Control for ARZ Traffic Flow Model with Bottleneck
[IEEE] 2026-6-17 | Fault Diagnosis and Active Fault Tolerance Control for Water Management of PEM Fuel Cells
[IEEE] 2026-6-17 | Discharge Characteristics of Motion and Aggregation of Fiber Impurity Particles Based on Multiphysics Coupling
[IEEE] 2026-6-16 | Dynamic Sparse Attention and Frequency-Spatial Complementary Network for SAR Ship Detection
[IEEE] 2026-6-16 | LSMNet: A Lightweight Local-State Modeling Network for Tiny Object Detection in Aerial Images
[IEEE] 2026-6-16 | A 1064-nm TFLN EOM with Low Drive Voltage and High Bandwidth Using Capacitively Loaded Electrodes
[IEEE] 2026-6-16 | SAGA: Open-World Mobile Manipulation via Structured Affordance Grounding
[IEEE] 2026-6-17 | Zero-Shot Temporal Action Localization Through Textual Guidance
[IEEE] 2026-6-17 | Intelligent Drill-Down: Large Language Model-Driven Drill-Down Technique for Human-AI Collaborative Visual Exploration
[IEEE] 2026-6-17 | Capturing Individual Differences of Facial Expression for Authentic Expression Generation
[IEEE] 2026-6-17 | Protection and Performance Grounding Considerations in Networked Microgrids
[IEEE] 2026-6-17 | Beyond the Surface: Incorporating 3D Facial Information into Action Unit Detection
[IEEE] 2026-6-17 | MAX-SM: High-Utilization Dynamic SM Partitioning for Heterogeneous Workloads on Multitasking Chiplet-Based GPUs
[IEEE] 2026-6-16 | Robust Multiping Forward-Looking Sonar Coherent Detection
[IEEE] 2026-6-16 | Online Temperature Estimation of Three-Phase SCIM Using Low-Order LPTN Model
[IEEE] 2026-6-16 | Group-Aware Interactive Scenario Generation for Vehicle-Cyclist Interactions in Mixed-Traffic Autonomous Driving
[IEEE] 2026-6-16 | A C-band phase-controlled feedback laser approaching 60-GHz bandwidth and tailorable low-noise/flat-response characteristics
[IEEE] 2026-6-16 | Identifying Firm-Specific Business Diversification Opportunities Based on Existing Technological Capabilities: A Metapath2Vec and Subgraph Mining Approach
[IEEE] 2026-6-17 | Deep Learning for Synthetic Aperture Radar Automatic Target Recognition in Complex Environmental Interference: A review
[IEEE] 2026-6-16 | Unified Fault Tolerant Control of Bearingless Multi-Three Phase Permanent Magnet Synchronous Machines
[IEEE] 2026-6-17 | Negative-Sequence Impedance Provision of A Virtual Admittance-Based Inverter-Based Resource
[IEEE] 2026-6-17 | Power-Aware Orchestration for Geo-Distributed LLM Inference via Quantum Optimization
[IEEE] 2026-6-17 | Dashboards for Decision-Making: Acceptance by Municipal and School-Level Educational Administrators_supp1-3703391.pdf
[IEEE] 2026-6-17 | Vision-Language Models in Medical Applications: A Review
[IEEE] 2026-6-16 | Look-Up Table Optimization for Kolmogorov-Arnold Networks on Microcontrollers
[IEEE] 2026-6-16 | Weighted Bipartite Graph-Based Topology Derivation Method of Single-Stage Multiport Inverters
[IEEE] 2026-6-16 | Tariff Shocks and Global Supply Chains: Network Propagation, Logistics Resilience, and System Reconfiguration - A Systematic Review_supp1-3703535.docx
[IEEE] 2026-6-16 | Integrated by Design: A Hybrid Robotic Palm Fusing a Functionally-Dense Compliant Matrix with an Actuated Skeleton_supp1-3703500.mp4
[IEEE] 2026-6-16 | Chain Length Effects on Glass Transition Dynamics of a Diels-Alder Network_supp1-3703392.pdf
[IEEE] 2026-6-16 | AINIT 2026 Cover Page
[ACM] 2026-6-16 | Coherency Analysis in Nonlinear Heterogeneous Power Networks: A Blended Dynamics Approach
[ACM] 2026-6-16 | Risk-Sensitive Peak-Aware Energy Scheduling: Competitive and Learning-Augmented Algorithms
[ACM] 2026-6-16 | Leveraging Synthetic Data to Reduce Biases in Face Recognition Systems
[ACM] 2026-6-16 | Cover-Source Mismatch in Deepfake Detection: A Systematic Study
[ACM] 2026-6-16 | Semantic Information Flow for Power Systems Under Multi-Vector Cyberattacks
[ACM] 2026-6-16 | The Limitations of Proxy Bus Models in Coordinated Transaction Scheduling
[IEEE] 2026-6-16 | Low-Light Image Enhancement with Improved IAT for UAV-Based Target Tracking
[IEEE] 2026-6-16 | Grid-Forming Capability Variation of VSG-Based CHB Energy Storage Converters Under Fault Conditions
[IEEE] 2026-6-16 | Euler: An Out-of-Order-Aware Load Balancing with Adaptive Granularity for AI Clusters
[IEEE] 2026-6-16 | Reverberation Suppression Algorithm for Obstacle Avoidance Sonar Based on Sparse Decomposition
[IEEE] 2026-6-16 | A Novel Financial Risk Model Framework using Machine Learning in Conjunction with Allied Quantitative Models
[IEEE] 2026-6-16 | Multimodal Radio and Vision Fusion for Robust Localization in Urban V2I Communications
[IEEE] 2026-6-16 | Research on Transformer Load Forecasting and Dynamic Overload Warning Based on Temporal Big Data Mining
[IEEE] 2026-6-16 | Multi-Modal Feature Fusion and Identification Algorithm for Component Defect Detection of Distributed Photovoltaic Power Station
[IEEE] 2026-6-16 | Crucial Technology of Transistor Stacking to Extend Moore's Law into Sub-1nm Region
[IEEE] 2026-6-16 | Real-Time Language Model Jamming: A Case Study for Live Music Accompaniment Generation
[IEEE] 2026-6-16 | Entity-Aware Spatiotemporal MAPPO: A Multi-UAV Cooperative Navigation Framework Based on Asymmetric Artificial Potential Fields
[IEEE] 2026-6-16 | How Far Can They Map? Probing LLM Capabilities for Cross-Schema SQL Generation
[IEEE] 2026-6-16 | Rare Earth Elements, Technology, Energy and Geopolitical Risk Connectedness in Australia: Insights from Wavelet Coherency
[IEEE] 2026-6-16 | Duality-Based Fixed Point Iteration Algorithm for Beamforming Design in ISAC Systems
[IEEE] 2026-6-16 | Permutation-Based Obfuscation for Secure Space Shift Keying in MIMO Systems
[IEEE] 2026-6-16 | Collaborative Multi-Agent Deep Reinforcement Learning for Anti-Jamming Communication in UAV-Assisted Data Collection Systems
[IEEE] 2026-6-16 | On NOMA Short Packet THz Communications with Misalignment Error and Hardware Impairment
[IEEE] 2026-6-16 | Integrate and Fire Counting Spike Detection for Spiking Communications
[IEEE] 2026-6-16 | Cooperative Reactive Power Support for Hybrid GFL/GFM Stations Based on Unified Voltage Source Model
[IEEE] 2026-6-16 | Leveraging Artificial Intelligence For Designing Technological Nature-Inspired Performance Spaces
[IEEE] 2026-6-16 | UAV Path Planning for Joint Localization and Communications
[IEEE] 2026-6-16 | Bond Wave Propagation Mechanics in Hybrid Bonding Processes
[IEEE] 2026-6-16 | A Light-Weight Low-Latency Transmission Mechanism for Reliable Wi-Fi Multicast
[IEEE] 2026-6-16 | Standard Condition Number-Based Robust Signal Detection with Whitening under Uncertainty
[IEEE] 2026-6-16 | Tunnel Crack Detection Method Improved Based on YOLO11
[IEEE] 2026-6-16 | Urgency-Aware Coordinated Charging of Electric Vehicles in PV-Integrated Microgrids
[IEEE] 2026-6-16 | Multi-Sample Compression of Fingerprints: Can it be Done?
[IEEE] 2026-6-16 | MedGenie: Advancing Clinical AI through Multi-Modal Medical Data Fusion and Diagnostic-Conversational Benchmarking
[IEEE] 2026-6-16 | DRS-TD3 for Joint Freshness and Energy Optimization in UAV-Assisted Energy-Harvesting Sensor Networks
[IEEE] 2026-6-16 | C/C++ Code Security Auditing Agent Based on Hybrid Multi-Strategy Retrieval Enhancement
[IEEE] 2026-6-16 | TI-RADS Sign Recognition and Automatic Grading of Thyroid Ultrasound Using MMoE Multi-Task Learning
[IEEE] 2026-6-16 | Nonlinear Dynamic Analysis of Dead-Time Effects in Single-Phase CHB Inverters Based on PBDTC Compensation
[IEEE] 2026-6-16 | MambaLite-DNANet: A Lightweight Mamba-Enhanced DNANet for Infrared Small-Target Detection
[IEEE] 2026-6-16 | Structure-Aware Grouping with Adaptive Greedy Scheduling for Belief Propagation in Loopy Graphs
[IEEE] 2026-6-16 | Reducing Etching-Induced Frequency Spread in MEMS Resonators Through Shape-Optimized Mass Cells
[IEEE] 2026-6-16 | Semantic-Aware Video Communication: Enhancing Traditional and Deep Video Encoders
[IEEE] 2026-6-16 | A THz with VLC Assisted ISAC System Under the Impact of Human Blockages
[IEEE] 2026-6-16 | Design and Simulation of Transition Mode Control Strategies for Hybrid VTOL Unmanned Aerial Vehicles
[IEEE] 2026-6-16 | Flight Dynamics Modeling and Analysis of a Flexible Aircraft with Hinged Wingtip
[IEEE] 2026-6-16 | Multi-Inference Offloading Strategy for Distributed Large Language Models in Industrial IoT
[IEEE] 2026-6-16 | Multi-Modal Data Driven Virtual Base Station Construction for Massive MIMO Beam Alignment
[IEEE] 2026-6-16 | Research on High-Efficiency and Lightweight Gallium Nitride (GaN) Monolithic Microwave Integrated Circuits
[IEEE] 2026-6-16 | Engineering The Nurturing Diversity, Championing Equity, And Cultivating Inclusion For Transformative Change
[IEEE] 2026-6-16 | Body-Freedom Flutter Modeling and Flight Testing of a Flexible Flying Wing Drone
[IEEE] 2026-6-16 | Research on Actual Sound Pressure Level of Motor Under Strong Background Noise Interference
[IEEE] 2026-6-16 | Research on Underwater Target Tracking Based on Sequential Fusion of Extended Kalman Filter
[IEEE] 2026-6-16 | A Prediction Model of Ionospheric foF2 and hmF2 for Multiple Stations for HF Skywave Communication
[IEEE] 2026-6-16 | HyCT-Net: A Dual-Pathway Hybrid Convolutional-Transformer Architecture for Facial Emotion Recognition
[IEEE] 2026-6-16 | Retrieval-Augmented Taint Specification Inference for Vulnerability Detection
[ACM] 2026-6-17 | Automating Cybersecurity Threat Analysis with LLMs
[IEEE] 2026-6-17 | Fluid Antenna-Enhanced Flexible Beamforming
[IEEE] 2026-6-16 | RSLCPP - Deterministic Simulations Using ROS 2
[IEEE] 2026-6-17 | Assembly and Reliability Characterization of Glass-Cored Substrate Package for AI/HPC Applications
[IEEE] 2026-6-17 | When Consumer Evaluation Backfires: Cause Marketing, Promotion Strategies, and Welfare Implications_supp1-3704286.pdf
[IEEE] 2026-6-17 | Reliability of SAC PBGA Assemblies Using Constitutive and Failure Models Incorporating Damage Mechanics
[IEEE] 2026-6-17 | Electrodeposition of Aluminum on Direct Bonded Copper Substrates for Power Module Packaging
[IEEE] 2026-6-17 | Wafer-to-Wafer Hybrid Bonding Technology with 200nm Interconnect Pitch
[IEEE] 2026-6-16 | QR-LBAS: Lattice-Based Aggregate Signature Scheme With Quantum-Resistant Security for Vehicular Ad Hoc Networks
[IEEE] 2026-6-17 | Wearable Technology for Depression Assessment: A Scoping Review of Datasets
[IEEE] 2026-6-17 | The Nonlinear Filter Model of Stream Cipher Redivivus
[IEEE] 2026-6-16 | Systematic Analysis of Interconnect and Contact Defects in RRAMs
[IEEE] 2026-6-17 | A CLS-Based Driven Classified Truncation Approximate Booth Multiplier for High-Fidelity Image Processing
[IEEE] 2026-6-17 | Predictability-Aware Two-Stage Robust Optimization under Endogenous Uncertainty
[IEEE] 2026-6-17 | Low-Temperature Sintering and Bonding Performance of Gradient Oxidized Copper Nanoparticles
[IEEE] 2026-6-17 | Real-Time Lock-in Thermography and X-Ray CT for Early Failure Detection in Large-Size Packages
[IEEE] 2026-6-17 | Laser Assisted Bonding of InP Power Amplifier Chiplets on a 300 mm RF Si Interposer
[IEEE] 2026-6-17 | Photonic Interconnects in Glass Core for AI Data Center Applications
[IEEE] 2026-6-17 | Inverse Reinforcement Learning
                    <i>H</i>
                    <sub>∞</sub>
                    Optimal Control for Takagi–Sugeno Fuzzy Systems
[IEEE] 2026-6-17 | PSK-Free Mutual Authentication for WPT via Converter-Intrinsic In-Band Signaling
[IEEE] 2026-6-16 | Motional-Current-Sensing Method and Simplified Closed-Loop Control Strategy for Piezoelectric-Resonator-Based DC-DC Converters
[IEEE] 2026-6-17 | Decomposition for Bayesian Networks: Local and Parallel Inference_supp1-3704481.pdf
[IEEE] 2026-6-17 | Enhancing X-ray Image Classification through Heterogeneous Federated Learning with Natural Image-Augmented Models
[IEEE] 2026-6-17 | Cycle-Aware Adaptive Mixture-of-Experts with High-Demand-Sensitive Asymmetric Loss for Effective Electrical Load Forecasting_supp1-3703864.pdf
[IEEE] 2026-6-17 | Active-Learning PCA–Gaussian Process Model for Efficient Probabilistic Power Flow on Real Distribution Networks
[IEEE] 2026-6-17 | FLISR – When Communications Fail – A Dynamic Approach to Grid Resiliency and Improved Reliability
[IEEE] 2026-6-17 | Doppler-DCNet: A Low Sampling Rate CSI Reconstruction Algorithm for Traffic-Driven WiFi Sensing
[IEEE] 2026-6-17 | Variational Bayesian Detection for Quantized AFDM Systems
[IEEE] 2026-6-17 | Reduction of Concentric Neutral Voltage Surges in Submarine Cables
[IEEE] 2026-6-17 | Operational Risks from Wholesale DER Participation amid Regulatory Shifts
[IEEE] 2026-6-17 | Resource-Aware Federated 3D Gaussian Splatting for Large-Scale Scene Reconstruction
[IEEE] 2026-6-17 | Copyright Page
[IEEE] 2026-6-17 | Process Integration for 300-nm-Pitch Hybrid Bonding with SiCN: 50nm Bonding Overlay, Fine-Grain Cu Metallurgy, and Reliability Assessment
[IEEE] 2026-6-17 | Event-based Liveness Detection using Temporal Ocular Dynamics: An Exploratory Approach
[IEEE] 2026-6-17 | Towards High-Conductivity Aerosol Jet Printed Copper with Amine Surfactant
[IEEE] 2026-6-17 | Reducing Wafer-to-Wafer Bonding Misalignment to Enable 140nm Pitch Hybrid Bonding
[IEEE] 2026-6-17 | Optimizing NOMA-Assisted Backscatter Systems with Imperfect CSI and SIC: A DRL-Driven Approach
[IEEE] 2026-6-17 | Heterogeneous Integration of BEOL 22nm CMOS FDSOI Al to Cu Interposers by Direct Bonding
[IEEE] 2026-6-17 | High-Resolution Multipath Delay Estimation for ISAC-Based Terminal Proximity Sensing
[IEEE] 2026-6-17 | Metal-Enhanced Waffle Wafer Design for Thermomechanical Warpage Reduction in Fan-Out Wafer-Level Packaging
[IEEE] 2026-6-17 | Neural Surrogates for Fast Signal and Power Integrity Co-Simulation and Co-design of Chiplets Integration
[IEEE] 2026-6-16 | Hierarchical Planning With Object Keypoint-Axis Constraints for Robotic Manipulation: Proposing the PORM Framework
[IEEE] 2026-6-17 | Thermally Reconfigurable Split-Substrate Integrated Waveguide for Baseband and Broadband Signal Transmission
[IEEE] 2026-6-17 | IR-Drop Analysis of Power Delivery Networks in 3D Stacked Dies Using Face-to-Face and Face-to-Back Integration
[IEEE] 2026-6-17 | Member Get-A-Member (MGM) Program
[IEEE] 2026-6-16 | PADLOS: Deformable Linear Objects Segmentation With Pseudo-Depth Guidance and Attribute Constraints
[IEEE] 2026-6-16 | The Development and Applications of Kalman Filter in Geomagnetic Navigation: A Review
[IEEE] 2026-6-17 | Connection Between the State Feedback
                    <i>L</i>
                    <sub>2</sub>
                    /
                    <i>L</i>
                    <sub>1</sub>
                    and
                    <i>H</i>
                    <sub>2</sub>
                    Optimal Control Problems for Continuous-Time Linear Periodically Time-Varying Systems
[IEEE] 2026-6-16 | ESPADA: Execution Speedup via Semantics Aware Demonstration Data Downsampling for Imitation Learning
[IEEE] 2026-6-16 | GFRA: A High-Utilization Grain-Fused Reconfigurable Architecture for Coarse-Grained and Fine-Grained Applications
[IEEE] 2026-6-16 | A Real-Time Compression Method for Airborne LiDAR Full-Waveform Data Using Segment-Based Delta-RLE-Bit Pack
[IEEE] 2026-6-17 | Comparative Study of CAESAR and SqueeSAR Detectors on C-band data
[IEEE] 2026-6-17 | Non-monotonic Variation Mechanism of Electrical Tree Shapes in XLPE with Temperature Increase
[IEEE] 2026-6-16 | Impact of Parenting Styles on Adolescents’ Mental Health: Engineering The Innovative Practices
[IEEE] 2026-6-16 | Artificial intelligence and Women’s Work: a Review of evidence
[IEEE] 2026-6-16 | A Weak Fault Feature Extraction Method for Rolling Bearings Based on SVD and GWO Optimized Feature Mode Decomposition
[IEEE] 2026-6-16 | A Reliable Data Transmission Scheme Based on Satellite Time Synchronization
[IEEE] 2026-6-16 | Investigation of Liquid-Metal Thermal Management for Hypersonic Communication Blackout Mitigation
[IEEE] 2026-6-16 | Based on Coordinate Attention Mechanism and Structural Decoupling: An Optimized Model for Wind Turbine Blade Defect Detection
[IEEE] 2026-6-16 | Surface Pose Monocular Measurement Method Based on Center Bias Correction
[IEEE] 2026-6-16 | Modeling of Force and Thermal Effects in Rarefied Gases Based on Symbolic Regression
[IEEE] 2026-6-16 | Fault Diagnosis of Rolling Bearings Based on Log-Gabor Phase Motion Estimation and Parameter-Adaptive MCKD
[IEEE] 2026-6-16 | Algorithmic Humanity: Exploring AI, Robotics, and the Ethics of Posthuman Life through Posthuman Imagination
[IEEE] 2026-6-16 | Thermal Resistance of Interfaces in Hybrid Bonding Process
[IEEE] 2026-6-16 | A Switching Frequency Stable Buck DC-DC Converter with the Adaptive Constant On-Time
[IEEE] 2026-6-16 | Prior-Guided Probabilistic Framework for Low-Overlap Point Clouds Registration in Neurosurgical Navigation
[IEEE] 2026-6-16 | Frequency-Aware Virtual Instrument for Remaining Useful Life Estimation: Soft-Sensing with Allan Deviation–Based Stability and Noise Robustness
[IEEE] 2026-6-16 | 3D Coverage Maximization via Aerial BS Navigation, Beamforming, and Spectrum Allocation: An Integrated DRL/Optimization Solution
[IEEE] 2026-6-16 | An Event-Based Open-Vocabulary Sound Event Detection Based on 1D-RPN and Multimodal Feature Fusing
[IEEE] 2026-6-16 | LP-MVSNet: A Lightweight Patchmatch-Based Framework for Efficient Multi-View Stereo
[IEEE] 2026-6-16 | GAN-Augmented and LLM-Enhanced Intrusion Detection for Intelligent Vehicles
[IEEE] 2026-6-16 | Hybrid Anomaly Detection for Smart Meters Using Predictive Residuals and Contextual Statistics
[IEEE] 2026-6-16 | Hierarchical Adaptive Attention Mechanism for Low-Light Object Detection
[IEEE] 2026-6-16 | Blood Oxygen Saturation Non-Contact Detection Based on Facial Video
[IEEE] 2026-6-16 | GRAPE: Gossip-Based Representation Alignment Using Prototypical Embeddings for Heterogeneous IoT Devices
[IEEE] 2026-6-16 | A Denoising Diffusion Implicit Model-Based Method for Denoising Rotating Machinery Vibration Signals
[IEEE] 2026-6-16 | Interval-Valued Intuitionistic Fuzzy Set Based Dilemma Assessment in Confrontation Analysis
[IEEE] 2026-6-16 | Graph Neural Network-Based End-to-End Learning for Multi-User MIMO Systems
[IEEE] 2026-6-16 | Research on a Copy-Move Image Forgery Detection Model Based on Parallel Multi-Scale Residual Feature Fusion Network
[IEEE] 2026-6-16 | Comparison of Methods to Experimentally Validate Information-Theoretic Physical Layer Security
[IEEE] 2026-6-16 | Privacy-by-Architecture for Passenger Counting in Growing Economies
[IEEE] 2026-6-16 | Study on Surface Flashover Mechanism of Epoxy Impregnated Paper Insulation in Dry-Type Bushings Under Thermal Gradient
[IEEE] 2026-6-16 | A Multi-Model Framework for Automated News Credibility Analysis and Fake News Detection and Web Scraping
[IEEE] 2026-6-16 | SPAD: Structural Prior-Assisted Detection Algorithm for Steel Surface Defect Inspection
[IEEE] 2026-6-16 | Dynamic Neural Architecture Convolution for Adaptive Laryngeal Lesion Detection in Laryngoscopic Images
[IEEE] 2026-6-16 | Online Incremental Guard-Band Adaptive Scheduling for Time-Sensitive Networking
