[2026-01-01 09:14:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-31
正在获取论文...
[arXiv] 2025-12-31 | GaMO: Geometry-aware Multi-view Diffusion Outpainting for Sparse-View 3D Reconstruction
[IEEE] 2025-12-31 | Deep Learning-Based COVID-19 Forecasting in Egypt Using Behavioral and Epidemiological Features Across Multiple Time Horizons
[IEEE] 2025-12-31 | Boosting IoT Intrusion Detection with Hybrid Federated Learning
[IEEE] 2025-12-31 | Transformer Architectures for Predictive Maintenance Content Generation in Smart Grid Education
[IEEE] 2025-12-31 | Syntax Tree Parsing for Automation Control System Optimization in Robotics Learning Platform
[IEEE] 2025-12-31 | Linearity Analysis of Multi-loop Regulation Voltage Reference Based on GaN MIS-HEMTs
[IEEE] 2025-12-31 | CRFAN Reimagined: Enhancing Cross-Resolution Attention for Super-Resolution Tasks
[IEEE] 2025-12-31 | Optimal Test Case Selection for On-Target Embedded Testing
[IEEE] 2025-12-31 | Classification and Prediction of Soil NPK in Tobacco Fields Using Multi-Channel Reflectance Spectroscopy and Electrical Parameters
[IEEE] 2025-12-31 | Spiking Neural Network for Visual Attention in Brain Tumor Segmentation
[IEEE] 2025-12-31 | Global-Local Normalization based Model Pool for Online Anomaly Detection in IIoT
[IEEE] 2025-12-31 | Study on Carrier Concentration and Signal Enhancement of SiC MOSFET Based on SCM
[IEEE] 2025-12-31 | Partitioning Kernel With Capability Controlled Temporal and Spatial Partitioning
[IEEE] 2025-12-31 | Statistical Machine Translation for Multilingual Access to Medical AI Education Content
[IEEE] 2025-12-31 | A Hybrid Cnn-Lstm Model for Short-Term Wind Power Forecasting with Meteorological Feature Integration
[IEEE] 2025-12-31 | Performance Analysis of Multiplier Architecture and Their Application in Convolution Operations on FPGA
[IEEE] 2025-12-31 | Work-in-Progress: Optimizing IDK Cascades Skip Decisions Utilizing Random Forest Predictions
[IEEE] 2025-12-31 | Knowledge Distillation or Efficient Attention? A Systematic Benchmark of Compact Transformers for ESG Text Classification
[IEEE] 2025-12-31 | Design and Optimization of a Wind–Solar Hybrid Micro-Generator for Electric Vehicle Battery Support
[IEEE] 2025-12-31 | Electromagnetic-Thermal-Fluid Coupled Simulation of the Leakage Flux Transformer with Magnetron Load
[IEEE] 2025-12-31 | Hybrid IDS for IoT Approach Combining Deep Extraction and Robust Classification
[IEEE] 2025-12-31 | IoT-based Support System for Cognitive Fatigue and Posture Detection using CNN and Machine Learning
[IEEE] 2025-12-31 | Development and Implementation of a No-Code Portfolio Creation Platform using AWS Services
[IEEE] 2025-12-31 | Design and Simulation of a High-Sensitivity Thermal Mass Flow Sensor Based on a Glass-Based Diaphragm Structure
[IEEE] 2025-12-31 | Low-Light Polarized Image Enhancement via Multi-Scale Feature Fusion Network
[IEEE] 2025-12-31 | Dissecting Pain: A Study on Multiple Modalities Using Advanced CNN and Transformer Models
[IEEE] 2025-12-31 | A 2.5D Hybrid Packaging Structure for Enhanced Dynamic Current Balancing in Multi-Chip SiC Power Module
[IEEE] 2025-12-31 | Does Interactive AI-Enhanced Learning Increase Study Time: A Large-Scale Longitudinal Survey of Japanese Junior and Senior High School Students
[IEEE] 2025-12-31 | Power and Performance Evaluation of Spidergon and Mesh Topology in Network-on-Chip
[IEEE] 2025-12-31 | A Fast Single-Ended Protection Scheme for Renewable-Energy Dc Transmission Systems with Modular Multilevel Dc-Dc Converter
[ACM] 2025-12-31 | Desk work activity recognition using multiple vibration sensors and machine learning
[ACM] 2025-12-31 | Power Aware Cluster Orchestration: Taxonomy, Initial Results, and Challenges
[ACM] 2025-12-31 | A Hybrid Architecture for a Secured Health Information Exchange using FHIR, Blockchain, and IPFS
[IEEE] 2025-12-31 | Conference Chair
[IEEE] 2025-12-31 | Conference Steering Committee
[IEEE] 2025-12-31 | LIXO:A Smart Waste Management System Using Machine Learning and Location-Based Services
[IEEE] 2025-12-31 | Report
[IEEE] 2025-12-31 | 2025 Seventeenth International Conference on Contemporary Computing (IC3)
[IEEE] 2025-12-31 | 2025 Twelfth International Conference on Intelligent Computing and Information Systems (ICICIS)
[IEEE] 2025-12-31 | An end-to-end non-contact heart rate estimation method based on facial videos via continuous tracking model
[IEEE] 2025-12-31 | Methodical Detection of Silent Data Errors from Foundry to Fleet
[IEEE] 2025-12-31 | Organizers and Committees
[IEEE] 2025-12-31 | Fuzzy Direct Torque Control for a Nine-Phase Open-End Winding PMSM With a Modified Torque Regulator
[IEEE] 2025-12-31 | MTRT: Multi-Task Reconstruction Transformer for Sleep Stage Classification Based on Internet of Things Enabled Wearable Devices
[IEEE] 2025-12-31 | From Strategy to Structure: Guiding Code Quality with GPST in Game-Based Programming Environments
[IEEE] 2025-12-31 | RAT:
                    <u>R</u>
                    esidual
                    <u>A</u>
                    ttention
                    <u>T</u>
                    ransformer for Tabular Data
[IEEE] 2025-12-31 | Biofeedback speeds adaptation to exoskeleton gait assistance
[IEEE] 2025-12-31 | IEEE Transactions on Radiation and Plasma Medical Sciences Publication Information
[IEEE] 2025-12-31 | Table of Contents
[IEEE] 2025-12-31 | A Linearly Polarized Fed All-Metal Dual Circularly Polarized Planar Reflectarray Antenna With Independent Control of Beams
[IEEE] 2025-12-31 | Integrating EDF-PI Scheduling with TDMA-CAN for Reliable Fault-Tolerant Real-Time Embedded Systems
[IEEE] 2025-12-31 | Next-Generation MCDM: How AI is Revolutionizing the Decision Support Process
[IEEE] 2025-12-31 | Advancements in Leaf Recognition Technologies: a Comprehensive Review
[IEEE] 2025-12-31 | Joint SIB19 and GNSS Data Fusion for Enhanced UE Acquisition in LEO NTN
[IEEE] 2025-12-31 | Control of a Nonlinear Liquid Level Processusing Deep Deterministic Policy Gradient Algorithm
[IEEE] 2025-12-31 | Reconfigurable Ring-Enhanced Circular Patch Antenna for 5G and Dual-Band WiFi Applications
[IEEE] 2025-12-31 | A Multi-Layered Architecture for AI-Enhanced Learning in the Edu-Metaverse
[IEEE] 2025-12-31 | A Deep Learning Approach to Early Warning Systems for Glacial Lake Outburst Floods (GLOFs)
[IEEE] 2025-12-31 | Position Control of Servo Motor Using Intelligent P Controller
[IEEE] 2025-12-31 | AI-Driven Real-Time Adaptive Camouflage System
[IEEE] 2025-12-31 | UAV-Assisted Surface Hole Detection and Volume Estimation for Construction Site Monitoring
[IEEE] 2025-12-31 | AgriTwin-Sim: An Interactive Digital Twin Framework for AI-Driven Smart Farming
[IEEE] 2025-12-31 | Adaptive RIS-Assisted User Management for NOMA in 6G Networks
[IEEE] 2025-12-31 | Real-time detection of hotspot defects in photovoltaic panels based on machine vision and edge computing
[IEEE] 2025-12-31 | The Impact of AI on Worker Productivity: A Systematic Literature Review
[IEEE] 2025-12-31 | A Multi-View Signal Fusion Network for Rotating Machinery Fault Diagnosis Using 1D-CNN, Transformer, and LSTM
[IEEE] 2025-12-31 | Enhancing Housing Development under Pradhan Mantri Awas Yojana through Advanced Machine Learning and Predictive Analytics
[IEEE] 2025-12-31 | An Efficient Deep Learning Framework for Retinal Diseases Diagnosis and Treatment Guidance Based on Explainable AI
[IEEE] 2025-12-31 | Corona Discharge Pulse Shape Analysis for Sphere Plane Configurations
[IEEE] 2025-12-31 | Research on Adaptive Dual Fuzzy Logic Driving Style Trajectory Control Based on Deep Learning
[IEEE] 2025-12-31 | Randomizers in Video Games: Algorithms and Complexity Analysis
[IEEE] 2025-12-31 | Toward Energy-Aware AI: Optimization Strategies and Practitioner Guidelines
[IEEE] 2025-12-31 | Impact of Mg Doping Concentration on Hole Distribution and Transport in p-GaN/AlGaN/GaN Heterostructure for Complementary Logic Integration
[IEEE] 2025-12-31 | Coala Enabling Platform: Advancing Low-Impact Agriculture in Australia with Irrigation Management Solutions
[IEEE] 2025-12-31 | Enhancing Intangible Cultural Heritage Preservation: A VR-Based Learning Platform for Jiangmen’s Fish Lantern Craftsmanship
[IEEE] 2025-12-31 | Blue Ocean: A Digital Hub for Empowering India's Fishermen
[IEEE] 2025-12-31 | Leveraging MinIO and FileCloud for On-Premise Storage-as-a-Service in Educational Institutions
[IEEE] 2025-12-31 | Explainable AI for identifying biomarkers for breast cancer survivability prediction
[IEEE] 2025-12-31 | Remote Glucose Monitoring and Decision Support for Diabetes Management Using IoT and Deep Learning
[IEEE] 2025-12-31 | 4H-SiC trench MOSFET with an ultra-low specific on-resistance of 1.87mΩ·c
                    <sup>2</sup>
[IEEE] 2025-12-31 | From Structure to Strength: A Deep Learning Approach to Edge Weighting in Graph-Based Community Detection
[IEEE] 2025-12-31 | Importance of Doses and Dose-Response Modeling in Light Therapies: A Mini Review
[IEEE] 2025-12-31 | G-Band Pre-Matched GaN HEMTs with 2.6 dB Single-Stage Gain
[IEEE] 2025-12-31 | Super Twisting Sliding Mode Controlled Interleaved Boost Converter for Ev Charging Application
[IEEE] 2025-12-31 | Instructor Effectiveness Evaluation for Industry Training Using Rough Set Theory
[IEEE] 2025-12-31 | A Novel Framework for Autonomous Electric Vehicle Systems: 5G/6G Network Integration with Machine Learning and Multi-Access Edge Computing
[IEEE] 2025-12-31 | A Comparative Study based GRU and CNN2 Modulation Recognition
[IEEE] 2025-12-31 | Mask Regional Graph Neural Network Based DeepLearning Techniques for Fish Identifcation and Tracking in the Underwater Environments
[IEEE] 2025-12-31 | Portable Microplastics Electrochemical Sensor: Combining Experiment and Density Functional Theory
[IEEE] 2025-12-31 | Characterization and analysis of 4H-SiC hydrophilic bonding based on plasma activation
[IEEE] 2025-12-31 | Comparative Evaluation of ChatGPT, Gemini, and DeepSeek in Educational Problem Solving
[IEEE] 2025-12-31 | Smart Child Monitoring System with Real-Time Danger Detection Using Artificial Intelligence
[IEEE] 2025-12-31 | Flexibility-Aware Network Resource Partitioning for Multi-State Real-Time Mission-Critical Applications
[IEEE] 2025-12-31 | Profiling Data Movement in SNN Memory Hierarchies
[IEEE] 2025-12-31 | Adaptive Finite-Time Attitude Tracking Control for Quadrotor UAVs with Prescribed Performance
[IEEE] 2025-12-31 | MindSync:An Enhanced Depression Detection Deep Learning Using Multimodal Data Fusion
[IEEE] 2025-12-31 | UAV Batch Authentication Protocol with Trust Management Mechanism
[IEEE] 2025-12-31 | Improvement of the Traffic Light System and Railway Gate at Wonokromo Station Surabaya Using PLC
[IEEE] 2025-12-31 | Soil Moisture Retrieval on Sloped Terrains Using Airborne SAR Data for the Nisar Mission
[IEEE] 2025-12-31 | AI-Driven Approaches for Geriatric Neurodegenerative Diseases Prediction and Detection: A Comprehensive Study
[IEEE] 2025-12-31 | Input-Output Data Driven Intelligent $H_{\infty}$ Fault-Tolerant Tracking Control for Industrial Process in Industry 5.0
[ACM] 2025-12-31 | A Comprehensive Approach for Mitigating Intradialytic Hypotension: Leveraging Enhanced Venous Return and Guided Respiratory Modulation in Patients with End-Stage Renal Disease
[ACM] 2025-12-31 | Predictive Resource Management in the Computing Continuum: Transfer Learning from Virtual Machines to Containers using Transformers
[ACM] 2025-12-31 | HPAQT: Adaptive and Interpretable High-level SLO-aware Autoscaling with Reinforcement Learning
[IEEE] 2025-12-31 | Table of Contents
[IEEE] 2025-12-31 | Beamforming Design and Satellite Selection for Realizing the Integrated Communication and Navigation in LEO Satellite Networks
[IEEE] 2025-12-31 | Respiratory Sensors Based on Force-sensitive Resistor and Piezoelectric Disk for Continuous Respiration Monitoring
[IEEE] 2025-12-31 | Exploring ln(1 +
                    <i>x</i>
                    ) Bounds: A Case Study on the Cellular Network Average Data Rate Bounds
[IEEE] 2025-12-31 | Quantum Multi-View Feature Selection With Configurable Kernel Circuits and Adaptive Fusion
[IEEE] 2025-12-31 | Table of Contents
[IEEE] 2025-12-31 | DMRAD: Dynamic Decomposition and Memory-Aware Reconstruction for Noise-Resilient Multivariate Time Series Anomaly Detection
[IEEE] 2025-12-31 | A Deep Reinforcement Learning-Based Hyper-Heuristic for Time-Dependent Green Logistics With Crowdsourcing
[IEEE] 2025-12-31 | Optimizing Management of Persistent Data Structures in High-Performance Analytics
[IEEE] 2025-12-31 | An Ultra-Low-Harmonic Composite Control Strategy for Single-Phase PWM Rectifiers
[IEEE] 2025-12-31 | A Clinically Validated Multi-Model Fusion Framework Integrating Machine Learning and LSTM Networks for Real Time Geriatric Frailty Assessment
[IEEE] 2025-12-31 | Table of Contents
[IEEE] 2025-12-31 | 50 &amp; 25 Years Ago
[IEEE] 2025-12-31 | Probing In-Orbit Radiation Environment with Sentinel-1 A &amp; B Single Event Effects on Payload Mass Memories
[IEEE] 2025-12-31 | The Loss Separation and Global Hotspot Optimization of High-Speed Permanent Magnet Synchronous Motor Systems
[IEEE] 2025-12-31 | A Graph-Enhanced DeepONet Approach for Real-Time Estimating Hydrogen-Enriched Natural Gas Flow Under Variable Operations
[IEEE] 2025-12-31 | Battery Discharge Capacity Estimation Using Pearson Correlation Retrieval-Based Deep Learning with Initial Cycle Data
[IEEE] 2025-12-31 | Cover Page
[IEEE] 2025-12-31 | 2025 Second International Conference on Intelligent Technologies for Sustainable Electric and Communications Systems (iTech SECOM)
[ACM] 2026-1-1 | Assuring the Case: A Safety Engineering Approach to AI-Enabled Systems
[IEEE] 2025-12-31 | Feasibility Analysis of an Off-Grid Solar PV / Diesel-Generator / Battery System for an Independent Residential Household in a Village of Andhra Pradesh
[IEEE] 2025-12-31 | Secure and Intelligent Roaming Settlements Using Blockchain and AI
[IEEE] 2025-12-31 | Gain Improvement of a Monopole Antenna for Wimax /Wlan 5G/6G Applications Using Amc Technique
[IEEE] 2025-12-31 | GenAI-based Mental Health Chatbots: Efficacy, Personalization and Ethical Considerations
[IEEE] 2025-12-31 | Urban Noise Canceller
[IEEE] 2025-12-31 | On the use of pharmacies to establish a defibrillator network
[IEEE] 2025-12-31 | Optimizing Sowing Dates and Crop Yield with Predictive Models
[IEEE] 2025-12-31 | System and Method for Accelerating Multilinear Tensor Transformations Using an Isomorphic Architecture and Efficient Sparse Processing
[IEEE] 2025-12-31 | MEMSCOPE: Open-Source Kernel-Level Framework for Heterogeneous Memory Characterization
[IEEE] 2025-12-31 | Toward Predictable Deflection Routing in Routerless NoCs for Real-Time Systems
[IEEE] 2025-12-31 | Experimental Study on Dynamic Resistance Characteristics of Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Schottky Barrier Diodes
[IEEE] 2025-12-31 | Review of Global Inertia Procurement Practices: Lessons for South Africa
[IEEE] 2025-12-31 | A Modified Kornai-Liptak Decomposition Method for Equitable Photovoltaic Operating Envelopes Allocation in Distribution Systems
[IEEE] 2025-12-31 | Power System Risk Assessment and Premium Determination Considering on Wind Turbine Faults
[IEEE] 2025-12-31 | A Stereo Vision-Based Method for Measuring Cathode Bar Consumption in Electrolytic Cells
[IEEE] 2025-12-31 | Affective State Recognition in Online Learning: A Deep Learning Approach with Data Augmentation
[IEEE] 2025-12-31 | Study on Surface Damage of 12-Inch Silicon Carbide Wafers During Diamond Wire Cutting
[IEEE] 2025-12-31 | Design and Simulation of the 19 kV N-Channel SiC IGBT: Buffer Stack Engineering for High Blocking Capability and Low Forward Voltage Drop
[IEEE] 2025-12-31 | High-Efficiency Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    /AlN/GaN MIS-HEMTs for Low-Voltage RF Power Amplifiers
[IEEE] 2025-12-31 | Integrating Machine Learning Approaches for Consumer Behavior Analysis in Retail Transactions
[IEEE] 2025-12-31 | FreeRTOS based Smart Waste Management System
[IEEE] 2025-12-31 | Custom Image-To-Graph Transformation Strategies for Object Detection with GATs on the KITTI Dataset
[IEEE] 2025-12-31 | Grape: Efficient Spatiotemporal Prediction Services with Stale Sensing Streams
[IEEE] 2025-12-31 | A Tubular IPMC Sensor for Two-Dimensional Dynamic Flow Sensing
[IEEE] 2025-12-31 | Efficient Machine Unlearning using Mislabel Unlearning
[IEEE] 2025-12-31 | A Study on the Performance and Usability of Managed Memory and Unified Memory for Accelerating Numerical Calculation Program
[IEEE] 2025-12-31 | Performance Optimization of Machine Inference Applications on Edge Devices with a RISC-V Custom Instruction
[IEEE] 2025-12-31 | Ultralow Radio Frequency Loss for GaN on Sapphire
[IEEE] 2025-12-31 | Mitigation of Complex Transients and Electrical Noise in Distribution Grids using a Series Compensation Framework
[IEEE] 2025-12-31 | Impact Analysis of Single-Phase and Three-Phase Electric Vehicle Charging Stations on Power System Operation and Quality
[IEEE] 2025-12-31 | Coronary Artery Disease Detection using Machine Learning
[IEEE] 2025-12-31 | A Ridge Recognition Method Based on the Statistical Law of Digital Image Pixel Values
[IEEE] 2025-12-31 | FP-FBEMS: FPGA-Based Optimization of Forward/Backward EMS Decoding for CV-QKD
[IEEE] 2025-12-31 | Wide Band Gap Semiconductor Devices in Power Converter Design for Electric Vehicle Applications
[IEEE] 2025-12-31 | Implementation of Field Oriented Control for Induction Motor Drive for Electric Vehicle Application
[IEEE] 2025-12-31 | Socioeconomic Impact Assessment of Renewable Energy Access Using DBSCAN Clustering Methods
[IEEE] 2025-12-31 | Control Strategy for High-Inertia Energy Storagebased Synchronous Condenser During Power Grid Short-Circuit Faults
[IEEE] 2025-12-31 | Data augmentation and parameter prediction method based on CTABGAN and GBDT for chemical oxidation process
[IEEE] 2025-12-31 | Research on Functional Safety Development and Testing Methods of PCU System for HEV
[IEEE] 2025-12-31 | Simulating Quantum Threats to Web3 Cryptographic Primitives using Qiskit
[IEEE] 2025-12-31 | Smart Meter Implementation for Advanced Home Energy Optimization
[IEEE] 2025-12-31 | ASIC Implementation of 5-Stage Pipelined RISC-Vprocessor with 4-Stage Pipelined Multiply Unit using Openlane
[IEEE] 2025-12-31 | Predictive Current Control of Interior Permanent Magnet Synchronous Motor Based on Improved MRAS Parameter Identification
[IEEE] 2025-12-31 | BiCrossNet: Bridging Image and Landmark-Guided Features with Bidirectional Cross-Attention for Head Pose Estimation
[ACM] 2025-12-31 | Fostering Digital Health Innovation in Malaysia: The Role of Strategic Policies and Ecosystem Development
[ACM] 2025-12-31 | Gender-based Analysis of Nonlinear Cerebral Autoregulation under Hyperventilation for Diabetes Mellitus Patients
[ACM] 2025-12-31 | Proceedings of the 2025 9th International Conference on Medical and Health Informatics
[ACM] 2025-12-31 | Employing skin permeation coefficient prediction model in searching of possible operator exposure hazardous pesticides in Taiwan
[IEEE] 2025-12-31 | Committees
[IEEE] 2025-12-31 | Copyright and Reprint Permission
[IEEE] 2025-12-31 | MSIA: A Multi-Scale Interactive Attention Network Assisted by Self-Supervised Contrastive Learning for Hyperspectral Image Classification
[IEEE] 2025-12-31 | Granularity-Inconsistent Transformer for Unsupervised Hyperspectral Anomaly Detection
[IEEE] 2025-12-31 | Exploring the Role of Randomization on Belief Rigidity in Online Social Networks
[IEEE] 2025-12-31 | An Adaptive Multi-scale Graph and Seasonal Decomposition LSTM Framework for Accurate Wastewater Effluent Forecasting
[IEEE] 2025-12-31 | ELG-YOLO: Multi-Scale Feature Fusion and Attention Mechanisms for Enhanced Steel Surface Defect Detection
[IEEE] 2025-12-31 | MSMD-YOLO: Enhanced Printed Circuit Board Defect Detection with a Multi-Scale Merging and Attention Network
[IEEE] 2025-12-31 | Machine Learning Approaches for Handling Missing Data in Antimicrobial Resistance Databases
[IEEE] 2025-12-31 | Handling Dual Skewness in Citywide Crime Prediction Using Personalized Graph Federated Learning
[IEEE] 2025-12-31 | Hybrid Quantum-Transformer Network-Based Probabilistic Multi-Energy Flow Calculation in Integrated Energy System
[IEEE] 2025-12-31 | Prototype Development and Testing of a Superconducting Synchronous Condenser With REBCO Rotor Magnets
[IEEE] 2025-12-31 | Computer Highlights Society Magazines
[IEEE] 2025-12-31 | Sharing the Journey
[IEEE] 2025-12-31 | 2025 12th International Conference on Wireless Networks and Mobile Communications (WINCOM)
[IEEE] 2025-12-31 | Attitude–Orbit Integrated Modeling and Control for Flexible Spacecraft Based on Twistors and Fully Actuated System Approach
[ACM] 2025-12-31 | Secure Robot-to-Robot interactions with DID and State Channel
[ACM] 2025-12-31 | A Distributed Knowledge Graph Architecture for Cross-Domain Script Analysis: Towards Deciphering Indus Valley
[ACM] 2025-12-31 | FedSynthesis: A Flower-based Framework for Carbon-Reduced Federated Learning
[ACM] 2025-12-31 | Unsupervised Term Extraction in Highly Technical Domains: Models and Datasets for Low-Resource Kazakh and English Languages
[IEEE] 2025-12-31 | Table of Contents
[IEEE] 2025-12-31 | IEEE Transactions on NanoBioscience Publication Information
[IEEE] 2025-12-31 | Development of a Microwave SQUID Multiplexer for Magnetic Microbolometers
[IEEE] 2025-12-31 | Multivehicles Cooperation: USV and AUV Cooperative Data Collection for Underwater Wireless Sensor Networks
[IEEE] 2025-12-31 | Keynote Speakers
[IEEE] 2025-12-31 | Conference Committee
[IEEE] 2025-12-31 | Copyright Page
[IEEE] 2025-12-31 | SSLCHINA: IFWS 2025 Copyright Page
[IEEE] 2025-12-31 | A Novel Approach to Identifying Oscillation-Vulnerable Buses Through Reflection Coefficient Analysis
[IEEE] 2025-12-31 | Performance-Driven MAC Unit Designs in Convolution Engines: A Hardware-Centric Review
[IEEE] 2025-12-31 | Drone Based Precision Agriculture Technique to Increase Crop Yield Using Machine Learning
[IEEE] 2025-12-31 | A Soft-Real-Time Optimal Scheduler for DAG Tasks with Node-Level Self Dependencies
[IEEE] 2025-12-31 | Semantic Embedding Models for Technical Documentation Analysis in Battery Management Systems Education
[IEEE] 2025-12-31 | Mixed Supervision for 6-DoF Grasp Pose Estimation with Few-shot Annotation
[IEEE] 2025-12-31 | Electric Vehicle Charging Station with Solar PV and Grid Power
[IEEE] 2025-12-31 | A Multimodal Biometric Authentication Framework using Hybrid CNN-LSTM and Aquavian Optimization for Robust Face, Hand, and Iris Recognition
[IEEE] 2025-12-31 | Modified RIME Algorithm with Deep Reinforcement Learning Assisted Operator Selection for Robotic Assembly Line Balancing Problem
[IEEE] 2025-12-31 | Android UI Based Portable PCB Components Identification System Using Template Matching Image Processing Strategy
[IEEE] 2025-12-31 | Research on Cat’s Eye Target Detection Algorithm Based on Multi-Kernel Perception
[IEEE] 2025-12-31 | A Simple Proof of Consensus for Second-order Integrator Agents with Switching Topology and Time-varying Delays
[IEEE] 2025-12-31 | CH2AI: Dynamic Checkpoint Scheduling of Anytime Neural Networks on Heterogeneous Units
[IEEE] 2025-12-31 | Towards Proactive Cybersecurity in Smart Grids: Behavioral Advanced Persistent Threat Detection via Adversarial and Autoencoder Architectures
[IEEE] 2025-12-31 | Identification method of gas-solid flow regime based on electrostatic sensor and TSResNet
[IEEE] 2025-12-31 | HybridFaceNet: AI-ML Framework for Digital Attendance Systems with GPS and Multi-Modal Biometrics
[IEEE] 2025-12-31 | AI-Driven Stylistic Analysis of PLC Programming Content for Industrial Automation Education
[IEEE] 2025-12-31 | Real-Time Smart Headlight Switching for Enhanced Road Safety
[IEEE] 2025-12-31 | Watt Watcher: An RTOS-Powered Energy Meter
[IEEE] 2025-12-31 | Real-Time Roadside Animal Detection for Traffic Safety Using Yolov8 and Faster RCNN
[IEEE] 2025-12-31 | Work-in-Progress: A Timing-Anomaly Free Dynamic Scheduling on Heterogeneous Systems
[IEEE] 2025-12-31 | An LLM-Enabled Multi-Agent System for Evidence-Grounded Fact Checking
[IEEE] 2025-12-31 | A Monolithically Integrated GaN MIS-HEMT DFF Circuit for High Temperature and High Frequency Applications
[IEEE] 2025-12-31 | Cross-Modality Cooperative Perception for Multiple Vehicles under V2X
[IEEE] 2025-12-31 | Federated-Aware Intelligent Mode Selection with Low-Latency Scheduling in Computing Power Networks
[IEEE] 2025-12-31 | Physical Motion Classification in Assistive Industrial Robotics Using Support Vector Data Description
[IEEE] 2025-12-31 | A Decentralized Identity System Based on Unbound Implicit Certificates for Intelligent Eco Networking
[IEEE] 2025-12-31 | AI-Driven QoS Optimization and Buffer Management in Software Defined Networks
[IEEE] 2025-12-31 | A Hybrid Approach for Predicting Maternal Health Risks: An Ablation Study Analysis
[IEEE] 2025-12-31 | Similarity-Based Trajectory Prediction in Location-Based Social Network
[IEEE] 2025-12-31 | Hybrid Embedding-Based Approaches for Fake Profile Detection
[IEEE] 2025-12-31 | Mind Ease: An Empathetic AI Companion for Women's Mental Wellness
[IEEE] 2025-12-31 | A Low-Complexity Time-Domain Equalization Method for Cross-Domain Iterative Reception in OTFS-SCMA
[IEEE] 2025-12-31 | Two-tier Planning and Design of Capacity Allocation for Polar Integrated Energy Systems based on Improved Keplerian Algorithm
[ACM] 2025-12-31 | Guiding mHealth Development for Non-communicable Diseases: A Theory-Based Design Science Framework
[ACM] 2025-12-31 | An Interpretable AI Model for Alzheimer's Disease Detection using Retinal Images
[ACM] 2025-12-31 | Simplifying Federated Learning Deployment: Design and Implementation of the FLeeT Framework
[ACM] 2025-12-31 | A Real-Time Pipeline for Digital-Twin Object Composition in Driving Videos using SAM2 and Adaptive Illumination
[ACM] 2025-12-31 | Enhancing Question Answering for Low-Resource Languages: The Case of Kazakh Language
[ACM] 2025-12-31 | A model for Distributed Machine Learning
[ACM] 2025-12-31 | Task Scheduling in Edge Computing Environments: a Hierarchical Cluster-based Federated Deep Reinforcement Learning Approach
[IEEE] 2025-12-31 | Gold Nanoparticle Coating Reduces Acoustic Pressure Threshold for Perfluorohexane Nanodroplet Vaporization: Potential Mechanisms and Therapy Implications
[IEEE] 2025-12-31 | Gproxy: Communication-Efficient Federated Graph Learning With Efficient Adaptive Proxying
[IEEE] 2025-12-31 | Multimodal Contrastive Prototype Learning for Resilient Brain Tumor Segmentation With Missing Modalities
[IEEE] 2025-12-31 | A Multi-level Probabilistic Deep Learning Network Augmented with Normalizing Flow for Ambiguous Medical Image Segmentation
[IEEE] 2025-12-31 | Integral-type terminal sliding mode MPPT controller for a standalone PV system with a DC-DC boost converter under real time varying weather conditions
[IEEE] 2025-12-31 | Visually Meaningful Encryption via Image-to-Image Reversible Transformation
[IEEE] 2025-12-31 | Variable-Carrier-Based PWM Control of Hybrid Energy Storage System for More Electric Aircraft
[IEEE] 2025-12-31 | Performance Assessment of Li-containing Single Crystal Scintillators for Simultaneous Neutron and Gamma Ray Detection_supp1-3649515.docx
[IEEE] 2025-12-31 | Foreword
[IEEE] 2025-12-31 | Table of Contents
[IEEE] 2025-12-31 | Blockchain-Based Decentralized Production Progress Early Warning in Social Manufacturing Paradigm
[ACM] 2026-1-1 | DT-sampler: A SAT-based Decision Tree Ensemble
[IEEE] 2025-12-31 | The Role of Cyber-Physical Security Mechanisms to Secure the Operation of Cyber-Physical Systems
[IEEE] 2025-12-31 | CMOS-Compatible Low-Temperature Au-Free Ohmic Contact Process for GaN
[IEEE] 2025-12-31 | HLS to FPGAs: Extending Software Regions Via Transformations and Offloading Functions to the CPU
[IEEE] 2025-12-31 | Workers Target Detection in Workshop Based on Improved YOLOv5
[IEEE] 2025-12-31 | Multi-physical simulation study on optimizing the temperature gradient in SiC single crystal PVT growth by regulating emissivity via roughness gradient on the outer wall of graphite crucible
[IEEE] 2025-12-31 | Instruction-Directed MAC for Efficient Classical Communication in Scalable Multi-Chip Quantum Systems
[IEEE] 2025-12-31 | Machine Learning Models for Predicting Deformation in RC Slabs Shielded by Auxetic Sandwich Panels Under Impact
[IEEE] 2025-12-31 | A Data-Driven Framework for Female School Dropout Analysis and Targeted Recommendations
[IEEE] 2025-12-31 | YOLOv8 Driven Pothole Detection with Manual Geolocation Tagging for Intelligent Road Networks
[IEEE] 2025-12-31 | Autonomous Indoor Customization: The Future of Human Comfort and Productivity
[IEEE] 2025-12-31 | PHMN-Gap: An Enhanced Algorithm for Mining Periodic High-Utility Itemsets with Temporal Gap Constraints
[IEEE] 2025-12-31 | AP Energy-based Handoff in High Speed 802.11ac WLAN
[IEEE] 2025-12-31 | Scientific Data Management Beyond Traditional Computing Boundaries
[IEEE] 2025-12-31 | Real-Time GUI-Based Facial Emotion Recognition Using the IEMOCAP Dataset
