[2026-01-23 09:18:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-22
正在获取论文...
[arXiv] 2026-01-22 | JADES: Evolution of nitrogen abundances in star-forming galaxies from z ~ 1.5-7
[arXiv] 2026-01-22 | Blue to Near-IR Integrated PZT Silicon Nitride Modulators for Quantum and Atomic Applications
[arXiv] 2026-01-22 | Fractional squeezing: spectra and dynamics from generalized squeezing Hamiltonian with fractional orders
[arXiv] 2026-01-22 | Symbolic Rees algebras of space monomial primes of degree 5
[arXiv] 2026-01-22 | Performance-guided Reinforced Active Learning for Object Detection
[arXiv] 2026-01-22 | Global regularity for the Navier-Stokes equations with application to global solvability for the Euler equations
[arXiv] 2026-01-22 | Quantum-HPC hybrid computation of biomolecular excited-state energies
[arXiv] 2026-01-22 | Local smoothing estimates for bilinear Fourier integral operators
[arXiv] 2026-01-22 | TempoNet: Learning Realistic Communication and Timing Patterns for Network Traffic Simulation
[arXiv] 2026-01-22 | Integrating Knowledge Distillation Methods: A Sequential Multi-Stage Framework
[arXiv] 2026-01-22 | Predictive Coding and Information Bottleneck for Hallucination Detection in Large Language Models
[arXiv] 2026-01-22 | Observation of $CP$ violation in $B^{0}\!\to{J\mskip-3mu/\mskip-2muψ}ρ(770)^0$ decays
[arXiv] 2026-01-22 | Advancing RT Core-Accelerated Fixed-Radius Nearest Neighbor Search
[arXiv] 2026-01-22 | Explainable Deepfake Detection with RL Enhanced Self-Blended Images
[arXiv] 2026-01-22 | When Sharpening Becomes Collapse: Sampling Bias and Semantic Coupling in RL with Verifiable Rewards
[arXiv] 2026-01-22 | Airflow Source Seeking on Small Quadrotors Using a Single Flow Sensor
[arXiv] 2026-01-22 | Ternary Spiking Neural Networks Enhanced by Complemented Neurons and Membrane Potential Aggregation
[arXiv] 2026-01-22 | An Iterated Hybrid Fast Parallel FIR Filter
[arXiv] 2026-01-22 | Head-wearable Holographic Head-mounted Display with 6 Degrees of Freedom
[arXiv] 2026-01-22 | Disparate Quantum Corrections to Conduction in Carbon Nanotube Bundles
[arXiv] 2026-01-22 | Enhanced Convergence in p-bit Based Simulated Annealing with Partial Deactivation for Large-Scale Combinatorial Optimization Problems
[arXiv] 2026-01-22 | Distributed Uplink Anti-Jamming in LEO Mega-Constellations via Game-Theoretic Beamforming
[arXiv] 2026-01-22 | VIOLA: Towards Video In-Context Learning with Minimal Annotations
[arXiv] 2026-01-22 | Geometry of spherical spin glasses
[arXiv] 2026-01-22 | JWST Advanced Deep Extragalactic Survey (JADES) Data Release 5: MIRI Coordinated Parallels in GOODS-S and GOODS-N
[arXiv] 2026-01-22 | Extreme Score Distributions in Countable-Outcome Round-Robin Tournaments of Equally Strong Players
[arXiv] 2026-01-22 | Natural Language-Driven Global Mapping of Martian Landforms
[arXiv] 2026-01-22 | A 2 au resolution view by ALMA of the planet-hosting WISPIT 2 disk
[arXiv] 2026-01-22 | Accurate Calibration and Robust LiDAR-Inertial Odometry for Spinning Actuated LiDAR Systems
[arXiv] 2026-01-22 | Quantitative absorption tomography
[arXiv] 2026-01-22 | Mutation Of Matrices Over Group Rings
[arXiv] 2026-01-22 | Metric constructions and fixed point theorems in product spaces
[arXiv] 2026-01-22 | Pregroup representable expansions of residuated lattices
[arXiv] 2026-01-22 | Improved cryptographic security in teleportation with q-deformed non-maximal entangled states
[arXiv] 2026-01-22 | Threshold corrections in SMEFT
[arXiv] 2026-01-22 | Stable-DiffCoder: Pushing the Frontier of Code Diffusion Large Language Model
[arXiv] 2026-01-22 | Understanding the Transfer Limits of Vision Foundation Models
[arXiv] 2026-01-22 | Search for the reaction channel $e^+ e^- \to ηη\,J/ψ$ and the isospin partner of the $Z_c(3900)$ at center-of-mass energies $\sqrt{s} = 4.226-4.950$ GeV
[arXiv] 2026-01-22 | Recovery of nonlinear material parameters in a quasilinear Lamé system
[arXiv] 2026-01-22 | The thermal backreaction of a scalar field in dS spacetime. II. Spectrum enhancement and holography
[arXiv] 2026-01-22 | Out-of-Distribution Detection Based on Total Variation Estimation
[arXiv] 2026-01-22 | A Lightweight Brain-Inspired Machine Learning Framework for Coronary Angiography: Hybrid Neural Representation and Robust Learning Strategies
[arXiv] 2026-01-22 | Minimum Envy Graphical House Allocation Beyond Identical Valuations
[arXiv] 2026-01-22 | Hybrid films of Co - C60 preparation and changes induced by external stimuli
[arXiv] 2026-01-22 | Localized emission in MoSe$_2$ monolayers on GaN nanopillars
[arXiv] 2026-01-22 | CGPT: Cluster-Guided Partial Tables with LLM-Generated Supervision for Table Retrieval
[arXiv] 2026-01-22 | Quantitative Borg-Levinson theorem for the magnetic Schödinger operator with unbounded electrical potential
[arXiv] 2026-01-22 | Weak Centrality: AF-algebras, C(X)-algebras, and group C*-algebras
[arXiv] 2026-01-22 | Magic of discrete lattice gauge theories
[arXiv] 2026-01-22 | Riemann-Hilbert approach for the nonlocal modified Korteweg-de Vries equation with a step-like oscillating background
[arXiv] 2026-01-22 | Orientational ordering and correlations in a quasi-one-dimensional hard-dumbbell fluid
[arXiv] 2026-01-22 | Towards Realistic Remote Sensing Dataset Distillation with Discriminative Prototype-guided Diffusion
[arXiv] 2026-01-22 | Improved Approximation Ratios for the Shortest Common Superstring Problem with Reverse Complements
[arXiv] 2026-01-22 | ErrorMap and ErrorAtlas: Charting the Failure Landscape of Large Language Models
[arXiv] 2026-01-22 | Inference-Time Scaling of Verification: Self-Evolving Deep Research Agents via Test-Time Rubric-Guided Verification
[arXiv] 2026-01-22 | Entangled Life and Code: A Computational Design Taxonomy for Synergistic Bio-Digital Systems
[arXiv] 2026-01-22 | Equivariant linear isometries and infinite little discs operads via transfer systems
[arXiv] 2026-01-22 | Decay Effect on Near-Threshold Mass Scaling with Complex and Coupled-Channel Potentials
[arXiv] 2026-01-22 | Deuteration of HC3N and CH3CCH in the pre-stellar core L1544
[arXiv] 2026-01-22 | Localization of complementarity eigenvalues
[arXiv] 2026-01-22 | Efficient Numerical Reconstruction of Wave Equation Sources via Droplet-Induced Asymptotics
[arXiv] 2026-01-22 | Remarks about symmetry-type conditions of conditional bases of Banach spaces
[arXiv] 2026-01-22 | Assessing Situational and Spatial Awareness of VLMs with Synthetically Generated Video
[arXiv] 2026-01-22 | UXCascade: Scalable Usability Testing with Simulated User Agents
[arXiv] 2026-01-22 | Coherent Mode Decoupling: A Versatile Framework for High-Throughput Partially Coherent Light Transport
[arXiv] 2026-01-22 | Next Generation Active Learning: Mixture of LLMs in the Loop
[arXiv] 2026-01-22 | Explainable deep-learning detection of microplastic fibers via polarization-resolved holographic microscopy
[arXiv] 2026-01-22 | Multi-Scale Irregularities Product: a data product utilizing the high-resolution Swarm plasma density data for space weather applications
[arXiv] 2026-01-22 | White-Box mHC: Electromagnetic Spectrum-Aware and Interpretable Stream Interactions for Hyperspectral Image Classification
[arXiv] 2026-01-22 | CAFE-GB: Scalable and Stable Feature Selection for Malware Detection via Chunk-wise Aggregated Gradient Boosting
[arXiv] 2026-01-22 | Inverse Design of Tightly Woven Smart Fabrics
[arXiv] 2026-01-22 | Permanent Lattice Compression of Lead-Halide Perovskite for Persistently Enhanced Optoelectronic Properties
[arXiv] 2026-01-22 | Breaking the Resolution Barrier: Arbitrary-resolution Deep Image Steganography Framework
[arXiv] 2026-01-22 | LLM-Assisted Automatic Dispatching Rule Design for Dynamic Flexible Assembly Flow Shop Scheduling
[arXiv] 2026-01-22 | GRB~250704B/EP250704a a Short Gamma-Ray Burst Powered by a Magnetar
[arXiv] 2026-01-22 | U3-xi: Pushing the Boundaries of Speaker Recognition via Incorporating Uncertainty
[arXiv] 2026-01-22 | On the Missing Red Giants near the Galactic Center
[arXiv] 2026-01-22 | Ergodic averages for commutative transformations along return times
[arXiv] 2026-01-22 | Average Unfairness in Routing Games
[arXiv] 2026-01-22 | Inversion problem in algebras of integrable functions with summable Fourier transforms
[arXiv] 2026-01-22 | Engineering polarization: How contradictory stimulation systematically undermines political moderation
[arXiv] 2026-01-22 | Learning to Discover at Test Time
[arXiv] 2026-01-22 | Structured Hints for Sample-Efficient Lean Theorem Proving
[arXiv] 2026-01-22 | On the dimension drop for harmonic measure on uniformly non-flat Ahlfors-David regular boundaries
[arXiv] 2026-01-22 | Magnetar fraction in Core-Collapse Supernovae
[arXiv] 2026-01-22 | Charge and spin orders in the t-U-V-J model: a slave-spin-1 approach
[arXiv] 2026-01-22 | High-Degree Polynomial Approximations for Solving Linear Integral, Integro-Differential, and Ordinary Differential Equations
[arXiv] 2026-01-22 | Learning to Watermark in the Latent Space of Generative Models
[arXiv] 2026-01-22 | Pointwise Ergodic Averages Along the Omega Function in Number Fields
[arXiv] 2026-01-22 | On computational schemes for the Magnus expansion of the in-medium similarity renormalization group
[arXiv] 2026-01-22 | One-Loop QCD Corrections to $\bar{B}\to X_c \ell \barν_\ell$ in and Beyond the Standard Model
[arXiv] 2026-01-22 | Proximity Operator of the $\ell_1$ over $\ell_2$ Function
[arXiv] 2026-01-22 | Canonical structure of the LLG equation for exponential updates in micromagnetism
[arXiv] 2026-01-22 | Exceptional points in Gaussian channels: diffusion gauging and drift-governed spectrum
[arXiv] 2026-01-22 | synthocr-gen: A synthetic ocr dataset generator for low-resource languages- breaking the data barrier
[arXiv] 2026-01-22 | Transition in Splitting Probabilities of Quantum Walks
[arXiv] 2026-01-22 | Stability and Decay for the 2D Anisotropic Navier-Stokes Equations with Fractional Horizontal Dissipation on $\mathbb{R}^2$
[arXiv] 2026-01-22 | Algorithms for Algebraic and Arithmetic Attributes of Hypergeometric Functions
[arXiv] 2026-01-22 | Biexcitons in Ruddlesden-Popper Metal Halides Probed by Nonlinear Coherent Spectroscopy
[arXiv] 2026-01-22 | SAMTok: Representing Any Mask with Two Words
[arXiv] 2026-01-22 | Multi-particle correlators with higher KK modes I: a bootstrap approach
[arXiv] 2026-01-22 | Rainbow spanning structures in strongly edge-colored graphs
[arXiv] 2026-01-22 | Roche limit and stellar disruption in the Simpson--Visser spacetime
[arXiv] 2026-01-22 | CLASP: An online learning algorithm for Convex Losses And Squared Penalties
[arXiv] 2026-01-22 | Phi-SegNet: Phase-Integrated Supervision for Medical Image Segmentation
[arXiv] 2026-01-22 | ProGiDiff: Prompt-Guided Diffusion-Based Medical Image Segmentation
[arXiv] 2026-01-22 | Fully Functional Weighted Testing for Abrupt and Gradual Location Changes in Functional Time Series
[arXiv] 2026-01-22 | Critical scaling in the $N=1$ Thirring Model in $(2+1)d$
[arXiv] 2026-01-22 | From Harm to Healing: Understanding Individual Resilience after Cybercrimes
[arXiv] 2026-01-22 | Enhanced Representation-Based Sampling for the Efficient Generation of Datasets for Machine-Learned Interatomic Potentials
[arXiv] 2026-01-22 | RIS-Aided Cooperative ISAC Network for Imaging-Based Low-Altitude Surveillance
[arXiv] 2026-01-22 | Sawtooth Wavefront Reordering: Enhanced CuTile FlashAttention on NVIDIA GB10
[arXiv] 2026-01-22 | Echoed Random Quantum Metrology
[arXiv] 2026-01-22 | A Fast Monte Carlo Newton-Raphson Algorithm to Estimate Generalized Linear Mixed Models with Dense Covariance
[arXiv] 2026-01-22 | Stability Analysis of Power-Electronics-Dominated Grids Using Scaled Relative Graphs
[arXiv] 2026-01-22 | Graph Topology Identification Based on Covariance Matching
[arXiv] 2026-01-22 | Semiclassical entanglement entropy for spin-field interaction
[arXiv] 2026-01-22 | HyperAlign: Hypernetwork for Efficient Test-Time Alignment of Diffusion Models
[arXiv] 2026-01-22 | Lead distance under a pickoff limit in Major League Baseball: A sequential game model
[arXiv] 2026-01-22 | Class Confidence Aware Reweighting for Long Tailed Learning
[arXiv] 2026-01-22 | LHC Signatures of Neutral Scalar Cascades in the $Z_3$ symmetric 3HDM
[arXiv] 2026-01-22 | The distinguishing number of complete bipartite and crown graphs
[arXiv] 2026-01-22 | Constraining dark energy models using Jackknife and Bootstrap resampling
[arXiv] 2026-01-22 | Computing Fixpoints of Learned Functions: Chaotic Iteration and Simple Stochastic Games
[arXiv] 2026-01-22 | Robust Bell Nonlocality from Gottesman-Kitaev-Preskill States
[arXiv] 2026-01-22 | Layered automata: A canonical model for automata over infinite words
[arXiv] 2026-01-22 | The ESSnuSB-plus (ESSnuSB+) Project: Status and Prospects
[arXiv] 2026-01-22 | zkFinGPT: Zero-Knowledge Proofs for Financial Generative Pre-trained Transformers
[arXiv] 2026-01-22 | Even GPT-5.2 Can't Count to Five: The Case for Zero-Error Horizons in Trustworthy LLMs
[arXiv] 2026-01-22 | AgentSM: Semantic Memory for Agentic Text-to-SQL
[arXiv] 2026-01-22 | Persona Switch: Mixing Distinct Perspectives in Decoding Time
[arXiv] 2026-01-22 | Agentic Uncertainty Quantification
[arXiv] 2026-01-22 | On mode transition algebras for $\mathbb{Z}$-graded vertex algebras and applications to bosonic ghosts
[arXiv] 2026-01-22 | Maximal Fuchsian subgroups of the $d=2$ Bianchi group
[arXiv] 2026-01-22 | Learning Functional Graphs with Nonlinear Sufficient Dimension Reduction
[arXiv] 2026-01-22 | Tight Bounds for Gaussian Mean Estimation under Personalized Differential Privacy
[arXiv] 2026-01-22 | Improving Methodologies for Agentic Evaluations Across Domains: Leakage of Sensitive Information, Fraud and Cybersecurity Threats
[arXiv] 2026-01-22 | Bridging the Perception Gap: A Lightweight Coarse-to-Fine Architecture for Edge Audio Systems
[arXiv] 2026-01-22 | EmotionThinker: Prosody-Aware Reinforcement Learning for Explainable Speech Emotion Reasoning
[arXiv] 2026-01-22 | Construction and Box-counting Dimension of the Edelstein Hidden Variable Fractal Interpolation Function
[arXiv] 2026-01-22 | Reflective Motion and a Physical Canvas: Exploring Embodied Journaling in Virtual Reality
[arXiv] 2026-01-22 | Iterative Derivations on Central Simple Algebras
[arXiv] 2026-01-22 | Linear stability of the first bifurcation in a tumor growth free boundary problem via local bifurcation structure
[arXiv] 2026-01-22 | An Empirical Study on Ensemble-Based Transfer Learning Bayesian Optimisation with Mixed Variable Types
[arXiv] 2026-01-22 | A Class of Subadditive Information Measures and their Applications
[arXiv] 2026-01-22 | Anomalous valley Hall dynamics of exciton-polaritons
[arXiv] 2026-01-22 | Burst Mode Ultrafast Laser Welding of Sapphire and Fe-36Ni Alloy with Non-optical Contact Condition
[arXiv] 2026-01-22 | Mapping Social Media User Behaviors in Reciprocity Space
[arXiv] 2026-01-22 | On the Nonasymptotic Scaling Guarantee of Hyperparameter Estimation in Inhomogeneous, Weakly-Dependent Complex Network Dynamical Systems
[arXiv] 2026-01-22 | Blockchain-Based Spectrum Resource Securitization via Semi-Fungible Token-Lock
[arXiv] 2026-01-22 | Swelling-Induced Stress-Assisted Transfer of Nanodiamond Arrays with a PVA Carrier Tape for Conformal Bio-Integrated Sensing and Labelling
[arXiv] 2026-01-22 | Amalgamated CHIRP and OFDM for ISAC
[arXiv] 2026-01-22 | MapViT: A Two-Stage ViT-Based Framework for Real-Time Radio Quality Map Prediction in Dynamic Environments
[arXiv] 2026-01-22 | Source identification for the Swift-BAT 150-month hard X-ray catalog using soft X-ray observations
[arXiv] 2026-01-22 | FUGC: Benchmarking Semi-Supervised Learning Methods for Cervical Segmentation
[arXiv] 2026-01-22 | Non-universality of ternary quadratic forms over fields containing $\sqrt2$
[arXiv] 2026-01-22 | Bright Pulsed Squeezed Light for Quantum-Enhanced Precision Microscopy
[arXiv] 2026-01-22 | BanditLP: Large-Scale Stochastic Optimization for Personalized Recommendations
[arXiv] 2026-01-22 | ALIGNAgent: Adaptive Learner Intelligence for Gap Identification and Next-step guidance
[arXiv] 2026-01-22 | RDumb++: Drift-Aware Continual Test-Time Adaptation
[arXiv] 2026-01-22 | A multiwavelength ALMA view of gas and dust in binary protoplanetary system AS 205: Evidence of dust asymmetric distribution
[arXiv] 2026-01-22 | Evolution of the recent high-accretion state of the recurrent nova T CrB: HST, Swift, NuSTAR, and XMM-Newton observations
[arXiv] 2026-01-22 | The FarView Low Frequency Radio Array on the Moon's Far Side: Science and Array Architecture
[arXiv] 2026-01-22 | Scaling Sample-Based Quantum Diagonalization on GPU-Accelerated Systems using OpenMP Offload
[arXiv] 2026-01-22 | \textit{Ab initio} Gamow density matrix renormalization group for broad nuclear many-body resonances
[arXiv] 2026-01-22 | A saturation bound for cumulative responses under local linear relaxation
[arXiv] 2026-01-22 | HVD: Human Vision-Driven Video Representation Learning for Text-Video Retrieval
[arXiv] 2026-01-22 | Polynomial-time thermalization and Gibbs sampling from system-bath couplings
[arXiv] 2026-01-22 | Pay (Cross) Attention to the Melody: Curriculum Masking for Single-Encoder Melodic Harmonization
[arXiv] 2026-01-22 | Beat-ssl: Capturing Local ECG Morphology through Heartbeat-level Contrastive Learning with Soft Targets
[arXiv] 2026-01-22 | On the Intrinsic Dimensions of Data in Kernel Learning
[arXiv] 2026-01-22 | Rethinking Composed Image Retrieval Evaluation: A Fine-Grained Benchmark from Image Editing
[arXiv] 2026-01-22 | Equivariant Morse-Bott cohomology through stabilization
[arXiv] 2026-01-22 | A Linear Bound on the Rich Flow Number for Graphs with a Given Maximum Degree
[arXiv] 2026-01-22 | Adapter Fusion for Multilingual Text2Cypher with Linear and Learned Gating
[arXiv] 2026-01-22 | Carrier envelope phase and pulse shape effects on vacuum pair production in asymmetric electric fields with bell-shaped envelopes
[arXiv] 2026-01-22 | Controlling Long-Horizon Behavior in Language Model Agents with Explicit State Dynamics
[arXiv] 2026-01-22 | Loose coupling of spectral and spatial models for multi-channel diarization and enhancement of meetings in dynamic environments
[arXiv] 2026-01-22 | DSFedMed: Dual-Scale Federated Medical Image Segmentation via Mutual Distillation Between Foundation and Lightweight Models
[arXiv] 2026-01-22 | Helical Current of Propagating Dirac Electrons and Geometric Coupling to Chiral Environments
[arXiv] 2026-01-22 | Improve the autonomy of the SE2(3) group based Extended Kalman Filter for Integrated Navigation: Theoretical Analysis
[arXiv] 2026-01-22 | AgriPINN: A Process-Informed Neural Network for Interpretable and Scalable Crop Biomass Prediction Under Water Stress
[arXiv] 2026-01-22 | Towards a Modern Theory of Chiralization
[arXiv] 2026-01-22 | Risk reversal for least squares estimators under nested convex constraints
[arXiv] 2026-01-22 | Keyframe-Based Feed-Forward Visual Odometry
[arXiv] 2026-01-22 | Infinite random graphs
[arXiv] 2026-01-22 | Wigner's Friend as a Circuit: Inter-Branch Communication Witness Benchmarks on Superconducting Quantum Hardware
[arXiv] 2026-01-22 | Quark-lepton correlations in gauge anomaly free abelian extension of the Standard Model
[arXiv] 2026-01-22 | Application of zone refining to the development of NaI(Tl) detectors for SABRE North
[arXiv] 2026-01-22 | The Recovery of Semilinear Potentials Satisfying Null Conditions From Scattering Data
[arXiv] 2026-01-22 | PUMA: Perception-driven Unified Foothold Prior for Mobility Augmented Quadruped Parkour
[arXiv] 2026-01-22 | SVOM discovery of a strong X-ray outburst of the blazar 1ES~1959+650 and multi-wavelength follow-up with the Neil Gehrels Swift observatory
[arXiv] 2026-01-22 | Rank of elliptic curves and class groups of real quadratic fields
[arXiv] 2026-01-22 | Primes and The Field of Values of Characters
[arXiv] 2026-01-22 | Partially Lazy Gradient Descent for Smoothed Online Learning
[arXiv] 2026-01-22 | Real-Time Inviscid Fluid Dynamics and Aero-acoustics on a Sphere
[arXiv] 2026-01-22 | On maximal rank properties for symmetric polynomials in an equigenerated monomial complete intersection
[arXiv] 2026-01-22 | Predicting Healthcare System Visitation Flow by Integrating Hospital Attributes and Population Socioeconomics with Human Mobility Data
[arXiv] 2026-01-22 | Gaia20fnr: A binary-lens microlensing event with full orbital motion revealed by four space telescopes
[arXiv] 2026-01-22 | Response of fluorescent molecular rotors in ternary macromolecular mixtures
[arXiv] 2026-01-22 | Undermassive Hosts of $z = 4-6 $ AGN from JWST/NIRCam Image Decomposition with CONGRESS, FRESCO, and JADES
[arXiv] 2026-01-22 | JWST Advanced Deep Extragalactic Survey (JADES) Data Release 5: Catalogs of inferred morphological properties of galaxies from JWST/NIRCam imaging in GOODS-N and GOODS-S
[arXiv] 2026-01-22 | JWST Advanced Deep Extragalactic Survey (JADES) Data Release 5: Photometric Catalog
[arXiv] 2026-01-22 | Multimodal Imaging System Combining Hyperspectral and Laser Speckle Imaging for In Vivo Hemodynamic and Metabolic Monitoring
[arXiv] 2026-01-22 | A Hierarchical Bayesian Framework for Model-based Prognostics
[arXiv] 2026-01-22 | A Lattice U(1) Chern-Simons Theory via Lattice Deligne-Beilinson Cohomology
[arXiv] 2026-01-22 | Operating a large-diameter dual-phase liquid xenon TPC in the unshielded PANCAKE facility
[arXiv] 2026-01-22 | Enhancing Thermal Sunyaev-Zel'dovich Analyses with Digital Twins of the Local Universe
[arXiv] 2026-01-22 | Gravitational Wave Signature of Aspherical Bubbles Driven by Thermal Fluctuation
[arXiv] 2026-01-22 | The representations of the Lie superalgebra p(3) in prime characteristic
[arXiv] 2026-01-22 | TeNet: Text-to-Network for Compact Policy Synthesis
[arXiv] 2026-01-22 | Transfer Learning from ImageNet for MEG-Based Decoding of Imagined Speech
[arXiv] 2026-01-22 | Opening the Black Box: Preliminary Insights into Affective Modeling in Multimodal Foundation Models
[arXiv] 2026-01-22 | Dynamic Server Allocation Under Stochastic Switchover on Time-Varying Links
[arXiv] 2026-01-22 | Blind Identification of Channel Codes: A Subspace-Coding Approach
[arXiv] 2026-01-22 | Reversible viscoelasticity and irreversible elastoplasticity in the power law creep and yielding of gels and fibre network materials under stress
[arXiv] 2026-01-22 | Size-dependent Dielectric Permittivity of Perovskite Nanocrystals
[arXiv] 2026-01-22 | PMPBench: A Paired Multi-Modal Pan-Cancer Benchmark for Medical Image Synthesis
[arXiv] 2026-01-22 | A two-sample pseudo-observation-based regression approach for the relative treatment effect
[arXiv] 2026-01-22 | Dynamics of antiferromagnetic Dimers in Rydberg Atom Chains
[arXiv] 2026-01-22 | Time-Varying Rician K-factor in Measured Vehicular Channels at cmWave and mmWave Bands
[arXiv] 2026-01-22 | STAR: Semantic Table Representation with Header-Aware Clustering and Adaptive Weighted Fusion
[arXiv] 2026-01-22 | Structural stability, electronic structure, and magnetic properties of the single-layer trilayer La3Ni2O7 polymorph
[arXiv] 2026-01-22 | WIMP Dark Matter from a Natural Discrete Gauge Symmetry in the Standard Model
[arXiv] 2026-01-22 | Intrinsic alignments in the FLAMINGO simulations with two-point statistics
[arXiv] 2026-01-22 | Turbulent hydrogen premixed flames at high pressure and high temperature
[arXiv] 2026-01-22 | NASICON solid-electrolyte modification and analysis using ion and neutron beams
[arXiv] 2026-01-22 | Radio-Interferometric Image Reconstruction with Denoising Diffusion Restoration Models
[arXiv] 2026-01-22 | $C^\ast$-extreme points of unital completely positive maps invariant under group action
[arXiv] 2026-01-22 | Interplay between the chiral and deconfinement transitions from a Curci-Ferrari-based Polyakov loop potential
[arXiv] 2026-01-22 | Performance Analysis of Digital Beamforming mmWave MIMO with Low-Resolution DACs/ADCs
[arXiv] 2026-01-22 | Contractions of quasi relation algebras and applications to representability
[arXiv] 2026-01-22 | Optimal stochastic impulse control problem with delay with actions decided at the execution time
[arXiv] 2026-01-22 | Attributing and Exploiting Safety Vectors through Global Optimization in Large Language Models
[arXiv] 2026-01-22 | Structural constraints on mobility edges in one-dimensional quasiperiodic systems
[arXiv] 2026-01-22 | Shuriken Graphs Arising from Clean Graphs of Rings and Their Properties Relative to Base Graphs
[arXiv] 2026-01-22 | Mesoscopic Fluctuations in Statistical Systems
[arXiv] 2026-01-22 | Three's a crowd: Identification challenges in the triple difference model with spillover effects
[arXiv] 2026-01-22 | Improving the efficiency of QAOA using efficient parameter transfer initialization and targeted-single-layer regularized optimization with minimal performance degradation
[arXiv] 2026-01-22 | Beyond Marginal Distributions: A Framework to Evaluate the Representativeness of Demographic-Aligned LLMs
[arXiv] 2026-01-22 | Unveiling a Universal Formalism for Quantum Entanglement in Arbitrary Spin Decays
[arXiv] 2026-01-22 | Materealize: a multi-agent deliberation system for end-to-end material design and synthesis
[arXiv] 2026-01-22 | Systematic Magnetic Structure Generation Based on Oriented Spin Space Groups: Formulation, Applications, and High-Throughput First-Principles Calculations
[arXiv] 2026-01-22 | Benchmarking Text-to-Python against Text-to-SQL: The Impact of Explicit Logic and Ambiguity
[arXiv] 2026-01-22 | Profit Maximization for Viral Marketing in Online Social Networks using Two Phase Diffusion Approach
[arXiv] 2026-01-22 | Synthetic Augmentation in Imbalanced Learning: When It Helps, When It Hurts, and How Much to Add
[arXiv] 2026-01-22 | Coarsening dynamics of fingerprint labyrinthine patterns: Machine learning assisted characterization
[arXiv] 2026-01-22 | Community-Size Biases in Statistical Inference of Communities in Temporal Networks
[arXiv] 2026-01-22 | A Rolling-Space Branch-and-Price Algorithm for the Multi-Compartment Vehicle Routing Problem with Multiple Time Windows
[arXiv] 2026-01-22 | Robust Quantum Algorithmic Binary Decision-Making on Displacement Signals
[arXiv] 2026-01-22 | Reversibility and symmetry of affine toral automorphisms
[arXiv] 2026-01-22 | AION: Aerial Indoor Object-Goal Navigation Using Dual-Policy Reinforcement Learning
[arXiv] 2026-01-22 | Monoidal adjunctions and abelian envelopes
[arXiv] 2026-01-22 | Gain-Layer Project
[arXiv] 2026-01-22 | Existential Positive Transductions of Sparse Graphs
[arXiv] 2026-01-22 | PyraTok: Language-Aligned Pyramidal Tokenizer for Video Understanding and Generation
[arXiv] 2026-01-22 | Electron Transfer, Diabatic Couplings and Vibronic Energy Gaps in a Phase Space Framework
[arXiv] 2026-01-22 | Scaling Text-to-Image Diffusion Transformers with Representation Autoencoders
[arXiv] 2026-01-22 | IVRA: Improving Visual-Token Relations for Robot Action Policy with Training-Free Hint-Based Guidance
[arXiv] 2026-01-22 | Counterfactual Training: Teaching Models Plausible and Actionable Explanations
[arXiv] 2026-01-22 | Universal non-Gaussian order parameter statistics in 2D superfluids
[arXiv] 2026-01-22 | Density-based structural frameworks for prime numbers, prime gaps, and Euler products
[arXiv] 2026-01-22 | Studying energy-resolved transport with wavepacket dynamics on quantum computers
[arXiv] 2026-01-22 | Mild Solutions for Path-Dependent Parabolic PDEs with Neumann Boundary Conditions via Generalized BSDEs
[arXiv] 2026-01-22 | Stabilizer Thermal Eigenstates at Infinite Temperature
[arXiv] 2026-01-22 | Tensor Reed-Muller Codes: Achieving Capacity with Quasilinear Decoding Time
[arXiv] 2026-01-22 | Substrate Stability Under Persistent Disagreement: Structural Constraints for Neutral Ontological Substrates
[arXiv] 2026-01-22 | In vitro binding energies capture Klf4 occupancy across the human genome
[arXiv] 2026-01-22 | ActionMesh: Animated 3D Mesh Generation with Temporal 3D Diffusion
[arXiv] 2026-01-22 | Low-altitude Multi-UAV-assisted Data Collection and Semantic Forwarding for Post-Disaster Relief
[arXiv] 2026-01-22 | Automatic Classification of Arabic Literature into Historical Eras
[arXiv] 2026-01-22 | Supercoiling DNA with a free end
[arXiv] 2026-01-22 | A pseudo-bosonic Klein-Gordon field with finite two-points function
[arXiv] 2026-01-22 | Improving Training Efficiency and Reducing Maintenance Costs via Language Specific Model Merging
[arXiv] 2026-01-22 | Quantum Dimension Reduction of Hidden Markov Models
[arXiv] 2026-01-22 | Calibration-Conditioned FiLM Decoders for Low-Latency Decoding of Quantum Error Correction Evaluated on IBM Repetition-Code Experiments
[arXiv] 2026-01-22 | A Case for Hypergraphs to Model and Map SNNs on Neuromorphic Hardware
[arXiv] 2026-01-22 | Distillation-based Layer Dropping (DLD) Effective End-to-end Framework for Dynamic Speech Networks
[arXiv] 2026-01-22 | Cis--Trans Rotational Isomerism of Seleno-, Thio-, and Formic Acids and Their Dimers: Chemical Kinetics under Interstellar Conditions
[arXiv] 2026-01-22 | Multimodal Climate Disinformation Detection: Integrating Vision-Language Models with External Knowledge Sources
[arXiv] 2026-01-22 | Formation and X-ray emission from hot bubbles in planetary nebulae - III. The impact of [Wolf-Rayet]-type winds
[arXiv] 2026-01-22 | Neural Particle Automata: Learning Self-Organizing Particle Dynamics
