[2026-04-28 22:57:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-27
正在获取论文...
[arXiv] 2026-04-27 | The Last Human-Written Paper: Agent-Native Research Artifacts
[arXiv] 2026-04-27 | Step- and terrace-resolved crystal truncation rod scattering from vicinal surfaces under coherent heteroepitaxy
[arXiv] 2026-04-27 | Majorization-Guided Test-Time Adaptation for Vision-Language Models under Modality-Specific Shift
[arXiv] 2026-04-27 | Joint Hybrid Beamforming and Trajectory Design for Multi-UAV-Enabled Cell-Free Multi-Static ISAC
[arXiv] 2026-04-27 | Mars Thermospheric Polar Warming at Aphelion: Dynamical Processes Studied Using M-GITM
[arXiv] 2026-04-27 | Quenching of the proton $\pi0p_{3/2}$-$\pi0p_{1/2}$ spin-orbit splitting in $^{20}$O and the effect of the tensor force
[arXiv] 2026-04-27 | Bayesian inference for hidden Markov models under genuine multimodality with application to ecological time series
[arXiv] 2026-04-27 | FastOMOP: A Foundational Architecture for Reliable Agentic Real-World Evidence Generation on OMOP CDM data
[arXiv] 2026-04-27 | Enhancing molecular dynamics with equivariant machine-learned densities
[arXiv] 2026-04-27 | GSC-QEMit: A Telemetry-Driven Hierarchical Forecast-and-Bandit Framework for Adaptive Quantum Error Mitigation
[arXiv] 2026-04-27 | Layerwise Convergence Fingerprints for Runtime Misbehavior Detection in Large Language Models
[arXiv] 2026-04-27 | About smooth and non-poor subspaces of Daugavet spaces
[arXiv] 2026-04-27 | Phenomenology of Vector Dark Matter produced by a First Order Phase Transition
[arXiv] 2026-04-27 | Interoceptive machine framework: Toward interoception-inspired regulatory architectures in artificial intelligence
[arXiv] 2026-04-27 | Mass-Transfer Control With Microbubbles in Highly Turbulent Decaying Flows
[arXiv] 2026-04-27 | Nakai conjectures for isolated homogeneous hypersurface singularities
[arXiv] 2026-04-27 | Analyses on Wassenius' Report for Total Solar Eclipse in 1733: Quantifications of the Solar Radius and the Earliest Reported Prominences
[arXiv] 2026-04-27 | Colored Stallings graphs and Counterexamples to Stallings equalizer conjecture
[arXiv] 2026-04-27 | Probing the Hot Gaseous Halos of Milky Way-like Galaxies in the TNG50 simulation
[arXiv] 2026-04-27 | CA-IDD: Cross-Attention Guided Identity-Conditional Diffusion for Identity-Consistent Face Swapping
[arXiv] 2026-04-27 | An Explicit Solution to Black-Scholes Implied Volatility
[arXiv] 2026-04-27 | Hidden oscillations in plain sight: identification of seismically unresolved red-giant asteroseismic binary candidates
[arXiv] 2026-04-27 | Machine learning technique for morphological classification of galaxies from SDSS. IV. Visual inspection vs CNN for merging, irregular, edge-on, barred, ringed, and with dust lanes galaxies at 0.02<z<0.1
[arXiv] 2026-04-27 | Geometric Analysis of Self-Supervised Vision Representations for Semantic Image Retrieval
[arXiv] 2026-04-27 | An archive of reduced and telluric-corrected CRIRES+ L- and M-band spectra with slit-tilt and wavelength calibrations
[arXiv] 2026-04-27 | Separation profiles of free products
[arXiv] 2026-04-27 | Noise-robust 1-copy distillation protocol for all distillable Bell-diagonal qutrits
[arXiv] 2026-04-27 | A representation-theoretic interpretation of the Schur expansion of two-row genomic Schur functions
[arXiv] 2026-04-27 | NL-COMM-Sat: Breaking the Direct Device-to-Satellite Communication Barrier via "Aggressive" Non-Orthogonal Transmissions and Non-Linear Processing
[arXiv] 2026-04-27 | Robust Angles-Only Initial Relative Orbit Determination Using Polynomial Optimization
[arXiv] 2026-04-27 | Reflector-Free, Highly Confined Love-Like SAWs Enabled by a Phononic Metasurface for Real-Time Monitoring of Cell Dynamics
[arXiv] 2026-04-27 | Dualistic operational characterization of device-dependent correlation sets via convex analysis in the $(2,m,2)$ Bell scenario
[arXiv] 2026-04-27 | Double SM-like Higgs Production at future $ e^+ e^- $ colliders in the 3-Higgs Doublet Model under the $ S_{3} $ symmetry
[arXiv] 2026-04-27 | The formation of circumbinary planets through disc fragmentation
[arXiv] 2026-04-27 | Strategic Bidding in 6G Spectrum Auctions with Large Language Models
[arXiv] 2026-04-27 | Right-to-Act: A Pre-Execution Non-Compensatory Decision Protocol for AI Systems
[arXiv] 2026-04-27 | Linear estimations of dynamic fixed effects logit models only with time effects
[arXiv] 2026-04-27 | A Descriptive Perspective on Devaney's Chaos and Some Results on Topologically Conjugate Systems
[arXiv] 2026-04-27 | Solution of a large nonlinear recurrent neural network at fixed connectivity
[arXiv] 2026-04-27 | The minimum number of detours in a connected graph of minimum degree three
[arXiv] 2026-04-27 | New Convex Programming Technique for Nash Social Welfare and Scheduling
[arXiv] 2026-04-27 | IRIS: Interleaved Reinforcement with Incremental Staged Curriculum for Cross-Lingual Mathematical Reasoning
[arXiv] 2026-04-27 | Factual and Edit-Sensitive Graph-to-Sequence Generation via Graph-Aware Adaptive Noising
[arXiv] 2026-04-27 | Fed-DLoRA: Efficient Wireless Federated Learning with Dynamic Low-Rank Adaptation
[arXiv] 2026-04-27 | Characterizing Fill Factor Limitations in Perovskite-Silicon Tandem Solar Cells
[arXiv] 2026-04-27 | Understanding Damping Mechanisms via Spin Diffusion Length in Low-damping Li$_{0.5}$Al$_{1.0}$Fe$_{1.5}$O$_4$ Spinel Ferrite Thin Films
[arXiv] 2026-04-27 | BiMol-Diff: A Unified Diffusion Framework for Molecular Generation and Captioning
[arXiv] 2026-04-27 | Jailbreaking Frontier Foundation Models Through Intention Deception
[arXiv] 2026-04-27 | How Sensitive Are Safety Benchmarks to Judge Configuration Choices?
[arXiv] 2026-04-27 | FreeScale: Distributed Training for Sequence Recommendation Models with Minimal Scaling Cost
[arXiv] 2026-04-27 | Listen to the Voices of Everyday Users: Democratizing Privacy Ratings for Sensitive Data Access in Mobile Apps
[arXiv] 2026-04-27 | Beyond Monolithic Scaling: Modularity and Heterogeneity as an Architectural Imperative for Utility-Scale Quantum Computing
[arXiv] 2026-04-27 | Spin excitation of the Heisenberg antiferromagnet with frustration: from the bounce-lattice antiferromagnet through the maple-leaf-lattice antiferromagnet to the exact-dimer system
[arXiv] 2026-04-27 | Light 'em Up: Enabling Few-Shot Low-Light 3D Gaussian Splatting with Multi-Scale Explicit Retinex Illumination Decoupling
[arXiv] 2026-04-27 | Difference-in-differences with a mediator
[arXiv] 2026-04-27 | Generalising maximum mean discrepancy: kernelised functional Bregman divergences
[arXiv] 2026-04-27 | A2DEPT: Large Language Model-Driven Automated Algorithm Design via Evolutionary Program Trees
[arXiv] 2026-04-27 | Improving Robustness of Tabular Retrieval via Representational Stability
[arXiv] 2026-04-27 | AgentPulse: A Continuous Multi-Signal Framework for Evaluating AI Agents in Deployment
[arXiv] 2026-04-27 | LStein: A new approach to visualizing sparse 2.5-dimensional data
[arXiv] 2026-04-27 | On Cluster Randomized Trials with the Desirability of Outcome Ranking (DOOR) Endpoints
[arXiv] 2026-04-27 | QED: An Open-Source Multi-Agent System for Generating Mathematical Proofs on Open Problems
[arXiv] 2026-04-27 | The Operation Control System for the Tianlai Experiment
[arXiv] 2026-04-27 | FedSLoP: Memory-Efficient Federated Learning with Low-Rank Gradient Projection
[arXiv] 2026-04-27 | Performance Benchmarks for Line Spectral Estimation: Ordered Ziv-Zakai Characterization and Plug-In Amplitude Error Analysis
[arXiv] 2026-04-27 | Molecular-optomechanical phonon laser
[arXiv] 2026-04-27 | Reconstructing the cosmic expansion with a generalized q(z) parameterization: A decelerating Universe from late-time constraints
[arXiv] 2026-04-27 | Universal Complex Quantum-Like Bits from Hermitian Weighted Graphs
[arXiv] 2026-04-27 | A double-exponential lower bound for $r_4(5,n)$
[arXiv] 2026-04-27 | A Geometric Witness Framework for Signed Multivariate Tail-Dependence Compatibility: Asymptotic Structure and Finite-Threshold Synthesis
[arXiv] 2026-04-27 | Three-dimensional topological ferroelectrics
[arXiv] 2026-04-27 | Intermittency-Driven Turbulence Cascade Memory Extends the Markov-Einstein Coherence Length Beyond the Canonical Estimate
[arXiv] 2026-04-27 | Constructive Separations from Gate Elimination
[arXiv] 2026-04-27 | LAVA: Layered Audio-Visual Anti-tampering Watermarking for Robust Deepfake Detection and Localization
[arXiv] 2026-04-27 | Systematic Investigation of Acceptor Removal in HPK LGADs with Modified Gain Layers
[arXiv] 2026-04-27 | LearnPruner: Rethinking Attention-based Token Pruning in Vision Language Models
[arXiv] 2026-04-27 | An in situ self-adaptive hydrogel coating enables seamless neural interfaces via okra mucilage polysaccharide and α-helical peptide amphiphiles co-assembly
[arXiv] 2026-04-27 | Sliced-Regularized Optimal Transport
[arXiv] 2026-04-27 | Constraint-Guided Multi-Agent Decompilation for Executable Binary Recovery
[arXiv] 2026-04-27 | A note on Rigidity of Shrinking Gradient Ricci Solitons with Constant Scalar Curvature
[arXiv] 2026-04-27 | 2nd of the 5th PVUW MeViS-Audio Track: ASR-SaSaSa2VA
[arXiv] 2026-04-27 | A very eccentric brown dwarf coplanar to a warm Jupiter and a hot super Earth
[arXiv] 2026-04-27 | Leadership, Cooperation and Conflicts in Physics -- Research Leaders' Perspective
[arXiv] 2026-04-27 | An Automatic Ground Collision Avoidance System with Reinforcement Learning
[arXiv] 2026-04-27 | FreqCache: Accelerating Embodied VLN Models with Adaptive Frequency-Guided Token Caching
[arXiv] 2026-04-27 | A generalisation of the Gagliardo--Nirenberg Inequality with applications to mass-critical and mass-subcritical elliptic equations
[arXiv] 2026-04-27 | Boundary $h^\ast$-vectors and unimodular triangulations
[arXiv] 2026-04-27 | Fragmentation Temperature of 1D and 3D Quantum Droplets in a BEC Mixture
[arXiv] 2026-04-27 | MIPIC: Matryoshka Representation Learning via Self-Distilled Intra-Relational and Progressive Information Chaining
[arXiv] 2026-04-27 | SeaEvo: Advancing Algorithm Discovery with Strategy Space Evolution
[arXiv] 2026-04-27 | PathMoG: A Pathway-Centric Modular Graph Neural Network for Multi-Omics Survival Prediction
[arXiv] 2026-04-27 | Multispectral airborne laser scanning dataset for tree species classification: MS-ALS-SPECIES
[arXiv] 2026-04-27 | Fates of the sub-stellar objects (FOSSO) II. Evidence for Suppression of Metal Pollution in White Dwarfs by Close Substellar Companions
[arXiv] 2026-04-27 | Enhancing Phase Retrievability of Quantum Channels via Interferometric Coupling
[arXiv] 2026-04-27 | Practical lower bounds for hybrid quantum interior point methods in linear programming
[arXiv] 2026-04-27 | Recovering extra-tidal open cluster members via multi-elemental chemical tagging
[arXiv] 2026-04-27 | Data-Driven Adaptive Resource Allocation for Reliable Low-Latency Uplink Communications in Rural Cellular 5G Multi-Connectivity
[arXiv] 2026-04-27 | Mitigating Error Amplification in Fast Adversarial Training
[arXiv] 2026-04-27 | A PDE formulation of Lyapunov stability for contact-type Hamilton-Jacobi equations
[arXiv] 2026-04-27 | Vib2Conf: AI-driven discrimination of molecular conformations from vibrational spectra
[arXiv] 2026-04-27 | Projected Attainable Speed Space: A Driving Efficiency Metric Connecting Instantaneous Evaluation to Travel Time
[arXiv] 2026-04-27 | Instance Awareness of Multi-class Semantic Segmentation Loss Functions
[arXiv] 2026-04-27 | Umklapp corrections to Landau damping and conditions for non-trivial modifications to quantum critical transport
[arXiv] 2026-04-27 | SVOM/VT: Overview of data processing and GRB identifications with X-band data
[arXiv] 2026-04-27 | SVOM Ground Support System
[arXiv] 2026-04-27 | Overview of the ECLAIRs Trigger for SVOM gamma-ray burst detection
[arXiv] 2026-04-27 | ECLAIRs: the SVOM high-energy transient trigger camera
[arXiv] 2026-04-27 | Perfect matchings and $A_α$-spectral radius in 1-binding graphs
[arXiv] 2026-04-27 | Radiomics- and Clinical Feature-Driven Prediction of Volumetric Response in Skull-Base Meningioma after CyberKnife Radiosurgery
[arXiv] 2026-04-27 | IMPA-Net: Meteorology-Aware Multi-Scale Attention and Dynamic Loss for Extreme Convective Radar Nowcasting
[arXiv] 2026-04-27 | Mapping Emerging Climate Misinformation Playbooks in the Global South
[arXiv] 2026-04-27 | The SOXS Spectrograph Instrument Control Software
[arXiv] 2026-04-27 | Cone hierarchy and the screening of matter by gravity
[arXiv] 2026-04-27 | Electrical conductivity of crack-template-based transparent conducting films: mean-field approximation, effective medium theory, and simulation
[arXiv] 2026-04-27 | Phase transformation kinetics in MoS2 governed by S-S repulsive interactions and defect-interface compatibility
[arXiv] 2026-04-27 | Continued fractions related to Narayana polynomials
[arXiv] 2026-04-27 | CMGL: Confidence-guided Multi-omics Graph Learning for Cancer Subtype Classification
[arXiv] 2026-04-27 | Omni-o3: Deep Nested Omnimodal Deduction for Deliberative Audio-Visual Reasoning
[arXiv] 2026-04-27 | Multivariate Gaussian NeRF for Wide Field-of-View Ultrasound Reconstruction
[arXiv] 2026-04-27 | Optimizing power by selective IP card shutdown using transport slicing
[arXiv] 2026-04-27 | AdapTime: Enabling Adaptive Temporal Reasoning in Large Language Models
[arXiv] 2026-04-27 | Survival of Pairing Correlations and Shell Effects at Scission in Finite-Temperature Nuclear Fission: Implications for Odd-Even Staggering
[arXiv] 2026-04-27 | On D-cap-Modules of Finite Length on Rigid Analytic Spaces
[arXiv] 2026-04-27 | Credal Concept Bottleneck Models for Epistemic-Aleatoric Uncertainty Decomposition
[arXiv] 2026-04-27 | ZFLean: a framework for set-level mathematics in Lean
[arXiv] 2026-04-27 | Closing the Loop: A Software Framework for AI to Support Business Decision Making
[arXiv] 2026-04-27 | Maximum Weight Independent Set in Hereditary Classes of Ordered Graphs
[IEEE] 2026-4-27 | Construction of a Corrector for Distorted Situations in Micro-object Images Based on Transformation and Filtering Operators
[IEEE] 2026-4-27 | Artificial Intelligence Models for Analysing Children’s Emotional Expressions and Colour Use in Digital Drawings
[IEEE] 2026-4-27 | Interference and Overhead Aware Flexible Duplexing for Distributed and Centralized Wireless Networks
[IEEE] 2026-4-27 | An Energy-Efficient Lyapunov-Based Cooperative Adaptive Cruise Controller for Electric Vehicles
[IEEE] 2026-4-27 | Two-Dimensional DOA Estimation Using Augmented Extended Co-Prime Parallel Arrays in Impulse Noise
[IEEE] 2026-4-27 | Neural Network-Assisted NLoS Channel Identification in Near-Field Environments: A Linear Fractionalization Approach
[ACM] 2026-4-28 | Structural adjustment, capacity reshaping and cultural transformation: A three-dimensional framework of digital adaptation in the public sector
[ACM] 2026-4-28 | Optimization Paths for the Iterative Upgrade of Professional Clusters in Vocational Undergraduate Universities Based on Convolutional Neural Networks
[ACM] 2026-4-28 | Organizational Development in High-Growth Biopharmaceutical Companies: A Data-Driven Approach to Talent Pipeline and Competency Modeling
[IEEE] 2026-4-27 | Experience in Synthesizing Combinational Self-Timed Circuits and Verifying the Results
[IEEE] 2026-4-27 | Method of Structural-Functional Design of Intelligent Industrial IoT Systems
[IEEE] 2026-4-27 | Intelligent Analysis of Urban Green Zones Based on Unmanned Aerial Vehicle Data
[ACM] 2026-4-27 | Knowledge Graphs over Two Decades
[ACM] 2026-4-27 | Room Matters: Dynamic Room-level Collaboration Information Modeling for Live Streaming Recommendation
[ACM] 2026-4-27 | Enhancing Multi-Modal Entity Alignment via Multi-Grained Decision Fusion
[ACM] 2026-4-27 | Identification of Influential Node Group in Attributed Graph through Explaining Graph Neural Network
[IEEE] 2026-4-27 | The Transactions on Intelligent Vehicles Information
[IEEE] 2026-4-27 | Masthead
[IEEE] 2026-4-27 | Design and Application of Network Topology Robustness Optimization Algorithms Based on Cheeger’s Inequality
[IEEE] 2026-4-27 | Design and characterization of a portable fluorescence measuring system for the on-site monitoring of marine bio-constructors
[IEEE] 2026-4-27 | Low-Complexity Channel Estimation for OTFS via Coordinate Descent Exploiting Delay-Domain Sparsity
[IEEE] 2026-4-27 | Pseudo-Chebyshev Functions over Finite Fields
[IEEE] 2026-4-27 | Model-free Magnetic Servoing for Pose Control of Capsule Robots
[IEEE] 2026-4-27 | Real-Time Hand Pose Estimation Using FMCW Radar on Resource-Limited Edge Devices
[IEEE] 2026-4-27 | Unleashing the Potential of Large Language Models for Dynamic Multiobjective Optimization
[IEEE] 2026-4-27 | Internal Temperature Measurement of Transformers Based on Ultrasonic Sensing and SE-CNN
[ACM] 2026-4-27 | Explaining Synergistic Effects in Social Recommendations
[IEEE] 2026-4-27 | Multi-Scale Spatiotemporal-Enhanced Network for Multimodal Traffic Flow Joint Prediction
[IEEE] 2026-4-27 | Security–Spectral Efficiency Tradeoff in STAR-RIS RSMA: A Max–Min Fairness Framework
[IEEE] 2026-4-27 | DIR-HSI: Degradation-Invariant Representation Learning for Hyperspectral Image Classification
[IEEE] 2026-4-27 | Molecular Nanonetworks: A QoS Aware Adaptive MAC Protocol
[IEEE] 2026-4-27 | Sine-square addition equations for rectangle fused silica grating
[IEEE] 2026-4-27 | Routing Strategy for a Multi-layer Virtual Information Defined Satellite Network
[IEEE] 2026-4-27 | Joint Robust Routing, Scheduling, and Load Balancing in Deterministic UAV Rescue Networks: A DFS-PPO Method
[IEEE] 2026-4-27 | Manifold-Based Analysis of P–Q Coupling in Grid-Forming Converters with Current and Voltage Constraints
[IEEE] 2026-4-27 | AS-TEB: An Adaptive and Smooth Timed Elastic Band-Based Path Planner for Mobile Robots
[IEEE] 2026-4-27 | Quantum Subroutines in Branch-Price-and-Cut for Vehicle Routing
[IEEE] 2026-4-27 | Negative Backscatter Differential Phases on SHV radars
[IEEE] 2026-4-27 | SDFRF-Net: Spatial Diversity Fine-Grained Representation and Fusion Network
[IEEE] 2026-4-27 | Secure Off-chain Payment Protocol from Ciphertext Unlinkable Autonomous Path Proxy Re-encryption in Blockchain
[IEEE] 2026-4-27 | Reducing the physical effort of wearing a walking boot using a passive hip exosuit through enforced exploration training
[IEEE] 2026-4-27 | A Sequential In-Process Energy Recovery Topology for Multistage Reluctance Electromagnetic Launchers
[IEEE] 2026-4-27 | CNT/IGZO CFET Circuits Based on Top-Gate IGZO-FETs With Enhanced Hydrogen Resistance and Thermal Stability Using Y
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Passivation
[IEEE] 2026-4-27 | CoMAEA: A Collision-Avoiding Multi-Agent Evolutionary Algorithm for Coverage Path Planning_supp1-3665409.pdf
[ACM] 2026-4-28 | Research on the Impact of Digital Transformation on ESG Ratings of Enterprises
[ACM] 2026-4-27 | Combating Knowledge Corruption in Agent Systems: A Byzantine-Tolerant Secure Collaborative RAG Framework
[ACM] 2026-4-27 | BeeQoS: A Cloud-Native QoS System for Adaptive and Scalable Multi-Priority Bandwidth Guarantees
[ACM] 2026-4-27 | Diffusion-Based Synthetic Augmentation with Quality-Aware Reference Selection and mAP-Guided Allocation for Enhancing Vehicle Detection Robustness
[IEEE] 2026-4-27 | Enabling Deterministic 6G Ultra-Reliable Low-Latency Through Predictive and Semantic O-RAN Intelligence
[IEEE] 2026-4-27 | Decision Support Algorithm for Selecting Model Classes
[IEEE] 2026-4-27 | A Need for Indigenous Database Accelerator Card: Financial and Strategic Applications
[IEEE] 2026-4-27 | Noise Impact on System Identification Using Genetic Programming-Based Symbolic Regression
[IEEE] 2026-4-27 | Method for Manipulator Kinematic Parameters Identification Using Three-Axis Accelerometer
[IEEE] 2026-4-27 | Computer Model-Based Load Equivalenting for Electric Motor of Rolling Mill
[IEEE] 2026-4-27 | Analysis of SLM Applicability to Prevent Information Leaks Using Business Process Optimization Tools on the PIX RPA Example
[IEEE] 2026-4-27 | Short-term Photovoltaic Power Prediction Based on Multi-modal Decomposition and Adaptive Optimization
[IEEE] 2026-4-27 | Digital Twins in Reverse Engineering of a Modular AC Contactors
[IEEE] 2026-4-27 | 9.4
                    <i>μ</i>
                    W 285 Samples/s Capacitance to Digital Converter for Large Area Active EWOD Arrays in Thin-Film Transistor Technology
[IEEE] 2026-4-27 | Digital Twin and Native-AI Empowered 6G Networks: Architectures, Applications, Evaluation, and Open Challenges
[IEEE] 2026-4-27 | Enhancing Information Integrity and Reliability in Energy Telemechanical Systems via Distributed Intelligence Framework
[IEEE] 2026-4-27 | Big-Data-Driven Pipeline for Industry 4.0 Project Team Formation Based on a Modified Shapley Value
[IEEE] 2026-4-27 | A Hybrid Short-Term Photovoltaic Power Forecasting Model Integrating Physical Mechanism Constraints and Weather Scenario Clustering
[ACM] 2026-4-27 | ReaLM: Residual Quantization Bridges Knowledge Graph Embeddings and Large Language Models
[ACM] 2026-4-27 | Counterfactual Augmented Causal Reasoning for Aspect-Based Sentiment Analysis
[ACM] 2026-4-27 | Too Much Sharing, Too Little Security: Authentication Cookie Theft At Scale
[ACM] 2026-4-27 | Unveiling Backdoor Propagation in Graphs: Neuron-Centric Defense Mechanisms
[ACM] 2026-4-27 | Disentangled Graph LLM for Molecule Graph Editing under Distribution Shifts
[ACM] 2026-4-27 | Pattern-aware Illicit Account Detection based on User Behavior Sequences
[ACM] 2026-4-27 | Hierarchical Graph-Bag-Network for Self-Supervised Multi-Graph Learning
[ACM] 2026-4-27 | MessageShift: Fine-Grained Data Augmentation for Graph Neural Networks
[ACM] 2026-4-27 | DIARY: Differentially Private Recovery with Adaptive Privacy Budgets in Federated Unlearning
[ACM] 2026-4-27 | Predictability-Aware Compression and Decompression Framework for Multichannel Time Series Data with Latent Seasonality
[ACM] 2026-4-27 | LLMQuA: Practical Backdoor Injection on Large Language Model Quantization
[ACM] 2026-4-27 | QuiZSF: A Retrieval-Augmented Framework for Zero-Shot Time Series Forecasting
[ACM] 2026-4-27 | Self-Speculative Decoding for On-device MoE Acceleration
[ACM] 2026-4-27 | SaGD: A Node-Level Differentially Private Graph Learning Framework with Sensitivity-Aware Gradient Descent
[ACM] 2026-4-27 | FeedGuard: Online Critic-Guided Reinforcement Learning with Privacy-Preserving Feedback for Recommendation
[IEEE] 2026-4-27 | Exploring Geographical Interconnections between National Research and Education Networks
[IEEE] 2026-4-27 | Leveraging FPGA-based SmartNICs for Low-latency In-band Network Telemetry
[IEEE] 2026-4-27 | Application of Two-Dimensional Discrete Fourier Transforms with Variable Parameters in Reconstructive Computed Tomography
[IEEE] 2026-4-27 | A Guide to the Programmable Network Zoo
[IEEE] 2026-4-27 | Detecting DDoS Attacks in SDN Networks Using Federated Learning with Deep Neural Networks
[IEEE] 2026-4-27 | A Secure Distributed Architecture for Large-Scale Detailed Automated Vehicle Traffic Simulation
[IEEE] 2026-4-27 | Methods for Ensuring Energy Efficiency of Cyber-Physical Dosimetric Monitoring Systems
[IEEE] 2026-4-27 | Dynamic Optimization of Data Center Network Topology with Worst-Case Delay Guarantees
[IEEE] 2026-4-27 | Subterahertz Traveling Wave Tubes: A Route Toward Ultracapacity 6G Wireless Networks:
                    <b>Application Scenario and Challenges</b>
[ACM] 2026-4-27 | def state_of_computational_arts(): return current_state
[IEEE] 2026-4-27 | Automatic Optimization of BNCT Treatment Plans via Initial Beam Screening and Conjugate Gradient-Based Refinement
[IEEE] 2026-4-27 | Wiener-Deconvolution-Driven Event-Based Deblurring for Low-Light Imaging_supp1-3686960.pdf
[IEEE] 2026-4-27 | Avocado Detection System on a UAV with YOLOv8 Image Processing
[IEEE] 2026-4-27 | Table of Contents
[IEEE] 2026-4-27 | Adversarial Optimization of the -TriBound Objective for Robust Community Detection Attacks Across Multiple Graphs_supp1-3671811.pdf
[IEEE] 2026-4-27 | Community of Experts-Based VAE for Recommendation
[IEEE] 2026-4-27 | Self-Organized Team Formation via Multi-Task Hedonic Games for Capability-Heterogeneous Human-Machine Agents_supp1-3687096.pdf
[IEEE] 2026-4-27 | RGPO: Ranking-Guided Preference Optimization for Reliable Clinical Reasoning
[IEEE] 2026-4-27 | Numerical analysis of the effect of electrode arrangement on the performance of micro electrohydrodynamic conduction pump
[IEEE] 2026-4-27 | SmartIndustryCon 2026 Cover Page
[IEEE] 2026-4-27 | Graph Attention Network Aided Message-passing Neural Decoder for Polar Codes Based on Sparse-pruned Tanner Graphs
[IEEE] 2026-4-27 | Optimized Metal–Oxide Semiconductor Sensor Readout Techniques for Quantitative Gas Sensing
[IEEE] 2026-4-27 | Application of Bionic Orientation Technology Based on Underwater Polarization Restoration for AUVs
[IEEE] 2026-4-27 | Analytical Model on the Threshold Voltage of Charge-Trap-Based Hybrid Gate-Stack GaN MIS-HEMT
[IEEE] 2026-4-27 | Front Cover
[IEEE] 2026-4-27 | Research and Application of Microseismic Source Localization Based on an Improved Differential Evolution Algorithm
[IEEE] 2026-4-27 | Towards VR Training Adapted to Affective and Cognitive States: General Method and Evaluation of MentalWorkload_supp1-3679921.mp4
[IEEE] 2026-4-27 | Rotational Doppler-Enabled Single-Pixel Imaging: A Multimode Sensing Approach for Velocity and Structural Monitoring of High Speed Rotating Targets
[IEEE] 2026-4-27 | YOTO++: Learning Long-Horizon Closed-Loop Bimanual Manipulation from One-Shot Human Video Demonstrations
[ACM] 2026-4-28 | Evaluation and prediction of coupling coordination between China's digital economy and High-quality economic development based on machine learning
[ACM] 2026-4-27 | Bridging Explicit and Implicit Intent: Unified Interest Generative Method for Joint Search-Recommendation Modeling
[ACM] 2026-4-27 | Triple-R: Iterative Query Rewriting and Refinement for Retrieval-Augmented Fake News Detection
[ACM] 2026-4-27 | Enhancing Domain-Adaptive Hashing via Evidential Learning and Progressive Alignment
[ACM] 2026-4-27 | Adaptive Contrastive Learning in Sequential Recommendation based on Perturbation and Restoration Networks
[ACM] 2026-4-27 | Practical Group Steiner Tree Algorithms for Web Applications with Many Groups
[ACM] 2026-4-27 | Prism: Towards Lowering User Cognitive Load in LLMs via Complex Intent Understanding
[ACM] 2026-4-27 | AgentSense: LLMs Empower Generalizable and Explainable Web-Based Participatory Urban Sensing
[ACM] 2026-4-27 | The Query Complexity of Uniform Pricing
[ACM] 2026-4-27 | Mountains Under Pressure: HCI Facing Environmental and Social Transformations
[IEEE] 2026-4-27 | Retrospective transmit correction of blocked arrays applied to cardiac ultrasound imaging
[IEEE] 2026-4-27 | Development of a Time-of-Flight Assisted Kinematic Energy Compensation Method for Monoenergetic Fast-Neutron Measurement
[IEEE] 2026-4-27 | Managing Trust in AI Systems: Evidence from Controlled Evaluation of Explanation Stability under Data Imbalance_supp1-3687235.docx
[IEEE] 2026-4-27 | Dynamic LLM Node Selection in AIoT Networks: A Compatibility-Driven Diffusion Reinforcement Learning Approach
[IEEE] 2026-4-27 | Integrity Extraction of Water Bodies in Complex Scenes Based on the Adaptive Watermamba Framework
[IEEE] 2026-4-27 | Enhanced Sensorless Current Control in Boost Converters for EV Fast Charging: Equilibrium Optimization–Tuned Cascaded ANN–Fuzzy Logic Control
[IEEE] 2026-4-27 | A Distributed Stochastic Unified Accelerated Algorithm for Convex Optimization Over Time-Varying Directed Networks_supp1-3683196.pdf
[IEEE] 2026-4-27 | SFG: A Universal Time-Frequency Architecture for Versatile Time Series Analysis
[IEEE] 2026-4-27 | Finger-Ring Based ECG-BioZ Dual Signal System for Blood Pressure Estimation: A Pilot Study_supp1-3682557.pdf
[IEEE] 2026-4-27 | Unified Design of A Low-Profile Wideband Circularly-Polarized Reflectarray Via Synthesis of Multimode Polarization Converter
[IEEE] 2026-4-27 | CARS: Container-Aware Resource Scheduling in Heterogeneous Fog Computing based on DRL
[IEEE] 2026-4-27 | IEI-TIA: Industrial Embodied Intelligence Trustworthy Interpretable Agent for Robotic Long-horizon and Repetitive Tasks
[IEEE] 2026-4-27 | Optimization of Identification of Micro-Objects by Correlation Functions of a Random Sequence of Image Points
[IEEE] 2026-4-27 | Demonstrating Real-Time RAN Observability in Open-Source 5G: Controlled Interference Scenario
[IEEE] 2026-4-27 | Explainable Machine Learning for PM2.5 Forecasting in Industry 4.0 Systems
[IEEE] 2026-4-27 | CarbonMeter: A Lightweight Framework for Achieving Sustainable and Cost-Efficient Data Centers
[IEEE] 2026-4-27 | Knowledge Lakes for Cognitive Systems: Integration of Graph Databases and Ontologies
[IEEE] 2026-4-27 | A Bionic Model of Taste-Emotion Nervous System Combined with an Electronic Tongue for Apple Origin Classification
[IEEE] 2026-4-27 | PhysSANet: Formation-Inspired Perturbations and Structure-Aware Learning for Semi-Supervised Remote Sensing Change Detection
