[2026-01-27 09:21:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-26
正在获取论文...
[arXiv] 2026-01-26 | On-chip control of the coherence matrix of four-mode partially coherent light: rank, entropy, and modal Stokes parameters
[arXiv] 2026-01-26 | When Nobody Around Is Real: Exploring Public Opinions and User Experiences On the Multi-Agent AI Social Platform
[arXiv] 2026-01-26 | Designing large language model prompts to extract scores from messy text: A shared dataset and challenge
[arXiv] 2026-01-26 | Neural Network Approximation: A View from Polytope Decomposition
[arXiv] 2026-01-26 | FGGM: Fisher-Guided Gradient Masking for Continual Learning
[arXiv] 2026-01-26 | BoRP: Bootstrapped Regression Probing for Scalable and Human-Aligned LLM Evaluation
[arXiv] 2026-01-26 | GenCI: Generative Modeling of User Interest Shift via Cohort-based Intent Learning for CTR Prediction
[arXiv] 2026-01-26 | A particle on a ring or: how I learned to stop worrying and love $θ$-vacua
[arXiv] 2026-01-26 | Nonanalytic Structure of Effective Potential at Finite Temperature on Compactified Space
[arXiv] 2026-01-26 | TechING: Towards Real World Technical Image Understanding via VLMs
[arXiv] 2026-01-26 | Breakdown of bosonic Thouless pump due to interaction in a quasiperiodic lattice
[arXiv] 2026-01-26 | HomoFM: Deep Homography Estimation with Flow Matching
[arXiv] 2026-01-26 | Automated HER2 scoring with uncertainty quantification using lensfree holography and deep learning
[arXiv] 2026-01-26 | Rhea: Detecting Privilege-Escalated Evasive Ransomware Attacks Using Format-Aware Validation in the Cloud
[arXiv] 2026-01-26 | Controllability of wave-heat and heat-wave cascades
[arXiv] 2026-01-26 | Wave functions and k-point functions for the AKNS hierarchy
[arXiv] 2026-01-26 | Tunneling signatures of interband coherence in dilute exciton condensates
[arXiv] 2026-01-26 | Lattice determination of the neutrino background for $J/ψ\rightarrow γ+ \textrm{invisible}$
[arXiv] 2026-01-26 | PaperSearchQA: Learning to Search and Reason over Scientific Papers with RLVR
[arXiv] 2026-01-26 | Gluing different gravitational models: $f(R)$ case
[arXiv] 2026-01-26 | MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning
[arXiv] 2026-01-26 | DMAP: Human-Aligned Structural Document Map for Multimodal Document Understanding
[arXiv] 2026-01-26 | SAGE: Steerable Agentic Data Generation for Deep Search with Execution Feedback
[arXiv] 2026-01-26 | Trajectory-Based RBF Collocation Method for Surface Advection-Diffusion Equations
[arXiv] 2026-01-26 | Vertex degrees in grid graphs associated with 213-avoiding permutations
[arXiv] 2026-01-26 | YOLO-DS: Fine-Grained Feature Decoupling via Dual-Statistic Synergy Operator for Object Detection
[arXiv] 2026-01-26 | Lie algebroid connection and Harder-Narasimhan reduction
[arXiv] 2026-01-26 | A necessary condition for the logarithmic Minkowksi problem in higher dimension
[arXiv] 2026-01-26 | Pullback and Direct Image of Parabolic Ample and Parabolic Nef Vector Bundles
[arXiv] 2026-01-26 | Magnetic field-induced non-trivial Lifshitz transition in TaCo2Te2
[arXiv] 2026-01-26 | JWST Spectroscopic Census of ALMA Faint Submillimeter Galaxies in the Hubble Ultra Deep Field
[arXiv] 2026-01-26 | Systematic classification of one-loop models addressing the $b \to s ν\barν$ anomaly
[arXiv] 2026-01-26 | Neuro-Parametric Spectral Classification of Black Hole and Neutron Star X-ray Binary Systems
[arXiv] 2026-01-26 | Accelerating Update Broadcasts Over LoRaWAN Downlink via D2D Cooperation
[arXiv] 2026-01-26 | Heavy Quarkonium Spectrum and Decay Constants from a Neural-Network-Based Holographic Model
[arXiv] 2026-01-26 | Static stable timelike circular orbits and Aschenbach effect in horizonless solutions of Einstein cubic gravity
[arXiv] 2026-01-26 | Decentralized Multi-product Pricing: Diagonal Dominance, Nash Equilibrium, and Price of Anarchy
[arXiv] 2026-01-26 | MalURLBench: A Benchmark Evaluating Agents' Vulnerabilities When Processing Web URLs
[arXiv] 2026-01-26 | Quasiregular maps of Sierpinski carpet Julia sets
[arXiv] 2026-01-26 | Beyond Static Datasets: Robust Offline Policy Optimization via Vetted Synthetic Transitions
[arXiv] 2026-01-26 | Mitigating the OWASP Top 10 For Large Language Models Applications using Intelligent Agents
[arXiv] 2026-01-26 | Computational Framework for Estimating Relative Gaussian Blur Kernels between Image Pairs
[arXiv] 2026-01-26 | LatentMoE: Toward Optimal Accuracy per FLOP and Parameter in Mixture of Experts
[arXiv] 2026-01-26 | "Crash Test Dummies" for AI-Enabled Clinical Assessment: Validating Virtual Patient Scenarios with Virtual Learners
[arXiv] 2026-01-26 | Physics-Integrated Inference for Signal Recovery in Non-Gaussian Regimes
[arXiv] 2026-01-26 | Remarks about Connection and Dirac matrices
[arXiv] 2026-01-26 | CIM-Tuner: Balancing the Compute and Storage Capacity of SRAM-CIM Accelerator via Hardware-mapping Co-exploration
[arXiv] 2026-01-26 | Design of a Miniature Kibble Balance for Kilogram-Scale Mass Calibration -- KBmini
[arXiv] 2026-01-26 | BASTION: A Bayesian Framework for Trend and Seasonality Decomposition
[arXiv] 2026-01-26 | MortalMATH: Evaluating the Conflict Between Reasoning Objectives and Emergency Contexts
[arXiv] 2026-01-26 | PRECISE: Reducing the Bias of LLM Evaluations Using Prediction-Powered Ranking Estimation
[arXiv] 2026-01-26 | The Blown Lead Paradox: Conditional Laws for the Running Maximum of Binary Doob Martingales
[arXiv] 2026-01-26 | Hamiltonian Decoded Quantum Interferometry for General Pauli Hamiltonians
[arXiv] 2026-01-26 | The Role of Intrinsic Temperature and Vertical Mixing in Characterizing Sub-Neptune Atmospheres
[arXiv] 2026-01-26 | Anticipation in Action: Evaluating Stimulus-Preceding Negativity as an Implicit Trigger for Adaptive Mixed Reality
[arXiv] 2026-01-26 | Let's Make Every Pull Request Meaningful: An Empirical Analysis of Developer and Agentic Pull Requests
[arXiv] 2026-01-26 | Symmetric Proofs of Parameterized Programs
[arXiv] 2026-01-26 | SNC Kähler-Einstein metrics and RCD spaces
[arXiv] 2026-01-26 | Benchmarking Machine Learning Models for IoT Malware Detection under Data Scarcity and Drift
[arXiv] 2026-01-26 | Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models
[arXiv] 2026-01-26 | Optimal Use of Preferences in Artificial Intelligence Algorithms
[arXiv] 2026-01-26 | Liquid crystals and topological vorticity: smoothness of mild solutions
[arXiv] 2026-01-26 | Conditioned Generative Modeling of Molecular Glues: A Realistic AI Approach for Synthesizable Drug-like Molecules
[arXiv] 2026-01-26 | Point transformer for protein structural heterogeneity analysis using CryoEM
[arXiv] 2026-01-26 | Health-SCORE: Towards Scalable Rubrics for Improving Health-LLMs
[arXiv] 2026-01-26 | From Fuzzy to Exact: The Halo Architecture for Infinite-Depth Reasoning via Rational Arithmetic
[arXiv] 2026-01-26 | On the Distance Distribution of Reed-Muller Codes
[arXiv] 2026-01-26 | ART for Diffusion Sampling: A Reinforcement Learning Approach to Timestep Schedule
[arXiv] 2026-01-26 | New parameters for star cluster dynamics: observational results
[arXiv] 2026-01-26 | Counterfactual Explanations on Robust Perceptual Geodesics
[arXiv] 2026-01-26 | Quasi Monte Carlo methods enable extremely low-dimensional deep generative models
[arXiv] 2026-01-26 | Non-Markovian non-equilibrium modeling of experimental cell-motion trajectories reveals dependence of propulsion-force correlations on solvent viscosity
[arXiv] 2026-01-26 | The phase structure of QCD: Fluctuations and Correlations
[arXiv] 2026-01-26 | S$^2$GR: Stepwise Semantic-Guided Reasoning in Latent Space for Generative Recommendation
[arXiv] 2026-01-26 | Balancing Privacy and Robustness in Coded Computing Under Profiled Workers
[arXiv] 2026-01-26 | When Is Self-Disclosure Optimal? Incentives and Governance of AI-Generated Content
[arXiv] 2026-01-26 | Hamiltonian Analysis of Doubled 4d Chern-Simons
[arXiv] 2026-01-26 | Physics-Informed Uncertainty Enables Reliable AI-driven Design
[arXiv] 2026-01-26 | Brazilian Social Media Anti-vaccine Information Disorder Dataset -- Telegram (2020-2025)
[arXiv] 2026-01-26 | Scale-Aware Self-Supervised Learning for Segmentation of Small and Sparse Structures
[arXiv] 2026-01-26 | Fractal functions defined in terms of number representations in systems with a redundant alphabet
[arXiv] 2026-01-26 | Disk-jet-wind coupling from stellar mass to supermassive black holes
[arXiv] 2026-01-26 | Role of transfer films and interfacial cracking in metallic sliding wear
[arXiv] 2026-01-26 | Distinguishing Graphs by Counting Homomorphisms from Sparse Graphs
[arXiv] 2026-01-26 | A Balanced Neuro-Symbolic Approach for Commonsense Abductive Logic
[arXiv] 2026-01-26 | The generalised balanced power diagram: flat sections, affine transformations and an improved rendering algorithm
[arXiv] 2026-01-26 | Uncooled Poisson Bolometer for High-Speed Event-Based Long-wave Thermal Imaging
[arXiv] 2026-01-26 | From Classification to Ranking: Enhancing LLM Reasoning Capabilities for MBTI Personality Detection
[arXiv] 2026-01-26 | Formal Naive Dirac Operators and Graph Topology
[arXiv] 2026-01-26 | Hierarchical self-organization of highly-ordered granular ensemble of optical solitons through collective motions
[arXiv] 2026-01-26 | On the Abolition of the "ICSE Paper" and the Adoption of the "Registered Proposal" and the "Results Report"
[arXiv] 2026-01-26 | An Unsupervised Tensor-Based Domain Alignment
[arXiv] 2026-01-26 | Finite-Time Transition to Intermittency for a Stochastic Heat Equation Driven by the Square of a Gaussian Field
[arXiv] 2026-01-26 | AI-enabled Satellite Edge Computing: A Single-Pixel Feature based Shallow Classification Model for Hyperspectral Imaging
[arXiv] 2026-01-26 | Arithmetic volumes of moduli stacks of Shtukas
[arXiv] 2026-01-26 | Generative Diffusion Augmentation with Quantum-Enhanced Discrimination for Medical Image Diagnosis
[arXiv] 2026-01-26 | Different Transient Phenomena at the Edges of Traveling Foreshocks
[arXiv] 2026-01-26 | An exploration of lateral optical forces from a triangular periodic motif
[arXiv] 2026-01-26 | Fast and Safe Trajectory Optimization for Mobile Manipulators With Neural Configuration Space Distance Field
[arXiv] 2026-01-26 | Tight semidefinite programming relaxations for sparse box-constrained quadratic programs
[arXiv] 2026-01-26 | Audio Inpainting in Time-Frequency Domain with Phase-Aware Prior
[arXiv] 2026-01-26 | From Verifiable Dot to Reward Chain: Harnessing Verifiable Reference-based Rewards for Reinforcement Learning of Open-ended Generation
[arXiv] 2026-01-26 | From Cold Start to Active Learning: Embedding-Based Scan Selection for Medical Image Segmentation
[arXiv] 2026-01-26 | The Universal Post-Lie-Rinehart Algebra of Planar Aromatic Trees
[arXiv] 2026-01-26 | From Human Labels to Literature: Semi-Supervised Learning of NMR Chemical Shifts at Scale
[arXiv] 2026-01-26 | A BFBt preconditioner for Double Saddle-Point Systems
[arXiv] 2026-01-26 | Just-In-Time Reinforcement Learning: Continual Learning in LLM Agents Without Gradient Updates
[arXiv] 2026-01-26 | Interference-induced entanglement in an effectively zero-lifetime particle pair
[arXiv] 2026-01-26 | DEEPMED: Building a Medical DeepResearch Agent via Multi-hop Med-Search Data and Turn-Controlled Agentic Training & Inference
[arXiv] 2026-01-26 | Evidence of Langmuir/$\mathcal{Z}$-mode Wave Decay into $\mathcal{Z}$-mode Electromagnetic Radiation in the Solar Wind
[arXiv] 2026-01-26 | Demographic Probing of Large Language Models Lacks Construct Validity
[arXiv] 2026-01-26 | Funny or Persuasive, but Not Both: Evaluating Fine-Grained Multi-Concept Control in LLMs
[arXiv] 2026-01-26 | On decay of solutions to the anisotropic Boussinesq equations near the hydrostatic balance in half space $\mathbb{R}_+^3$
[arXiv] 2026-01-26 | Dynamic Channel Charting: An LSTM-AE-based Approach
[arXiv] 2026-01-26 | Design and modeling of a liquid-lead dump concept for beamstrahlung radiation absorption in the CERN Future Circular e$^+$e$^-$ Collider
[arXiv] 2026-01-26 | Constraining bulk-to-boundary correlators in the theories with Poincaré symmetry
[arXiv] 2026-01-26 | 3DGesPolicy: Phoneme-Aware Holistic Co-Speech Gesture Generation Based on Action Control
[arXiv] 2026-01-26 | KeyMemRT Compiler and Runtime: Unlocking Memory-Scalable FHE
[arXiv] 2026-01-26 | SG-CADVLM: A Context-Aware Decoding Powered Vision Language Model for Safety-Critical Scenario Generation
[arXiv] 2026-01-26 | First Observational Evidence for Split Infall Flow of Cosmic Filaments into Clusters
[arXiv] 2026-01-26 | Fusion of Spatio-Temporal and Multi-Scale Frequency Features for Dry Electrodes MI-EEG Decoding
[arXiv] 2026-01-26 | Meson-exchange currents and nuclear correlations in neutrino and electron scattering with nuclei
[arXiv] 2026-01-26 | Fundamentals, Recent Advances, and Challenges Regarding Cryptographic Algorithms for the Quantum Computing Era
[arXiv] 2026-01-26 | Frequency-Based Hyperparameter Selection in Games
[arXiv] 2026-01-26 | Brauer-Siegel theorem for families of number fields over almost Sn fields
[arXiv] 2026-01-26 | On the average hitting times of the directed wheel
[arXiv] 2026-01-26 | Trace ideals of canonical modules over Schubert cycles and determinantal rings
[arXiv] 2026-01-26 | CitiLink: Enhancing Municipal Transparency and Citizen Engagement through Searchable Meeting Minutes
[arXiv] 2026-01-26 | Atom-light hybrid interferometer for atomic sensing with quantum memory
[arXiv] 2026-01-26 | Scaling of multicopy constructive interference of Gaussian states
[arXiv] 2026-01-26 | Quantum Hyperuniformity and Quantum Weight
[arXiv] 2026-01-26 | Discriminability-Driven Spatial-Channel Selection with Gradient Norm for Drone Signal OOD Detection
[arXiv] 2026-01-26 | Integrating Fine-Grained Audio-Visual Evidence for Robust Multimodal Emotion Reasoning
[arXiv] 2026-01-26 | MultiVis-Agent: A Multi-Agent Framework with Logic Rules for Reliable and Comprehensive Cross-Modal Data Visualization
[arXiv] 2026-01-26 | Convex Chance-Constrained Stochastic Control under Uncertain Specifications with Application to Learning-Based Hybrid Powertrain Control
[arXiv] 2026-01-26 | Understanding Heat Transport Mechanisms in Optically Transparent Thermal Loss Mitigators
[arXiv] 2026-01-26 | A Heterogeneous Massive MIMO Technique for Uniform Service in Cellular Networks
[arXiv] 2026-01-26 | A necessary and sufficient condition for convergence in distribution of the P-P process in $L^1[0,1]$
[arXiv] 2026-01-26 | Chiral Properties of $(2\!+\!1)$-Flavor QCD in Magnetic Fields at Zero Temperature
[arXiv] 2026-01-26 | RTeAAL Sim: Using Tensor Algebra to Represent and Accelerate RTL Simulation (Extended Version)
[arXiv] 2026-01-26 | Constraining Reionization Morphology and Source Properties with 21cm-Galaxy Cross-Correlation Surveys
[arXiv] 2026-01-26 | Complex-Valued-Matrix Permanents: SPA-based Approximations and Double-Cover Analysis
[arXiv] 2026-01-26 | Error-mitigation aware benchmarking strategy for quantum optimization problems
[arXiv] 2026-01-26 | An Adaptive Purification Controller for Quantum Networks: Dynamic Protocol Selection and Multipartite Distillation
[arXiv] 2026-01-26 | Pisets: A Robust Speech Recognition System for Lectures and Interviews
[arXiv] 2026-01-26 | The Cost of Inflation
[arXiv] 2026-01-26 | Formation Dynamics of Quantum Droplets for Homonuclear and Heteronuclear Mixtures
[arXiv] 2026-01-26 | Sufficient conditions for additivity of the zero-error classical capacity of quantum channels
[arXiv] 2026-01-26 | Exotic vortex states at high magnetic fields in a quasi-two-dimensional FeSe-based superconductor
[arXiv] 2026-01-26 | Equicontinuity of the Hutchinson operator $F$ and sensitivity of $F_-$
[arXiv] 2026-01-26 | Conformal Prediction Algorithms for Time Series Forecasting: Methods and Benchmark
[arXiv] 2026-01-26 | Gravitational wave detectors from an experimental perspective
[arXiv] 2026-01-26 | Nearly Optimal Bayesian Inference for Structural Missingness
[arXiv] 2026-01-26 | Qubit-parity interference despite unknown interaction phases
[arXiv] 2026-01-26 | AgentDoG: A Diagnostic Guardrail Framework for AI Agent Safety and Security
[arXiv] 2026-01-26 | Intertwiners for D=3 Gauge Theories
[arXiv] 2026-01-26 | Galactic Large-scale Filaments Resident in Asymmetric Environments: Clues from Cross-filament Profiles of Density and Temperature
[arXiv] 2026-01-26 | Tensor decomposition of Demazure crystals for symmetrizable Kac-Moody Lie algebras
[arXiv] 2026-01-26 | Uncertainty Quantification in Coupled Multiphysics Systems via Gaussian Process Surrogates: Application to Fuel Assembly Bow
[arXiv] 2026-01-26 | LoD-Structured 3D Gaussian Splatting for Streaming Video Reconstruction
[arXiv] 2026-01-26 | "Infinitely Often" Transcendence of Gamma-Function Derivatives
[arXiv] 2026-01-26 | Spontaneous epicuticular charging affects droplet dynamics on living leaves
[arXiv] 2026-01-26 | Fair-Eye Net: A Fair, Trustworthy, Multimodal Integrated Glaucoma Full Chain AI System
[arXiv] 2026-01-26 | Measurement induced faster symmetry restoration in quantum trajectories
[arXiv] 2026-01-26 | A stabilized finite element method for a flow problem arising from 4D flow magnetic resonance imaging
[arXiv] 2026-01-26 | On Higher Representation Theory via Categories of type Charge-Conserving--with--Glue
[arXiv] 2026-01-26 | Enhanced Wall Boundary Modeling for Turbulent Flows Using the Lattice Boltzmann Method with Adaptive Cartesian Grids
[arXiv] 2026-01-26 | Algebraic Characterizations of Classes of Regular Languages in DynFO
[arXiv] 2026-01-26 | A Theory of Single-Antenna Atomic Beamforming
[arXiv] 2026-01-26 | Gradient Regularized Natural Gradients
[arXiv] 2026-01-26 | Larger than memory image processing
[arXiv] 2026-01-26 | Validity of the stochastic Ginzburg-Landau approximation in higher space dimensions -A Wiener algebra approach-
[arXiv] 2026-01-26 | Flash evaporation Riemann Problem: Formulation and its Exact Solution
[arXiv] 2026-01-26 | On the Bandwidth Consumption of Blockchains
[arXiv] 2026-01-26 | Testing residual-symmetry-fixed columns of $U_{\rm PMNS}$ at DUNE and T2HK with initial JUNO constraints
[arXiv] 2026-01-26 | Noise-Robust AV-ASR Using Visual Features Both in the Whisper Encoder and Decoder
[arXiv] 2026-01-26 | Tensor-polarized parton distribution functions for spin-1 hadrons
[arXiv] 2026-01-26 | ARMOR: Agentic Reasoning for Methods Orchestration and Reparameterization for Robust Adversarial Attacks
[arXiv] 2026-01-26 | Dynamic Thinking-Token Selection for Efficient Reasoning in Large Reasoning Models
[arXiv] 2026-01-26 | On the relation between time-reversed acoustics and Green's function retrieval in space-variant and in time-variant materials
[arXiv] 2026-01-26 | Corpus-Based Approaches to Igbo Diacritic Restoration
[arXiv] 2026-01-26 | OREHAS: A fully automated deep-learning pipeline for volumetric endolymphatic hydrops quantification in MRI
[arXiv] 2026-01-26 | Physical Features of Geometrically Deformed Anisotropic Charged Three-dimensional BTZ Black Holes
[arXiv] 2026-01-26 | Bohr's complementarity principle tested on a real quantum computer via interferometer experiments
[arXiv] 2026-01-26 | Polyhedral results for two classes of submodular sets with GUB constraints
[arXiv] 2026-01-26 | Resolution Dependence in Magnetohydrodynamic Simulations of Neutrino-Driven Core-Collapse Supernovae
[arXiv] 2026-01-26 | Promises, Perils, and (Timely) Heuristics for Mining Coding Agent Activity
[arXiv] 2026-01-26 | Stratified Morse Theory for Cell Complexes
[arXiv] 2026-01-26 | Precision Light Yield and Crosstalk Characterization for the SuperFGD scintillator cubes
[arXiv] 2026-01-26 | Quantum-vortex-driven Kelvin wave in the thermal background of superfluid helium
[arXiv] 2026-01-26 | Recurrence Relations for the Maclaurin Coefficients of Products of Elementary Functions and the Bessel Functions
[arXiv] 2026-01-26 | MarioChart: Autonomous Tangibles as Active Proxy Interfaces for Embodied Casual Data Exploration
[arXiv] 2026-01-26 | Discrete spectrum from local perturbations of leaky curves
[arXiv] 2026-01-26 | Representations with the same degree
[arXiv] 2026-01-26 | Are Conversational AI Agents the Way Out? Co-Designing Reader-Oriented News Experiences with Immigrants and Journalists
[arXiv] 2026-01-26 | A general variational approach for equilibrium phase boundaries of trapped spin-1 Bose-Einstein condensates
[arXiv] 2026-01-26 | Beyond Preferences: Learning Alignment Principles Grounded in Human Reasons and Values
[arXiv] 2026-01-26 | Subdividing simplicial virtual resolutions with homology
[arXiv] 2026-01-26 | Trust, Don't Trust, or Flip: Robust Preference-Based Reinforcement Learning with Multi-Expert Feedback
[arXiv] 2026-01-26 | TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models
[arXiv] 2026-01-26 | Quantum skyrmions in the antiferromagnetic triangular lattice
[arXiv] 2026-01-26 | Why Keep Your Doubts to Yourself? Trading Visual Uncertainties in Multi-Agent Bandit Systems
[arXiv] 2026-01-26 | Reflect: Transparent Principle-Guided Reasoning for Constitutional Alignment at Scale
[arXiv] 2026-01-26 | Restoring Wasserstein Rigidity with a single point
[arXiv] 2026-01-26 | Explaining the thermal emission of old neutron stars with rotochemical heating and magnetized superconducting protons
[arXiv] 2026-01-26 | Gained in Translation: Privileged Pairwise Judges Enhance Multilingual Reasoning
[arXiv] 2026-01-26 | Ultra-fast growth of primordial black holes through radiative absorption
[arXiv] 2026-01-26 | Chemotaxis-inspired PDE models of airborne infectious disease transmission: epidemiologically-motivated mathematical and numerical analyses
[arXiv] 2026-01-26 | Hyperkähler bases for six rational bordism theories
[arXiv] 2026-01-26 | Mechanistic Analysis of Catastrophic Forgetting in Large Language Models During Continual Fine-tuning
[arXiv] 2026-01-26 | Competitive Social Mobilization in Threshold Models of Collective Action
[arXiv] 2026-01-26 | COMETS: Coordinated Multi-Destination Video Transmission with In-Network Rate Adaptation
[arXiv] 2026-01-26 | A probabilistic journey through the Newton-Girard identities
[arXiv] 2026-01-26 | On Partition Classes Arising from Parity, Differences, and Repeated Smallest Parts
[arXiv] 2026-01-26 | On series identities involving $\binom{4k}k$ and harmonic numbers
[arXiv] 2026-01-26 | The growing family of gamma-ray narrow-line Seyfert 1 galaxies
[arXiv] 2026-01-26 | Conductance switching and nonequilibrium phase coexistence in superconductors with intermediate bias
[arXiv] 2026-01-26 | Adaptive Domain Shift in Diffusion Models for Cross-Modality Image Translation
[arXiv] 2026-01-26 | Emergence of Phonemic, Syntactic, and Semantic Representations in Artificial Neural Networks
[arXiv] 2026-01-26 | Issues regarding the Indexing of Publication Types and Study Designs
[arXiv] 2026-01-26 | LaCoGSEA: Unsupervised deep learning for pathway analysis via latent correlation
[arXiv] 2026-01-26 | On-surface dehydrogenative lateral homo-coupling and aromatization of n-octane on Pt(111)
[arXiv] 2026-01-26 | EFSI-DETR: Efficient Frequency-Semantic Integration for Real-Time Small Object Detection in UAV Imagery
[arXiv] 2026-01-26 | How are MLOps Frameworks Used in Open Source Projects? An Empirical Characterization
[arXiv] 2026-01-26 | AGSP-DSA: An Adaptive Graph Signal Processing Framework for Robust Multimodal Fusion with Dynamic Semantic Alignment
[arXiv] 2026-01-26 | FastInsight: Fast and Insightful Retrieval via Fusion Operators for Graph RAG
[arXiv] 2026-01-26 | The AIDA-TNG project: gas distributions inside and around haloes
[arXiv] 2026-01-26 | Attention-Based Neural-Augmented Kalman Filter for Legged Robot State Estimation
[arXiv] 2026-01-26 | Supersolid phases and collective excitations in two-dimensional Rashba spin-orbit coupled spin-1 condensates
[arXiv] 2026-01-26 | Ancient relic moderately metal-rich bulge cluster Tonantzintla 2
[arXiv] 2026-01-26 | Monochromatic triangle-tilings in dense graphs without large independent sets
[arXiv] 2026-01-26 | Bayesian Optimization for Quantum Error-Correcting Code Discovery
[arXiv] 2026-01-26 | Brownian motion on reflection quantum groups. Construction and cutoff
[arXiv] 2026-01-26 | Experimental Characterization of ISAC Channel Mapping and Environment Awareness
[arXiv] 2026-01-26 | Automated Landmark Detection for assessing hip conditions: A Cross-Modality Validation of MRI versus X-ray
[arXiv] 2026-01-26 | Reinforcement Learning with Distributed MPC for Fuel-Efficient Platoon Control with Discrete Gear Transitions
[arXiv] 2026-01-26 | Quest2ROS2: A ROS 2 Framework for Bi-manual VR Teleoperation
[arXiv] 2026-01-26 | Line Spectral Estimation Using a G-Filter: Atomic Norm Minimization with Multiple Output Vectors
[arXiv] 2026-01-26 | Functional Large Deviations for Wide Deep Neural Networks with Gaussian Initialization and Lipschitz Activations
[arXiv] 2026-01-26 | Improved stability estimates at elliptic equilibria of Hamiltonian systems
[arXiv] 2026-01-26 | Orchestrating Specialized Agents for Trustworthy Enterprise RAG
[arXiv] 2026-01-26 | A Field-Weighted model for Surface Layer Characterization using Single Channel Intensity Interrogation SPR
[arXiv] 2026-01-26 | Revisiting a Quasar Microlensing Event Towards AGN~J1249+3449
[arXiv] 2026-01-26 | Algebraic Phase Theory V: Boundary Calculus, Rigidity Islands, and Deformation Theory
[arXiv] 2026-01-26 | A Mechanical Wi-Fi Antenna Device for Automatic Orientation Tuning with Bayesian Optimization
[arXiv] 2026-01-26 | Algebraic Phase Theory IV: Morphisms, Equivalences, and Categorical Rigidity
[arXiv] 2026-01-26 | Tractable Gaussian Phase Retrieval with Heavy Tails and Adversarial Corruption with Near-Linear Sample Complexity
[arXiv] 2026-01-26 | Vision-Language-Model-Guided Differentiable Ray Tracing for Fast and Accurate Multi-Material RF Parameter Estimation
[arXiv] 2026-01-26 | V-Loop: Visual Logical Loop Verification for Hallucination Detection in Medical Visual Question Answering
[arXiv] 2026-01-26 | Probing the Future of Meta-Analysis: Eliciting Design Principles via an Agentic Research IDE
[arXiv] 2026-01-26 | Revisiting $μ$-$e$ conversion in $R$-parity violating SUSY
[arXiv] 2026-01-26 | Limit theorems for non linear (compound marked) Hawkes processes
[arXiv] 2026-01-26 | The global attractor of the Toner-Tu-Swift-Hohenberg equations of active turbulence and its properties
[arXiv] 2026-01-26 | Rethinking Cross-Modal Fine-Tuning: Optimizing the Interaction between Feature Alignment and Target Fitting
[arXiv] 2026-01-26 | Facial Emotion Recognition on FER-2013 using an EfficientNetB2-Based Approach
[arXiv] 2026-01-26 | Yunjue Agent Tech Report: A Fully Reproducible, Zero-Start In-Situ Self-Evolving Agent System for Open-Ended Tasks
[arXiv] 2026-01-26 | Minimal spectral radius of graphs with given matching number
[arXiv] 2026-01-26 | LLM-ForcedAligner: A Non-Autoregressive and Accurate LLM-Based Forced Aligner for Multilingual and Long-Form Speech
[arXiv] 2026-01-26 | Separating Energy and Entropy Contributions to the Hexatic-Liquid Transitions in Two-Dimensional Repulsive Systems
[arXiv] 2026-01-26 | The Regge-Gribov model with odderons
[arXiv] 2026-01-26 | Scalable Quantum Message Passing Graph Neural Networks for Next-Generation Wireless Communications: Architectures, Use Cases, and Future Directions
[arXiv] 2026-01-26 | QualiRAG: Retrieval-Augmented Generation for Visual Quality Understanding
[arXiv] 2026-01-26 | Relative bi-exactness and structural results for graph-wreath product von Neumann algebras
[arXiv] 2026-01-26 | Inferring photospheric horizontal flows from multiple observations with SUVEL models
[arXiv] 2026-01-26 | Success Conditioning as Policy Improvement: The Optimization Problem Solved by Imitating Success
[arXiv] 2026-01-26 | An Initial Evaluation of Distributed Graph Algorithms using NWGraph and HPX
[arXiv] 2026-01-26 | Reconstructing Toponium using Recursive Jigsaw Reconstruction
[arXiv] 2026-01-26 | The Stability Limit of Prepotentials for Hurwitz-Frobenius Manifolds: An Infinite-Dimensional Approach
[arXiv] 2026-01-26 | Contact Plan Design For Optical Interplanetary Communications
[arXiv] 2026-01-26 | Think When Needed: Model-Aware Reasoning Routing for LLM-based Ranking
[arXiv] 2026-01-26 | Exact Minimum-Volume Confidence Set Intersection for Multinomial Outcomes
[arXiv] 2026-01-26 | An Extension of the $sl(n)$ Polynomial to Knotted 4-Valent Graphs
[arXiv] 2026-01-26 | DeepPlanning: Benchmarking Long-Horizon Agentic Planning with Verifiable Constraints
[arXiv] 2026-01-26 | RouteMoA: Dynamic Routing without Pre-Inference Boosts Efficient Mixture-of-Agents
[arXiv] 2026-01-26 | Understanding Users' Privacy Reasoning and Behaviors During Chatbot Use to Support Meaningful Agency in Privacy
[arXiv] 2026-01-26 | Deadline-Aware, Energy-Efficient Control of Domestic Immersion Hot Water Heaters
[arXiv] 2026-01-26 | A Generalized Weak Galerkin Method for Linear Elasticity with Nonpolynomial Approximations
[arXiv] 2026-01-26 | FABLE: Forest-Based Adaptive Bi-Path LLM-Enhanced Retrieval for Multi-Document Reasoning
[arXiv] 2026-01-26 | Mitigating Deadtime in Distributed Optical Arrays: A Liveness-Aware Trigger Approach for High-Energy Neutrino Detection
