[2026-08-28 02:37:48] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-27
正在获取论文...
[arXiv] 2026-08-27 | Bochner Stability for B-stable DIRK Schemes
[arXiv] 2026-08-27 | BrailleBench: Investigating Multi-Criteria Braille Comprehension in Large Language Models
[arXiv] 2026-08-27 | SCIT: Testing Causal Cache Carriers in Latent Chain-of-Thought Models
[arXiv] 2026-08-27 | Making Latent Evolution Explicit: Operator-Structured Transitions for World Action Models
[arXiv] 2026-08-27 | Rigidity and existence of Busemann profiles for the Allen--Cahn equation on Cartan--Hadamard manifolds
[arXiv] 2026-08-27 | Enforcing Dirichlet Boundary Conditions in Operator Learning
[arXiv] 2026-08-27 | Circuit Condensation: Post-Training that Concentrates a Behavior's Causal Circuit
[arXiv] 2026-08-27 | Torus actions, almost non-negative curvature and fundamental groups
[arXiv] 2026-08-27 | Optimal Transport and the ABP Method in Higher Codimension
[arXiv] 2026-08-27 | UniFLM: United Segmentation and Measurement on Fetal Limb Ultrasonic Image
[arXiv] 2026-08-27 | Long-time Dynamics of Many-body Open Quantum Systems using Quantum Generating Functions
[arXiv] 2026-08-27 | Exploring continuous beta-ensembles: A Python implementation for random matrix spectral statistics
[arXiv] 2026-08-27 | Co-Optimized Generation, Transmission, and Storage Expansion: System Value and Optimal Duration of Pumped-Storage Hydropower
[arXiv] 2026-08-27 | Tensegrity Continuum Robots Enable Task-Adaptive Morphologies for Cooperative Behaviors
[arXiv] 2026-08-27 | Narrow-Shell Stochasticity in Source-Sink Models of the Low Earth Orbit Environment
[arXiv] 2026-08-27 | VPP: Virtual Pipeline Parallelism for Efficient Chunked Prefill in Long-Context LLM Inference
[arXiv] 2026-08-27 | Graph-Based Pseudo-multimodal Contrastive Learning for 12-Lead ECG Representations
[arXiv] 2026-08-27 | Adversarial Training Without Input Gradients via Low-Rank Householder Expansions
[arXiv] 2026-08-27 | Packora: Systematic Design for Generative Molecular Crystal Structure Prediction
[arXiv] 2026-08-27 | Geo-LoRA: Geometry-Aware Subspace Evolution for Low-Rank Adaptation in Continual Learning
[arXiv] 2026-08-27 | Scaling Model-Generated Distillation Data Can Make Latent Teacher Traits More Recoverable
[arXiv] 2026-08-27 | Per-View Gaussian Predictions Enable Training-Free Distractor Filtering in Feed-Forward 3DGS
[arXiv] 2026-08-27 | Reclaiming Epistemic Agency: A Critical Framework for Human-Generative AI Co-Agency in Education
[arXiv] 2026-08-27 | Around the Andreadakis-Johnson filtration
[arXiv] 2026-08-27 | A Layer Importance Metric for Quantization Accounting for the Speed-Quality Trade-off in Autoregressive Models
[arXiv] 2026-08-27 | Mapping Written Words to Spoken Words in a Different Language Using Only Visual Grounding
[arXiv] 2026-08-27 | TabuLM: Morphology-Aware Tabular Pre-training for Low-Resource Languages
[arXiv] 2026-08-27 | Transcendental Numerical Dimension and Rational Quotients in Kähler Geometry
[arXiv] 2026-08-27 | DINIRS: Digital Twin for Individualized Treatment Effects of Non-Invasive Respiratory Support Strategies
[arXiv] 2026-08-27 | Ultra-broadband transient absorption down to 200 nm enabled by soliton dynamics in gas-filled hollow capillary fibers
[arXiv] 2026-08-27 | Dose-PlanNet: Physics Based Radiotherapy Dose Prediction with Deep Learning
[arXiv] 2026-08-27 | Counterfactual Bias Testing for Application Tracking System
[arXiv] 2026-08-27 | The Effect of Geometry on Thermodynamic Response
[arXiv] 2026-08-27 | AI agents in Algorithmic Electricity Markets: On the Emergence of Tacit Collusion
[arXiv] 2026-08-27 | On doubly alternative zero divisors in Cayley-Dickson algebras
[arXiv] 2026-08-27 | Diameter of the commutativity graph of the real sedenions
[arXiv] 2026-08-27 | Learning-Augmented Online Allocation under Unreliable Advice: Robustness, Exposure Fairness, and Distribution Shift
[arXiv] 2026-08-27 | Active Surface-Driven Reconfigurable Gripper: Robust Grasping and Sequential Manipulation of Thin Objects
[arXiv] 2026-08-27 | PLCBench: Can Autonomous LLM Agents Turn PLC Access into Sustained Physical Impact?
[arXiv] 2026-08-27 | Mitigating Strong-Modality Collapse in Multimodal Learning via Inverted Asymmetric Fusion
[arXiv] 2026-08-27 | SysComb: Fine-Grained Transparent System Call Filtering for Attack Surface Reduction
[arXiv] 2026-08-27 | Bound-state-mediated remote charging of a quantum battery
[arXiv] 2026-08-27 | Reinforcement Learning-Based Control of CAV Platoon Joining Maneuvers in Mixed Traffic
[arXiv] 2026-08-27 | LiveSim: Simulating Environment-Shaped Users in Multi-Agent Live-Stream Ecosystems
[arXiv] 2026-08-27 | Are We Shooting Flies with Cannons? Trade-off Analysis for AI-based 5G Intrusion Detection
[arXiv] 2026-08-27 | Covariant Electrodynamics with a Scalar Degree of Freedom
[arXiv] 2026-08-27 | SymbolLKG: Towards Verifiable Logical Reasoning via Logical Knowledge Graph and Symbolic Solvers
[arXiv] 2026-08-27 | CLIPPER: Replayable Shortlisted Optimization for Repeated Spatial Coverage Planning
[arXiv] 2026-08-27 | Split Coaxial Cable Medium for Tunable Artificial Dielectrics and Plasmas
[arXiv] 2026-08-27 | Two-point correlations of multiplicative functions with dense orbits
[arXiv] 2026-08-27 | Incremental Recommendation via Causal Models
[arXiv] 2026-08-27 | Spectral Approximation and Ergodic-Capacity Convergence of HMIMO Channels under Spatial-Wavenumber Domain Mismatch
[arXiv] 2026-08-27 | Ring Forcing: Towards Precise Long-Term Memory for Autoregressive Video Diffusion
[arXiv] 2026-08-27 | Thresholding Post-Quantum Signatures
[arXiv] 2026-08-27 | Specialisations of the Burungale-Castella-Skinner main conjecture to $\mathbb Z_p$-lines
[arXiv] 2026-08-27 | Measuring the Sr$^+$ 5s$_{1/2}$ Landé $g$-factor Using Singlet-Triplet Oscillations in a Circular Rydberg State of Strontium
[arXiv] 2026-08-27 | Stabilization of Interband Phase Solitons in Two-Band Noncentrosymmetric Superconducting Rings
[arXiv] 2026-08-27 | Instruction Quality Matters: Refining Instructions for Effective Preference Learning
[arXiv] 2026-08-27 | Packing and Covering Cycles Through Prescribed Vertices
[arXiv] 2026-08-27 | Fixed-Haven Reservation for Online Multi-Agent Pickup and Delivery in Dense Warehouses
[arXiv] 2026-08-27 | Safety by Design: Realized-Cost Constraints for Contextual Bandits with Continuous Actions
[arXiv] 2026-08-27 | Discovering Relationships in Data Lakes Using Large Language Models: An Industrial Case
[arXiv] 2026-08-27 | FaultLens: Learning Compact Behavioral Test Suites for Generated Operational Programs
[arXiv] 2026-08-27 | Residual Deep Reinforcement Learning-Based Computed Torque Control for a Cable-Driven Lower-Limb Rehabilitation Robot under Disturbances and Parametric Uncertainties
[arXiv] 2026-08-27 | Daydreaming: Stealing Hidden Agent Skills through Black-Box Task Interaction
[arXiv] 2026-08-27 | Torsion-vanishing for Siegel modular varieties via supercuspidal congruences
[arXiv] 2026-08-27 | Parameter Efficient Continual Learning for Sparse Event-Based Transformers
[arXiv] 2026-08-27 | When a Relaxed PEP Is Exact: The Sharp Queried-Gradient Rate of Nesterov's Fast Gradient Method
[arXiv] 2026-08-27 | $μ$DM: a new mechanism for the baryon-dark matter coincidence
[arXiv] 2026-08-27 | SERENADE III: Insight into the Origin of the High Dust Temperature and High [O III]/[C II] Ratio at $z\gtrsim6$
[arXiv] 2026-08-27 | Mapping class groups of simply connected closed spin 5-manifolds with no 2- and 3-torsion in homology
[arXiv] 2026-08-27 | BLANC: Discovering Patent White Space via Changes in Normalized Pointwise Mutual Information Between Multi-View Clusters
[arXiv] 2026-08-27 | When Does Supervised Fine-Tuning Reduce Instruction Sensitivity?
[arXiv] 2026-08-27 | When Privacy Hurts Mergeability: Geometry-Aware Model Merging under Differential Privacy
[arXiv] 2026-08-27 | FLARE: A Failure-Aware Framework for Autonomous Correction and Recovery in Visual-Language Robotic Manipulation
[arXiv] 2026-08-27 | Emptiness formation in the Lieb-Liniger gas: hydrodynamic instantons and a conjectured rate function
[arXiv] 2026-08-27 | Unbalanced Turán and spectral Turán problems with prescribed large maximum degree
[arXiv] 2026-08-27 | Quantales as formal concept lattices
[arXiv] 2026-08-27 | Risks and Controls for Multi-Agent Systems: an analytical framework for deployment of AI agents across organisational boundaries
[arXiv] 2026-08-27 | Optimal connectivity of second order iterated line graphs
[arXiv] 2026-08-27 | A Unified Descriptive-Complexity Framework for Model Selection under Correlated Designs
[arXiv] 2026-08-27 | Galerkin approximations to the space of convex bodies by polytopes in nondegenerate V-representation
[arXiv] 2026-08-27 | Thermally quenched metastability in metal-insulator transitions via elemental substitution
[arXiv] 2026-08-27 | Five improved lower bounds for Zarankiewicz numbers z(m,n;3,3)
[arXiv] 2026-08-27 | Not Just Reason, Not Just Scan: Reinforcement Learning for Proactive Scientific Error Verification over Academic Paper
[arXiv] 2026-08-27 | GRAS: Guided Reduced-Variance Proposals and Adaptive Selection for Training-Free Reward Alignment in Discrete Diffusion
[arXiv] 2026-08-27 | Visual Information-Guided Parallel Decoding for Diffusion Multimodal Large Language Models
[arXiv] 2026-08-27 | Double Trouble: Bilingual Pretraining Leaves Language-Conditioned Effects in Shared-Language Representations
[arXiv] 2026-08-27 | Real ideal points, Conway spheres, and left-orderable Dehn fillings
[arXiv] 2026-08-27 | SFC-Aware Online Aggregated Data-Link Orchestration for SDN/NFV-Enabled SAGINs
[arXiv] 2026-08-27 | Two Predicted, Concentric Nova Shells Surround the Prototype Dwarf Nova U Geminorum
[arXiv] 2026-08-27 | SPEAR: Distilling Domain-Adaptive Reasoning Skeletons via Sequential Symbolic Alignment in Reinforcement Learning
[arXiv] 2026-08-27 | Memory Anchors for Continual Robot Learning
[arXiv] 2026-08-27 | Measuring and Modelling Lag in Amorphous Silicon Flat-Panel X-ray Detectors
[arXiv] 2026-08-27 | Hysteresis and multistability in network spreading with neuronal activity feedback
[arXiv] 2026-08-27 | Infinitely many solutions to Kirchhoff-Boussinesq-type equations on Riemannian manifolds
[arXiv] 2026-08-27 | Sycophancy Suppression Can Impair Rational Updating: Anti-Sycophancy Should Preserve the Ability to Update
[arXiv] 2026-08-27 | Revisiting the Hubble tension with an inverse power-law early dark energy
[arXiv] 2026-08-27 | Compactness of positive radial Solution Sets and corresponding $L^2$-Mass sets for "Zero Mass" Quasi-linear Schrödinger Equations
[arXiv] 2026-08-27 | PRO-RAN: Processor-Level Characterization of Open RAN Centralized and Distributed Units
[arXiv] 2026-08-27 | Video-FLAIR: Not Whether to Reason, But How
[arXiv] 2026-08-27 | Bayesian methods and Markov chain Monte Carlo algorithms for curve reconstruction and point cloud data analysis
[arXiv] 2026-08-27 | Real-Time Operation Strategy of Virtual Power Plants With Optimal Power Disaggregation Among Heterogeneous Resources
[arXiv] 2026-08-27 | DTD-VAE: Disentangled Temporal Dependencies VAE for Credit Risk Prediction
[arXiv] 2026-08-27 | Constrained estimation of rotational invariants of the cumulant expansion (RICE) for rapid tensor-valued diffusion MRI
[arXiv] 2026-08-27 | Connecting Riemannian Geometry and Statistical Inference for Correlation Matrices
[arXiv] 2026-08-27 | Profit based evaluation of machine learning for nitrogen recommendations in winter wheat
[arXiv] 2026-08-27 | Knowledge Distillation Driven Semantic NOMA with GAN Refinement for 6G Robotic Vehicle Networks
[arXiv] 2026-08-27 | Testing Narrow-jet Gamma-Ray Bursts as Sources of Ultrahigh-Energy Cosmic Rays
[arXiv] 2026-08-27 | Twelve Quick Tips for Managing IT Disasters in Small Research Software Teams
[arXiv] 2026-08-27 | TraceBench: Controlled Evaluation of LLM Agents for Time-Series Root-Cause Attribution
[arXiv] 2026-08-27 | SSMB: Self-Supervised Local Feature Detection under Motion Blur
[arXiv] 2026-08-27 | A Mixed Robinson--Schensted--Knuth Construction in the Representation Theory of $\mathrm{GL}_n$ over Local non-Archimedean Fields
[arXiv] 2026-08-27 | Magpie: Real-Time World Renderer for Interactive Games
[arXiv] 2026-08-27 | A multi-class kinetic traffic flow model: discrete-velocity formulation and diffusively-corrected macroscopic limits
[arXiv] 2026-08-27 | Nonparametric Identification of Two-Way Unobserved Heterogeneity
[arXiv] 2026-08-27 | BPMN4CAI: A BPMN Extension for Modeling Dynamic Conversational AI
[arXiv] 2026-08-27 | When Tool Outputs Become Commands: Separating Action Induction from Runtime Authorization in Tool-Augmented LLM Agents
[arXiv] 2026-08-27 | Truncated Moment Problems and the Extension Property on Monomial Curves
[arXiv] 2026-08-27 | Over-The-Air Extreme Learning Machines with Nonlinear Stacked Intelligent Metasurfaces
[arXiv] 2026-08-27 | Said Aloud, Read Different: Cross-Modal Instability in Multimodal Models
[arXiv] 2026-08-27 | SLIDE: Shuffle Shamir Secret Shares Uniformly with Linear Online Communication and Guaranteed Output Delivery
[arXiv] 2026-08-27 | TransMeme: A Multi-Agent Framework for Cross-Cultural Meme Transcreation
[arXiv] 2026-08-27 | EditaLive! Unified Character Video Editing for Live Streaming
[arXiv] 2026-08-27 | Quadratic Complexity of Voronoi Diagrams in $\mathbb{R}^3$ for Lines in a Single Ruling of a Regulus
[arXiv] 2026-08-27 | Quasi-polynomiality and $N$-point functions of single connected leaky completed Hurwitz numbers
[arXiv] 2026-08-27 | Too good to go: Upcycling Phase-Space Points for Multijet Processes
[arXiv] 2026-08-27 | Mutation Testing for Reproducibility Safeguards in Machine Learning Research Software: An Empirical Study
[arXiv] 2026-08-27 | Towards Reproducible Evaluation of Distributed Quantum Circuit Partitioning Algorithms
[arXiv] 2026-08-27 | Sintr: Safe Interactive Transactions in the Presence of Byzantine Clients
[arXiv] 2026-08-27 | GRAFT: Grounded and Efficient Online Reinforcement Adaptation for Fine-Grained Robot Manipulation
[arXiv] 2026-08-27 | Emotional Preferences as Goal-Priority Regulation
[arXiv] 2026-08-27 | Unifying Detection and Adaptation in Task-Free Continual Learning
[arXiv] 2026-08-27 | The Bounded-VC chromatic thresholds of graphs
[arXiv] 2026-08-27 | Global dynamics of Vlasov--wave systems without the null condition under exponential momentum decay
[arXiv] 2026-08-27 | Cyber-Electromagnetic Anomaly Detection Through Time-Series Analysis
[arXiv] 2026-08-27 | Cascaded Batch Prompting
[arXiv] 2026-08-27 | Differentiable Jitter Correction using Deep Learning-based Image Quality Metric for Phase-Contrast Micro-CT
[arXiv] 2026-08-27 | Disentangling Optimization Scale from Preference Scale in DPO
[arXiv] 2026-08-27 | Arithmetic purity of strong approximation for cubic hypersurfaces of large dimension
[arXiv] 2026-08-27 | Advances in the holographic description of hot and dense QCD matter
[arXiv] 2026-08-27 | Conversational Recommendation over Live E-Commerce Catalogues with Self-Refreshing Retrieval
[arXiv] 2026-08-27 | MVC-Bench: Benchmarking Calibration of Medical Vision-Language Models
[arXiv] 2026-08-27 | Beta oscillation changes in ALS: A Dual-Site International Replication Study
[arXiv] 2026-08-27 | Arbitrary-Order Hermite Interpolation of Rigid-Motion Jets via Hyper-Multidual Quaternions
[arXiv] 2026-08-27 | Virtual iEEG from Scalp EEG: Charting the Landscape of Source Imaging, Intracranial Inference and Reconstruction
[arXiv] 2026-08-27 | Aphanta: Diagnosing Task-Aligned Image-Edited Intermediates for Multimodal Reasoning
[arXiv] 2026-08-27 | ASIL: Replacing Screenshot-and-Click with Structured State and Semantic Actions
[arXiv] 2026-08-27 | Terrain signatures in Welsh settlement names
[arXiv] 2026-08-27 | Spectral Fingerprints of Gauge Theories on a Quantum Computer
[arXiv] 2026-08-27 | Tacet: A Language and Type System for Automatic Statistical Validity Accounting
[arXiv] 2026-08-27 | SWE-Prime: Fewer Trajectories, Better Performance
[arXiv] 2026-08-27 | Trapping $e/4$ quasiparticles in bilayer graphene
[arXiv] 2026-08-27 | Dynamics of local quantum information in random unitary circuits
[arXiv] 2026-08-27 | Monotonicity of the propagation speed with respect to the diffusion in a Lotka-Volterra competition-diffusion system
[arXiv] 2026-08-27 | Mechanistic Reaction Prediction via Discrete Flow Matching on Graph-Structured Electron Occupation
[arXiv] 2026-08-27 | Stochastic Estimation of Transduced Language Models
[arXiv] 2026-08-27 | Refutation of the Non-Cancelling-Intersections Conjecture
[arXiv] 2026-08-27 | Wedge problems and dispersive shock waves in the two-dimensional Toda lattice
[arXiv] 2026-08-27 | Scaling Graph Neural Networks for Friend Recommendation: Multi-Hash User Embeddings and Temporal Neighbor Sampling
[arXiv] 2026-08-27 | A continuous confinement-deconfinement transition in a triangular quantum magnet
[arXiv] 2026-08-27 | Proper moduli spaces of isolated non-normal singularities
[arXiv] 2026-08-27 | Krylov Break Times from an Inhomogeneous Lieb--Robinson Light Cone
[arXiv] 2026-08-27 | Adversarially-Informed Node Criticality Identification in Power Grid Measurements
[arXiv] 2026-08-27 | Quantum Selection of Classical Histories
[arXiv] 2026-08-27 | Scalable, Simple, and Versatile Encapsulation of 2D Materials and Devices
[arXiv] 2026-08-27 | The MICADO first light imager for the ELT: first on-bench performance tests of the SCAO hybrid LQG+Integrator controller
[arXiv] 2026-08-27 | Near universality of nonlinear transverse and radial velocity responses in spherical collapse with arbitrary radial profiles
[arXiv] 2026-08-27 | Distribution-constrained optimal multiple stopping: the Root-type solution
[arXiv] 2026-08-27 | Non-isothermal vertical distribution functions for the Milky Way
[arXiv] 2026-08-27 | Stageboost: Recommending Signals Based on Counterfactual Estimation
[arXiv] 2026-08-27 | Sophistication in GenAI Use: Field Evidence from a Large Firm
[arXiv] 2026-08-27 | How exceptional was the Big Three era? Extremes and persistence in men's professional tennis
[arXiv] 2026-08-27 | Temperature dependence of the charge density from first principles: application to the (222) forbidden reflection in silicon
[arXiv] 2026-08-27 | Integers divisible by a shifted prime in a given interval
[arXiv] 2026-08-27 | Quantum Chaos and Quantum Optimal Transport
[arXiv] 2026-08-27 | High-Temperature Superconductivity of the Fe-Se-H compound
[arXiv] 2026-08-27 | Square Functions and the Complete Crouzeix Conjecture in Dimension Three
[arXiv] 2026-08-27 | PAWBench: How Far Are We from Probabilistically Aligned World Modeling?
[arXiv] 2026-08-27 | Panchromatic Spectra of Nearby Low-mass and Sun-like Stars with Directly Imageable Habitable Zones
[arXiv] 2026-08-27 | Divisors in projective bundles over the projective line whose complement is affine space
[arXiv] 2026-08-27 | One Model, Many Minds: Unlocking Multi-Agent Synergy in a Single Agent via Mixture of Roles
[arXiv] 2026-08-27 | Sharp Same-Color Cycle Covers in Two-Colored Complete Graphs
[arXiv] 2026-08-27 | The Geometry of Dissipative Complexity: A Levi-Type Decomposition Theorem for Markovian Quantum Dynamics via Lie Wedges and Invariant Cones
[arXiv] 2026-08-27 | Coupled anisotropic weak topological states and Floquet mixed-parity altermagnetism in two-dimensional Su-Schrieffer-Heeger models
[arXiv] 2026-08-27 | Concavity and other properties of the entropy on manifolds
[arXiv] 2026-08-27 | Arbitrarily Fast Quantum Dispersion in Long-Range Crystals
[arXiv] 2026-08-27 | On Piatetski-Shapiro primes from almost primes
[arXiv] 2026-08-27 | When MILP Beats QP: Piecewise-Linear Reformulations of Sequentially Coupled Bilinear Programs
[arXiv] 2026-08-27 | Accelerating Optical Photon Simulation in DUNE with Opticks
[arXiv] 2026-08-27 | The Higher-Dimensional Nitsche Conjecture: Sharp Bounds and Rigidity
[arXiv] 2026-08-27 | When Context Gets Root: Privilege Escalation in LLM Harnesses
[arXiv] 2026-08-27 | LLMs Can Design Near-Optimal OR Algorithms
[arXiv] 2026-08-27 | Exploring the survivability of higher-order multiple protostellar systems -- The case of VLA1623
[arXiv] 2026-08-27 | Kleisli convolution representations of power monoids
[arXiv] 2026-08-27 | Combining covariate adjustment with information from secondary endpoints to improve precision in randomized trials
[arXiv] 2026-08-27 | Noncommutative Cluster Varieties and Moduli Spaces of Local Systems
[arXiv] 2026-08-27 | From the November Revolution toward the Millennium
[arXiv] 2026-08-27 | On some aspects of discrete groups acting ergodically on the boundary
[arXiv] 2026-08-27 | Hunting long-lived doubly charged scalars at the HL-LHC
[arXiv] 2026-08-27 | Influence of Many-Body Dipole-Dipole Interactions on Excitation Transfer in a Dense Gas
[arXiv] 2026-08-27 | Almost factorial many facets for 0/1-polytopes
[arXiv] 2026-08-27 | Deterministic Identification over Additive Gaussian Channels
[arXiv] 2026-08-27 | A Point-of-Prescription Safety-Check System for Adverse Drug Reactions in Rural Bangladeshi Hospitals: A Feasibility Study
[arXiv] 2026-08-27 | Enigmatic properties of $Ξ(1620)$ and $Ξ(1690)$
[arXiv] 2026-08-27 | On the approximation of posterior laws in compound loss models by conditional Wasserstein GANs
[arXiv] 2026-08-27 | 2-Morita Theory of $E_2$-Algebras and Module Categories
[arXiv] 2026-08-27 | Bright Metal-Poor Star Survey - I. Tomo-e Gozen narrow-band photometric survey and medium-resolution spectroscopic follow-up
[arXiv] 2026-08-27 | Lower Bounds for Nonconvex-PŁ Minimax Optimization
[arXiv] 2026-08-27 | Closing the Loop on the Poppy Humanoid: Bipedal Locomotion with Linear-Quadratic Control and Learned Cost Functions
[arXiv] 2026-08-27 | LiveVVT: High-Fidelity Video Virtual Try-On in Real Time
[arXiv] 2026-08-27 | AesCanvas: A Large-Scale Dataset and Benchmark for Aesthetic Critique and Contextual Suitability
[arXiv] 2026-08-27 | AlGaN/GaN Hall-Effect Sensor for In-Situ Magnetic Field Monitoring of the HSX Stellarator
[arXiv] 2026-08-27 | Five Primitives for Governing Autonomous AI Agents at Runtime
[arXiv] 2026-08-27 | PredVLA: A Sub-Million-Parameter Predictive-Coding Policy for Robot Manipulation
[arXiv] 2026-08-27 | Beyond the Proving Ground: Independent Public-Road Testing of Assisted Lane Change Systems using LiDAR
[arXiv] 2026-08-27 | An enhanced Helgason-Johnson bound for $Sp(p, q)$
[arXiv] 2026-08-27 | Capacitary-Distance Hardy Inequality
[arXiv] 2026-08-27 | Simple Actors and Deep Critics for Scalable Reinforcement Learning
[arXiv] 2026-08-27 | Heat equations in spectral Barron spaces
[arXiv] 2026-08-27 | Spectro-Polarimetric Properties of CHIME FRB Sources
[arXiv] 2026-08-27 | Auslander-Reiten (n+2)-angles and local finiteness
[arXiv] 2026-08-27 | Beyond Vector Hiding: Breaking and Mitigating Shared-Direction Weight Obfuscation in TEE-Offloaded Large Language Models
[arXiv] 2026-08-27 | Meta-Learning Where to Allocate Experts: Task-Conditioned Layer-Wise Compression for MoEs
[arXiv] 2026-08-27 | Robust Neural Stimulation Response Modeling Through Meta-Learning and Pretraining
[arXiv] 2026-08-27 | A thermometric quantum Brownian model for low-temperature electronics
[arXiv] 2026-08-27 | Investigating the disappearance of a type-C QPO in black hole X-ray binary Swift J151857-572147 with AstroSat
[arXiv] 2026-08-27 | Text-to-seed generation: Training-free open-vocabulary seeded semantic segmentation via re-purposing diffusion as text-guided seed generator
[arXiv] 2026-08-27 | The k-Rank Taylor Family: Canonical Harmonic Lifts, Principal Parts, and Rademacher Series
[arXiv] 2026-08-27 | Technical Comparative Benchmarking Study: Advanced AI Hybrid Methods for Renewable Energy Farm Optimization and Forecasting
[arXiv] 2026-08-27 | On efficiency gains via augmenting a tiny sample with a massive auxiliary sample
[arXiv] 2026-08-27 | Auditing Structured Randomness for Quantum Error Correction under a Bounded Cloud Fault Model
[arXiv] 2026-08-27 | Pinching cones for positive isotropic curvature in dimensions seven and eight
[arXiv] 2026-08-27 | On identifying codes on oriented graphs
[arXiv] 2026-08-27 | The Sharp Spectral Transition for Almost Mathieu Operators via Alternating Resonances
[arXiv] 2026-08-27 | Unsaid, Unsafe? Implicit Security Obligations in LLM-Based RTL Code Generation
[arXiv] 2026-08-27 | RegimeFormer: A Large Protein Model of Global Perturbation Regimes
[arXiv] 2026-08-27 | DIRECT: Decomposing Audience Preference and Creative Effect in Visual Content Analytics
[arXiv] 2026-08-27 | TrapVLA: Trapping Vision-Language-Action Models in Configured Failure Modes
[arXiv] 2026-08-27 | Dependency-Aware Revocable Decoding for Efficient Diffusion Large Language Model Inference
[arXiv] 2026-08-27 | Approximating the peculiar velocity distribution of dark matter halos with Tsallis statistics
[arXiv] 2026-08-27 | A saturation theorem for distinct-degree polynomials and an application to joint transitivity
[arXiv] 2026-08-27 | FRB 121102: No supernova-like ejecta or magnetar power, hinting at a binary WD merger
[arXiv] 2026-08-27 | A Horizon-Free Extrinsic Penrose Inequality
[arXiv] 2026-08-27 | DeepRepro: State-Aware Subplanning for Paper-to-Code Reproduction in Evolving Repositories
[arXiv] 2026-08-27 | Dynamical phase selection controls compute scaling in looped transformers
[arXiv] 2026-08-27 | Tight differencing in spectral density estimation with centrosymmetric kernels
[arXiv] 2026-08-27 | Hadamard Flattening and Gaussian Pooling Sketch for Least Squares with Coordinate-wise Guarantee
[arXiv] 2026-08-27 | Random Recursive Simplicial Complexes
[arXiv] 2026-08-27 | Gradient estimates for generalized double phase problems with two modulating coefficients
[arXiv] 2026-08-27 | Finitistic dimensions in triangulated categories with a compact silting generator
[arXiv] 2026-08-27 | Field-amplified readouts of weak altermagnetic exchange in MnF$_2$
[arXiv] 2026-08-27 | Trusting AI in Competitive Markets
[arXiv] 2026-08-27 | Predicting Quantifiability from Primary Screens to Prioritize Dose-Response Profiling
[arXiv] 2026-08-27 | PILOT in the Loop: Live Self-Improvement for Long-Horizon Agents
[arXiv] 2026-08-27 | Inference for High-Dimensional Network Data
[arXiv] 2026-08-27 | Phase transitions and microphases in elastomers. II. Anisotropy-driven morphologies
[arXiv] 2026-08-27 | Report of the 2026 Workshop on Next-Generation Ecosystems for Scientific Computing: Harnessing Community, Software, and AI for Cross-Disciplinary Team Science
[arXiv] 2026-08-27 | Energy as a Concealable State in Adversarial UAV Patrolling: Formulation, an Energy-Security Threshold, and the Limits of Self-Play
[arXiv] 2026-08-27 | Sharp Minimax Regret for Infinite-Memory Logistic Prediction
[arXiv] 2026-08-27 | A Single Suffix to Break Them All: Basin-Aware Jailbreaks for Merged Model Families
[arXiv] 2026-08-27 | Systematic Literature Review of Machine Learning Models and Applications for Text Recognition
[arXiv] 2026-08-27 | Real-Space Analysis of Two-Photon Polarization States in Type-II SPDC for High-Purity Polarization Entanglement
[arXiv] 2026-08-27 | Existence of a "maximal" domain of meromorphy for an analytic function outside a polar compact set
[arXiv] 2026-08-27 | RTNav: Towards Real-Time Zero-Shot Object Navigation
[arXiv] 2026-08-27 | Beyond Allen-Heine-Cardona: non-perturbative electron-phonon interactions in the linewidths and lineshifts of diamond
[arXiv] 2026-08-27 | When Does Forecast-Error Energy Grow Logistically in Geophysical Turbulence?
[arXiv] 2026-08-27 | Decoding Algorithms for MDS Array Codes
[arXiv] 2026-08-27 | Strong Coupling of the Mo Mo Stretching Mode to a Locally Confined Stokes Raman Field in Mo2 Molecular Resonators
[arXiv] 2026-08-27 | The ultimate state of elastic turbulence
[arXiv] 2026-08-27 | Dynamical classical-field limit of Bosonic Gibbs states: Renormalized Hartree NLS correlations in 2D and 3D
[arXiv] 2026-08-27 | Gromov-Monge Flow Matching for Equivariant Graph Generation
[arXiv] 2026-08-27 | The solitary star cluster of the Andromeda XXV dwarf spheroidal
[arXiv] 2026-08-27 | Decoupled domain-texture switching from magnetic easy axis in kagome ferromagnet EuTi3Bi4
[arXiv] 2026-08-27 | From Atomic to Agentic: Towards Interpretable Evaluation of LLMs' Agentic Mathematical Capabilities
[arXiv] 2026-08-27 | KinyaEmbed: Contrastive Sentence Embeddings for Kinyarwanda via Multi-Stage Curriculum Training
[arXiv] 2026-08-27 | Four-phonon scattering and coherent heat transport in ultrawide-bandgap SrSnO3
[arXiv] 2026-08-27 | Search for high-mass resonances in photon-jet final states using 140 fb$^{-1}$ of $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector
[arXiv] 2026-08-27 | The Pulse Beneath the Job Title: Monthly Readings of Requirements and Tasks from 750 Million Chinese Job Ads
[arXiv] 2026-08-27 | Nef cone decompositions for nested Hilbert schemes of points on surfaces
[arXiv] 2026-08-27 | Apéry-type approximations and irrationality measures for certain $q$-series
[arXiv] 2026-08-27 | Exceptional point induced by hyperbolicity in an electrostatic spherical shell
