[2026-06-08 23:12:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-07
正在获取论文...
[ACM] 2026-6-8 | An Intelligent Assessment of Machine Vision Courses Based on HA-GNN
[IEEE] 2026-6-8 | Bounding Box Discrepancy-Driven Building Height Reconstruction from Optical and SAR Imagery
[IEEE] 2026-6-8 | Household Vulnerability Clustering Analysis Using K-Means Algorithm
[IEEE] 2026-6-8 | Selecting Educational Robots for Morocco’s STM: Curriculum Alignment and One-Year FLL Validation
[IEEE] 2026-6-8 | Performance Investigation of Molybdenum Disulphide (MoS
                    <sub>2</sub>
                    ) Junctionless Symmetric Split-Gate (SymSG) FET for Biosensing Applications
[IEEE] 2026-6-8 | Energy Aware Traffic Engineering: Optimizing Data Center Efficiency Through AI Driven Flow Steering
[IEEE] 2026-6-8 | A Privacy-Respecting Federated Approach for Non- IID ECG Signal Classification using Adaptive Aggregation
[IEEE] 2026-6-8 | Distributed AI Vector Search with Data Sovereignty: Architectural Analysis and Scalability Characterization of Oracle Database Sharding
[IEEE] 2026-6-8 | An Intelligent IoT-Enabled Women and Child Protection Device with GPS Tracking and SOS Alert Mechanism
[IEEE] 2026-6-8 | Comprehensive Review on Satellite-Based Crop Monitoring and Weed Detection Techniques, Challenges and Future Trends for Smart Agriculture
[IEEE] 2026-6-8 | Weighted Ensemble Learning for Defensive Intrusion Detection
[IEEE] 2026-6-8 | Optimal User-Driven Performance Governance for Server-Side Rendered Web Applications
[IEEE] 2026-6-8 | Learning Context-Aware Neural ODE Dynamics for Adaptive Robotic Control
[IEEE] 2026-6-8 | PanSR: An Object-Centric Mask Transformer for Maritime Panoptic Segmentation
[IEEE] 2026-6-8 | Event-triggered optimal tracking control for nonlinear networked Markovian switching systems:
                    <i>Q</i>
                    -learning approach
[IEEE] 2026-6-8 | Free-space Optical Accelerometer with High Dynamic Range Using Phase Generated Carrier Demodulation Achieved via Integrated Coil Modulation
[IEEE] 2026-6-8 | Robust Multiplicative Control in Chemical Reaction Networks
[IEEE] 2026-6-8 | Adaptive Sliding Mode Path Following Control for Autonomous Ground Vehicles with Uncertain Mass and Cornering Stiffness
[IEEE] 2026-6-8 | A Novel Fractional-Order Second-Order Sliding Mode Control For Nonlinear Systems Under Matched and Mismatched Uncertainties
[IEEE] 2026-6-8 | Decentralized AI-Driven Cyber-Resilient Control for Real-Time Intrusion Detection and Mitigation in Inverter-Dominated Grids
[ACM] 2026-6-8 | MIN-Trust: A Minimum Necessary Information Trust Orchestration Framework for Multi-Agent Collaboration
[ACM] 2026-6-8 | Proceedings of the 2026 International Conference on Generative Artificial Intelligence and Education
[ACM] 2026-6-8 | A Hierarchy of Supermartingales for ω-Regular Verification
[ACM] 2026-6-8 | Causality and Semantic Separation
[ACM] 2026-6-8 | MatchBox: A Semantic Foundation for Data Plane Portability
[ACM] 2026-6-8 | The Search for Constrained Random Generators
[ACM] 2026-6-8 | GradInf: Gradient Estimation as Probabilistic Inference
[ACM] 2026-6-8 | Nested Inductive Types: Justified and Usable Nested Inductive Types in Lean and Rocq
[ACM] 2026-6-8 | Equity Analysis of Statewide Longitudinal High School CS Coursework Data: An Application of the CAPE Framework
[ACM] 2026-6-8 | Baseline-Driven Personalized FPA Retraining Using IMU and AR Feedback for Overground Walking
[ACM] 2026-6-8 | The Influence of Context on Learning in a Social VR Historical Fashion Exhibition
[ACM] 2026-6-8 | A Multi-Modal Exploration of Diversity in Visual Media Production Industries
[ACM] 2026-6-8 | “You Figure It Out By Yourself”: Women's Transitions from Computer Science Education to the Workforce
[ACM] 2026-6-8 | The Spiders Perspective: A Multisensory VR Experience to Foster Small Animal Conservation
[ACM] 2026-6-8 | Leveraging a Vintage Radio Interface to Explore Media Recommender Systems
[ACM] 2026-6-8 | Quantifying the Cost of Manual Navigation: A Comparison of Gesture-Based Magnification versus Direct Access Reading in Digital Layout-based Documents
[ACM] 2026-6-8 | Bonsai: Compiling Queries to Pruned Tree Traversals
[ACM] 2026-6-8 | Verifying Array Properties in Pure Data-Parallel Programs
[ACM] 2026-6-8 | Hayroll: A Modular Wrapper for Translating C Macros and Conditional Compilation to Rust
[ACM] 2026-6-8 | Weighted NetKAT: A Programming Language for Quantitative Network Verification
[ACM] 2026-6-8 | Hyper Separation Logic
[ACM] 2026-6-8 | Compiling to Recurrent Neurons
[ACM] 2026-6-8 | A Formally Verified Foundation for Compositional Heterogeneous Coherence
[IEEE] 2026-6-8 | A WhatsApp-Based Administrative Chatbot for Academic and Service Processes at Astra Polytechnic
[IEEE] 2026-6-8 | Development and performance analysis of a highaccuracy six-axis force sensor
[IEEE] 2026-6-8 | Toward an Inclusive Cognitive Banking System: Empathetic Voice Assistants for the Digital Autonomy of Elderly and Visually Impaired People in Africa
[IEEE] 2026-6-8 | Fabrication of copper-titanium composite layers on alumina using laser-based powder bed fusion
[IEEE] 2026-6-8 | Near-Infrared LED Reflow Soldering for Flexible Hybrid Electronics
[IEEE] 2026-6-8 | CKD: Contrastive Knowledge Distillation for Cross-Dataset EEG Classification
[IEEE] 2026-6-8 | Multi-Step Knee Joint Angle Prediction for Lower-Limb Exoskeletons Using Temporal Convolutional Networks
[IEEE] 2026-6-8 | Untethering EIT: An Integrated Wireless Tactile Interface for Human&amp;#x2013;Machine Interaction_supp6-3688715.mp4
[IEEE] 2026-6-8 | Countering AI-Powered Threats in IoV: A Secure Task Offloading and Resource Allocation Scheme with RIS and Quantum Reinforcement Learning
[IEEE] 2026-6-8 | FACDA: Federated Learning-based Autonomous Cyber Defense for Edge–Cloud Systems
[IEEE] 2026-6-8 | Continuous-Time Stability of Networked Cyber-Physical Systems Under Denial-of-Service Attacks: A Lyapunov–LMI Framework with Sample-and-Hold Control
[IEEE] 2026-6-8 | Synthetic Brain Tumour Classification: A Complete Experiment
[IEEE] 2026-6-8 | Comparative Study of Deep Transfer Learning Models for Classifying Different Types of Diseases in Paddy
[IEEE] 2026-6-8 | Wearable Companion Robot for Assistive Support
[IEEE] 2026-6-8 | Autonomous Mobile Robots (AMRs) for Warehouse and Production-Line Logistics
[IEEE] 2026-6-8 | Radiobiological framework for pediatric radiotherapy plans using an automated Python-based NTCP modeling tool
[IEEE] 2026-6-8 | Omnidirectional Path Finding Algorithm using Single Ultrasonic Sensor for Robotic Cars
[IEEE] 2026-6-8 | Research on Cooperative Detection Methods Based on Target Angle Information
[IEEE] 2026-6-8 | 2026 2nd International Conference on Big Data &amp;amp; Machine Learning (ICBDML)
[IEEE] 2026-6-8 | Sensitivity Analysis-Based Comparative Evaluation of Text Classification Models for Automotive Customer Reviews
[IEEE] 2026-6-8 | Simulation-driven polymer selection for eco-efficient plastic tray design
[IEEE] 2026-6-8 | Fuzzy Inference-Based Artificial Intelligence Approach for Optimizing Machining of LM25-10 wt.% SiC Composites
[IEEE] 2026-6-8 | Descriptor:
                    <i>Two-Way-Ranging-Based Cooperative Localization with an Open UWB Dataset from Bern-University</i>
                    (TWR-CLOUD-Bern)
[IEEE] 2026-6-8 | FlowAdapt-GS: Dual Optical Flow Supervision with Adaptive Keyframe Sampling for Endoscopic 4D Reconstriction
[IEEE] 2026-6-8 | FLoRA: Fusion-Latent for Optical Reconstruction and Flood Area Segmentation via Cross-Modal Multi-Task Distillation Network
[IEEE] 2026-6-8 | NEMO: Neuro Hydrodynamic Model-Based Trajectory Planning for Autonomous Surface Vehicles With Reinforcement Learning
[IEEE] 2026-6-8 | Quasi-SMAP: A SMAP-referenced long-term daily surface soil moisture record from 1981 to 2022
[IEEE] 2026-6-8 | Non-Enzymatic Glucose Sensing with GO/rGO-Modified Gold Electrodes: Interplay of Surface Functionalization and Conductivity
[IEEE] 2026-6-8 | Seizure Prediction Using Channel-Optimized Intracranial EEG with Variable Interictal and Preictal Durations
[IEEE] 2026-6-8 | Parallel-Elastic Actuation with Reactive Latch Elevates Robotic Hopping Performance: Jump Height and Continuity
[IEEE] 2026-6-8 | A Knowledge-Based Semi-Supervised Crystal Property Prediction Framework with Consistency Regularization
[IEEE] 2026-6-8 | Toward Unified Interpretable Decision-Making for Autonomous Driving: A Safety Interval Reserve Approach
[IEEE] 2026-6-8 | SpinJORR : Spin actuated Jumping Omnidirectional Rolling Robot
[IEEE] 2026-6-8 | StereoMulti3DPose: Multi-Person 3D Pose Estimation via Lightweight Asymmetric Stereo Learning on the Edge
[IEEE] 2026-6-8 | Low-Power LECTOR-Based Current-Starved VCO in 90 nm CMOS for Wireless IoT Networks
[IEEE] 2026-6-8 | Modeling and Simulation of an Adaptive Cruise Control System for Enhanced Driving Safety and Comfort
[IEEE] 2026-6-8 | DCNMNet: A Dynamic Contextual Neural Memory Network for Robust Spatio-Temporal Human Action Recognition
[IEEE] 2026-6-8 | When AI Works in Indonesian Workplace: How Technological Self-Efficacy Translates AI Usage into Outcomes under Digital Leadership
[IEEE] 2026-6-8 | Economic Load Dispatch with Comprehensive Constraints Using the Vortex Search Algorithm
[IEEE] 2026-6-8 | Quantitative Cost Analysis of Multi-stage Power Dispatch Models Under Prediction Errors
[IEEE] 2026-6-8 | Automated Noise Source Identification and Screening Method Based on Frequency-Wavenumber Transform and its Application in Surface Wave Imaging
[IEEE] 2026-6-8 | Contactless Detection of Atrial Fibrillation in Stroke Patients Based on Bayes Probability Model with Microwave Biomedical Radar
[IEEE] 2026-6-8 | Application of cascade control technology in constant power control of thermal equipment
[IEEE] 2026-6-8 | Dynamic Pricing Based Home Energy Management for Islanded Operation with Integrated Distributed Energy Resources
[IEEE] 2026-6-8 | Privacy Risks in Metaverse and NFTs Ecosystems
[IEEE] 2026-6-8 | Digitization of Old Indonesian Documents using YOLO and OCR
[IEEE] 2026-6-8 | AI-Optimised Coordinated Control of Ultracapacitors and SSSC for Frequency Stability Enhancement in Renewable-Integrated Interconnected Power Systems
[IEEE] 2026-6-8 | CNN2D-Mamba: A Hybrid Deep Learning Architecture for Multi-Temporal SAR Crop Classification in Semi-Arid Regions
[IEEE] 2026-6-8 | Leveraging Influencer Marketing and Online Reviews to Enhance Trust in E-Commerce Purchase and Word of Mouth Intentions
[IEEE] 2026-6-8 | Federated Learning Driven Liver Cancer Detection in IoMT Networks
[IEEE] 2026-6-8 | Generative Artificial Intelligence in Geospatial Applications: From Foundation Models to Physics-Informed Systems
[IEEE] 2026-6-8 | Energy-Efficient Protocols and AI-Driven Optimization for Sustainable Green Networking in 6G Communication Systems
[IEEE] 2026-6-8 | Linking Physical Models and Immersive Visualization: A Virtual Reality Approach to Projectile Motion
[IEEE] 2026-6-8 | Systematic Investigation of Core Insert Breakage in Plastic Injection Molds: A Case Study
[IEEE] 2026-6-8 | Sliding K-Means and Progressive Deep Learning for Dynamic Hand Gesture Recognition in Human Computer Interaction
[IEEE] 2026-6-8 | Deep Reinforcement Learning–based Robot Path Planning using PPO in 2D Dynamic Environments
[IEEE] 2026-6-8 | Artificial Intelligence Visual Studio Code Reviewer
[IEEE] 2026-6-8 | XAI-Driven Sleep Apnea Detection: Enhancing Transparency in ECG-Based AI Models
[IEEE] 2026-6-8 | Gender Bias in Resume Screening using SHAP and LIME
[IEEE] 2026-6-8 | FraudPredictor: A Real-Time Transaction Analysis Machine Learning Model
[IEEE] 2026-6-8 | A Privacy-Preserving Federated Autoencoder for Unsupervised IoT Network Traffic Representation Learning
[IEEE] 2026-6-8 | EEG-Based Harmful Brain Activity Classification with Hybrid 2D and 3D CNN Ensemble Architecture
[IEEE] 2026-6-8 | Kerberos-Blockchain Cross-Authentication: A Smart-Contract Framework for Vehicular Ad Hoc Networks (VANETs)
[IEEE] 2026-6-8 | Survey of AI and Cytological Techniques for Cancer Subclassification and Diagnosis
[IEEE] 2026-6-8 | Multimodal ResNet-based CNN for Early Autism Spectrum Disorder Detection and Severity Stratification
[IEEE] 2026-6-8 | Hybrid Artificial Intelligence Internet of Things Platform for Personalized Healthcare Recommendations and Smart Patient Care Services
[IEEE] 2026-6-8 | The influence of EEG noise and filtering strategies on feature extraction for neurological applications
[IEEE] 2026-6-8 | Performance Evaluation of a Smart Wearable Tumor Monitoring System for Predictive Chemotherapy Dosing
[IEEE] 2026-6-8 | Design and Evaluation of a Chopper-Stabilized Current-Feedback Instrumentation Amplifier for EEG and Biopotential Acquisition
[IEEE] 2026-6-8 | Enhancing Pathology Diagnostics with Deep Learning and Feature Attribution
[IEEE] 2026-6-8 | Real-Time Identity Verification for 6G Network Slicing Using Blockchain and Machine Learning
[IEEE] 2026-6-8 | Smart Portable Chest Worn Respiratory Device for Continuous Health Monitoring
[IEEE] 2026-6-8 | Deep Adaptive Perceptual Generative Adversarial Network for Secure Cloud Computing and Big Data Protection to Enable Cyber Threat Prevention
[ACM] 2026-6-8 | Movie Stream
[ACM] 2026-6-8 | Deep Reinforcement Learning Guided by Game-Theoretic Structure for Multi-Agent Resource Allocation and Scheduling
[ACM] 2026-6-8 | Enumerating Ill-Typed Programs for Testing Type Analyzers
[ACM] 2026-6-8 | Neuro-symbolic Hierarchical Learning for Long-Horizon Robotic Tasks
[IEEE] 2026-6-8 | Explainable Artificial Intelligence for Crop Yield Prediction Using Agro-Climatic Data
[IEEE] 2026-6-8 | Fatigue Life Assessment of Monobloc Railway Wheels Using S–N (Basquin) Method and Hertzian Contact Analysis
[IEEE] 2026-6-8 | Federated Learning with Bayesian Optimization for Lightweight IoT DDoS Detection
[IEEE] 2026-6-8 | A Piecewise Fuzzy SIER Model for Alzheimer Disease Progression
[IEEE] 2026-6-8 | ZIF-8 Deposition on Optical Fibers and Silicon Wafers for Methane Sensing
[IEEE] 2026-6-8 | Model of Digital Transformation Resistance in the Auditor Profession
[IEEE] 2026-6-8 | Prediction of Thyroid-Stimulating Hormone Control Status Using Interpretable Ensemble Learning
[IEEE] 2026-6-8 | Method for Automating the Layout of Wireless Charging Infrastructure for Public Transport Vehicles
[IEEE] 2026-6-8 | A Low-EMI Spread-Spectrum Clocking Circuit with Digital Calibration for High-Precision MCU On-Chip Oscillators
[IEEE] 2026-6-8 | MASDA: A Multi-Agent System with Dynamic Planning and Adaptive Verification for Automated Data Analysis
[IEEE] 2026-6-8 | Machine Learning based Hybrid Technique for Cyber Attack Prediction in VANET
[IEEE] 2026-6-8 | Comparison between the Mean-Shift and Spectral Clustering Algorithms for the Classification of Earthen Construction Materials in Essaouira
[IEEE] 2026-6-8 | A 78–109-GHz Octupler Using Injection-Locked Phase-Difference Control and a Gilbert Cell With &gt;50-dBc Harmonic Rejection
[IEEE] 2026-6-8 | Optimizing Campus Security Systems: Leveraging Ontologies and Large Language Models to Enhance Detection Accuracy and System Reliability
[IEEE] 2026-6-8 | On the Use of CTGAN Data Augmentation for Enhancing MLP-based Software Development Effort Estimation using small datasets
[IEEE] 2026-6-8 | Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp6-3693142.mp4
[IEEE] 2026-6-8 | Defect Redistribution-Induced Leakage Degradation in
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    SBDs Under 300 MeV Proton Irradiation
[IEEE] 2026-6-8 | SNR-Based Detection of Static and Dynamic Eccentricity in Resolvers
[IEEE] 2026-6-8 | Crafting Your Evolving Dreams: Concept-Incremental Versatile Customization
[IEEE] 2026-6-8 | Optimum Design of Multisegment Compliant Finger via Fractional Kolmogorov-Arnold Network-Based Parameterization Framework
[IEEE] 2026-6-8 | STGBD-Net: Spatio-temporal Gradient Basis Decomposition Network for Infrared Small Target Detection
[IEEE] 2026-6-8 | CHA: Physics-Based Dynamics Modeling for Clothing-Editable Human Avatars
[IEEE] 2026-6-8 | A Data-Centric SPGT-ConvTransformer Framework for UAV-Based Soybean Disease Classification
[IEEE] 2026-6-8 | Detection of Heart Rate and Respiratory Rate from Facial Video Using Eulerian Motion Analysis and Kalman Filtering
[IEEE] 2026-6-8 | KINDSHARE: A Smart Financial Budgeting and Resources Monitoring System
[IEEE] 2026-6-8 | A Hybrid Framework for Multi-LOD Building Model Reconstruction from Urban Point Clouds
[IEEE] 2026-6-8 | Comparative Study of Deep Learning Architectures for Brain Tumor Segmentation
[IEEE] 2026-6-8 | Performance Assessment of an Advanced MPPT Technique for Grid-Connected Photovoltaic Systems Using Real Irradiance Data
[IEEE] 2026-6-8 | Machine Learning Models for SQL Injection Detection: A Comparative Analysis and Hybrid Framework Proposal
[IEEE] 2026-6-8 | IoT-Enabled Multi-Sensor Patient Health Monitoring System for Real-Time Hospital Tracking and Display
[IEEE] 2026-6-8 | Cross-Attention Fusion of Molecular Fingerprints and Graph Transformers for hERG Cardiotoxicity Prediction
[IEEE] 2026-6-8 | Learning Analytics for Dual Education: A Privacy-Preserving Framework Bridging Campus and Workplace Competencies
[IEEE] 2026-6-8 | Automated Nursing Care Plan Creation Based on NANDA-I, NIC, and NOC Standards Using Pre-Trained Transformer Models
[IEEE] 2026-6-8 | Experimental Analysis of the application of freezing technologies in desalination: An Overview
[IEEE] 2026-6-8 | Federated Learning as a Governance-Aligned Intelligence Paradigm for Pharmaceutical Manufacturing and Research
[IEEE] 2026-6-8 | Deep Learning–based Detection of Mango Leaf Diseases and Nutrient Deficiencies using DenseNet-121
[IEEE] 2026-6-8 | Hybrid Multi-Scale CNN and Vision Transformer Model for Accurate Skin Lesion Classification
[IEEE] 2026-6-8 | AI-Enhanced BIM for Smart City SDGs: Governance and Environment Pillars
[IEEE] 2026-6-8 | Multi-Model Time-Series Forecasting Framework for Stock Price Prediction Using Statistical and Deep Learning Techniques
[IEEE] 2026-6-8 | Adaptive Channel Learning for Early ADHD Prediction using Attention-based EEGNet
[IEEE] 2026-6-8 | Multi-Task Learning Framework for Simultaneous Detection of Crop Disease, Yield Estimation, and Climatic Risk Classification Using Multisource Agricultural Big Data
[IEEE] 2026-6-8 | A Review of Reinforcement Learning Frameworks for Adaptive and Privacy-Preserving PDAs
[IEEE] 2026-6-8 | Hybrid Symbolic-Neural Framework for Predicting Zero-Divisor Geodetic Indices in Idealization Rings
[IEEE] 2026-6-8 | A Comparative Analysis of Machine Learning (ML) and Deep Learning (ML) Models for Epileptic Seizure Detection from electroencephalogram (EEG) Signals
[IEEE] 2026-6-8 | Continuous Reformulation of Boltzmann Statistics and Geometric Partition Functions
[IEEE] 2026-6-8 | Comparative Analysis of Machine Learning Models for Predicting Chess Outcomes Across Skill Strata
[IEEE] 2026-6-8 | A Real-Time Smart Learning Management System with Automated Performance Analytics and Adaptive Content Recommendation
[IEEE] 2026-6-8 | Graph Attention Networks Enhance Fine-Grained Academic Performance Prediction in MOOCs by Modelling Structural Relationships
[IEEE] 2026-6-8 | Intelligent Dynamic Positioning Strategy for Sensor Networks subject to Information Dropout during Handover Using Wavelet Neural Network
[IEEE] 2026-6-8 | Optimization Accuracy of Crime Rate Prediction using K-Mean and Random Forest based Machine Learning
[IEEE] 2026-6-8 | Automating Goal-Oriented Modeling with NLP: Extracting Actors, Roles, and Dependencies from Functional Requirements
[IEEE] 2026-6-8 | A Blockchain and IoT-Based Framework for Transparent and Traceable Smart Agriculture: AlgroTech
[IEEE] 2026-6-8 | Improved Cloud-based Task Scheduling Using Hybrid MCTFFA Model for Enhanced Performance Metrics
[IEEE] 2026-6-8 | Spectral Energy Thermodynamics: the exponential spectral case
[IEEE] 2026-6-8 | Parallel Genetic Algorithm on Graphics Processing Unit for Distribution Network Planning Considering Harmonics
[IEEE] 2026-6-8 | SLRD-IMC: Structured Low-Rank Matrix Decomposition for Magnetic Anomaly Detection with Iteratively Merging Clusters
[IEEE] 2026-6-8 | Fréchet Power-Scenario Distance: A Measure for Evaluating Synthetic Data Across Multiple Time-Scales in Smart Grids
[IEEE] 2026-6-8 | Adaptive Duty Cycle Calculation for SEPIC Converter Using Bisection Method Under Fluctuating Solar Input Conditions
[IEEE] 2026-6-8 | Next-Gen AI-Driven Cybersecurity Framework for Flying Taxis with Intrusion Detection and Secure Command Validation
[IEEE] 2026-6-8 | A Confidence-Inference-Based Dual-Layer Robust Elastic Factor Graph Method for Multi-Sensor Fusion Navigation
[IEEE] 2026-6-8 | A Touch-Sensing Method Based on Fractal Defected Ground Microstrip Lines and Chaotic Signals
[IEEE] 2026-6-8 | Flexible Vivaldi Antennas for Estimating Breast Skin Parameters
[IEEE] 2026-6-8 | A Deep-Clustering Fusion Approach for Plant Leaf Disease Classification Using SqueKM-Net
[IEEE] 2026-6-8 | SMARTGRID FORECAST: Machine Learningdriven Electricity Price Prediction for Smart Energy Systems
[IEEE] 2026-6-8 | Optimal Energy Optimization of Renewable-Assisted AC Microgrid with Hybrid Energy Storage via Lagrange Multiplier
[IEEE] 2026-6-8 | Security and Privacy in Connected and Autonomous Vehicles: Architecture and Challenges
[IEEE] 2026-6-8 | Inversion of Iron Oxide Abundance Using Hyperspectral Data Based on Wavelet Packet Analysis
[IEEE] 2026-6-8 | Spatiotemporal Distribution Prediction of Charging Load at Highway Service Areas Based on Traffic Flow Simulation
[IEEE] 2026-6-8 | An Intelligent Hybrid Model of CNN-BiLSTM for Fault Classification in AC Microgrid
[IEEE] 2026-6-8 | LVRT Control Strategy for a Grid-Forming Wind-Storage System Based on DC-Link Power-Energy Coordination
[IEEE] 2026-6-8 | An AI–IoT Integrated Multi-Modal Deep Learning Framework for Crop Submergence Prediction and Mitigation
[IEEE] 2026-6-8 | Adaptive SOC-based equalization charging with flyback converter for battery packs
[IEEE] 2026-6-8 | Machine Learning-Based Prediction Modelling of EDM Application on Ti6Al4V Alloy Using 3D-Printed SS316L Electrodes
[IEEE] 2026-6-8 | A Method for Inverting Pollutant Concentration in Atmospheric Remote Sensing Images Based on an Improved U-Net Network
[IEEE] 2026-6-8 | A Multilayer Perceptron Fitted Simulation Model for 2D Sea Surface Scattering and Doppler Velocity Based on M4S
[IEEE] 2026-6-8 | GUIDE: Generalizable Trajectory Prediction Using Intention-Aware Diffusion With Efficiency
[IEEE] 2026-6-8 | Recent Advances in Intelligent Energy Management for Design and Operation of Green Hospitals
[IEEE] 2026-6-8 | Bearing Fault Diagnosis Using Teager Energy Concentrated Time-Frequency Transforms
[IEEE] 2026-6-8 | VIRTUS-FPP: Virtual Sensor Modeling for Fringe Projection Profilometry in NVIDIA Isaac Sim
[IEEE] 2026-6-8 | Strain Response Model of CORC Cable Under Transverse Compression and Axial Tension Load
[IEEE] 2026-6-8 | Visibility-Constrained Vision-Based Air-to-Air Tracking and Control for Non-cooperative UAVs with Unknown Maneuvers
[ACM] 2026-6-8 | Expecto: Extracting Formal Specifications from Natural Language Description for Trustworthy Oracles
[IEEE] 2026-6-8 | A novel asynchronous intermittent communication methodology for multi-agent systems with unmodeled disturbances
[ACM] 2026-6-8 | Beyond Gender: Breadth of Computer Science Education Experiences Predict Motivation to Study Computer Science
[ACM] 2026-6-8 | Training HBCU Undergraduates in Human-Centered AI Research
[ACM] 2026-6-8 | Measuring the Divide
[ACM] 2026-6-8 | Understanding Black Students' Perceptions of Familial and Non Familial Social Capital Entities
[IEEE] 2026-6-8 | Decision letter for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[ACM] 2026-6-8 | Real-Time Computer-Assisted Afrogenic Dance Move Recognition and Analysis
[ACM] 2026-6-8 | Beyond Demographic Labels to Holistic Identity Measures
[ACM] 2026-6-8 | Different Ways of ‘Being a CS Student’: Latent Profiles of Identity and Need Satisfaction, and Their Links to Attitudes and Persistence Intentions
[ACM] 2026-6-8 | Evaluating Multimedia Design Principles for Verbal Content in VRLEs
[ACM] 2026-6-8 | GenX: Device Orchestration for Multimodal Generative Experiences in Ubiquitous Systems
[ACM] 2026-6-8 | Unveiling Hype Patterns in AI Advertising
[ACM] 2026-6-8 | Comparative Analysis of Human vs. AI-powered Support in VRChat Communities on Discord: User Engagement, Response Dynamics and Interaction Patterns
[ACM] 2026-6-8 | An AI-Driven Conversational Platform for the Learning and Assessment of Programming Logic
[IEEE] 2026-6-8 | ASIC Implementation of a Multiplier-Less CNN Accelerator
[IEEE] 2026-6-8 | Sensorless nonlinear control of flying capacitor multilevel inverter based grid-tied Photovoltaic system with an LCL filter
[IEEE] 2026-6-8 | Nutriscan: An Arduino-Based Food Health Classification System
[IEEE] 2026-6-8 | MAMNet: A State Space Attention Collaborative Network for Photovoltaic Change Detection
[IEEE] 2026-6-8 | Image Dehazing Algorithm Based on Improved AOD-Net
[IEEE] 2026-6-8 | Two Types of Errors in the Assessment of Spatial Data Positional Accuracy
[IEEE] 2026-6-8 | IRASET 2026 Cover Page
[IEEE] 2026-6-8 | AquaXplain: Interpretable Ensemble Learning for Environmental Engineering Aquatic Ecosystem Health Assessment via SHAP Attribution and Physicochemical Correlation Networks
[IEEE] 2026-6-8 | Architectural Impact on IVIF: Evaluating the Performance of CNNs vs. Transformers in Infrared-Visible Image Fusion
[IEEE] 2026-6-8 | XGBoost-SHAP: Gradient-Boosted Point Cloud Processing with Explainability-Driven Feature Analysis for Urban Road Semantic Segmentation in Surveying Engineering
[IEEE] 2026-6-8 | A Compact Wideband CPW-Fed and AMC-Backed $2 \times 2$ Planar MIMO Antenna for Sub-6GHz 5G and WLAN Access Points
[IEEE] 2026-6-8 | A Data-Driven Comparison of Classical Statistical and Machine Learning Models for Peatland Fire Prediction
[IEEE] 2026-6-8 | A Pragmatic Analysis of Deepfake Image Authentication Using Fine-Tuned ResNet50 and DenseNet Based DNN Models
[IEEE] 2026-6-8 | Dynamic sliding mode control of Grid Connected PV system via a series active power filter with a 3-level inverter
[IEEE] 2026-6-8 | Electro-Thermal Synergistic Control Strategy for Grid-Forming ANPC Converters under Extreme Overload based on Digital Twin and Loss Reallocation
[IEEE] 2026-6-8 | Brain Tumor Segmentation and Personalized Treatment with SL-UNet
[IEEE] 2026-6-8 | Comparison of Nonlinear Solution Methods for Seafloor Datum Point Sound Ray Tracing Positioning
[IEEE] 2026-6-8 | Up-down Line Current Ratio-based Fault Location Method for Fully Parallel Autotransformer (AT) Traction Power Network
[IEEE] 2026-6-8 | Comparative Analysis of 4:2 Compressor for Lightweight CNN-Based Face Recognition
[IEEE] 2026-6-8 | XAI-Driven Deep Neural Network Approach for Synthetic Image Identification
[IEEE] 2026-6-8 | Object Detection and Classification in Images Using YOLO Algorithm
[IEEE] 2026-6-8 | Study on the Vertical Distribution and Dominant Factors of Atmospheric Absorption Coefficients Based on Ground-Based Microwave Radiometers
[IEEE] 2026-6-8 | Industrial Anomaly Detection Integrating Graph Attention Mechanism with Graph Deviation Network
[IEEE] 2026-6-8 | AI-based Early Alzheimer's Disease Detection using Deep Learning
[IEEE] 2026-6-8 | AI-Driven Economic Benefit Measurement Model of Data Assets in Typical Scenarios of the Power Industry
[IEEE] 2026-6-8 | Securing Critical Infrastructure Networks Using Blockchain-Assisted Artificial Intelligence: A Survey
[IEEE] 2026-6-8 | A Hybrid Neural Network Model for Short-Term Regional Tropospheric Delay Prediction
[IEEE] 2026-6-8 | Hybrid PSO–ELM-Based Clinical Decision Support for Heart Disease Diagnosis
[IEEE] 2026-6-8 | A Security-Aware Graph-Based Learning Framework for Joint Task Scheduling and Resource Allocation in Cloud Computing
[IEEE] 2026-6-8 | A Voting Classifier Approach to Bloom’s Taxonomy: Integrating BERT and Large Language Models for Questions Automatic Classification
[IEEE] 2026-6-8 | Hybrid Deep Learning Approaches for Personalized Product Recommendation in Online Retail Systems
[IEEE] 2026-6-8 | Smart Learning or Smart Risks? AI in Indian University: A Systematic Review
[IEEE] 2026-6-8 | Detection Anomaly Attacks For IoT Devices using Machine Learning and Deep Learning
[IEEE] 2026-6-8 | Real-Time Multimodal Sign Language to Speech Translation System
[IEEE] 2026-6-8 | Secure Software-Defined Networking (SDN) Using ML-Driven Threat Prediction
[IEEE] 2026-6-8 | Blockchain-Enabled Decentralized Recruitment Platform with Verifiable Credentials and Privacy-Preserving Hiring
