[2025-12-06 09:09:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-05
正在获取论文...
[IEEE] 2025-12-5 | Energy Harvesting in Solar-Powered UAV Communication With Rate Splitting Multiple Access
[ACM] 2025-12-5 | Towards Understanding how Changing Translation Gain Affects Detection Thresholds
[IEEE] 2025-12-5 | 10 G/400 G Reliable Bidirectional FSO Transmission Over Turbulent Channels With Reciprocity-Driven Power Adaptation
[IEEE] 2025-12-5 | Real-Time Deployment of Pruned Unsupervised DNN for Blind Equalization in a Photonics-Aided W-Band Wireless System
[IEEE] 2025-12-5 | ISMSIT 2025 Cover Page
[IEEE] 2025-12-5 | Memory-Efficient Training for Deep Speaker Embedding Learning in Speaker Verification
[IEEE] 2025-12-5 | Machine and Deep Learning-Based Network and Web Attack Analysis with a Web-Based IDS Platform
[IEEE] 2025-12-5 | ATC 2025 Cover Page
[IEEE] 2025-12-5 | SAFEPROCESS 2025 Author Index
[ACM] 2025-12-6 | Theoretically and Practically Efficient Maximum Biclique Search
[ACM] 2025-12-5 | Novel Security Threats in Multi-Tenant FPGAs: Phase Tuning for Voltage Sensors in Remote Power Side-Channel Analysis Attacks on AES
[IEEE] 2025-12-5 | EmoKT: Emotion-Aware Fusion Enhanced Knowledge Tracing Using Joint Graph–Transformer Model
[IEEE] 2025-12-5 | Characterization and Minimization of Commutation Loop Inductance in Reconfigurable Battery Systems Using Magnetically Coupled Auxiliary Loops
[IEEE] 2025-12-5 | Efficient Pilot Assignment for D2D-Underlaid NOMA Cell-Free Massive MIMO Systems: A Hypergraph Coloring Approach
[IEEE] 2025-12-5 | Graph Chirp Signal and Graph Fractional Vertex–Frequency Energy Distribution
[IEEE] 2025-12-5 | ECFuzz++: An Enhanced Fuzz Testing Framework for Large-Scale System Configuration Vulnerabilities Based on Multimodal AI
[IEEE] 2025-12-5 | InGaP-on-insulator Waveguides for Entangled Pair Generation
[IEEE] 2025-12-5 | 200Km-Sensing-Range Distributed Acoustic Sensor Link Using Enhanced Scattering Fibers
[IEEE] 2025-12-5 | A Novel Fault Tree Analysis Method Based on Interval Type-2 T–S Fuzzy Model
[IEEE] 2025-12-5 | Leveraging Digital Twins for Enhanced Predictive Analytics in Smart Manufacturing
[IEEE] 2025-12-5 | Secure and Authenticating X-Ray Images Based on Histogram Segmentation, Fractional Fourier Transform (FRT) and Firefly Algorithms
[IEEE] 2025-12-5 | Generative Adversarial Networks-Driven Synthetic Patient Data Creation for Risk Identification in Childhood Acute Lymphoblastic Leukemia
[IEEE] 2025-12-5 | Spacecraft Fault Inference based on Multi-source and Multi-level Knowledge Graphs
[IEEE] 2025-12-5 | Comparison of Clustering Algorithms for Indoor Environmental Time-Series Data
[IEEE] 2025-12-5 | Finite Frequency H
                    <sub>−</sub>
                    /L
                    <sub>∞</sub>
                    Fault Detection for Demagnetized Permanent Magnet Synchronous Machine via Interval LPV Observer Approach
[IEEE] 2025-12-5 | Dynamic Risk-Aware Reconfiguration in Coherent P2MP Extended Access Networks Under Time-Varying Demands
[IEEE] 2025-12-5 | A Time-Series Forecasting Framework for Stock Market Prediction Using LSTM and Technical Indicators
[IEEE] 2025-12-5 | Partial-MIMO Application for Mode Groups Transmission Over 15-Mode and 6-Mode Multi-Mode Fibers
[IEEE] 2025-12-5 | An Empirical Comparison and Complexity Analysis of AutoEncoders for Dimensionality Reduction of Images
[IEEE] 2025-12-5 | FPGA-Based Hardware Realization of PTBC DSP for 100 Gbps 16-QAM Transmission in Coherent-Lite Optical Network
[IEEE] 2025-12-5 | Net 6.4 and 7.6 Tbps BiDi Transmission Over 10 km Hollow-Core Fiber for AI Data Center Based on $8 \lambda-225$ GBaud PAM4/6
[IEEE] 2025-12-5 | RUL Prediction of Lithium-ion Battery Based on Meta-Learning Under Small Samples
[IEEE] 2025-12-5 | Design Guidelines for EM Wireless Powering of Miniature Battery-Free Implantable Devices
[IEEE] 2025-12-5 | An electromagnetic control method of electromagnetic levitation spherical rotor in a supergravity reactor
[IEEE] 2025-12-5 | Dual Band Quarter Mode Substrate Integrated Waveguide (QMSIW) MIMO Antenna for WiMAX and Sub-6GHz Applications
[IEEE] 2025-12-5 | Improving the Ergodic Capacity of RIS-Aided UAV System Employing RSMA
[IEEE] 2025-12-5 | High-Quality 98.5-GHz Carrier Generation with Silicon Photonics mm-Wave Band Synthesizer Embedding a Multi-Resonant Optical Filter
[IEEE] 2025-12-5 | UAV Flight Path Optimization Using EM-Based Estimation of Superior Quality Communication Areas
[IEEE] 2025-12-5 | Dual-modal WGAN-VAE for Fault Detection in Non-stationary Dynamical Processes
[IEEE] 2025-12-5 | Rate-Adaptive Partial MIMO Equalization for Mode-Group Selective Transmission Over Few Mode Fibers
[IEEE] 2025-12-5 | In-band Power Ripple Detection using Longitudinal Power Monitoring
[IEEE] 2025-12-5 | An fault diagnosis method based on self-organizing map neural networks for the artillery automatic machine
[IEEE] 2025-12-5 | 39.5- Tb/s O-band Coherent Data Channels Coexistence with C-band DV-QKD and Bidirectional Service Channels
[IEEE] 2025-12-5 | Multi-level Data-driven Predictive Control for Industrial Manufacturing Processes
[IEEE] 2025-12-5 | Energy Efficiency Maximization with Dynamic Reflection Coefficient based Physical Layer Security: A Symbiotic Approach for Cellular Networks
[IEEE] 2025-12-5 | Utilizing Degeneracy in a Few-Mode Fiber to Demonstrate Entanglement Distribution
[IEEE] 2025-12-5 | Sub-optimum IQ Imbalance Compensation using TFI-OFDM for Cell-Free Environments
[IEEE] 2025-12-5 | Constraint-Aware Power Allocation for OFDM-ISAC: A Joint PSL–CRB Optimization Approach
[IEEE] 2025-12-5 | Design of Millimeter Wave Antenna for MMID Application on Bio-Sourced Substrate
[IEEE] 2025-12-5 | Performance and Efficiency Trade-offs in Transformer Models for Kannada Sentiment Analysis
[IEEE] 2025-12-5 | Improved RT-DETR Model for Automated ROI Localization in Railway Locomotive Sanding Device Monitoring
[IEEE] 2025-12-5 | Designing Cybersecurity Ecosystems: Lessons from the Kyiv Breach and the ECLIPSE Economic Model
[IEEE] 2025-12-5 | Reward-Scheduling for Enhanced Energy Management Using Deep Reinforcement Learning
[IEEE] 2025-12-5 | Unlocking Dynamic Financial Insights with the RAGNN Framework by integrating graph structures and Tribal Evolution Optimization
[IEEE] 2025-12-5 | Design of Voice Based Security Protocol For IoT-Driven AI-Enabled Industry 5.0
[IEEE] 2025-12-5 | Experimental Investigation of Availability in a 4.6 Km Terrestrial Urban Coherent Free-Space Optical Communications Link
[IEEE] 2025-12-5 | Joint Localization and Monitoring of Multipath Interference in DMT Systems Using LFM Pilot
[IEEE] 2025-12-5 | A Cost-Effective Multi-Band OXC Architecture with Inter-Band Wavelength Conversion on a Subset Ports
[IEEE] 2025-12-5 | Impact of Spontaneous Raman Scattering on SKR in Coexistence Transmission of C-Band DV-QKD and O-Band Coherent Classical Channels
[IEEE] 2025-12-5 | Efficient Fault Diagnosis via Information Bottleneck and Split Centralized Feature Fusion
[IEEE] 2025-12-5 | High-Laser Linewidth-Tolerance Photonics-aided 300 GHz Terahertz Wireless Transmission System
[IEEE] 2025-12-5 | Real-Time SDM-MIMO Transmission with 12-Coupled SDM Channels Over Field-Installed Fibre Cable
[IEEE] 2025-12-5 | Breaking the Bandwidth-Efficiency Trade-Off of Soliton Micro-Combs via Strong Mode Coupling
[IEEE] 2025-12-5 | Application of Machine Learning Algorithms for Early Prediction of Diabetes using Lifestyle and Physiological Data
[IEEE] 2025-12-5 | Resilience-Oriented Optimization Framework for Multi-UAVs Formation Reconfiguration
[IEEE] 2025-12-5 | Conversations with Andrea: Visitors’ Opinions on Android Robots in a Museum
[IEEE] 2025-12-5 | Differential Group Delay Measurement in Spun Birefringent Uncoupled Multicore Fibers
[IEEE] 2025-12-5 | FPGA Design and Implementation of BCH Encoders and Decoders Using Pipelined Architecture for High Throughput Applications
[IEEE] 2025-12-5 | The Gendered Lens: Analyzing Indian Occupational Bias and Stereotypes in Text-to-Image Generative AI Models
[IEEE] 2025-12-5 | A Fault Diagnosis Method for the TE Process Based on the Improved SPBO Algorithm to Optimize AE - BiGRU
[ACM] 2025-12-6 | An AI-Enhanced Dynamic Assessment Framework for Blended Learning: Algorithm Design and Optimization in College English Teaching
[ACM] 2025-12-6 | Structural Equation Modeling of AI Tool Use and Chinese Language Habits
[ACM] 2025-12-6 | Algorithm Optimization and Implementation of Intelligent Scoring System for College English Translation
[ACM] 2025-12-6 | Enhancing Career Decision-Making Self-Efficacy Through Blended Learning: An Integrated Course Design with Random Forest Regression Algorithm
[ACM] 2025-12-6 | SAAB: Enhancing Action Segmentation via Spatial Attention Pooling and Action-Background Classifier
[ACM] 2025-12-6 | Breaking Distributional Assumptions in Multi-view Learning: Test-Time Adaptive Fusion via Conformalized Evidence Representation
[ACM] 2025-12-6 | Inter-Patient Arrhythmia Classification via Cloud-Edge-End Multimedia Architecture
[ACM] 2025-12-6 | Research on the Educational Innovation System Empowering the Construction of “Beautiful Sichuan” with Ethnic Ecological Culture
[IEEE] 2025-12-5 | SAFEPROCESS 2025 Cover Page
[IEEE] 2025-12-5 | IEEE Industrial Electronics Society Information
[ACM] 2025-12-5 | A Feasibility and Impact Investigation of Continuous Subjective Cybersickness Feedback Reporting
[ACM] 2025-12-5 | Not All WIP Are Perceived Equally: Different Speed Expectations in Seated Walk-in-Place Locomotion
[ACM] 2025-12-5 | AR and LLM-Based Virtual Agent for ABA-Oriented Social Training in Autistic Children
[IEEE] 2025-12-5 | URDM: Hyperspectral Unmixing Regularized by Diffusion Models
[IEEE] 2025-12-5 | Tensor-Based Hybrid-Field Channel Estimation for Extremely Large-Scale Massive MIMO Systems
[IEEE] 2025-12-5 | Triple-Way Visual Modulation for Zero-Shot Sketch-Based Image Retrieval
[IEEE] 2025-12-5 | Machine Learning-Based Ultrasonic Sensing of Glycerol in Direct Fuel Cells
[IEEE] 2025-12-5 | Spatio-Temporal Data Enhanced Vision-Language Model for Traffic Scene Understanding
[IEEE] 2025-12-5 | SAR-D-FINE: A Context-Aware Detector for Small and Densely Packed Ship Detection in SAR Imagery
[ACM] 2025-12-5 | Performance evaluation and comparative analysis of multimodal fusion in target detection
[ACM] 2025-12-5 | BA-ViT: Bound-Aware Quantized Vision Transformers for ORSI Salient Object Detection
[ACM] 2025-12-5 | PRiVDIS: A Pathway-Based Risk-Informed Variant Dosage Integration Score Framework for Machine Learning-Based Discovery of Disease-Specific Molecular Pathways
[IEEE] 2025-12-5 | Radial-Electromagnetic-Force and Vibration Analysis of Hybrid-Excitation Doubly-Salient Machine
[IEEE] 2025-12-5 | A Comprehensive Protection Scheme for Solid- State Transformers in Power Substations
[IEEE] 2025-12-5 | High Performance Autonomous Target Tracking and Control Method for Quadrotors Using Artificial Intelligence
[IEEE] 2025-12-5 | Reinforcement Learning in Production Control: An Agent-Based Approach to Sequencing
[ACM] 2025-12-6 | Understanding and Detecting Query Performance Regression in Practical Index Tuning: [Experiments &amp; Analysis]
[ACM] 2025-12-6 | Regular Expression Indexing for Log Analysis
[IEEE] 2025-12-5 | Magnetostatic Field Image Reconstruction from Undersampled Data Using OMP and TV Methods
[IEEE] 2025-12-5 | Federated Cycle-Consistent Latent Attention Method for Missing Feature Generation
[IEEE] 2025-12-5 | LFM Carrier Enabled Integrated Sensing and Communication in Self-homodyne Coherent Detection Transmission System
[IEEE] 2025-12-5 | Lite-RVFL: A Lightweight Random Vector Functional-Link Neural Network for Learning Under Concept Drift
[IEEE] 2025-12-5 | Quality of Wine Prediction Using Machine Learning Algorithms
[IEEE] 2025-12-5 | TrVLM: A Turkish Vision-Language Model for Captioning and Visual Question Answering
[IEEE] 2025-12-5 | 19.2 THz S+C+L Transmission in a Field Deployed, Randomly-Coupled, Multicore Fiber
[IEEE] 2025-12-5 | Assessment of Software Security Measures
[IEEE] 2025-12-5 | Adaptive Bidirectional Free-Space-Optical Link Resilient to Atmospheric Turbulence
[IEEE] 2025-12-5 | High-Speed Coherent Receiver Array on Silicon Photonics for Turbulence-Resilient Communication Links
[IEEE] 2025-12-5 | Enhancement in Link metric of RPL Protocol for improving energy in IoT Networks
[IEEE] 2025-12-5 | Classification of Cleft Lip Among Children using Convolutional Neural Network Architectures
[IEEE] 2025-12-5 | Fault Tolerant Control of Aircraft System via the Sliding Mode-Learning Observer
[IEEE] 2025-12-5 | Hardware Design for Abnormal Beat Detection in ECG Signal Base on Template Cluster Algorithm
[IEEE] 2025-12-5 | Coherent-Lite with Low-Complexity Baud-Rate-Sampling Receiver Enabled by Clock and Wavelength Locking Over 80 Km 7-Core Fiber
[IEEE] 2025-12-5 | Multi-User Chromatic Dispersion Dsp-Based Precompensation and Dd Receiver for Very High Speed Pon
[IEEE] 2025-12-5 | Constructing a Novel Dataset for Android Bug Prediction
[IEEE] 2025-12-5 | Hybrid Optical / RF Feeder for 6G Radio Access with Shared FSO / FR3 Aperture and $\Sigma\Delta$-Modulation Switching
[IEEE] 2025-12-5 | Analysis and Visualization of EV Energy Consumption Under Varying Conditions and Driving Profiles
[IEEE] 2025-12-5 | Adaptive Remaining Useful Life Prediction Method for Devices With Random Failure Threshold
[ACM] 2025-12-6 | CharCom: Composable Identity Control for Multi-Character Story Illustration
[ACM] 2025-12-6 | Single Image Dehazing Network Based on Depth-Guided Sparse Attention
[ACM] 2025-12-6 | KeyRegionPose: Region-Aware Feature Interaction and Multi-Scale Token Pruning for Efficient Human Pose Estimation
[ACM] 2025-12-6 | Research on the Application of Decision Tree Algorithm in Public Physical Education Practice Teaching
[ACM] 2025-12-6 | Research on Personalised Learning Resource Recommendation Method Based on Graph Convolution
[IEEE] 2025-12-5 | Fibre Fuse Propagation Characteristics and Threshold Power of Randomly Coupled Multi-Core Fibre
[IEEE] 2025-12-5 | Prediction of Rolling Bearings' Remaining Useful Life Based on Efficient Channel Attention TCN and Bidirectional GRU
[IEEE] 2025-12-5 | Experimental Evaluation of Throughput Gains from Distributed Raman Amplification in Ultra-Wideband Escl Transmission
[IEEE] 2025-12-5 | Air Quality Forecast With Deep Learning Models Processing
[IEEE] 2025-12-5 | Prescribed Performance Fault-Tolerant Tracking Control of Firefighting Tethered Quadrotor UAV
[IEEE] 2025-12-5 | Ultrasmall Mode Exchangers Based on Mosaic Structure Designed by Gradient Direct Binary Search Method
[IEEE] 2025-12-5 | Rapid Disease Diagnosis using a Lightweight Deep Neural Network in Low-Resource Healthcare Environments
[IEEE] 2025-12-5 | Contois Model Related to Constructed Wetland System
[IEEE] 2025-12-5 | Digital Subcarrier-Based Synthesis for On-Site Transceiver Calibration with Separate Tx/Rx Frequency Responses
[IEEE] 2025-12-5 | Financial Analytics for Green Supply Chain Optimization: A Machine Learning Approach to Investment Decision Making
[IEEE] 2025-12-5 | State-Of-The-Art Smart Technology For Real-Time Monitoring And Analysis of Palm Oil Mill Effluent (POME) Wastewater
[IEEE] 2025-12-5 | Single-Fiber Single-Wavelength Bidirectional Digital Subcarrier Point-to-Multipoint Coherent Systems for Beyond 5G Transport
[IEEE] 2025-12-5 | Neural Network-based Information-Theoretic Transceivers for High-Order Modulation Schemes
[IEEE] 2025-12-5 | Secrecy Outage Performance of NOMA-Aided MIMO Relay Systems in the Presence of an Eavesdropper
[IEEE] 2025-12-5 | Modern virtual reality technologies for education and training
[IEEE] 2025-12-5 | Reinforcement Learning-Based Feed Rates Control for Fed-Batch Penicillin Fermentation
[IEEE] 2025-12-5 | Performance Enhancement of Position Controller for Gear Motor Using Linear Quadratic Regulator with Disturbance Compensator
[IEEE] 2025-12-5 | Broadband 205-GHz Vertical-Illumination Photodiode Enabled by Interference-based Absorption and Field Engineering
[IEEE] 2025-12-5 | Wireless &amp; Batteryless High-T Probe for Real-Time Monitoring of Rotating Automotive Components
[IEEE] 2025-12-5 | SmartTrack: Online RFID Card Attendance System using Ardiuno UNO
[IEEE] 2025-12-5 | A Novel Decision-Aided Detection Algorithm for Performance Enhancement in Bandwidth-Limited FTN-DMB Systems
[IEEE] 2025-12-5 | Explainable Vision Transformer Enabled Convolutional Neural Network for Plant Disease Classification
[IEEE] 2025-12-5 | Utilizing Regression Techniques to Predict Anxiety and Depression
[IEEE] 2025-12-5 | Analysis of Vibration Signal Characteristics of Micro-Faults in Aero-Engine Rolling Bearing
[ACM] 2025-12-6 | Towards Better Detection in the Rain: A Task-Driven Deraining Framework with Semantic Guidance
[ACM] 2025-12-6 | Global Question-Aware Multimodal Retrieval-Augmented Generation for Multimedia Multi-Hop Question Answering
[ACM] 2025-12-6 | Edge-Computing Thermal Object Detection with Homography-Augmented Data for Night Navigation
[ACM] 2025-12-5 | Coastal Resilience: Promoting Sustainability Practices through Localized Game Design in Extended Reality
[ACM] 2025-12-5 | Improving Radiology Communications and Patient Trust with Virtual Reality
[ACM] 2025-12-5 | Gated Temporal Shifts with Depth-Efficient Channel Attention for Real-Time Hand-Gesture Interaction
[ACM] 2025-12-5 | Tunnels vs. Wires: A Comparative Analysis of Two 3D Steering Tasks in Virtual Environments
[ACM] 2025-12-6 | DAG of DAGs: Order-Fairness Made Practical
[ACM] 2025-12-6 | PrivAGS: Differentially Private Attributed Graph Synthesis
[IEEE] 2025-12-5 | Pyrolyzer Assisted Vapor Transport Deposition of Antimony-Doped Cadmium Telluride_supp1-3633076.pdf
[IEEE] 2025-12-5 | Front Cover
[IEEE] 2025-12-5 | Silicon Microcuvette-Based Testing System for Optical Absorption Spectroscopy of Vegetable Oils
[IEEE] 2025-12-5 | A Practical High-Quality ULA SIMO Radar Calibration Based on Synthetic Aperture Radar Imaging Artifacts With Exceptionally Low Requirements on the Measurement Scene and Setup
[ACM] 2025-12-5 | Large Language Models for Molecular Biology (LLMBio): Editorial
[IEEE] 2025-12-5 | AMEE: Automatic Modulation Open Set Recognition Through Deep Metric Learning With Embedding Enhancement
[IEEE] 2025-12-5 | From Vision to Touch: Bridging Visual and Tactile Principles for Accessible Data Representation
[IEEE] 2025-12-5 | Large AI Model and Loss Variation Empowered Dual-Importance Prioritized Semantic Transmission
[IEEE] 2025-12-5 | Interference-free causality learning promotes cross-level, fine-grained diagnosis of coronary artery disease in coronary CT angiography
[IEEE] 2025-12-5 | Asymmetric Cosine Jerk Trajectory Optimization for Robust Vibration Suppression
[IEEE] 2025-12-5 | Super-Resolution Imaging of Sparse Sea Surface Targets by Multi-Feature Divide-and-Conquer Framework
[IEEE] 2025-12-5 | Online Learning-Based Dual Balancing of SOC and Temperature in Lithium-Ion Battery Packs
[IEEE] 2025-12-5 | Thermal Interference Analysis and Compensation for Monolithic Integrated Thermopile Infrared Sensors
[IEEE] 2025-12-5 | A High Gain Horn Antenna Array with Shared Aperture Operating in Epsilon-Near-Zero (ENZ) Mode
[IEEE] 2025-12-5 | Compact and Lightweight Planar Harmonic Tag for Operation in Challenging Environments
[IEEE] 2025-12-5 | MDC-Net: A Multidimensional Dynamic Convolutional Network for the Cellular Detection of Vaginitis Pathogens
[ACM] 2025-12-6 | A General Framework for Per-record Differential Privacy
[IEEE] 2025-12-5 | Robust Fibre Longitudinal Power Monitoring with Few Measurements Using Two-Stage Sparse Regularization
[IEEE] 2025-12-5 | Real-Time Optical Wireless Architecture for Scalable Open RAN in 5G and Beyond Networks
[IEEE] 2025-12-5 | Cost Effective and Robust Transmitter IQ Skew Compensation Scheme for High Speed Coherent Digital Subcarrier Multiplexing System
[IEEE] 2025-12-5 | Fault Estimation for a Class of Nonlinear Systems Using a New Neural Network Based Reinforcement Learning Scheme
[IEEE] 2025-12-5 | Wirelessly-Powered Devices Using UHF ESD Energy Capture
[IEEE] 2025-12-5 | Blind Massive MIMO Signal Transmission by High Efficiency Compression If Over Fibre Using Cost-Effective EML-CAN
[IEEE] 2025-12-5 | Stealth FDI Attack Detection Based On Multi-Scale Wavelet Transform Spatial-Temporal Graph Convolutional Network
[IEEE] 2025-12-5 | RFID-Based Distributed Control of a Reconfigurable Intelligent Surface
[IEEE] 2025-12-5 | Designing Customized Wearable Devices: A Novel AI-Based Framework for Product Development
[IEEE] 2025-12-5 | Enhancing Maritime Surveillance: A Multi-Model Analysis on a Curated Multi-Dataset Benchmark
[IEEE] 2025-12-5 | Integrated Renewable Energy Performance in Tropical Climates: A Review
[IEEE] 2025-12-5 | Multi-Sensor Fault Detection Based on Wavelet Time-Frequency Maps
[IEEE] 2025-12-5 | Automated Test Case Generation Using Machine Learning And Natural Language Processing
[IEEE] 2025-12-5 | A Solar-Powered Smart Dustbin with Integrated Air Purifier and IOT- Based Real Time Monitoring System
[IEEE] 2025-12-5 | Hybrid Power-Frequency Multiple Access for SIC-Free Ambient Backscatter Communication in IoT Networks
[IEEE] 2025-12-5 | Evaluating Conversion Loss of a Self-Resonant Patch-Type Harmonic Transponder
[IEEE] 2025-12-5 | Investigation of Power Levels and Phase Variations from Interference between Bi-Static Ambient Backscattered and Direct Signals in 5G-NR Free Space Scenario
[IEEE] 2025-12-5 | PoliBERT: Dynamic Computation Allocation via Policy Networks
[IEEE] 2025-12-5 | Blockchain-Enabled Federated Learning: A Smart Contract-Based Architecture for Decentralized AI Systems
[IEEE] 2025-12-5 | Ultrafast Tunable Photonic Integrated Pockels Extended-DBR Laser
[IEEE] 2025-12-5 | Wireless Millimeter-Wave Electro-Optic Modulators on Thin-Film Lithium Niobate
[IEEE] 2025-12-5 | Photonic Switching for Dynamic Bandwidth Sharing in Optically Networked Heterogeneous Computing Systems
[IEEE] 2025-12-5 | Real-Time Fake News Detection Using NLP and Machine Learning Techniques
[IEEE] 2025-12-5 | Wind Turbine Fault Detection Technology: Patent Analysis and Development Trends
[ACM] 2025-12-6 | Research on the Application of Machine Learning Technology in the Quality Assessment of Standardized Talent Cultivation in Vocational Education
[ACM] 2025-12-6 | The Strategic Decision-making Logic of Education Entrepreneurs in Digital Transformation
[IEEE] 2025-12-5 | Real-Time Seizure Detection and Prediction in Epilepsy Patients Using Deep Neural Networks on EEG Signals
[IEEE] 2025-12-5 | Feature Extraction from Sheet Metal Parts Using Semantic Segmentation
[IEEE] 2025-12-5 | Weather-Based Smart IoT Irrigation System with AI-Driven Decision Making
[IEEE] 2025-12-5 | Neural Demodulation-Aided Optimization of Discrete Eigenvalue Assignment Enabling Error-Free 4000-km Transmission
[IEEE] 2025-12-5 | Interval Principal Component Analysis for Fault Detection of Wastewater Treatment Processes with Uncertainty
[IEEE] 2025-12-5 | A Spatial-Temporal Convolutional Network for Remaining Useful Life Prediction of Turbofan Engines
[IEEE] 2025-12-5 | Unsupervised Learning-Based Joint Beamforming and Far User Clustering for Near-Field Massive MIMO-NOMA Systems
[IEEE] 2025-12-5 | Monolithically Integrated 100 GHz Ge Photodetectors with High Responsivity of 0.96 a / W Across C+L Band
[IEEE] 2025-12-5 | 200Gbps PAM4 Transmission over 150-m OM5 Fiber Using A Multimode 940-nm VCSEL
[IEEE] 2025-12-5 | Single Photodiode Detection of 661-Gb/S Signal via Optical Band Multiplexing for High-Speed Optical Interconnects
[IEEE] 2025-12-5 | Comparative Analysis of MOSFET and BJT Switching Devices in Boost Converter Applications
[IEEE] 2025-12-5 | Emotional AI and Adaptive user Interfaces
[IEEE] 2025-12-5 | Computation Stability Tracking Using Data Anchors for Fiber Rayleigh-Based Nonlinear Random Projection System
[IEEE] 2025-12-5 | Efficient Task Offloading in Edge Computing Using Priority Based Queuing and Energy Optimisation
[IEEE] 2025-12-5 | Parity Space-Based Fault Detectability Analysis for Linear Discrete Time-Varying Systems
[IEEE] 2025-12-5 | The Need for a Compact, User-friendly Battery Simulator for Research
[IEEE] 2025-12-5 | Privacy by Design: User-Centric Control in Online Photo Sharing
[ACM] 2025-12-6 | Cloth-Changing Person Re-identification with Human Keypoint Prediction
[ACM] 2025-12-6 | Pseudo-Partial Label Helps: A Simple Way to Mitigate Pseudo-Label Noise in Source-Free Domain Adaptation
[ACM] 2025-12-6 | Bi-affine Semantic Fusion Generative Adversarial Networks for Text-to-Image Synthesis
[ACM] 2025-12-5 | PatchFusionVR: Multitask Prediction of User Gaze, Reaction Time, and Cognitive Load in Virtual Reality from Multimodal Signals
[ACM] 2025-12-5 | Sci-Fi-Inspired Interaction and Evaluation of the Memory Orb
[ACM] 2025-12-5 | Empirical Study of Virtual Reality and Desktop Systems for Qualitative Editing of 3D Meshes: Impacts of Expertise and Context
[ACM] 2025-12-5 | Static or Temporal? Semantic Scene Simplification to Aid Wayfinding in Immersive Simulations of Bionic Vision
[ACM] 2025-12-5 | Effects of pseudo-haptic feedback on the line bisection test in virtual space
[ACM] 2025-12-5 | Partial Joint Correction of Abnormal Motion Data via Reward Function Design in Virtual Environments
[ACM] 2025-12-5 | Investigating Resolution Strategies for Workspace-Occlusion in Augmented Virtuality
[ACM] 2025-12-5 | The lived experiences and data speculations of people with Parkinson’s disease using active tests for symptom-tracking
[IEEE] 2025-12-5 | Design of Broadband Aperture-Stacked Patch Microstrip Antennas Based on Third Order Filtering Equivalent Circuits
[IEEE] 2025-12-5 | Solid-Phase Fraction Computation via Multi-Scale Hybrid Mamba-CNN and ERT Measurement
[IEEE] 2025-12-5 | Pre-Training and Personalized Fine-Tuning via Over-the-Air Federated Meta-Learning: Convergence-Generalization Trade-Offs_supp1-3640114.pdf
[IEEE] 2025-12-5 | Daily Load Forecasting Using Explainable AI-Driven Method with Integrated Error Correlation
[IEEE] 2025-12-5 | Joint Beamforming Optimization for User-Centric Multi-Satellite Systems with Backhaul Constraints
[IEEE] 2025-12-5 | A Reinforcement Learning based FEM Solver for Accelerating Contact-Influenced Simulation of Continuum Robots_supp1-3640425.mp4
[IEEE] 2025-12-5 | QBIC-terahertz metasurface for quantitative detection of chlorpyrifos in soybean oil in a liquid state
[IEEE] 2025-12-5 | Torsional Vibration Mitigation in Wind Turbines Using BESS in a Microgrid
[IEEE] 2025-12-5 | FPGA-Based Hierarchical Efficient Driving Framework for Multiphase MLPM
[IEEE] 2025-12-5 | Impact of Oxide Diffusion Space Effect on 14-nm FinFET Performance and Layout-Driven Optimization for Advanced Digital Circuits
[IEEE] 2025-12-5 | CoFIB: A Memory-Efficient NDN FIB Design for Programmable Edge Switches
[IEEE] 2025-12-5 | A Behavioral Model for Pulse Current Analysis of Series-connected Thyristors
[IEEE] 2025-12-5 | Dynamic Temperature Prediction of the Magnetic Coupler in Wireless Charging Systems
[IEEE] 2025-12-5 | CISES 2025 TOC
[ACM] 2025-12-5 | Edge AI Consensus: Blockchain-Secured Federated Learning for Trustless Intelligence Network
[ACM] 2025-12-5 | Study on Perception of Cultural Imagery in Subway Space Based on SEM Model--Taking Wuhan Historical and Cultural Characteristic Station as an Example
[ACM] 2025-12-5 | Precise Learning-to-Rank Bug Localization Using Multi-Feature Fusion for Hardware Code
[ACM] 2025-12-5 | Using Diffusion Models as Cell Fate Reprogramming Planners
[ACM] 2025-12-6 | Counting Is All You Need for Instant Tuple Discovery: Enabling Real-Time HTAP in Standalone DBMSs
[ACM] 2025-12-6 | AixelNet: A Pre-trained Model with Table-aware Adaptation for Structured Data Prediction
[ACM] 2025-12-6 | Beyond Vector Search: Querying With and Without Predicates
[ACM] 2025-12-6 | Interdisciplinary Knowledge Graph-Driven STEM Teacher Assistant Agent: Model Construction and Evaluation
[IEEE] 2025-12-5 | Fault Diagnosis of Photovoltaic Systems Based on Multi-Digital Twins and SWIN-T
[IEEE] 2025-12-5 | Expertise-Guided LLM Agent Realizing Autonomous Optical Power Optimization in Field-Deployed Networks
[IEEE] 2025-12-5 | Photonic-Crystal Surface-Emitting Lasers for High-Power Free-Space Optical Communications
[IEEE] 2025-12-5 | A Quadratically Interpolated and Minimum-Mean-Square-Error-Optimized Pre-rake Receiver for Multipath Channel
[IEEE] 2025-12-5 | Rolling bearing fault diagnosis based on improved VMD optimized CNN-GRU neural network
