[2026-03-20 09:28:40] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-19
正在获取论文...
[arXiv] 2026-03-19 | Matryoshka Gaussian Splatting
[IEEE] 2026-3-19 | Robust Secure Beamforming Design for Intelligent Reflecting Surface-Aided Wireless Communication Systems with Imperfect CSI
[IEEE] 2026-3-19 | IgniSole: Smartphone-based Early Detection of Diabetic Foot Ulcers using Thermal Images
[IEEE] 2026-3-19 | Diving into Epipolar Transformers for Light Field Super-Resolution and Disparity Estimation_supp1-3674997.pdf
[IEEE] 2026-3-19 | DFormer++: Improving RGBD Representation Learning for Semantic Segmentation_supp1-3658114.pdf
[IEEE] 2026-3-19 | RPP-HO: Risk Predictive Proactive Handover for LEO Satellite Edge Computing
[IEEE] 2026-3-19 | LLMs Empowered MIMO Antenna Decoupling for Wireless Networks: From Mathematical Tuning to Physically-Aware Design
[IEEE] 2026-3-19 | Denial of Service Attacks in Over-the-Air Computation for Internet of Medical Things
[IEEE] 2026-3-19 | Enhancing LEACH Protocol Efficiency in Wireless Sensor Networks Using Mountain Gazelle Optimization Technique
[IEEE] 2026-3-19 | Probabilistic Representation for Robust Link Adaptation in Deep Reinforcement Learning-based 5G Systems
[IEEE] 2026-3-19 | Intelligent AI Models for Non-Invasive Blood Glucose Detection and Monitoring
[IEEE] 2026-3-19 | Deep Learning Framework for RSSI-Based Indoor Localization in RIS-Aided mmWave Systems
[IEEE] 2026-3-19 | Robust WSSR Maximization for Holographic RIS-aided RSMA Near-Field Systems
[IEEE] 2026-3-19 | Smart Intrusion Detection in IoT Using Optimized Deep Learning and Active Learning Strategies
[IEEE] 2026-3-19 | Energy-Efficient Task Offloading with Resource Slicing for eMBB and URLLC Coexistence in 5G Networks: A Twin Delayed DDPG Approach
[IEEE] 2026-3-19 | GPU-accelerated In-Network Computing for Split-AI in 6G: A Trade-Off Between Inference Time and Energy Consumption
[IEEE] 2026-3-19 | Hamiltonian Optimal Control-Based Adversarial Training in Deep Reinforcement Learning for Robust Load Frequency Control
[IEEE] 2026-3-19 | IBCapsNet: Information Bottleneck Capsule Network for Noise-Robust Representation Learning
[IEEE] 2026-3-19 | Koopman Visual-Dynamics Spectrum: A Physics-Aware Spectral Signature for Micro-Expression Recognition
[IEEE] 2026-3-19 | $\text{P}^\text{2}$RS: A Quantitative Rating Scale for Pain Assessment based on Pulse Wave Characterization
[IEEE] 2026-3-19 | Hierarchical Reinforcement Learning for Next Generation of Multi-AP Coordinated Spatial Reuse
[IEEE] 2026-3-19 | Multi-Carrier MIMO Cognitive BackCom: Adaptive Processing with Temporal Combining Improved Data Stream Decoding
[IEEE] 2026-3-19 | Fully Distributed Optimal Consensus for Uncertain Euler-Lagrange Systems With Relative Positions
[IEEE] 2026-3-19 | IEEE Foundation
[IEEE] 2026-3-19 | Deep Learning Techniques for Enhanced Diagnostic Precision in Radiology
[IEEE] 2026-3-19 | Analysis and Suggestions on Performance Differences of International High-Voltage Protection Devices
[IEEE] 2026-3-19 | Achievable Identification Rates in Noisy Bosonic Broadcast Channels
[IEEE] 2026-3-19 | Research on Configuration and Operation Optimization of PV-ESS System Considering Inter-Building Energy Sharing
[IEEE] 2026-3-19 | NeuroLex: A Lightweight Domain Language Model for EEG Report Understanding and Generation
[IEEE] 2026-3-19 | A novel protocol for STAR-RIS-assisted SWIPT systems with Hybrid Elements
[IEEE] 2026-3-19 | Neural Ensemble of Thought: Toward Human–like AI through Brain–inspired Reasoning
[IEEE] 2026-3-19 | Augmented Reality (AR) and AI in Retail: Enhancing the Shopping Experience
[IEEE] 2026-3-19 | Real-Time Trials of Reliable Optical Wireless Communications using OFDM in 802.15.13
[IEEE] 2026-3-19 | Control of a Galvano Scanner Using a Controller Based on RNN with Guaranteed Stability
[IEEE] 2026-3-19 | Machine Learning Based Early Prediction of Polycystic Ovary Syndrome (PCOS) Using Lifestyle and Symptom Features
[IEEE] 2026-3-19 | Research on CNC Machine Tool Thermal Error Prediction Based on Improved ACO-Optimized LSTM-FNO Model
[IEEE] 2026-3-19 | The Design of Pearl Water Chestnut Production Line Based on Machine Vision
[IEEE] 2026-3-19 | Inter-Session Variability in Long-Term ECoG BCIs
[ACM] 2026-3-19 | Towards P≠NP from Extended Frege lower bounds
[IEEE] 2026-3-19 | Comparative Analysis of Approaches to Segmentation of Medical Images Based on CT of Human Internal Organs
[IEEE] 2026-3-19 | Molecular Filter Design for DNA Molecular Communication System
[IEEE] 2026-3-19 | Review of Flow and Heat Transfer Characteristics in Cryogenic Propellant Filling Process
[IEEE] 2026-3-19 | Smart House Price Prediction: Evaluating Crime Rates and Employment Trends Using Machine Learning Algorithms
[IEEE] 2026-3-19 | Energy Storage Optimization for Risk Mitigation in Distribution Networks with Distributed Generation
[IEEE] 2026-3-19 | ZhiSync: Metadata-Driven Inference Fusion for Decentralized Healthcare IoT
[IEEE] 2026-3-19 | Efficient Task Offloading via Semi-Matching for Energy Harvesting D2D Communications
[IEEE] 2026-3-19 | Theoretical Limits of Differential Doppler Positioning Using LEO Satellite Signals
[IEEE] 2026-3-19 | Fault Ride-Through Method for Flexible MVDC Electrified Railway Power Supply System Based on Feeder Fault Current Limiting
[IEEE] 2026-3-19 | Optimizing Traffic Management Through Genetic Algorithm
[IEEE] 2026-3-19 | Audit 5.0: The Convergence of Technological Innovation and Human Purpose in the Digital Age
[IEEE] 2026-3-19 | Synergistic Gain for OTFS/AFDM Multi-Satellite Transmission System
[IEEE] 2026-3-19 | ReLoad: Revenue and Load Balancing Aware DRL-based Task Offloading Framework for Vehicular Cloud-Edge Networks
[IEEE] 2026-3-19 | Age of Information in Discrete-Time Multisource IoT Wireless Status Updating System with Generic Random Update Transmission Times
[IEEE] 2026-3-19 | A Novel Arc-Suppression Method for Grounding Faults in Distribution Networks Based on Flexible Control of Phase Voltage
[IEEE] 2026-3-19 | Neurophysiological Characteristics of Adaptive Reasoning for Creative Problem-Solving Strategy
[IEEE] 2026-3-19 | Resilient Routing for Satellite-Terrestrial Integrated Networks via Cascaded Two-Time-Scale Deep Reinforcement Learning
[IEEE] 2026-3-19 | RapidAtt: A Fast Attestation Technique for Industrial Internet of Things
[IEEE] 2026-3-19 | Indoor-Office Large-Scale Wireless Channel Characterization in cmWave/FR3 Spectrum
[IEEE] 2026-3-19 | Study on the Discrepancy Between Real-World and Certified Driving Range of New Energy Vehicles in Low and High-Temperature Environments
[IEEE] 2026-3-19 | Row and Group Pseudo Sparsity-Aware Bayesian Learning for MIMO-OTFS Channel Estimation
[IEEE] 2026-3-19 | Research on High-Impedance Ground Fault Detection Method in PV Distribution Network Based on Zerosequence Current Characteristics
[IEEE] 2026-3-19 | Spread Spectrum-based Optimization of Physical Layer Security in Elastic Optical Networks
[IEEE] 2026-3-19 | Sub-Centimeter Indoor Optical Wireless Positioning Using An Optimized Machine Learning Technique
[IEEE] 2026-3-19 | Deep Unfolding-Aided Tensor Decomposition for mmWave MIMO-OFDM Channel Estimation
[IEEE] 2026-3-19 | Joint Optimization of Feedback Signal Transmission and Reconstruction in Tactile Internet
[IEEE] 2026-3-19 | Next-Generation Sustainable Wireless Systems: Energy Efficiency Meets Environmental Impact
[IEEE] 2026-3-19 | Machine-Learning Based Artificial Affective Perception For Machines’ Emotional Awareness
[ACM] 2026-3-19 | Quantitative Strategy Under Bull-Bear Rotation: Stock Selection &amp; Dual-Hedging via LambdaMART &amp; RIM
[ACM] 2026-3-19 | E-commerce Intelligent Recommendation Optimization and Personalized Marketing Strategy Based on Big Model
[ACM] 2026-3-19 | AutoML-Driven Portfolio Optimization via Bayesian-Optimized SVR: A Volatility-Targeting Approach for Dynamic Asset Allocation
[IEEE] 2026-3-19 | Learning-Based Channel Estimator with Novel Pilot Design for CF IRS-Aided mMIMO-OTFS Systems
[IEEE] 2026-3-19 | Decentralized Gossip Learning with Adaptive OOD Detection for LEO Satellite Networks under Non-IID Data
[IEEE] 2026-3-19 | Model-Driven Deep Learning-Aided Wideband Hybrid-Field THz UM-MIMO Channel Estimation
[IEEE] 2026-3-19 | UnSLU-BENCH+: Extended Machine Unlearning Benchmark for Spoken Language Understanding
[IEEE] 2026-3-19 | LoRAT: Low Rank Adaptation and Transfer for Multi-environment Channel Estimations
[IEEE] 2026-3-19 | Reliable Real-Time Edge AI via Conformal Model Selection
[IEEE] 2026-3-19 | Temperature-Flow Performance of Natural Ester Transformer Oils through Molecular Dynamics Investigation of Viscosity, Pour Point, and Unsaturation Effects
[IEEE] 2026-3-19 | Tradeoffs Between Resilience, Safety, and String Stability in Vehicle Platoons With Feasibility-Aware Control Barrier Functions
[IEEE] 2026-3-19 | Underdetermined Blind Source Separation via Weighted Simplex Shrinkage Regularization and Quantum Deep Image Prior
[IEEE] 2026-3-19 | IEEE Membership
[IEEE] 2026-3-19 | Cybersecurity Issues and Challenges in Internet of Energy (IoE)—Part 2
[IEEE] 2026-3-19 | IEEE Xplore Digital Library
[IEEE] 2026-3-19 | A Seizure Warning System based on Multidimensional Attention Entropy and Improved Binary Mantis Search Algorithm
[IEEE] 2026-3-19 | Scalable HMM-Based Map Matching with Adaptive Path-Length Caching and Grid-Based Evaluation: A National-Scale Study on Taxi Probe Data in Thailand
[IEEE] 2026-3-19 | CL-ERDA: Certificateless Recoverable Data Auditing with Corruption Localization in Edge Computing
[IEEE] 2026-3-19 | Hierarchical Multimodal Motion Control of Magnetic Pivot-Walking Millirobotic-Grippers for Autonomous Target Acquisition in Complex Terrains_supp5-3675526.mp4
[IEEE] 2026-3-19 | Hybrid Near/Far-Field Frequency-Dependent Beamforming via Phase-Time Arrays With Single RF Chain
[IEEE] 2026-3-19 | A Fault Diagnosis Method for Transformer Bushings Based on Feature Optimization Using Random Forest and SVM
[IEEE] 2026-3-19 | A Spatiotemporal Load Forecasting Method for Electric Vehicles Based on SSA-BIGRU Attention
[IEEE] 2026-3-19 | EEG Correlates of Surprise and Reward Prediction Errors in a Probabilistic Learning Task
[IEEE] 2026-3-19 | Design Simulation of Boost Circuit Based on LTspice
[IEEE] 2026-3-19 | Regional Carbon Emission Prediction Based on Transformer-LSTM
[IEEE] 2026-3-19 | Blockchain-Driven Video Game with Secure Asset Management
[IEEE] 2026-3-19 | Advanced Pneumonia Detection in Chest X-Rays via Capsule Networks Integrated with Transformer Architectures and Dynamic Routing Attention Mechanisms
[IEEE] 2026-3-19 | Efficient Wireless Video Transmission via Adaptive Spatio-Temporal Token Merging
[IEEE] 2026-3-19 | English to Sanskrit Translation Using Sequence-to-Sequence with Attention
[IEEE] 2026-3-19 | Impact of Decentralized Finance (DeFi) on Traditional Banking Models: A Blockchain Perspective
[IEEE] 2026-3-19 | Cross-Modal Consistency-Guided Active Learning for Affective BCI Systems
[IEEE] 2026-3-19 | A Real-time Data Collection Approach for 6G AI-native Networks
[IEEE] 2026-3-19 | CLAIRE: Compressed Latent Autoencoder for Industrial Representation and Evaluation—A Deep Learning Framework for Smart Manufacturing
[IEEE] 2026-3-19 | Nondestructive Batch Testing of Mini-LEDs Using Flexible Electrode Arrays
[IEEE] 2026-3-19 | Modeling and Measuring of Light Shift in Optically Pumped Atomic Magnetometers
[IEEE] 2026-3-19 | Unified Physical Layer Network for Multiple Tasks based on Large Language Model
[IEEE] 2026-3-19 | Enhancing Microgrid Efficiency: A Study on Meta-Heuristic Algorithm Performance in Operational Cost and Load Management
[IEEE] 2026-3-19 | Copyright Pgae
[IEEE] 2026-3-19 | Low-Computational-Load Model Predictive Current Control for Permanent Magnet Synchronous Motors
[IEEE] 2026-3-19 | Classifying Physiological Stress Responses: Distinguishing Threat Versus Challenge Using Earbuds
[IEEE] 2026-3-19 | Fluid Antenna Port Prediction based on Large Language Models
[IEEE] 2026-3-19 | Energy-Efficient Precoding for Dense VCSEL-Based OWC Systems Under a Cooperative Broadcast Model
[IEEE] 2026-3-19 | Performance Analysis of RIS-Assisted Covert Rate-Splitting Multiple Access
[IEEE] 2026-3-19 | Optimal Scheduling Method for Distributed Gravity Energy Storage Based on NSGA-II and TOPSIS
[IEEE] 2026-3-19 | D-LoRa: a Distributed Parameter Adaptation Scheme for LoRa Network
[IEEE] 2026-3-19 | Confidence-Gated Phase-Amplitude Coupling: A Robust and Real-Time Algorithm for Closed-Loop Neurostimulation
[IEEE] 2026-3-19 | Research on Optimization Scheduling Method for Port Electric Logistics Container Trucks
[IEEE] 2026-3-19 | LLM-assisted Deep Reinforcement Learning for Satellite Range Scheduling
[IEEE] 2026-3-19 | CAP Made Easy: A Web-Based Counselling Assistant for MHT-CET Engineering Admissions
[IEEE] 2026-3-19 | A Comparative Machine Learning Framework for Binary Bioactivity Classification of Drug-Like Compounds
[IEEE] 2026-3-19 | Inception-LSTM: A Two Stage Approach for Indoor Position Estimation Using Channel Impulse Response Measurements
[IEEE] 2026-3-19 | Data-Driven Dynamic Adjustment Mechanism for Optimizing Bidding Strategies of Thermal Power Units in Spot Markets
[IEEE] 2026-3-19 | REDQ-Agent Optimized Downlink Communication in 3D RIS-Assisted Wireless Systems
[IEEE] 2026-3-19 | A Method for Topology Identification in Power Distribution Network Based on Node Power Correlation
[IEEE] 2026-3-19 | An Event Stream Assisted Link Adaptation Framework for Internet-of-Vehicles
[IEEE] 2026-3-19 | MGCRL: Multi-Scale Graph Contrastive Representation Learning For Network Intrusion Detection
[IEEE] 2026-3-19 | An Outage Analysis of Hovering UAV and STAR-RIS Aided NOMA ISAC System for SAGIN
[IEEE] 2026-3-19 | Performance Analysis for Multi-User Holographic MIMO Downlink with Matched Filter Precoding
[IEEE] 2026-3-19 | RespiSense: Real-Time Respiration Monitoring Using a Low-Complexity WiFi SDR Platform
[IEEE] 2026-3-19 | NOC4SC: A Novel Paradigm of Multi-User Semantic Communication Enabled by Non-Orthogonal Codewords
[IEEE] 2026-3-19 | MCST-Mamba: Multivariate Mamba-Based Model for Traffic Prediction
[IEEE] 2026-3-19 | Polar-Domain Multi-User Key Generation in Near-Field Communications
[IEEE] 2026-3-19 | A Temporally Decomposed Deep Q-Network Approach with Large Neighborhood Search for Large-Scale Satellite-Ground Link Scheduling
[IEEE] 2026-3-19 | Energy Efficient Probabilistic Semantic Communication over Visible Light Networks
[IEEE] 2026-3-19 | Masked Modulation for Long-Range Half-duplex ISAC
[IEEE] 2026-3-19 | Detecting IoT Attacks Using Adversarial Machine Learning
[IEEE] 2026-3-19 | AoI-Error-Aware Data Synchronization for Vehicular Digital Twin
[IEEE] 2026-3-19 | Swarm-Optimized Turbulence Effects in RGB Image Transmission Over DP/FSO System
[IEEE] 2026-3-19 | Event Interval Modulation: A Novel Scheme for Event-based Optical Camera Communication
[IEEE] 2026-3-19 | ProxySelect: Frequency Selectivity-Aware Scheduling for Joint OFDMA and MU-MIMO in 802.11ax WiFi
[IEEE] 2026-3-19 | A Two-Machine Equivalent System Frequency Full-Response Model and its Closed-Form Solution
[IEEE] 2026-3-19 | Satellite Maneuver-Aware TCP Congestion Control
[IEEE] 2026-3-19 | From Scroll to Stake: How Influencers Turn their Digital Audiences into Co-Creators of the Economy
[ACM] 2026-3-19 | Intelligent Multi-Model Computation for Cultural Tourism Integration: A Data-Centric Framework Quantifying Regional Economic Disparities with Parallel Spatial Analytics in Jiangsu
[IEEE] 2026-3-19 | Heart Disease Prediction with Severity Using Machine Learning and Flask
[IEEE] 2026-3-19 | Enhancing Roadside 3D Detection with Height-Depth Fusion in Camera-Only Collaborative Perception
[IEEE] 2026-3-19 | Performance Testing of the Flattened Heat Pipe and Numerical Simulation of the Phase Transition Process
[IEEE] 2026-3-19 | Extending Cislunar Communication Network Reach Using Reconfigurable Intelligent Surfaces
[IEEE] 2026-3-19 | Physiological state Monitoring: a Riemannian Geometry based-model
[IEEE] 2026-3-19 | Performance Analysis of Circular Polarization Modulation-Based NOMA-SA System with Imperfect CSI for Satellite Network
[ACM] 2026-3-19 | How to Recognize and Target Your Audience's Point of View
[IEEE] 2026-3-19 | LLM-Pot: A High-Interaction Honeypot System Driven by Large Language Model
[IEEE] 2026-3-19 | Improving Query-Response Performance of Ambient IoT with CDM
[IEEE] 2026-3-19 | Numerical Modeling of Electromagnetic Wave Transmission Through a 2-D Magnetized Plasma Sheath
[IEEE] 2026-3-19 | Intent-Based Networking for 5G, B5G, and 6G: An Overview of Autonomous and Intelligent Network Management
[IEEE] 2026-3-19 | Efficiency Optimization Method for the Multi-Receiver Simultaneous Wireless Power and Data Transfer System
[IEEE] 2026-3-19 | Green O-RAN Operation: a Modern ML-Driven Network Energy Consumption Optimisation
[IEEE] 2026-3-19 | A M-Hz High Distance Diameter Ratio IPT Systems Based on Muti-Segment Series Compensation
[IEEE] 2026-3-19 | CASH: Context-Aware Smart Handover for Reliable UAV Connectivity on Aerial Corridors
[IEEE] 2026-3-19 | Event-triggered Self-structuring Neural Network-based Formation Control of Underactuated Unmanned Surface Vessels
[IEEE] 2026-3-19 | Location-independent Hand Gesture Recognition with Multi-dimensional Feature Fusion using Frequency-Modulated Continuous Wave Radar
[IEEE] 2026-3-19 | Influence of Plunge Depth on the Measurement of Temperature Sensor's Time Constant
[IEEE] 2026-3-19 | MIMO Backscatter Communications Based on Cyclic Delay Diversity
[IEEE] 2026-3-19 | Next Generation 1024x1024 Individually Addressable Mid-Infrared LED Arrays Based on Cascaded W-Superlattice Emitters_supp1-3675506.docx
[IEEE] 2026-3-19 | CRLB Analysis for Matrix Pencil DoA Estimation in Hybrid Receivers Under Snapshot Constraints
[IEEE] 2026-3-19 | On Gaussian Codes and Mismatched Decoding for Fading MIMO Multiple-Access Channels
[IEEE] 2026-3-19 | STGAN-Q-Mix: Coordinated Spatiotemporal Learning for Polyglot Sign Language Interpretation
[IEEE] 2026-3-19 | SpectrumFM: Redefining Spectrum Cognition via Foundation Modeling
[IEEE] 2026-3-19 | AI-driven Analysis and Classification of Edaphic Characteristics for Soil Typology and Crop Recommendation
[IEEE] 2026-3-19 | Measurement, Modeling and Analysis of the Impact of Machine-Generated Noise on OFDM Signal Reception in Advanced Manufacturing
[IEEE] 2026-3-19 | VRF: Variance-Redistribution-Driven Fuzzy Rule Interpolation for TSK Models
[IEEE] 2026-3-19 | SANNet: A Semantic-Aware Agentic AI Networking Framework for Multi-Agent Cross-Layer Coordination
[IEEE] 2026-3-19 | IEEE Industrial Electronics Society Information
[IEEE] 2026-3-19 | GNN-ATIVE: An AI-native, Graph-based Orchestrator for Next-Generation Wireless Networks
[IEEE] 2026-3-19 | Enhancing Aerial Coverage by Collocating Uptilted Antennas on Existing Terrestrial Base Stations
[IEEE] 2026-3-19 | Toward Generalization and Interpretable Deep Learning – based Intrusion Detection System for Heterogeneous Network Environments
[IEEE] 2026-3-19 | Enhancing Trajectory Estimation with Convolutional IMU Transformer
[IEEE] 2026-3-19 | PerlAD: Towards Enhanced Closed-loop End-to-end Autonomous Driving with Pseudo-simulation-based Reinforcement Learning
[IEEE] 2026-3-19 | Design and Evaluation of a User Mental Model Driven Interface for Thermostatic Milk Warmers
[IEEE] 2026-3-19 | Comparative Study of CNN, LSTM, and Hybrid Models for Lithium-ion Battery State of Charge Estimation in Electric Vehicles
[IEEE] 2026-3-19 | A QoS-Guaranteed SDN Routing Strategy for Integrated Power Data Network
[IEEE] 2026-3-19 | Systematic Construction of Deep Polar Codes: Structured Selection of Inner Frozen Rows
[IEEE] 2026-3-19 | Customer Segmentation and Clustering Techniques: An Analysis for Product Recommendation
[IEEE] 2026-3-19 | Probabilistic Electrical Load Forecasting via Prior-Guided Meta Diffusion Models
[IEEE] 2026-3-19 | Carbon-Trading-Oriented TSO and DSO Scheduling Considering Electricity-Heat-Hydrogen Multi-Carrier Energy Storage
[IEEE] 2026-3-19 | Scalable Video Caching in LEO Cooperative Satellite Networks: An Online Learning Approach
[IEEE] 2026-3-19 | Research on the Application of Deep Reinforcement Learning in the Forging Industry
[IEEE] 2026-3-19 | Research on the Method of Calculating Insulation Parameters of Oil-Immersed Transformers in Low-Temperature Environments
[IEEE] 2026-3-19 | Spoofing-Resilient Network Traffic Classification in Programmable Data Plane
[IEEE] 2026-3-19 | The Influence of Social Media on Online Consumer Behavior: The Role of Trust as a Mediator
[IEEE] 2026-3-19 | Implementation of a Visualization Platform for Integrated Electronic Digitalization Technology of Micro-Nano Satellites Based on Cesium
[IEEE] 2026-3-19 | Regional Resource Management for Service Provisioning in LEO Satellite Networks: A Topology Feature-Based DRL Approach
[IEEE] 2026-3-19 | PPNA: Enabling Privacy-Preserving and Efficient Social Network Alignment
[IEEE] 2026-3-19 | ViT-MAE-COA: Vision Transformer-Masked Autoencoder with Cheetah Optimization for Otitis Media Classification
[IEEE] 2026-3-19 | A Novel Framework for Joint Wireless Uplink and Computation Resource Allocation in Edge Computing Video Analytics
[IEEE] 2026-3-19 | A Diffusion Framework for Accurate Fine-Grained Radio Map Reconstruction
[IEEE] 2026-3-19 | Toward Packet-Loss Resilient Cell-Free mMIMO: Multi-Criterion Based AP Association and Robust Coordinated Time Synchronization
[IEEE] 2026-3-19 | Robust Lane Tracking in Non-Standard Road Conditions using Confidence-Adaptive EKF
[IEEE] 2026-3-19 | A Beam Tracking Algorithm for Terahertz Band On-Body Communication Using Inertial Measurement Units
[IEEE] 2026-3-19 | Tensor-Based Near-Field Velocity Estimation for Wideband Terahertz Systems with Sparse Arrays
[IEEE] 2026-3-19 | TF-PPO: A Temporal Feature Aware PPO Algorithm to Resolve the FoV Prediction-Buffer Dilemma for 360-degree Video
[IEEE] 2026-3-19 | Beamforming Design for Hierarchical Sensing in Wideband Integrated Sensing and Communications
[IEEE] 2026-3-19 | Feature Extraction of UAV and Bird via ISAC Base Station: From Algorithm to Hardware Verification
[IEEE] 2026-3-19 | Exploring Missed Spectrum Access Opportunities for WiFi 6 and 5G NR-U Coexistence in the 6 GHz Bands
[IEEE] 2026-3-19 | ENG Signal Classification via Parallel Spiking Neurons for Implantable Devices
[IEEE] 2026-3-19 | Joint Scheduling, Cascaded Beamforming and Trajectory Design in Dual UAV-IRS Enhanced Communications
[IEEE] 2026-3-19 | IRS-Aided Cell-Free Massive MIMO Systems with Underlay Spectrum Sharing
[IEEE] 2026-3-19 | Learning-Enhanced Adaptive Kalman Filter with NLoS Ranging Compensation for Robust Forest Emergency Localization
[IEEE] 2026-3-19 | Geometric Constellation Design for ISAC Using the Gamma Distribution
[IEEE] 2026-3-19 | RSMA-Assited and Transceiver-Coordinated ICI Management for MIMO-OFDM System
[IEEE] 2026-3-19 | Multimodal Ai Framework for Early Detection and Precision Management of Rheumatoid Arthritis
[IEEE] 2026-3-19 | An Intelligent System for Real-Time Monitoring of Autistic Children
[IEEE] 2026-3-19 | Explainable Predictive Modeling for EEG-Based Epilepsy Detection Using Sparse Autoencoder and Random Forest
[IEEE] 2026-3-19 | Research on Fault Characteristics and Protection Schemes of AC/DC Hybrid Distribution Power Grids Based on MMC
[IEEE] 2026-3-19 | Towards Stable Teleoperation of Cybernetic Avatars: Design and Evaluation of a Hybrid Traffic Management Platform
[ACM] 2026-3-19 | Research on Big Data-driven Digital Economy Analysis Model and System Architecture for Regional Economic Optimization
[ACM] 2026-3-19 | Neural Architecture Search with Intelligent Lock-up Strategy for Sub-millisecond Futures Trading
[ACM] 2026-3-19 | Intelligent Transformation of Cross-border E-commerce Platforms: Research on Innovative Applications Based on Artificial Intelligence Technology
[ACM] 2026-3-19 | Enterprise Cash Flow Optimization and Decision Support System Based on Random Forest Optimization
[IEEE] 2026-3-19 | Multi-Objective Optimization for Siting and Sizing of Energy Storage Systems in Microgrids Using Nsga II
[IEEE] 2026-3-19 | A Hybrid Quantum-Classical Framework for Power Optimization in CF-mMIMO O-RAN
[IEEE] 2026-3-19 | How Machine Learning and Modulation Supports Subject Brain-Computer Interface Training
[IEEE] 2026-3-19 | Research on Variable Universe Fuzzy Iterative Learning Control Method for Inverter Spot Welding Power Source
[IEEE] 2026-3-19 | Microgrid Flexibility Operation Domain Calculation Method Based on Convex Relaxation and Adaptive Search Algorithm
[IEEE] 2026-3-19 | Cross-Dataset Shrimp Larvae Counting via Tiled Inference and Domain Filtering
[IEEE] 2026-3-19 | Optimal Channel Selection for a 5-Class Imagined Vowel-based Brain–Computer Interface on Edge
[IEEE] 2026-3-19 | Stress and Vibration Fatigue on Magnetic Shunt of Power Transformer Under Electromagnetic Force
[IEEE] 2026-3-19 | Optimisation of Dither Compensation Parameters of Electro-Hydraulic Servo System Based on MF-SMA
[IEEE] 2026-3-19 | Copyright_Page
[IEEE] 2026-3-19 | Quantum Self-Heterodyne Sensing for Rydberg Atomic Receiver
[IEEE] 2026-3-19 | Joint Beamforming, Power Allocation, and User Grouping for NOMA-ODDM Enabled ISAC Systems
[IEEE] 2026-3-19 | AarogyaLLM: LLM Guided DL Framework for Smart Telesurgery Systems in Healthcare with 6G
[IEEE] 2026-3-19 | Task-Oriented Resource Allocation for Image Semantic Communication in Cloud-Network-End Architecture
[IEEE] 2026-3-19 | A Cymbal Transducer as a Single Element Device for Enhanced Cavitation Generation_supp5-3675507.mp4
[IEEE] 2026-3-19 | SemTexIB: Semantic Text Communication with Information Bottleneck: Integrating Rate and Semantic Similarity into Training Objectives
[IEEE] 2026-3-19 | Closed-Form Near-Optimal Signal Detection For Underwater Acoustic Communication Using Student’s t-Distribution Approximation
[IEEE] 2026-3-19 | Code Constructions for DNA-Based Data Storage
[IEEE] 2026-3-19 | Closer is not always better: Hop-based Cooperative Satellite Caching in Ultra-dense LEO Constellation
[IEEE] 2026-3-19 | Attention Driven Reinforcement Learning to Optimize Packet Retransmission in Semantic Communication
[IEEE] 2026-3-19 | Data-Driven Assessment of University Entrance Exams based on Multiple-Choice Questions: Approach for limiting “Ex-aequo” tie situations and random guessing
[IEEE] 2026-3-19 | Joint Lossy Compression for a Vector Gaussian Source under Individual Distortion Criteria
[IEEE] 2026-3-19 | Client-Aware Federated Modeling for Arc Voltage-Based Droplet Transfer Recognition
[IEEE] 2026-3-19 | scBIT: Integrating Single-cell Transcriptomic Data into fMRI-based Prediction for Alzheimer's Disease Diagnosis
[IEEE] 2026-3-19 | Fluid Antenna for MEC Offloading with Game Theory-Assisted Multi-Agent DRL
[IEEE] 2026-3-19 | Class Importance Consistency Matters: Efficient Model Pruning for Long-tailed Recognition Models
[IEEE] 2026-3-19 | Hybrid Machine Learning Framework for Grid-Independent Hydrogen Production Using VESS and Surplus PV
[IEEE] 2026-3-19 | Guest Editorial: Special Issue on Advanced Design and Control of High-Speed Motors
[IEEE] 2026-3-19 | Multimodal Fusion for Industrial Packing Activity Recognition Using Adaptive Weighting Mechanisms
[IEEE] 2026-3-19 | Landmark-Based Localization in OTIS Networks
[IEEE] 2026-3-19 | Which Data Harms My Regression Model: Enhancing Model Performance on Low-Quality Data through Fast Data Attribution
[IEEE] 2026-3-19 | MMHAR-28: Human Action Recognition Across RGB, Thermal, Depth, and Event Modalities
[IEEE] 2026-3-19 | Dead Zone Bilateral Control for High Performance Robotic Teleoperation
[IEEE] 2026-3-19 | Iterative Motion Compensation for Canonical 3D Reconstruction From UAV Plant Images Captured in Windy Conditions
[IEEE] 2026-3-19 | Real-Time RSSI-Based Indoor Localization Using a Two-Stage TinyML Architecture on Edge Devices
[IEEE] 2026-3-19 | Precise Ranging to an Aerial Refueling Coupler Using a DNN-Based Detection Method Based on Monocular Camera Data
[IEEE] 2026-3-19 | VLLM-LAD: Visual Large Language Model for Zero-shot Logical Anomaly Detection
[IEEE] 2026-3-19 | IEEE Network Magazine Publication Information
[IEEE] 2026-3-19 | Silent Guardians: Independent and Secure Decision Tree Evaluation Without Chatter
[IEEE] 2026-3-19 | E-MHSAC: Physical Layer Key Generation in MIMO-RIS Systems Using Deep Reinforcement Learning
[IEEE] 2026-3-19 | Drowsiness Detection &amp; Alert System with Posture Analysis Using OpenCV &amp; MediaPipe
