[2026-04-11 22:33:18] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-10
正在获取论文...
[IEEE] 2026-4-10 | Bandwidth-Efficient Robust Threshold ECDSA in Three Rounds_supp1-3682606.pdf
[IEEE] 2026-4-10 | Design and Optimization of a Grating-Structured Triboelectric Nanogenerator-based Self-Powered Flexible Pressure Sensor
[IEEE] 2026-4-10 | Analytical Design and Decision Tree-Based Excitation Strategies for Low-Profile IPT Systems Insensitive to Angular Misalignment
[IEEE] 2026-4-10 | Transient DC Arc-Flash Incident Energy Calculations for DC Distribution Systems
[IEEE] 2026-4-10 | Interval Stabilization for Switched Stochastic Positive Systems: A State-Dependent Switching Scheme with Convergence Rate Constraint
[IEEE] 2026-4-10 | Spacing-Compensated Measurement of the Acoustoelectric Interaction Constant for Quantitative Current-Density Imaging in Saline and Brain Tissue_supp1-3682610.pdf
[ACM] 2026-4-10 | Localizing Type Errors for Syntactic Sugar by Lifting
[IEEE] 2026-4-10 | Design of an Intelligent Multi-dimensional Price Comparison and Recommendation System Targeting Big Data-Based Price Discrimination
[IEEE] 2026-4-10 | The Impact of Hotel Service Robots on Customer Satisfaction: An Empirical Study Based on the Technology Acceptance Model
[ACM] 2026-4-10 | Mixed Choice in Asynchronous Multiparty Session Types
[IEEE] 2026-4-10 | Pervasive Computing
[IEEE] 2026-4-10 | Sidelobe Suppression in 4-D Antenna Arrays Using Grouped Modulation for Low Probability of Intercept Systems
[IEEE] 2026-4-10 | Make Waves With Young Professionals and Women in Microwaves During IMS2026
[IEEE] 2026-4-10 | 2026 Spring/Summer ARFTG Microwave Measurement Conference
[IEEE] 2026-4-10 | Flexible DC-Traction Power-Supply Systems: Series-Parallel Connected Normally-On SiC JFET-based Medium-Voltage Solid-State Circuit Breaker
[IEEE] 2026-4-10 | Blank Page
[IEEE] 2026-4-10 | Circle-Tracker: Geometry-Constrained Stereo Multi-Object Tracking Under Severe Occlusion and Nonlinear Motion
[IEEE] 2026-4-10 | AI@70: Celebrating Innovations and Shaping the Future
[IEEE] 2026-4-10 | UAVs Formation Control Based on Azimuth-only Passive Positioning
[IEEE] 2026-4-10 | The Risk Analysis of Chinese Credit System Based on Complex Network
[IEEE] 2026-4-10 | Paper Embedding and Application of MDATA Model in Network Security Knowledge Hierarchy
[IEEE] 2026-4-10 | The Impact of Competitive Information on Disease Transmission on Time-Varying Multiple Networks
[IEEE] 2026-4-10 | A Thermally-Aware, Uncertainty-Driven Kalman Filtering Framework for Li-ion Battery Capacity Measurement
[IEEE] 2026-4-10 | CMLE: A Collaborative LoRA-Enhanced Expert Framework for Multimodal Fake News Detection
[IEEE] 2026-4-10 | A Multimodal Remote Sensing Image Registration Framework with Dual-Stream Multiscale Attention and Adaptive Deformation Refinement
[IEEE] 2026-4-10 | IEEE Standard for Speech Recognition and Interaction System for Smart Home--Engineering Specifications for a Listening Room
[IEEE] 2026-4-10 | IEEE Standard for the Performance Evaluation of Software for Smart Television Sets
[IEEE] 2026-4-10 | Smartphone-Enabled Electrochemiluminescence Platform for Non-Invasive Detection of Salivary Biomarkers in Chronic Periodontal Disease
[IEEE] 2026-4-10 | MRAM-Based Analog Computing-In-Memory Macro with Reconfigurable In-Memory Reference ADC
[IEEE] 2026-4-10 | Physics-Guided Machine Learning for Accurate Series and Shunt Resistance Estimation in Photovoltaic Modules
[IEEE] 2026-4-10 | RWW 2027 Call for Papers PAWR
[IEEE] 2026-4-10 | Self-Decoupling And Wide Beamwidth Millimeter-Wave Patch Antenna And Its Application In Wide-Angle Scanning Array
[IEEE] 2026-4-10 | Reference-Based Super-Resolution with Geometry-Aware Transfer
[IEEE] 2026-4-10 | Dynamically-Optimized BLDCM Commutation Method Based on Rotor Magnetic Potential Real-Time Space-Symmetry Regulation
[IEEE] 2026-4-10 | Cutting-Edge Bioanalytical Transducers for Mycotoxin Surveillance: A Review
[IEEE] 2026-4-10 | Map-aided ISAC Beam Design via Active Sensing
[IEEE] 2026-4-10 | IEEE Trans Privacy
[IEEE] 2026-4-10 | Unlock the Benefits
[IEEE] 2026-4-10 | Emerging Tech Ad
[IEEE] 2026-4-10 | IEEE Dataport
[IEEE] 2026-4-10 | Sentiment Analysis Based on Super Learning Multimodal Transformer
[IEEE] 2026-4-10 | MEMS Microbreaker With Electrostatically Actuated Closure and Tunable Electrothermal Reset
[ACM] 2026-4-11 | Deep Sentiment Analysis on Online Learning Tweets Using CNN, LSTM
[IEEE] 2026-4-10 | Top 10 Most Influential Papers in Artificial Intelligence Since 2000
[IEEE] 2026-4-10 | Graph-Augmented Large Language Model Agents: Current Progress and Future Prospects
[IEEE] 2026-4-10 | WiFo-CF: Wireless Foundation Model for CSI Feedback
[IEEE] 2026-4-10 | Environmental Big Data Quality Prediction Based on ARIMA-XGBoost Coupling Model
[IEEE] 2026-4-10 | Genetic Algorithm based Layout Optimization of an Electrical Component Manufacturing Enterprise Workshop
[IEEE] 2026-4-10 | Translation of Research Paper on Multi-level Facial Expression Recognition Based on Deep Convolutional Neural Networks
[IEEE] 2026-4-10 | RF-SP: Location Algorithm for Networked Passive IoT
[IEEE] 2026-4-10 | Numerical Simulation Analysis on Chute Structure of Belt Conveyor
[ACM] 2026-4-10 | Automatic Propagation of Profile Information through the Optimization Pipeline
[ACM] 2026-4-10 | Geo: A Query Rewrite Framework for Graph Pattern Mining
[IEEE] 2026-4-10 | The Influence of Practical Factors on the Cross-Correlation and Brightness Temperature Image in 2-D MAS
[IEEE] 2026-4-10 | High-Precision Close-to-Analog Programming of PCM Cells as Devices for AiMC Edge-AI
[IEEE] 2026-4-10 | Journal of Lightwave Technology Information for Authors
[IEEE] 2026-4-10 | Power-Interruption-Independent Multi-Turn Steering Angle Sensor Based on Dual Magnetic Sensors and Gear Ratio Differentiation
[IEEE] 2026-4-10 | Wavelet Spectral–Spatial Mamba Network for Hyperspectral Image Classification
[IEEE] 2026-4-10 | Mode Discerning Control Generation for Switched Systems with Unknown Exogenous Inputs
[IEEE] 2026-4-10 | AI-Enabled UAV Networks for 6G: A Paradigm Shift
[IEEE] 2026-4-10 | Mechanism Investigation and Optimization of Flow-Induced Vibration in a Nuclear Deaerator Pressure Sustaining Valve Using Multiphysics Simulation
[IEEE] 2026-4-10 | Design and Implementation of Land-Air-Multiunmanned Cooperative Search Simulation System Based on Gazebo
[IEEE] 2026-4-10 | Research on Five-layer Evaluation Strategy of Subjective Questions Based on Manual and AI
[IEEE] 2026-4-10 | Mechanism and Threshold Effect of Transport Infrastructure Empowering Common Prosperity—Based on the SGMM Model
[IEEE] 2026-4-10 | Research on the Application of LDPC Decoding Algorithm Based on Neural Network
[IEEE] 2026-4-10 | GaN-on-Si photonics platform for heterogenous blue lasers: A perspective and feasibility study
[IEEE] 2026-4-10 | On the Performance of Lossless Reciprocal MiLAC Architectures in Multi-User Networks
[IEEE] 2026-4-10 | Deep Reinforcement Learning-Based Active Sensing on a Bicycle for Vehicle Tracking
[IEEE] 2026-4-10 | A Novel Multi-IMU Fusion Positioning Method Using an Adaptive Federated Kalman Filter
[IEEE] 2026-4-10 | Boot Camps at IMS2026 in Boston, MA USA
[IEEE] 2026-4-10 | Cooperative control of multi-electromagnet for hybrid levitation system using adaptive super-twisting sliding mode control with adjacent cross-coupling strategy
[IEEE] 2026-4-10 | Centralized Power Management System for Microgrids Using WAMS-Driven Dynamic Load Shedding and Restoration
[ACM] 2026-4-10 | MetaSpace: Metamorphic Testing for Spatial Cognition in Embodied Agents
[IEEE] 2026-4-10 | A Knowledge-Graph Translation Layer for Mission-Aware Multi-Agent Path Planning in Spatiotemporal Dynamics
[IEEE] 2026-4-10 | Research on Intelligent Recognition Electrocardiogram
[IEEE] 2026-4-10 | The Application of BP ANN Optimized GA in CPW Model and Inverse Model
[IEEE] 2026-4-10 | Cubic-Quartic Optical Solitons in Birefringent Fibers with Non-Local Law Nonlinearity
[IEEE] 2026-4-10 | STEM Outreach and Inclusive Engagement at IMS2026
[ACM] 2026-4-11 | Code Clone Refactoring in C# with Lambda Expressions
[ACM] 2026-4-11 | Architecting A Behavior-Driven Test Automation Framework for CI/CD Environments
[ACM] 2026-4-11 | A Secured Cloud Integration Network Design and Fault Tolerant for file and Application Sharing in a Medium Size Business Environment
[ACM] 2026-4-10 | Understanding and Finding JIT Compiler Performance Bugs
[ACM] 2026-4-10 | CLower: Detecting Compiler Pessimization Bugs through Redundant Memory Accesses
[ACM] 2026-4-10 | Context-Free Language Reachability via Efficient Relation Chaining
[ACM] 2026-4-10 | Static Factorisation of Probabilistic Programs with User-Labelled Sample Statements and While Loops
[ACM] 2026-4-10 | Block Tests
[IEEE] 2026-4-10 | Gait-Synced Translation Gain for Naturalistic VR Motion_supp1-3679906.pdf
[IEEE] 2026-4-10 | Event-Based Referred Vibrotactile Feedback for Bare-Hand XR Interaction
[IEEE] 2026-4-10 | Eccentric Load Disturbance Rejection Method for AC Motor Drives Based on Model and Angle-Domain RBF Neural Network Torque Compensation
[IEEE] 2026-4-10 | Multiphase LLC Resonant Converter with Interleaving, Natural Current-Sharing, and Phase-Shedding
[IEEE] 2026-4-10 | A Novel Single-Stage DC/DC/AC Three-Port Converter with High Efficiency Modulation
[IEEE] 2026-4-10 | IEEE Computer Society Information
[ACM] 2026-4-11 | Authentic Teaching and Assessment: Simulation of an Off-Shoring Project with Geographically Distributed Teams
[ACM] 2026-4-11 | ContextualSHAP : Enhancing SHAP Explanations Through Contextual Language Generation
[IEEE] 2026-4-10 | New England Roots, Global Future: Revolutionizing IEEE Outreach
[IEEE] 2026-4-10 | Cross-Modal Feature Distillation via Sample-Aware Adaptive Masking
[IEEE] 2026-4-10 | Parameters Estimation of Coherently Distributed Source for Devices Location Based on Dual Deep Neural Network
[IEEE] 2026-4-10 | Nonlinear Numerical Simulation and Experiment on Fixed Folding Process of Aluminum Foil Paper
[IEEE] 2026-4-10 | Research on Visual SLAM Algorithm Based on Deep Learning
[IEEE] 2026-4-10 | Sliding Scale? [Microwave Surfing]
[IEEE] 2026-4-10 | Research on Real-Time Image Enhancement Using Generative Adversarial Networks (GAN)
[IEEE] 2026-4-10 | Research on the Technical Framework of Legal Compliance Review of Major Decision-Making based on Large Language Model
[IEEE] 2026-4-10 | Discrete Element Analysis of Bolter Miner Cutting Performance: A Comparative Study of Pick and Drum Cutting
[IEEE] 2026-4-10 | High-Sensitivity Thickness Measurement of Transparent Optical Thin Films via EEMD–Based Fresnel Phase Diffraction
[IEEE] 2026-4-10 | SFS: Spatially-Aware Separability-Driven Feature Selection in Fuzzy Decision Systems_supp1-3679684.pdf
[IEEE] 2026-4-10 | A Pen-Shaped Visual-Tactile Sensor System for Braille Recognition With Multimodal Fusion and LLM-Enhanced Feedback
[IEEE] 2026-4-10 | Low-Frequency Noise Performance of Microstrip-Coupled Lumped-Element Aluminum KIDs Using Hydrogenated Amorphous Silicon Parallel-Plate Capacitors for NEW-MUSIC
[ACM] 2026-4-10 | DeCo: A Core Calculus for Incremental Functional Programming with Generic Data Types
[IEEE] 2026-4-10 | Discrete Interval Car-Following Model and Stability Analysis for Autonomous Vehicles
[IEEE] 2026-4-10 | Research on Forecasting AC Power Output of Photovoltaic Systems Based on a Lightweight Hybrid Transformer-GRU Model
[ACM] 2026-4-10 | (Dis)Proving Spectre Security with Speculation-Passing Style
[ACM] 2026-4-10 | Peeling Off the Cocoon: Unveiling Suppressed Golden Seeds for Mutational Greybox Fuzzing
[IEEE] 2026-4-10 | Mutation-Guided Unit Test Generation with a Large Language Model
[IEEE] 2026-4-10 | A Probabilistic Optimization Framework for Terrestrial and UAV-borne Laser Scanning Forest Point Cloud Registration
[IEEE] 2026-4-10 | PDH-Net: A Parallel Dual-branch Hybrid Network for Camera-based Blood Oxygen Saturation Measurement
[IEEE] 2026-4-10 | IEEE Fellows - Class of 2026 [Society Briefs]
[IEEE] 2026-4-10 | Coupled-Layer Diffusion for Kinodynamic Trajectory Generation_supp1-3682615.mp4
[IEEE] 2026-4-10 | A Standards-Simulation-Evaluation Framework (SSEF) for System-level Modeling and Parameter Optimization of Hydraulic Tensioning Systems
[IEEE] 2026-4-10 | IMS2026 Program Preview
[IEEE] 2026-4-10 | High-Gain Wide-Angle Scanning Array Using Slot-Based Patch Antenna for Ku-Band
[IEEE] 2026-4-10 | Transient Synchronization Stability Analysis of Parallel-Connected Grid-Forming Converters and Grid-Following Stations
[IEEE] 2026-4-10 | A Hybrid Framework for Dynamic Inertia Estimation of Power Grid Considering Virtual Inertia Support From Wind Farms
[IEEE] 2026-4-10 | Decoupling Global and Local Alignments: Dual-Stream Collaborative Regularization for Single-Source Cross-Condition Fault Diagnosis
[IEEE] 2026-4-10 | Physics-Infused Dual-Path Transformer for Single Image Dehazing
[IEEE] 2026-4-10 | The Calculation Method of Damage Probability for Two-Dimensional Trajectory Correction Projectile to Fire Against Sea Target
[IEEE] 2026-4-10 | Multi Parameter Collaborative Optimization Simulation Analysis of Needle Type Heating Module for Heated Smoking Appliances
[IEEE] 2026-4-10 | The Application of Artificial Intelligence in the Model Design of Vocal Recognition System
[IEEE] 2026-4-10 | Study on the Prediction of Staircase Wear Based on Simulated Annealing Algorithm
[IEEE] 2026-4-10 | A Domain-Specific Modeling Environment Configuration Scheme based on Meta-Modeling Technology and its Implementation
[IEEE] 2026-4-10 | Development of Truck Crane Virtual Simulation Experimental Platform Based on Unity3D
[IEEE] 2026-4-10 | Wind Farm and Solar Farm Volatility Optimization Model
[IEEE] 2026-4-10 | A Decade of the Most Engaging Event at IMS: The John Bandler Memorial 3MT Competition Turns 10
[IEEE] 2026-4-10 | Novel Decentralized Load Shedding Algorithm for Preserving Voltage Stability in Smart Grids
[IEEE] 2026-4-10 | DGAE: Dynamic Graph Convolutional Network for Multi-Slice Spatial Transcriptomics Alignment and Enhancement_supp1-3682296.docx
[IEEE] 2026-4-10 | Taylor Weighted Least Squares Phasor Estimation of Electrical Waveforms Affected by Harmonics and Interharmonics
[IEEE] 2026-4-10 | Robust Beamforming Under Beam Split and Angular Uncertainty in Terahertz Communications
[IEEE] 2026-4-10 | Social Network Large-Scale Group Decision-Making Based on Feature Selection and Pseudo-Trust Behavior
[IEEE] 2026-4-10 | Microservice Orchestration with Database for Delay-Sensitive Applications in Cloud-Edge Networks via Deep Reinforcement Learning
[IEEE] 2026-4-10 | Simulation of Magnetic Saturation Characteristics of Pulse Transformer Based on Inverse Jiles–Atherton Model
[IEEE] 2026-4-10 | KG-CMI: Knowledge Graph Enhanced Cross-Mamba Interaction for Medical Visual Question Answering
[IEEE] 2026-4-10 | Adaptive Logarithmic Terminal Sliding-Mode Control With Deep Reinforcement Learning
[IEEE] 2026-4-10 | The MicroApps Seminars: 50+ High-Impact Sessions Driving the Future of RF and Microwave Technology
[ACM] 2026-4-11 | Scrum for Safety-Critical Software Development
[ACM] 2026-4-11 | The Evolution of Agile and Hybrid Project Management Methodologies: A Systematic Literature Review
[ACM] 2026-4-11 | A Software Tool to Support Structured Object-Oriented Programming
[ACM] 2026-4-11 | OmniHands: Robust Motion Capture of Interactive Hands via A Versatile Transformer
[IEEE] 2026-4-10 | Numerical and Experimental Investigation of Eddy Current Losses in Superconducting On-Board Magnets for Electrodynamic Suspension
[IEEE] 2026-4-10 | A Capacitor-Clamped SS Compensated Topology With Inherent Overcurrent Suppression for Inductive Power Transfer
[IEEE] 2026-4-10 | UAV-assisted Dual-hop Mixed IOCAS/RF Relay System
[IEEE] 2026-4-10 | Phase-Enhanced Partially Connected Neural Network for Digital Predistortion in Multi-User MIMO Systems
[IEEE] 2026-4-10 | Topside Ionospheric Characterization and NeQuick2 Model Evaluation Based on Tianmu-1 and COSMIC-2 Observations
[IEEE] 2026-4-10 | High Performance L-band Thermally Tuned Multi-Channel Interference Laser Based on Butt-joint Regrowth with Fast Characterization
[IEEE] 2026-4-10 | RWW 2027 Call for Papers RWS
[IEEE] 2026-4-10 | DreamAssemble: Complex Multi-object Text-to-3D Generation via Multi-Density Neural Fields
[IEEE] 2026-4-10 | Field Reconstruction for High-Frequency Electromagnetic Exposure Assessment Based on Deep Learning
[IEEE] 2026-4-10 | Impact-Safe Martial Arts Training via Secure Digital Twin Standardization and 6G Edge-Enabled Collaborative Computing
[ACM] 2026-4-10 | Detecting Flaky Tests by Controlling Nondeterministic API Behavior
[IEEE] 2026-4-10 | Quantum-Enhanced Deep Learning for Resilient Cyberattack Detection in Smart Grids
[IEEE] 2026-4-10 | Step Into the Spotlight: Become an IMS2026 Student Ambassador in Boston!
[ACM] 2026-4-10 | ATMAD: Agile Transistor Compact Modeling with Parameter Extraction Based on Automatic Differentiation
[ACM] 2026-4-11 | CFAIR: A Cloud-Hosted Commerce System for Managing Fish Products Utilizing Hyperledger Fabric Blockchain for Data Governance
[IEEE] 2026-4-10 | Design and Research on Haulage Reducer of Mining Continuous Shearer
[IEEE] 2026-4-10 | Research on the Impact of Artificial Intelligence Technology Application on Corporate Risk-Taking in Manufacturing Enterprises: Analysis Based on Multiple Linear Regression Model
[IEEE] 2026-4-10 | Analyzing Credibility of Online Product Reviews Using BERT Model
[ACM] 2026-4-10 | Online Input Grammar Synthesis Aided Symbolic Execution
[ACM] 2026-4-10 | Process-Centric Analysis of Agentic Software Systems
[IEEE] 2026-4-10 | Highly Sensitive Optical Fiber Humidity Sensor Based on Cellulose Nanocrystals
[IEEE] 2026-4-10 | Front Cover
[IEEE] 2026-4-10 | Trustworthy Collaborative Inference in Edge LLM Servicing: the Credibility-Aware MoE Scheduling
[IEEE] 2026-4-10 | A Lyapunov-Based Event-Triggered Model Predictive Control Approach for Safe Tracking Control of Discrete-Time Nonlinear Systems
[IEEE] 2026-4-10 | MSG: Multi-Stream Generative Policies for Sample-Efficient Robotic Manipulation_supp1-3682566.mp4
[IEEE] 2026-4-10 | Journal of Lightwave Technology Information for Authors
[IEEE] 2026-4-10 | Influence of Magnetic Field Averaging on Modeling Magnetic Properties of Molecular Nanomagnets
[IEEE] 2026-4-10 | Hyper-Exponential Synchronization of Directed Higher-Order Networks
[ACM] 2026-4-11 | An Application of ChatGPT4o to Generate Requirement Definition Documents and Its Evaluation: An Industrial Case Study
[ACM] 2026-4-11 | A Systematic Literature Review of Workflow Efficiency in Software Development Through the Kanban Framework
[ACM] 2026-4-11 | An Empirical Study on Software Design Inspections - Effectiveness of Software Design Error Taxonomy
[ACM] 2026-4-11 | Strengthening Resilience in DriveCare: A Thorough Assessment of Security Posture
[IEEE] 2026-4-10 | Reduced-Order Modeling for Wake Flow Past Plates Based on Sparse Identification of Nonlinear Dynamics
[ACM] 2026-4-11 | Past, Present, and Future of Bug Tracking in the Generative AI Era
[ACM] 2026-4-10 | A Robust and Efficient Intersection Algorithm for NURBS Surfaces: Handling Small Loops and Tangent Intersections
[ACM] 2026-4-10 | Deegen: A JIT-Capable VM Generator for Dynamic Languages
[ACM] 2026-4-10 | Prunario: Testing Autonomous Driving Systems by Pruning Likely Redundant Scenarios
[ACM] 2026-4-10 | A Minimalist Proof Language for Neural Theorem Proving over Isabelle/HOL
[IEEE] 2026-4-10 | Preface
[IEEE] 2026-4-10 | Minimal Feedback Control Signaling for RIS: Codebook Design and SNR Analysis
[IEEE] 2026-4-10 | Distributed Secure State Estimation Against Byzantine Agents: A Multi-hop Relay-based Sorting and Filtering Method
[IEEE] 2026-4-10 | Spatial-Aware and Viewpoint-Robust Vision-Language Navigation
[IEEE] 2026-4-10 | Conference Calendar
[IEEE] 2026-4-10 | NVMS-SLAM: Normal Vector-based Multi-Session LiDAR SLAM in Indoor Environments
[IEEE] 2026-4-10 | A Preview of Upcoming IMS2026 Panels
[IEEE] 2026-4-10 | Low-Cost Implantable Neurophysiology Recorder for Resource-Limited Settings
[IEEE] 2026-4-10 | Student Paper Competitions at IMS2026
[IEEE] 2026-4-10 | MTT-S Awards and the 2026 IEEE MTT-S Awards Banquet
[IEEE] 2026-4-10 | Hybrid Modeling Calculation for High-Frequency Eddy Current Losses in Windings of Permanent Magnet Machines
[IEEE] 2026-4-10 | TC-14 Technical Committee Report [MTT-S Society News]
[IEEE] 2026-4-10 | Falcon: Event-Driven Hybrid Object Tracking SoC With Bit-Column-Similarity-Based MRAM PIM and Heterogeneous Read-Only-Once Attention Flow
[IEEE] 2026-4-10 | Blank Page
[IEEE] 2026-4-10 | Simplicial Graph-Based Detection and Localization of Cyber Attacks Against Large-Scale Smart Grids
[IEEE] 2026-4-10 | Optimization of Air-gap Profile in Dual-Permanent-Magnet Vernier Motor for Torque Ripple Reduction
[IEEE] 2026-4-10 | A Multi-Standing-Wave Field Microwave Cavity for Compact Cold-Atom Ramsey Clocks
[IEEE] 2026-4-10 | Analysis and Mitigation of Unintentional Reverse Active Power for Grid-Forming Converters During Voltage Sag Recovery
[IEEE] 2026-4-10 | Integrated Actuarial-Heritage Resilience Framework for Mega-Disaster Emergency Management of Urban Cultural Infrastructure
[IEEE] 2026-4-10 | Temperature Uniformity Optimization in Multi-Source Microwave Heating via Topology Reconstruction
[IEEE] 2026-4-10 | Simulation and Optimization of Flow, Heat Transfer and Inclusion Behavior of Four-Strand Tundish
[IEEE] 2026-4-10 | Mathematical Modeling of Parallel Logistics Path Optimization Problem and Its Solution Via Improved Genetic Algorithm
[ACM] 2026-4-11 | Patterns and widgets for collaboration awareness in next-generation groupware
[ACM] 2026-4-11 | A Note on Software Reliability Modeling Based on Hawkes Processes with Gamma Type Base Intensity
[IEEE] 2026-4-10 | A Metal&amp;#x2013;Quartz Composite Nozzle for Stable Electrohydrodynamic Jet Printing on Flexible Substrates_supp1-3680580.docx
[IEEE] 2026-4-10 | Decoupled Characterization of Electro-Opto-Mechanical Transduction—Leveraging Pull-In Hysteresis in NEMS Photonic Modulators
[IEEE] 2026-4-10 | Multi-layer Subspace Knowledge Transfer Framework for Open-set Recognition
[IEEE] 2026-4-10 | Steady-State Security Region Boundary Characterization in Power Systems With Limited Samples: A Geometry-Guided Hybrid Approach
[IEEE] 2026-4-10 | Multi-Omics Graph Attention Network for Key Gene Prediction in Triple-Negative Breast Cancer_supp1-3682485.doc
[IEEE] 2026-4-10 | Active Directional Solidification Control for a Structurally Robust Gallium Fixed-Point Blackbody in High-Accuracy Infrared Calibration
[IEEE] 2026-4-10 | MTT-S Awards Nominations
[IEEE] 2026-4-10 | The IMS2026 Exhibition
[IEEE] 2026-4-10 | A Hybrid Transmission Network Traveling Wave Location Method Based on Fault Deduction and Wave Speed Optimization
[ACM] 2026-4-10 | Scylla: Translating an Applicative Subset of C to Safe Rust
[ACM] 2026-4-10 | Grammar Repair with Examples and Tree Automata
[ACM] 2026-4-10 | Class-Dictionary Specialization with Rank-2 Polymorphic Functions
[ACM] 2026-4-11 | Exploratory Analysis of Audio Features for Dominant Feature Identification: A Multimodal Machine Learning Evaluation of Song Popularity Prediction Using Deep Neural Networks, Clustering, and Regression Models
[ACM] 2026-4-11 | Level of Satisfaction Among Users of the E-Gov Application ‘Sahel’
[IEEE] 2026-4-10 | Numerical Study on the Behavior of Exothermic Processes of Packed Bed Latent Heat Storage
[IEEE] 2026-4-10 | Simulation of the Subchannel Analysis Software DASSH in a Lead Bismuth Eutectic Cooled 19 Pins Rod Bundle
[IEEE] 2026-4-10 | Storage Location Allocation Under Two-Warehouse Coordination
[IEEE] 2026-4-10 | Solution of Elliptical Singular Perturbation Problems on Several Types of Layer Adaptive Meshes
[IEEE] 2026-4-10 | Digital Twin Modeling for the Conveyor Logistics System in the Semi-Finished Product Area of a Cigarette Factory
[IEEE] 2026-4-10 | Space-Time-Frequency Synthetic Integrated Sensing and Communication Networks
[IEEE] 2026-4-10 | Design of Intelligent Energy-Saving Dispatching System for 5G Base Stations Based on Edge Computing
[ACM] 2026-4-10 | FlePo: GPU Multi-task Scheduling Optimization Framework for Dynamic Scenes
[ACM] 2026-4-10 | IRIDIUM: A Framework for Statically Optimizing JavaScript Programs
[ACM] 2026-4-11 | Cross-Process Error Detection in Industrial Screw Driving Operations Using Time Series Classification
[ACM] 2026-4-11 | Employee Performance when Implementing Agile Practices in an IT Workforce
[IEEE] 2026-4-10 | Surface Roughness and Accuracy Optimization in Thin-Walled Components by MDP based Reinforcement Learning Technique_supp1-3681771.pdf
[IEEE] 2026-4-10 | A Lightweight and Secure Semantic Communication Architecture for Edge–IoT–6G Systems
[IEEE] 2026-4-10 | A 124 µW Inductive Sensing SoC With Force and Position Detection for Virtual Buttons
[IEEE] 2026-4-10 | EP-UNet++: Advancing Landslide Monitoring Through Enhanced Remote Sensing Semantic Segmentation
[IEEE] 2026-4-10 | A Wireless Battery-Free Probe-Free Disposable Electrical-Digital-PCR Chip
[IEEE] 2026-4-10 | “Feeling” the Stretch: Enhancing Embodiment in Virtual Arm Elongation through Spatiotemporal Modulation of Visio-Haptic Feedback_supp1-3679123.mp4
[IEEE] 2026-4-10 | Descriptor:
                    <i>Waiting in Line in Virtual Reality Dataset (WAIT)</i>
[IEEE] 2026-4-10 | Controlling Powered Prosthesis Joint Impedance over Continuous Stance Transitions Between Walking and Stair Ascent/Descent
[IEEE] 2026-4-10 | Visualization of Frequency-Varying Mechanical Vibrations via Automatic Resonance Tuning
[IEEE] 2026-4-10 | Adjustable Low-Cost Highly Sensitive Microwave Oscillator Sensor for Liquid Level Detection
[IEEE] 2026-4-10 | AV-DTEC: Self-Supervised Audio-Visual Fusion for Drone 3D Trajectory Estimation and Classification
[IEEE] 2026-4-10 | Cross-Modality Neighborhood Attention Network for Fine-Grained Sketch-Based Image Retrieval
[IEEE] 2026-4-10 | From Symbols to Synapses: The Reemergence of Agency in the Large Language Model Era
[IEEE] 2026-4-10 | Effect of Undercooling, Noise, and Anisotropy on Equiaxed Dendrite Morphology of Steel during Thin-Slab Continuous Casting Process Using Phase-Field Simulation
[IEEE] 2026-4-10 | Characterization of Impact Damage Uncertainty of Composite Materials Based on Bayesian Neural Network
[IEEE] 2026-4-10 | Numerical Analysis of the Elastic Waves De-Icing Mechanism Under Impact Loading
[IEEE] 2026-4-10 | A Fast Detection Method for Joint Bearing Defects of Industrial Robot Based on Time-Frequency-Optimized Blind Deconvolution
[ACM] 2026-4-10 | Differential Execution with Lexical Tracing
[ACM] 2026-4-10 | Software Artifact for &amp;quot;CMakeSonar: A Static Approach to Detecting CMake Bugs with a Fine-Grained Type System&amp;quot;
[IEEE] 2026-4-10 | Multi-Layer Network Node Clustering based on Adaptive Layer Aggregation
[IEEE] 2026-4-10 | Optimization and Computational Performance Analysis of Particle Swarm Optimization Algorithm in Heavy Metal Atmospheric Deposition Transport Modeling
[IEEE] 2026-4-10 | Attitude Control of Service Spacecraft Using Flexible Rod to Detumble a Non-Cooperative Rotating Satellite
[IEEE] 2026-4-10 | Research on Face Recognition Based on Optimal Mean Cosine Angle 2DPCA
[IEEE] 2026-4-10 | CAMO: A Cognitive Architecture for Manufacturing Optimization Integrating Artificial Intelligence and Algorithms
[IEEE] 2026-4-10 | Wavelength-Tunable Self-Pulsed Tm:GdScO₃ Laser Using an Intracavity Birefringent Filter
[IEEE] 2026-4-10 | Wave-Equation Diffraction Imaging Using Recursive Beamforming and Envelope Multiplication
[IEEE] 2026-4-10 | Nash Equilibrium Verification of Inverse Linear-Quadratic Differential Games Over Networks
[IEEE] 2026-4-10 | IMS2026 Amateur Radio Reception: New Radio Frontiers and Old Radio Friends
[IEEE] 2026-4-10 | EIRP-Based Ray Tracing Simulation and Experimental EMF Exposure Assessment of Operational 5G-NR MaMIMO Base Stations
[IEEE] 2026-4-10 | A Multi-Scale Feature Fusion Method Based on DenseNet for UWB Radar Gesture Recognition
[IEEE] 2026-4-10 | Welcome to IMS2026 in Boston! [From the Editor's Desk]
[IEEE] 2026-4-10 | Journal of Lightwave Technology Information for Authors
