[2026-02-04 09:31:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-03
正在获取论文...
[arXiv] 2026-02-03 | Mići Princ -- A Little Boy Teaching Speech Technologies the Chakavian Dialect
[arXiv] 2026-02-03 | Model-based Optimal Control for Rigid-Soft Underactuated Systems
[arXiv] 2026-02-03 | Surface Density of Disk Galaxies in MOND
[arXiv] 2026-02-03 | CoCoEmo: Composable and Controllable Human-Like Emotional TTS via Activation Steering
[arXiv] 2026-02-03 | Möbius Disjointness Conjecture for a skew product on a circle and the Heisenberg nilmanifold
[arXiv] 2026-02-03 | Enhancing Navigation Efficiency of Quadruped Robots via Leveraging Personal Transportation Platforms
[arXiv] 2026-02-03 | Exploring Hyperon Skyrme Forces in Multi-$Λ$ Hypernuclei and Neutron Star Matter
[arXiv] 2026-02-03 | Seeing Through the Chain: Mitigate Hallucination in Multimodal Reasoning Models via CoT Compression and Contrastive Preference Optimization
[arXiv] 2026-02-03 | SEW: Strengthening Robustness of Black-box DNN Watermarking via Specificity Enhancement
[arXiv] 2026-02-03 | Unifying Watermarking via Dimension-Aware Mapping
[arXiv] 2026-02-03 | Entanglement Islands, Page curves and Phase Transitions of Kerr-AdS Black Holes
[arXiv] 2026-02-03 | Collectivity Signatures in High-Multiplicity pp Collisions from Hybrid Hydro+Tsallis Modeling of Pion Spectra
[arXiv] 2026-02-03 | How Spontaneous Electrowetting and Surface Charge affect Drop Motion
[arXiv] 2026-02-03 | Z3D: Zero-Shot 3D Visual Grounding from Images
[arXiv] 2026-02-03 | QASM: A Novel Framework for QUIC-Aware Stateful Middleboxes
[arXiv] 2026-02-03 | Local profiles of self-similar solutions of the planar stationary Navier--Stokes equations
[arXiv] 2026-02-03 | Vigemers: on the number of $k$-mers sharing the same XOR-based minimizer
[arXiv] 2026-02-03 | GuardReasoner-Omni: A Reasoning-based Multi-modal Guardrail for Text, Image, and Video
[arXiv] 2026-02-03 | Pi-GS: Sparse-View Gaussian Splatting with Dense π^3 Initialization
[arXiv] 2026-02-03 | To Search or Not to Search: Aligning the Decision Boundary of Deep Search Agents via Causal Intervention
[arXiv] 2026-02-03 | Decoherence-protected entangling gates in a silicon carbide quantum node
[arXiv] 2026-02-03 | POP: Prefill-Only Pruning for Efficient Large Model Inference
[arXiv] 2026-02-03 | Comprehensive Numerical Studies of Barren Plateau and Overparametrization in Variational Quantum Algorithm
[arXiv] 2026-02-03 | Universal Approximation of Continuous Functionals on Compact Subsets via Linear Measurements and Scalar Nonlinearities
[arXiv] 2026-02-03 | Rejecting Arguments Based on Doubt in Structured Bipolar Argumentation
[arXiv] 2026-02-03 | MeetBench-XL: Calibrated Multi-Dimensional Evaluation and Learned Dual-Policy Agents for Real-Time Meetings
[arXiv] 2026-02-03 | Global Geometry Is Not Enough for Vision Representations
[arXiv] 2026-02-03 | On Complete Categorical Semantics for Effect Handlers
[arXiv] 2026-02-03 | Unveiling Covert Toxicity in Multimodal Data via Toxicity Association Graphs: A Graph-Based Metric and Interpretable Detection Framework
[arXiv] 2026-02-03 | CSR-Bench: A Benchmark for Evaluating the Cross-modal Safety and Reliability of MLLMs
[arXiv] 2026-02-03 | Principled Federated Random Forests for Heterogeneous Data
[arXiv] 2026-02-03 | GraDE: A Graph Diffusion Estimator for Frequent Subgraph Discovery in Neural Architectures
[arXiv] 2026-02-03 | Accordion-Thinking: Self-Regulated Step Summaries for Efficient and Readable LLM Reasoning
[arXiv] 2026-02-03 | Deterministic and randomized Kaczmarz methods for $AXB=C$ with applications to color image restoration
[arXiv] 2026-02-03 | Omnidirectional Solid-State mmWave Radar Perception for UAV Power Line Collision Avoidance
[arXiv] 2026-02-03 | Spiral RoPE: Rotate Your Rotary Positional Embeddings in the 2D Plane
[arXiv] 2026-02-03 | PokeFusion Attention: Enhancing Reference-Free Style-Conditioned Generation
[arXiv] 2026-02-03 | Beyond Quantity: Trajectory Diversity Scaling for Code Agents
[arXiv] 2026-02-03 | Blinded sample size re-estimation accounting for uncertainty in mid-trial estimation
[arXiv] 2026-02-03 | Hand3R: Online 4D Hand-Scene Reconstruction in the Wild
[arXiv] 2026-02-03 | From Single Scan to Sequential Consistency: A New Paradigm for LIDAR Relocalization
[arXiv] 2026-02-03 | Bivariate Hardy-Sobolev Inequality and Its Sharp Stability
[arXiv] 2026-02-03 | LSGQuant: Layer-Sensitivity Guided Quantization for One-Step Diffusion Real-World Video Super-Resolution
[arXiv] 2026-02-03 | An algebraic approach to the existence of valuative interpolation
[arXiv] 2026-02-03 | Adversarial construction as a potential solution to the experiment design problem in large task spaces
[arXiv] 2026-02-03 | StepScorer: Accelerating Reinforcement Learning with Step-wise Scoring and Psychological Regret Modeling
[arXiv] 2026-02-03 | The Simplicial Geometry of Integer Partitions: An Exact $O(1)$ Formula via $A_{k-1}$ Root Systems
[arXiv] 2026-02-03 | Human-in-the-loop Adaptation in Group Activity Feature Learning for Team Sports Video Retrieval
[arXiv] 2026-02-03 | Internet of Agentic AI: Incentive-Compatible Distributed Teaming and Workflow
[arXiv] 2026-02-03 | What Makes a Good Example? Modeling Exemplar Selection with Neural Network Representations
[arXiv] 2026-02-03 | FSOD-VFM: Few-Shot Object Detection with Vision Foundation Models and Graph Diffusion
[arXiv] 2026-02-03 | Enhanced Parcel Arrival Forecasting for Logistic Hubs: An Ensemble Deep Learning Approach
[arXiv] 2026-02-03 | Contrastive Concept-Tree Search for LLM-Assisted Algorithm Discovery
[arXiv] 2026-02-03 | Cyber Insurance, Audit, and Policy: Review, Analysis and Recommendations
[arXiv] 2026-02-03 | Electron chirality and hydrodynamic helicity: Analysis in the atomic limit
[arXiv] 2026-02-03 | Opposite amplitude phase entropy responses at a non Hermitian avoided crossing
[arXiv] 2026-02-03 | One Model, All Roles: Multi-Turn, Multi-Agent Self-Play Reinforcement Learning for Conversational Social Intelligence
[arXiv] 2026-02-03 | Regulated $L^2$ Norm on Certain Wild Higgs Bundles Over $\mathbb{CP}^1$
[arXiv] 2026-02-03 | Consensus Group Relative Policy Optimization for Text Generation
[arXiv] 2026-02-03 | Maintaining the Heterogeneity in the Organization of Software Engineering Research
[arXiv] 2026-02-03 | Generative Artificial Intelligence creates delicious, sustainable, and nutritious burgers
[arXiv] 2026-02-03 | Training and Simulation of Quadrupedal Robot in Adaptive Stair Climbing for Indoor Firefighting: An End-to-End Reinforcement Learning Approach
[arXiv] 2026-02-03 | Geometry-Preserving Neural Architectures on Manifolds with Boundary
[arXiv] 2026-02-03 | The orbital parameters of gamma-ray binary PSR~J2032+4127
[arXiv] 2026-02-03 | FlashSinkhorn: IO-Aware Entropic Optimal Transport
[arXiv] 2026-02-03 | Evaluating LLMs When They Do Not Know the Answer: Statistical Evaluation of Mathematical Reasoning via Comparative Signals
[arXiv] 2026-02-03 | Unified Inference Framework for Single and Multi-Player Performative Prediction: Method and Asymptotic Optimality
[arXiv] 2026-02-03 | Equilibrium measures for higher dimensional rotationally symmetric Riesz gases
[arXiv] 2026-02-03 | Norms and Hermitian $\mathrm{K}$-Theory
[arXiv] 2026-02-03 | Using OPTiMEM and the Heat Conjecture to Estimate Future Social Cost of Greenhouse Gases
[arXiv] 2026-02-03 | VOILA: Value-of-Information Guided Fidelity Selection for Cost-Aware Multimodal Question Answering
[arXiv] 2026-02-03 | RPL: Learning Robust Humanoid Perceptive Locomotion on Challenging Terrains
[arXiv] 2026-02-03 | Calculating Feynman diagrams with matrix product states
[arXiv] 2026-02-03 | SAGE-5GC: Security-Aware Guidelines for Evaluating Anomaly Detection in the 5G Core Network
[arXiv] 2026-02-03 | High-Resolution Underwater Camouflaged Object Detection: GBU-UCOD Dataset and Topology-Aware and Frequency-Decoupled Networks
[arXiv] 2026-02-03 | APEX: Probing Neural Networks via Activation Perturbation
[arXiv] 2026-02-03 | Optimization and Generation in Aerodynamics Inverse Design
[arXiv] 2026-02-03 | Low-Complexity Distributed Combining Design for Near-Field Cell-Free XL-MIMO Systems
[arXiv] 2026-02-03 | Use Graph When It Needs: Efficiently and Adaptively Integrating Retrieval-Augmented Generation with Graphs
[arXiv] 2026-02-03 | Euclid. Properties and performance of the NISP signal estimator
[arXiv] 2026-02-03 | NPCNet: Navigator-Driven Pseudo Text for Deep Clustering of Early Sepsis Phenotyping
[arXiv] 2026-02-03 | Regularity of compact convex sets--classical and noncommutative
[arXiv] 2026-02-03 | Asymptotic behavior of solutions to a planar Hartree equation with isolated singularities
[arXiv] 2026-02-03 | Cut to the Mix: Simple Data Augmentation Outperforms Elaborate Ones in Limited Organ Segmentation Datasets
[arXiv] 2026-02-03 | Can Large Language Models Generalize Procedures Across Representations?
[arXiv] 2026-02-03 | Group Selection as a Safeguard Against AI Substitution
[arXiv] 2026-02-03 | Robust Representation Learning in Masked Autoencoders
[arXiv] 2026-02-03 | Kinematic Signatures in the Stellar Halo from Cosmological Encounters between the Milky Way and its Clouds
[arXiv] 2026-02-03 | ZOR filters: fast and smaller than fuse filters
[arXiv] 2026-02-03 | Dynamic similarity of vortex shedding in a superfluid flowing past a penetrable obstacle
[arXiv] 2026-02-03 | Torsion groups of elliptic curves that appear infinitely often over septic fields
[arXiv] 2026-02-03 | Generative Decompression: Optimal Lossy Decoding Against Distribution Mismatch
[arXiv] 2026-02-03 | Shells and bubbles around compact clusters of massive stars: 3D MHD simulations
[arXiv] 2026-02-03 | n-th Tropical Nevanlinna Theory
[arXiv] 2026-02-03 | Similarities and differences between solar and stellar flare pulsation processes
[arXiv] 2026-02-03 | Atmospheric characterization of HIP 67522 b with VLT/CRIRES+. VLT/CRIRES+ suggests a heavier planet and hints at deuterium fractionation
[arXiv] 2026-02-03 | Synthetic Data Augmentation for Medical Audio Classification: A Preliminary Evaluation
[arXiv] 2026-02-03 | JWST Discovery of High-Velocity Mid-Infrared Ionized Outflows in Ultraluminous Infrared Galaxies F11119+3257 and F05189-2524
[arXiv] 2026-02-03 | On the maximal perimeter of isotropic log-concave probability measures
[arXiv] 2026-02-03 | AutoFigure: Generating and Refining Publication-Ready Scientific Illustrations
[arXiv] 2026-02-03 | Deep-learning-based pan-phenomic data reveals the explosive evolution of avian visual disparity
[arXiv] 2026-02-03 | Adaptive Evidence Weighting for Audio-Spatiotemporal Fusion
[arXiv] 2026-02-03 | Conformal Thinking: Risk Control for Reasoning on a Compute Budget
[arXiv] 2026-02-03 | Vacancy defects in square-triangle tilings and their implications for quasicrystals formed by square-shoulder particles
[arXiv] 2026-02-03 | 3D-Aware Implicit Motion Control for View-Adaptive Human Video Generation
[arXiv] 2026-02-03 | Understanding Agent Scaling in LLM-Based Multi-Agent Systems via Diversity
[arXiv] 2026-02-03 | Should I use Synthetic Data for That? An Analysis of the Suitability of Synthetic Data for Data Sharing and Augmentation
[arXiv] 2026-02-03 | The Mpemba effect in the Descartes protocol: A time-delayed Newton's law of cooling approach
[arXiv] 2026-02-03 | Inference-time Unlearning Using Conformal Prediction
[arXiv] 2026-02-03 | AOrchestra: Automating Sub-Agent Creation for Agentic Orchestration
[arXiv] 2026-02-03 | From Pre- to Intra-operative MRI: Predicting Brain Shift in Temporal Lobe Resection for Epilepsy Surgery
[arXiv] 2026-02-03 | Context Compression via Explicit Information Transmission
[arXiv] 2026-02-03 | A Scene Graph Backed Approach to Open Set Semantic Mapping
[arXiv] 2026-02-03 | Reward Redistribution for CVaR MDPs using a Bellman Operator on L-infinity
[arXiv] 2026-02-03 | Minimum Number of Monochromatic Subgraphs of a Random Graph
[arXiv] 2026-02-03 | Reasoning with Latent Tokens in Diffusion Language Models
[arXiv] 2026-02-03 | Optimizing Weighted Hodge Laplacian Flows on Simplicial Complexes
[arXiv] 2026-02-03 | Zero-shot large vision-language model prompting for automated bone identification in paleoradiology x-ray archives
[arXiv] 2026-02-03 | Factor-balancedness, linear recurrence, and factor complexity
[arXiv] 2026-02-03 | Emergence of magnetic excitations in one-dimensional quantum mixtures under confinement
[arXiv] 2026-02-03 | RegionReasoner: Region-Grounded Multi-Round Visual Reasoning
[arXiv] 2026-02-03 | Distributed Phase-Insensitive Displacement Sensing
[arXiv] 2026-02-03 | Generation and Expansion-Driven Growth of Switchbacks in the Outer Solar Corona and Solar Wind
[arXiv] 2026-02-03 | Multimodal Generative Recommendation for Fusing Semantic and Collaborative Signals
[arXiv] 2026-02-03 | Quantum Computing for Electronic Circular Dichroism Spectrum Prediction of Chiral Molecules
[arXiv] 2026-02-03 | Stochastic Dynamics of Diffusive Memristor Blocks for Neuromorphic Computing
[arXiv] 2026-02-03 | OCRTurk: A Comprehensive OCR Benchmark for Turkish
[arXiv] 2026-02-03 | Bringing Reasoning to Generative Recommendation Through the Lens of Cascaded Ranking
[arXiv] 2026-02-03 | Point Vortex Dynamics on Closed Surfaces
[arXiv] 2026-02-03 | Instantaneous Spectra Analysis of Pulse Series - Application to Lung Sounds with Abnormalities
[arXiv] 2026-02-03 | mopri - An Analysis Framework for Unveiling Privacy Violations in Mobile Apps
[arXiv] 2026-02-03 | MM-SCALE: Grounded Multimodal Moral Reasoning via Scalar Judgment and Listwise Alignment
[arXiv] 2026-02-03 | RIPPLE: Lifecycle-aware Embedding of Service Function Chains in Multi-access Edge Computing
[arXiv] 2026-02-03 | Sequential Group Composition: A Window into the Mechanics of Deep Learning
[arXiv] 2026-02-03 | Noisy nonlocal aggregation model with gradient flow structures
[arXiv] 2026-02-03 | Ab initio Phase Diagram of Ta2O5
[arXiv] 2026-02-03 | A Comparison of Set-Based Observers for Nonlinear Systems
[arXiv] 2026-02-03 | Reinforcement Fine-Tuning for History-Aware Dense Retriever in RAG
[arXiv] 2026-02-03 | On the criticality and the principal eigenvalue of almost periodic elliptic operators
[arXiv] 2026-02-03 | The R-Shilov boundary for a local operator space
[arXiv] 2026-02-03 | Numerical Computations Concerning Landau-Siegel Zeros
[arXiv] 2026-02-03 | Toward a new AI winter? How diffusion of technological innovation on networks leads to chaotic boom-bust cycles
[arXiv] 2026-02-03 | A Lightweight Library for Energy-Based Joint-Embedding Predictive Architectures
[arXiv] 2026-02-03 | Convolutional Neural Networks for classifying galaxy mergers: Can faint tidal features aid in classifying mergers?
[arXiv] 2026-02-03 | Existence and partial regularity of suitable weak solutions to the 3D Navier-Stokes-Vlasov-Fokker-Planck equations
[arXiv] 2026-02-03 | How to Train Your Resistive Network: Generalized Equilibrium Propagation and Analytical Learning
[arXiv] 2026-02-03 | Accelerating Scientific Research with Gemini: Case Studies and Common Techniques
[arXiv] 2026-02-03 | Evaluating Quantum Wire Cutting for QAOA: Performance Benchmarks in Ideal and Noisy Environments
[arXiv] 2026-02-03 | Seeing Wiggles without Seeing Wiggles: BAO Recovery in 21 cm Intensity Mapping with Deep Learning
[arXiv] 2026-02-03 | Values of finite distortion: Reshetnyak's theorem and the Lusin (N) -property
[arXiv] 2026-02-03 | Gen-Diaolou: An Integrated AI-Assisted Interactive System for Diachronic Understanding and Preservation of the Kaiping Diaolou
[arXiv] 2026-02-03 | Learning Fast Monomial Orders for Gröbner Basis Computations
[arXiv] 2026-02-03 | Temperature driven false vacuum decay in coherently coupled Bose superfluids
[arXiv] 2026-02-03 | Fast Sampling for Flows and Diffusions with Lazy and Point Mass Stochastic Interpolants
[arXiv] 2026-02-03 | An Evaluation of the Remote CX Protocol under Noise in Distributed Quantum Computing
[arXiv] 2026-02-03 | Dynamics of the leftmost particle in heterogeneous semi-infinite exclusion systems
[arXiv] 2026-02-03 | A Minimal Task Reveals Emergent Path Integration and Object-Location Binding in a Predictive Sequence Model
[arXiv] 2026-02-03 | DeepDFA: Injecting Temporal Logic in Deep Learning for Sequential Subsymbolic Applications
[arXiv] 2026-02-03 | Self-Verification Dilemma: Experience-Driven Suppression of Overused Checking in LLM Reasoning
[arXiv] 2026-02-03 | ScDiVa: Masked Discrete Diffusion for Joint Modeling of Single-Cell Identity and Expression
[arXiv] 2026-02-03 | TactDeform: Finger Pad Deformation Inspired Spatial Tactile Feedback for Virtual Geometry Exploration
[arXiv] 2026-02-03 | The Dual Role of Abstracting over the Irrelevant in Symbolic Explanations: Cognitive Effort vs. Understanding
[arXiv] 2026-02-03 | Multipath Extended Target Tracking with Labeled Random Finite Sets
[arXiv] 2026-02-03 | Soft-Radial Projection for Constrained End-to-End Learning
[arXiv] 2026-02-03 | Emergent 3D Fermiology and Magnetism in an Intercalated Van der Waals System
[arXiv] 2026-02-03 | $λ$-ring structure in differential K-theory
[arXiv] 2026-02-03 | Nanoscale spin-wave frequency-selective limiter for 5G technology
[arXiv] 2026-02-03 | Acceleration of Atomistic NEGF: Algorithms, Parallelization, and Machine Learning
[arXiv] 2026-02-03 | Classifying Causal Nonlinear Electrodynamics via $\varphi$-Parity and Irrelevant Deformations
[arXiv] 2026-02-03 | RankSteer: Activation Steering for Pointwise LLM Ranking
[arXiv] 2026-02-03 | AesRec: A Dataset for Aesthetics-Aligned Clothing Outfit Recommendation
[arXiv] 2026-02-03 | Verified Critical Step Optimization for LLM Agents
[arXiv] 2026-02-03 | The ESO SupJup Survey IX: Isotopic evidence of a recent formation for Luhman 16AB
[arXiv] 2026-02-03 | Deep-Learning-Based Control of a Decoupled Two-Segment Continuum Robot for Endoscopic Submucosal Dissection
[arXiv] 2026-02-03 | A Unified SVD-Modal Solution for Sparse Sound Field Reconstruction with Hybrid Spherical-Linear Microphone Arrays
[arXiv] 2026-02-03 | The asymmetric structure of the inner disc around HD 142527 A with VLTI/MATISSE
[arXiv] 2026-02-03 | Forcing and classes of $\mathsf{HYP}$-dominating functions
[arXiv] 2026-02-03 | On the Fano dimension of an Enriques surface
[arXiv] 2026-02-03 | Dynamic Topology Optimization for Non-IID Data in Decentralized Learning
[arXiv] 2026-02-03 | Emulating galaxy and peculiar velocity clustering on non-linear scales
[arXiv] 2026-02-03 | Zak phase and bulk-boundary correspondence in a generalized Dirac-Kronig-Penney model
[arXiv] 2026-02-03 | SLIM-Diff: Shared Latent Image-Mask Diffusion with Lp loss for Data-Scarce Epilepsy FLAIR MRI
[arXiv] 2026-02-03 | Learning-based Adaptive Control of Quadruped Robots for Active Stabilization on Moving Platforms
[arXiv] 2026-02-03 | Scaling laws for rockfall impact fragmentation emerging from diverse lithologies
[arXiv] 2026-02-03 | GFlowPO: Generative Flow Network as a Language Model Prompt Optimizer
[arXiv] 2026-02-03 | Achieving Linear Speedup for Composite Federated Learning
[arXiv] 2026-02-03 | On characteristic foliations of metric contact-symplectic structures
[arXiv] 2026-02-03 | Building Interpretable Models for Moral Decision-Making
[arXiv] 2026-02-03 | Manipulation via Force Distribution at Contact
[arXiv] 2026-02-03 | Addressing the World War 2 Warm Anomaly in HadSST.4.2.0.0
[arXiv] 2026-02-03 | Dynamics of Implicit Time-Invariant Max-Min-Plus-Scaling Discrete-Event Systems
[arXiv] 2026-02-03 | From Inexact Gradients to Byzantine Robustness: Acceleration and Optimization under Similarity
[arXiv] 2026-02-03 | MedSAM-Agent: Empowering Interactive Medical Image Segmentation with Multi-turn Agentic Reinforcement Learning
[arXiv] 2026-02-03 | Multiparameter Uncertainty Mapping in Quantitative Molecular MRI using a Physics-Structured Variational Autoencoder (PS-VAE)
[arXiv] 2026-02-03 | Invisible Clean-Label Backdoor Attacks for Generative Data Augmentation
[arXiv] 2026-02-03 | RDT2: Exploring the Scaling Limit of UMI Data Towards Zero-Shot Cross-Embodiment Generalization
[arXiv] 2026-02-03 | Entropy-Gated Selective Policy Optimization:Token-Level Gradient Allocation for Hybrid Training of Large Language Models
[arXiv] 2026-02-03 | Learning to Select: Query-Aware Adaptive Dimension Selection for Dense Retrieval
[arXiv] 2026-02-03 | Robust Interlayer Exciton Interplay in Twisted van der Waals Heterotrilayer on a Broadband Bragg Reflector up to Room Temperature
[arXiv] 2026-02-03 | Periodic Regularized Q-Learning
[arXiv] 2026-02-03 | R1-SyntheticVL: Is Synthetic Data from Generative Models Ready for Multimodal Large Language Model?
[arXiv] 2026-02-03 | An Algorithm for Monitoring Edge-geodetic Sets in Chordal Graphs
[arXiv] 2026-02-03 | Time Is All It Takes: Spike-Retiming Attacks on Event-Driven Spiking Neural Networks
[arXiv] 2026-02-03 | Orthogonal Approximate Message Passing Algorithms for Rectangular Spiked Matrix Models with Rotationally Invariant Noise
[arXiv] 2026-02-03 | Physics-Based Learning of the Wave Speed Landscape in Complex Media
[arXiv] 2026-02-03 | Thermodynamic state variables from a minimal set of quantum constituents
[arXiv] 2026-02-03 | Six-Minute Man Sander Eitrem 5:58.52 -- first man below the 6:00.00 barrier
[arXiv] 2026-02-03 | On a conjecture about the strong odd chromatic number of planar graphs
[arXiv] 2026-02-03 | LaVPR: Benchmarking Language and Vision for Place Recognition
[arXiv] 2026-02-03 | Pushing and Pulling Ponderomotive Forces in Wavepackets and Beat Waves
[arXiv] 2026-02-03 | Squares in arithmetic progression over quadratic extensions of number fields
[arXiv] 2026-02-03 | A thin and soft optical tactile sensor for highly sensitive object perception
[arXiv] 2026-02-03 | InstaDrive: Instance-Aware Driving World Models for Realistic and Consistent Video Generation
[arXiv] 2026-02-03 | Non-homothetic complete periodic contact forms with constant Tanaka--Webster scalar curvature
[arXiv] 2026-02-03 | Confrontation with the West and Long-Run Economic and Institutional Outcomes: Evidence from Iran
[arXiv] 2026-02-03 | Topology Matters: A Cautionary Case Study of Graph SSL on Neuro-Inspired Benchmarks
[arXiv] 2026-02-03 | Latent Neural-ODE for Model-Informed Precision Dosing: Overcoming Structural Assumptions in Pharmacokinetics
[arXiv] 2026-02-03 | Spectral Evolution Search: Efficient Inference-Time Scaling for Reward-Aligned Image Generation
[arXiv] 2026-02-03 | HUSKY: Humanoid Skateboarding System via Physics-Aware Whole-Body Control
[arXiv] 2026-02-03 | Sparsity is Combinatorial Depth: Quantifying MoE Expressivity via Tropical Geometry
[arXiv] 2026-02-03 | From Scalar Rewards to Potential Trends: Shaping Potential Landscapes for Model-Based Reinforcement Learning
[arXiv] 2026-02-03 | Prompt Augmentation Scales up GRPO Training on Mathematical Reasoning
[arXiv] 2026-02-03 | StreamShield: A Production-Proven Resiliency Solution for Apache Flink at ByteDance
[arXiv] 2026-02-03 | DynSplit-KV: Dynamic Semantic Splitting for KVCache Compression in Efficient Long-Context LLM Inference
[arXiv] 2026-02-03 | Surpassing the currently achievable distance of quantum key distribution based on sending-or-not-sending approach
[arXiv] 2026-02-03 | Online Conformal Prediction via Universal Portfolio Algorithms
[arXiv] 2026-02-03 | MemCast: Memory-Driven Time Series Forecasting with Experience-Conditioned Reasoning
[arXiv] 2026-02-03 | Intelligent Front-End Personalization: AI-Driven UI Adaptation
[arXiv] 2026-02-03 | FASA: Frequency-aware Sparse Attention
[arXiv] 2026-02-03 | Homodular pseudofunctors and bicategories of modules
[arXiv] 2026-02-03 | General Agents Contain World Models, even under Partial Observability and Stochasticity
[arXiv] 2026-02-03 | Self-Hinting Language Models Enhance Reinforcement Learning
[arXiv] 2026-02-03 | Analyzing Zigbee Traffic: Datasets, Classification and Storage Trade-offs
[arXiv] 2026-02-03 | Diversity-Preserved Distribution Matching Distillation for Fast Visual Synthesis
[arXiv] 2026-02-03 | SATORIS-N: Spectral Analysis based Traffic Observation Recovery via Informed Subspaces and Nuclear-norm minimization
[arXiv] 2026-02-03 | Phase transitions with bounded index: Parallels to De Giorgi's conjecture
[arXiv] 2026-02-03 | Associative Rota--Baxter operators on the Sweedler algebra $H_4$
[arXiv] 2026-02-03 | Digital Lifelong Learning in the Age of AI: Trends and Insights
[arXiv] 2026-02-03 | ChemPro: A Progressive Chemistry Benchmark for Large Language Models
[arXiv] 2026-02-03 | Gromov Wasserstein Optimal Transport for Semantic Correspondences
[arXiv] 2026-02-03 | Risky-Bench: Probing Agentic Safety Risks under Real-World Deployment
[arXiv] 2026-02-03 | Resource-efficient quantum simulation of transport phenomena via Hamiltonian embedding
[arXiv] 2026-02-03 | De-conflating Preference and Qualification: Constrained Dual-Perspective Reasoning for Job Recommendation with Large Language Models
[arXiv] 2026-02-03 | Test-time Recursive Thinking: Self-Improvement without External Feedback
[arXiv] 2026-02-03 | "Why I Took the Blackpill": A Thematic Analysis of the Radicalization Process in Incel Communities
[arXiv] 2026-02-03 | Straggler-Aware Coded Polynomial Aggregation
[arXiv] 2026-02-03 | TMS: Trajectory-Mixed Supervision for Reward-Free, On-Policy SFT
[arXiv] 2026-02-03 | Towards Weak Stratification for Logics of Definitions
[arXiv] 2026-02-03 | Finding Optimal Video Moment without Training: Gaussian Boundary Optimization for Weakly Supervised Video Grounding
[arXiv] 2026-02-03 | From semantic memory to collective creativity: A generative cognitive foundation for social creativity models
[arXiv] 2026-02-03 | Shortcut Features as Top Eigenfunctions of NTK: A Linear Neural Network Case and More
[arXiv] 2026-02-03 | JRDB-Pose3D: A Multi-person 3D Human Pose and Shape Estimation Dataset for Robotics
[arXiv] 2026-02-03 | The Small Dispersion Limit of the Intermediate Long Wave Equation via Semiclassical Soliton Ensembles
[arXiv] 2026-02-03 | Inverse Design of Tunable Infrared Metasurface Absorbers via a Conditional Wasserstein Generative Adversarial Network
[arXiv] 2026-02-03 | Towards Considerate Embodied AI: Co-Designing Situated Multi-Site Healthcare Robots from Abstract Concepts to High-Fidelity Prototypes
[arXiv] 2026-02-03 | SAFE-KD: Risk-Controlled Early-Exit Distillation for Vision Backbones
[arXiv] 2026-02-03 | DF-LoGiT: Data-Free Logic-Gated Backdoor Attacks in Vision Transformers
[arXiv] 2026-02-03 | HP-GAN: Harnessing pretrained networks for GAN improvement with FakeTwins and discriminator consistency
[arXiv] 2026-02-03 | MUSE: A Multi-agent Framework for Unconstrained Story Envisioning via Closed-Loop Cognitive Orchestration
[arXiv] 2026-02-03 | Symmetrization of the Maxwell--Neumann--Poincar'e operator, spectral decomposition in $\mathbf{H}(\mathrm{curl},D)$ traces, and boundary localisation of SPRs
[arXiv] 2026-02-03 | Tuning current flow in superconducting thin film strips by control wires. Applications to single photon detectors and diodes
[arXiv] 2026-02-03 | Invisible Users in Digital Health: A Scoping Review of Digital Interventions to Promote Physical Activity Among Culturally and Linguistically Diverse Women
[arXiv] 2026-02-03 | Computational techniques for sheaf cohomology of locally profinite sets
[arXiv] 2026-02-03 | Nonlinear electrohydrodynamics of a surfactant-laden leaky dielectric drop
[arXiv] 2026-02-03 | Deterministic Control of Extreme Events in a semiconductor VCSEL via Polarization-Engineered Optical Feedback
[arXiv] 2026-02-03 | Q-ShiftDP: A Differentially Private Parameter-Shift Rule for Quantum Machine Learning
[arXiv] 2026-02-03 | Applications of structural equation modeling and mathematical statistics to the triggering mechanism of a class of liquors consumer behaviors in Sichuan province
[arXiv] 2026-02-03 | Role of Graphics in Disaster Communication: Practitioner Perspectives on Use, Challenges, and Inclusivity
[arXiv] 2026-02-03 | Violation of local equilibrium thermodynamics in one-dimensional Hamiltonian-Potts model
[arXiv] 2026-02-03 | Bayesian Methods for the Navier-Stokes Equations
[arXiv] 2026-02-03 | Electric field control of multiple switching regimes in a multiferroic
[arXiv] 2026-02-03 | Thurston geometries and parameter constraints from SNIa data
[arXiv] 2026-02-03 | Nonstandard free groups
[arXiv] 2026-02-03 | Refer-Agent: A Collaborative Multi-Agent System with Reasoning and Reflection for Referring Video Object Segmentation
[arXiv] 2026-02-03 | TIPS Over Tricks: Simple Prompts for Effective Zero-shot Anomaly Detection
[arXiv] 2026-02-03 | Beyond the Commit: Developer Perspectives on Productivity with AI Coding Assistants
[arXiv] 2026-02-03 | $V_0$: A Generalist Value Model for Any Policy at State Zero
[arXiv] 2026-02-03 | Secure Decentralized Pliable Index Coding for Target Data Size
[arXiv] 2026-02-03 | EVE: Efficient Verification of Data Erasure through Customized Perturbation in Approximate Unlearning
[arXiv] 2026-02-03 | HySparse: A Hybrid Sparse Attention Architecture with Oracle Token Selection and KV Cache Sharing
