[2026-07-05 23:01:14] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-04
正在获取论文...
[ACM] 2026-7-4 | Opportunities and Challenges for Data Quality in the Era of Quantum Computing
[NO] 118/178 | UNIX V4 and the Utah Teapot
[NO] 119/178 | Testing AIware Systems: A Software Engineering Survey
[YES] 120/178 | CrossCommitVuln-Bench: A Dataset of Multi-commit Python Vulnerabilities Invisible to Per-Commit Static Analysis
[YES] 121/178 | RustBuildEq: A Benchmark for Binary Equivalence under Build Variability
[NO] 122/178 | Examining Transparency Requirements for AI-Based Chatbots and Websites
[NO] 123/178 | Leveraging Machine Learning Models to Predict Road Crash Severity Based on Environmental Factors
[NO] 124/178 | Quantum Annealing for Multiobjective Query Optimization
[NO] 125/178 | A Hybrid AHP-TOPSIS Approach for Selecting Message Brokers in IoT Applications
[NO] 126/178 | The Perpetual Pipeline – 50 Years of Symbiosis in Computer Graphics
[YES] 127/178 | Configuring Agentic AI Coding Tools: An Exploratory Study
[NO] 128/178 | Is Artificial Intelligence an Elixir to the Software Engineering Community? An Empirical Study among Managers
[YES] 129/178 | When Code Authors Are Agents: A Large-Scale Study of Human–Agent Collaboration in Pull Requests
[NO] 130/178 | Open Source Software Ecosystem for Cloud Observability: An Overview and Trends
[NO] 131/178 | From Robotic to IoT Systems: Exploring the Reuse of a Robotic Orchestration DSL in the IoT domain
[YES] 132/178 | A Preliminary Study on Explaining Risk of Code Changes using LLM-Based Prediction Models
[NO] 133/178 | Understanding the Impact of Research Software Engineers on Scientific Software Development: A Mixed-Methods Study
[NO] 134/178 | Proceedings of the 2026 8th Asia Pacific Information Technology Conference
[NO] 135/178 | Operationalizing Ethics for AI Agents: How Developers Encode Values into Repository Context Files
[YES] 136/178 | When AI Coding Assistants Leak Training Data: A Study of LLM Memorization in Code Generation
[NO] 137/178 | Bootstrapping IoT Provisioning with PoMA
[NO] 138/178 | Dronevision, Holodecks, and Spatial Computing Using Flying Light Specks
[NO] 139/178 | Write Once, Read ALWAYS
[NO] 140/178 | Auditing Who Appears to Belong: A Large-Scale Empirical Study of Bias in Deployed Text-to-Image Systems for Software Engineering
[NO] 141/178 | Evaluating the Adoption of AI-Driven No-Code Platforms Using the Technology Acceptance Model (TAM) in Achieving Sustainable Development Goals: The SafeDrive Mobile Application
[NO] 142/178 | CRITICAL INFRASTRUCTURE SECURITY EXPLORATION AND MITIGATION FROM POSSIBLE THREATS: A CASE STUDY OF CONTROL ROOM
[NO] 143/178 | A Visual Block Programming Environment for Home Assistant: A Progress Report
[NO] 144/178 | The Shared Language of Crowds: A Crowd sourced Approach to Mapping Research Software Engineering and Software Engineering Research Terminology
[NO] 145/178 | Debian: A sustainable ecosystem for the distribution and use of Research Software
[NO] 146/178 | Finding RSEs: Challenges in Recruiting Research Software Engineers for Research
[NO] 147/178 | Quantum-Optimized Spatial Permutations: Minimizing Submatrix Rank for Block-Low-Rank Space-Filling Curves
[NO] 148/178 | TriORM: Workload-Aware Neural-Symbolic Multi-objective Optimization for ORM Mapping Design
[YES] 149/178 | Wink: Recovering from Misbehaviors in Coding Agents
[NO] 150/178 | Scalable Hybrid Quantum-Classical Optimization for the Traveling Salesman Problem
[NO] 151/178 | From Correctness to Consistency: Redefining Reliability for the Agentware Era
[YES] 152/178 | An Empirical Study of Reasoning Steps in Thinking Code LLMs
[NO] 153/178 | Foundations for Multi-Logic Modelling and Supervision of Cyber–Physical IoT Agents
[NO] 154/178 | Algorithmic Discrimination in Healthcare: A Scoping Study
[NO] 155/178 | A Real-Time Mobile System for Ground-Based Cloud Classification Using Lightweight Models
[YES] 156/178 | Quality and Security Signals in AI-Generated Python Refactoring Pull Requests
[NO] 157/178 | Authorship, Bias, and Collaboration: Navigating AI Integration in Creative Industries
[NO] 158/178 | An Explainable Machine Learning Framework for Risk Factor Analysis in Healthcare: A Case Study on Breast Cancer
[NO] 159/178 | Proceedings of the 14th IEEE/ACM International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems
[NO] 160/178 | Beyond Vendor Lock-In: Hybrid EVM-based Event-Driven Architecture for Cross-Organization Collaboration
[YES] 161/178 | SecVulEval: Context-Aware Benchmarking of LLMs for Vulnerability Detection
[NO] 162/178 | Rule-based approach for finding the maximum set of shortest vertex-independent paths
[YES] 163/178 | Can LLMs Really Reason about Code? Studying How Well LLMs Understand the Relation between Input, Code, and Output
[YES] 164/178 | TOGBench: A Developer-Written Multi-variant Dataset and Benchmark Suite for Test Oracle Generation
[NO] 165/178 | Testing Research Software using International Standards and Practices
[NO] 166/178 | Towards moving target defense for IoT malware detection
[NO] 167/178 | Enhancing Understandability and Transparency of Research Software: Tracing Research to Code
[NO] 168/178 | From Front-End to Final Frames: Building a 2D/3D Hybrid Back-End Pipeline for Feature Animation at Scale
[NO] 169/178 | WiRCA: Categorizing Research Software Code Based on its Purpose
[NO] 170/178 | Form and Function: A Hands-On Workshop on Computationally Designing and Fabricating Barrier-Grid Animations
[NO] 171/178 | Framework Design and Application of AI Agent Ecosystems for SMEs
[YES] 172/178 | Proceedings of the 3rd ACM International Conference on AI-Powered Software
[YES] 173/178 | From Code Review to Spec-Driven Contracts: A Vision for Auditable AIWare Systems
[NO] 174/178 | Cross-Organizational Data Governance for Industrial Digital Twins Using Blockchain and IPFS
[NO] 175/178 | A Hybrid Forecasting Approach using Holt-Winters Forecasting Technique and Monte Carlo Simulation with a Neural Network for High-Variance Data
[NO] 176/178 | Leveraging Quantum Annealing for Materialized View Selection
[NO] 177/178 | Understanding Conversational Patterns in Multi-agent Programming: A Case Study on Fibonacci Game Development
[YES] 178/178 | HEJ-Robust: A Robustness Benchmark for LLM-Based Automated Program Repair
筛选完成：共 178 篇；Yes = 38 篇；已保存到 papers/select_paper2026-07-04.json。
邮件发送成功！
[2026-07-05 23:23:34] 任务执行成功！
