[2026-07-15 22:58:11] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-14
正在获取论文...
[arXiv] 2026-07-14 | Unknotting number, ribbon concordance, and singular instantons
[arXiv] 2026-07-14 | Reducing information dependency does not cause training data privacy. Adversarially non-robust features do
[arXiv] 2026-07-14 | Domain wall motion in ferromagnetic nanowires driven by a localized Gaussian thermal gradient
[arXiv] 2026-07-14 | Policy-Conditioned Constrained Decoding for Column-Level Access Control in Text-to-SQL
[arXiv] 2026-07-14 | QUBO-Optimized Evidence Selection for Retrieval-Augmented Question Answering with Unconventional Solvers
[arXiv] 2026-07-14 | ETH-Hardness of Learning Monotone Circuits and Approximating Their Size
[arXiv] 2026-07-14 | EMO: Energy Efficiency Modeling and Optimization for AI Workloads
[arXiv] 2026-07-14 | Quantum anomalous Hall effect with tunable Chern numbers induced by d-wave sublattice-staggered altermagnetism
[arXiv] 2026-07-14 | Pulsation harmonics reveal the origin of the century-old Blazhko effect
[arXiv] 2026-07-14 | Hypergraph Turan with bounded matching number
[arXiv] 2026-07-14 | Semantic-Edge Response Decoding of SAM3 for Zero-Shot Crack Segmentation
[arXiv] 2026-07-14 | Reducing Temporal Redundancy for Efficient Vision-Language-Action Inference
[arXiv] 2026-07-14 | Verifying Probabilistic Programs in Rust
[arXiv] 2026-07-14 | A Collocated Boris Integrator in Flux Coordinates: Balancing Accuracy, Conservation, Cost and Robustness
[arXiv] 2026-07-14 | Back-to-back dijet production in DIS at arbitrary Bjorken-x: TMD quark distributions to twist-3 accuracy
[arXiv] 2026-07-14 | Random sets are close to low-discrepancy sets
[arXiv] 2026-07-14 | Giant magnetocaloric effect at low fields in triangular-lattice NdMgAl$_{11}$O$_{19}$
[arXiv] 2026-07-14 | From Many to Meaningful: Feature-Guided Zero-Shot Chronic Kidney Disease Screening Using Large Language Models
[arXiv] 2026-07-14 | WIP: Software Engineering Competencies in the Age of AI
[arXiv] 2026-07-14 | On-Device Deep Research at 4B: Exposure Bounds Faithfulness, Retrieval Bounds Coverage
[arXiv] 2026-07-14 | How to Realize Recursively Self-Improving Agents and Personal Singularity: A Goal-, Scope-, Tool-, and Benchmark-Driven Multi-Agent Architecture
[arXiv] 2026-07-14 | Proximity Features: Privacy-Compliant Cold-Start Personalization at Airbnb
[arXiv] 2026-07-14 | On nontrivial cross-2-intersecting families
[arXiv] 2026-07-14 | Analytical penetration probability including the centrifugal potential: An improved Buck--Merchant--Perez model for alpha-decay half-lives
[arXiv] 2026-07-14 | Rethinking the Evaluation of Harness Evolution for Agents
[arXiv] 2026-07-14 | The MAGPI survey: Stellar populations radial trends and mass assembly in star-forming galaxies at z~0.3
[arXiv] 2026-07-14 | EVOQUANT: Self-Evolving Verifier-Guided Strategy Optimization for Robust Quantitative Trading
[arXiv] 2026-07-14 | Parallel Hadamard Test
[arXiv] 2026-07-14 | Do AI Agents Know When a Task Is Simple? Toward Complexity-Aware Reasoning and Execution
[arXiv] 2026-07-14 | Computing Cox rings via the cone conjecture
[arXiv] 2026-07-14 | The Seriality Gap in Video Diffusion Models
[arXiv] 2026-07-14 | On the Detectability of Volcanic Exo-Ios That May Fuel Auroras on Super-Jupiters
[arXiv] 2026-07-14 | PalmClaw: A Native On-Device Agent Framework for Mobile Phones
[arXiv] 2026-07-14 | A Shortcut to Statistically Steady-State Turbulence with Flow Matching
[arXiv] 2026-07-14 | Software Supply Chains are Dead: Use-Case-Oriented Regeneration
[arXiv] 2026-07-14 | The Carbon-Dependent Binary Frequency of CEMP-no Stars
[arXiv] 2026-07-14 | FlowWAM: Optical Flow as a Unified Action Representation for World Action Models
[arXiv] 2026-07-14 | Testing the Independent Set Property in Hypergraphs
[arXiv] 2026-07-14 | Spin Chain Quantum Communication on a Trapped-Ion Processor
[arXiv] 2026-07-14 | Expressibility and trainability of a two-dimensional pairwise quantum-circuit ansatz
[arXiv] 2026-07-14 | One Shot, Twenty-One Balls: Existence and Rarity of a Total Clearance in a Single Stroke of Snooker
[arXiv] 2026-07-14 | Factorial clinical trials in the presence and absence of plausible statistical interactions between treatment factors. A historical review of the methodological literature
[arXiv] 2026-07-14 | Enhanced Correlations in Hawking Radiation from Near-Extremal Collapse
[arXiv] 2026-07-14 | A cryogenic neutral-atom platform with full optical access and 2-hour trap lifetime
[arXiv] 2026-07-14 | Resist and Update: Counterfactual Report Coordinates for Incentive-Compatible LLMs
[arXiv] 2026-07-14 | Models with Non-minimal Coupling in Primordial Universe and Cosmological Observations
[arXiv] 2026-07-14 | When Stabilizing Feedbacks Wreak Havoc in Habitable Planets: Chaos at the Freezing Point in a Four-Feedback Climate Model
[arXiv] 2026-07-14 | MAMMOTH: A Multi-Modal End-to-End Policy for Off-Road Mobility Robust to Missing Modality
[arXiv] 2026-07-14 | CD-MED: Cross-Domain Multimodal Emotion Descriptor for Visual Comparison of Digital Objects
[arXiv] 2026-07-14 | ViHoRec: A Quality-Controlled Vietnamese Hotel Recommendation Dataset and Cold-Start Benchmark
[arXiv] 2026-07-14 | Salesforce Messaging Architecture: Platform Events, Async Sends, and Multi-Tenancy at Scale
[arXiv] 2026-07-14 | Point Tracking in Surgery--The 2025 Surgical Tattoos in Infrared Challenge (STIRC2025)
[arXiv] 2026-07-14 | Exact and Calibrated Diffusion Reconstruction for Digital Breast Tomosynthesis
[arXiv] 2026-07-14 | Measurement and assignment of $\it{J}$ $\geq$ 10 rotational energy levels in the 9510 to 9810 cm$^{-1}$ and 6590 to 6900 cm$^{-1}$ ranges of methane using optical frequency comb double-resonance spectroscopy
[arXiv] 2026-07-14 | Constraining the High-Density Equation of State with Present and Future NICER Observations Using Physics-Informed Regularized Machine Learning
[arXiv] 2026-07-14 | From stable periodic orbits to many-body chaos: doubly tunable prethermalization via engineering of an emergent band structure
[arXiv] 2026-07-14 | Label-Decoupled Style Augmentation for Domain Generalization in Multi-Label Remote Sensing Scene Classification
[arXiv] 2026-07-14 | Simulation of Custom-Precision OCP MX Block Floating-Point Formats and Arithmetic
[arXiv] 2026-07-14 | Discrete-time generalized canonical transformations for non-autonomous systems
[arXiv] 2026-07-14 | The chromatic number of 3-stable Kneser graphs
[arXiv] 2026-07-14 | Establishing baseline model performances for optical turbulence forecasting
[arXiv] 2026-07-14 | Astra: an open-source fully autonomous robotic observatory control software
[arXiv] 2026-07-14 | Deep4ge: DNN Training Trajectories for Fault Detection and Diagnosis
[arXiv] 2026-07-14 | Metrics on triangulated categories and their enhancements
[arXiv] 2026-07-14 | Unveiling Complex Collective Behaviors from Simple Rewards
[arXiv] 2026-07-14 | ChartGenEval: Corruption-Tested Multi-Dimensional Feedback for Rhythm-Game Chart Generation
[arXiv] 2026-07-14 | Phase Angle and Effective Second-Harmonic Generation Coefficient in Uniaxial Crystal
[arXiv] 2026-07-14 | Angular distribution of $Λ_c^+ \to Λ^*_{1405/1520}(\toΣπ)\ell^+ν_\ell$ and implications for form factors
[arXiv] 2026-07-14 | Inferring 3D Coronal Magnetic Fields Through Seismology Assisted Inversions of $IQU$-only Spectropolarimetric Observations
[arXiv] 2026-07-14 | The exact region determined by Kendall's tau, Spearman's footrule and Blomqvist's beta
[arXiv] 2026-07-14 | Reproducible Reservoir Computing with Thermally Driven Superparamagnets: Controlling Temperature Sensitivity
[arXiv] 2026-07-14 | Breaking Déjà Vu: Independent Auditing of Visual Place Recognition through Vision-Language Reasoning
[arXiv] 2026-07-14 | A Note on Iterated Beatty Sequences
[arXiv] 2026-07-14 | PixelLoop: Shortcut Topological Navigation with Pixel-Level Loops
[arXiv] 2026-07-14 | Accounting for Preferential Sampling Using a Constructed Covariate
[arXiv] 2026-07-14 | UniVR: Thinking in Visual Space for Unified Visual Reasoning
[arXiv] 2026-07-14 | Strain-Tunable Shift Current and Magneto-Optical Kerr Effect in Multiferroic Altermagnet Fe2Mo3O8
[arXiv] 2026-07-14 | Semi-open boundary for random walking shocks
[arXiv] 2026-07-14 | HSEmotion Team at the 11th ABAW Challenge: Multi-Task Learning and Ambivalence/Hesitancy Video Recognition
[arXiv] 2026-07-14 | A genetic algorithm for peer-review panel composition
[arXiv] 2026-07-14 | Practical Judgment, Virtue, and Intuition in the Use of Opaque AI-Enabled Systems
[arXiv] 2026-07-14 | Twist Engineering for Reconfigurable Optical and Optoelectronic Devices
[arXiv] 2026-07-14 | Hallo4D: Multi-Modal Hallucination Mitigation for Consistent Spatio-Temporal Generation
[arXiv] 2026-07-14 | Positional Attention-based Graph Neural Network for Learning Permutation Non-equivariant Wireless Policies
[arXiv] 2026-07-14 | Magnetic field-driven phase switching in the antiferromagnetic Mott insulator Ca$_3$(Ru$_{0.99}$Ti$_{0.01}$)$_2$O$_7$
[arXiv] 2026-07-14 | Aïra: Rethinking AI Research Assistants for Interdisciplinary Science
[arXiv] 2026-07-14 | High-Precision Hybrid FA-PSO Based Inversion of Building Material Parameters for Fundamental Wireless Performance Evaluation
[arXiv] 2026-07-14 | Standard basis operator method for ground-state and temperature properties of single and two-component Bose-Hubbard model
[arXiv] 2026-07-14 | Learning to Forget: Satiation-Aware Long-Sequence Transducers for Mitigating Post-Purchase Redundancy
[arXiv] 2026-07-14 | Are gate-all-around 2D CFETs the optimal architecture for the A2 node and beyond?
[arXiv] 2026-07-14 | AutoSIFT: Automatic Style Sifting for Controllable Speech Generation with Arbitrary Style Infilling
[arXiv] 2026-07-14 | Audio Diarization: A New Paradigm for Exploring Audio Recordings with Unknown Event Classes
[arXiv] 2026-07-14 | Shock solutions for the one-dimensional information geometric regularization of compressible flow
[arXiv] 2026-07-14 | Signatures of $X_{17}$ through Coherent Elastic Solar Neutrino-Nucleus Scattering in Direct Detection Searches
[arXiv] 2026-07-14 | High-frequency magnetotransport in LaMnO3 samples synthesized by microwave irradiation versus conventional heating
[arXiv] 2026-07-14 | Entanglement and Optical Nonreciprocity in spontaneous Raman Scattering
[arXiv] 2026-07-14 | Emergent exchange bias in ultra-thin La0.67Sr0.33MnO3 films driven by ferro-antiferromagnetic phase coexistence
[arXiv] 2026-07-14 | Exploring Zero-Shot Foundation Models for Multivariate Time Series Anomaly Detection
[arXiv] 2026-07-14 | Approximation Algorithms for Norm-Budgeted Packing Problems
[arXiv] 2026-07-14 | Mystra: Declarative Dynamic Taint Analysis via Shadow Virtual Machine
[arXiv] 2026-07-14 | A new model for runaway electron transport based on chaotic Hamiltonian systems
[arXiv] 2026-07-14 | Host-Parasitoid Dynamics and Biological Control of the Sugarcane Borer
[arXiv] 2026-07-14 | Unitary Synthesis with Near-Optimal T-Count for Near-Clifford Unitaries
[arXiv] 2026-07-14 | Traceable In Situ Microwave Power Measurement at the Cryogenic Device Plane in a Dilution Refrigerator
[arXiv] 2026-07-14 | Towards Vision-Free CIR: Attribute-Augmented Scoring and LLM-Based Reranking for Zero-Shot Composed Image Retrieval
[arXiv] 2026-07-14 | Alignment of the Milky Way and M31 with their cosmic environment. New insights from constrained Local Group simulations
[arXiv] 2026-07-14 | Neutrino superradiance constraint on asteroid-mass PBH Dark Matter and beyond
[arXiv] 2026-07-14 | A FLASH HI absorption search in compact sources in the pilot ASKAP interplanetary scintillation field
[arXiv] 2026-07-14 | Inclusive P-wave Quarkonium Decay Widths from Lattice QCD and pNRQCD
[arXiv] 2026-07-14 | Deep Learning-based Surrogate Modelling of the LOD Method for Multiscale Problems
[arXiv] 2026-07-14 | Fractionalized Fermi liquids with the ghost-Gutzwiller Ansatz
[arXiv] 2026-07-14 | Antiproof: Synthesizing Vulnerability Detectors and Proofs of Exploitability
[arXiv] 2026-07-14 | Foundational Constraint Solving for Expressive Refinement Typing
[arXiv] 2026-07-14 | On Agreement Subtrees in Multiple Pylogenetic Trees
[ACM] 2026-7-14 | Assets in Motion (AIM) - Injecting life into a static and linear asset building process
[ACM] 2026-7-14 | Pashboard: Modernizing Rez for Animation
[ACM] 2026-7-14 | RAMP: Robust Ad Recommendation Under Limited Personalized-Feature Availability via Masking and Alignment Pathways
[IEEE] 2026-7-14 | Author Index
[IEEE] 2026-7-14 | 2026 IEEE 6th International Conference on Smart Information Systems and Technologies (SIST)
[IEEE] 2026-7-14 | Bias correction of satellite precipitation products near the data-scarce region of Al-Ahsa, Saudi Arabia_supp1-3708749.docx
[ACM] 2026-7-15 | Lattice Musicking
[ACM] 2026-7-15 | Agriculture Punk: Hello World from Breadboard Farming
[ACM] 2026-7-15 | Cage-based Texture Transfer with Geometric Filtering
[IEEE] 2026-7-14 | Q-Learning for 3D Coverage in VCSEL-based Optical Wireless Systems
[IEEE] 2026-7-14 | VN-Dict: Lightweight Authenticated Spatial Queries over Hybrid-Storage Blockchain
[IEEE] 2026-7-14 | E-Health: AI based Stroke Prediction with Optimized Active Learning using Fog Computing
[IEEE] 2026-7-14 | Flexible-Sector 6DMA: Joint Sector Rotation and Antenna Allocation Optimization
[IEEE] 2026-7-14 | Easy-Axis Reorientation Analysis of Magnetic Nanoparticles Using BD-kMC Simulations
[IEEE] 2026-7-14 | Simultaneous Source Separation, Synchronization, Localization and Mapping for 6G Systems
[IEEE] 2026-7-14 | Coupling of Multi-Scale Investigation Methods to Study Microstructural Related Magnetic Properties and Domain Structure of Electrical Steel Material
[IEEE] 2026-7-14 | CA-AC-MPC: CUDA-Accelerated Actor-Critic Model Predictive Control
[IEEE] 2026-7-14 | Optimized Resource Orchestration for LoRa Networks in CS-enabled SHM
[IEEE] 2026-7-14 | DILoc: Replay-Based Domain-Incremental Learning for Lifelong Multimodal WiFi–Magnetic Indoor Localization
[IEEE] 2026-7-14 | How Ubiquitous Slow Charging Saves Transportation Electrification Costs in Metropolitan Areas
[IEEE] 2026-7-14 | SALT-V: Lightweight Authentication for 5G V2X Broadcasting
[IEEE] 2026-7-14 | From Ghosts to Beams: Radar-Guided LoS/NLoS Beam Alignment for 60 GHz Communication
[IEEE] 2026-7-14 | DQRL-Based Dynamic Resource Allocation for Energy-Spectral Efficient Next-Generation Clustered Radio Access Networks
[IEEE] 2026-7-14 | MoESEC: A Mixture of Experts Framework for Edge Semantic Communication Networks
[IEEE] 2026-7-14 | A Review of Soil Characterisation and Effects on Grounding Systems for Effective Lightning Current Dissipation
[IEEE] 2026-7-14 | Learnware-Enabled Deployment for Deep Learning-based CSI Feedback
[IEEE] 2026-7-14 | CSIT-Driven Spectral Precoding for Sidelobe Suppression in Multicarrier Modulation
[IEEE] 2026-7-14 | Enhanced Physical Layer Authentication via Robust and Trustworthy Sensing
[IEEE] 2026-7-14 | Augmented Edge–Cloud Service Orchestration: A Twin-Driven Coupling approach
[IEEE] 2026-7-14 | Security Evaluations of Post-Quantum Cryptographic Primitives Against Quantum and AI-Based Attacks
[IEEE] 2026-7-14 | A Three-Dimensional Path Loss Model for THz Band Aerial Communications
[IEEE] 2026-7-14 | Joint Constrained Coding and Iterative Consensus Reconstruction for DNA-Based Molecular Communication
[IEEE] 2026-7-14 | An Adaptive Method for Cybersecurity Requirements Management in Software Implementation
[IEEE] 2026-7-14 | Learning to Separate RF Signals Under Uncertainty: Detect-Then-Separate vs. Unified Joint Models
[IEEE] 2026-7-14 | Synergizing Standards of Project Management With Ai-Driven Support: Challenges and Opportunities for Future Project Governance
[IEEE] 2026-7-14 | Causal AI Framework for Treatment Effect Estimation in Cardiovascular Disease Risk Analysis
[IEEE] 2026-7-14 | UAV-Enabled Short-Packet Communication via Fluid Antenna Systems
[IEEE] 2026-7-14 | ReFLect: A Reputation-based Client Selection for Federated Learning in Mobile Networks
[IEEE] 2026-7-14 | Adaptive and Predictive Control of UAS in Train-Drone Delivery System
[IEEE] 2026-7-14 | Spinning Quadrotor: Hover Thrust Augmentation with Passive Lifting Surfaces
[IEEE] 2026-7-14 | SPSA-Based Successive Beamforming for Mobile Satellite Receivers with Phased Arrays
[IEEE] 2026-7-14 | Environment-Aware Path Loss Prediction Using Panoramic Images for Vehicular Communications
[IEEE] 2026-7-14 | Evaluation on the AC Copper Loss of an Axial Flux Vernier Machine with Different Winding Layouts
[IEEE] 2026-7-14 | Multimodal Fusion of EIS and Fiber-Optic Features for Cross-Chemistry SOC Estimation
[IEEE] 2026-7-14 | An Autonomous Flight System for Small-Sized Drones Using Circular Buffered Hash Data Structure
[IEEE] 2026-7-14 | Design and Performance Assessment of Intermediary Coils for Misalignment Tolerance Improvement in Wireless Power Transfer Systems
[IEEE] 2026-7-14 | Electric Engine Technology Review in eVTOL Aircraft for Transportation Electrification
[IEEE] 2026-7-14 | Scalable User Admission Control in Large-Scale Cell-Free Massive MIMO
[IEEE] 2026-7-14 | A Deep Learning Model for Anomaly Detection in Video Using Object Segmentation and Localization
[IEEE] 2026-7-14 | Simulation and Optimization of a Hybridized Solar PV-CHP-Biomass Energy System using the Differential Evolution Algorithm
[IEEE] 2026-7-14 | Asymmetric Reliability-Enhanced Scheduler Based on Heterogeneous Cellular Networks in Remote Driving Scenarios
[IEEE] 2026-7-14 | Flying-Wing UAS Multi-Objective Design Optimization via Cross-Entropy Method
[IEEE] 2026-7-14 | Contribution-Aware Coalition Federated Learning in Edge-Assisted Healthcare Monitoring Systems
[IEEE] 2026-7-14 | A Single-Phase Eleven-Level Inverter with Asymmetrical T-Type Structure
[IEEE] 2026-7-14 | A Unified Off-Board Charger for Three-Phase Inductive and Single-Phase Conductive EV Charging
[IEEE] 2026-7-14 | Analyzing Discovery Dynamics in Zigbee IoT Networks
[IEEE] 2026-7-14 | Design of a Low-Frequency Enclosed Differential Driver-Pickup Eddy-Current Sensor for Surface Defect Detection in Reformer Tubes
[IEEE] 2026-7-14 | Learning-Based Resource Management and Bitrate Adaptation for UAV Video Streaming over Low-Altitude Wireless Networks
[IEEE] 2026-7-14 | An Effective Underwater Acoustic Physical Layer Encryption Communication Mechanism based on Dynamic Spatio-temporal Channel Feature
[IEEE] 2026-7-14 | Development of a Digital Twin for Electrified Aircraft Powertrain Health Management
[IEEE] 2026-7-14 | Optimization and Fuel Property Characterization of Bio-oil from Catalytic Pyrolysis of Achyranthes aspera Wood Residue Using Zeolite Y Catalyst
[IEEE] 2026-7-14 | Design and Implemetation of a Smart Temperatutecontrolled Environment Using Microcontroller and Fuzzy Logic
[IEEE] 2026-7-14 | BEOL-Compatible Spin-Orbit Torque Device Enabled by a Noncollinear Antiferromagnet
[IEEE] 2026-7-14 | Location-Informed Edge Server Selection in Integrated Access Backhaul-Enabled 6G Networks
[IEEE] 2026-7-14 | Strategies for the Disposal of Spacecraft of the National Earth Remote Sensing Constellation of the Republic of Kazakhstan
[IEEE] 2026-7-14 | Universal Framework for Integrating New Concepts Into Ontologies Across Multiple Domains
[IEEE] 2026-7-14 | Correlation between Magnetism and Stacking in Sr Hexaferrites
[IEEE] 2026-7-14 | Trajectory Tracking Control Design for Autonomous Helicopters with Guaranteed Error Bounds
[IEEE] 2026-7-14 | Comparison of Single-Stage and Two-Stage Isolated High Power AC/DC Converter
[IEEE] 2026-7-14 | Joint CFAR and Resource Allocation Optimization for Distributed 6G ISAC Systems
[IEEE] 2026-7-14 | Reliable LLM-enabled Intent-driven Management: A Validation pipeline for Network Automation
[IEEE] 2026-7-14 | Broadband Double-Layer Electromagnetic Wave Absorber Using $\text{Nd}_{2} \text{Fe}_{17} \mathrm{N}_{3}$ with Planar Magnetocrystalline Anisotropy
[IEEE] 2026-7-14 | Design of a Phase-Shifted Full-Bridge Converter for Intermediate Bus Architecture
[IEEE] 2026-7-14 | Financial Dimensions of ETS Mechanisms in Advancing Sustainable Development
[IEEE] 2026-7-14 | QoS-Aware Effective Energy Efficiency Power Allocation for Slow FAMA Systems
[IEEE] 2026-7-14 | Development of AI-Based Analytical Systems in Sports: A Case Study of Table Tennis
[IEEE] 2026-7-14 | Complex Frequency-Domain Finite Element Analysis for Magneto-Mechanical Coupling in Amorphous Wound Cores
[IEEE] 2026-7-14 | Adaptive Leadership in Sustainable Development of an IT University Driven by Artificial Intelligence
[IEEE] 2026-7-14 | Universal Costas Matrices: Towards a General Framework for Costas Array Construction
[IEEE] 2026-7-14 | Beamforming for Multiuser LEO Satellite Communications with Irregular Tiled Array
[IEEE] 2026-7-14 | Comparative Analysis and Torque Optimization of Three Types of Rotors in Permanent Magnet Synchronous Motors
[IEEE] 2026-7-14 | Care-Setting Prediction Using Complete Blood Count Data Under Class Imbalance
[IEEE] 2026-7-14 | Investigation of Interleaved High Power, High Step-up DC/DC Converters for Fuel Cell Range Extender Vehicles
[IEEE] 2026-7-14 | Congestion-Aware Ant Colony Optimization for Time-Varying Networks in All-Optical Satellite Systems
[IEEE] 2026-7-14 | Common Mode Voltage Mitigation in Wireless Charging of Electric Vehicles
[IEEE] 2026-7-14 | The Classical Mechanics Methods in Problems of Optimization of Robotic Systems Using the Niryo one Platform
[IEEE] 2026-7-14 | Unleashing Uplink Potential: AI-Driven Channel Selectivity Matching via Compressed Channel State Information
[IEEE] 2026-7-14 | Mathematical Modeling of Security-Aware Cyber-Physical Systems Using Pseudodifferential Operators
[IEEE] 2026-7-14 | Satellite-Based Deep Learning Models for Mineral Exploration
[IEEE] 2026-7-14 | Robust Beamforming for Multi-UAV Systems under Attitude Jitter via Multi-Agent Reinforcement Learning
[IEEE] 2026-7-14 | New Results On q-Shaba Differential Operator on Subfamily of Bi-Starlike Functions linked with Four Leaf Domain
[IEEE] 2026-7-14 | Magnetic Tunnel Junctions for Reservoir Computing Applications
[IEEE] 2026-7-14 | Assessment of Biomechanical Parameters of Physical Exercises Based on Computer Vision
[ACM] 2026-7-15 | Reasoning-Grounded Intent Injection for Generative Recommendation
[ACM] 2026-7-15 | LLM-based Semantic and ID Representations for Sequential Recommendation
[ACM] 2026-7-15 | Towards Inclusive Retrieval-Augmented Generation: Challenges and Opportunities for Cognitively Impaired Users
[ACM] 2026-7-15 | Exploring and Improving Cross- and Multi-Domain Personalized Question Answering via a Dual Retrieval Augmentation Approach
[ACM] 2026-7-15 | SECRET: SEarch query Classification with label RETrieval
[ACM] 2026-7-15 | Privacy Preserving Information Retrieval: Defining Privacy Research Pillars for a Future Research Agenda
[ACM] 2026-7-15 | RoTE: Coarse-to-Fine Multi-Level Rotary Time Embedding for Sequential Recommendation
[ACM] 2026-7-15 | Chunk-Wise Quantization for Graph Collaborative Filtering
[ACM] 2026-7-15 | Inductive Subgraphs as Shortcuts: Causal Disentanglement for Heterophilic Graph Learning
[ACM] 2026-7-15 | DCGL: Dual-Channel Graph Learning with Large Language Models for Knowledge-Aware Recommendation
[ACM] 2026-7-15 | ADaFuSE: Adaptive Diffusion-generated Image and Text Fusion for Interactive Text-to-Image Retrieval
[ACM] 2026-7-15 | CARD: Non-Uniform Quantization of Visual Semantic Unit for Generative Recommendation
[IEEE] 2026-7-15 | Retraction Notice: Dynamic Path Allocation Based on Reinforcement Learning in Iot Systems
[IEEE] 2026-7-15 | Retraction Notice: A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
[IEEE] 2026-7-15 | NeuroSymbolic Robustness Analysis for Discrete Systems with Respect to Transition Deviations
[IEEE] 2026-7-15 | Modeling and Scheduling of Hospital Robot Fleets Using Switching-max-plus Algebra
[IEEE] 2026-7-15 | Enhancing Parkinsons Disease Diagnosis Using ConvNeXt and Hand-Drawn Image Biomarkers
[IEEE] 2026-7-15 | 0.5-to-52 GHz High Power Nonuniform Distributed Amplifier in 60 nm GaN/Si Process
[IEEE] 2026-7-15 | Novel 3D Film Laminate Package for High Efficiency 7 GHz GaN Power Amplifier Module
[IEEE] 2026-7-15 | Transmit Beampattern Design for Continuous Aperture Array (CAPA)-aided Sensing Systems
[IEEE] 2026-7-15 | Geometric Cross-Layer NOMA-IRSA Random Access Scheme for GEO HTS Networks
[IEEE] 2026-7-15 | Age of Information Minimization for Buffer-Aided Uplink Systems via Movable Antennas
[IEEE] 2026-7-14 | Artificial Intelligence Application for Condition Assessment of High Voltage Power Transformer using Health Index
[IEEE] 2026-7-15 | Data-driven diagnosis of failures in max-plus linear systems: a consistency-based approach
[IEEE] 2026-7-15 | Message from the Chairman
[IEEE] 2026-7-15 | From Domain Model to High-Mix Low-Volume Production Line Schedules
[IEEE] 2026-7-15 | Retraction Notice: Enhanced Deep Learning Algorithm for Skin Cancer Detection
[IEEE] 2026-7-15 | Retraction Notice: Comparison of Regression Techniques and Integration Models Using Machine Learning
[IEEE] 2026-7-15 | Retraction Notice: A Comprehensive Analysis of Emerging Threats in the Digital Era
[IEEE] 2026-7-15 | Secure Beamforming for Pinching-Antenna Systems
[IEEE] 2026-7-15 | CTA-Based Internal Carotid Artery Segmentation and DRR Generation for Enhanced Neurovascular Visualization
[IEEE] 2026-7-15 | Architectural Enhancements for Efficient Sensing Data Utilization in 6G ISAC
[IEEE] 2026-7-15 | Retraction Notice: Sales Prediction For Food Products Using Machine Learning
[IEEE] 2026-7-15 | Packaging and Antenna Design for a 46 -Element Dual-Surface Mmwave Active STAR-RIS Built with CMOS RFICs
[IEEE] 2026-7-15 | AI-Powered Adaptive Learning System for Dyslexic Children
[IEEE] 2026-7-15 | Model Predictive Control (MPC) Based Multi-Output DC to DC Converter for Electric Vehicle Applications
[IEEE] 2026-7-15 | CAPTAIMN: A Real-Time LLM and RAG Based Decision Support System for Navigational Safety and COLREGs Compliance
[IEEE] 2026-7-15 | WS28: The 4th Workshop on Near-Field Communications, Localization, and Sensing
[IEEE] 2026-7-15 | ClimaStyle: A Climate-Aware Visual Try-On with Prompt-Based Segmentation
[IEEE] 2026-7-15 | Cramér–Rao Lower Bound for Barycenter Estimation of an Extended Target in the Near Field
[IEEE] 2026-7-15 | SAGE: Student-Focused Adaptive Guidance Engine for Intelligent Tutoring with Regulated Learning
[IEEE] 2026-7-15 | Distributed Pilot Framework for OTFS: Achieving Interference Whitening and PAPR Reduction
[IEEE] 2026-7-15 | Efficient and Interpretable Tabular Learning Via Visual Transformation
[IEEE] 2026-7-15 | A Virtual Reality-Based Interior Design Framework Built on Cloud for Scalable and Immersive Experiences
[IEEE] 2026-7-15 | Abstract Cards
[IEEE] 2026-7-15 | Evaluation of GenLLM–based Air Traffic Complexity Assessment
[IEEE] 2026-7-15 | Low-Complexity Near-Field Localization in Multipath Environment by ELAA Partitioning in Presence of Mutual Coupling
[IEEE] 2026-7-15 | A Single-Stage Feedback-Feedforward D-Band LNA in SiGe BiCMOS
[IEEE] 2026-7-15 | An Intelligent Traffic Estimation Approach to 6G Networks for Industry Applications based on Time-Frequency Features
[IEEE] 2026-7-15 | A $10-\mathrm{W} 7-\text{GHz}$ Gan-on-Si Doherty Power Amplifier with Hybrid MMIC-Module Integration for 6G Base-Station Applications
[IEEE] 2026-7-15 | Improving Energy Sustainability of Multi-RAT IoT Coexistence Networks in the Presence of Adjacent Channel Interference and Hardware Impairments
[IEEE] 2026-7-15 | Factor Graph Optimization Based Data Fusion for Accurate 3-D Positioning Using UWB and IMU
[IEEE] 2026-7-15 | CED-TRL: Curriculum Environment Design for Temporally Extended Reinforcement Learning Tasks
[IEEE] 2026-7-15 | Transciphering of Lightweight Symmetric Ciphertexts for Privacy-Preserving Generative AI Inference in Telecom Systems
[IEEE] 2026-7-15 | Emulation Digital Twin Framework: Case Study on NGAP Attacks in 5G Control Plane
[IEEE] 2026-7-15 | Full-Circuit Modeling and Nonlinear Analysis of Flux-Pumped SQUID Amplifiers in Keysight Advanced Design System (ADS)
[IEEE] 2026-7-15 | Multi-Sensor Based Automatic Food Authenticity Detection System
[IEEE] 2026-7-15 | Index Packet Error Correction in Digital Semantic Communications Through Vector-Quantized Diffusion Models
[IEEE] 2026-7-15 | A 2–18 GHz Integrated 4-Channel Transmit/Receive Beamformer in 65-nm CMOS
[IEEE] 2026-7-15 | Proof of Concept of QCSP Frames in Earth-to-LEO Satellite Transmission
