[2026-07-14 22:56:35] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-13
正在获取论文...
[arXiv] 2026-07-13 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[arXiv] 2026-07-13 | Non-Abelian holonomic transformations in digitally coupled acoustic waveguides guided by the global adiabatic criterion
[arXiv] 2026-07-13 | TreeSoc: Tree-Structured Dynamic Reasoning and Tool Synergy for Soccer Video Understanding
[arXiv] 2026-07-13 | Fast(er)PM and Moving Mesh: JAX-native Geometric Multigrid Methods
[arXiv] 2026-07-13 | A Space Mission to Earth's Nearest Black Hole: Reality or Science Fiction?
[arXiv] 2026-07-13 | A tight single-change covering design with block size 6
[arXiv] 2026-07-13 | What Causes the Asymmetry of Conjugate Hard X-Ray Footpoints in Solar Flares?
[arXiv] 2026-07-13 | Lattice point counting in Cygan--Korányi balls on Heisenberg groups
[arXiv] 2026-07-13 | Positivity and tails of Jacobi theta series
[arXiv] 2026-07-13 | Efficient Online Proportional Sampling with Applications to Smoothed Online Learning
[arXiv] 2026-07-13 | Classification of some cohomologically $C^0$-stable continuous group actions on metric spaces
[arXiv] 2026-07-13 | TC-MAF: Train-Calibrated Bounded Multi-Evidence Fusion for Multimodal Industrial Anomaly Detection
[arXiv] 2026-07-13 | Finite time blow-up for an inhomogeneous parabolic equation
[arXiv] 2026-07-13 | Group action-stabilizer graph of group actions of a group on a set
[arXiv] 2026-07-13 | NGM-RAG: Neural Graph Matching based Retrieval-Augmented Generation
[arXiv] 2026-07-13 | Construction of Reproducing Kernel Hilbert Spaces Associated with the Laplace--Bessel Operator
[arXiv] 2026-07-13 | AMT-X: Phase-Structured Multi-Turn Red-Teaming with Checklist-Gated Evaluation
[arXiv] 2026-07-13 | Spectra of averages of unitary representations of LCA groups
[arXiv] 2026-07-13 | O5 dark-siren forecasts for modified GW propagation: background robustness of the $Ξ$ posterior
[arXiv] 2026-07-13 | Anysynth:Zero-Shot Instrument Cloning via In-Context Learning and Asymmetric Hierarchical Guidance
[arXiv] 2026-07-13 | A Multiscaling Fingerprint of Earthquake Diffusion in Seismic Swarms
[arXiv] 2026-07-13 | NextFund: A Unified Performance Tracking Platform for Agentic Portfolio Management
[arXiv] 2026-07-13 | Antineutron reconstruction in electromagnetic calorimeters with mixed-representation learning
[arXiv] 2026-07-13 | Optimal tomography of bosonic and fermionic Gaussian states
[arXiv] 2026-07-13 | Representing the Non-dominated Set of Multi-objective Network Problems by Supported Non-dominated Points
[arXiv] 2026-07-13 | Completeness of Logical Atomicity for Linearizability in Concurrent Separation Logic
[arXiv] 2026-07-13 | An Operator-Theoretic Analysis of Nonlinear Filtering under Model Misspecification
[arXiv] 2026-07-13 | EquiFusion: Kinematics-Agnostic Human Motion Prediction via Equivariant Latent Diffusion
[arXiv] 2026-07-13 | Mackeyfication of equivariant categories I
[arXiv] 2026-07-13 | SKooP: Symmetric Koopman Predictions for Faster and More Generalizable Legged Robot Locomotion with Reinforcement Learning
[arXiv] 2026-07-13 | TreeThink: A Modular Tree Search Library for Mathematical Reasoning with LLMs
[arXiv] 2026-07-13 | CGS: Configurable Graph Summarization with Bounded Neighborhood Loss and Query Support
[arXiv] 2026-07-13 | Unified Gradient Projection: Language-Balanced Continual Learning for Multilingual Low-Resource ASR
[arXiv] 2026-07-13 | The Environmental Dependence of Halo Intrinsic Alignments: Stronger Signals in Underdense Regions
[arXiv] 2026-07-13 | Real sutured Heegaard Floer homology
[arXiv] 2026-07-13 | Wronskian curvature positivity is equivalent to the existence of a holomorphic projective connection
[arXiv] 2026-07-13 | Asymmetry-aided measurement-based quantum repeaters and distributed quantum computing with a decoder-free client
[arXiv] 2026-07-13 | Dynamics of two interacting dipolar two-level systems in a multi-mode electromagnetic cavity: sudden death and revival of the concurrence within the Born-Markov approximation
[arXiv] 2026-07-13 | AeroMELD: A Linear Embedding of Aerosol Populations for Diagnostics and Latent Dynamics
[arXiv] 2026-07-13 | A Psychometric and Practical Comparison of Standard Moodle-Based and STACK-Based Step-by-Step Tests in University Calculus
[arXiv] 2026-07-13 | Splitting the Goldman-Turaev Lie bialgebra along a simple separating curve
[arXiv] 2026-07-13 | Moment-based PPT criteria for random bipartite states
[arXiv] 2026-07-13 | Renormalized Area of Catenoids in the Hyperbolic Space
[arXiv] 2026-07-13 | BackgroundMellow: A Multi-Modal Cohesive Framework for Narrative-Driven Rich Cinematic Soundscape Generation
[arXiv] 2026-07-13 | Boolean queries are all you need?
[arXiv] 2026-07-13 | OpsMem: Dual-Memory Reasoning with Cross-Memory Resonance for Failure Diagnosis
[arXiv] 2026-07-13 | User Preference Induction with LLMs for Offline Top-N Recommendation Evaluation
[arXiv] 2026-07-13 | An asymptotic Sidon basis of order $3-η$
[arXiv] 2026-07-13 | Inter-Stop Energy Prediction and Causal Driver Quantification for Dual-Source Trolleybuses via a Time-Aware Tabular Deep Learning Architecture
[arXiv] 2026-07-13 | From Neural Network Decisions to Training Cases: An Exact Account via Case-Based Decision Theory
[arXiv] 2026-07-13 | Longitudinal Multi-View Breast Cancer Risk Prediction
[arXiv] 2026-07-13 | Fail-Aware and Explainable Test Oracle Prediction
[arXiv] 2026-07-13 | CR-Solver: GPU-Accelerated Kinematics Solver for Tendon-driven Continuum Robots
[arXiv] 2026-07-13 | Low latency data-flow graphs for simultaneous modular inversion of many inputs
[arXiv] 2026-07-13 | Higher degree obstructions to quasiconformal equivalence
[arXiv] 2026-07-13 | PRISM Edit: One Vector for All Temporal Answers
[arXiv] 2026-07-13 | Proximity Measures for Classes of Phylogenetic Networks
[arXiv] 2026-07-13 | Bayesian Inference of Stellar r-Process Abundances
[arXiv] 2026-07-13 | Direct detections of white dwarfs in four WD+dM post-common envelope binaries within 20 pc
[arXiv] 2026-07-13 | Optimal chain density, entropy, and space-time tradeoffs for the TSP
[arXiv] 2026-07-13 | PAC Studio Machine Learning: Human-in-the-Loop Analysis of TDPAC Spectra
[arXiv] 2026-07-13 | A Unified Framework for Comprehensive Cardiac CT Segmentation and Phenotyping: Human-in-the-Loop Data Annotation, Vision Foundation Model Development, Multicenter Evaluation and Clinical Validation
[arXiv] 2026-07-13 | Determination of the Odderon amplitude in elastic cross-sections at high energies from scaling and analyticity
[arXiv] 2026-07-13 | Markov Properties of $k$-Record Processes via Order Statistics
[arXiv] 2026-07-13 | FAD-SA-GRU: Enhancing Hate Speech Detection in Algerian Dialect Through Feature-Augmented Self-Attention GRU Networks
[arXiv] 2026-07-13 | Towards Predictive, Aligned, and Scalable Robot Learning
[arXiv] 2026-07-13 | Trustworthy synthetic data for campaign decision support: strategy simulation fidelity and the PolicySynth framework
[arXiv] 2026-07-13 | Bringing Back Rule Induction to Fluid Intelligence Research? An Initial Validation of the ARC-AGI Benchmark in Humans
[arXiv] 2026-07-13 | GPU-Tile-Sim: A Tile-Centric GPU Simulation Framework for LLM Hardware-Software Co-Design
[arXiv] 2026-07-13 | Collinearly complete sets and finite subgroups from configurations of skew $n$-planes in $\mathbb P^{2n+1}_K$
[arXiv] 2026-07-13 | Deployment of Entanglement-Based QKD in Financial Infrastructure
[arXiv] 2026-07-13 | Pore pressure change during nucleation and slip along experimental faults
[arXiv] 2026-07-13 | Formation of Trapped Surfaces from Spacelike Initial Data
[arXiv] 2026-07-13 | Modular Autonomous Transit: From Vehicle Modularity to Deployment-Ready Transit Operations
[arXiv] 2026-07-13 | SAIL: Perceptual Quality-Aware Rate Control for Cloud Gaming
[arXiv] 2026-07-13 | Courcelle's Theorem in Truly Linear FPT
[arXiv] 2026-07-13 | Anomalous Transverse Response and Multi-Field Ferrialtermagnetic-Ferroelectric Valve with CrSb Flakes
[arXiv] 2026-07-13 | Typhoon intensity ReAnalysis (TyRA)
[arXiv] 2026-07-13 | Quantum Multiscale Modeling: A Hierarchy of Algorithms for Complex Chemical Systems
[arXiv] 2026-07-13 | A Novel Method to Evaluate Models on Unreliable, Noisy and Inconsistent Labels: Adaptive Resolution Label Aggregation (ARLA)
[arXiv] 2026-07-13 | Stop to Decide: Latency-Aware Proprioceptive Navigation Primitives for Mapping-Free Quadruped Inspection
[arXiv] 2026-07-13 | Comparative folding-model study of low-energy elastic scattering and fusion of the $^{12}$C+$^{12}$C and $^{16}$O+$^{16}$O systems
[arXiv] 2026-07-13 | SCALECUA: Scaling Computer Use Agents with Verifiable Task Synthesis and Efficient Online RL
[arXiv] 2026-07-13 | NeuroMem-FHP: A Likelihood-Free Deep Learning Framework for Parameter Estimation of Fractional Hawkes Process
[arXiv] 2026-07-13 | The Path to Self-Evolving Clinical Systems: Scaling Medical Agents from Assistance to Autonomy
[arXiv] 2026-07-13 | Decomposing Runtime, Kernel, and Quantization Speedups via a Matched FP16 Intermediate: A Hardware-Conditioned Case Study on Four NVIDIA RTX A5000 GPUs
[arXiv] 2026-07-13 | Spectroscopy of low-lying valley states in hot Si/SiGe quantum dots
[arXiv] 2026-07-13 | Adjoint Bloch--Kato Selmer groups of regular algebraic automorphic Galois representations
[arXiv] 2026-07-13 | Thermodynamic bound on the Fano factor of a coherent thermoelectric heat engine
[arXiv] 2026-07-13 | Predicting Program Comprehension with Foundation Models of Human Cognition
[arXiv] 2026-07-13 | Evolution and Observable Properties of Rocky Planet Atmospheres
[arXiv] 2026-07-13 | The white dwarf population of open clusters and their tidal tails. Tracers of contamination and stellar interactions
[arXiv] 2026-07-13 | OptFSST: Optimized FSST String Compression
[arXiv] 2026-07-13 | Metacognition in LLMs: Foundations, Progress, and Opportunities
[arXiv] 2026-07-13 | Zero-one laws for uniform approximation via Gaussian and Eisenstein integers
[arXiv] 2026-07-13 | ERR@HRI 3.0 Challenge: Multimodal Detection of Errors and Anticipation in Human-Robot Interactions
[arXiv] 2026-07-13 | How a minimal length scale modifies thermodynamics of RN AdS Black Holes?
[arXiv] 2026-07-13 | Feature-based manifold model of actuated wakes
[arXiv] 2026-07-13 | Markov Chain Monte Carlo with Diffusion Paths
[arXiv] 2026-07-13 | Optimal operating temperature for industry-compatible silicon spin quantum computing: colder is not necessarily better
[ACM] 2026-7-13 | MORPHEUS: A Multidimensional Framework for Modeling, Measuring, and Mitigating Human Factors in Cybersecurity
[ACM] 2026-7-13 | Performance Evaluation of a Lightweight Threshold-Based Distributed Encryption Architecture for IoT Data Offloading
[IEEE] 2026-7-13 | Knowledge Base Identification and Adaptation for End-to-end Semantic Communication
[IEEE] 2026-7-13 | Topology Optimization of Magnetocardiographic Array Based on Cardiac Electromagnetic Simulation Model
[IEEE] 2026-7-13 | NAS-HPO-Bench-II-Plus: A Surrogate Benchmark Dataset toward Practical Scenarios in Joint Neural Architecture Search and Hyperparameter Optimization
[IEEE] 2026-7-13 | Calling the Shots: Constraint-Aware Honeypoint Orchestration for Cloud-Native Anomaly Response
[IEEE] 2026-7-13 | LLM-Empowered Agentic MAC Protocols: A Dynamic Stackelberg Game Approach
[IEEE] 2026-7-13 | Bridging Stochastic Interference and Deterministic Scheduling: An Automated Design Framework for Heterogeneous Embedded Systems
[IEEE] 2026-7-13 | A Shank Angle-Based Control System Enables Soft Exoskeleton to Assist Human Non-Steady Locomotion_supp1-3710825.pdf
[IEEE] 2026-7-13 | GLCT: A Novel Global-Local Constraint for Unpaired Image-to-Image Translation
[IEEE] 2026-7-13 | Study of Gas Formation in Essential Oil Mixtures under the Influence of Electrical Discharges
[IEEE] 2026-7-13 | Online Force Sharing Function for Radial Force Ripple Suppression of Switched Reluctance Machines
[IEEE] 2026-7-13 | Unsupervised Anomaly Detection in Hospital Financial Statements: A Multi-Algorithm Consensus Approach with Explainable AI
[IEEE] 2026-7-13 | An SIC-Free Dual-Domain RSMA Strategy via AFDM-OFDM Coexistence for 6G Networks
[IEEE] 2026-7-13 | A High Efficiency Twin-Bus Type Quasi-Single-Stage ICPT System for 800V Input, Low Voltage and High Output Current Applications
[IEEE] 2026-7-13 | Low-Complexity Channel Estimation Based on CAZAC Sequence for OTFS Modulation
[IEEE] 2026-7-13 | A spectral upsampled optical coherence tomography for a high signal-to-noise ratio at deeper range
[IEEE] 2026-7-13 | Design of a Compact Deuteron RFQ Accelerator for BNCT based on D-
                    <sup>13</sup>
                    C reaction
[ACM] 2026-7-13 | Beyond Rendering Generation: A Production-Aware AI Co-creation System for Suzhou Ming-Style Furniture Cultural Heritage
[ACM] 2026-7-13 | Hyphae of Kindness
[ACM] 2026-7-14 | RAMP: Robust Ad Recommendation Under Limited Personalized-Feature Availability via Masking and Alignment Pathways
[IEEE] 2026-7-13 | SeHID: Semantics-enhanced Heartbeat Identification for Robust BCG Monitoring in Arrhythmia Patients
[IEEE] 2026-7-13 | IEEE Magnetics Society Information
[IEEE] 2026-7-13 | Smart City Routing with RPL: Advances in Computational Intelligence and IoT Connectivity
[IEEE] 2026-7-13 | Scaling Vehicle-to-Grid Services in Europe: A Smart Grid Architecture Model
[IEEE] 2026-7-13 | BlackSeaCom 2026 Index Page
[IEEE] 2026-7-13 | Scalable, Secure and Persistent Natural Language Interfaces for SQL Databases
[IEEE] 2026-7-13 | CNN-based classification model for Detecting and differentiation of pneumonia
[IEEE] 2026-7-13 | Fundus Image-Based Diabetic Retinopathy Detection and Grading
[IEEE] 2026-7-13 | Design and Implementation of a Dual Antenna Switching System Based on Signal Quality Estimation Using Software Defined Radio
[IEEE] 2026-7-13 | Robust Automatic Modulation Classification Using RGB Density-Based Constellation Diagram Decomposition
[IEEE] 2026-7-13 | Model Predictive Control Framework of Low-Power DC-DC Boost Converters: Discrete Time Modeling, Predictive Switching, and Performance Analysis
[IEEE] 2026-7-13 | On the Application of Meta-Heuristics Algorithms to Improve the Classification Robustness of the WiFi Network Saturation Condition
[IEEE] 2026-7-13 | Slot-loaded Fractal-inspired Antenna for Wireless Applications
[IEEE] 2026-7-13 | A Selective Machine Learning Approach for Double-Threshold Spectrum Sensing
[IEEE] 2026-7-13 | Edge AI-Based Real-Time Fault Diagnostics for Industrial Motors Using Lightweight Neural Networks
[ACM] 2026-7-14 | Assets in Motion (AIM) - Injecting life into a static and linear asset building process
[ACM] 2026-7-14 | Pashboard: Modernizing Rez for Animation
[IEEE] 2026-7-13 | Joint Power and Resource Block Allocation for Delay-Reliable Downlink XR Scheduling in 6G
[IEEE] 2026-7-13 | End-to-End AI Agent System for MRI-Based Alzheimer’s Disease Detection and Explainability Using Machine Learning
[IEEE] 2026-7-14 | Evaluation on the AC Copper Loss of an Axial Flux Vernier Machine with Different Winding Layouts
[IEEE] 2026-7-14 | Synergizing Standards of Project Management With Ai-Driven Support: Challenges and Opportunities for Future Project Governance
[IEEE] 2026-7-14 | Easy-Axis Reorientation Analysis of Magnetic Nanoparticles Using BD-kMC Simulations
[IEEE] 2026-7-14 | Universal Framework for Integrating New Concepts Into Ontologies Across Multiple Domains
[IEEE] 2026-7-14 | Complex Frequency-Domain Finite Element Analysis for Magneto-Mechanical Coupling in Amorphous Wound Cores
[IEEE] 2026-7-14 | Broadband Double-Layer Electromagnetic Wave Absorber Using $\text{Nd}_{2} \text{Fe}_{17} \mathrm{N}_{3}$ with Planar Magnetocrystalline Anisotropy
[IEEE] 2026-7-14 | Robust Beamforming for Multi-UAV Systems under Attitude Jitter via Multi-Agent Reinforcement Learning
[IEEE] 2026-7-14 | Coupling of Multi-Scale Investigation Methods to Study Microstructural Related Magnetic Properties and Domain Structure of Electrical Steel Material
[IEEE] 2026-7-14 | Adaptive Leadership in Sustainable Development of an IT University Driven by Artificial Intelligence
[IEEE] 2026-7-14 | Simulation and Optimization of a Hybridized Solar PV-CHP-Biomass Energy System using the Differential Evolution Algorithm
[IEEE] 2026-7-14 | BEOL-Compatible Spin-Orbit Torque Device Enabled by a Noncollinear Antiferromagnet
[IEEE] 2026-7-14 | Comparative Analysis and Torque Optimization of Three Types of Rotors in Permanent Magnet Synchronous Motors
[IEEE] 2026-7-14 | New Results On q-Shaba Differential Operator on Subfamily of Bi-Starlike Functions linked with Four Leaf Domain
[IEEE] 2026-7-14 | SALT-V: Lightweight Authentication for 5G V2X Broadcasting
[IEEE] 2026-7-14 | Comparison of Single-Stage and Two-Stage Isolated High Power AC/DC Converter
[IEEE] 2026-7-14 | Design of a Low-Frequency Enclosed Differential Driver-Pickup Eddy-Current Sensor for Surface Defect Detection in Reformer Tubes
[IEEE] 2026-7-14 | Correlation between Magnetism and Stacking in Sr Hexaferrites
[IEEE] 2026-7-14 | Congestion-Aware Ant Colony Optimization for Time-Varying Networks in All-Optical Satellite Systems
[IEEE] 2026-7-14 | Strategies for the Disposal of Spacecraft of the National Earth Remote Sensing Constellation of the Republic of Kazakhstan
[IEEE] 2026-7-14 | DQRL-Based Dynamic Resource Allocation for Energy-Spectral Efficient Next-Generation Clustered Radio Access Networks
[IEEE] 2026-7-14 | Mathematical Modeling of Security-Aware Cyber-Physical Systems Using Pseudodifferential Operators
[IEEE] 2026-7-14 | Optimization and Fuel Property Characterization of Bio-oil from Catalytic Pyrolysis of Achyranthes aspera Wood Residue Using Zeolite Y Catalyst
[IEEE] 2026-7-14 | Satellite-Based Deep Learning Models for Mineral Exploration
[IEEE] 2026-7-14 | Augmented Edge–Cloud Service Orchestration: A Twin-Driven Coupling approach
[IEEE] 2026-7-14 | Magnetic Tunnel Junctions for Reservoir Computing Applications
[IEEE] 2026-7-14 | A Unified Off-Board Charger for Three-Phase Inductive and Single-Phase Conductive EV Charging
[IEEE] 2026-7-14 | Electric Engine Technology Review in eVTOL Aircraft for Transportation Electrification
[IEEE] 2026-7-14 | The Classical Mechanics Methods in Problems of Optimization of Robotic Systems Using the Niryo one Platform
[IEEE] 2026-7-14 | Development of a Digital Twin for Electrified Aircraft Powertrain Health Management
[IEEE] 2026-7-14 | Multimodal Fusion of EIS and Fiber-Optic Features for Cross-Chemistry SOC Estimation
[IEEE] 2026-7-14 | Development of AI-Based Analytical Systems in Sports: A Case Study of Table Tennis
[IEEE] 2026-7-14 | Design and Implemetation of a Smart Temperatutecontrolled Environment Using Microcontroller and Fuzzy Logic
[IEEE] 2026-7-14 | Design and Performance Assessment of Intermediary Coils for Misalignment Tolerance Improvement in Wireless Power Transfer Systems
[IEEE] 2026-7-14 | Causal AI Framework for Treatment Effect Estimation in Cardiovascular Disease Risk Analysis
[IEEE] 2026-7-14 | A Three-Dimensional Path Loss Model for THz Band Aerial Communications
[IEEE] 2026-7-14 | DILoc: Replay-Based Domain-Incremental Learning for Lifelong Multimodal WiFi–Magnetic Indoor Localization
[IEEE] 2026-7-14 | A Review of Soil Characterisation and Effects on Grounding Systems for Effective Lightning Current Dissipation
[IEEE] 2026-7-14 | Investigation of Interleaved High Power, High Step-up DC/DC Converters for Fuel Cell Range Extender Vehicles
[IEEE] 2026-7-14 | Common Mode Voltage Mitigation in Wireless Charging of Electric Vehicles
[IEEE] 2026-7-14 | A Deep Learning Model for Anomaly Detection in Video Using Object Segmentation and Localization
[IEEE] 2026-7-14 | Design of a Phase-Shifted Full-Bridge Converter for Intermediate Bus Architecture
[IEEE] 2026-7-14 | Assessment of Biomechanical Parameters of Physical Exercises Based on Computer Vision
[IEEE] 2026-7-14 | Unleashing Uplink Potential: AI-Driven Channel Selectivity Matching via Compressed Channel State Information
[IEEE] 2026-7-14 | CSIT-Driven Spectral Precoding for Sidelobe Suppression in Multicarrier Modulation
[IEEE] 2026-7-14 | Artificial Intelligence Application for Condition Assessment of High Voltage Power Transformer using Health Index
[IEEE] 2026-7-14 | An Effective Underwater Acoustic Physical Layer Encryption Communication Mechanism based on Dynamic Spatio-temporal Channel Feature
[IEEE] 2026-7-14 | Care-Setting Prediction Using Complete Blood Count Data Under Class Imbalance
[IEEE] 2026-7-14 | How Ubiquitous Slow Charging Saves Transportation Electrification Costs in Metropolitan Areas
[IEEE] 2026-7-14 | Analyzing Discovery Dynamics in Zigbee IoT Networks
[IEEE] 2026-7-14 | Spinning Quadrotor: Hover Thrust Augmentation with Passive Lifting Surfaces
[IEEE] 2026-7-14 | An Adaptive Method for Cybersecurity Requirements Management in Software Implementation
[IEEE] 2026-7-14 | Simultaneous Source Separation, Synchronization, Localization and Mapping for 6G Systems
[IEEE] 2026-7-14 | Author Index
[IEEE] 2026-7-14 | Financial Dimensions of ETS Mechanisms in Advancing Sustainable Development
[IEEE] 2026-7-14 | Adaptive and Predictive Control of UAS in Train-Drone Delivery System
[IEEE] 2026-7-14 | A Single-Phase Eleven-Level Inverter with Asymmetrical T-Type Structure
[IEEE] 2026-7-14 | 2026 IEEE 6th International Conference on Smart Information Systems and Technologies (SIST)
[IEEE] 2026-7-14 | Beamforming for Multiuser LEO Satellite Communications with Irregular Tiled Array
[IEEE] 2026-7-14 | Joint CFAR and Resource Allocation Optimization for Distributed 6G ISAC Systems
[IEEE] 2026-7-14 | From Ghosts to Beams: Radar-Guided LoS/NLoS Beam Alignment for 60 GHz Communication
[IEEE] 2026-7-14 | Trajectory Tracking Control Design for Autonomous Helicopters with Guaranteed Error Bounds
[IEEE] 2026-7-14 | An Autonomous Flight System for Small-Sized Drones Using Circular Buffered Hash Data Structure
[IEEE] 2026-7-14 | CA-AC-MPC: CUDA-Accelerated Actor-Critic Model Predictive Control
[IEEE] 2026-7-14 | Ka-Band Rectangular Micro-Coaxial-Line Bandpass Filters With CT Coupling Topologies for Satcom Application
[IEEE] 2026-7-14 | Flexible-Sector 6DMA: Joint Sector Rotation and Antenna Allocation Optimization
[IEEE] 2026-7-14 | Enhanced Physical Layer Authentication via Robust and Trustworthy Sensing
[IEEE] 2026-7-14 | QoS-Aware Effective Energy Efficiency Power Allocation for Slow FAMA Systems
[IEEE] 2026-7-14 | Learnware-Enabled Deployment for Deep Learning-based CSI Feedback
[IEEE] 2026-7-14 | Flying-Wing UAS Multi-Objective Design Optimization via Cross-Entropy Method
[IEEE] 2026-7-14 | Modulation of Carbon-Doped Buffer on the DC and Small-Signal Characteristics of AlGaN/GaN HEMTs on Si
[IEEE] 2026-7-14 | Crystal-Face-Dependent Electron Mobility Due to Distinct Interface Trap Distributions in SiC n-Channel MOSFETs
[IEEE] 2026-7-14 | Finite Element Analysis of Core Loss Under High-Low Frequency Composite Wave Excitation
[IEEE] 2026-7-14 | Universal Costas Matrices: Towards a General Framework for Costas Array Construction
[IEEE] 2026-7-14 | UAV-Enabled Short-Packet Communication via Fluid Antenna Systems
[IEEE] 2026-7-13 | Enhancing Precision in Light Exposure Monitoring: A Novel Neural Networks-based Spectral Reconstruction Method for Wearable Light Sensors
[IEEE] 2026-7-14 | Learning-Based Resource Management and Bitrate Adaptation for UAV Video Streaming over Low-Altitude Wireless Networks
[IEEE] 2026-7-13 | TrustCardio: A Multimodal Large Language Model with Chain-of-Thought Explainability for Personalized Vascular Age Prediction via Edge-Enabled Wearable Devices
[IEEE] 2026-7-13 | SymBOL: A General-Purpose Symbolic Learner for Scientific Discovery Using Bayesian Optimization-Enhanced Large Language Models
[IEEE] 2026-7-14 | Physically Informed Generalized Graph Signal Reconstruction for DoA Estimation in Switch-Based Hybrid Arrays
[IEEE] 2026-7-14 | From Virtual Live Entertainment to Real-Time Telepresence: Interoperable and Latency-Aware End-to-End Avatar Pipelines
[IEEE] 2026-7-13 | A Self-Calibrated Magnetic-Field Detection System Based on AM/FM Dual-Mode Lorentz Force Magnetometer
[IEEE] 2026-7-14 | Generalized Udwadia–Kalaba-Based Robust Control for Humanoid Robot Lower Limbs Under Comprehensive Constraints
[IEEE] 2026-7-14 | SMP-RCR: A Sparse Multipoint Moment Matching Method for RC Reduction
[IEEE] 2026-7-14 | Environment-Aware Path Loss Prediction Using Panoramic Images for Vehicular Communications
[IEEE] 2026-7-14 | Bias correction of satellite precipitation products near the data-scarce region of Al-Ahsa, Saudi Arabia_supp1-3708749.docx
[IEEE] 2026-7-14 | E-Health: AI based Stroke Prediction with Optimized Active Learning using Fog Computing
[IEEE] 2026-7-13 | A Rigid-Flexible Integrated Ankle Dorsiflexion Exoskeleton for Gait Assistance: Design, Control, and Characterization
[IEEE] 2026-7-14 | Reliable LLM-enabled Intent-driven Management: A Validation pipeline for Network Automation
[IEEE] 2026-7-14 | A Coupling Matrix Assisted Multi-Objective Optimization Scheme for Filters With Arbitrary Topology
[IEEE] 2026-7-13 | Design and Sensing Mechanism of Flexible Sensors for Lithium-Ion Battery Energy Storage Safety
[IEEE] 2026-7-14 | Q-Learning for 3D Coverage in VCSEL-based Optical Wireless Systems
[IEEE] 2026-7-14 | VN-Dict: Lightweight Authenticated Spatial Queries over Hybrid-Storage Blockchain
[IEEE] 2026-7-14 | Contribution-Aware Coalition Federated Learning in Edge-Assisted Healthcare Monitoring Systems
[IEEE] 2026-7-14 | Joint Constrained Coding and Iterative Consensus Reconstruction for DNA-Based Molecular Communication
[IEEE] 2026-7-14 | Beyond Carving: Deterministic Deleted File Recovery in Btrfs
[IEEE] 2026-7-14 | Learning to Separate RF Signals Under Uncertainty: Detect-Then-Separate vs. Unified Joint Models
[IEEE] 2026-7-14 | SPSA-Based Successive Beamforming for Mobile Satellite Receivers with Phased Arrays
[IEEE] 2026-7-13 | iFEMG-Based Muscle Function Assessment for Rehabilitation Monitoring after Knee Anterior Cruciate Ligament Repair Surgery
[IEEE] 2026-7-14 | Interference in Spectrum-Sharing Integrated Terrestrial and Satellite Networks: Modeling, Approximation, and Robust Transmit Beamforming
[IEEE] 2026-7-13 | Laser-Induced Gettering Enables Substrate-Free 4H-SiC Radiation Detectors
[IEEE] 2026-7-14 | A series pulse multiplication circuit to reduce the autotransformer rectifier input current THD of electric-powered aircraft
[IEEE] 2026-7-13 | Real-Time Demonstration of 228.48 Pb/s·km Transmission over 5×80-km 7-Core Fiber with 1.2-Tb/s/λ Transceivers across 12-THz C+L Band
[IEEE] 2026-7-14 | MoESEC: A Mixture of Experts Framework for Edge Semantic Communication Networks
[IEEE] 2026-7-14 | Location-Informed Edge Server Selection in Integrated Access Backhaul-Enabled 6G Networks
[IEEE] 2026-7-14 | Scalable User Admission Control in Large-Scale Cell-Free Massive MIMO
[IEEE] 2026-7-14 | Optimized Resource Orchestration for LoRa Networks in CS-enabled SHM
[IEEE] 2026-7-14 | Security Evaluations of Post-Quantum Cryptographic Primitives Against Quantum and AI-Based Attacks
[IEEE] 2026-7-14 | ReFLect: A Reputation-based Client Selection for Federated Learning in Mobile Networks
[IEEE] 2026-7-14 | Optimal Techno-Economic Assessment of Battery–Hydrogen Hybrid Energy Systems Using Genetic Algorithms and LSTM-Based Solar Forecasting
[IEEE] 2026-7-13 | A Risk-Based Stochastic Two-Stage Optimization Framework for Virtual Power Plants: The Role of Energy Storage Systems and Demand Response
[IEEE] 2026-7-14 | Asymmetric Reliability-Enhanced Scheduler Based on Heterogeneous Cellular Networks in Remote Driving Scenarios
[IEEE] 2026-7-13 | BlackSeaCom 2026 Ad Page
[IEEE] 2026-7-13 | Bridging the Reality Gap in Tampered Text Detection: A Human-Crafted Real-World Dataset and a Text-Centric Approach_supp1-3705334.pdf
[ACM] 2026-7-14 | From Spark to Inferno: Scalable Stylized Fire in Disney and Pixar’s Hoppers
[ACM] 2026-7-13 | Utilizing Adaptive Gamification in an Intelligent Tutoring System for Software Engineering Education
[ACM] 2026-7-13 | Agentic Workflows are Serverless Applications, so deploy them that way!
[ACM] 2026-7-14 | Development and Validation of the Perceived Personal Algorithmic Harms Scale: Algorithmic Stigma, Algorithmic Privacy Harms, Tangible Algorithmic Harms, and Race, Gender, and Disability Differences
[ACM] 2026-7-13 | A Cabinet of Affective Touches: Building Design Repository Linking Somatic Experience with Soft Robotic Systems
[ACM] 2026-7-13 | PlaSphere: An Immersive Hybrid Ecology of Plastiglomerates
[IEEE] 2026-7-13 | Temperature-Scaled Confidence Features: An Efficient Inference-Time Framework for Multimodal AI Safety
[IEEE] 2026-7-13 | Cloud-Based Cost Calculator for Multi-Provider Comparison
