[2026-07-30 23:07:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-29
正在获取论文...
[arXiv] 2026-07-29 | ClockRoPE: Random Fourier Rotations for Temporal Routine Modeling
[IEEE] 2026-7-29 | A Diagnostic Stress-Test Framework for Exogenous Variable Reliability in Transformer-based Time Series Forecasting
[IEEE] 2026-7-29 | Federated Inter-Bank Default Prediction: Enabling Secure Credit Risk Assessment Without Data Sharing
[IEEE] 2026-7-29 | Unitary-Orbit Collapse and Operator Reproducibility in Bispectral Neural Networks
[IEEE] 2026-7-29 | A Tomato Leaf Disease Recognition Method Based on Parameterized Wavelet-Enhanced MobileNetV3-Small
[IEEE] 2026-7-29 | ConvNeXt-Tiny Powered Deep Learning Framework for Automatic Grading of Handwritten Exams
[IEEE] 2026-7-29 | A Digital Twin–Driven IoT Framework for Human Movement Recognition
[IEEE] 2026-7-29 | Comparative Multi-Model Crop Advisory Framework with Explainability for Precision Agriculture
[IEEE] 2026-7-29 | Enhanced Residual Learning Framework with Grad-CAM-Based Interpretability for Multi-Stage Alzheimer’s Disease Classification
[IEEE] 2026-7-29 | An Efficient Blockchain-based Framework for Secure Electronic Health Record Sharing
[IEEE] 2026-7-29 | PABFL: Secure and Privacy-Aware Framework for Electronic Health Record Sharing in IoMT
[IEEE] 2026-7-29 | Prompt2Point: A Reference-Based Dataset for Dynamic Volumetric Quality Assessment
[IEEE] 2026-7-29 | LLM-based Multilingual Fake News Detection using Cross-Lingual Semantic Alignment and Contextual Reasoning
[IEEE] 2026-7-29 | Technical Implementation of Generative AI-Assisted Programming Course
[IEEE] 2026-7-29 | Manta Ray Optimization based Data Collection Point Selection with Mobile Sink for Secure Routing in WSN
[IEEE] 2026-7-29 | An In-Depth Control of Blockchain Enabled and AI based Security Mechanisms in Distributed WSN-IoT Environments
[IEEE] 2026-7-29 | Crowdsourced Assessment of the Impact of Overlays on Short-Form Video Quality Perception
[IEEE] 2026-7-29 | Design of a Low-Cost IoT-Based Fire-Extinguisher Cylinder Leakage Monitoring System
[IEEE] 2026-7-29 | UVG-GS: Human-Centric Gaussian Splats Dataset for Visual Volumetric Compression
[IEEE] 2026-7-29 | Lightweight Audio–Visual Emotion Recognition with Cross-Modal Gated Attention
[IEEE] 2026-7-29 | A Review of Deep Learning Methods for Morphological Analysis of Hematopoietic Stem Cells in Leukaemia Toward Sustainable Healthcare
[IEEE] 2026-7-29 | Highly Localized Delivery of Microwaves to Quantum Bits with a Scanning Loop Micro-Antenna
[IEEE] 2026-7-29 | Incremental Risk Assessment of Progressive Elder Financial Scams via Instruction-Tuned Small Language Models
[IEEE] 2026-7-29 | A D-Band GaAs pHEMT 2T1R Super-Regenerative Oscillator-Based Sensor Array Using Quench-Controlled Phase-Shifting Technique for Multi-Target Vital Sign Detection
[IEEE] 2026-7-29 | An Explainable Multi-Model Perception Framework for Traffc Signal Warning Systems using YOLOv8
[IEEE] 2026-7-29 | IoT and RFID based Smart Bag for Essential Item Monitoring and Real Time Alerts with Customization for Visually and Hearing Impaired
[IEEE] 2026-7-29 | An Efficient Privacy Amplification Scheme Based on SQH-L
[IEEE] 2026-7-29 | Deep Learning based Lightweight Knowledge Distillation Approach for Diagnosis of Alzheimer’s Disease
[IEEE] 2026-7-29 | A 200-to-257GHz Autodyne FMCW Phased-Array Radar with 2D Beam-Steering in 55nm BiCMOS
[IEEE] 2026-7-29 | A Subjective Quality Database for Human-AI Co-Created Images
[ACM] 2026-7-30 | High Dimensional Procedural Content Generation
[ACM] 2026-7-30 | An Exploration of Collision-based Enemy Morphology Generation
[ACM] 2026-7-30 | Performance Of Large Language Models As Hearthstone Agents
[IEEE] 2026-7-30 | From Big Data to Small Data: Optimizing Practical Feasibility of Crash Pulse Prediction by Reducing the Data Burden
[IEEE] 2026-7-30 | AutoSDV: A Software-Defined, 5G-Enabled Platform for Autoware Education and Development
[IEEE] 2026-7-30 | TRAP: A Joint Tracking and Prediction Algorithm Towards Unified Perception
[IEEE] 2026-7-30 | SCM 2026 Blank Page
[IEEE] 2026-7-30 | AutoVDC: Automated Vision Data Cleaning Using Vision-Language Models
[IEEE] 2026-7-29 | LLM-Empowered MAPPO for Embodied Cognitive Satellite-Terrestrial Networks with RSMA
[IEEE] 2026-7-29 | Multi-Frame Track-Before-Detect Algorithm for Radar Range Spread Targets_supp1-3717767.pdf
[IEEE] 2026-7-30 | A GNN Surrogate for Fast S-NFC-Based RCS Estimation of Large-Scale Chaff Clouds
[IEEE] 2026-7-30 | A Dual-Mode Cooperative Bio-Inspired Capacitive Sensor for Leak Detection in Sealed Cabin
[IEEE] 2026-7-29 | SPA-Net: Skeletal-to-Whole Point Cloud Completion Via Progressive Off-attention Neighboring Feature Aggregation
[IEEE] 2026-7-30 | Hyperbolic Concept Bottleneck Model for Interpretable Fine-grained Image Classification_supp1-3718260.pdf
[IEEE] 2026-7-30 | Wideband and Wide-Angle Linear Polarization Conversion Metasurface with High Frequency Selectivity
[IEEE] 2026-7-30 | GraphSpecRC: A Graph-based Recurrent Learning Approach for Real-Time Spectrum Prediction
[IEEE] 2026-7-30 | ADPS: Adaptive Precoding Selection Scheme for Time-Critical Multi-Radio Access Technology 5G NR Heterogeneous IoT Networks
[IEEE] 2026-7-30 | $70 to Work, Teach, and Play with Sub-mm Robots
[IEEE] 2026-7-29 | LLM-Enabled Low-Altitude UAV Natural Language Navigation via Signal Temporal Logic Specification Translation and Repair
[IEEE] 2026-7-30 | Contingency Planning for Autonomous Vehicles Using Mixed-Integer Programming
[IEEE] 2026-7-30 | AI-Powered Self-Healing Microservice Chatbot for Robust Conversational Services
[IEEE] 2026-7-30 | SCOUT-CT: Sound Constant-Time Outcome with Uncertainty Tracking using multi-taint analysis
[IEEE] 2026-7-30 | A System for Train Condition Monitoring and Structural Health Assessment of Rail Vehicles
[IEEE] 2026-7-29 | Asynchronous Random Committee Election for Preprocessing in Asynchronous Distributed Key Generation
[IEEE] 2026-7-30 | A Decision-Oriented Evaluation of Energy Storage Options for Thomson-Coil Actuated Ultrafast Disconnectors in Transportation DC Power Systems
[IEEE] 2026-7-30 | Generalization of Supervised Federated Intrusion Detection in VANETs
[IEEE] 2026-7-30 | DMV-AVP: Distributed Multi-Vehicle Autonomous Valet Parking Using Autoware
[IEEE] 2026-7-30 | Friction-Adaptive Nonlinear MPC for Autonomous Tractor-Semitrailers in Low-Friction Conditions
[IEEE] 2026-7-30 | Dynamic Lookahead Distance via Reinforcement Learning-Based Pure Pursuit for Autonomous Racing
[IEEE] 2026-7-29 | Consistent Hashing and Mahalanobis Distance-Based Swarm Learning for Collaborative Caching in Digital Twin Industrial IoT_supp1-3717315.docx
[IEEE] 2026-7-30 | ScenicRules: An Autonomous Driving Benchmark with Multi-Objective Specifications and Abstract Scenarios
[IEEE] 2026-7-29 | Vis2Touch: Perceptually Grounded 3D Printing of Visual Art With AI-Driven Depth and Texture Estimation
[IEEE] 2026-7-30 | LUMI: Lightweight UAVCAN Message Window-Based Intrusion Detection System
[IEEE] 2026-7-30 | STOcc: Spatial-Aware Weighting and Multi-Scale Voxel-Level Temporal Fusion for 3D Occupancy Prediction
[IEEE] 2026-7-30 | Revisiting Privacy Leakage in Machine Unlearning: Membership Inference Beyond the Forgotten Set
[IEEE] 2026-7-30 | Camera-Only Multi-Camera Vehicle Tracking and Parking-Lot Occupancy on Commercial CCTV
[IEEE] 2026-7-30 | MaPLocator: Map-Prior Enhanced End-to-End Vehicle Localization with Coarse-to-Fine Pose Refinement
[IEEE] 2026-7-29 | An Efficient Visual Measurement Method for Integrated Circuit Surface Text via Lightweight Spatial Modeling
[IEEE] 2026-7-29 | A Bootstrap Estimator for Stirring Bandwidth of a Frequency-Stirred Reverberation Chamber
[IEEE] 2026-7-29 | A Tightly Coupled LiDAR-Inertial Localization Method for High-Speed Trains
[IEEE] 2026-7-30 | Through-skin pilot-hole detection and localisation with atomic magnetometers: enhanced penetration via improved magnetic background stabilisation
[IEEE] 2026-7-29 | Untangling Intricate Dependencies: Characterizing and Resolving Software Package Dependencies
[IEEE] 2026-7-30 | Face De-Identification: A Domain-Centric Survey from Capture to Processing
[IEEE] 2026-7-30 | Voice-Controlled Robotic Arm System for Tabletop Manipulation via Large Language Model and 3D Vision
[IEEE] 2026-7-30 | HyPlan: Hybrid Learning-Assisted Planning Under Uncertainty for Safe Autonomous Driving
[IEEE] 2026-7-30 | A Novel Synchrophasor Measurement Method for Distribution Networks and its FPGA-Based Hardware Implementation
[IEEE] 2026-7-30 | Detection of Tobacco Mosaic and Leaf Curl Diseases Using UAV-Based Hyperspectral Imaging and Multi-Feature Fusion
[IEEE] 2026-7-30 | Anomaly Detection in Neuro-Oncological Benchmarks: A Data-Centric Prerequisite for Reliable Machine Learning
[IEEE] 2026-7-30 | Context-Aware and Privacy-Preserving Trust Management Framework for Internet of Vehicles: Formal Models, Adaptive Consensus, and Real-World Validation_supp1-3715096.pdf
[ACM] 2026-7-29 | Research on Federated Learning Algorithms for Perceptual-Semantic Communication in Edge Computing Environments
[IEEE] 2026-7-29 | Millimeter-wave 3D Radar and IR Multimodal Sensing System Enabling AI-based Event Recognition with Enhanced Privacy
[IEEE] 2026-7-29 | Adaptive Malware Detection using Reinforcement Learning
[IEEE] 2026-7-29 | Self-Cooling GaN Power Amplifier Enabled by Harmonic Injection for Scalable High-Density Array Integration
[IEEE] 2026-7-29 | Acoustic Features as Potential Vocal Biomarkers for Multiple Sclerosis
[IEEE] 2026-7-29 | Explainable Graph Neural Network Framework for Digital Transaction Fraud Detection
[IEEE] 2026-7-29 | A Clustered Distribution Based Adaptive Weight MOEA/D for Constrained Multi-Objective Optimization
[IEEE] 2026-7-29 | A Collaborative Version-Controlled Framework for Evolutionary Optimization of AI Prompts
[IEEE] 2026-7-29 | Highly Sensitive Microwave Sensor Based on SIW Using an Axial Capacitive Extension (ACE) with IDC Loaded CSRR for Wrist Pulse Detection
[IEEE] 2026-7-29 | Graph Neural Network-Based Anomaly Detection and Behavioral Modeling for Dynamic Large-Scale Data Streams
[IEEE] 2026-7-29 | Non-Functional Requirements (NFRs) Classification Based on Transformer and RNN Models
[IEEE] 2026-7-29 | Applying federated population-based hyperparameter optimization to server aggregation methods
[IEEE] 2026-7-29 | Selection and Comparative Evaluation of Collaborative Imputation Techniques for Missing Harmonic Data in 10 kV Distribution Areas under Heterogeneous Communication Conditions
[IEEE] 2026-7-29 | Defensive-Pressure-Aware Expected Goals Estimation via Feature-Embedded Feed-Forward Neural Network
[IEEE] 2026-7-29 | DEF-YOLO for Dual-Enhancement Fusion in Road Crack Detection
[IEEE] 2026-7-29 | Breast Cancer Detection using Convolutional Approach-based Student-Teacher Model
[IEEE] 2026-7-29 | Automatic Road Damage Detection System and Location Indicator to Government Portal for Immediate Maintenance
[IEEE] 2026-7-29 | Cloud-Native Distributed Data Layer for the Computing Continuum with Integrated Location-Aware Workflows
[IEEE] 2026-7-29 | Few-Shot Meta-Learning for Hallucination-Free Cross-Lingual Prompt Optimization in Low-Resource Indic Languages
[IEEE] 2026-7-29 | Federated Learning for ICU Mortality Prediction: Balancing Accuracy and Privacy in a Multi-Hospital Setting
[IEEE] 2026-7-29 | A Self-Powered Antenna Monitoring System for DAS
[IEEE] 2026-7-29 | 360-FORGE: A CGI Foundry for Omnidirectional Reference Ground-Truth in 360° Annotation Studies
[IEEE] 2026-7-29 | EEG-Driven Implicit Interaction for In-Vehicle Auditory Alerts
[IEEE] 2026-7-29 | Deep Ensemble Framework for Malnutrition Detection using YOLO Feature Extraction and Rf–XGBoost Classification
[IEEE] 2026-7-29 | Accurate Liver Disease Prediction using a Hierarchical Two-Level Ensemble Stacking Model
[IEEE] 2026-7-29 | Design and Performance Analysis of a SRR-Loaded Hexagonal Microstrip Patch Antenna for 12.5 GHz Ku-Band Satellite Communication
[IEEE] 2026-7-29 | Image Rejection and Interference Sensitivity Testing via BER Degradation of Digital Transceivers
[IEEE] 2026-7-29 | Enhancing Cloud Network Security: Utilizing Blockchain for Attack Detection Systems
[IEEE] 2026-7-29 | AI-Powered Product Prediction and Price Comparison System using BERT and LSTM for High Accuracy
[IEEE] 2026-7-29 | Smart Contract Vulnerability Detection using Salp Swarm Optimized Hybrid Attention-Enabled Deep Learning Model
[IEEE] 2026-7-29 | LiDAR-Augmented Wi-Fi Signal Strength Prediction: A Use-Case Study on Industrial AGVs
[IEEE] 2026-7-29 | A Comprehensive Review of Spectrum Sensing Techniques in Cognitive Radio Networks: Recent Advances, Datasets, Challenges and Future Research Directions
[ACM] 2026-7-30 | Adventures in Morphing a Cross-Platform Educational Game
[ACM] 2026-7-30 | Christianity in Horror Videogames: A Qualitative Content Analysis
[ACM] 2026-7-30 | Adaptive Time Delay for Improving Player Experience and Fairness in First-Person Shooter Games with Network Latency
[ACM] 2026-7-30 | "Several Hundred Freaks and No One Else": Practitioner Perspectives on Alternative Controller Design and Development in the MAGFest Indie Arcade Community
[ACM] 2026-7-29 | The Role of Analytics Orientation on Advanced Analytics Adoption in SMEs (Small and Medium-Sized Enterprises)
[ACM] 2026-7-29 | LuaReSym: Recovering Variable Liveness Ranges in Stripped Lua Bytecode via Multi-Stage Static Analysis
[ACM] 2026-7-29 | SQL-Commenter: Aligning Large Language Models for SQL Comment Generation with Direct Preference Optimization
[ACM] 2026-7-29 | Put The “Code” Back in “Code Comprehension Study”
[ACM] 2026-7-29 | CPPJoules: An Energy Measurement Tool for C++
[IEEE] 2026-7-29 | Table of Contents
[IEEE] 2026-7-29 | Sparse Threats, Focused Defense: Criticality-Aware Robust Reinforcement Learning for Safe Autonomous Driving_supp1-3717687.pdf
[IEEE] 2026-7-29 | IEEE Control Systems Society Publication Information
[IEEE] 2026-7-29 | IEEE Transactions on Circuits and Systems--I: Regular Papers Publication Information
[IEEE] 2026-7-29 | ICCMC 2026 Committees
[IEEE] 2026-7-29 | Table of Contents
[IEEE] 2026-7-29 | IMS RFSA 2026 Author Information Page
[ACM] 2026-7-29 | MkAtt-SDN2GO: A Preliminary Multi-Modal Attention Framework for Human Protein Function Prediction
[ACM] 2026-7-29 | Weakly Supervised Representation Learning for Cross-Ontology Mapping
[ACM] 2026-7-29 | N3C Data Analytics for Attribute Importance and Prediction Tasks
[ACM] 2026-7-29 | PRECISION-Connect: AI-Ready Multimorbidity and SDOH Risk Vectors for Explainable 30-Day Readmission and County-Level Disparity Modeling
[ACM] 2026-7-29 | CACL: Context-Aware Contrastive Learning for Semantic Modeling of Anomalies in EHR Data
[ACM] 2026-7-29 | Quantifying Memorization and Privacy Risks in Genomic Language Models
[IEEE] 2026-7-30 | EMT Versus Reduced-Order Models for Multi-Area Synthetic Inertia Analysis
[IEEE] 2026-7-30 | SAC-RAG: Semantic Adaptive Context Compression for Retrieval-Augmented Generation
[IEEE] 2026-7-30 | Breaking ECDSA with Electromagnetic Side-Channel Attacks: Challenges and Practicality on Modern Smartphones
[IEEE] 2026-7-30 | TRUNK-Gripper: A Soft Multi-modal Gripper for Complex Objects
[IEEE] 2026-7-29 | Enhancing DevSecOps Practices for Secure AI Platforms Using SABSA
[IEEE] 2026-7-29 | Guest Editorial: Introduction to the Special Section on Vehicular Digital Twins: Architectures, Communication Protocols, and Applications for Internet of Vehicles Systems
[IEEE] 2026-7-30 | Breaking the Resource Barrier: Parameter-Efficient Hierarchical VLA Fine-Tuning via Single-View Semantic Reasoning
[IEEE] 2026-7-30 | Improving the Network Device Throughput Measurement Method Based on Adaptive Search Algorithms Using Measurement History
[IEEE] 2026-7-30 | Towards Deployable VCFI: Architectural Analysis and Cache-Optimized Verification
[IEEE] 2026-7-30 | Improving 3D Labeling in Self-Driving by Inferring Vehicle Information using Vision Language Models
[IEEE] 2026-7-30 | RADBench: Evaluating Foundation VLMs for Corner Case Description on A Comprehensive Dataset
[IEEE] 2026-7-30 | Highly Sensitive MAPbBr
                    <sub>3</sub>
                    Single-Crystal Photodetector by Surface Reconstruction
[IEEE] 2026-7-29 | Human Activity Recognition with UWB Radar-Integrated UAV in Cluttered Low-Attitude Space: a Video Swin-Transformer Approach
[IEEE] 2026-7-30 | RADE-Net: Robust Attention Network for Radar-Only Object Detection in Adverse Weather
[IEEE] 2026-7-30 | Basic Autonomous Systems for Environmental Feature Identification in Pilot Robot Applications
[IEEE] 2026-7-30 | DRCP: Diffusion on Reinforced Cooperative Perception for Perceiving Beyond Limits
[IEEE] 2026-7-30 | Efficiency of Filter-Based Feature Selection Algorithms
[IEEE] 2026-7-30 | Dual-Threshold Multi-Frame Gradient-Weighted and Deep Spatio-Temporal Attention Network for Cloud-Rain-Sea Clutter Region Extraction
[IEEE] 2026-7-29 | Privacy-Preserving Attribute-Based Bilateral Access Control with Zero-Knowledge Pre-Verification for IIoT
[IEEE] 2026-7-30 | Optimized Small Object Detection Model for Autonomous Driving
[IEEE] 2026-7-29 | A Three-Mode Low-Voltage-Stress Hybrid Buck-Boost Converter With Continuous Output Current Delivery Applied to Lithium Batteries
[IEEE] 2026-7-30 | Formal Foundations of Trigger-Based Watermarking
[IEEE] 2026-7-30 | Efficient Cross-Country Data Acquisition Strategy for ADAS via Street-View Imagery
[IEEE] 2026-7-30 | Unsupervised Detection of Sun Glare Camera Frames for Safer Autonomous Driving
[IEEE] 2026-7-30 | Occlusion-Aware Driver Monitoring using VLM-Enhanced Situational Understanding
[IEEE] 2026-7-30 | A Three-Dimensional Evaluation Framework for Triboelectric Sensors in Alpine Insulator Monitoring
[IEEE] 2026-7-30 | EC-Detector: AI Assisted Edge Case Discovery for AV/ADAS Vehicle Testing
[IEEE] 2026-7-30 | UEFI Memory Forensics: A Framework for UEFI Threat Analysis
[IEEE] 2026-7-30 | A Simulation-based Benchmark for LiDAR SLAM in featureless Tunnels with a novel Robustness Evaluation
[IEEE] 2026-7-30 | Learning human driver dynamics from experiments
[IEEE] 2026-7-29 | GPS/BDS continuous network time transfer with estimated satellite clocks
[IEEE] 2026-7-29 | Double-Error Correction With Dual-Stage Hamming Code for On-Die ECCs in High-Speed Memories
[IEEE] 2026-7-29 | An Energy-Based Personalized Gait Adjustment Approach for Individuals with Gait Abnormalities During Walking
[IEEE] 2026-7-29 | MILES: Metric Learning with Expandable Subspace for Pre-Trained Model-Based Class-Incremental Learning
[IEEE] 2026-7-30 | Mechanical Power Sharing and Torsional Vibration Suppression Control for Dual Motor Drive System
[IEEE] 2026-7-29 | Active Movable-Element RIS Assisted Vehicular Semantic Communications: Modeling and Optimization
[IEEE] 2026-7-30 | Consistent 4D Appearance Editing with Gaussian Splatting_supp2-3717152.mp4
[IEEE] 2026-7-30 | Simultaneous Simulation Model of Hysteresis Loss and Eddy Current Loss of No-Insulation Coils Based on the $\bfseries \itshape {J}-\phi$ Volume Integral Equation and the Discontinuous Galerkin Method
[IEEE] 2026-7-29 | Provably Secure and Robust Training-Free GIF Steganography
[IEEE] 2026-7-30 | Domain-Map Selection and Decision-Level Fusion for Lightweight FMCW Multi-Radar Human Activity Recognition
[IEEE] 2026-7-30 | Combined steer and rider lean control for a low-cost, small-scale self-balancing motorcycle
[IEEE] 2026-7-30 | Radar-based Pose Optimization for HD Map Generation from Noisy Multi-Drive Vehicle Fleet Data
[IEEE] 2026-7-30 | ForeSight: Context-Aware Load Balancing for Distributed Edge Video Analytics
[IEEE] 2026-7-30 | Learning the Pareto Space of Multi-Objective Autonomous Driving: A Modular, Data-Driven Approach
[IEEE] 2026-7-30 | DMAVA: Distributed Multi-Autonomous Vehicle Architecture Using Autoware
[IEEE] 2026-7-30 | Semantic First, Bits Later: Predictive Latent Transport for Smart-City Edge Media
[ACM] 2026-7-30 | Privacy-Preserving Data Governance and AI Empowerment Platform for Universities Based on 6G Federated Learning
[ACM] 2026-7-29 | RepoMind: Enhancing Repository-Level Code Generation via LLM Reasoning over Structured Repository Documentation
[ACM] 2026-7-29 | Hyalinos: From Type Inference to Community Knowledge
[ACM] 2026-7-29 | Exploring User Perspectives on Security and Privacy of Genetic Home Testing
[ACM] 2026-7-29 | Establishing a Baseline of Software Supply Chain Security Task Adoption by Software Organizations
[ACM] 2026-7-29 | Hierarchical Enzyme Classification with Integrated Sequence and Folding‑Derived Representations
[ACM] 2026-7-29 | PNEA-MIL: Interpretable Multiple-Instance Learning for Whole-Slide Images through Positive-Negative Evidence Analysis
[ACM] 2026-7-29 | Robustness and Energy-Aware ECG Classification under Input and Model Compression
[IEEE] 2026-7-29 | 2026 IEEE 26th International Symposium on Cluster, Cloud and Internet Computing Workshops (CCGridW)
[IEEE] 2026-7-29 | BERT-HemoPep60: Transformer-based Deep Learning Method with Domain-Adaptive Pretraining for Quantitative Hemolytic Activity Prediction of Peptides_supp1-3717818.pdf
[IEEE] 2026-7-29 | Event-triggered Practical Prescribed-time Consensus Tracking of Second-order Nonlinear Multiagent Systems-A Novel Edge-based Dynamic Memory Approach_supp1-3717665.pdf
[IEEE] 2026-7-29 | IEEE Journal of Quantum Electronics Information for Authors
[IEEE] 2026-7-29 | Assessing Personality Consistency in Large Language Models: A Psychometric Framework for Human-Centric Quality of Experience
[IEEE] 2026-7-29 | A Comparative Analysis of Malware Detection Techniques in Encrypted Network Traffic
[IEEE] 2026-7-29 | Research on Greenhouse Bell Pepper Disease Detection System Based on Edge Computing and Dual-Engine Dynamic Inference
[IEEE] 2026-7-29 | Integrated Energy Prediction, Adaptive Duty Cycling, and Clustering Framework for Solar Energy Harvesting Wireless Sensor Networks
[IEEE] 2026-7-29 | Adaptive Deep Learning Ensemble Framework for Real-Time Network Anomaly Detection
[IEEE] 2026-7-29 | FL-EHDS: A Privacy-Preserving Multimodal Federated Learning Framework for the European Health Data Space
[IEEE] 2026-7-29 | Research on Cross-Domain Integrated Verification and Validation Technologies for Nuclear Safety- Level Data Processing Software
[ACM] 2026-7-30 | Vertical Mix Index: A Novel Metric for Vertical Land Use Mix in Procedural City Generation
[ACM] 2026-7-30 | (Re)constructing and (Re)Imagining Archaeological Sites: The Talos Principle's Egypt
[ACM] 2026-7-30 | Deciphering the Hunter's Note: How Digital Game Cultures Cultivate Rituals and Shared Ideologies in Paratextual Spaces
[ACM] 2026-7-30 | Post-Thinking in NPC Dialogue: A Paradigm for Reflective Character Models
[ACM] 2026-7-30 | Friction-Driven Design: A Paradigm for Games for Bildung
[IEEE] 2026-7-29 | Logical Scalability in Big Data Architectures: Impact of Data Modeling on the Database Layer
[IEEE] 2026-7-29 | Insights into Emerging Blockchain Scalability Approaches Through Layer-2 Solutions and Sharding Mechanisms for High Throughput Decentralised Systems
[IEEE] 2026-7-29 | ChronoMind: A Neural Framework for Logical and Temporal Consistency Verification in Short Stories
[IEEE] 2026-7-29 | DFA-YOLO: Multi-Scale Dilated Fusion Attention for Improved Document Layout Analysis Based on Improved YOLO11
[IEEE] 2026-7-29 | Comparative Study on Sentiment Classification of Chinese Hotel Reviews by Prompt BERT vs. ERNIE
[IEEE] 2026-7-29 | A Multi-Scale Enhanced YOLOv8 Framework for Fine-Grained Agricultural Pest Detection
[IEEE] 2026-7-29 | High Accuracy AI Powered Smart Waste Segregation Embedded Systems
[IEEE] 2026-7-29 | InfiTRON: An LLM-Powered Infrastructure for Monitoring, Intervention, and Technology Repair Operations Network
[IEEE] 2026-7-29 | Agent-Driven Customer Retention using Reinforcement Learning and Behavioral Analytics
[IEEE] 2026-7-29 | Application and Research of Gated Loop Unit Based on Arduino Sensors in Plant Prediction
[IEEE] 2026-7-29 | A Multimodal Attention-based Ensemble Approach for Lung Cancer Detection using CT Images and Clinical Data
[IEEE] 2026-7-29 | Edge-based Safety Optimization: Lightweight Fuzzy Integrated Model for Trustworthy AGV Braking
[IEEE] 2026-7-29 | Advancing Cryptographic Implementation Security through Expert-Driven CoT-RAG Architecture
[IEEE] 2026-7-29 | SK-DDI: Structure-Knowledge Dual-Perspective Approach for Drug-Drug Interaction Prediction
[IEEE] 2026-7-29 | Prediction of Olympic Event Elimination Based on Machine Learning: Key Indicators and Model Comparison
[IEEE] 2026-7-29 | A Hybrid RP-IoMin based Cancelable Biometric Framework for Secure Authentication
[IEEE] 2026-7-29 | Port Electric Load Forecasting Based on SARIMAX-BiLSTM-CPSO-XGBoost Stacked Ensemble Model
[IEEE] 2026-7-29 | Deepfake Detection using Deep Learning
[IEEE] 2026-7-29 | Sap Ariba vs. Oracle Procurement Cloud for Supplier Audits
[IEEE] 2026-7-29 | Design and research on lightweighting Strategies for CLIP-Based Cross-Modal Model
[IEEE] 2026-7-29 | Research on the Design of Foam Aluminum Night Lights Driven by Human Factors Data
[IEEE] 2026-7-29 | LungNet++: An Enhanced Deep Learning Framework for Tumor Segmentation
[IEEE] 2026-7-29 | Verifiable Semantic Consensus for AI Agents in Embedding Space
[IEEE] 2026-7-29 | Deep Reinforcement Learning for Dynamic Spectrum Allocation in Cognitive Radio Network
[IEEE] 2026-7-29 | Quantora: A Quantum-Aware Machine Learning Simulator for Enterprise-Scale AI Experimentation
[IEEE] 2026-7-29 | Exam-based Image-Text Logic Consistency Verification via Feature-wise Modulation and Residual Fusion
[IEEE] 2026-7-29 | An Efficient Detection Transformer with Discriminative Attention-based Res-Senet Model for Early Plant Disease Detection and Classification
[IEEE] 2026-7-29 | Explainable Rider Behavior Analysis for Powered Two-Wheelers Using Fusion of Physiological and Mobility Data
[IEEE] 2026-7-30 | Learning Transaction Embedding from Multi-Level High Utility Itemsets
[IEEE] 2026-7-30 | HEADS: Accuracy–Makespan Co-Optimization for Multitenant Multi-FPGA Edge Systems
[IEEE] 2026-7-30 | Robust Near-Field Channel Estimation for XL-MIMO Systems With Missing Data Using Chirplet Transform
[IEEE] 2026-7-29 | High-Speed Synchronous Transmission Technology for Three-Phase Three-Channel Wireless Power and Reverse Signal
[IEEE] 2026-7-30 | Fast and Robust Localization for Humanoid Soccer Robot via Iterative Landmark Matching
[IEEE] 2026-7-29 | EffSCG: An Efficient Framework for Real-Time Seismocardiogram Denoising on Resource-Constrained Edge Devices
[IEEE] 2026-7-30 | Autonomous Driving on Forest Roads under Unreliable GNSS
                    <sup>*</sup>
[IEEE] 2026-7-30 | DeGuV: Depth-Guided Visual Reinforcement Learning for Generalization and Interpretability in Manipulation
[IEEE] 2026-7-30 | LRC-WeatherNet: LiDAR, RADAR, and Camera Fusion Network for Real-time Weather-type Classification in Autonomous Driving
[IEEE] 2026-7-30 | Towards Safe Autonomous Driving: A Real-Time Motion Planning Algorithm on Embedded Hardware
[IEEE] 2026-7-30 | Zone-Based Joint Camera-Kiosk Analytics for Smart Retail Insights
[IEEE] 2026-7-30 | Person Detection and Tracking from an Overhead Crane LiDAR
[IEEE] 2026-7-29 | A Multi-Modal Cyclic Peptide Representation Learning Framework for Membrane Permeability Prediction
[IEEE] 2026-7-30 | A Method for Defining the Operational Design Domain for Automated Driving Systems Considering Regulations, Real-World Data, and Stakeholder Decisions
[IEEE] 2026-7-30 | Copyright Page
[IEEE] 2026-7-29 | Quantum Sensing for Systems-Level Technologies and Applications
[IEEE] 2026-7-30 | Bending–Rebound Angle Inspection System and Method for Cigarette-Box Packaging Materials
[IEEE] 2026-7-30 | Reviewers
[IEEE] 2026-7-29 | CEE-NeRF: Dynamic Neural Radiance Fields With Contrastive Enhanced Expression Representation for 4-D Face Reconstruction
[IEEE] 2026-7-30 | Development of a Handheld Scanner and Semi-Automatic Primitive Fitting Using a Point-Cloud Map
[IEEE] 2026-7-30 | Efficient Reconfiguration of Multi-Robot Formations on Ptolemaic Topologies: Linear-Time Feasibility and Exact Optimization
[IEEE] 2026-7-30 | Modelling Pedestrian Behaviour in Autonomous Vehicle Encounters Using Naturalistic Dataset
[IEEE] 2026-7-30 | Pain Expression Generation with PainDiffusion: A Lightweight Study of Inference Hyperparameters and Subjective Naturalness
