[2026-08-07 22:34:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-06
正在获取论文...
[arXiv] 2026-08-06 | Periods of E-operators
[IEEE] 2026-8-7 | Personalized Reverse Iontophoresis-based Non-Invasive Continuous Glucose Monitoring via Multi-Parameters Coupled Machine Learning
[IEEE] 2026-8-7 | An Edge-Guided Mixture-of-Experts Network for Arbitrary-Scale Multi-Contrast MRI Super-Resolution
[IEEE] 2026-8-7 | High-Precision Orange Leaf Disease Detection Using Edge-Optimized Lightweight YOLO nano models
[IEEE] 2026-8-7 | Implementation of an OSINT-Based Dark Web Monitoring Tool for Stolen Personally Identifiable Information (PII)
[IEEE] 2026-8-7 | Traffic Density Estimation from Real-Time Video Streams using Convolutional Neural Networks
[IEEE] 2026-8-7 | Behaviour-Driven Temporal Intrusion Detection Using Hybrid CNN-BiLSTM-Attention Networks for IoT Traffic
[IEEE] 2026-8-7 | Machine Learning Soft Sensor for Predicting the Product Quality of a Hydrogen Reduction Furnace
[IEEE] 2026-8-7 | Practical Exploration of the Youthful Inheritance of Dalian Intangible Cultural Heritage Driven by Digital Intelligence
[IEEE] 2026-8-7 | A Research on the Current Application Status of Generative AI Tools Among Deaf and Hard-of-Hearing(DHH) College Students
[IEEE] 2026-8-7 | Towards An Agile Business Intelligence Dashboard for Bandwidth and Subscription Transparency in the Starlink Reseller Ecosystem
[IEEE] 2026-8-7 | Optimizing Oil Palm Detection: A Deep Dive into Algorithm Performance and Software Metrics
[IEEE] 2026-8-7 | Cultural Design of South Liaoning Shadow Puppetry via Consumption Value Theory and Eye-Tracking
[IEEE] 2026-8-7 | Thiolated TiO
                    <sub>2</sub>
                    Thin Films Based Flexible Patch for Real-time Detection of L-cysteine in Sweat
[IEEE] 2026-8-7 | Lightweight Stress Detection Framework Using Wearable Bio-Signals and Machine Learning
[IEEE] 2026-8-7 | A Combined Image Matching Method for Multi-Beam Sonar Image
[IEEE] 2026-8-7 | Using Genetic Algorithms to Optimize the Construction Strategy of Customer Relationship Management Platforms for Industrial and Commercial Enterprises
[IEEE] 2026-8-7 | A KernelCentric AI Architecture for Emergency Triage: From Healthcare Knowledge Management to Simulated Dispatch Scenarios*
[IEEE] 2026-8-6 | HRN: A Hybrid Recall Network for Crop Classification Using Multi-source Time-series Remote Sensing Data
[IEEE] 2026-8-7 | PDR-Enabled Edge of Chaos in Locally Active Memristors and Their Oscillators
[IEEE] 2026-8-7 | Journal of Microelectromechanical Systems Publication Information
[IEEE] 2026-8-6 | Prescribed-Time Adaptive Tracking for Nonlinear Systems via Nonvanishing Disturbance Observer and Command Filtering
[IEEE] 2026-8-6 | A 1.6-fJ/Spike Subthreshold Analog Spiking Neuron in 28 nm CMOS
[IEEE] 2026-8-6 | Center-Guided Divergence Attention Network for Robust Steganalysis of Dynamic-Length Low-Bit-Rate Speech Streams
[IEEE] 2026-8-7 | Design-to-Prototype of Axial-Flux Induction Motor for Line-Start Application
[IEEE] 2026-8-7 | Research on High-Precision Intelligent Inversion Model of Geotechnical Parameters Driven by Digital Twin
[IEEE] 2026-8-7 | Monotonic Output Regulation of Discrete-Time MIMO Systems with Repeated Unit Zeros and Input Delays
[IEEE] 2026-8-7 | 3D Object Detection Method Based on BEV Feature Fusion
[IEEE] 2026-8-7 | MQTT-Enabled IoT Framework for Real-Time Environmental Monitoring and Employee Safety in Industries
[IEEE] 2026-8-6 | Knowledge Rectification for Camouflaged Object Detection: Unlocking Insights from Low-Resolution Data
[IEEE] 2026-8-6 | A Metaheuristic Controller Design Procedure Considering Linear Time-Variant Behavior to Optimize DC-DC Converter Response to Wide Load Variations
[IEEE] 2026-8-6 | Comparative Analysis between Classical CNNs and Quantum Convolutional Neural Networks for Cacao Pod Disease Classification
[IEEE] 2026-8-7 | Proximal Interaction-Driven Rank- Block-Term Decomposition for Multimedia Data Recovery_supp1-3721314.pdf
[IEEE] 2026-8-6 | Compressed-Sensing-Based Deep JSCC for Resource-Constrained Remote Sensing Transmission
[IEEE] 2026-8-6 | Ternary Noise Modulation
[IEEE] 2026-8-7 | Quantum Noise Mitigation with Adaptive Zero-Noise Extrapolation: A Contextual Multi-Armed Bandits Approach
[IEEE] 2026-8-6 | Fast Negative-Sequence Voltage Suppression for Grid-Feeding Inverters With Virtual Voltage Control
[IEEE] 2026-8-7 | Power-Efficient XL-MIMO Design for Mixed Near-and Far-Field SWIPT Systems
[IEEE] 2026-8-7 | A Robust DPCC Method with Disturbance Observation for PMSM Drives Based on Adaptive Parameter Updating
[IEEE] 2026-8-6 | Spatiotemporal Consistency Constrained Imaging Sonar Odometry for Underwater Robots
[IEEE] 2026-8-6 | World-Model-Based Deep Reinforcement Learning for Real-Time Microgrid Energy Management
[IEEE] 2026-8-7 | Multi-Objective Deterministic Ambulance Routing: Exact MILP Benchmarking and Metaheuristic Optimization
[IEEE] 2026-8-7 | Research on Human-Centered Cultural Tourism Project Design Based on Sustainable Operation
[IEEE] 2026-8-7 | Optimizing AHP for Autonomous Vehicle Risk Evaluation in Mixed Traffic
[IEEE] 2026-8-7 | Copyright Page
[IEEE] 2026-8-7 | Performance Analysis of an Optimally Controlled Wave Energy Converter with an Active Mechanical Motion Rectifier
[IEEE] 2026-8-7 | The Interdisciplinary Nature of Stochastic Systems: Challenges and Opportunities in STEM Education
[IEEE] 2026-8-6 | Neural Fitting for Sparse Radio Map Construction in LEO Satellite Network
[IEEE] 2026-8-7 | Object-Motion-Aware Grasp Pose Refinement for Stable and Collision-Free Real-Robot Grasping
[IEEE] 2026-8-7 | A Study on College Students' Repurchase Intention of Urban Cultural and Creative Products from the Perspective of Cultural Identity
[IEEE] 2026-8-7 | Simplifying Flow Matching Transformations with Low-Rank Mixture Models
[IEEE] 2026-8-7 | Simulation-Generated Data for Fault Detection and Diagnosis in Mobile Robots
[IEEE] 2026-8-7 | Real-World Water-Scene Image Dehazing Based on Vision-Language Model and Density Difference Information
[IEEE] 2026-8-7 | Parameter Identification of a Macroscopic Crowd Model Governed by a Hyperbolic PDE Using Physics-Informed Neural Networks
[IEEE] 2026-8-7 | MILP and CP Approaches for Human-Robot Collaborative Flow-Shop Scheduling
[IEEE] 2026-8-7 | Distributed Control and Coordination of Multi-Robot Trajectories Modeled by Timed Petri Nets
[IEEE] 2026-8-7 | The Application of Artistic Style Interpretation and Cultural Communication Enhancement in the Transportation Landscape Design of Historical and Cultural Cities
[IEEE] 2026-8-7 | Dynamics of Multi-Domain Robots at the Air-Water Interface
[IEEE] 2026-8-7 | Channel Estimation and Relay Selection for Space-Air-Ground-Sea Integrated Networks
[IEEE] 2026-8-7 | Uncertainty-guided Whitening for Unsupervised Generalizable Person Re-identification
[IEEE] 2026-8-7 | Hybrid Deep Learning Framework for Content Based Image Retrieval Using CNN and CLIP
[IEEE] 2026-8-7 | Personalized Depression Analysis Using EBFRFS-Net from Facial Emotion Variations
[IEEE] 2026-8-7 | A Hybrid Machine Learning Approach for Scalable VLSI Testing
[IEEE] 2026-8-7 | Research on the Design of Mobility Aid Products for the Elderly Based on Emotional Permanence Theory
[IEEE] 2026-8-7 | Adaptive Dynamic Region Allocation and Full Coverage Path Planning Method for Multi-UUV Area Exploration Missions
[IEEE] 2026-8-7 | AIGC Reshaping: A New Era in Interior Design Workflow
[IEEE] 2026-8-7 | On the fixed-time control of systems with mismatched perturbations: An application to Quadrotor Unmanned Aerial Vehicles
[IEEE] 2026-8-7 | Input-Complete Finite State Machines with Explicit Failure States: A Verification-Oriented Approach for ROPS Control Systems
                    <sup>*</sup>
[IEEE] 2026-8-7 | Safe Navigation in Narrow Channels Using Smooth Minkowski Barrier Function
[IEEE] 2026-8-7 | Amniotic Fluid Volume Estimation using an Array of UWB Antennas
[IEEE] 2026-8-7 | Shift Scheduling for Electric Service Vehicles: A Public Transportation Case Study
[IEEE] 2026-8-7 | Microstructural Evolution of Cr/Au Films on Fused Silica after Vacuum Annealing
[IEEE] 2026-8-7 | Spatiotemporal Characteristics of Waves and Wave Energy Resources in the South China Sea
[IEEE] 2026-8-7 | Improved IQC covers for sample-and-hold
[IEEE] 2026-8-7 | Simulation of Metasurface Structures for Mid-Infrared Narrowband Filter
[IEEE] 2026-8-7 | On the Incremental Stability of PIDE-based Stochastic Gene Regulatory Networks under Switching Inducer Profiles
[IEEE] 2026-8-7 | Research on Information Visualization Design of Intangible Cultural Heritage of Traditional Craftsmanship
[IEEE] 2026-8-7 | A Full-Stack API Performance Monitoring Middleware: Design and Implementation Using the MERN Stack
[IEEE] 2026-8-7 | A Survey and an Analysis of Conflict Management in O-RAN
[IEEE] 2026-8-7 | Multidimensional Data Analysis and Effect Evaluation Model Construction of Practical Education Projects in Colleges and Universities
[IEEE] 2026-8-7 | Research on the Protection and Application of Virtual Reality Technology in Inner Mongolia Cultural Heritage
[IEEE] 2026-8-7 | Contact Material Recognition Device Based on Electronegativity Difference
[IEEE] 2026-8-7 | Enhancing Straight-Line Stability of a Dual Flapping, Caudal Fin-Propelled Biomimetic AUV by Design Modifications
[IEEE] 2026-8-6 | AIRC 2026 Cover Page
[IEEE] 2026-8-6 | WoRMA 2026 Keynotes
[IEEE] 2026-8-6 | A 11.6–27.7-GHz Frequency Doubler With Stack Harmonic Feedback Achieving 18.8% Total Efficiency
[ACM] 2026-8-6 | Trustworthy LLM-Based Agents for Data-Centric AI
[ACM] 2026-8-6 | Interactive Recommendation Agent with Active User Commands
[ACM] 2026-8-6 | Text-Guided Visual Representation Learning for Robust Multimodal E-Commerce Recommendation
[ACM] 2026-8-6 | TCG-LLM: Physics-aware Fine-tuning with Quality-based Reward Shaping for Tropical Cyclogenesis Detection and Localization
[ACM] 2026-8-6 | Integrating Inductive Biases in Transformers via Distillation for Financial Time Series Forecasting
[ACM] 2026-8-6 | Beyond Time Series: Spatial Reasoning for Epidemic Forecasting via Multimodal Learning
[ACM] 2026-8-6 | FairTraj: Density-Aware Generative Data Augmentation for Fairness in Downstream Trajectory Learning Tasks
[ACM] 2026-8-7 | From Scaling to Structured Expressivity: Rethinking Transformers for CTR Prediction
[ACM] 2026-8-6 | GREPO: A Benchmark for Graph Neural Networks on Repository-Level Bug Localization
[ACM] 2026-8-6 | RAViG-Bench: A Benchmark for Retrieval-Augmented Visually-Rich Generation with Multi-Modal Automated Evaluation
[ACM] 2026-8-6 | Lightweight Wrappers for Adapting Time Series Foundation Models to Regional Drought Forecasting
[ACM] 2026-8-6 | ECHO: Adaptive Community Search over Multimodal Graphs
[ACM] 2026-8-6 | LocalSearchBench: Benchmarking Agentic Search in Real-World Local Life Services
[ACM] 2026-8-6 | Scalable Multi-Action Offline Policy Learning with an
                    <i>m</i>
                    -ary Tree
[ACM] 2026-8-6 | X-VORTEX: Spatio-Temporal Contrastive Learning for Wake Vortex Trajectory Forecasting
[ACM] 2026-8-6 | Dual-Difficulty Curriculum Learning for Direct Preference Optimization
[ACM] 2026-8-6 | HD-Prot: A Protein Language Model for Joint Sequence-Structure Modeling with Continuous Structure Tokens
[ACM] 2026-8-6 | Hierarchical Causal Model for Multimodal Single-cell Data Integration and Prediction
[ACM] 2026-8-6 | PRIME: A Pretrained Representation-Induced Model for 3D Molecules in De Novo Binder Design
[ACM] 2026-8-6 | Native Hierarchical and Compositional Representations with Subspace Embeddings
[ACM] 2026-8-6 | Stabilizing Physics-Informed Consistency Models via Structure-Preserving Training
[ACM] 2026-8-6 | <scp>MirrorBench:</scp>
                    A Benchmark to Evaluate Conversational User-Proxy Agents for Human-Likeness
[ACM] 2026-8-6 | A More Accurate Algorithm Comparison through A/B Testing using Offline Evaluation Methods
[ACM] 2026-8-7 | Multi-Hop Diffusion-Wavelet Semantic Learning for Zero-Shot Circrna-Mirna Interaction Prediction
[ACM] 2026-8-7 | MixLM: High-Throughput and Effective LLM Ranking via Text-Embedding Mix-Interaction
[ACM] 2026-8-6 | CTIConnect: A Benchmark for Retrieval-Augmented LLMs over Heterogeneous Cyber Threat Intelligence
[ACM] 2026-8-6 | The Pitfall of Scaling Up: Uncovering and Mitigating Popularity Bias Amplification in Scaling Transformer-based Recommenders
[ACM] 2026-8-6 | Rethinking Weak Supervision in Anomaly Detection: A Comprehensive Benchmark
[ACM] 2026-8-7 | DICE: Dynamic In-Context Example Selection in LLM Agents via Efficient Knowledge Transfer
[ACM] 2026-8-6 | Backward Compatibility in Tree-Based Explanations and Enhanced CART Algorithm
[ACM] 2026-8-6 | SaFRO: Satisfaction-Aware Fusion via Dual-Relative Policy Optimization for Short-Video Search
[ACM] 2026-8-6 | Geometry-aware Test-Time Adaptation on Graphs
[ACM] 2026-8-6 | Geometry-First Generative Spatial Single-Cell Reconstruction
[ACM] 2026-8-6 | CoRGI: GNNs with Convolutional Residual Global Interactions for Lagrangian Simulation
[ACM] 2026-8-6 | Compass: Navigating Global Marine Lead Data Integration through Expert-Guided LLM Agent
[ACM] 2026-8-6 | FedTail-DT: A Dual-Teacher Framework for Long-Tailed Heterogeneous FL with CLIP Prototypes and Adaptive Aggregation
[ACM] 2026-8-7 | Slowing Down Forgetting in Continual Learning: Evidence from Manufacturing
[ACM] 2026-8-6 | MMSep: Efficient Multimodal Long-Generation Reasoning via Multimodal Separator Compression
[ACM] 2026-8-7 | {GS-Fuse}: Granger-Supervised Gated Fusion and Multi-Granularity Alignment for Event-Driven Financial Forecasting
[ACM] 2026-8-7 | Online Learning for Wild Streaming Data with Delayed Feedback
[ACM] 2026-8-7 | UniDocVLM: Enhancing Visual Reasoning and Document Understanding for VLM via Reinforcement Learning
[ACM] 2026-8-6 | SemStruct: Contextualizing Semantic Embeddings with Structural Information for Schema Matching
[IEEE] 2026-8-6 | MT-REN: An Energy-Efficient Metric–Topology-Fusion Reconfigurable End-to-End GVD-NeuroSLAM Accelerator for Autonomous Microrobots
[IEEE] 2026-8-6 | IEEE Innovation Testbed
[IEEE] 2026-8-6 | Q-Learning Based Graphical Tuning of ADRC Parameters: Hardware Implementation on a DC-DC Boost Converter
[IEEE] 2026-8-6 | Mathworks—Medical
[IEEE] 2026-8-6 | A Secure Hierarchical Federated Learning Architecture for UAV-Enabled Edge Computing Systems
[IEEE] 2026-8-6 | LAVA-Control: Stable Cost-Aware Intelligence Density Adaptation for Distributed IDS in Heterogeneous IoT Networks
[IEEE] 2026-8-6 | Real-Time Deepfake Threat Detection: Benchmarking Lightweight Audio Forensics Against SOTA Video and Hybrid Architectures
[IEEE] 2026-8-6 | Roadmap to Wearable Biosensors for Continuous Monitoring of Biomarkers in Sweat: Next-Generation Sweat Biosensing
[IEEE] 2026-8-6 | HG-Probe: A Safety-Bounded Evidence Layer for LLM-Guided Web/API Security Testing
[IEEE] 2026-8-6 | Shared Data Intelligence-Driven Multi-Task Prediction for Efficient Resource Utilization in 6G Networks
[IEEE] 2026-8-6 | Quantum-Resistant RLWE Based Authentication Scheme for Space-Air-Ground-Integrated Network
[IEEE] 2026-8-6 | Security risk assessment in distributed systems made practical: Application to a real-world mobility system
[IEEE] 2026-8-6 | Study on Cybersecurity for LLM Systems
[IEEE] 2026-8-6 | A RSSI Attenuation Model Considering Incident Angle and Wall Thickness in Indoor Environments
[IEEE] 2026-8-6 | From Cyber Threat to Political Action: The Identity and Motivations Presented by Anonymous Sudan for DDoS Attacks
[IEEE] 2026-8-6 | LLM-Assisted Network Management for Digital Twin-Enabled 5G Systems
[IEEE] 2026-8-6 | Middleware Topology Comparison for Automotive Zonal Architectures: Zenoh, DDS, and Zenoh-Bridged DDS
[IEEE] 2026-8-7 | A new consensus-based control strategy for intelligent cooperative buildings in microgrid
[IEEE] 2026-8-7 | G.R.A.D.E.: A Gemini-Based Resume Assessment and Document Evaluator
[IEEE] 2026-8-7 | Equivalent Disturbance Modeling of Riser and Buffer Station Coupling Effects on Dynamic Positioning Deep-Sea Mining Vessels
[IEEE] 2026-8-7 | Remaining Useful Life Prediction Method using Bayesian Optimization based CNN-LSTM- XGBoost Cascaded Model
[IEEE] 2026-8-7 | Visual Target Localization for Single UAV Based on Dynamic Benchmark Optimization and Multi-View Vector Intersection
[IEEE] 2026-8-7 | Research on Intelligent Design and Dynamic Interaction of Digital Twin Systems for Heritage Sites—A Case Study on the Living Digitization of Yuanmingyuan Cultural Heritage
[IEEE] 2026-8-7 | Message from the General Chairs
[IEEE] 2026-8-7 | Joint Optimization of Temporal Windows and Hidden Neurons for Residual-Based Fault Detection
                    <sup>*</sup>
[IEEE] 2026-8-7 | Calibrated and Uncertainty-Aware Heart Disease Prediction Using Ensemble Learning
[IEEE] 2026-8-7 | Secure Inter-Vehicle Communication Using Blockchain-Based Distributed Security Frameworks
[IEEE] 2026-8-7 | Bayesian Ensemble Regression for Uncertainty Prediction in Data-Sparse Sensor Calibration
[IEEE] 2026-8-7 | Stochastic prediction for heavy-tailed processes using extreme gradient boosting
[IEEE] 2026-8-7 | Enhancing Seathru-NeRF with External Monocular Depth Constraints for Underwater 3D Reconstruction
[IEEE] 2026-8-7 | Research on Personalized Learning Path Recommendation in Vocational Education Based on Deep Learning
[IEEE] 2026-8-7 | The Chemically Sensitive Transistor based on Palladium Nanoparticle-modified h-BN/MoS
                    <sub>2</sub>
                    Heterostructures for H
                    <sub>2</sub>
                    Detection*
[IEEE] 2026-8-7 | Research on the Construction Path and Practice of the “Golden Curriculum System” for AI-Empowered Intelligent Manufacturing Professional Group Under the Background of “Double High Construction (2025-2029)”
[IEEE] 2026-8-7 | Heart Attack Risk Prediction Using Retinal Eye Images
[IEEE] 2026-8-7 | Building a Structured Indonesian Legal Corpus for NLP Applications
[IEEE] 2026-8-7 | Sentimental Analysis of Social Media Data Using Contextual Hybrid Embeddings and Deep Learning
[IEEE] 2026-8-7 | IoT-Based Emergency Vehicle Priority Traffic Control Using Realtime Signal Adjustment
[IEEE] 2026-8-7 | A Secure and Scalable Digital Healthcare System Based on Blockchain Telemedicine Architecture
[IEEE] 2026-8-7 | Enhanced Extended Sliding Innovation Filter for Nonlinear Underwater Bearings-Only Target Tracking
[IEEE] 2026-8-7 | Engineering the Ocean Decade Innovation Pipeline: The IEEE OES Ocean Challenge as a Scalable Mechanism for Ocean Technology Prototyping and Capacity Development
[IEEE] 2026-8-7 | Hierarchical Satellite Attitude Control via Reinforcement Learning-Guided Model Predictive Control
                    <sup>*</sup>
[IEEE] 2026-8-7 | Offline Opacity Enforcement and Online Mitigation Mechanism for Actuator-Enablement Attacks in Discrete Event Systems
[IEEE] 2026-8-7 | A hybrid continuous-discrete nonlinear observer for real-time SOC estimation for Supercapacitor
[IEEE] 2026-8-7 | A new cutting plane algorithm for the min s-t cut problem
[IEEE] 2026-8-7 | Adaptive Compensation and Adaptive Optimal Control of a Single Link Manipulator
[IEEE] 2026-8-7 | Research on Enhancing Adolescent Cultural Heritage Cognition Through Gamified Multimodal Interaction
[IEEE] 2026-8-7 | Liaoning Folk Paper Cutting Folk Cultural Characteristics and Spatial Translation Design Research
[IEEE] 2026-8-7 | Physics-Informed Feature Generation for Fault Classification in Industrial Drive Systems
[IEEE] 2026-8-7 | A Channel Impulse Response-Aided Time of Arrival Estimation Method for Under-Ice Current Field Distributed Acoustic Observation
[IEEE] 2026-8-7 | Improved Real-Time Object Detection Using a YOLOv8-Based Ensemble Framework
[IEEE] 2026-8-7 | Side-Scan Sonar Image Correction Method Based on Histogram Partitioning Estimation
[IEEE] 2026-8-7 | Detecting Hard Examples for Semantic Segmentation with Auxiliary 3D LiDAR
[IEEE] 2026-8-7 | Study on External Spatial Characteristics of Qingdao Textile Valley Creative Park
[IEEE] 2026-8-7 | Magnetic Induction-Based Cross-Boundary Communication Between Air and Water
[IEEE] 2026-8-7 | Application of Particle Swarm Optimization Algorithm in Time Planning of Army Aviation Interception Missions
[IEEE] 2026-8-7 | Low-Complexity Probabilistic Amplitude Shaping via Neural Distribution Matching for Underwater Optical Systems
[IEEE] 2026-8-7 | The Role of Cross-Modal Vision-Touch Interaction in Generalized Anxiety Regulation
[IEEE] 2026-8-7 | Motion-Artifact-Suppressed Pulse Wave Monitoring Based on an Iontronic Pressure Sensor
[IEEE] 2026-8-7 | Net Buoyancy Identification of Underwater Vehicles via Power-Off Ascent Dynamics
[IEEE] 2026-8-7 | Research Approaches to Smart Clothing Design From the Perspective of Phenomenology of the Body
[IEEE] 2026-8-7 | 2026 IEEE Global Symposium on Emerging and Communication Technologies (GSEACT)
[IEEE] 2026-8-7 | Optimization of Exterior Shading for Classrooms in Non-North-South Oriented Regions: A Performance-Driven Study of Sanmenxia Experimental Primary School
[IEEE] 2026-8-7 | Trust-Based Admission and Departure Control for Cooperative Platooning
[IEEE] 2026-8-6 | Fault Diagnosis of Networked Time Petri Nets With Communication Delays
[IEEE] 2026-8-6 | Dynamic Object-Based Point Cloud Registration for Roadside LiDAR Calibration in Low-Overlap Outdoor Deployments
[IEEE] 2026-8-7 | A Novel Flash-Based Finite Impulse Response (FFIR) Filter Featuring Processing In-Memory (PIM) for IoT Applications
[IEEE] 2026-8-6 | Wings-Embedded Through Polymer Via (WTPV) for Signal Integrity and Thermal Management in 3D Integrated Circuits
[IEEE] 2026-8-7 | Research on Non-Contact Voltage Sensing System Technology Supporting Load Management of Dedicated Transformer Areas
[IEEE] 2026-8-7 | Dynamic Positioning Control for Surface Vessels via a Composite Observer with State and Disturbance Estimation
[IEEE] 2026-8-7 | Outdoor Robustness Validation of a Laser-Acoustic Cross-Medium Communication System
[IEEE] 2026-8-7 | A Class of Generalized Sufficiently Smooth Projection Operators
[IEEE] 2026-8-7 | Lyapunov-Based Adaptive Control for Constrained Kinematic Tracking of Robot Manipulators under Parameter Uncertainty
[IEEE] 2026-8-7 | Research on Digital Flow Design of Ancient Book with the Aid of Artificial Intelligence
[IEEE] 2026-8-7 | A Feature-Weighted K-Means and K-Means++ Framework for Clustering of Low-Dimensional Data
[IEEE] 2026-8-6 | Evaluation of Rotor Tolerances in Iron- and Air-Cored Halbach PM Machines
[IEEE] 2026-8-7 | Shape-Aware Cell Segmentation with Global Cues_supp1-3721049.pdf
[IEEE] 2026-8-6 | Robust Optimal Formation Control in Connected Autonomous Surface Vehicles with Multiple Objectives and Input Dead-Zones
[IEEE] 2026-8-6 | Deep Neural Networks for Inverse Kinematics with Multi-Valued Solution Spaces: Limitations and Hybrid Learning–Optimization Approach
[IEEE] 2026-8-7 | Self-Chained Dynamic Context Perception to Tracking by Natural Language Specification
[IEEE] 2026-8-7 | A 19.8-Gb/s/Wire Single-Ended PAM-3/NRZ Simultaneous Bidirectional Transceiver With Shared ZQ/Hybrid Calibration for Memory Interfaces
[IEEE] 2026-8-7 | High-Throughput LDPC Decoder for nand Flash: Turbo Two-Bit Gradient Descent Bit-Flipping Algorithm and VLSI Architecture
[IEEE] 2026-8-7 | Event-Triggered Gossip for Distributed Learning_supp1-3718498.pdf
[IEEE] 2026-8-6 | Cybersecure and Privacy-Aware Governance Framework with Face Verification ID in Digital Public Infrastructure Toward a Trusted and Secure Digital Society: A Systematic Literature Review
[IEEE] 2026-8-6 | SSH-Net: Symplectic-Inspired Discrete Dynamic Evolution for Hyperspectral Image Classification
[IEEE] 2026-8-7 | Residual MPC: Blending Reinforcement Learning with GPU-Parallelized Model Predictive Control
[IEEE] 2026-8-6 | NewbornTimeLine: Automated Video-Based Timelines for Neonatal Resuscitation in a Hospital Pilot Study
[IEEE] 2026-8-7 | A Physics-Guided Parametric Discovery Framework for Closed-Form Gain Representation of EDFA
[IEEE] 2026-8-7 | Edge-Optimized AI Framework for Predictive Maintenance in Smart Industrial IoT Systems
[IEEE] 2026-8-7 | Evaluation of YOLO Algorithms in Car Damage Detection Using CarDD Dataset
[IEEE] 2026-8-7 | Enhancing Path Planning and Obstacle Avoidance in Autonomous System Using Deep Learning
[IEEE] 2026-8-7 | Next-Gen Secure Access Using Intelligent Zero Trust Network Architecture
[IEEE] 2026-8-7 | Expert Behavior Prior Reinforcement Learning
[IEEE] 2026-8-7 | Hierarchical Predictive Sliding Mode Control for Under-Actuated UAV: A FAS Approach
[IEEE] 2026-8-6 | SWAN: Synergistic Wavelet-Attention Network for Infrared Small Target Detection
[IEEE] 2026-8-6 | Watch, Localize and Answer: Actom-Centric Video Large Language Models
[IEEE] 2026-8-7 | Porous 4H-SiC Local Avalanche Ultraviolet Photodetector with High Photo-to-dark Current Ratio and Low Avalanche Threshold Voltage
[IEEE] 2026-8-6 | Quantum Attention Mechanisms: Architectures, Measurement Overhead, and Empirical Evidence
[IEEE] 2026-8-7 | Noise-Aware Model Inversion Eavesdropping Attack in Semantic Communication System for Video Transmission
[IEEE] 2026-8-7 | A Non-Contact Capacitive ECG Smart Mattress System Using Sensor Arrays and Adaptive Switching Strategy for Unconstrained In-Bed Sleep
[IEEE] 2026-8-7 | Exploring New Paradigms in Chinese Font Library Design Under the Context of Artificial Intelligence
[IEEE] 2026-8-7 | Correlation Between Medium-to-High Intensity Physical Activity and U6-7 Basic Motor Skills and Physical Fitness
[IEEE] 2026-8-7 | Coastal S-Band Coherent Radar Observations of Ocean Waves During Tropical Cyclones
[IEEE] 2026-8-7 | Sea-Trial Validation of an Underwater Acoustic OFDM-Based Real-Time Remote Seafloor Seismic Monitoring System
[IEEE] 2026-8-7 | Offshore Floating Wind Development in Iberian Coastal Waters: A GIS-Based Tool to Assess Technical, Economic, and Industrial Value Chains
[IEEE] 2026-8-7 | PAMR: Patch-Aggregated Metric Retrieval for Scalable Fine-Grained Texture and Material Recognition
[IEEE] 2026-8-7 | Multiplex Optical Detection of Bacteria in Water Using a Cell Imprinted Polymer-Based Microfluidic Sensor
[IEEE] 2026-8-7 | Exploration on Basic Courses of Art Design Education Under the Background of Artificial Intelligence
[IEEE] 2026-8-7 | Innovative Integration of Intelligent Technology and Narrative Theory in Dunhuang Cultural Creative Products
[IEEE] 2026-8-7 | A Self-Powered Wireless Sensing System Based on Array Piezoelectric Energy Harvester
[IEEE] 2026-8-7 | Laser Phase-Shifting Interferometry for Micro-Scale Displacement Measurement of Piezoelectric Actuators
[IEEE] 2026-8-7 | Quantum AI Driven Intrusion Detection System for Large-Scale Network Traffic Analysis Using the CICIDS2017 Dataset
[IEEE] 2026-8-7 | A Study on the Influencing Factors of Prayer Exam Stationery Purchase Intention Based on the Theory of Planned Behavior
[IEEE] 2026-8-7 | Parametric Design on Three Ordered Levels of Product Design
[IEEE] 2026-8-7 | A Study on the Structural Transformation of Intelligent Advertising Creative Production Under the 5W Communication Model--Taking Midjourney as an Example
[IEEE] 2026-8-7 | FinVision AI: A Multi-Model Machine Learning Framework for Financial Risk Management and Portfolio Optimization
[IEEE] 2026-8-7 | Pressure-Preserving Transfer Technology for Hadal Macro-Organisms Based on Modular Chamber Docking: Design and Experimental Study
[IEEE] 2026-8-7 | A Study on Friendly Space Design for Caracal Pavilion Based on the Analytic Hierarchy Process
[IEEE] 2026-8-7 | Research on the Reconstruction and Competitiveness Evaluation of Time-Honored Zisha Utensils Under the New Aigc Workflow
[IEEE] 2026-8-7 | MLAS: An Integrated Deep Multi-Task Architecture for Data-Driven Farming
[IEEE] 2026-8-7 | Investigation of Sample Volume Effect on Viscosity Sensor Using SAW Devices
[IEEE] 2026-8-7 | Stable Adversarial Adaptation for Wearable Sensors
[IEEE] 2026-8-7 | A Multimodal Domain Ontology for the Dominant Zooplankton Species in Shandong Offshore Area, China
[IEEE] 2026-8-7 | A Portable Multi-Sensor Unit and Layered Kalman Filtering for State Estimation on Legged and Wheeled Mobile Robots
[IEEE] 2026-8-7 | A Hybrid Model-Based and Model-Free Framework for Active Multi-View Viewpoint Optimization in Sonar Target Recognition
[IEEE] 2026-8-7 | Fingertip Campus: A Study on the Design of Accessible Campus Maps for the Consideration of Blind People
[IEEE] 2026-8-7 | Exploring the Emotional Attributes of Chinese Fonts and Their Relationship to Morphology and Emotional Perception
