[2026-09-02 23:53:00] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-01
正在获取论文...
[arXiv] 2026-09-01 | It Takes Two to Match: Co-Evolving Generative Retriever with Reinforcement Learning
[IEEE] 2026-9-2 | High-Performance P-Channel FDSOI MOSFETs via Modified Silicide-as-Diffusion-Source-Induced Dopant Segregation (M-SADS)
[IEEE] 2026-9-2 | A Synonymous Variational Perspective on the Rate-Distortion-Perception Tradeoff
[IEEE] 2026-9-2 | Aluminum air bridges for integrated superconducting quantum circuits
[IEEE] 2026-9-1 | Variable-Stiffness Joint Enabling Multiple Adhesion and Detachment Strategies for Climbing Robots
[IEEE] 2026-9-2 | Cryptic Binding Site Prediction Using Equivariant Graph Neural Networks with Kolmogorov-Arnold Networks_supp1-3729577.docx
[IEEE] 2026-9-2 | Establishing Confidence in Average Metrics
[IEEE] 2026-9-2 | AER-Bench: A Benchmark for Emotion Perception and Reasoning in Fine Art
[IEEE] 2026-9-2 | A Sarcomere-Inspired Magnetic Recruitment Array Actuator for Load-Adaptive Robotic Arm Actuation
[IEEE] 2026-9-2 | DIFedXGB: A Lightweight Privacy-Preserving XGB Framework for Vertical Federated Learning
[IEEE] 2026-9-2 | Application of Artificial Intelligence in the Processing of Hydrographic Data from a Single-Beam Echo Sounder to Optimise Depth Point Reduction and Generate a Digital Bathymetric Model_supp1-3729269.docx
[IEEE] 2026-9-2 | San Francisco Bay Area Council Chapter Making an Impact [Society News]
[IEEE] 2026-9-1 | Angular-Domain Characterization of Average Contiguous Duration in Generalized Wireless Fading Channels
[IEEE] 2026-9-2 | A Modular All-Solid-State Impedance-Matched Pulsed Power Generator Utilizing GaN Transistors
[IEEE] 2026-9-2 | Modeling and Quantifying the Influence of Personal Personality on Multi-platform Information Propagation Dynamics_supp1-3729866.docx
[IEEE] 2026-9-1 | Pattern in Motion: Retrieval-Augmented Learning for Dynamic Spatio-Temporal Graphs
[IEEE] 2026-9-2 | Limitations of Layer 2 Blockchain Solutions in Constrained Environments: Bridging the Physical Efficiency Gap
[IEEE] 2026-9-2 | Low-Sidelobe Beamforming for Cylindrical Conformal Arrays With IMM-Kalman Tracking and IRQM Dual-Ascent Optimization
[IEEE] 2026-9-1 | First Demonstration of the Positive Threshold Voltage Shift in InAlGaN/GaN HEMT by Adopting Hybrid Ferroelectric Charge Trap Gate Stack (FEG) With Tri-gate Structure
[IEEE] 2026-9-1 | Market-Aware Request Scheduling for Long-Term Benefits in Computing Power Federation
[IEEE] 2026-9-1 | Author Index
[IEEE] 2026-9-1 | CIS-RAM 2026 Welcome Message
[IEEE] 2026-9-1 | Multiple Access Design and Resource Allocation in Pinching-Antenna Systems
[IEEE] 2026-9-1 | Table of Contents
[IEEE] 2026-9-1 | Modular and Multi-Domain Verilog-A Modelling of Electrochemical Sensors for Co-Simulation with Electronic Interfaces_supp1-3727188.mp4
[IEEE] 2026-9-1 | We Want to Hear From You!
[IEEE] 2026-9-1 | Improved Accuracy in Multicore Fiber Refractive Index Profile Measurement by Multi-Focus Phase Sinogram Fusion
[ACM] 2026-9-2 | Dynamic Weight Fusion Mechanism in Neural Machine Translation via Multilingual Context Modeling
[ACM] 2026-9-2 | Application Analysis of Modern Computer Technology in Agricultural Economic Management
[ACM] 2026-9-2 | Detecting High-Potential SMEs with Heterogeneous Graph Neural Networks
[ACM] 2026-9-2 | Optimization of Interactive Models in Ideological and Political Education Classrooms Based on Big Data Analysis
[ACM] 2026-9-2 | Research on Collaborative Education Support System for Industry-Education Integration in Higher Vocational Colleges under the New “Double High” Plan
[ACM] 2026-9-1 | A Lightweight Hand-Object Segmentation Network for Object-Agnostic Human-Robot Handovers
[ACM] 2026-9-1 | A Study on Cognitive Reconstruction of the Differential Pattern of Mother-in-Law and Daughter-in-Law Relationships Based on the Random Forest Algorithm
[ACM] 2026-9-1 | A Paradigm for English Learning in Collaborative Virtual Environments: A Simulation Study
[ACM] 2026-9-1 | Application of an Ensemble Learning Method Based on Deep Learning and Gaussian Processes to Stock Price Forecasting
[ACM] 2026-9-2 | Multimodal Transformer-Based Automated Metadata Generation and Cataloging Framework for Digital Libraries
[ACM] 2026-9-2 | Hybrid Financial Time Series Model Integrating VMD-STFT Analysis and Attention Mechanisms
[ACM] 2026-9-1 | DAFF-NER: A Radical-Aware and Data-Augmented Framework for Chinese Electronic Medical Record Named Entity Recognition
[ACM] 2026-9-1 | BC-FDSSE: Blockchain-Assisted Forward and Backward Secure Dynamic Symmetric Searchable Encryption
[ACM] 2026-9-1 | Research on Traffic Sign Recognition Algorithm Based on Improved YOLO
[ACM] 2026-9-1 | Identification of bridge mode shapes using a moving dual-axle vehicle  scanning method
[ACM] 2026-9-1 | Construction and Application of a Digital Platform for Student Financial Aid Based on the “All-Staff, Whole-Process and All-Round Education” Model
[ACM] 2026-9-1 | An improved BP neural network with approximate prior vector inner product for real-time IGBT junction temperature prediction
[ACM] 2026-9-1 | Principal Component Analysis of Factors Influencing Stock Prices of A-Share Listed Companies: A Case Study of Real Estate Enterprises
[IEEE] 2026-9-1 | Technology solutions targeting the performance of gen-AI inference in resource constrained platforms
[IEEE] 2026-9-1 | Future of Induced Volatolomics in Cancer Risk Pre-Warning
[IEEE] 2026-9-1 | Exhaled Breath Analysis Using Electronic Nose Detects Chronic Obstructive Pulmonary Disease Patients with Bronchodilator Reversibility
[IEEE] 2026-9-1 | Modified Quadratic Boost Converter Fed Speed Control of BLDC Motor
[IEEE] 2026-9-1 | ASMO–Based SOC Estimation of PMSM Driven E-Mobility
[IEEE] 2026-9-1 | Novel Ultra Step-up dc-dc Converter for Heavy-duty Electric Vehicles
[IEEE] 2026-9-1 | Robust Hydrogen Concentration Prediction Via Exponential Kinetic Feature Extraction and Machine Learning
[IEEE] 2026-9-1 | Robust Digital Phase Locked Loop Design for GNSS Receiver based on Internal Model Control
[IEEE] 2026-9-1 | Degradation-Aware Perceptual Path Planning for Robust LiDAR Localization*
[IEEE] 2026-9-1 | Design of a Low-Latency Data Forwarding Mechanism for High-Throughput Low-Earth Orbit Satellite Networks
[IEEE] 2026-9-1 | A Multi-Objective Optimization Framework for FCS-MPTC Controlled Switched Reluctance Motors with Speed-Dependent PI Gain Scheduling
[IEEE] 2026-9-1 | Modeling and Performance Evaluation of Rotor-Flux-Based MRAS Sensorless FOC for PMSM Drives
[IEEE] 2026-9-1 | GAPT: A Hybrid Spatio-Temporal Framework for Data Fusion and Air Quality Prediction in Large-Scale Distributed Sensor Networks
[IEEE] 2026-9-1 | Enhanced COA Based Isolated Microgrid Systems using Cascaded Controller
[IEEE] 2026-9-1 | Learning Superoscillatory Point Spread Functions
[IEEE] 2026-9-1 | A Jointly Weighted RAIM Algorithm Based on Observation Noise Variance and Fault Slope
[IEEE] 2026-9-1 | Provision of AGC Services in Interconnected Power Systems Enabling Aggregated DER Flexibility
[IEEE] 2026-9-1 | Variable Speed Operation of Induction Motor under Pumping Load - Technical and Economic Considerations
[IEEE] 2026-9-1 | Adaptive Olfactory Learning in Electronic Noses Using Neuromodulation-Inspired Reinforcement Signals
[IEEE] 2026-9-1 | Performance Evaluation of a Voltage-Lift Based Boost Converter for High-Gain Applications
[IEEE] 2026-9-1 | Analysis of Chirp Interference Effects on GPS L1 C/A Software Receiver Acquisition
[IEEE] 2026-9-1 | A Consumer-Centric Blockchain Framework for Smart and Sustainable EV Charging and Energy Trading Infrastructure
[IEEE] 2026-9-1 | DC Power Regulation in a Grid-linked PV System based on Advanced Computing Techniques
[IEEE] 2026-9-1 | A Real-Time GNSS Software Receiver Based on Kalman Filter Tracking
[IEEE] 2026-9-1 | Research on Simulated Human-in-the-Loop Reinforcement Learning Methods for Robotic Grasping Oriented to Sample Efficiency Improvement
[ACM] 2026-9-2 | Lightweight Dual-Modal Feature Fusion and Matching Algorithm for UAV Target Detection
[ACM] 2026-9-2 | Human-AI Co-Creation in Visual Communication Design: A Framework and Empirical Study
[IEEE] 2026-9-2 | Robust Heterogeneous Multi-Kernel Maximum Correntropy Unscented Kalman Filter for Nonlinear Control Systems under Non-Gaussian Noises
[IEEE] 2026-9-1 | Predicting Histotripsy Focal Shifts in the Liver From Acoustic Aberrations Using a Deep Learning Model
[IEEE] 2026-9-2 | Data-Driven Control of Continuous-Time Systems: A Synthesis-Operator Approach
[IEEE] 2026-9-2 | Architecting and Orchestrating Memory-Proximate SIMT Cores: A Quantitative Design Space Exploration for Processing-near-Memory in GPUs
[IEEE] 2026-9-2 | ATRS: Adaptive Trajectory Re-Splitting Via a Shared Neural Policy for Parallel Optimization
[IEEE] 2026-9-2 | Towards Unified Neurosymbolic Reasoning on Knowledge Graphs
[IEEE] 2026-9-2 | High-Throughput RTL Design of a Streaming ZP-OTFS Wideband Channel Estimator
[IEEE] 2026-9-2 | Integrated Design of Ridge Waveguide Tight and Loose Coupler
[IEEE] 2026-9-2 | Empower Yourself! IEEE PELS
[IEEE] 2026-9-1 | Latent Textual Space: Pivot for Scaling Customized Text-to-Image and Video Generation
[IEEE] 2026-9-2 | DS-MRNav: Distributed Multi-Robot Navigation With Static Obstacles Via a Decoupled-State Dual-Stream Framework
[IEEE] 2026-9-1 | Hierarchical Scanning for Vision Mamba: Enabling Continuous and Coherent Context Modeling
[IEEE] 2026-9-1 | When Help Matters
[IEEE] 2026-9-1 | An Enhanced Multi-Object Tracking Model Used in Low-Frame-Rate Video
[IEEE] 2026-9-2 | MPECT: Main Peak Extraction for Unambiguous Code Tracking in OFDM-BOC Navigation Signals with a Two-Stage DLL Architecture
[IEEE] 2026-9-2 | Nonlinear Arbitration for AI-Powered Human–Machine Systems: A Fused Distributional Approach_supp1-3722354.pdf
[IEEE] 2026-9-2 | Leakage-Guided Selective Threshold Homomorphic Aggregation for Privacy-Preserving Federated Learning
[IEEE] 2026-9-2 | Multi-Strategy RAG with ATT&amp;CK STIX Metadata-Enriched Embeddings for Technique Extraction
[IEEE] 2026-9-1 | Life Cycle Cost Oriented Planning of Soft Open Point Considering Device Lifetime in Active Distribution Networks
[IEEE] 2026-9-2 | Blind in a Changing Neighborhood: Data-Driven Distributed Output-Feedback Consensus Protocol for Multi-Agent Systems under Switching Topology
[IEEE] 2026-9-1 | Explainable Diffusion Model for Aperture-flexible 3D Quantitative Electromagnetic Imaging
[IEEE] 2026-9-2 | QoE-Foresight: Performance-Aware Drift Detection and Self-Healing for Adaptive Video Streaming QoE Prediction Systems
[IEEE] 2026-9-2 | Table of Contents
[IEEE] 2026-9-1 | Cryptic Binding Site Prediction Using Equivariant Graph Neural Networks with Kolmogorov-Arnold Networks
[IEEE] 2026-9-2 | SW-YOLOv5 Based ROI Compression for Intracranial hemorrhage CT Images with DICOM 3.0 Compatibility in Remote Medical Applications
[IEEE] 2026-9-2 | Optimizing Age of Information in Vehicular Edge Computing with Federated Graph Neural Network Multi-Agent Reinforcement Learning
[IEEE] 2026-9-1 | Exploring Common Impulse Response for Cross-Subject Transfer Learning in SSVEP-Based Brain-Computer Interfaces_supp1-3723267.pdf
[IEEE] 2026-9-2 | Low-Power Gesture Recognition and Airborne Object Sensing Using A Sparse Convex PMUT Array_supp1-3727994.pdf
[IEEE] 2026-9-2 | Unified Outage and Throughput Analysis for NOMA–MIMO Keyhole Channels under Imperfect SIC
[IEEE] 2026-9-2 | Uni-PrevPredMap: Extending PrevPredMap to a Unified Framework of Prior-Informed Modeling for Online Vectorized HD Map Construction_supp1-3729481.mp4
[IEEE] 2026-9-2 | Development and Characterization of a High-Flux p-Be Neutron Source for In-Situ Neutron Radiation Effects Testing of Avionics
[IEEE] 2026-9-2 | A Verification-Oriented Modular 6DOF Simulation Framework for Lift+Cruise VTOL UAVs
[IEEE] 2026-9-2 | A Compact IPD-Based Tri-Band Filtering Power Divider Chip
[IEEE] 2026-9-2 | Modeling Error Dominates: Distortion Effects in Analog GALMS Self-Interference Cancellation
[IEEE] 2026-9-2 | Numerical Investigation of the Thermal Behaviour of HALE1500 Hall Effect Thruster Developed at TUBITAK UZAY
[IEEE] 2026-9-2 | Towards Role Assignment Effectiveness: A Perspective of Student-Major Match Problem
[IEEE] 2026-9-2 | Numerical Investigation of Secondary Injection Effects on Multiple Dual Bell Nozzle Configurations
[IEEE] 2026-9-2 | XGBoost Regression Model for Remaining Useful Life Prediction - Case Study of Turbofan Engines
[IEEE] 2026-9-2 | Design of High-Efficiency Power Amplifier Using Surrogate-Model-Based Optimization
[IEEE] 2026-9-2 | Performance Evaluation of LLMs for Generating and Enriching Application Behavioural Automata
[IEEE] 2026-9-2 | Reproducing CORRECT for Scientific Claim Verification on Check-COVID: Stability and Sensitivity Analysis
[IEEE] 2026-9-2 | Underwater 3D Scene Reconstruction Using Neural Rendering: A Survey with Emphasis on 3D Gaussian Splatting Framework
[IEEE] 2026-9-2 | Design of 0.4 m Aperture Ritchey-Chrétien Collimator Telescope for Ground Verification of Spaceborne Optical Instrument
[IEEE] 2026-9-2 | A Scalable Intrusion Detection Framework Using Hierarchical Binary SOM Clustering and Distributed Classification
[IEEE] 2026-9-2 | Modeling and Analysis of Bursty Delay Attacks in Cooperative Multi-Robot Systems
[IEEE] 2026-9-2 | An Origami-Based Monopole Antenna with Full-Angle Mechanically Reconfigurable Beam
[IEEE] 2026-9-2 | Toward a Query-Driven Approach for Formal Verification of Cloud Security Configuration
[IEEE] 2026-9-2 | Voice and Motion Based Authentication in Virtual Reality
[IEEE] 2026-9-2 | ZoneShield: A Fixed-Zone Robotic Fire-Suppression Prototype with Pressure-Staged Pumping for Oil and Gas Facilities
[IEEE] 2026-9-2 | Experimental Investigation of Time-Delay-Integration (TDI) Imaging Sensor Characterization Based on EMVA 1288 Standard
[IEEE] 2026-9-2 | Closing the Loop in Embedded Security: Evolution of an AIOps Framework for Threat Hunting
[IEEE] 2026-9-2 | Time-Domain Performance Evaluation of Ultra-Wideband Cascaded Bandpass Filters
[IEEE] 2026-9-2 | Design of Transceiver Integrated Amplifier Antenna Based on Single Vivaldi Antenna
[IEEE] 2026-9-2 | FPGA-Based Software Conception of Binning Processing On board Hyperspectral Imager
[IEEE] 2026-9-2 | An Ultra-thin Metasurface for RF Energy Harvesting
[IEEE] 2026-9-2 | Segmented RCS-Equivalent Modeling of Ship Targets Based on Octahedral Corner-Reflector Arrays
[IEEE] 2026-9-2 | Orbit Determination Software of TUBITAK UZAY for Earth and Lunar Orbiting Spacecraft
[IEEE] 2026-9-2 | NeuroVox-CP: Self-Supervised EMG–Speech Fusion for Motor Function Prediction
[IEEE] 2026-9-2 | Nonlinear Modeling and PSO-Based LQR Control of a 6-DOF Helicopter Under Wind Gust Disturbances
[IEEE] 2026-9-2 | Comparative Performance Analysis of SDN/OpenFlow POX Versus OSPF Traditional Networking
[IEEE] 2026-9-2 | Research on a ResNet34-Based Fundus Image Classification Method and System Application for Eye Diseases
[IEEE] 2026-9-2 | A Dual-Resonant Wide-Stopband Low-Profile Frequency Selective Surface for Spacecraft Communications
[IEEE] 2026-9-2 | ICCCAS 2026 Author Index
[IEEE] 2026-9-2 | A Compact Q-Band GaN MMIC Power Amplifier Module Using a Reduced-Height Waveguide E-Plane T-Junction Power Combiner
[IEEE] 2026-9-2 | RAST 2026 Blank Page
[IEEE] 2026-9-2 | Study on Efficiency Optimization of a 340 GHz Sheet Beam Extended Interaction Oscillator
[IEEE] 2026-9-2 | Development of a Digital Twin for Automated Production of Ayran and Sary Irimshik Based on SCADA and IoT Technologies
[IEEE] 2026-9-2 | Mathematical Modelling and Simulation-Based Failure Analysis of Rotorcraft Landing Gear: Impact on Flight Dynamics in Adverse Conditions
[IEEE] 2026-9-2 | Application of Machine Learning Methods for Leak Localization in Main Pipelines Based on Pressure Differential Analysis
[IEEE] 2026-9-2 | HiTS: A Multimodal Framework for Time Series Analysis via Hierarchical Injection and Visual-Grounded Reasoning
[IEEE] 2026-9-2 | Enabling Machine Learning Services in High-Stakes Environments
[IEEE] 2026-9-2 | Virtual Noise Model Based on Allan Variance and Power Spectral Density Matching for MEMS Gyros
[IEEE] 2026-9-2 | Thermal Effect of Millimeter-Wave Irradiation on Human Skin
[IEEE] 2026-9-2 | A Miniaturized Interdigital Bandpass Filter on Alumina Substrate Using Hybrid Resonators
[IEEE] 2026-9-2 | Fast Detection of Cataract Based on Fundus Image
[IEEE] 2026-9-2 | GyroStep: A Portable IMU-Based System for Knee Flexion Measurement and Real-Time Analysis
[IEEE] 2026-9-2 | Fusion of TLS and MVS Point Clouds for Realistic Tree Reconstruction
[IEEE] 2026-9-2 | CowLLMpot: Toward an LLM-Based Honeypot Fine-Tuned Using Cowrie Honeypot Data
[IEEE] 2026-9-2 | Material-Dependent Electron Screening in Rare-Earth Metals and Its Potential Role in Future Fusion-Based Propulsion Concepts
[ACM] 2026-9-1 | Analysis of Factors Associated with Visual Function Improvement During Hospitalization in Traumatic Optic Neuropathy: A Multimodal Retrospective Cohort Study Based on Large Language Models
[ACM] 2026-9-1 | A Kind of round balanceable arithmetic based on priority layer
[ACM] 2026-9-1 | Research on an Urban Public Resource Optimization Allocation Model Integrating Big Data Analytics
[ACM] 2026-9-2 | Internet Search Behavior, Investor Sentiment, and Stock Market Volatility: An Empirical Study Based on the Random Forest Algorithm
[ACM] 2026-9-1 | Intelligent Correction Method for Multimodal Heterogeneous Data of Audit Documents Based on NLP Language Big Model
[ACM] 2026-9-2 | What Motivates Chinese Non-Financial Firms to Hold Financial Assets? Evidence from Measuring Managerial Short-termism Using Textual Analysis and Machine Learning
[IEEE] 2026-9-1 | Towards Blind Lens Aberration Correction via Large LensLib Pre-training and Discrete Degradation Priors
[IEEE] 2026-9-1 | Multimodal Emotion Recognition Using EEG and ECG: Exploring Cross-Modal Correlations and Feature Fusion Strategies
[IEEE] 2026-9-1 | Specific Digital Evaluation of Taste Information Based on Organoids
[IEEE] 2026-9-1 | A High-Gain Quasi-Z-Source DC–DC Converter With Coupled Inductor and Passive Clamp for Photovoltaic Front-End Applications
[IEEE] 2026-9-1 | Type-II fuzzy based self-adaptive controller for multi-area multi load deregulated power system penetrated with demand response
[IEEE] 2026-9-1 | Spoofing DOA Estimation in GNSS Receivers Exploiting Coprime Virtual Beamspace Transform
[IEEE] 2026-9-1 | Influence of Multi-Axis Displacement on Impedance and Resonance Stability in Rectangular WPT Couplers for EV Charging System
[IEEE] 2026-9-1 | Frequency regulation in AGC with a fuzzy based controller in renewable penetration multi-area deregulated MPS
[IEEE] 2026-9-1 | Cyber-Secure Distributed Secondary Control of Microgrid with Integrated Detection and Mitigation of Cyber Attacks
[IEEE] 2026-9-1 | State of Charge (SOC) Estimation for a Battery Management Syatem on Microgrid Using Extended Kalman Filter
[IEEE] 2026-9-1 | Comparative Study of Deep Learning Models for Short-Term Power Forecasting of a Large Scale Photovoltaic Plant
[IEEE] 2026-9-1 | Morphology-Aware ICCP with Piecewise Affine Compensation for Underwater Terrain-Aided Navigation
[IEEE] 2026-9-1 | Corrections to “Path Planning Using Combined Informed Rapidly-Exploring Random Tree Star and Particle Swarm Optimization Algorithms”
[IEEE] 2026-9-1 | Decoding Wheat Yield Under Climate Stress: A High-Resolution Data-Driven Analysis of Environmental Drivers
[IEEE] 2026-9-1 | A Comprehensive Review of Virtual Synchronous Generator Based Control Strategies for Converter Dominated Grids
[IEEE] 2026-9-1 | Modeling and Control of a Grid-Connected PV System with Battery Energy Storage for Grid Stability Enhancement
[IEEE] 2026-9-1 | LLM-in-the-Loop Variable Impedance Control: Towards Safe Generalized and Personalized Robotic Interactions
[IEEE] 2026-9-1 | Frequency Domain Specification-Based FOTID Control law for Load Frequency Control in Hybrid Electric Ship Microgrid
[IEEE] 2026-9-1 | Hardware-Efficient Gradient Boosted Trees with Quantization-Aware Training and Greedy Tree Merging for in-Vehicle Odor Evaluation
[IEEE] 2026-9-1 | Grid Integrated Hydrogen Storage System for Surplus Energy Utilization Using Salt Cavern
[IEEE] 2026-9-1 | An Outcome-Oriented Multimodal Decision Support Framework for Three-Level Emergency Department Triage
[ACM] 2026-9-2 | Rule-Guided RAG and Multi-Agent Collaboration for Deterministic Legal Document Auditing
[ACM] 2026-9-2 | ISSG: An Interpretable Cross-Modal Generative Framework for Culturally Constrained Pattern Design - A Case Study on Hakka Motifs
[IEEE] 2026-9-1 | Exploiting Model Replication and Heterogeneous Accelerator Parallelism for Low-Latency Multi-View Perception_supp3-3728805.mp4
[IEEE] 2026-9-1 | CIS-RAM 2026 Copyright Page
[IEEE] 2026-9-1 | Author Index
[IEEE] 2026-9-1 | Brain-MRINet: A Parallel Multi-Scale Convolutional Framework for Brain Tumor Classification from MRI
[IEEE] 2026-9-1 | Modular and Multi-Domain Verilog-A Modelling of Electrochemical Sensors for Co-Simulation with Electronic Interfaces_supp2-3727188.mp4
[IEEE] 2026-9-1 | Toward Robust Single-Photon Perception for Robots: A Condition-Aware Active Learning Approach
[IEEE] 2026-9-1 | Author Index
[IEEE] 2026-9-1 | Model-Free Robust Fuzzy Tracking Control for Autonomous Vehicles via Zero-Sum Game-Based Hybrid Reinforcement Learning
[IEEE] 2026-9-1 | Hierarchical Deep Reinforcement Learning for Task Failure Minimization in MEC-Enabled TDMA-Based Internet of Vehicle Networks
[IEEE] 2026-9-2 | Status of the 3 MW ECRH System at 105 GHz for WEST_supp1-3713597.pdf
[IEEE] 2026-9-2 | Fast Driving Circuit With Active Discharged Circuit for Power PMOS and Its Parameter Design Method
[IEEE] 2026-9-1 | Objective Assessment of Media Screens Effect on Physical Activity in Preschool Children
[IEEE] 2026-9-2 | What Actually Matters in Deep Learning for Breast Ultrasound Classification: A Systematic Ablation Study with Wilcoxon Signed-Rank and Holm-Bonferroni Analysis
[IEEE] 2026-9-1 | CG-DINO: Improved Network for Small Object Detection in Unmanned Aerial Vehicle Imagery based on DINO
[IEEE] 2026-9-2 | Fourier-Enhanced ResNet for Data-Efficient Prediction of Metasurface Scattering
[IEEE] 2026-9-2 | Behavioral-Affective Reconciliation in Digital Twins: A Framework for Predictive and Trustworthy Adaptive Learning
[IEEE] 2026-9-1 | Robust Motion Tracking and Classification of Zebrafish with Deep Learning
[IEEE] 2026-9-2 | FMAGNet:Foundation Model-driven Multimodal Asymmetric Gated Network for Semantic Segmentation in Earth Observation
[IEEE] 2026-9-2 | HAWA: WLAN-Assisted AR Admission and Traffic Scheduling Framework for Latency Guarantee
[IEEE] 2026-9-1 | Dual Echo State Network for Lightweight Wi-Fi CSI-Based Outdoor Pedestrian Counting with Limited Training Data
[IEEE] 2026-9-2 | Multi-PPM-MDCSK System for Power Line Communication with Bernoulli-Laplace Impulse Noise in Electric Vehicle Charging Stations
[IEEE] 2026-9-1 | Machine learning-assisted trimethylamine recognition for chronic kidney disease identification using an Au/Pt-GaN gas sensor
[IEEE] 2026-9-1 | A Hierarchical Network Coding Method for Critical Data Recovery in LEO Satellite Handover Windows
[IEEE] 2026-9-1 | Leveraging Label-Free and Gradient-Based Pruning for Efficient Neural Networks in Maize Disease Detection
[IEEE] 2026-9-2 | A Depthwise Separable Residual U-Net with Vision Transformer Encoding for IC Routing Congestion Prediction
[IEEE] 2026-9-1 | How Do BMC Formulas Evolve? An Empirical Study of SAT Feature Dynamics During Incremental Unrolling
[IEEE] 2026-9-2 | VecSIM: Reconstructed Urban Dynamic Scenes as Vectorized Reinforcement Learning Environments for Autonomous Driving Evaluation
[IEEE] 2026-9-1 | Quantum-Classical Hybrid Local Current Reconstruction with Characteristic Modes
[IEEE] 2026-9-2 | Modeling Car-Following Behavior Based on Phase-Field Coupling Theory and Mathematized Expression of Panoramic Situation_supp5-3726049.docx
[IEEE] 2026-9-2 | AGSA-Net: Abundance-Guided Self-Attention Network for Spectral Unmixing-Aware Hyperspectral Remote Sensing Image Classification
[IEEE] 2026-9-2 | Return on Change Approach: an Implementation-Weighted Framework for Assessing the Viability of Supply Chain Network Design Projects
[IEEE] 2026-9-2 | Finite-Time Switching Active Disturbance Rejection Control for SPMSM Speed Regulation with Measurement Noise
[IEEE] 2026-9-2 | Continuous Wavefront Design via Virtual Point Sources: A Holographic Paradigm for Near-Field XL-MIMO
[IEEE] 2026-9-2 | Phase-Aware Switching Control for Magnetically Actuated Microrobots in Narrow Vessels Under Cardiac Pulsatile Flow_supp3-3721855.pdf
[IEEE] 2026-9-2 | IEEE Connects You to a Universe of Information!
[IEEE] 2026-9-1 | Polarforming for Wireless Communications: Modeling and Performance Analysis
[IEEE] 2026-9-2 | Toward Low-Cost, High-Performance CMOS Terahertz Electronics: Bridging Transistor-Level Optimization and System-Level Heterogeneous Integration
[IEEE] 2026-9-2 | A Gate driver Core Including Bidirectional Communication Using a Single Planar Transformer for High dV/dt SiC modules
[IEEE] 2026-9-1 | ImgSan: Utility-Based Image Privacy Sanitizer for Online Visual Question Answering
[IEEE] 2026-9-2 | SubjectSieve: QoE Based Real-Time Bitrate and FPS Adaptation in Cloud Gaming Servers
[IEEE] 2026-9-2 | GS-SpecMap: Zero-Shot Multi-Band Radio Map Prediction via 3D Gaussian Splatting
[IEEE] 2026-9-2 | Optimizing the Inverse Faraday Effect in Plasmonic Nanorod through Incident Polarization Control
[IEEE] 2026-9-2 | ICCCAS 2026 Cover Page
[IEEE] 2026-9-2 | Autonomous Mass Balancing of a 3-DOF Spacecraft Simulator via Hardware Constrained Particle Swarm Optimization
[IEEE] 2026-9-1 | Modeling and Quantifying the Influence of Personal Personality on Multi-platform Information Propagation Dynamics
[IEEE] 2026-9-2 | Multimode Resonant Pressure Sensor with High Sensitivity and Wide Operating Range
[IEEE] 2026-9-2 | Interpretable Pre-Ransomware Detection for SOCs Using SHAP and Lightweight ML
[IEEE] 2026-9-2 | From Pixels to Semantics: A Hybrid Framework for Unsupervised Anomaly Detection and Anchor-Assisted Semantic Interpretation of Railway Tracks
[IEEE] 2026-9-2 | A Broadband Miniaturized Quadrature Coupler Based on Rectangular Micro-Coaxial Transmission Line
[IEEE] 2026-9-2 | A 130-153 GHz Broadband Frequency Quadrupler With Gate-Compensated and Harmonic-Reflection CPW Transmission Lines in 65-nm CMOS
[IEEE] 2026-9-2 | Sponsors
[IEEE] 2026-9-2 | Integrated Attitude Determination and Magnetorquer-Based Relative Attitude Control for a GRACE-Like Satellite Formation
[IEEE] 2026-9-2 | A Phase Corrected Substrate Integrated Waveguide Antenna with Enhanced Gain on the H-plane
[IEEE] 2026-9-2 | Reinforcement Learning (RL) Based Dynamic Pricing in Advance Bandwidth Reservation
[IEEE] 2026-9-2 | Efficient One-Stage Fall Detection Using Group-Based Bottleneck Transformer
[IEEE] 2026-9-2 | Lifecycle Awareness in Service Provisioning
[IEEE] 2026-9-2 | 3D Periodic Broadband Metamaterial Absorber Based on PI-ITO Hybrid Composite Structure
[IEEE] 2026-9-2 | A Design of Filtering Phase Shifter With Quasi-Elliptic Response Based on Hybrid Microstrip-Slotline Structure
[IEEE] 2026-9-2 | Low-Sidelobe Waveguide Slot Array with Main Beam Pointing to 40°
[IEEE] 2026-9-2 | Ultrathin Bendable Metasurface Cloak for Tunable-Region Concealment
[IEEE] 2026-9-2 | Conceptual Design of a Hybrid-Powered Unmanned Air Vehicle as a Lead Force in Network-Centric Warfare
[IEEE] 2026-9-2 | Towards Agentic Honeynet Configuration
[IEEE] 2026-9-2 | Research Progress in High-Speed RF and Mixed-Signal Circuit Design Based on InP DHBT Technology
[IEEE] 2026-9-2 | Ballistic Analysis of the Surface-Landing Mission to Jupiter's Moon Callisto
[IEEE] 2026-9-2 | Wavelength-Stable Enabled by Quasi-BICs in Dielectric Metasurfaces via Area Compensation
[IEEE] 2026-9-2 | Development of the Remote Monitoring and Control Cultivation System with Low-Power and Long-Distance Technology
[IEEE] 2026-9-2 | Measuring Visual Capture in Virtual Reality under Sustained Audiovisual Conflict with Third-Order Ambisonics
